time,Portland,pts.away,score,pts.home,Sacramento
7:38.0,W. Matthews makes 2-pt shot from 4 ft,2,11-11,,
7:30.0,,,11-11,,B. McLemore misses 2-pt shot from 3 ft
7:29.0,Defensive rebound by L. Aldridge,,11-11,,
7:22.0,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum),3,14-11,,
7:07.0,,,14-11,,J. Thompson misses 2-pt shot from 22 ft
7:06.0,Defensive rebound by D. Lillard,,14-11,,
6:51.0,N. Batum misses 3-pt shot from 24 ft,,14-11,,
6:50.0,,,14-11,,Defensive rebound by C. Landry
6:37.0,,,14-11,,B. McLemore misses 2-pt shot from 5 ft (block by R. Lopez)
6:35.0,Defensive rebound by N. Batum,,14-11,,
6:33.0,W. Matthews makes 2-pt shot from 1 ft (assist by N. Batum),2,16-11,,
6:30.0,,,16-11,,Sacramento full timeout
6:11.0,,,16-11,,R. Gay misses 2-pt shot from 8 ft
6:10.0,Defensive rebound by L. Aldridge,,16-11,,
6:03.0,Shooting foul by B. McLemore (drawn by W. Matthews),,16-11,,
6:03.0,W. Matthews makes free throw 1 of 2,1,17-11,,
6:03.0,,,17-11,,O. Casspi enters the game for B. McLemore
6:03.0,W. Matthews makes free throw 2 of 2,1,18-11,,
5:46.0,,,18-11,,R. McCallum misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by D. Lillard,,18-11,,
5:38.0,D. Lillard misses 2-pt shot from 17 ft,,18-11,,
5:36.0,Offensive rebound by L. Aldridge,,18-11,,
5:36.0,L. Aldridge makes 2-pt shot from 2 ft,2,20-11,,
5:26.0,,,20-11,,C. Landry misses 2-pt shot from 3 ft
5:25.0,Defensive rebound by R. Lopez,,20-11,,
5:15.0,L. Aldridge makes 2-pt shot from 2 ft (assist by N. Batum),2,22-11,,
4:58.0,,,22-11,,R. Gay misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by L. Aldridge,,22-11,,
4:49.0,Shooting foul by J. Thompson (drawn by L. Aldridge),,22-11,,
4:49.0,L. Aldridge misses free throw 1 of 2,,22-11,,
4:49.0,Offensive rebound by Team,,22-11,,
4:49.0,,,22-11,,R. Hollins enters the game for C. Landry
4:49.0,,,22-11,,A. Miller enters the game for J. Thompson
4:49.0,,,22-11,,R. Evans enters the game for R. McCallum
4:49.0,A. Afflalo enters the game for W. Matthews,,22-11,,
4:49.0,L. Aldridge makes free throw 2 of 2,1,23-11,,
4:34.0,,,23-13,2,R. Gay makes 2-pt shot from 10 ft
4:11.0,L. Aldridge misses 2-pt shot from 8 ft,,23-13,,
4:10.0,,,23-13,,Defensive rebound by R. Gay
3:58.0,,,23-13,,Offensive foul by A. Miller
3:58.0,,,23-13,,Turnover by A. Miller (offensive foul)
3:58.0,,,23-13,,Technical foul by Team
3:58.0,L. Aldridge makes technical free throw,1,24-13,,
3:58.0,C. Kaman enters the game for R. Lopez,,24-13,,
3:43.0,L. Aldridge misses 2-pt shot from 19 ft,,24-13,,
3:43.0,Offensive rebound by Team,,24-13,,
3:31.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Lillard),3,27-13,,
3:12.0,,,27-15,2,A. Miller makes 2-pt shot from 16 ft (assist by R. Evans)
3:03.0,C. Kaman misses 2-pt shot from 3 ft,,27-15,,
3:02.0,,,27-15,,Defensive rebound by R. Evans
2:52.0,,,27-17,2,A. Miller makes 2-pt shot from 5 ft
2:47.0,Portland full timeout,,27-17,,
2:47.0,S. Blake enters the game for D. Lillard,,27-17,,
2:29.0,,,27-17,,Violation by R. Hollins (def goaltending)
2:29.0,L. Aldridge makes 2-pt shot from 7 ft,2,29-17,,
2:16.0,Personal foul by N. Batum (drawn by R. Gay),,29-17,,
2:09.0,Personal foul by N. Batum (drawn by R. Gay),,29-17,,
2:09.0,W. Matthews enters the game for N. Batum,,29-17,,
2:00.0,,,29-17,,R. Gay misses 2-pt shot from 19 ft
2:00.0,,,29-17,,Offensive rebound by Team
1:38.0,,,29-17,,A. Miller misses 2-pt shot from 15 ft
1:37.0,,,29-17,,Offensive rebound by Team
1:30.0,,,29-17,,R. Gay misses 2-pt shot from 10 ft
1:29.0,Defensive rebound by S. Blake,,29-17,,
1:11.0,S. Blake makes 3-pt shot from 23 ft (assist by L. Aldridge),3,32-17,,
1:00.0,,,32-19,2,O. Casspi makes 2-pt shot from 7 ft
0:47.0,L. Aldridge makes 2-pt shot from 2 ft (assist by S. Blake),2,34-19,,
0:39.0,,,34-21,2,R. Gay makes 2-pt shot from 9 ft (assist by A. Miller)
0:39.0,,,34-21,,Shooting foul by A. Afflalo (drawn by R. Gay)
0:39.0,,,34-21,,R. Gay misses free throw 1 of 1
0:38.0,,,34-21,,Offensive rebound by R. Hollins
0:32.0,,,34-23,2,A. Miller makes 2-pt shot from 16 ft (assist by R. Hollins)
0:23.0,Turnover by S. Blake (bad pass),,34-23,,
0:06.0,,,34-23,,R. Gay misses 2-pt shot from 17 ft
0:04.0,Defensive rebound by Team,,34-23,,
0:04.0,,,34-23,,Loose ball foul by R. Evans (drawn by S. Blake)
0:00.0,L. Aldridge misses 3-pt shot from 25 ft,,34-23,,
0:00.0,Offensive rebound by Team,,34-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,34-23,,O. Casspi misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by W. Matthews,,34-23,,
11:23.0,S. Blake misses 3-pt shot from 26 ft,,34-23,,
11:22.0,,,34-23,,Defensive rebound by B. McLemore
11:19.0,,,34-23,,Offensive charge foul by O. Casspi
11:19.0,,,34-23,,Turnover by O. Casspi (offensive foul)
11:03.0,Turnover by A. Afflalo (bad pass),,34-23,,
10:49.0,,,34-26,3,B. McLemore makes 3-pt shot from 23 ft (assist by A. Miller)
10:35.0,Turnover by S. Blake (bad pass; steal by B. McLemore),,34-26,,
10:26.0,,,34-28,2,B. McLemore makes 2-pt shot from 1 ft
10:26.0,Portland full timeout,,34-28,,
10:11.0,M. Leonard misses 3-pt shot from 25 ft (block by R. Hollins),,34-28,,
10:09.0,Offensive rebound by M. Leonard,,34-28,,
10:09.0,Turnover by M. Leonard (traveling),,34-28,,
9:48.0,,,34-28,,O. Casspi misses 3-pt shot from 24 ft
9:47.0,,,34-28,,Offensive rebound by R. Evans
9:41.0,,,34-28,,Turnover by A. Miller (bad pass; steal by S. Blake)
9:36.0,W. Matthews misses 3-pt shot from 24 ft,,34-28,,
9:35.0,,,34-28,,Defensive rebound by R. Evans
9:17.0,,,34-28,,R. Hollins misses 2-pt shot from 16 ft
9:16.0,,,34-28,,Offensive rebound by R. Evans
9:12.0,,,34-31,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. Evans)
8:48.0,M. Leonard makes 3-pt shot from 23 ft (assist by S. Blake),3,37-31,,
8:28.0,,,37-31,,Turnover by R. Evans (bad pass; steal by A. Afflalo)
8:15.0,A. Afflalo misses 2-pt shot from 16 ft,,37-31,,
8:14.0,,,37-31,,Defensive rebound by R. Evans
7:54.0,,,37-33,2,A. Miller makes 2-pt shot from 17 ft
7:33.0,Turnover by A. Afflalo (lost ball; steal by R. Hollins),,37-33,,
7:30.0,,,37-33,,Shooting foul by M. Leonard (drawn by O. Casspi)
7:30.0,,,37-33,,O. Casspi misses free throw 1 of 2
7:30.0,,,37-33,,Offensive rebound by Team
7:30.0,,,37-33,,D. Williams enters the game for R. Hollins
7:30.0,,,37-33,,J. Thompson enters the game for R. Evans
7:30.0,D. Lillard enters the game for W. Matthews,,37-33,,
7:30.0,J. Freeland enters the game for C. Kaman,,37-33,,
7:30.0,R. Lopez enters the game for S. Blake,,37-33,,
7:30.0,N. Batum enters the game for M. Leonard,,37-33,,
7:30.0,,,37-34,1,O. Casspi makes free throw 2 of 2
7:14.0,R. Lopez makes 2-pt shot from 8 ft (assist by D. Lillard),2,39-34,,
6:58.0,,,39-34,,Turnover by D. Williams (bad pass; steal by N. Batum)
6:41.0,N. Batum misses 2-pt shot from 19 ft,,39-34,,
6:40.0,Offensive rebound by R. Lopez,,39-34,,
6:38.0,R. Lopez makes 2-pt shot from 2 ft,2,41-34,,
6:20.0,,,41-34,,B. McLemore misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by N. Batum,,41-34,,
6:10.0,D. Lillard makes 2-pt shot from 2 ft,2,43-34,,
6:10.0,Shooting foul by J. Thompson (drawn by D. Lillard),,43-34,,
6:10.0,,,43-34,,R. Gay enters the game for O. Casspi
6:10.0,D. Lillard makes free throw 1 of 1,1,44-34,,
5:57.0,,,44-36,2,B. McLemore makes 2-pt shot from 19 ft
5:46.0,A. Afflalo misses 3-pt shot from 23 ft,,44-36,,
5:45.0,,,44-36,,Defensive rebound by A. Miller
5:42.0,,,44-38,2,D. Williams makes 2-pt shot from 2 ft (assist by A. Miller)
5:42.0,,,44-38,,Shooting foul by N. Batum (drawn by D. Williams)
5:42.0,Official timeout,,44-38,,
5:42.0,L. Aldridge enters the game for N. Batum,,44-38,,
5:42.0,A. Gee enters the game for J. Freeland,,44-38,,
5:42.0,,,44-39,1,D. Williams makes free throw 1 of 1
5:27.0,A. Afflalo misses 2-pt shot from 10 ft,,44-39,,
5:25.0,,,44-39,,Defensive rebound by J. Thompson
5:23.0,,,44-41,2,D. Williams makes 2-pt shot at rim (assist by A. Miller)
5:07.0,Turnover by D. Lillard (lost ball),,44-41,,
4:53.0,,,44-41,,Technical foul by R. Hollins
4:53.0,D. Lillard makes technical free throw,1,45-41,,
4:43.0,,,45-41,,B. McLemore misses 2-pt shot from 22 ft
4:42.0,Defensive rebound by D. Lillard,,45-41,,
4:34.0,D. Lillard makes 2-pt shot from 3 ft,2,47-41,,
4:24.0,,,47-41,,Turnover by B. McLemore (step out of bounds)
4:24.0,,,47-41,,O. Casspi enters the game for J. Thompson
4:24.0,,,47-41,,R. Hollins enters the game for B. McLemore
4:05.0,L. Aldridge makes 2-pt shot from 3 ft,2,49-41,,
3:45.0,,,49-41,,Shooting foul by A. Gee (drawn by R. Gay)
3:45.0,,,49-41,,Sacramento full timeout
3:45.0,,,49-41,,R. McCallum enters the game for A. Miller
3:45.0,,,49-42,1,R. Gay makes free throw 1 of 2
3:45.0,,,49-43,1,R. Gay makes free throw 2 of 2
3:27.0,L. Aldridge misses 2-pt shot from 3 ft,,49-43,,
3:26.0,,,49-43,,Defensive rebound by R. Hollins
3:13.0,,,49-43,,R. Gay misses 2-pt shot from 6 ft
3:13.0,,,49-43,,Offensive rebound by Team
3:13.0,Loose ball foul by R. Lopez (drawn by R. Gay),,49-43,,
3:13.0,W. Matthews enters the game for A. Afflalo,,49-43,,
3:07.0,,,49-43,,D. Williams misses 2-pt shot from 15 ft
3:07.0,Defensive rebound by L. Aldridge,,49-43,,
2:51.0,A. Gee makes 3-pt shot from 22 ft (assist by W. Matthews),3,52-43,,
2:38.0,,,52-43,,R. McCallum misses 2-pt shot from 10 ft
2:38.0,Defensive rebound by Team,,52-43,,
2:38.0,,,52-43,,Loose ball foul by R. Hollins (drawn by W. Matthews)
2:27.0,Turnover by A. Gee (lost ball),,52-43,,
2:19.0,,,52-43,,D. Williams misses 2-pt shot from 3 ft
2:18.0,Defensive rebound by L. Aldridge,,52-43,,
2:14.0,W. Matthews makes 2-pt shot from 2 ft (assist by D. Lillard),2,54-43,,
1:57.0,,,54-45,2,R. McCallum makes 2-pt shot from 15 ft
1:42.0,,,54-45,,Personal foul by R. Hollins (drawn by D. Lillard)
1:36.0,D. Lillard misses 2-pt shot from 2 ft,,54-45,,
1:35.0,Offensive rebound by R. Lopez,,54-45,,
1:35.0,Shooting foul by R. Hollins (drawn by L. Aldridge),,54-45,,
1:35.0,L. Aldridge makes free throw 1 of 2,1,55-45,,
1:35.0,L. Aldridge makes free throw 2 of 2,1,56-45,,
1:32.0,,,56-45,,Turnover by R. Gay (lost ball; steal by A. Gee)
1:32.0,,,56-45,,Personal foul by R. Gay (drawn by A. Gee)
1:32.0,A. Gee misses free throw 1 of 2,,56-45,,
1:32.0,Offensive rebound by Team,,56-45,,
1:32.0,,,56-45,,Sacramento full timeout
1:32.0,,,56-45,,B. McLemore enters the game for O. Casspi
1:32.0,,,56-45,,R. Evans enters the game for R. Hollins
1:32.0,A. Gee makes free throw 2 of 2,1,57-45,,
1:15.0,Shooting foul by R. McCallum (drawn by D. Lillard),,57-45,,
1:15.0,D. Lillard makes free throw 1 of 2,1,58-45,,
1:15.0,D. Lillard makes free throw 2 of 2,1,59-45,,
1:07.0,,,59-47,2,R. McCallum makes 2-pt shot from 3 ft
0:51.0,D. Lillard makes 2-pt shot at rim,2,61-47,,
0:37.0,,,61-47,,B. McLemore misses 2-pt shot from 13 ft
0:36.0,,,61-47,,Offensive rebound by R. Gay
0:34.0,,,61-47,,R. Gay misses 2-pt shot from 3 ft
0:33.0,,,61-47,,Offensive rebound by R. Gay
0:31.0,,,61-49,2,R. Gay makes 2-pt shot from 2 ft
0:21.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard),3,64-49,,
0:02.0,,,64-49,,R. McCallum misses 2-pt shot from 7 ft
0:02.0,,,64-49,,Offensive rebound by Team
0:02.0,,,64-50,1,R. Evans makes flagrant free throw 1 of 2
0:02.0,,,64-50,,R. Evans misses flagrant free throw 2 of 2
0:02.0,,,64-50,,Offensive rebound by Team
0:02.0,,,64-50,,O. Casspi enters the game for R. McCallum
0:02.0,A. Afflalo enters the game for R. Lopez,,64-50,,
0:02.0,,,64-50,,A. Miller enters the game for R. Evans
0:00.0,,,64-50,,O. Casspi misses 2-pt shot from 17 ft
0:00.0,,,64-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,64-50,,R. McCallum misses 2-pt shot from 15 ft (block by D. Lillard)
11:36.0,,,64-50,,Offensive rebound by Team
11:36.0,,,64-50,,Turnover by Team (shot clock)
11:15.0,R. Lopez misses 2-pt shot from 6 ft,,64-50,,
11:15.0,Offensive rebound by Team,,64-50,,
11:15.0,,,64-50,,Loose ball foul by J. Thompson (drawn by R. Lopez)
11:09.0,L. Aldridge misses 2-pt shot from 16 ft,,64-50,,
11:09.0,Offensive rebound by Team,,64-50,,
11:09.0,,,64-50,,Loose ball foul by C. Landry (drawn by R. Lopez)
11:03.0,D. Lillard makes 3-pt shot from 26 ft,3,67-50,,
10:47.0,,,67-52,2,R. Gay makes 2-pt shot from 6 ft (assist by J. Thompson)
10:31.0,Offensive foul by L. Aldridge,,67-52,,
10:31.0,Turnover by L. Aldridge (offensive foul),,67-52,,
10:13.0,,,67-52,,B. McLemore misses 2-pt shot from 6 ft
10:12.0,Defensive rebound by W. Matthews,,67-52,,
9:59.0,N. Batum misses 3-pt shot from 24 ft,,67-52,,
9:58.0,,,67-52,,Defensive rebound by B. McLemore
9:48.0,,,67-52,,B. McLemore misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by R. Lopez,,67-52,,
9:27.0,L. Aldridge makes 2-pt shot from 13 ft,2,69-52,,
9:17.0,,,69-54,2,C. Landry makes 2-pt shot at rim (assist by R. Gay)
9:00.0,Turnover by N. Batum (bad pass; steal by J. Thompson),,69-54,,
8:57.0,,,69-56,2,R. Gay makes 2-pt shot from 2 ft
8:57.0,,,69-56,,Shooting foul by L. Aldridge (drawn by R. Gay)
8:57.0,,,69-57,1,R. Gay makes free throw 1 of 1
8:37.0,Turnover by R. Lopez (bad pass; steal by B. McLemore),,69-57,,
8:33.0,,,69-57,,Shooting foul by W. Matthews (drawn by R. McCallum)
8:33.0,,,69-58,1,R. McCallum makes free throw 1 of 2
8:33.0,,,69-59,1,R. McCallum makes free throw 2 of 2
8:21.0,,,69-59,,Def 3 sec tech foul by J. Thompson
8:21.0,D. Lillard makes technical free throw,1,70-59,,
8:10.0,L. Aldridge makes 2-pt shot from 15 ft,2,72-59,,
7:59.0,,,72-61,2,C. Landry makes 2-pt shot from 1 ft (assist by R. McCallum)
7:42.0,Shooting foul by J. Thompson (drawn by L. Aldridge),,72-61,,
7:42.0,,,72-61,,Sacramento full timeout
7:42.0,,,72-61,,R. Hollins enters the game for J. Thompson
7:42.0,L. Aldridge makes free throw 1 of 2,1,73-61,,
7:42.0,L. Aldridge makes free throw 2 of 2,1,74-61,,
7:26.0,,,74-61,,C. Landry misses 2-pt shot from 4 ft
7:26.0,,,74-61,,Offensive rebound by Team
7:26.0,Loose ball foul by D. Lillard (drawn by R. Hollins),,74-61,,
7:11.0,,,74-61,,R. Gay misses 2-pt shot from 8 ft
7:11.0,Defensive rebound by W. Matthews,,74-61,,
6:53.0,W. Matthews misses 3-pt shot from 24 ft,,74-61,,
6:53.0,,,74-61,,Defensive rebound by C. Landry
6:42.0,,,74-61,,R. McCallum misses 2-pt shot from 4 ft
6:41.0,Defensive rebound by L. Aldridge,,74-61,,
6:36.0,Turnover by D. Lillard (bad pass; steal by C. Landry),,74-61,,
6:28.0,,,74-61,,C. Landry misses 2-pt shot from 2 ft
6:24.0,,,74-61,,Offensive rebound by C. Landry
6:13.0,,,74-63,2,R. McCallum makes 2-pt shot from 6 ft
5:53.0,L. Aldridge misses 2-pt shot from 17 ft,,74-63,,
5:53.0,,,74-63,,Defensive rebound by R. McCallum
5:46.0,,,74-65,2,R. Hollins makes 2-pt shot at rim (assist by R. McCallum)
5:41.0,Portland full timeout,,74-65,,
5:41.0,A. Afflalo enters the game for W. Matthews,,74-65,,
5:21.0,L. Aldridge misses 2-pt shot from 13 ft,,74-65,,
5:21.0,,,74-65,,Defensive rebound by R. McCallum
5:04.0,,,74-67,2,R. Gay makes 2-pt shot from 10 ft (assist by B. McLemore)
4:46.0,D. Lillard makes 2-pt shot from 9 ft,2,76-67,,
4:26.0,,,76-67,,R. Gay misses 2-pt shot from 12 ft
4:25.0,Defensive rebound by A. Afflalo,,76-67,,
4:13.0,D. Lillard misses 3-pt shot from 25 ft,,76-67,,
4:13.0,,,76-67,,Defensive rebound by R. Gay
4:01.0,,,76-67,,C. Landry misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by L. Aldridge,,76-67,,
3:41.0,L. Aldridge misses 2-pt shot from 5 ft,,76-67,,
3:41.0,,,76-67,,Defensive rebound by R. Gay
3:34.0,,,76-67,,R. McCallum misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by L. Aldridge,,76-67,,
3:24.0,,,76-67,,Personal foul by C. Landry (drawn by D. Lillard)
3:24.0,,,76-67,,D. Williams enters the game for R. Gay
3:24.0,,,76-67,,O. Casspi enters the game for B. McLemore
3:24.0,,,76-67,,A. Miller enters the game for R. McCallum
3:24.0,C. Kaman enters the game for R. Lopez,,76-67,,
3:12.0,D. Lillard makes 3-pt shot from 24 ft,3,79-67,,
2:58.0,,,79-67,,D. Williams misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by C. Kaman,,79-67,,
2:50.0,L. Aldridge misses 2-pt shot from 7 ft,,79-67,,
2:49.0,Offensive rebound by A. Afflalo,,79-67,,
2:46.0,N. Batum misses 3-pt shot from 25 ft,,79-67,,
2:45.0,Offensive rebound by L. Aldridge,,79-67,,
2:43.0,Shooting foul by C. Landry (drawn by L. Aldridge),,79-67,,
2:43.0,L. Aldridge makes free throw 1 of 2,1,80-67,,
2:43.0,,,80-67,,R. Evans enters the game for C. Landry
2:43.0,L. Aldridge makes free throw 2 of 2,1,81-67,,
2:30.0,,,81-67,,Turnover by O. Casspi (bad pass)
2:30.0,W. Matthews enters the game for N. Batum,,81-67,,
2:30.0,,,81-67,,Technical foul by A. Miller
2:30.0,D. Lillard makes technical free throw,1,82-67,,
2:15.0,Turnover by A. Afflalo (lost ball; steal by O. Casspi),,82-67,,
2:14.0,Clear path foul by A. Afflalo,,82-67,,
2:14.0,,,82-68,1,O. Casspi makes clear path free throw 1 of 2
2:14.0,,,82-69,1,O. Casspi makes clear path free throw 2 of 2
2:14.0,S. Blake enters the game for D. Lillard,,82-69,,
2:02.0,,,82-71,2,A. Miller makes 2-pt shot from 15 ft
1:42.0,W. Matthews makes 3-pt shot from 25 ft (assist by L. Aldridge),3,85-71,,
1:29.0,,,85-71,,Turnover by A. Miller (bad pass; steal by W. Matthews)
1:19.0,Turnover by S. Blake (lost ball; steal by A. Miller),,85-71,,
1:15.0,,,85-73,2,O. Casspi makes 2-pt shot from 2 ft (assist by A. Miller)
0:49.0,L. Aldridge misses 2-pt shot from 13 ft,,85-73,,
0:49.0,,,85-73,,Defensive rebound by O. Casspi
0:35.0,,,85-73,,O. Casspi misses 2-pt shot from 4 ft
0:34.0,,,85-73,,Offensive rebound by R. Evans
0:33.0,Personal foul by C. Kaman (drawn by R. Evans),,85-73,,
0:33.0,,,85-74,1,R. Evans makes free throw 1 of 2
0:33.0,,,85-75,1,R. Evans makes free throw 2 of 2
0:20.0,Turnover by S. Blake (step out of bounds),,85-75,,
0:01.0,,,85-75,,R. Evans misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by C. Kaman,,85-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Kaman makes 2-pt shot from 3 ft (assist by A. Afflalo),2,87-75,,
11:28.0,Personal foul by M. Leonard (drawn by R. Hollins),,87-75,,
11:13.0,,,87-77,2,A. Miller makes 2-pt shot from 7 ft
10:51.0,Offensive foul by S. Blake,,87-77,,
10:51.0,Turnover by S. Blake (offensive foul),,87-77,,
10:51.0,,,87-77,,R. Gay enters the game for R. Evans
10:36.0,,,87-77,,Shooting foul by M. Leonard (drawn by D. Williams)
10:36.0,,,87-78,1,D. Williams makes free throw 1 of 2
10:36.0,,,87-79,1,D. Williams makes free throw 2 of 2
10:17.0,C. Kaman makes 2-pt shot from 9 ft,2,89-79,,
10:02.0,,,89-81,2,D. Williams makes 2-pt shot from 1 ft (assist by A. Miller)
9:44.0,C. Kaman misses 2-pt shot from 6 ft,,89-81,,
9:43.0,,,89-81,,Defensive rebound by R. Hollins
9:39.0,,,89-81,,D. Williams misses 2-pt shot from 3 ft
9:37.0,Defensive rebound by S. Blake,,89-81,,
9:29.0,M. Leonard misses 2-pt shot from 14 ft,,89-81,,
9:29.0,,,89-81,,Defensive rebound by Team
9:29.0,D. Lillard enters the game for W. Matthews,,89-81,,
9:29.0,N. Batum enters the game for S. Blake,,89-81,,
9:14.0,,,89-83,2,D. Williams makes 2-pt shot from 5 ft (assist by A. Miller)
9:11.0,Portland full timeout,,89-83,,
9:11.0,L. Aldridge enters the game for M. Leonard,,89-83,,
8:51.0,Turnover by L. Aldridge (lost ball; steal by A. Miller),,89-83,,
8:47.0,,,89-85,2,D. Williams makes 2-pt shot at rim (assist by O. Casspi)
8:30.0,D. Lillard misses 2-pt shot from 13 ft,,89-85,,
8:29.0,,,89-85,,Defensive rebound by A. Miller
8:23.0,,,89-88,3,R. Gay makes 3-pt shot from 25 ft (assist by A. Miller)
8:03.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. Kaman),3,92-88,,
7:40.0,,,92-88,,R. Gay misses 2-pt shot from 5 ft
7:39.0,Defensive rebound by L. Aldridge,,92-88,,
7:30.0,D. Lillard makes 2-pt shot from 17 ft,2,94-88,,
7:18.0,,,94-90,2,R. Hollins makes 2-pt shot from 2 ft (assist by A. Miller)
6:57.0,C. Kaman makes 2-pt shot from 16 ft (assist by N. Batum),2,96-90,,
6:39.0,,,96-90,,O. Casspi misses 2-pt shot from 8 ft
6:38.0,Defensive rebound by C. Kaman,,96-90,,
6:24.0,D. Lillard misses 2-pt shot from 10 ft,,96-90,,
6:24.0,,,96-90,,Defensive rebound by R. Gay
6:16.0,,,96-92,2,D. Williams makes 2-pt shot at rim (assist by A. Miller)
5:53.0,L. Aldridge makes 2-pt shot from 6 ft,2,98-92,,
5:51.0,,,98-92,,Sacramento full timeout
5:51.0,,,98-92,,J. Thompson enters the game for R. Hollins
5:51.0,,,98-92,,R. McCallum enters the game for A. Miller
5:51.0,R. Lopez enters the game for C. Kaman,,98-92,,
5:40.0,,,98-92,,R. Gay misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by R. Lopez,,98-92,,
5:19.0,L. Aldridge misses 2-pt shot from 15 ft,,98-92,,
5:18.0,Offensive rebound by R. Lopez,,98-92,,
5:18.0,R. Lopez makes 2-pt shot at rim,2,100-92,,
5:05.0,,,100-94,2,D. Williams makes 2-pt shot from 14 ft
4:46.0,Turnover by A. Afflalo (bad pass),,100-94,,
4:46.0,W. Matthews enters the game for A. Afflalo,,100-94,,
4:29.0,,,100-94,,D. Williams misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by D. Lillard,,100-94,,
4:09.0,D. Lillard misses 3-pt shot from 24 ft,,100-94,,
4:08.0,,,100-94,,Defensive rebound by D. Williams
3:52.0,,,100-96,2,J. Thompson makes 2-pt shot at rim (assist by R. McCallum)
3:28.0,R. Lopez makes 2-pt shot from 7 ft (assist by D. Lillard),2,102-96,,
3:16.0,,,102-96,,Shooting foul by W. Matthews (drawn by D. Williams)
3:16.0,,,102-96,,D. Williams misses free throw 1 of 2
