time,Milwaukee,pts.away,score,pts.home,Toronto
4:22.0,,,13-24,,Shooting foul by Z. Pachulia (drawn by J. Valanciunas)
4:22.0,,,13-25,1,J. Valanciunas makes free throw 1 of 2
4:22.0,,,13-26,1,J. Valanciunas makes free throw 2 of 2
4:02.0,Turnover by Team (back court),,13-26,,
3:51.0,,,13-26,,K. Lowry misses 2-pt shot from 3 ft
3:50.0,,,13-26,,Offensive rebound by J. Valanciunas
3:47.0,,,13-28,2,J. Valanciunas makes 2-pt shot from 1 ft
3:38.0,B. Knight misses 2-pt shot from 20 ft,,13-28,,
3:37.0,Offensive rebound by Z. Pachulia,,13-28,,
3:23.0,J. Parker makes 2-pt shot from 1 ft (assist by O. Mayo),2,15-28,,
3:12.0,Personal foul by O. Mayo (drawn by K. Lowry),,15-28,,
3:12.0,,,15-29,1,K. Lowry makes free throw 1 of 2
3:12.0,,,15-29,,K. Lowry misses free throw 2 of 2
3:11.0,Defensive rebound by Z. Pachulia,,15-29,,
2:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,17-29,,
2:51.0,Shooting foul by P. Patterson (drawn by G. Antetokounmpo),,17-29,,
2:51.0,,,17-29,,Toronto full timeout
2:51.0,,,17-29,,T. Ross enters the game for D. DeRozan
2:51.0,G. Antetokounmpo makes free throw 1 of 1,1,18-29,,
2:35.0,,,18-29,,L. Williams misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by Team,,18-29,,
2:16.0,G. Antetokounmpo misses 2-pt shot at rim,,18-29,,
2:15.0,,,18-29,,Defensive rebound by K. Lowry
2:13.0,Personal foul by G. Antetokounmpo (drawn by K. Lowry),,18-29,,
2:13.0,,,18-30,1,K. Lowry makes free throw 1 of 2
2:13.0,E. Ilyasova enters the game for J. Parker,,18-30,,
2:13.0,,,18-30,,K. Lowry misses free throw 2 of 2
2:12.0,Defensive rebound by Team,,18-30,,
2:12.0,,,18-30,,Loose ball foul by J. Valanciunas (drawn by Z. Pachulia)
2:12.0,Z. Pachulia makes free throw 1 of 2,1,19-30,,
2:12.0,,,19-30,,G. Vasquez enters the game for K. Lowry
2:12.0,,,19-30,,C. Hayes enters the game for J. Valanciunas
2:12.0,Z. Pachulia makes free throw 2 of 2,1,20-30,,
1:53.0,,,20-30,,T. Ross misses 3-pt shot from 23 ft
1:52.0,,,20-30,,Offensive rebound by C. Hayes
1:47.0,,,20-32,2,T. Ross makes 2-pt shot from 17 ft (assist by C. Hayes)
1:25.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by B. Knight),3,23-32,,
1:14.0,,,23-32,,L. Williams misses 2-pt shot from 11 ft
1:13.0,Defensive rebound by G. Antetokounmpo,,23-32,,
1:07.0,Turnover by B. Knight (bad pass; steal by P. Patterson),,23-32,,
1:02.0,,,23-34,2,L. Williams makes 2-pt shot at rim (assist by G. Vasquez)
0:47.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by B. Knight),3,26-34,,
0:28.0,,,26-34,,T. Ross misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by G. Antetokounmpo,,26-34,,
0:25.0,,,26-34,,Personal foul by T. Ross (drawn by G. Antetokounmpo)
0:25.0,G. Antetokounmpo makes free throw 1 of 2,1,27-34,,
0:25.0,G. Antetokounmpo misses free throw 2 of 2,,27-34,,
0:24.0,,,27-34,,Defensive rebound by C. Hayes
0:00.0,,,27-37,3,L. Williams makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by O. Mayo),2,29-37,,
11:27.0,Violation by Z. Pachulia (kicked ball),,29-37,,
11:18.0,,,29-39,2,C. Hayes makes 2-pt shot from 7 ft (assist by L. Williams)
11:02.0,Shooting foul by C. Hayes (drawn by Z. Pachulia),,29-39,,
11:02.0,Z. Pachulia misses free throw 1 of 2,,29-39,,
11:02.0,Offensive rebound by Team,,29-39,,
11:02.0,Z. Pachulia makes free throw 2 of 2,1,30-39,,
10:53.0,,,30-41,2,G. Vasquez makes 2-pt shot from 20 ft
10:29.0,Z. Pachulia misses 2-pt shot from 12 ft,,30-41,,
10:28.0,,,30-41,,Defensive rebound by C. Hayes
10:15.0,,,30-41,,Turnover by C. Hayes (lost ball; steal by Z. Pachulia)
10:15.0,Jump ball: C. Hayes vs. Z. Pachulia (J. Bayless gains possession),,,,Jump ball: C. Hayes vs. Z. Pachulia (J. Bayless gains possession)
10:02.0,Z. Pachulia misses 2-pt shot from 7 ft,,30-41,,
10:01.0,,,30-41,,Defensive rebound by P. Patterson
9:47.0,,,30-44,3,T. Ross makes 3-pt shot from 23 ft (assist by G. Vasquez)
9:35.0,Turnover by Z. Pachulia (bad pass; steal by C. Hayes),,30-44,,
9:29.0,,,30-44,,L. Williams misses 2-pt shot from 5 ft
9:25.0,Defensive rebound by Z. Pachulia,,30-44,,
9:24.0,Turnover by J. Bayless (bad pass; steal by L. Williams),,30-44,,
9:21.0,,,30-44,,G. Vasquez misses 2-pt shot from 3 ft
9:18.0,,,30-44,,Offensive rebound by P. Patterson
9:18.0,,,30-44,,P. Patterson misses 2-pt shot from 2 ft
9:18.0,,,30-44,,Offensive rebound by Team
9:18.0,Loose ball foul by J. Bayless (drawn by P. Patterson),,30-44,,
9:18.0,J. Henson enters the game for Z. Pachulia,,30-44,,
9:18.0,K. Middleton enters the game for O. Mayo,,30-44,,
9:13.0,,,30-46,2,G. Vasquez makes 2-pt shot from 20 ft
8:55.0,K. Middleton misses 2-pt shot from 20 ft,,30-46,,
8:53.0,,,30-46,,Defensive rebound by P. Patterson
8:47.0,,,30-48,2,L. Williams makes 2-pt shot from 1 ft (assist by P. Patterson)
8:27.0,,,30-48,,Violation by P. Patterson (kicked ball)
8:27.0,Official timeout,,30-48,,
8:27.0,N. Wolters enters the game for J. Bayless,,30-48,,
8:27.0,B. Knight enters the game for G. Antetokounmpo,,30-48,,
8:16.0,N. Wolters makes 2-pt shot from 6 ft (assist by E. Ilyasova),2,32-48,,
7:55.0,,,32-51,3,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson)
7:36.0,J. Henson misses 2-pt shot from 7 ft,,32-51,,
7:35.0,,,32-51,,Defensive rebound by C. Hayes
7:27.0,Personal foul by N. Wolters (drawn by L. Williams),,32-51,,
7:27.0,,,32-51,,D. DeRozan enters the game for T. Ross
7:17.0,,,32-51,,L. Williams misses 2-pt shot from 17 ft
7:16.0,Defensive rebound by N. Wolters,,32-51,,
7:05.0,Turnover by N. Wolters (bad pass; steal by C. Hayes),,32-51,,
7:00.0,,,32-51,,L. Williams misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by N. Wolters,,32-51,,
6:53.0,,,32-51,,Violation by P. Patterson (kicked ball)
6:53.0,,,32-51,,K. Lowry enters the game for L. Williams
6:53.0,,,32-51,,A. Johnson enters the game for C. Hayes
6:53.0,,,32-51,,J. Valanciunas enters the game for P. Patterson
6:47.0,K. Middleton misses 2-pt shot from 16 ft,,32-51,,
6:46.0,,,32-51,,Defensive rebound by J. Valanciunas
6:23.0,,,32-51,,G. Vasquez misses 2-pt shot from 2 ft
6:21.0,,,32-51,,Offensive rebound by G. Vasquez
6:14.0,,,32-51,,Shooting foul by N. Wolters (drawn by K. Lowry)
6:14.0,,,32-52,1,K. Lowry makes free throw 1 of 2
6:14.0,,,32-53,1,K. Lowry makes free throw 2 of 2
6:03.0,Turnover by J. Henson (bad pass; steal by G. Vasquez),,32-53,,
5:58.0,,,32-55,2,G. Vasquez makes 2-pt shot at rim
5:43.0,K. Middleton misses 2-pt shot from 7 ft,,32-55,,
5:42.0,Offensive rebound by K. Middleton,,32-55,,
5:37.0,E. Ilyasova misses 3-pt shot from 24 ft,,32-55,,
5:36.0,,,32-55,,Defensive rebound by K. Lowry
5:27.0,,,32-57,2,A. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
5:21.0,Milwaukee full timeout,,32-57,,
5:21.0,J. Parker enters the game for K. Middleton,,32-57,,
5:21.0,L. Sanders enters the game for E. Ilyasova,,32-57,,
5:21.0,G. Antetokounmpo enters the game for J. Henson,,32-57,,
5:07.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,32-57,,
5:05.0,Offensive rebound by L. Sanders,,32-57,,
5:01.0,L. Sanders makes 2-pt shot from 1 ft,2,34-57,,
4:46.0,,,34-57,,G. Vasquez misses 2-pt shot from 11 ft
4:45.0,,,34-57,,Offensive rebound by J. Valanciunas
4:43.0,,,34-59,2,J. Valanciunas makes 2-pt shot at rim
4:31.0,Turnover by G. Antetokounmpo (bad pass),,34-59,,
4:21.0,,,34-59,,Offensive foul by A. Johnson
4:21.0,,,34-59,,Turnover by A. Johnson (offensive foul)
3:58.0,B. Knight makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,36-59,,
3:38.0,,,36-59,,Turnover by J. Valanciunas (lost ball; steal by G. Antetokounmpo)
3:32.0,J. Parker misses 2-pt shot from 2 ft,,36-59,,
3:31.0,,,36-59,,Defensive rebound by J. Valanciunas
3:23.0,,,36-59,,Toronto full timeout
3:23.0,,,36-59,,L. Williams enters the game for A. Johnson
3:23.0,,,36-59,,P. Patterson enters the game for G. Vasquez
3:15.0,,,36-59,,P. Patterson misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by N. Wolters,,36-59,,
2:59.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,36-59,,
2:57.0,,,36-59,,Defensive rebound by D. DeRozan
2:51.0,Personal foul by G. Antetokounmpo (drawn by D. DeRozan),,36-59,,
2:48.0,,,36-62,3,L. Williams makes 3-pt shot from 22 ft (assist by K. Lowry)
2:28.0,L. Sanders makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,38-62,,
2:11.0,,,38-62,,L. Williams misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by J. Parker,,38-62,,
2:05.0,J. Parker makes 2-pt shot at rim,2,40-62,,
1:58.0,,,40-62,,P. Patterson misses 3-pt shot from 22 ft
1:56.0,Defensive rebound by B. Knight,,40-62,,
1:55.0,,,40-62,,Shooting block foul by L. Williams (drawn by G. Antetokounmpo)
1:55.0,G. Antetokounmpo misses free throw 1 of 2,,40-62,,
1:55.0,Offensive rebound by Team,,40-62,,
1:55.0,,,40-62,,C. Hayes enters the game for J. Valanciunas
1:55.0,G. Antetokounmpo makes free throw 2 of 2,1,41-62,,
1:34.0,,,41-62,,Shooting foul by L. Sanders (drawn by D. DeRozan)
1:34.0,,,41-63,1,D. DeRozan makes free throw 1 of 2
1:34.0,,,41-63,,D. DeRozan misses free throw 2 of 2
1:33.0,Defensive rebound by L. Sanders,,41-63,,
1:25.0,,,41-63,,Shooting block foul by C. Hayes (drawn by B. Knight)
1:25.0,B. Knight makes free throw 1 of 2,1,42-63,,
1:25.0,B. Knight makes free throw 2 of 2,1,43-63,,
1:01.0,,,43-66,3,L. Williams makes 3-pt shot from 22 ft (assist by K. Lowry)
0:54.0,B. Knight misses 2-pt shot from 1 ft,,43-66,,
0:54.0,Offensive rebound by L. Sanders,,43-66,,
0:54.0,Shooting foul by P. Patterson (drawn by L. Sanders),,43-66,,
0:54.0,L. Sanders makes free throw 1 of 2,1,44-66,,
0:54.0,L. Sanders makes free throw 2 of 2,1,45-66,,
0:37.0,,,45-68,2,K. Lowry makes 2-pt shot from 22 ft
0:24.0,N. Wolters misses 2-pt shot from 7 ft,,45-68,,
0:23.0,,,45-68,,Defensive rebound by L. Williams
0:00.0,,,45-71,3,L. Williams makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Marshall misses 3-pt shot from 22 ft,,45-71,,
11:41.0,Offensive rebound by L. Sanders,,45-71,,
11:30.0,K. Middleton misses 2-pt shot from 1 ft,,45-71,,
11:29.0,,,45-71,,Defensive rebound by J. Valanciunas
11:18.0,,,45-73,2,D. DeRozan makes 2-pt shot from 2 ft
11:04.0,K. Marshall misses 2-pt shot from 21 ft,,45-73,,
11:03.0,,,45-73,,Defensive rebound by D. DeRozan
10:47.0,,,45-75,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
10:33.0,Offensive foul by B. Knight,,45-75,,
10:33.0,Turnover by B. Knight (offensive foul),,45-75,,
10:20.0,,,45-75,,D. DeRozan misses 2-pt shot from 20 ft
10:19.0,,,45-75,,Offensive rebound by K. Lowry
10:12.0,,,45-77,2,K. Lowry makes 2-pt shot from 21 ft
9:50.0,K. Middleton misses 3-pt shot from 25 ft,,45-77,,
9:49.0,,,45-77,,Defensive rebound by D. DeRozan
9:37.0,,,45-77,,K. Lowry misses 3-pt shot from 24 ft
9:36.0,,,45-77,,Offensive rebound by Team
9:35.0,Loose ball foul by B. Knight (drawn by T. Ross),,45-77,,
9:24.0,,,45-77,,Turnover by D. DeRozan (lost ball; steal by J. Parker)
9:20.0,Shooting foul by A. Johnson (drawn by J. Parker),,45-77,,
9:20.0,J. Parker makes free throw 1 of 2,1,46-77,,
9:20.0,J. Parker makes free throw 2 of 2,1,47-77,,
9:01.0,,,47-77,,D. DeRozan misses 2-pt shot from 20 ft
9:00.0,Defensive rebound by Team,,47-77,,
8:47.0,J. Parker misses 2-pt shot at rim,,47-77,,
8:46.0,,,47-77,,Defensive rebound by T. Ross
8:38.0,,,47-77,,Turnover by K. Lowry (bad pass)
8:26.0,J. Parker misses 2-pt shot from 14 ft,,47-77,,
8:25.0,,,47-77,,Defensive rebound by J. Valanciunas
8:06.0,,,47-77,,Turnover by A. Johnson (lost ball; steal by K. Marshall)
7:59.0,,,47-77,,Loose ball foul by D. DeRozan (drawn by B. Knight)
7:52.0,K. Middleton makes 2-pt shot from 3 ft (assist by J. Parker),2,49-77,,
7:52.0,Shooting foul by J. Valanciunas (drawn by K. Middleton),,49-77,,
7:52.0,K. Middleton makes free throw 1 of 1,1,50-77,,
7:34.0,,,50-79,2,A. Johnson makes 2-pt shot from 5 ft (assist by T. Ross)
7:20.0,K. Middleton misses 2-pt shot from 15 ft,,50-79,,
7:19.0,,,50-79,,Defensive rebound by T. Ross
7:08.0,,,50-79,,Shooting foul by L. Sanders (drawn by D. DeRozan)
7:08.0,,,50-80,1,D. DeRozan makes free throw 1 of 2
7:08.0,,,50-81,1,D. DeRozan makes free throw 2 of 2
6:49.0,B. Knight misses 3-pt shot from 23 ft,,50-81,,
6:48.0,,,50-81,,Defensive rebound by J. Valanciunas
6:42.0,Personal foul by K. Marshall (drawn by K. Lowry),,50-81,,
6:30.0,,,50-81,,Shooting foul by L. Sanders (drawn by J. Valanciunas)
6:30.0,,,50-82,1,J. Valanciunas makes free throw 1 of 2
6:30.0,J. Dudley enters the game for K. Middleton,,50-82,,
6:30.0,N. Wolters enters the game for B. Knight,,50-82,,
6:30.0,,,50-83,1,J. Valanciunas makes free throw 2 of 2
6:11.0,K. Marshall misses 3-pt shot from 24 ft,,50-83,,
6:09.0,,,50-83,,Defensive rebound by J. Valanciunas
6:02.0,,,50-85,2,A. Johnson makes 2-pt shot from 6 ft (assist by K. Lowry)
5:47.0,Shooting foul by J. Valanciunas (drawn by J. Parker),,50-85,,
5:47.0,,,50-85,,Toronto full timeout
5:47.0,,,50-85,,P. Patterson enters the game for J. Valanciunas
5:47.0,J. Parker makes free throw 1 of 2,1,51-85,,
5:47.0,J. Parker misses free throw 2 of 2,,51-85,,
5:46.0,Offensive rebound by J. Parker,,51-85,,
5:44.0,J. Parker misses 2-pt shot from 3 ft,,51-85,,
5:42.0,,,51-85,,Defensive rebound by A. Johnson
5:27.0,,,51-88,3,K. Lowry makes 3-pt shot from 24 ft
5:15.0,K. Marshall misses 2-pt shot from 3 ft (block by A. Johnson),,51-88,,
5:13.0,Offensive rebound by J. Parker,,51-88,,
5:09.0,J. Parker misses 2-pt shot from 2 ft,,51-88,,
5:08.0,,,51-88,,Defensive rebound by A. Johnson
4:59.0,,,51-91,3,K. Lowry makes 3-pt shot from 24 ft
4:38.0,J. Dudley misses 3-pt shot from 23 ft,,51-91,,
4:37.0,,,51-91,,Defensive rebound by P. Patterson
4:21.0,,,51-94,3,T. Ross makes 3-pt shot from 27 ft (assist by D. DeRozan)
3:59.0,N. Wolters misses 3-pt shot from 26 ft,,51-94,,
3:58.0,,,51-94,,Defensive rebound by K. Lowry
3:50.0,,,51-94,,K. Lowry misses 3-pt shot from 27 ft
3:49.0,Defensive rebound by K. Marshall,,51-94,,
3:42.0,L. Sanders makes 2-pt shot at rim (assist by J. Parker),2,53-94,,
3:24.0,,,53-94,,A. Johnson misses 2-pt shot from 20 ft
3:23.0,Defensive rebound by J. Parker,,53-94,,
3:16.0,K. Marshall misses 3-pt shot from 24 ft,,53-94,,
3:15.0,,,53-94,,Defensive rebound by P. Patterson
3:07.0,,,53-94,,Toronto full timeout
3:07.0,,,53-94,,C. Hayes enters the game for T. Ross
3:07.0,,,53-94,,L. Williams enters the game for A. Johnson
3:07.0,,,53-94,,G. Vasquez enters the game for K. Lowry
2:49.0,,,53-94,,P. Patterson misses 2-pt shot from 10 ft
2:48.0,Defensive rebound by L. Sanders,,53-94,,
2:25.0,Turnover by Team (shot clock),,53-94,,
2:25.0,Milwaukee full timeout,,53-94,,
2:25.0,J. Henson enters the game for L. Sanders,,53-94,,
2:08.0,,,53-94,,D. DeRozan misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by J. Henson,,53-94,,
1:56.0,J. Dudley misses 2-pt shot from 19 ft,,53-94,,
1:55.0,,,53-94,,Defensive rebound by P. Patterson
1:41.0,,,53-96,2,G. Vasquez makes 2-pt shot from 18 ft
1:20.0,K. Marshall misses 3-pt shot from 26 ft,,53-96,,
1:19.0,,,53-96,,Defensive rebound by D. DeRozan
1:06.0,,,53-96,,P. Patterson misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by J. Dudley,,53-96,,
0:58.0,J. Parker makes 3-pt shot from 24 ft (assist by N. Wolters),3,56-96,,
0:41.0,,,56-98,2,P. Patterson makes 2-pt shot from 9 ft (assist by G. Vasquez)
0:32.0,N. Wolters misses 2-pt shot from 11 ft,,56-98,,
0:31.0,,,56-98,,Defensive rebound by D. DeRozan
0:12.0,,,56-98,,Shooting foul by N. Wolters (drawn by L. Williams)
0:12.0,,,56-99,1,L. Williams makes free throw 1 of 3
0:12.0,,,56-100,1,L. Williams makes free throw 2 of 3
0:12.0,,,56-101,1,L. Williams makes free throw 3 of 3
0:02.0,Shooting foul by C. Hayes (drawn by J. Parker),,56-101,,
0:02.0,J. Parker misses free throw 1 of 2,,56-101,,
0:02.0,Offensive rebound by Team,,56-101,,
0:02.0,J. Parker makes free throw 2 of 2,1,57-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,57-101,,L. Williams misses 2-pt shot from 22 ft
11:46.0,Defensive rebound by E. Ilyasova,,57-101,,
11:31.0,E. Ilyasova makes 2-pt shot from 1 ft,2,59-101,,
11:16.0,,,59-101,,G. Stiemsma enters the game for C. Hayes
11:05.0,,,59-101,,B. Caboclo misses 3-pt shot from 24 ft
11:04.0,,,59-101,,Offensive rebound by P. Patterson
10:46.0,,,59-104,3,L. Williams makes 3-pt shot from 24 ft (assist by P. Patterson)
10:24.0,N. Wolters misses 2-pt shot from 10 ft,,59-104,,
10:23.0,,,59-104,,Defensive rebound by G. Stiemsma
10:18.0,,,59-106,2,B. Caboclo makes 2-pt shot at rim (assist by L. Williams)
10:00.0,E. Ilyasova misses 3-pt shot from 24 ft,,59-106,,
9:59.0,,,59-106,,Defensive rebound by B. Caboclo
9:37.0,,,59-109,3,B. Caboclo makes 3-pt shot from 23 ft (assist by G. Vasquez)
9:23.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by J. Dudley),2,61-109,,
9:03.0,,,61-109,,B. Caboclo misses 2-pt shot from 8 ft
9:02.0,Defensive rebound by J. Henson,,61-109,,
8:53.0,J. Dudley misses 3-pt shot from 23 ft,,61-109,,
8:51.0,,,61-109,,Defensive rebound by P. Patterson
8:45.0,Official timeout,,61-109,,
8:45.0,,,61-109,,L. Fields enters the game for L. Williams
8:45.0,,,61-109,,L. Nogueira enters the game for P. Patterson
8:34.0,,,61-109,,Turnover by B. Caboclo (lost ball; steal by K. Marshall)
8:30.0,,,61-109,,Violation by B. Caboclo (def goaltending)
8:30.0,J. Dudley makes 2-pt shot from 1 ft (assist by K. Marshall),2,63-109,,
8:11.0,,,63-109,,Offensive foul by L. Nogueira
8:11.0,,,63-109,,Turnover by L. Nogueira (offensive foul)
8:06.0,,,63-109,,Personal foul by L. Nogueira (drawn by E. Ilyasova)
7:54.0,N. Wolters misses 3-pt shot from 23 ft,,63-109,,
7:53.0,Offensive rebound by Team,,63-109,,
7:53.0,,,63-109,,Loose ball foul by G. Stiemsma (drawn by J. Dudley)
7:36.0,J. Henson misses 2-pt shot from 2 ft,,63-109,,
7:34.0,,,63-109,,Defensive rebound by L. Nogueira
7:29.0,,,63-109,,Shooting foul by J. Henson (drawn by L. Nogueira)
7:29.0,,,63-109,,L. Nogueira misses free throw 1 of 2
7:29.0,,,63-109,,Offensive rebound by Team
7:29.0,,,63-109,,L. Nogueira misses free throw 2 of 2
7:28.0,,,63-109,,Offensive rebound by L. Fields
7:21.0,,,63-111,2,L. Fields makes 2-pt shot at rim
7:11.0,,,63-111,,Shooting block foul by G. Stiemsma (drawn by E. Ilyasova)
7:11.0,E. Ilyasova misses free throw 1 of 2,,63-111,,
7:11.0,Offensive rebound by Team,,63-111,,
7:11.0,E. Ilyasova makes free throw 2 of 2,1,64-111,,
6:53.0,,,64-111,,G. Vasquez misses 3-pt shot from 25 ft
6:52.0,,,64-111,,Offensive rebound by G. Stiemsma
6:46.0,,,64-113,2,L. Fields makes 2-pt shot from 2 ft (assist by G. Vasquez)
6:23.0,E. Ilyasova misses 2-pt shot from 10 ft,,64-113,,
6:23.0,,,64-113,,Defensive rebound by L. Fields
6:01.0,,,64-116,3,B. Caboclo makes 3-pt shot from 24 ft (assist by G. Stiemsma)
5:46.0,,,64-116,,Toronto full timeout
5:42.0,Shooting foul by B. Caboclo (drawn by J. Dudley),,64-116,,
5:42.0,J. Dudley makes free throw 1 of 2,1,65-116,,
5:42.0,J. Dudley misses free throw 2 of 2,,65-116,,
5:40.0,,,65-116,,Defensive rebound by L. Nogueira
