time,Sacramento,pts.away,score,pts.home,Cleveland
7:44.0,,,9-16,,Turnover by K. Love (step out of bounds)
7:31.0,Shooting foul by T. Mozgov (drawn by D. Cousins),,9-16,,
7:31.0,D. Cousins makes free throw 1 of 2,1,10-16,,
7:31.0,D. Cousins makes free throw 2 of 2,1,11-16,,
7:21.0,,,11-16,,K. Irving misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by D. Cousins,,11-16,,
7:12.0,D. Cousins misses 2-pt shot from 17 ft,,11-16,,
7:10.0,Offensive rebound by J. Thompson,,11-16,,
7:09.0,Shooting foul by K. Love (drawn by J. Thompson),,11-16,,
7:09.0,J. Thompson misses free throw 1 of 2,,11-16,,
7:09.0,Offensive rebound by Team,,11-16,,
7:09.0,J. Thompson misses free throw 2 of 2,,11-16,,
7:09.0,Offensive rebound by B. McLemore,,11-16,,
7:03.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison),3,14-16,,
6:38.0,,,14-16,,K. Love misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by R. Gay,,14-16,,
6:25.0,R. Gay makes 2-pt shot from 12 ft,2,16-16,,
6:14.0,,,16-16,,J. Smith misses 3-pt shot from 23 ft
6:13.0,Defensive rebound by D. Cousins,,16-16,,
5:56.0,D. Collison misses 2-pt shot at rim,,16-16,,
5:53.0,,,16-16,,Defensive rebound by T. Mozgov
5:52.0,Violation by D. Cousins (def goaltending),,16-16,,
5:52.0,,,16-18,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
5:52.0,Sacramento full timeout,,16-18,,
5:52.0,,,16-18,,S. Marion enters the game for L. James
5:36.0,B. McLemore misses 2-pt shot from 17 ft,,16-18,,
5:35.0,Offensive rebound by R. Gay,,16-18,,
5:28.0,D. Collison misses 2-pt shot from 4 ft,,16-18,,
5:27.0,,,16-18,,Defensive rebound by T. Mozgov
5:19.0,,,16-21,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
5:09.0,R. Gay misses 3-pt shot from 25 ft,,16-21,,
5:08.0,,,16-21,,Defensive rebound by K. Love
5:03.0,,,16-21,,S. Marion misses 2-pt shot from 9 ft
5:02.0,Defensive rebound by Team,,16-21,,
4:48.0,D. Cousins misses 2-pt shot from 13 ft,,16-21,,
4:46.0,,,16-21,,Defensive rebound by K. Love
4:36.0,,,16-24,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
4:11.0,Turnover by R. Gay (bad pass; steal by T. Mozgov),,16-24,,
4:11.0,Personal foul by R. Gay (drawn by T. Mozgov),,16-24,,
4:11.0,D. Williams enters the game for J. Thompson,,16-24,,
3:59.0,,,16-24,,T. Mozgov misses 2-pt shot from 5 ft
3:58.0,Defensive rebound by B. McLemore,,16-24,,
3:44.0,D. Cousins misses 2-pt shot from 5 ft,,16-24,,
3:42.0,Offensive rebound by D. Cousins,,16-24,,
3:42.0,D. Cousins misses 2-pt shot from 3 ft,,16-24,,
3:42.0,,,16-24,,Defensive rebound by Team
3:29.0,,,16-24,,S. Marion misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by B. McLemore,,16-24,,
3:20.0,,,16-24,,Personal foul by T. Mozgov (drawn by D. Cousins)
3:20.0,,,16-24,,T. Thompson enters the game for T. Mozgov
3:20.0,,,16-24,,L. James enters the game for J. Smith
3:20.0,O. Casspi enters the game for R. Gay,,16-24,,
3:12.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,18-24,,
2:52.0,,,18-26,2,K. Love makes 2-pt shot from 11 ft (assist by K. Irving)
2:39.0,D. Williams misses 3-pt shot from 25 ft,,18-26,,
2:38.0,,,18-26,,Defensive rebound by T. Thompson
2:33.0,,,18-26,,Turnover by K. Irving (lost ball; steal by O. Casspi)
2:26.0,O. Casspi misses 2-pt shot from 9 ft,,18-26,,
2:25.0,,,18-26,,Defensive rebound by L. James
2:13.0,,,18-28,2,K. Love makes 2-pt shot from 7 ft
2:02.0,D. Collison misses 2-pt shot from 16 ft,,18-28,,
2:01.0,,,18-28,,Defensive rebound by T. Thompson
1:42.0,,,18-30,2,K. Love makes 2-pt shot at rim (assist by L. James)
1:36.0,Sacramento full timeout,,18-30,,
1:36.0,,,18-30,,Cleveland full timeout
1:36.0,,,18-30,,I. Shumpert enters the game for K. Love
1:36.0,,,18-30,,M. Dellavedova enters the game for K. Irving
1:23.0,D. Williams makes 2-pt shot at rim (assist by D. Cousins),2,20-30,,
1:07.0,,,20-30,,Turnover by L. James (lost ball)
0:51.0,D. Williams misses 2-pt shot from 11 ft,,20-30,,
0:50.0,,,20-30,,Defensive rebound by S. Marion
0:39.0,,,20-30,,L. James misses 2-pt shot from 13 ft
0:37.0,,,20-30,,Offensive rebound by S. Marion
0:25.0,,,20-30,,L. James misses 3-pt shot from 22 ft
0:24.0,Defensive rebound by D. Cousins,,20-30,,
0:16.0,Turnover by D. Cousins (bad pass),,20-30,,
0:05.0,,,20-30,,Offensive charge foul by L. James
0:05.0,,,20-30,,Turnover by L. James (offensive foul)
0:03.0,,,20-30,,Personal foul by M. Dellavedova (drawn by D. Collison)
0:00.0,D. Collison misses 3-pt shot from 26 ft,,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-30,,Turnover by L. James (traveling)
11:35.0,,,20-30,,Personal foul by I. Shumpert (drawn by B. McLemore)
11:31.0,,,20-30,,Violation by J. Smith (kicked ball)
11:26.0,Turnover by O. Casspi (lost ball; steal by J. Smith),,20-30,,
11:15.0,,,20-30,,I. Shumpert misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by D. Cousins,,20-30,,
11:00.0,O. Casspi misses 2-pt shot from 2 ft,,20-30,,
10:59.0,,,20-30,,Defensive rebound by M. Dellavedova
10:38.0,,,20-30,,Shooting foul by B. McLemore (drawn by T. Thompson)
10:38.0,,,20-31,1,T. Thompson makes free throw 1 of 2
10:38.0,N. Stauskas enters the game for B. McLemore,,20-31,,
10:38.0,,,20-32,1,T. Thompson makes free throw 2 of 2
10:16.0,,,20-32,,Shooting block foul by M. Dellavedova (drawn by R. Gay)
10:16.0,R. Gay makes free throw 1 of 2,1,21-32,,
10:16.0,,,21-32,,Technical foul by J. Smith
10:16.0,Technical foul by D. Cousins,,21-32,,
10:16.0,,,21-32,,K. Irving enters the game for M. Dellavedova
10:16.0,R. Gay makes free throw 2 of 2,1,22-32,,
10:01.0,,,22-35,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
9:47.0,J. Thompson enters the game for D. Cousins,,22-35,,
9:47.0,,,22-35,,K. Love enters the game for I. Shumpert
9:42.0,R. Gay misses 2-pt shot from 13 ft,,22-35,,
9:39.0,,,22-35,,Defensive rebound by K. Love
9:31.0,,,22-35,,L. James misses 2-pt shot from 1 ft
9:28.0,,,22-35,,Offensive rebound by T. Thompson
9:24.0,,,22-35,,K. Irving misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by R. Gay,,22-35,,
9:17.0,R. Gay makes 2-pt shot at rim,2,24-35,,
8:59.0,,,24-35,,K. Love misses 2-pt shot from 6 ft
8:58.0,,,24-35,,Offensive rebound by T. Thompson
8:50.0,Personal foul by O. Casspi (drawn by K. Love),,24-35,,
8:50.0,Official timeout,,24-35,,
8:50.0,C. Landry enters the game for O. Casspi,,24-35,,
8:43.0,Personal foul by R. Gay (drawn by K. Love),,24-35,,
8:31.0,,,24-35,,Shooting foul by C. Landry (drawn by L. James)
8:31.0,,,24-36,1,L. James makes free throw 1 of 2
8:31.0,,,24-37,1,L. James makes free throw 2 of 2
8:17.0,N. Stauskas misses 2-pt shot from 20 ft,,24-37,,
8:16.0,Offensive rebound by C. Landry,,24-37,,
8:13.0,C. Landry makes 2-pt shot at rim,2,26-37,,
7:55.0,,,26-37,,K. Love misses 2-pt shot from 3 ft
7:54.0,Defensive rebound by J. Thompson,,26-37,,
7:45.0,C. Landry makes 2-pt shot from 8 ft (assist by R. Gay),2,28-37,,
7:24.0,,,28-37,,Shooting foul by J. Thompson (drawn by K. Love)
7:24.0,,,28-38,1,K. Love makes free throw 1 of 2
7:24.0,,,28-39,1,K. Love makes free throw 2 of 2
7:13.0,R. Gay makes 2-pt shot at rim (assist by R. Sessions),2,30-39,,
7:00.0,,,30-39,,K. Irving misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by R. Gay,,30-39,,
6:44.0,C. Landry misses 2-pt shot from 15 ft,,30-39,,
6:43.0,,,30-39,,Defensive rebound by K. Irving
6:35.0,,,30-42,3,K. Irving makes 3-pt shot from 25 ft
6:19.0,C. Landry misses 2-pt shot from 19 ft,,30-42,,
6:18.0,,,30-42,,Defensive rebound by K. Love
6:12.0,,,30-42,,K. Irving misses 3-pt shot from 28 ft
6:11.0,Defensive rebound by N. Stauskas,,30-42,,
6:05.0,R. Sessions misses 2-pt shot from 1 ft,,30-42,,
6:03.0,,,30-42,,Defensive rebound by Team
6:03.0,Loose ball foul by C. Landry (drawn by T. Thompson),,30-42,,
6:03.0,,,30-43,1,T. Thompson makes free throw 1 of 2
6:03.0,D. Cousins enters the game for J. Thompson,,30-43,,
6:03.0,,,30-43,,I. Shumpert enters the game for L. James
6:03.0,,,30-44,1,T. Thompson makes free throw 2 of 2
5:48.0,Turnover by D. Cousins (bad pass),,30-44,,
5:48.0,,,30-44,,Cleveland full timeout
5:48.0,,,30-44,,T. Mozgov enters the game for T. Thompson
5:33.0,,,30-46,2,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love)
5:14.0,D. Cousins misses 2-pt shot from 1 ft,,30-46,,
5:14.0,Offensive rebound by D. Cousins,,30-46,,
5:14.0,Shooting foul by K. Love (drawn by D. Cousins),,30-46,,
5:14.0,D. Cousins makes free throw 1 of 2,1,31-46,,
5:14.0,D. Cousins makes free throw 2 of 2,1,32-46,,
5:00.0,,,32-46,,J. Smith misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by C. Landry,,32-46,,
4:52.0,Turnover by C. Landry (lost ball),,32-46,,
4:52.0,D. Collison enters the game for R. Sessions,,32-46,,
4:39.0,,,32-46,,Turnover by J. Smith (bad pass; steal by D. Cousins)
4:28.0,R. Gay misses 2-pt shot from 5 ft,,32-46,,
4:24.0,Offensive rebound by R. Gay,,32-46,,
4:22.0,N. Stauskas misses 2-pt shot from 9 ft (block by T. Mozgov),,32-46,,
4:20.0,,,32-46,,Defensive rebound by T. Mozgov
4:15.0,,,32-46,,J. Smith misses 3-pt shot from 25 ft
4:14.0,,,32-46,,Offensive rebound by K. Love
4:10.0,,,32-46,,K. Love misses 2-pt shot from 9 ft (block by D. Collison)
4:07.0,Defensive rebound by D. Collison,,32-46,,
4:07.0,Shooting foul by I. Shumpert (drawn by R. Gay),,32-46,,
4:07.0,R. Gay makes free throw 1 of 2,1,33-46,,
4:07.0,B. McLemore enters the game for N. Stauskas,,33-46,,
4:07.0,R. Gay makes free throw 2 of 2,1,34-46,,
3:53.0,,,34-48,2,K. Irving makes 2-pt shot from 17 ft
3:36.0,R. Gay makes 2-pt shot from 13 ft,2,36-48,,
3:20.0,,,36-48,,K. Irving misses 2-pt shot from 2 ft (block by D. Cousins)
3:19.0,,,36-48,,Offensive rebound by T. Mozgov
3:15.0,,,36-48,,J. Smith misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by D. Cousins,,36-48,,
3:08.0,B. McLemore misses 3-pt shot from 23 ft,,36-48,,
3:07.0,,,36-48,,Defensive rebound by T. Mozgov
2:49.0,,,36-48,,Turnover by K. Irving (lost ball; steal by D. Cousins)
2:46.0,Turnover by D. Collison (step out of bounds),,36-48,,
2:46.0,Sacramento full timeout,,36-48,,
2:46.0,,,36-48,,L. James enters the game for I. Shumpert
2:46.0,,,36-48,,T. Thompson enters the game for T. Mozgov
2:32.0,,,36-48,,K. Love misses 3-pt shot from 23 ft
2:31.0,Defensive rebound by R. Gay,,36-48,,
2:28.0,Shooting foul by J. Smith (drawn by D. Cousins),,36-48,,
2:28.0,D. Cousins makes free throw 1 of 2,1,37-48,,
2:28.0,D. Cousins misses free throw 2 of 2,,37-48,,
2:26.0,,,37-48,,Defensive rebound by T. Thompson
2:10.0,,,37-50,2,L. James makes 2-pt shot at rim (assist by K. Love)
1:55.0,D. Collison makes 2-pt shot from 16 ft,2,39-50,,
1:39.0,,,39-52,2,J. Smith makes 2-pt shot from 14 ft
1:16.0,B. McLemore misses 2-pt shot from 5 ft (block by L. James),,39-52,,
1:16.0,,,39-52,,Defensive rebound by Team
1:16.0,,,39-52,,I. Shumpert enters the game for J. Smith
1:16.0,N. Stauskas enters the game for B. McLemore,,39-52,,
0:56.0,,,39-54,2,T. Thompson makes 2-pt shot from 10 ft (assist by I. Shumpert)
0:47.0,Turnover by D. Collison (bad pass; steal by L. James),,39-54,,
0:43.0,Personal foul by D. Cousins (drawn by L. James),,39-54,,
0:43.0,,,39-54,,L. James misses free throw 1 of 2
0:43.0,,,39-54,,Offensive rebound by Team
0:43.0,,,39-54,,S. Marion enters the game for K. Love
0:43.0,,,39-55,1,L. James makes free throw 2 of 2
0:22.0,Shooting foul by S. Marion (drawn by D. Cousins),,39-55,,
0:22.0,D. Cousins makes free throw 1 of 2,1,40-55,,
0:22.0,,,40-55,,J. Smith enters the game for I. Shumpert
0:22.0,D. Williams enters the game for R. Gay,,40-55,,
0:22.0,D. Cousins makes free throw 2 of 2,1,41-55,,
0:03.0,,,41-55,,T. Thompson misses 2-pt shot at rim
0:00.0,Defensive rebound by D. Cousins,,41-55,,
0:00.0,D. Collison makes 3-pt shot from 29 ft (assist by D. Cousins),3,44-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,44-55,,L. James misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by D. Cousins,,44-55,,
11:34.0,R. Gay misses 2-pt shot from 17 ft,,44-55,,
11:33.0,Offensive rebound by J. Thompson,,44-55,,
11:24.0,,,44-55,,Violation by J. Smith (kicked ball)
11:09.0,D. Cousins makes 2-pt shot at rim,2,46-55,,
10:54.0,,,46-57,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
10:35.0,D. Collison misses 2-pt shot from 16 ft,,46-57,,
10:34.0,Offensive rebound by J. Thompson,,46-57,,
10:26.0,B. McLemore misses 3-pt shot from 25 ft,,46-57,,
10:25.0,,,46-57,,Defensive rebound by K. Love
10:07.0,Personal foul by J. Thompson (drawn by K. Love),,46-57,,
9:58.0,,,46-60,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
9:36.0,Turnover by D. Cousins (bad pass; steal by L. James),,46-60,,
9:33.0,,,46-60,,Shooting foul by R. Gay (drawn by L. James)
9:33.0,,,46-61,1,L. James makes free throw 1 of 2
9:33.0,,,46-61,,L. James misses free throw 2 of 2
9:31.0,Defensive rebound by R. Gay,,46-61,,
9:21.0,R. Gay misses 2-pt shot from 6 ft (block by L. James),,46-61,,
9:20.0,,,46-61,,Defensive rebound by Team
9:03.0,,,46-61,,L. James misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by D. Collison,,46-61,,
8:55.0,D. Collison makes 2-pt shot from 16 ft,2,48-61,,
8:36.0,,,48-63,2,K. Irving makes 2-pt shot at rim
8:18.0,R. Gay misses 3-pt shot from 23 ft,,48-63,,
8:16.0,,,48-63,,Defensive rebound by K. Love
8:13.0,,,48-63,,Turnover by K. Love (bad pass)
7:53.0,Shooting foul by J. Smith (drawn by R. Gay),,48-63,,
7:53.0,R. Gay makes free throw 1 of 2,1,49-63,,
7:53.0,R. Gay makes free throw 2 of 2,1,50-63,,
7:36.0,,,50-66,3,K. Irving makes 3-pt shot from 22 ft
7:24.0,J. Thompson misses 2-pt shot from 4 ft (block by T. Mozgov),,50-66,,
7:21.0,Offensive rebound by J. Thompson,,50-66,,
7:17.0,R. Gay misses 3-pt shot from 25 ft,,50-66,,
7:16.0,,,50-66,,Defensive rebound by J. Smith
7:10.0,,,50-66,,Turnover by L. James (bad pass; steal by D. Cousins)
6:58.0,D. Cousins misses 2-pt shot from 6 ft,,50-66,,
6:55.0,,,50-66,,Defensive rebound by K. Love
6:41.0,,,50-66,,K. Love misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by J. Thompson,,50-66,,
6:21.0,D. Collison misses 3-pt shot from 28 ft,,50-66,,
6:19.0,,,50-66,,Defensive rebound by K. Love
6:13.0,,,50-66,,L. James misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by J. Thompson,,50-66,,
5:57.0,J. Thompson misses 2-pt shot from 6 ft,,50-66,,
5:55.0,,,50-66,,Defensive rebound by T. Mozgov
5:54.0,,,50-66,,Turnover by T. Mozgov (lost ball; steal by D. Cousins)
5:53.0,J. Thompson makes 2-pt shot at rim,2,52-66,,
5:53.0,Technical foul by J. Thompson,,52-66,,
5:53.0,,,52-66,,Cleveland full timeout
5:53.0,,,52-66,,S. Marion enters the game for L. James
5:53.0,,,52-66,,K. Irving misses technical free throw
5:53.0,,,52-66,,Offensive rebound by Team
5:39.0,,,52-68,2,K. Irving makes 2-pt shot from 14 ft (assist by K. Love)
5:39.0,,,52-68,,Shooting foul by D. Collison (drawn by K. Irving)
5:39.0,,,52-68,,K. Irving misses free throw 1 of 1
5:38.0,Defensive rebound by J. Thompson,,52-68,,
5:16.0,D. Cousins misses 2-pt shot from 2 ft,,52-68,,
5:15.0,,,52-68,,Defensive rebound by T. Mozgov
5:14.0,,,52-68,,Turnover by T. Mozgov (bad pass; steal by R. Gay)
5:10.0,R. Gay misses 2-pt shot from 3 ft (block by T. Mozgov),,52-68,,
5:09.0,,,52-68,,Defensive rebound by J. Smith
4:59.0,,,52-70,2,K. Love makes 2-pt shot from 18 ft (assist by J. Smith)
4:37.0,D. Cousins misses 2-pt shot from 15 ft,,52-70,,
4:36.0,,,52-70,,Defensive rebound by K. Love
4:30.0,,,52-70,,Turnover by K. Irving (bad pass; steal by D. Cousins)
4:25.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,54-70,,
4:11.0,,,54-70,,Shooting foul by B. McLemore (drawn by T. Mozgov)
4:11.0,,,54-70,,T. Mozgov misses free throw 1 of 2
4:11.0,,,54-70,,Offensive rebound by Team
4:11.0,,,54-70,,M. Dellavedova enters the game for K. Irving
4:11.0,C. Landry enters the game for R. Gay,,54-70,,
4:11.0,O. Casspi enters the game for J. Thompson,,54-70,,
4:11.0,,,54-70,,T. Mozgov misses free throw 2 of 2
4:05.0,Defensive rebound by B. McLemore,,54-70,,
3:55.0,,,54-70,,Personal foul by T. Mozgov (drawn by D. Cousins)
3:55.0,,,54-70,,T. Thompson enters the game for T. Mozgov
3:47.0,Turnover by D. Collison (traveling),,54-70,,
3:35.0,,,54-70,,K. Love misses 2-pt shot from 5 ft
3:33.0,,,54-70,,Offensive rebound by S. Marion
3:25.0,,,54-73,3,J. Smith makes 3-pt shot from 25 ft
3:19.0,Shooting foul by S. Marion (drawn by O. Casspi),,54-73,,
3:19.0,O. Casspi makes free throw 1 of 2,1,55-73,,
3:19.0,R. Sessions enters the game for D. Collison,,55-73,,
3:19.0,O. Casspi misses free throw 2 of 2,,55-73,,
3:18.0,Offensive rebound by D. Cousins,,55-73,,
3:17.0,D. Cousins misses 2-pt shot at rim,,55-73,,
3:15.0,Offensive rebound by D. Cousins,,55-73,,
3:15.0,D. Cousins makes 2-pt shot from 1 ft,2,57-73,,
2:51.0,,,57-73,,M. Dellavedova misses 2-pt shot from 9 ft
2:48.0,Defensive rebound by C. Landry,,57-73,,
2:45.0,Turnover by R. Sessions (lost ball; steal by J. Smith),,57-73,,
2:34.0,,,57-75,2,K. Love makes 2-pt shot from 5 ft (assist by J. Smith)
2:34.0,,,57-75,,Shooting foul by O. Casspi (drawn by K. Love)
2:34.0,Sacramento full timeout,,57-75,,
2:34.0,,,57-75,,L. James enters the game for J. Smith
2:34.0,,,57-76,1,K. Love makes free throw 1 of 1
2:24.0,,,57-76,,Personal foul by T. Thompson (drawn by D. Cousins)
2:24.0,,,57-76,,T. Mozgov enters the game for K. Love
2:12.0,B. McLemore misses 3-pt shot from 24 ft,,57-76,,
2:11.0,,,57-76,,Defensive rebound by T. Thompson
2:04.0,,,57-78,2,L. James makes 2-pt shot at rim
1:43.0,D. Cousins misses 2-pt shot from 13 ft,,57-78,,
1:42.0,,,57-78,,Defensive rebound by L. James
1:36.0,,,57-78,,L. James misses 2-pt shot from 8 ft
1:35.0,,,57-78,,Offensive rebound by T. Thompson
1:33.0,,,57-78,,T. Thompson misses 2-pt shot from 6 ft
1:33.0,Defensive rebound by Team,,57-78,,
1:33.0,,,57-78,,Loose ball foul by T. Mozgov (drawn by D. Cousins)
1:33.0,D. Cousins makes free throw 1 of 2,1,58-78,,
1:33.0,D. Williams enters the game for B. McLemore,,58-78,,
1:33.0,,,58-78,,I. Shumpert enters the game for T. Mozgov
1:33.0,D. Cousins makes free throw 2 of 2,1,59-78,,
1:20.0,,,59-81,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
1:06.0,O. Casspi makes 2-pt shot at rim,2,61-81,,
0:51.0,,,61-81,,L. James misses 2-pt shot from 16 ft
0:50.0,Defensive rebound by D. Cousins,,61-81,,
0:42.0,,,61-81,,Personal foul by M. Dellavedova (drawn by D. Cousins)
0:42.0,D. Cousins makes free throw 1 of 2,1,62-81,,
0:42.0,D. Cousins makes free throw 2 of 2,1,63-81,,
0:30.0,,,63-83,2,L. James makes 2-pt shot from 12 ft
0:11.0,,,63-83,,Personal foul by I. Shumpert (drawn by O. Casspi)
0:11.0,O. Casspi makes free throw 1 of 2,1,64-83,,
0:11.0,J. Thompson enters the game for D. Cousins,,64-83,,
0:11.0,O. Casspi makes free throw 2 of 2,1,65-83,,
0:06.0,,,65-86,3,L. James makes 3-pt shot from 25 ft
0:00.0,R. Sessions misses 2-pt shot from 10 ft,,65-86,,
0:00.0,Offensive rebound by Team,,65-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,R. Gay misses 3-pt shot from 25 ft,,65-86,,
11:39.0,,,65-86,,Defensive rebound by T. Thompson
11:15.0,,,65-86,,I. Shumpert misses 2-pt shot from 20 ft
11:14.0,Defensive rebound by R. Gay,,65-86,,
11:01.0,R. Sessions misses 2-pt shot from 5 ft,,65-86,,
11:00.0,Offensive rebound by C. Landry,,65-86,,
11:00.0,Shooting foul by T. Thompson (drawn by C. Landry),,65-86,,
11:00.0,C. Landry makes free throw 1 of 2,1,66-86,,
11:00.0,D. Cousins enters the game for J. Thompson,,66-86,,
11:00.0,C. Landry makes free throw 2 of 2,1,67-86,,
10:49.0,,,67-88,2,L. James makes 2-pt shot at rim
10:21.0,R. Gay makes 2-pt shot from 17 ft,2,69-88,,
10:07.0,,,69-88,,Turnover by L. James (lost ball)
9:57.0,D. Cousins misses 2-pt shot from 15 ft,,69-88,,
9:56.0,Offensive rebound by O. Casspi,,69-88,,
9:52.0,O. Casspi makes 2-pt shot from 2 ft,2,71-88,,
9:32.0,,,71-88,,I. Shumpert misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by C. Landry,,71-88,,
9:15.0,Turnover by O. Casspi (bad pass; steal by I. Shumpert),,71-88,,
9:10.0,,,71-90,2,L. James makes 2-pt shot from 1 ft
9:10.0,Sacramento full timeout,,71-90,,
9:10.0,,,71-90,,J. Smith enters the game for S. Marion
8:53.0,Shooting foul by J. Smith (drawn by R. Gay),,71-90,,
8:53.0,R. Gay makes free throw 1 of 2,1,72-90,,
8:53.0,R. Gay makes free throw 2 of 2,1,73-90,,
8:32.0,,,73-90,,M. Dellavedova misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by R. Gay,,73-90,,
8:27.0,Turnover by O. Casspi (bad pass; steal by L. James),,73-90,,
8:16.0,,,73-92,2,I. Shumpert makes 2-pt shot from 8 ft (assist by L. James)
7:58.0,D. Cousins makes 2-pt shot at rim,2,75-92,,
7:50.0,,,75-92,,L. James misses 3-pt shot from 28 ft
7:49.0,Defensive rebound by C. Landry,,75-92,,
7:35.0,R. Gay misses 2-pt shot from 1 ft,,75-92,,
7:32.0,,,75-92,,Defensive rebound by L. James
7:31.0,Personal foul by O. Casspi (drawn by L. James),,75-92,,
7:31.0,R. McCallum enters the game for R. Gay,,75-92,,
7:31.0,R. Hollins enters the game for D. Cousins,,75-92,,
7:31.0,N. Stauskas enters the game for R. Sessions,,75-92,,
7:31.0,Q. Miller enters the game for C. Landry,,75-92,,
7:31.0,,,75-92,,M. Miller enters the game for L. James
7:18.0,,,75-92,,J. Smith misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by Team,,75-92,,
7:03.0,Q. Miller misses 2-pt shot from 20 ft,,75-92,,
7:02.0,Offensive rebound by Team,,75-92,,
6:54.0,R. Hollins makes 2-pt shot at rim (assist by R. McCallum),2,77-92,,
6:32.0,,,77-94,2,I. Shumpert makes 2-pt shot from 7 ft (assist by J. Smith)
6:18.0,O. Casspi makes 2-pt shot from 9 ft (assist by R. Hollins),2,79-94,,
6:05.0,,,79-94,,J. Smith misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by N. Stauskas,,79-94,,
5:56.0,N. Stauskas misses 3-pt shot from 25 ft,,79-94,,
5:55.0,,,79-94,,Defensive rebound by M. Miller
5:37.0,,,79-94,,T. Thompson misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by R. Hollins,,79-94,,
5:35.0,,,79-94,,Personal foul by M. Dellavedova (drawn by R. Hollins)
5:35.0,Official timeout,,79-94,,
5:35.0,,,79-94,,K. Irving enters the game for M. Dellavedova
