time,Denver,pts.away,score,pts.home,Milwaukee
7:51.0,,,31-24,,Defensive rebound by T. Ennis
7:41.0,,,31-27,3,J. Dudley makes 3-pt shot from 23 ft (assist by K. Middleton)
7:15.0,D. Gallinari misses 2-pt shot from 2 ft,,31-27,,
7:14.0,Offensive rebound by J. Hickson,,31-27,,
7:14.0,J. Hickson misses 2-pt shot at rim,,31-27,,
7:13.0,,,31-27,,Defensive rebound by O. Mayo
7:08.0,,,31-29,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Dudley)
7:08.0,Denver full timeout,,31-29,,
7:08.0,,,31-29,,J. Henson enters the game for Z. Pachulia
7:08.0,J. Nelson enters the game for D. Arthur,,31-29,,
7:08.0,J. Nurkic enters the game for J. Hickson,,31-29,,
7:08.0,K. Faried enters the game for E. Green,,31-29,,
6:45.0,D. Gallinari misses 2-pt shot from 18 ft,,31-29,,
6:44.0,Offensive rebound by K. Faried,,31-29,,
6:43.0,K. Faried misses 2-pt shot at rim (block by J. Henson),,31-29,,
6:43.0,Offensive rebound by J. Nurkic,,31-29,,
6:43.0,Shooting foul by K. Middleton (drawn by J. Nurkic),,31-29,,
6:43.0,J. Nurkic misses free throw 1 of 2,,31-29,,
6:43.0,Offensive rebound by Team,,31-29,,
6:43.0,,,31-29,,G. Antetokounmpo enters the game for K. Middleton
6:43.0,J. Nurkic misses free throw 2 of 2,,31-29,,
6:41.0,,,31-29,,Defensive rebound by G. Antetokounmpo
6:41.0,Technical foul by D. Arthur,,31-29,,
6:41.0,,,31-29,,O. Mayo misses technical free throw
6:41.0,,,31-29,,Offensive rebound by Team
6:18.0,,,31-31,2,O. Mayo makes 2-pt shot from 17 ft
5:59.0,R. Foye misses 3-pt shot from 26 ft,,31-31,,
5:59.0,Offensive rebound by J. Nelson,,31-31,,
5:59.0,,,31-31,,Loose ball foul by T. Ennis (drawn by J. Nelson)
5:59.0,,,31-31,,J. Bayless enters the game for T. Ennis
5:43.0,K. Faried misses 2-pt shot at rim (block by J. Henson),,31-31,,
5:40.0,Offensive rebound by K. Faried,,31-31,,
5:33.0,J. Nelson misses 2-pt shot from 11 ft,,31-31,,
5:32.0,,,31-31,,Defensive rebound by J. Henson
5:32.0,W. Chandler enters the game for R. Foye,,31-31,,
5:22.0,,,31-31,,Turnover by O. Mayo (bad pass; steal by D. Gallinari)
5:22.0,,,31-31,,Personal foul by O. Mayo (drawn by D. Gallinari)
5:22.0,D. Gallinari makes free throw 1 of 2,1,32-31,,
5:22.0,D. Gallinari makes free throw 2 of 2,1,33-31,,
5:07.0,,,33-31,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:06.0,Defensive rebound by K. Faried,,33-31,,
5:01.0,K. Faried misses 2-pt shot from 1 ft (block by J. Henson),,33-31,,
4:59.0,,,33-31,,Defensive rebound by G. Antetokounmpo
4:55.0,,,33-31,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:53.0,,,33-31,,Offensive rebound by J. Henson
4:40.0,,,33-33,2,J. Henson makes 2-pt shot from 4 ft (assist by O. Mayo)
4:15.0,K. Faried makes 2-pt shot from 3 ft (assist by J. Nelson),2,35-33,,
3:50.0,,,35-33,,O. Mayo misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by K. Faried,,35-33,,
3:36.0,J. Nurkic makes 2-pt shot at rim (assist by K. Faried),2,37-33,,
3:36.0,Shooting foul by J. Henson (drawn by J. Nurkic),,37-33,,
3:36.0,,,37-33,,Z. Pachulia enters the game for J. Henson
3:36.0,,,37-33,,K. Middleton enters the game for O. Mayo
3:36.0,J. Nurkic makes free throw 1 of 1,1,38-33,,
3:21.0,,,38-35,2,J. Bayless makes 2-pt shot from 17 ft
2:59.0,Denver full timeout,,38-35,,
2:59.0,,,38-35,,Milwaukee full timeout
2:54.0,W. Chandler makes 2-pt shot from 18 ft,2,40-35,,
2:29.0,,,40-35,,G. Antetokounmpo misses 2-pt shot from 20 ft
2:28.0,,,40-35,,Offensive rebound by Z. Pachulia
2:21.0,,,40-35,,J. Bayless misses 3-pt shot from 26 ft
2:20.0,,,40-35,,Offensive rebound by Z. Pachulia
2:18.0,,,40-37,2,Z. Pachulia makes 2-pt shot at rim
2:00.0,D. Gallinari makes 2-pt shot from 17 ft (assist by J. Nelson),2,42-37,,
1:45.0,,,42-37,,Turnover by G. Antetokounmpo (bad pass; steal by D. Gallinari)
1:33.0,J. Nelson misses 2-pt shot from 1 ft,,42-37,,
1:31.0,Offensive rebound by J. Nurkic,,42-37,,
1:28.0,J. Nurkic makes 2-pt shot from 2 ft,2,44-37,,
1:14.0,Jump ball: J. Nelson vs. Z. Pachulia (J. Bayless gains possession),,,,Jump ball: J. Nelson vs. Z. Pachulia (J. Bayless gains possession)
1:04.0,Def 3 sec tech foul by J. Nurkic,,44-37,,
1:04.0,,,44-38,1,K. Middleton makes technical free throw
0:59.0,,,44-40,2,K. Middleton makes 2-pt shot from 14 ft (assist by J. Bayless)
0:52.0,J. Nelson misses 3-pt shot from 28 ft,,44-40,,
0:51.0,,,44-40,,Defensive rebound by K. Middleton
0:46.0,Shooting block foul by J. Nurkic (drawn by K. Middleton),,44-40,,
0:46.0,,,44-41,1,K. Middleton makes free throw 1 of 2
0:46.0,,,44-42,1,K. Middleton makes free throw 2 of 2
0:31.0,K. Faried misses 2-pt shot from 3 ft,,44-42,,
0:29.0,Offensive rebound by J. Nurkic,,44-42,,
0:29.0,J. Nurkic misses 2-pt shot from 1 ft,,44-42,,
0:27.0,,,44-42,,Defensive rebound by K. Middleton
0:19.0,,,44-42,,G. Antetokounmpo misses 2-pt shot at rim (block by J. Nurkic)
0:17.0,Defensive rebound by J. Nelson,,44-42,,
0:00.0,Turnover by J. Nelson (lost ball; steal by G. Antetokounmpo),,44-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,44-42,,J. Dudley misses 2-pt shot at rim
11:46.0,Defensive rebound by J. Nurkic,,44-42,,
11:33.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nurkic),2,46-42,,
11:11.0,,,46-42,,Turnover by K. Middleton (lost ball; steal by D. Gallinari)
11:04.0,,,46-42,,Personal foul by G. Antetokounmpo (drawn by D. Gallinari)
10:52.0,W. Chandler misses 3-pt shot from 27 ft,,46-42,,
10:49.0,,,46-42,,Defensive rebound by G. Antetokounmpo
10:44.0,,,46-42,,J. Bayless misses 2-pt shot from 1 ft
10:42.0,,,46-42,,Offensive rebound by Team
10:41.0,,,46-42,,Shooting foul by J. Nurkic (drawn by G. Antetokounmpo)
10:41.0,,,46-43,1,G. Antetokounmpo makes free throw 1 of 2
10:41.0,,,46-44,1,G. Antetokounmpo makes free throw 2 of 2
10:20.0,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nelson),3,49-44,,
10:06.0,,,49-46,2,J. Henson makes 2-pt shot at rim (assist by J. Dudley)
9:50.0,J. Nelson makes 2-pt shot from 18 ft,2,51-46,,
9:35.0,,,51-48,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
9:10.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson),2,53-48,,
8:53.0,,,53-50,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by J. Bayless)
8:43.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,56-50,,
8:23.0,,,56-50,,G. Antetokounmpo misses 2-pt shot from 17 ft
8:22.0,Defensive rebound by J. Nurkic,,56-50,,
8:05.0,W. Chandler misses 2-pt shot from 17 ft,,56-50,,
8:05.0,Offensive rebound by Team,,56-50,,
8:05.0,,,56-50,,Loose ball foul by G. Antetokounmpo (drawn by K. Faried)
7:49.0,J. Nelson misses 2-pt shot from 19 ft,,56-50,,
7:48.0,Offensive rebound by J. Nurkic,,56-50,,
7:48.0,J. Nurkic misses 2-pt shot from 1 ft,,56-50,,
7:46.0,,,56-50,,Defensive rebound by G. Antetokounmpo
7:24.0,,,56-50,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by J. Nurkic,,56-50,,
7:18.0,W. Chandler makes 2-pt shot at rim,2,58-50,,
7:18.0,,,58-50,,Milwaukee full timeout
7:07.0,,,58-50,,J. Bayless misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by W. Chandler,,58-50,,
6:42.0,W. Chandler misses 3-pt shot from 27 ft,,58-50,,
6:41.0,,,58-50,,Defensive rebound by G. Antetokounmpo
6:38.0,,,58-50,,Turnover by G. Antetokounmpo (offensive foul)
6:38.0,,,58-50,,Offensive foul by G. Antetokounmpo
6:26.0,Turnover by K. Faried (3 sec),,58-50,,
6:26.0,,,58-50,,O. Mayo enters the game for G. Antetokounmpo
6:09.0,,,58-52,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
5:56.0,Turnover by K. Faried (bad pass; steal by J. Henson),,58-52,,
5:49.0,,,58-55,3,J. Bayless makes 3-pt shot from 22 ft (assist by K. Middleton)
5:49.0,Denver full timeout,,58-55,,
5:49.0,D. Arthur enters the game for K. Faried,,58-55,,
5:33.0,D. Gallinari misses 3-pt shot from 25 ft,,58-55,,
5:30.0,,,58-55,,Defensive rebound by J. Dudley
5:26.0,Personal block foul by D. Gallinari (drawn by K. Middleton),,58-55,,
5:16.0,,,58-55,,K. Middleton misses 2-pt shot from 5 ft
5:15.0,Defensive rebound by J. Nurkic,,58-55,,
5:05.0,D. Arthur misses 2-pt shot from 17 ft,,58-55,,
5:03.0,,,58-55,,Defensive rebound by J. Dudley
4:55.0,,,58-55,,Shooting foul by D. Arthur (drawn by J. Henson)
4:55.0,,,58-56,1,J. Henson makes free throw 1 of 2
4:55.0,R. Foye enters the game for D. Gallinari,,58-56,,
4:55.0,,,58-57,1,J. Henson makes free throw 2 of 2
4:34.0,Shooting foul by J. Bayless (drawn by J. Nelson),,58-57,,
4:34.0,J. Nelson makes free throw 1 of 3,1,59-57,,
4:34.0,J. Nelson misses free throw 2 of 3,,59-57,,
4:34.0,Offensive rebound by Team,,59-57,,
4:34.0,J. Nelson makes free throw 3 of 3,1,60-57,,
4:23.0,,,60-57,,J. Henson misses 2-pt shot from 3 ft
4:23.0,,,60-57,,Offensive rebound by J. Dudley
4:23.0,Loose ball foul by W. Chandler (drawn by J. Dudley),,60-57,,
4:23.0,E. Green enters the game for J. Nelson,,60-57,,
4:14.0,,,60-59,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
3:56.0,W. Chandler misses 3-pt shot from 24 ft,,60-59,,
3:55.0,,,60-59,,Defensive rebound by O. Mayo
3:32.0,,,60-62,3,K. Middleton makes 3-pt shot from 27 ft
3:22.0,,,60-62,,Personal foul by K. Middleton (drawn by W. Chandler)
3:22.0,,,60-62,,T. Ennis enters the game for J. Bayless
3:22.0,J. Hickson enters the game for J. Nurkic,,60-62,,
3:12.0,E. Green makes 2-pt shot from 20 ft (assist by R. Foye),2,62-62,,
2:58.0,,,62-64,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
2:37.0,R. Foye misses 3-pt shot from 25 ft,,62-64,,
2:36.0,,,62-64,,Defensive rebound by K. Middleton
2:33.0,Personal block foul by R. Foye (drawn by K. Middleton),,62-64,,
2:33.0,,,62-65,1,K. Middleton makes free throw 1 of 2
2:33.0,,,62-65,,Z. Pachulia enters the game for J. Henson
2:33.0,G. Harris enters the game for W. Chandler,,62-65,,
2:33.0,,,62-66,1,K. Middleton makes free throw 2 of 2
2:18.0,J. Hickson misses 2-pt shot from 4 ft,,62-66,,
2:18.0,Offensive rebound by J. Hickson,,62-66,,
2:18.0,Shooting foul by J. Dudley (drawn by J. Hickson),,62-66,,
2:18.0,J. Hickson misses free throw 1 of 2,,62-66,,
2:18.0,Offensive rebound by Team,,62-66,,
2:18.0,J. Hickson makes free throw 2 of 2,1,63-66,,
1:54.0,,,63-66,,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Arthur)
1:54.0,,,63-66,,Offensive rebound by Team
1:54.0,,,63-66,,Turnover by Team (shot clock)
1:44.0,E. Green misses 2-pt shot from 19 ft,,63-66,,
1:42.0,,,63-66,,Defensive rebound by Z. Pachulia
1:39.0,,,63-66,,Shooting foul by D. Arthur (drawn by O. Mayo)
1:39.0,,,63-67,1,O. Mayo makes free throw 1 of 2
1:39.0,D. Gallinari enters the game for D. Arthur,,63-67,,
1:39.0,,,63-68,1,O. Mayo makes free throw 2 of 2
1:24.0,Denver full timeout,,63-68,,
1:20.0,Turnover by G. Harris (traveling),,63-68,,
1:01.0,,,63-68,,O. Mayo misses 2-pt shot from 11 ft
1:00.0,Defensive rebound by J. Hickson,,63-68,,
0:51.0,R. Foye misses 2-pt shot at rim,,63-68,,
0:50.0,,,63-68,,Defensive rebound by Z. Pachulia
0:44.0,,,63-70,2,J. Dudley makes 2-pt shot from 14 ft (assist by T. Ennis)
0:28.0,Turnover by J. Hickson (3 sec),,63-70,,
0:12.0,,,63-70,,Turnover by T. Ennis (lost ball; steal by E. Green)
0:09.0,E. Green makes 2-pt shot at rim,2,65-70,,
0:04.0,,,65-70,,T. Ennis misses 2-pt shot from 11 ft
0:03.0,Defensive rebound by D. Gallinari,,65-70,,
0:00.0,D. Gallinari misses 3-pt shot from 36 ft,,65-70,,
0:00.0,Offensive rebound by Team,,65-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by Z. Pachulia (drawn by J. Hickson),,65-70,,
11:47.0,J. Hickson misses free throw 1 of 2,,65-70,,
11:47.0,Offensive rebound by Team,,65-70,,
11:47.0,J. Hickson makes free throw 2 of 2,1,66-70,,
11:24.0,,,66-70,,G. Antetokounmpo misses 2-pt shot from 15 ft
11:24.0,,,66-70,,Offensive rebound by Team
11:21.0,,,66-70,,O. Mayo misses 2-pt shot from 16 ft (block by R. Foye)
11:20.0,,,66-70,,Offensive rebound by Team
11:15.0,,,66-72,2,Z. Pachulia makes 2-pt shot from 15 ft
10:58.0,,,66-72,,Personal block foul by J. Bayless (drawn by G. Harris)
10:51.0,Turnover by J. Hickson (bad pass),,66-72,,
10:43.0,,,66-72,,Shooting foul by G. Harris (drawn by T. Ennis)
10:43.0,,,66-73,1,T. Ennis makes free throw 1 of 2
10:43.0,J. Nelson enters the game for E. Green,,66-73,,
10:43.0,,,66-74,1,T. Ennis makes free throw 2 of 2
10:32.0,Shooting foul by T. Ennis (drawn by J. Hickson),,66-74,,
10:32.0,J. Hickson makes free throw 1 of 2,1,67-74,,
10:32.0,W. Chandler enters the game for G. Harris,,67-74,,
10:32.0,J. Hickson makes free throw 2 of 2,1,68-74,,
10:14.0,,,68-74,,T. Ennis misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by J. Hickson,,68-74,,
10:08.0,,,68-74,,Personal block foul by G. Antetokounmpo (drawn by D. Gallinari)
10:08.0,,,68-74,,J. Dudley enters the game for G. Antetokounmpo
10:02.0,J. Nelson misses 3-pt shot from 26 ft,,68-74,,
10:01.0,,,68-74,,Defensive rebound by O. Mayo
9:50.0,,,68-74,,O. Mayo misses 2-pt shot from 18 ft
9:49.0,Defensive rebound by R. Foye,,68-74,,
9:35.0,D. Gallinari makes 3-pt shot from 24 ft (assist by R. Foye),3,71-74,,
9:22.0,Personal foul by J. Hickson (drawn by Z. Pachulia),,71-74,,
9:06.0,,,71-74,,Z. Pachulia misses 2-pt shot from 3 ft
9:05.0,Defensive rebound by D. Gallinari,,71-74,,
8:49.0,J. Hickson misses 2-pt shot at rim,,71-74,,
8:48.0,,,71-74,,Defensive rebound by Z. Pachulia
8:35.0,,,71-76,2,J. Dudley makes 2-pt shot at rim (assist by Z. Pachulia)
8:04.0,D. Gallinari misses 3-pt shot from 23 ft,,71-76,,
8:02.0,,,71-76,,Defensive rebound by J. Bayless
7:54.0,Shooting block foul by J. Nelson (drawn by J. Dudley),,71-76,,
7:54.0,Official timeout,,71-76,,
7:54.0,J. Nurkic enters the game for R. Foye,,71-76,,
7:54.0,K. Faried enters the game for J. Hickson,,71-76,,
7:54.0,,,71-76,,J. Dudley misses free throw 1 of 2
7:54.0,,,71-76,,Offensive rebound by Team
7:54.0,,,71-77,1,J. Dudley makes free throw 2 of 2
7:29.0,W. Chandler misses 2-pt shot from 16 ft,,71-77,,
7:28.0,Offensive rebound by J. Nurkic,,71-77,,
7:22.0,J. Nelson makes 3-pt shot from 23 ft (assist by W. Chandler),3,74-77,,
7:00.0,,,74-79,2,T. Ennis makes 2-pt shot from 16 ft (assist by J. Bayless)
6:37.0,W. Chandler misses 3-pt shot from 26 ft,,74-79,,
6:35.0,,,74-79,,Defensive rebound by J. Dudley
6:29.0,,,74-81,2,O. Mayo makes 2-pt shot at rim
6:07.0,K. Faried misses 2-pt shot from 6 ft,,74-81,,
6:06.0,,,74-81,,Defensive rebound by J. Bayless
5:53.0,,,74-81,,Z. Pachulia misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by W. Chandler,,74-81,,
5:45.0,Offensive foul by K. Faried,,74-81,,
5:45.0,Turnover by K. Faried (offensive foul),,74-81,,
5:45.0,,,74-81,,Milwaukee full timeout
5:45.0,D. Arthur enters the game for K. Faried,,74-81,,
5:45.0,R. Foye enters the game for D. Gallinari,,74-81,,
5:33.0,,,74-83,2,O. Mayo makes 2-pt shot at rim
5:13.0,J. Nurkic misses 2-pt shot from 1 ft,,74-83,,
5:11.0,,,74-83,,Defensive rebound by J. Dudley
4:54.0,,,74-83,,J. Dudley misses 2-pt shot at rim
4:51.0,Defensive rebound by J. Nurkic,,74-83,,
4:49.0,,,74-83,,Personal foul by J. Bayless (drawn by D. Arthur)
4:49.0,D. Arthur misses free throw 1 of 2,,74-83,,
4:49.0,Offensive rebound by Team,,74-83,,
4:49.0,D. Arthur makes free throw 2 of 2,1,75-83,,
4:36.0,Personal foul by W. Chandler (drawn by O. Mayo),,75-83,,
