time,New Orleans,pts.away,score,pts.home,Cleveland
5:35.0,,,93-98,1,K. Irving makes free throw 2 of 2
5:21.0,R. Anderson misses 3-pt shot from 25 ft,,93-98,,
5:20.0,,,93-98,,Defensive rebound by L. James
5:15.0,,,93-98,,Turnover by L. James (bad pass; steal by A. Davis)
5:10.0,A. Davis makes 2-pt shot at rim (assist by R. Anderson),2,95-98,,
4:47.0,,,95-101,3,K. Irving makes 3-pt shot from 22 ft (assist by J. Harris)
4:33.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,97-101,,
4:13.0,,,97-101,,T. Thompson misses 2-pt shot from 10 ft
4:12.0,Defensive rebound by A. Davis,,97-101,,
3:56.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,99-101,,
3:29.0,,,99-104,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
3:21.0,E. Gordon misses 2-pt shot at rim,,99-104,,
3:20.0,,,99-104,,Defensive rebound by K. Love
2:59.0,,,99-106,2,K. Irving makes 2-pt shot from 1 ft
2:59.0,,,99-106,,Shooting foul by E. Gordon (drawn by K. Irving)
2:59.0,New Orleans full timeout,,99-106,,
2:59.0,,,99-107,1,K. Irving makes free throw 1 of 1
2:39.0,T. Evans misses 2-pt shot from 8 ft,,99-107,,
2:37.0,,,99-107,,Defensive rebound by K. Irving
2:26.0,,,99-110,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
2:10.0,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans),3,102-110,,
1:53.0,,,102-112,2,L. James makes 2-pt shot from 16 ft
1:43.0,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday),2,104-112,,
1:22.0,,,104-112,,L. James misses 2-pt shot from 3 ft
1:22.0,,,104-112,,Offensive rebound by L. James
1:22.0,Personal foul by T. Evans (drawn by L. James),,104-112,,
1:22.0,,,104-113,1,L. James makes free throw 1 of 2
1:22.0,,,104-114,1,L. James makes free throw 2 of 2
1:09.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,106-114,,
0:46.0,,,106-114,,L. James misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by E. Gordon,,106-114,,
0:38.0,R. Anderson misses 3-pt shot from 25 ft,,106-114,,
0:36.0,,,106-114,,Defensive rebound by J. Harris
0:26.0,Personal foul by T. Evans (drawn by K. Irving),,106-114,,
0:26.0,A. Rivers enters the game for T. Evans,,106-114,,
0:26.0,,,106-115,1,K. Irving makes free throw 1 of 2
0:26.0,,,106-115,,M. Miller enters the game for L. James
0:26.0,,,106-115,,K. Irving misses free throw 2 of 2
0:26.0,Defensive rebound by A. Davis,,106-115,,
0:26.0,New Orleans full timeout,,106-115,,
