time,San Antonio,pts.away,score,pts.home,Sacramento
2:24.0,,,39-43,,Defensive rebound by C. Landry
2:12.0,,,39-43,,R. Gay misses 2-pt shot from 7 ft (block by K. Leonard)
2:10.0,Defensive rebound by K. Leonard,,39-43,,
2:05.0,K. Leonard makes 2-pt shot at rim,2,41-43,,
1:45.0,,,41-43,,C. Landry misses 2-pt shot from 18 ft
1:44.0,Defensive rebound by T. Parker,,41-43,,
1:35.0,T. Duncan misses 2-pt shot from 18 ft,,41-43,,
1:35.0,Offensive rebound by Team,,41-43,,
1:35.0,,,41-43,,Loose ball foul by C. Landry (drawn by A. Baynes)
1:35.0,A. Baynes makes free throw 1 of 2,1,42-43,,
1:35.0,P. Mills enters the game for T. Parker,,42-43,,
1:35.0,,,42-43,,R. Evans enters the game for C. Landry
1:35.0,A. Baynes makes free throw 2 of 2,1,43-43,,
1:24.0,Personal foul by A. Baynes (drawn by R. Evans),,43-43,,
1:24.0,,,43-43,,R. Evans misses free throw 1 of 2
1:24.0,,,43-43,,Offensive rebound by Team
1:24.0,,,43-44,1,R. Evans makes free throw 2 of 2
1:09.0,T. Duncan makes 2-pt shot from 3 ft (assist by A. Baynes),2,45-44,,
0:54.0,,,45-44,,J. Thompson misses 2-pt shot from 7 ft
0:52.0,Defensive rebound by T. Duncan,,45-44,,
0:36.0,P. Mills makes 2-pt shot from 19 ft,2,47-44,,
0:14.0,,,47-44,,R. Evans misses 2-pt shot from 15 ft
0:13.0,Defensive rebound by M. Belinelli,,47-44,,
0:09.0,A. Baynes makes 2-pt shot at rim (assist by T. Duncan),2,49-44,,
0:00.0,,,49-46,2,B. McLemore makes 2-pt shot from 21 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,T. Parker makes 2-pt shot from 20 ft (assist by T. Duncan),2,51-46,,
11:27.0,,,51-48,2,C. Landry makes 2-pt shot from 17 ft (assist by R. Gay)
11:13.0,Shooting foul by R. McCallum (drawn by T. Parker),,51-48,,
11:13.0,T. Parker makes free throw 1 of 2,1,52-48,,
11:13.0,T. Parker makes free throw 2 of 2,1,53-48,,
11:03.0,,,53-50,2,R. Gay makes 2-pt shot from 5 ft
10:46.0,T. Parker misses 2-pt shot from 19 ft,,53-50,,
10:45.0,Offensive rebound by T. Parker,,53-50,,
10:36.0,Shooting foul by J. Thompson (drawn by T. Splitter),,53-50,,
10:36.0,T. Splitter makes free throw 1 of 2,1,54-50,,
10:36.0,T. Splitter makes free throw 2 of 2,1,55-50,,
10:21.0,,,55-50,,Shooting foul by D. Green (drawn by B. McLemore)
10:21.0,,,55-50,,B. McLemore misses free throw 1 of 3
10:21.0,,,55-50,,Offensive rebound by Team
10:21.0,,,55-51,1,B. McLemore makes free throw 2 of 3
10:21.0,M. Belinelli enters the game for D. Green,,55-51,,
10:21.0,,,55-52,1,B. McLemore makes free throw 3 of 3
10:03.0,T. Duncan makes 2-pt shot from 12 ft,2,57-52,,
9:50.0,,,57-54,2,R. McCallum makes 2-pt shot from 1 ft
9:38.0,K. Leonard misses 3-pt shot from 24 ft,,57-54,,
9:37.0,,,57-54,,Defensive rebound by C. Landry
9:27.0,,,57-54,,R. Gay misses 2-pt shot from 5 ft
9:26.0,,,57-54,,Offensive rebound by R. Gay
9:26.0,,,57-54,,R. Gay misses 2-pt shot from 5 ft (block by T. Splitter)
9:26.0,,,57-54,,Offensive rebound by Team
9:21.0,,,57-54,,R. Gay misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by T. Splitter,,57-54,,
9:13.0,T. Parker misses 2-pt shot from 7 ft,,57-54,,
9:12.0,Offensive rebound by T. Duncan,,57-54,,
9:12.0,T. Duncan misses 2-pt shot at rim,,57-54,,
9:12.0,Offensive rebound by Team,,57-54,,
9:04.0,T. Duncan misses 2-pt shot from 15 ft,,57-54,,
9:03.0,,,57-54,,Defensive rebound by C. Landry
8:54.0,,,57-54,,R. McCallum misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by T. Parker,,57-54,,
8:48.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,59-54,,
8:27.0,,,59-54,,Shooting foul by M. Belinelli (drawn by B. McLemore)
8:27.0,,,59-55,1,B. McLemore makes free throw 1 of 2
8:27.0,,,59-56,1,B. McLemore makes free throw 2 of 2
8:04.0,T. Duncan misses 2-pt shot from 7 ft,,59-56,,
8:04.0,,,59-56,,Defensive rebound by J. Thompson
7:45.0,,,59-58,2,C. Landry makes 2-pt shot from 2 ft
7:43.0,San Antonio full timeout,,59-58,,
7:22.0,T. Duncan makes 2-pt shot from 7 ft (assist by K. Leonard),2,61-58,,
7:07.0,,,61-58,,C. Landry misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by T. Parker,,61-58,,
6:57.0,T. Duncan misses 2-pt shot from 19 ft,,61-58,,
6:56.0,,,61-58,,Defensive rebound by C. Landry
6:50.0,,,61-58,,B. McLemore misses 2-pt shot from 1 ft
6:48.0,,,61-58,,Offensive rebound by J. Thompson
6:48.0,,,61-60,2,J. Thompson makes 2-pt shot at rim
6:37.0,T. Parker makes 2-pt shot from 2 ft,2,63-60,,
6:18.0,,,63-60,,R. McCallum misses 2-pt shot from 15 ft
6:18.0,Defensive rebound by T. Splitter,,63-60,,
6:00.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Parker),2,65-60,,
5:36.0,,,65-62,2,C. Landry makes 2-pt shot from 13 ft (assist by R. Gay)
5:16.0,T. Duncan misses 2-pt shot from 5 ft (block by J. Thompson),,65-62,,
5:14.0,,,65-62,,Defensive rebound by J. Thompson
5:11.0,,,65-64,2,R. McCallum makes 2-pt shot from 1 ft (assist by R. Gay)
4:57.0,Shooting foul by R. McCallum (drawn by M. Belinelli),,65-64,,
4:57.0,M. Belinelli makes free throw 1 of 2,1,66-64,,
4:57.0,,,66-64,,Sacramento full timeout
4:57.0,P. Mills enters the game for T. Splitter,,66-64,,
4:57.0,A. Baynes enters the game for T. Parker,,66-64,,
4:57.0,M. Belinelli makes free throw 2 of 2,1,67-64,,
4:40.0,,,67-64,,Turnover by R. Gay (traveling)
4:40.0,M. Ginobili enters the game for M. Belinelli,,67-64,,
4:29.0,Turnover by T. Duncan (lost ball; steal by R. McCallum),,67-64,,
4:21.0,,,67-66,2,R. McCallum makes 2-pt shot from 2 ft
4:00.0,K. Leonard misses 2-pt shot from 11 ft,,67-66,,
3:58.0,Offensive rebound by A. Baynes,,67-66,,
3:55.0,,,67-66,,Personal foul by R. Gay (drawn by P. Mills)
3:55.0,,,67-66,,O. Casspi enters the game for R. Gay
3:43.0,M. Ginobili makes 2-pt shot at rim (assist by A. Baynes),2,69-66,,
3:30.0,,,69-68,2,R. McCallum makes 2-pt shot from 15 ft
3:20.0,,,69-68,,Personal foul by R. McCallum (drawn by T. Duncan)
3:20.0,T. Duncan misses free throw 1 of 2,,69-68,,
3:20.0,Offensive rebound by Team,,69-68,,
3:20.0,D. Green enters the game for K. Leonard,,69-68,,
3:20.0,,,69-68,,R. Evans enters the game for C. Landry
3:20.0,T. Duncan misses free throw 2 of 2,,69-68,,
3:19.0,,,69-68,,Defensive rebound by J. Thompson
2:55.0,,,69-68,,R. McCallum misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by P. Mills,,69-68,,
2:46.0,P. Mills makes 2-pt shot from 16 ft,2,71-68,,
2:30.0,,,71-70,2,R. McCallum makes 2-pt shot from 3 ft
2:18.0,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan),3,74-70,,
1:56.0,,,74-70,,O. Casspi misses 2-pt shot from 5 ft
1:55.0,Defensive rebound by T. Duncan,,74-70,,
1:50.0,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills),2,76-70,,
1:31.0,,,76-72,2,J. Thompson makes 2-pt shot from 1 ft (assist by R. McCallum)
1:19.0,M. Ginobili misses 3-pt shot from 24 ft,,76-72,,
1:18.0,,,76-72,,Defensive rebound by R. Evans
1:10.0,,,76-72,,Turnover by R. Evans (bad pass; steal by D. Green)
1:10.0,,,76-72,,Personal foul by R. McCallum (drawn by D. Green)
1:10.0,D. Green makes free throw 1 of 2,1,77-72,,
1:10.0,M. Bonner enters the game for T. Duncan,,77-72,,
1:10.0,,,77-72,,A. Miller enters the game for J. Thompson
1:10.0,,,77-72,,R. Hollins enters the game for R. McCallum
1:10.0,D. Green makes free throw 2 of 2,1,78-72,,
0:49.0,,,78-74,2,A. Miller makes 2-pt shot from 12 ft
0:33.0,M. Ginobili misses 2-pt shot from 2 ft (block by R. Hollins),,78-74,,
0:30.0,,,78-74,,Defensive rebound by A. Miller
0:29.0,,,78-76,2,O. Casspi makes 2-pt shot from 1 ft (assist by A. Miller)
0:08.0,,,78-76,,Shooting block foul by O. Casspi (drawn by A. Baynes)
0:08.0,A. Baynes makes free throw 1 of 2,1,79-76,,
0:08.0,C. Joseph enters the game for D. Green,,79-76,,
0:08.0,,,79-76,,R. Gay enters the game for R. Evans
0:08.0,K. Leonard enters the game for M. Bonner,,79-76,,
0:08.0,A. Baynes makes free throw 2 of 2,1,80-76,,
0:03.0,Shooting block foul by M. Ginobili (drawn by R. Gay),,80-76,,
0:03.0,,,80-77,1,R. Gay makes free throw 1 of 2
0:03.0,D. Green enters the game for C. Joseph,,80-77,,
0:03.0,,,80-78,1,R. Gay makes free throw 2 of 2
0:00.0,P. Mills misses 3-pt shot from 37 ft,,80-78,,
0:00.0,Offensive rebound by Team,,80-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-78,,R. Gay misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by D. Green,,80-78,,
11:43.0,Turnover by D. Green (lost ball),,80-78,,
11:43.0,B. Diaw enters the game for M. Ginobili,,80-78,,
11:42.0,Jump ball: R. Gay vs. D. Green (A. Miller gains possession),,,,Jump ball: R. Gay vs. D. Green (A. Miller gains possession)
11:36.0,,,80-78,,Offensive foul by O. Casspi
11:36.0,,,80-78,,Turnover by R. Evans (offensive foul)
11:14.0,D. Green misses 3-pt shot from 25 ft,,80-78,,
11:10.0,Offensive rebound by B. Diaw,,80-78,,
11:04.0,B. Diaw misses 3-pt shot from 26 ft,,80-78,,
11:04.0,,,80-78,,Defensive rebound by A. Miller
10:51.0,,,80-78,,O. Casspi misses 2-pt shot from 7 ft
10:50.0,Defensive rebound by D. Green,,80-78,,
10:44.0,D. Green misses 3-pt shot from 24 ft,,80-78,,
10:43.0,,,80-78,,Defensive rebound by R. Gay
10:26.0,,,80-78,,Turnover by A. Miller (bad pass)
10:26.0,T. Parker enters the game for C. Joseph,,80-78,,
10:26.0,,,80-78,,R. McCallum enters the game for A. Miller
10:05.0,Turnover by D. Green (lost ball; steal by O. Casspi),,80-78,,
10:00.0,,,80-78,,Turnover by R. Gay (lost ball; steal by D. Green)
9:40.0,T. Parker misses 3-pt shot from 22 ft,,80-78,,
9:40.0,Offensive rebound by K. Leonard,,80-78,,
9:37.0,San Antonio full timeout,,80-78,,
9:32.0,,,80-78,,Personal foul by O. Casspi (drawn by D. Green)
9:17.0,A. Baynes misses 2-pt shot from 13 ft,,80-78,,
9:16.0,Offensive rebound by B. Diaw,,80-78,,
9:11.0,K. Leonard misses 3-pt shot from 22 ft,,80-78,,
9:09.0,,,80-78,,Defensive rebound by O. Casspi
8:55.0,,,80-78,,Shooting foul by B. Diaw (drawn by R. Gay)
8:55.0,,,80-79,1,R. Gay makes free throw 1 of 2
8:55.0,,,80-80,1,R. Gay makes free throw 2 of 2
8:33.0,T. Parker makes 2-pt shot from 2 ft,2,82-80,,
8:22.0,,,82-80,,Turnover by R. Gay (lost ball; steal by D. Green)
8:18.0,K. Leonard makes 2-pt shot at rim (assist by D. Green),2,84-80,,
8:04.0,,,84-80,,O. Casspi misses 2-pt shot from 5 ft
8:03.0,,,84-80,,Offensive rebound by R. Evans
8:02.0,,,84-80,,Shooting foul by K. Leonard (drawn by R. Evans)
8:02.0,,,84-81,1,R. Evans makes free throw 1 of 2
8:02.0,T. Splitter enters the game for D. Green,,84-81,,
8:02.0,M. Ginobili enters the game for A. Baynes,,84-81,,
8:02.0,,,84-82,1,R. Evans makes free throw 2 of 2
7:45.0,M. Ginobili makes 2-pt shot from 3 ft,2,86-82,,
7:31.0,,,86-84,2,R. McCallum makes 2-pt shot from 13 ft
7:10.0,B. Diaw makes 3-pt shot from 25 ft (assist by T. Parker),3,89-84,,
6:52.0,,,89-84,,R. Evans misses 2-pt shot from 6 ft
6:51.0,Defensive rebound by M. Ginobili,,89-84,,
6:50.0,,,89-84,,Personal foul by R. Evans (drawn by T. Splitter)
6:50.0,,,89-84,,B. McLemore enters the game for R. Evans
6:50.0,,,89-84,,J. Thompson enters the game for R. Hollins
6:28.0,B. Diaw misses 2-pt shot from 3 ft,,89-84,,
6:26.0,,,89-84,,Defensive rebound by O. Casspi
6:22.0,,,89-86,2,R. McCallum makes 2-pt shot from 1 ft
6:03.0,B. Diaw makes 2-pt shot from 6 ft,2,91-86,,
5:50.0,,,91-86,,Offensive foul by R. McCallum
5:50.0,,,91-86,,Turnover by R. McCallum (offensive foul)
5:50.0,Official timeout,,91-86,,
5:38.0,T. Parker makes 2-pt shot from 3 ft,2,93-86,,
5:20.0,,,93-88,2,R. McCallum makes 2-pt shot from 19 ft
5:03.0,T. Parker makes 2-pt shot from 19 ft,2,95-88,,
4:49.0,,,95-88,,R. McCallum misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by K. Leonard,,95-88,,
4:39.0,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard),3,98-88,,
4:28.0,,,98-88,,Turnover by R. Gay (lost ball; steal by K. Leonard)
