time,Milwaukee,pts.away,score,pts.home,Boston
0:50.0,,,19-20,,B. Bass misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by J. Henson,,19-20,,
0:44.0,J. Dudley makes 2-pt shot at rim (assist by J. Bayless),2,21-20,,
0:36.0,,,21-22,2,I. Thomas makes 2-pt shot from 1 ft
0:16.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,21-22,,
0:15.0,,,21-22,,Defensive rebound by B. Bass
0:04.0,,,21-22,,Shooting foul by J. Bayless (drawn by I. Thomas)
0:04.0,,,21-23,1,I. Thomas makes free throw 1 of 3
0:04.0,,,21-24,1,I. Thomas makes free throw 2 of 3
0:04.0,,,21-24,,J. Jerebko enters the game for K. Olynyk
0:04.0,,,21-24,,M. Smart enters the game for B. Bass
0:04.0,,,21-25,1,I. Thomas makes free throw 3 of 3
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Bayless makes 2-pt shot from 22 ft (assist by O. Mayo),2,23-25,,
11:26.0,,,23-25,,K. Olynyk misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by K. Middleton,,23-25,,
11:14.0,Turnover by J. Henson (lost ball; steal by K. Olynyk),,23-25,,
11:03.0,Def 3 sec tech foul by J. Henson,,23-25,,
11:03.0,,,23-26,1,I. Thomas makes technical free throw
10:55.0,,,23-26,,J. Jerebko misses 2-pt shot from 8 ft
10:54.0,Defensive rebound by J. Bayless,,23-26,,
10:44.0,K. Middleton misses 3-pt shot from 24 ft,,23-26,,
10:43.0,,,23-26,,Defensive rebound by M. Smart
10:32.0,,,23-26,,Turnover by M. Smart (bad pass; steal by O. Mayo)
10:26.0,J. Henson makes 2-pt shot at rim (assist by O. Mayo),2,25-26,,
10:08.0,,,25-26,,J. Crowder misses 2-pt shot at rim
10:07.0,,,25-26,,Offensive rebound by J. Crowder
10:07.0,,,25-28,2,J. Crowder makes 2-pt shot at rim
9:56.0,K. Middleton misses 3-pt shot from 23 ft,,25-28,,
9:55.0,,,25-28,,Defensive rebound by J. Jerebko
9:48.0,,,25-31,3,I. Thomas makes 3-pt shot from 24 ft
9:32.0,,,25-31,,Personal foul by I. Thomas (drawn by J. Henson)
9:32.0,Z. Pachulia enters the game for J. Henson,,25-31,,
9:25.0,K. Middleton makes 2-pt shot at rim,2,27-31,,
9:19.0,Shooting block foul by K. Middleton (drawn by J. Crowder),,27-31,,
9:19.0,,,27-32,1,J. Crowder makes free throw 1 of 2
9:19.0,,,27-33,1,J. Crowder makes free throw 2 of 2
9:05.0,Z. Pachulia makes 2-pt shot at rim (assist by O. Mayo),2,29-33,,
8:56.0,,,29-33,,Turnover by I. Thomas (bad pass)
8:56.0,Official timeout,,29-33,,
8:44.0,O. Mayo makes 2-pt shot from 7 ft,2,31-33,,
8:44.0,Shooting foul by I. Thomas (drawn by O. Mayo),,31-33,,
8:44.0,O. Mayo misses free throw 1 of 1,,31-33,,
8:44.0,,,31-33,,Defensive rebound by K. Olynyk
8:26.0,,,31-35,2,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas)
8:06.0,O. Mayo makes 3-pt shot from 22 ft (assist by J. Dudley),3,34-35,,
8:03.0,,,34-35,,Turnover by J. Jerebko (bad pass; steal by J. Dudley)
8:02.0,Milwaukee full timeout,,34-35,,
8:02.0,,,34-35,,E. Turner enters the game for I. Thomas
7:54.0,Z. Pachulia misses 2-pt shot from 9 ft,,34-35,,
7:53.0,,,34-35,,Defensive rebound by E. Turner
7:38.0,,,34-35,,J. Crowder misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by K. Middleton,,34-35,,
7:27.0,J. Dudley makes 3-pt shot from 22 ft (assist by O. Mayo),3,37-35,,
7:12.0,,,37-37,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
6:56.0,,,37-37,,Personal foul by J. Crowder (drawn by K. Middleton)
6:51.0,Turnover by Z. Pachulia (bad pass),,37-37,,
6:40.0,,,37-37,,J. Crowder misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by Z. Pachulia,,37-37,,
6:25.0,J. Dudley misses 2-pt shot from 11 ft,,37-37,,
6:24.0,Offensive rebound by Team,,37-37,,
6:24.0,,,37-37,,Loose ball foul by J. Crowder (drawn by Z. Pachulia)
6:24.0,,,37-37,,A. Bradley enters the game for J. Crowder
6:24.0,E. Ilyasova enters the game for Z. Pachulia,,37-37,,
6:17.0,E. Ilyasova misses 2-pt shot from 1 ft,,37-37,,
6:16.0,,,37-37,,Defensive rebound by E. Turner
6:14.0,,,37-37,,Turnover by K. Olynyk (lost ball)
6:09.0,K. Middleton misses 2-pt shot from 11 ft,,37-37,,
6:08.0,,,37-37,,Defensive rebound by E. Turner
6:02.0,,,37-39,2,J. Jerebko makes 2-pt shot from 2 ft (assist by E. Turner)
5:47.0,O. Mayo misses 2-pt shot from 20 ft,,37-39,,
5:46.0,,,37-39,,Defensive rebound by J. Jerebko
5:35.0,,,37-39,,K. Olynyk misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by J. Dudley,,37-39,,
5:32.0,Turnover by J. Dudley (lost ball; steal by J. Jerebko),,37-39,,
5:29.0,,,37-41,2,J. Jerebko makes 2-pt shot at rim
5:27.0,Milwaukee full timeout,,37-41,,
5:27.0,M. Carter-Williams enters the game for J. Dudley,,37-41,,
5:27.0,J. Henson enters the game for J. Bayless,,37-41,,
5:27.0,,,37-41,,T. Zeller enters the game for K. Olynyk
5:16.0,E. Ilyasova misses 3-pt shot from 25 ft,,37-41,,
5:15.0,,,37-41,,Defensive rebound by J. Jerebko
4:56.0,,,37-43,2,A. Bradley makes 2-pt shot from 16 ft
4:35.0,Turnover by J. Henson (bad pass),,37-43,,
4:35.0,G. Antetokounmpo enters the game for O. Mayo,,37-43,,
4:35.0,,,37-43,,B. Bass enters the game for J. Jerebko
4:19.0,,,37-43,,T. Zeller misses 2-pt shot from 1 ft
4:18.0,,,37-43,,Offensive rebound by Team
4:17.0,,,37-43,,Shooting foul by K. Middleton (drawn by T. Zeller)
4:17.0,,,37-44,1,T. Zeller makes free throw 1 of 2
4:17.0,,,37-45,1,T. Zeller makes free throw 2 of 2
3:57.0,,,37-45,,Personal foul by M. Smart (drawn by G. Antetokounmpo)
3:57.0,Personal foul by G. Antetokounmpo,,37-45,,
3:57.0,O. Mayo enters the game for K. Middleton,,37-45,,
3:45.0,O. Mayo makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,40-45,,
3:33.0,,,40-45,,Turnover by E. Turner (kicked ball)
3:22.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,42-45,,
3:01.0,,,42-45,,T. Zeller misses 2-pt shot at rim
3:00.0,Defensive rebound by M. Carter-Williams,,42-45,,
2:54.0,O. Mayo makes 3-pt shot from 27 ft (assist by M. Carter-Williams),3,45-45,,
2:53.0,,,45-45,,Boston full timeout
2:45.0,Personal foul by E. Ilyasova (drawn by M. Smart),,45-45,,
2:39.0,,,45-47,2,M. Smart makes 2-pt shot at rim
2:24.0,O. Mayo makes 2-pt shot at rim (assist by M. Carter-Williams),2,47-47,,
2:09.0,,,47-47,,Offensive charge foul by B. Bass
2:09.0,,,47-47,,Turnover by B. Bass (offensive foul)
1:54.0,,,47-47,,Personal block foul by M. Smart (drawn by M. Carter-Williams)
1:54.0,M. Carter-Williams makes free throw 1 of 2,1,48-47,,
1:54.0,,,48-47,,I. Thomas enters the game for M. Smart
1:54.0,M. Carter-Williams misses free throw 2 of 2,,48-47,,
1:54.0,,,48-47,,Defensive rebound by E. Turner
1:35.0,,,48-50,3,A. Bradley makes 3-pt shot from 24 ft (assist by T. Zeller)
1:15.0,M. Carter-Williams misses 2-pt shot from 5 ft,,48-50,,
1:14.0,,,48-50,,Defensive rebound by T. Zeller
1:13.0,Personal foul by M. Carter-Williams (drawn by T. Zeller),,48-50,,
0:58.0,,,48-50,,Boston full timeout
0:58.0,,,48-50,,K. Olynyk enters the game for T. Zeller
0:56.0,,,48-52,2,B. Bass makes 2-pt shot at rim (assist by K. Olynyk)
0:39.0,Turnover by M. Carter-Williams (lost ball; steal by K. Olynyk),,48-52,,
0:39.0,Jump ball: M. Carter-Williams vs. K. Olynyk (E. Turner gains possession),,,,Jump ball: M. Carter-Williams vs. K. Olynyk (E. Turner gains possession)
0:33.0,,,48-52,,K. Olynyk misses 2-pt shot at rim
0:32.0,Defensive rebound by J. Henson,,48-52,,
0:16.0,O. Mayo makes 2-pt shot from 13 ft (assist by M. Carter-Williams),2,50-52,,
0:01.0,,,50-52,,B. Bass misses 2-pt shot from 5 ft
0:00.0,Defensive rebound by J. Henson,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,52-52,,
11:26.0,,,52-54,2,T. Zeller makes 2-pt shot from 17 ft (assist by B. Bass)
11:13.0,Shooting foul by T. Zeller (drawn by G. Antetokounmpo),,52-54,,
11:13.0,G. Antetokounmpo makes free throw 1 of 2,1,53-54,,
11:13.0,G. Antetokounmpo misses free throw 2 of 2,,53-54,,
11:13.0,Offensive rebound by E. Ilyasova,,53-54,,
10:52.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,55-54,,
10:38.0,,,55-56,2,B. Bass makes 2-pt shot from 15 ft
10:16.0,Offensive charge foul by G. Antetokounmpo,,55-56,,
10:16.0,Turnover by G. Antetokounmpo (offensive foul),,55-56,,
10:02.0,Personal block foul by E. Ilyasova (drawn by M. Smart),,55-56,,
9:48.0,,,55-56,,B. Bass misses 2-pt shot from 16 ft
9:47.0,Defensive rebound by M. Carter-Williams,,55-56,,
9:30.0,Z. Pachulia makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,57-56,,
9:19.0,,,57-56,,Turnover by E. Turner (lost ball; steal by M. Carter-Williams)
9:12.0,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams),2,59-56,,
8:59.0,Personal foul by G. Antetokounmpo (drawn by E. Turner),,59-56,,
8:59.0,O. Mayo enters the game for G. Antetokounmpo,,59-56,,
8:59.0,,,59-56,,Turnover by E. Turner (bad pass; steal by O. Mayo)
8:51.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by O. Mayo),3,62-56,,
8:50.0,,,62-56,,Boston full timeout
8:36.0,,,62-56,,B. Bass misses 2-pt shot from 16 ft
8:35.0,Defensive rebound by Z. Pachulia,,62-56,,
8:22.0,Z. Pachulia misses 2-pt shot from 16 ft,,62-56,,
8:21.0,Offensive rebound by E. Ilyasova,,62-56,,
8:18.0,E. Ilyasova makes 2-pt shot at rim,2,64-56,,
7:51.0,,,64-56,,A. Bradley misses 2-pt shot from 22 ft
7:49.0,Defensive rebound by Team,,64-56,,
7:48.0,,,64-56,,J. Sullinger enters the game for T. Zeller
7:37.0,Shooting foul by E. Turner (drawn by Z. Pachulia),,64-56,,
7:37.0,Z. Pachulia misses free throw 1 of 2,,64-56,,
7:37.0,Offensive rebound by Team,,64-56,,
7:37.0,,,64-56,,I. Thomas enters the game for E. Turner
7:37.0,Z. Pachulia makes free throw 2 of 2,1,65-56,,
7:24.0,,,65-56,,A. Bradley misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by E. Ilyasova,,65-56,,
7:06.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by Z. Pachulia),2,67-56,,
6:51.0,,,67-58,2,B. Bass makes 2-pt shot from 14 ft (assist by I. Thomas)
6:34.0,E. Ilyasova misses 3-pt shot from 25 ft,,67-58,,
6:33.0,Offensive rebound by O. Mayo,,67-58,,
6:32.0,Jump ball: A. Bradley vs. O. Mayo (Z. Pachulia gains possession),,,,Jump ball: A. Bradley vs. O. Mayo (Z. Pachulia gains possession)
6:18.0,M. Carter-Williams misses 2-pt shot from 7 ft,,67-58,,
6:18.0,Offensive rebound by Z. Pachulia,,67-58,,
6:11.0,O. Mayo makes 2-pt shot at rim (assist by Z. Pachulia),2,69-58,,
5:52.0,Personal foul by O. Mayo (drawn by A. Bradley),,69-58,,
5:45.0,,,69-58,,M. Smart misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by E. Ilyasova,,69-58,,
5:28.0,,,69-58,,Personal foul by J. Sullinger (drawn by E. Ilyasova)
5:28.0,,,69-58,,J. Crowder enters the game for B. Bass
5:27.0,Offensive foul by M. Carter-Williams,,69-58,,
5:27.0,Turnover by M. Carter-Williams (offensive foul),,69-58,,
5:22.0,Personal foul by M. Carter-Williams (drawn by I. Thomas),,69-58,,
5:16.0,,,69-58,,I. Thomas misses 2-pt shot from 1 ft
5:15.0,,,69-58,,Offensive rebound by J. Sullinger
5:15.0,,,69-58,,J. Sullinger misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by O. Mayo,,69-58,,
5:11.0,E. Ilyasova makes 2-pt shot at rim (assist by O. Mayo),2,71-58,,
4:59.0,,,71-58,,J. Sullinger misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by O. Mayo,,71-58,,
4:50.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,73-58,,
4:39.0,,,73-58,,Turnover by M. Smart (lost ball; steal by K. Middleton)
4:36.0,,,73-58,,Personal foul by J. Sullinger (drawn by M. Carter-Williams)
4:36.0,,,73-58,,K. Olynyk enters the game for J. Sullinger
4:36.0,,,73-58,,J. Jerebko enters the game for M. Smart
4:29.0,K. Middleton misses 3-pt shot from 24 ft,,73-58,,
4:28.0,,,73-58,,Defensive rebound by Team
4:28.0,Loose ball foul by E. Ilyasova (drawn by J. Jerebko),,73-58,,
4:28.0,,,73-59,1,J. Jerebko makes free throw 1 of 2
4:28.0,,,73-60,1,J. Jerebko makes free throw 2 of 2
4:14.0,Turnover by M. Carter-Williams (lost ball; steal by K. Olynyk),,73-60,,
4:09.0,,,73-60,,I. Thomas misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by Z. Pachulia,,73-60,,
4:07.0,,,73-60,,Personal foul by J. Jerebko (drawn by Z. Pachulia)
4:07.0,Z. Pachulia makes free throw 1 of 2,1,74-60,,
4:07.0,J. Bayless enters the game for M. Carter-Williams,,74-60,,
4:07.0,Z. Pachulia makes free throw 2 of 2,1,75-60,,
3:54.0,,,75-62,2,I. Thomas makes 2-pt shot at rim
3:40.0,K. Middleton makes 3-pt shot from 23 ft (assist by E. Ilyasova),3,78-62,,
3:18.0,,,78-62,,A. Bradley misses 2-pt shot from 1 ft (block by E. Ilyasova)
3:17.0,Defensive rebound by K. Middleton,,78-62,,
3:08.0,E. Ilyasova misses 3-pt shot from 26 ft,,78-62,,
3:07.0,Offensive rebound by J. Bayless,,78-62,,
2:58.0,K. Middleton misses 2-pt shot at rim,,78-62,,
2:57.0,,,78-62,,Defensive rebound by K. Olynyk
2:54.0,,,78-62,,Shooting foul by J. Bayless (drawn by I. Thomas)
2:54.0,Milwaukee full timeout,,78-62,,
2:54.0,J. Dudley enters the game for E. Ilyasova,,78-62,,
2:54.0,J. Henson enters the game for Z. Pachulia,,78-62,,
2:54.0,,,78-62,,L. Datome enters the game for A. Bradley
2:54.0,,,78-63,1,I. Thomas makes free throw 1 of 2
2:54.0,,,78-64,1,I. Thomas makes free throw 2 of 2
2:37.0,J. Bayless makes 2-pt shot from 5 ft,2,80-64,,
2:23.0,,,80-64,,I. Thomas misses 2-pt shot at rim
2:22.0,Defensive rebound by O. Mayo,,80-64,,
2:16.0,J. Bayless misses 3-pt shot from 23 ft,,80-64,,
2:16.0,,,80-64,,Defensive rebound by K. Olynyk
2:10.0,,,80-64,,L. Datome misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by J. Bayless,,80-64,,
2:03.0,O. Mayo misses 3-pt shot from 25 ft,,80-64,,
2:02.0,,,80-64,,Defensive rebound by I. Thomas
1:52.0,,,80-67,3,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas)
1:41.0,,,80-67,,Personal foul by I. Thomas (drawn by J. Bayless)
1:41.0,J. Bayless makes free throw 1 of 2,1,81-67,,
1:41.0,J. Bayless makes free throw 2 of 2,1,82-67,,
1:35.0,Personal foul by J. Bayless (drawn by I. Thomas),,82-67,,
1:35.0,,,82-67,,I. Thomas misses free throw 1 of 2
1:35.0,,,82-67,,Offensive rebound by Team
1:35.0,,,82-68,1,I. Thomas makes free throw 2 of 2
1:23.0,J. Henson makes 2-pt shot from 6 ft (assist by J. Dudley),2,84-68,,
1:15.0,,,84-71,3,I. Thomas makes 3-pt shot from 26 ft
0:58.0,J. Henson makes 2-pt shot at rim (assist by J. Dudley),2,86-71,,
0:48.0,,,86-73,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
0:45.0,Turnover by O. Mayo (step out of bounds),,86-73,,
0:36.0,,,86-75,2,J. Jerebko makes 2-pt shot from 21 ft (assist by I. Thomas)
0:21.0,K. Middleton misses 3-pt shot from 24 ft,,86-75,,
0:20.0,,,86-75,,Defensive rebound by L. Datome
0:01.0,,,86-75,,J. Jerebko misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by J. Henson,,86-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,86-77,2,I. Thomas makes 2-pt shot from 1 ft
11:28.0,Turnover by M. Carter-Williams (bad pass),,86-77,,
11:07.0,,,86-80,3,J. Crowder makes 3-pt shot from 26 ft (assist by J. Jerebko)
10:40.0,J. Dudley misses 3-pt shot from 23 ft,,86-80,,
10:39.0,,,86-80,,Defensive rebound by J. Crowder
10:27.0,,,86-82,2,I. Thomas makes 2-pt shot at rim
10:07.0,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo),2,88-82,,
9:54.0,,,88-82,,Turnover by I. Thomas (lost ball; steal by M. Carter-Williams)
9:50.0,J. Dudley makes 2-pt shot at rim (assist by M. Carter-Williams),2,90-82,,
9:32.0,,,90-82,,Turnover by I. Thomas (lost ball; steal by M. Carter-Williams)
9:25.0,J. Bayless misses 3-pt shot from 22 ft,,90-82,,
9:24.0,,,90-82,,Defensive rebound by L. Datome
9:11.0,,,90-82,,Turnover by J. Crowder (bad pass; steal by J. Dudley)
9:06.0,Offensive charge foul by Z. Pachulia,,90-82,,
9:06.0,Turnover by Z. Pachulia (offensive foul),,90-82,,
9:06.0,,,90-82,,P. Pressey enters the game for I. Thomas
9:06.0,,,90-82,,M. Smart enters the game for J. Crowder
8:51.0,,,90-82,,M. Smart misses 2-pt shot from 8 ft (block by M. Carter-Williams)
8:50.0,,,90-82,,Offensive rebound by T. Zeller
8:49.0,,,90-84,2,T. Zeller makes 2-pt shot at rim
8:36.0,Official timeout,,90-84,,
8:30.0,Shooting foul by J. Jerebko (drawn by Z. Pachulia),,90-84,,
8:30.0,Z. Pachulia misses free throw 1 of 2,,90-84,,
8:30.0,Offensive rebound by Team,,90-84,,
8:30.0,Z. Pachulia misses free throw 2 of 2,,90-84,,
8:30.0,,,90-84,,Defensive rebound by T. Zeller
8:06.0,,,90-84,,Turnover by Team (shot clock)
7:42.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,93-84,,
7:25.0,,,93-84,,Turnover by M. Smart (lost ball; steal by M. Carter-Williams)
7:10.0,Z. Pachulia misses 2-pt shot from 15 ft,,93-84,,
7:09.0,,,93-84,,Defensive rebound by L. Datome
6:53.0,,,93-84,,L. Datome misses 2-pt shot from 15 ft
6:51.0,,,93-84,,Offensive rebound by T. Zeller
6:44.0,,,93-86,2,P. Pressey makes 2-pt shot from 5 ft
6:23.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,95-86,,
6:09.0,,,95-86,,Boston full timeout
6:09.0,,,95-86,,A. Bradley enters the game for T. Zeller
6:09.0,,,95-86,,I. Thomas enters the game for M. Smart
6:09.0,,,95-86,,E. Turner enters the game for L. Datome
6:09.0,,,95-86,,K. Olynyk enters the game for P. Pressey
6:09.0,O. Mayo enters the game for J. Bayless,,95-86,,
6:04.0,,,95-88,2,J. Jerebko makes 2-pt shot from 1 ft (assist by E. Turner)
5:41.0,J. Dudley makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,98-88,,
5:26.0,,,98-88,,K. Olynyk misses 2-pt shot from 17 ft
5:25.0,,,98-88,,Offensive rebound by E. Turner
5:18.0,,,98-88,,E. Turner misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by G. Antetokounmpo,,98-88,,
5:04.0,Offensive charge foul by G. Antetokounmpo,,98-88,,
5:04.0,Turnover by G. Antetokounmpo (offensive foul),,98-88,,
5:04.0,K. Middleton enters the game for G. Antetokounmpo,,98-88,,
4:54.0,,,98-88,,I. Thomas misses 3-pt shot from 24 ft
4:52.0,,,98-88,,Offensive rebound by K. Olynyk
