time,Philadelphia,pts.away,score,pts.home,Chicago
1:17.0,Defensive rebound by H. Thompson,,47-46,,
1:09.0,R. Covington makes 3-pt shot from 23 ft (assist by J. Sampson),3,50-46,,
1:00.0,,,50-46,,M. Dunleavy misses 3-pt shot from 25 ft
0:59.0,,,50-46,,Offensive rebound by J. Butler
0:57.0,,,50-48,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler)
0:46.0,Turnover by R. Covington (offensive foul),,50-48,,
0:46.0,Offensive foul by R. Covington,,50-48,,
0:46.0,H. Sims enters the game for J. Grant,,50-48,,
0:35.0,,,50-48,,Shooting foul by J. Sampson (drawn by J. Butler)
0:35.0,,,50-48,,J. Butler misses free throw 1 of 2
0:35.0,,,50-48,,Offensive rebound by Team
0:35.0,,,50-49,1,J. Butler makes free throw 2 of 2
0:22.0,Turnover by J. Sampson (bad pass; steal by T. Gibson),,50-49,,
0:16.0,,,50-49,,P. Gasol misses 2-pt shot from 1 ft
0:15.0,,,50-49,,Offensive rebound by P. Gasol
0:15.0,,,50-51,2,P. Gasol makes 2-pt shot from 1 ft
0:15.0,,,50-51,,Shooting foul by H. Sims (drawn by P. Gasol)
0:15.0,,,50-51,,T. Snell enters the game for M. Dunleavy
0:15.0,,,50-51,,E. Moore enters the game for D. Rose
0:15.0,,,50-52,1,P. Gasol makes free throw 1 of 1
0:12.0,,,50-52,,Personal take foul by E. Moore (drawn by J. Sampson)
0:12.0,G. Robinson enters the game for H. Sims,,50-52,,
0:04.0,R. Covington makes 2-pt shot from 1 ft (assist by J. Sampson),2,52-52,,
0:04.0,Shooting foul by T. Gibson (drawn by R. Covington),,52-52,,
0:04.0,,,52-52,,D. Rose enters the game for E. Moore
0:04.0,J. Grant enters the game for G. Robinson,,52-52,,
0:04.0,R. Covington makes free throw 1 of 1,1,53-52,,
0:01.0,,,53-52,,J. Butler misses 2-pt shot from 2 ft
0:00.0,,,53-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Richardson makes 2-pt shot from 20 ft (assist by J. Sampson),2,55-52,,
11:30.0,Personal foul by J. Richardson (drawn by J. Butler),,55-52,,
11:22.0,,,55-54,2,M. Dunleavy makes 2-pt shot from 21 ft (assist by D. Rose)
11:08.0,J. Grant misses 3-pt shot from 25 ft,,55-54,,
11:07.0,Offensive rebound by J. Sampson,,55-54,,
