time,Charlotte,pts.away,score,pts.home,Portland
7:49.0,,,11-8,2,D. Lillard makes 2-pt shot from 10 ft (assist by W. Matthews)
7:36.0,Turnover by K. Walker (bad pass; steal by W. Matthews),,11-8,,
7:35.0,Personal foul by L. Stephenson (drawn by W. Matthews),,11-8,,
7:25.0,,,11-8,,W. Matthews misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by K. Walker,,11-8,,
7:06.0,K. Walker makes 2-pt shot from 19 ft,2,13-8,,
6:51.0,,,13-10,2,L. Aldridge makes 2-pt shot from 7 ft (assist by A. Crabbe)
6:51.0,,,13-10,,Shooting foul by A. Jefferson (drawn by L. Aldridge)
6:51.0,,,13-11,1,L. Aldridge makes free throw 1 of 1
6:41.0,Shooting foul by R. Lopez (drawn by A. Jefferson),,13-11,,
6:41.0,A. Jefferson makes free throw 1 of 2,1,14-11,,
6:41.0,A. Jefferson makes free throw 2 of 2,1,15-11,,
6:30.0,,,15-13,2,D. Lillard makes 2-pt shot from 1 ft (assist by L. Aldridge)
6:08.0,L. Stephenson misses 2-pt shot from 15 ft,,15-13,,
6:07.0,,,15-13,,Defensive rebound by Team
6:07.0,,,15-13,,Portland full timeout
6:07.0,P. Hairston enters the game for M. Kidd-Gilchrist,,15-13,,
5:56.0,,,15-13,,A. Crabbe misses 2-pt shot from 21 ft
5:55.0,Defensive rebound by L. Stephenson,,15-13,,
5:44.0,A. Jefferson makes 2-pt shot from 18 ft,2,17-13,,
5:30.0,,,17-13,,Turnover by A. Crabbe (traveling)
5:30.0,,,17-13,,C. McCollum enters the game for A. Crabbe
5:19.0,P. Hairston makes 3-pt shot from 24 ft (assist by L. Stephenson),3,20-13,,
5:01.0,,,20-13,,Turnover by D. Lillard (bad pass)
5:01.0,,,20-13,,C. Kaman enters the game for R. Lopez
5:01.0,,,20-13,,S. Blake enters the game for W. Matthews
4:54.0,Turnover by K. Walker (lost ball; steal by D. Lillard),,20-13,,
4:51.0,,,20-15,2,D. Lillard makes 2-pt shot from 1 ft
4:33.0,L. Stephenson makes 2-pt shot from 8 ft,2,22-15,,
4:24.0,,,22-15,,D. Lillard misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by L. Stephenson,,22-15,,
4:13.0,L. Stephenson makes 2-pt shot from 20 ft,2,24-15,,
3:56.0,,,24-15,,L. Aldridge misses 2-pt shot from 5 ft (block by M. Williams)
3:55.0,Defensive rebound by Team,,24-15,,
3:55.0,C. Zeller enters the game for M. Williams,,24-15,,
3:43.0,A. Jefferson misses 2-pt shot from 17 ft,,24-15,,
3:42.0,Offensive rebound by C. Zeller,,24-15,,
3:34.0,K. Walker makes 2-pt shot from 19 ft,2,26-15,,
3:17.0,,,26-15,,C. McCollum misses 2-pt shot at rim
3:16.0,Defensive rebound by A. Jefferson,,26-15,,
3:12.0,Shooting foul by S. Blake (drawn by K. Walker),,26-15,,
3:12.0,K. Walker misses free throw 1 of 2,,26-15,,
3:12.0,Offensive rebound by Team,,26-15,,
3:12.0,J. Maxiell enters the game for A. Jefferson,,26-15,,
3:12.0,K. Walker makes free throw 2 of 2,1,27-15,,
2:54.0,,,27-15,,Turnover by C. McCollum (lost ball; steal by P. Hairston)
2:54.0,,,27-15,,Personal foul by C. McCollum (drawn by P. Hairston)
2:54.0,Charlotte full timeout,,27-15,,
2:54.0,G. Neal enters the game for L. Stephenson,,27-15,,
2:41.0,P. Hairston misses 2-pt shot from 1 ft (block by C. Kaman),,27-15,,
2:39.0,Offensive rebound by C. Zeller,,27-15,,
2:39.0,C. Zeller makes 2-pt shot from 1 ft,2,29-15,,
2:22.0,,,29-15,,Turnover by D. Lillard (bad pass; steal by K. Walker)
2:22.0,,,29-15,,Personal foul by S. Blake (drawn by P. Hairston)
2:11.0,Turnover by C. Zeller (offensive foul),,29-15,,
2:11.0,Offensive foul by C. Zeller,,29-15,,
1:59.0,,,29-17,2,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard)
1:38.0,C. Zeller misses 2-pt shot from 21 ft,,29-17,,
1:37.0,,,29-17,,Defensive rebound by D. Lillard
1:27.0,,,29-17,,L. Aldridge misses 2-pt shot from 3 ft
1:26.0,Defensive rebound by C. Zeller,,29-17,,
1:13.0,P. Hairston makes 3-pt shot from 24 ft (assist by K. Walker),3,32-17,,
1:03.0,Personal foul by J. Maxiell (drawn by S. Blake),,32-17,,
1:03.0,B. Roberts enters the game for K. Walker,,32-17,,
1:03.0,,,32-17,,D. Wright enters the game for D. Lillard
0:54.0,Personal foul by P. Hairston (drawn by L. Aldridge),,32-17,,
0:54.0,,,32-18,1,L. Aldridge makes free throw 1 of 2
0:54.0,,,32-19,1,L. Aldridge makes free throw 2 of 2
0:43.0,G. Neal makes 2-pt shot from 18 ft,2,34-19,,
0:43.0,Shooting foul by C. McCollum (drawn by G. Neal),,34-19,,
0:43.0,G. Neal makes free throw 1 of 1,1,35-19,,
0:34.0,,,35-19,,S. Blake misses 3-pt shot from 24 ft
0:33.0,,,35-19,,Offensive rebound by C. Kaman
0:28.0,,,35-21,2,C. McCollum makes 2-pt shot from 16 ft (assist by C. Kaman)
0:07.0,G. Neal misses 2-pt shot from 19 ft,,35-21,,
0:06.0,,,35-21,,Defensive rebound by C. Kaman
0:00.0,,,35-21,,D. Wright misses 3-pt shot from 23 ft
0:00.0,,,35-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Violation by J. Maxiell (def goaltending),,35-21,,
11:45.0,,,35-23,2,C. Kaman makes 2-pt shot from 1 ft
11:34.0,Shooting foul by D. Wright (drawn by L. Stephenson),,35-23,,
11:34.0,L. Stephenson makes free throw 1 of 2,1,36-23,,
11:34.0,L. Stephenson misses free throw 2 of 2,,36-23,,
11:32.0,,,36-23,,Defensive rebound by J. Freeland
11:17.0,,,36-23,,J. Freeland misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by Team,,36-23,,
11:17.0,,,36-23,,Loose ball foul by C. Kaman (drawn by J. Maxiell)
11:07.0,L. Stephenson misses 2-pt shot from 20 ft,,36-23,,
11:06.0,,,36-23,,Defensive rebound by J. Freeland
10:56.0,,,36-23,,S. Blake misses 2-pt shot from 17 ft
10:55.0,,,36-23,,Offensive rebound by C. Kaman
10:55.0,,,36-25,2,C. Kaman makes 2-pt shot at rim
10:40.0,B. Roberts misses 2-pt shot from 20 ft,,36-25,,
10:40.0,Offensive rebound by C. Zeller,,36-25,,
10:40.0,Shooting foul by C. Kaman (drawn by C. Zeller),,36-25,,
10:40.0,,,36-25,,Technical foul by C. Kaman (drawn by C. Zeller)
10:40.0,B. Roberts makes technical free throw,1,37-25,,
10:40.0,C. Zeller makes free throw 1 of 2,1,38-25,,
10:40.0,,,38-25,,W. Matthews enters the game for C. McCollum
10:40.0,C. Zeller makes free throw 2 of 2,1,39-25,,
10:25.0,,,39-25,,C. Kaman misses 2-pt shot from 2 ft (block by J. Maxiell)
10:24.0,,,39-25,,Offensive rebound by C. Kaman
10:21.0,,,39-25,,C. Kaman misses 2-pt shot from 7 ft
10:20.0,Defensive rebound by L. Stephenson,,39-25,,
10:11.0,L. Stephenson misses 2-pt shot from 18 ft,,39-25,,
10:10.0,,,39-25,,Defensive rebound by S. Blake
10:02.0,,,39-25,,J. Freeland misses 2-pt shot from 5 ft
10:01.0,Defensive rebound by C. Zeller,,39-25,,
9:55.0,Turnover by B. Roberts (lost ball),,39-25,,
9:38.0,,,39-25,,W. Matthews misses 2-pt shot from 19 ft
9:37.0,Defensive rebound by L. Stephenson,,39-25,,
9:30.0,B. Roberts makes 3-pt shot from 24 ft (assist by G. Neal),3,42-25,,
9:10.0,,,42-25,,D. Wright misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by C. Zeller,,42-25,,
8:59.0,B. Roberts makes 2-pt shot from 14 ft,2,44-25,,
8:59.0,,,44-25,,Portland full timeout
8:59.0,,,44-25,,D. Lillard enters the game for S. Blake
8:59.0,M. Williams enters the game for C. Zeller,,44-25,,
8:46.0,,,44-25,,D. Lillard misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by G. Neal,,44-25,,
8:34.0,G. Neal misses 3-pt shot from 22 ft,,44-25,,
8:34.0,,,44-25,,Defensive rebound by C. Kaman
8:24.0,,,44-27,2,J. Freeland makes 2-pt shot from 1 ft (assist by D. Wright)
8:03.0,Shooting foul by C. Kaman (drawn by L. Stephenson),,44-27,,
8:03.0,L. Stephenson misses free throw 1 of 2,,44-27,,
8:03.0,Offensive rebound by Team,,44-27,,
8:03.0,M. Kidd-Gilchrist enters the game for G. Neal,,44-27,,
8:03.0,,,44-27,,R. Lopez enters the game for C. Kaman
8:03.0,L. Stephenson makes free throw 2 of 2,1,45-27,,
7:49.0,,,45-27,,D. Wright misses 3-pt shot from 23 ft
7:48.0,,,45-27,,Offensive rebound by J. Freeland
7:47.0,,,45-27,,W. Matthews misses 2-pt shot from 22 ft
7:46.0,Defensive rebound by L. Stephenson,,45-27,,
7:35.0,B. Roberts makes 2-pt shot from 2 ft,2,47-27,,
7:35.0,Shooting foul by D. Lillard (drawn by B. Roberts),,47-27,,
7:35.0,,,47-27,,L. Aldridge enters the game for J. Freeland
7:35.0,A. Jefferson enters the game for J. Maxiell,,47-27,,
7:35.0,B. Roberts makes free throw 1 of 1,1,48-27,,
7:19.0,,,48-27,,Turnover by D. Lillard (bad pass; steal by L. Stephenson)
7:17.0,Shooting foul by D. Wright (drawn by M. Kidd-Gilchrist),,48-27,,
7:17.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,49-27,,
7:17.0,,,49-27,,C. McCollum enters the game for D. Wright
7:17.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,50-27,,
7:03.0,,,50-29,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard)
6:47.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,50-29,,
6:46.0,,,50-29,,Defensive rebound by D. Lillard
6:43.0,,,50-29,,Turnover by D. Lillard (bad pass)
6:26.0,A. Jefferson makes 2-pt shot from 3 ft,2,52-29,,
6:14.0,,,52-31,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
5:56.0,B. Roberts misses 2-pt shot from 8 ft,,52-31,,
5:55.0,,,52-31,,Defensive rebound by D. Lillard
5:51.0,,,52-33,2,W. Matthews makes 2-pt shot at rim (assist by D. Lillard)
5:44.0,Charlotte full timeout,,52-33,,
5:44.0,K. Walker enters the game for B. Roberts,,52-33,,
5:34.0,A. Jefferson makes 2-pt shot from 8 ft,2,54-33,,
5:16.0,,,54-36,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
4:58.0,K. Walker misses 2-pt shot from 2 ft (block by R. Lopez),,54-36,,
4:56.0,Offensive rebound by M. Kidd-Gilchrist,,54-36,,
4:56.0,Shooting foul by R. Lopez (drawn by M. Kidd-Gilchrist),,54-36,,
4:56.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,55-36,,
4:56.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,56-36,,
4:48.0,,,56-38,2,D. Lillard makes 2-pt shot at rim
4:31.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Williams),2,58-38,,
4:12.0,,,58-38,,L. Aldridge misses 2-pt shot from 15 ft
4:10.0,Defensive rebound by A. Jefferson,,58-38,,
3:59.0,A. Jefferson makes 2-pt shot from 19 ft (assist by L. Stephenson),2,60-38,,
3:41.0,,,60-38,,R. Lopez misses 2-pt shot from 7 ft
3:40.0,Defensive rebound by L. Stephenson,,60-38,,
3:33.0,L. Stephenson misses 3-pt shot from 24 ft,,60-38,,
3:33.0,,,60-38,,Defensive rebound by R. Lopez
3:19.0,,,60-38,,W. Matthews misses 3-pt shot from 23 ft
3:18.0,,,60-38,,Offensive rebound by L. Aldridge
3:16.0,,,60-38,,L. Aldridge misses 2-pt shot at rim
3:15.0,,,60-38,,Offensive rebound by L. Aldridge
3:12.0,,,60-40,2,L. Aldridge makes 2-pt shot from 3 ft
2:53.0,A. Jefferson misses 2-pt shot from 3 ft,,60-40,,
2:52.0,,,60-40,,Defensive rebound by L. Aldridge
2:43.0,,,60-40,,D. Lillard misses 2-pt shot from 6 ft
2:42.0,Defensive rebound by M. Williams,,60-40,,
2:37.0,Charlotte full timeout,,60-40,,
2:37.0,Official timeout,,60-40,,
2:37.0,,,60-40,,A. Crabbe enters the game for C. McCollum
2:37.0,C. Zeller enters the game for M. Williams,,60-40,,
2:37.0,G. Neal enters the game for L. Stephenson,,60-40,,
2:21.0,K. Walker makes 2-pt shot from 3 ft,2,62-40,,
2:04.0,,,62-42,2,W. Matthews makes 2-pt shot from 1 ft
2:04.0,,,62-42,,Shooting foul by M. Kidd-Gilchrist (drawn by W. Matthews)
2:04.0,,,62-43,1,W. Matthews makes free throw 1 of 1
1:42.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,62-43,,
1:41.0,,,62-43,,Defensive rebound by L. Aldridge
1:33.0,,,62-43,,D. Lillard misses 2-pt shot from 5 ft
1:33.0,,,62-43,,Offensive rebound by Team
1:33.0,Loose ball foul by M. Kidd-Gilchrist (drawn by R. Lopez),,62-43,,
1:23.0,,,62-43,,L. Aldridge misses 2-pt shot from 14 ft
1:23.0,,,62-43,,Offensive rebound by Team
1:23.0,Jump ball: A. Jefferson vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: A. Jefferson vs. R. Lopez (L. Aldridge gains possession)
1:03.0,,,62-43,,W. Matthews misses 3-pt shot from 22 ft
1:02.0,,,62-43,,Offensive rebound by R. Lopez
0:59.0,,,62-46,3,D. Lillard makes 3-pt shot from 27 ft (assist by W. Matthews)
0:51.0,Turnover by A. Jefferson (traveling),,62-46,,
0:36.0,,,62-49,3,D. Lillard makes 3-pt shot from 25 ft
0:20.0,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by G. Neal),2,64-49,,
0:12.0,,,64-49,,Portland full timeout
0:12.0,P. Hairston enters the game for M. Kidd-Gilchrist,,64-49,,
0:12.0,,,64-49,,C. McCollum enters the game for R. Lopez
0:12.0,L. Stephenson enters the game for A. Jefferson,,64-49,,
0:02.0,,,64-51,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,64-53,2,L. Aldridge makes 2-pt shot from 20 ft (assist by W. Matthews)
11:11.0,K. Walker misses 3-pt shot from 24 ft,,64-53,,
11:10.0,,,64-53,,Defensive rebound by L. Aldridge
10:59.0,,,64-53,,W. Matthews misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by L. Stephenson,,64-53,,
10:45.0,A. Jefferson makes 2-pt shot from 1 ft,2,66-53,,
10:33.0,,,66-53,,L. Aldridge misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by L. Stephenson,,66-53,,
10:23.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,68-53,,
10:01.0,,,68-55,2,W. Matthews makes 2-pt shot from 10 ft
9:36.0,K. Walker makes 3-pt shot from 24 ft (assist by A. Jefferson),3,71-55,,
9:18.0,,,71-58,3,D. Lillard makes 3-pt shot from 22 ft (assist by A. Crabbe)
8:50.0,A. Jefferson makes 2-pt shot from 18 ft,2,73-58,,
8:36.0,,,73-58,,A. Crabbe misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by M. Kidd-Gilchrist,,73-58,,
8:16.0,A. Jefferson misses 2-pt shot from 17 ft,,73-58,,
8:16.0,,,73-58,,Defensive rebound by L. Aldridge
8:08.0,,,73-58,,D. Lillard misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by M. Kidd-Gilchrist,,73-58,,
7:46.0,K. Walker misses 2-pt shot from 15 ft,,73-58,,
7:46.0,,,73-58,,Defensive rebound by A. Crabbe
7:35.0,,,73-60,2,L. Aldridge makes 2-pt shot from 1 ft (assist by W. Matthews)
7:13.0,M. Williams misses 3-pt shot from 24 ft,,73-60,,
7:12.0,,,73-60,,Defensive rebound by R. Lopez
7:00.0,,,73-60,,Shooting foul by M. Kidd-Gilchrist (drawn by W. Matthews)
7:00.0,,,73-61,1,W. Matthews makes free throw 1 of 2
7:00.0,,,73-62,1,W. Matthews makes free throw 2 of 2
6:42.0,A. Jefferson misses 2-pt shot from 9 ft,,73-62,,
6:42.0,,,73-62,,Defensive rebound by W. Matthews
6:29.0,,,73-62,,L. Aldridge misses 2-pt shot from 22 ft
6:29.0,Defensive rebound by M. Kidd-Gilchrist,,73-62,,
6:12.0,Turnover by L. Stephenson (lost ball; steal by D. Lillard),,73-62,,
6:02.0,,,73-64,2,D. Lillard makes 2-pt shot from 19 ft (assist by W. Matthews)
5:56.0,Charlotte full timeout,,73-64,,
5:56.0,C. Zeller enters the game for M. Kidd-Gilchrist,,73-64,,
5:56.0,P. Hairston enters the game for M. Williams,,73-64,,
5:37.0,K. Walker misses 2-pt shot from 2 ft,,73-64,,
5:37.0,,,73-64,,Defensive rebound by L. Aldridge
5:29.0,,,73-64,,D. Lillard misses 2-pt shot from 3 ft
5:27.0,,,73-64,,Offensive rebound by W. Matthews
5:24.0,,,73-64,,W. Matthews misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by K. Walker,,73-64,,
5:16.0,,,73-64,,Personal foul by W. Matthews (drawn by K. Walker)
5:16.0,,,73-64,,S. Blake enters the game for A. Crabbe
5:03.0,L. Stephenson makes 3-pt shot from 24 ft (assist by K. Walker),3,76-64,,
4:53.0,Personal foul by L. Stephenson (drawn by W. Matthews),,76-64,,
4:46.0,,,76-64,,R. Lopez misses 2-pt shot from 1 ft (block by C. Zeller)
4:46.0,Defensive rebound by Team,,76-64,,
4:46.0,Jump ball: R. Lopez vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: R. Lopez vs. C. Zeller (A. Jefferson gains possession)
4:34.0,C. Zeller makes 2-pt shot from 4 ft (assist by L. Stephenson),2,78-64,,
4:14.0,,,78-64,,Turnover by R. Lopez (3 sec)
4:14.0,,,78-64,,C. Kaman enters the game for R. Lopez
3:53.0,A. Jefferson makes 2-pt shot from 15 ft (assist by P. Hairston),2,80-64,,
3:38.0,,,80-64,,L. Aldridge misses 2-pt shot from 11 ft
3:36.0,Defensive rebound by L. Stephenson,,80-64,,
3:24.0,Shooting foul by L. Aldridge (drawn by C. Zeller),,80-64,,
3:24.0,C. Zeller misses free throw 1 of 2,,80-64,,
3:24.0,Offensive rebound by Team,,80-64,,
3:24.0,G. Neal enters the game for L. Stephenson,,80-64,,
3:24.0,C. Zeller makes free throw 2 of 2,1,81-64,,
3:17.0,,,81-67,3,D. Lillard makes 3-pt shot from 24 ft (assist by W. Matthews)
2:56.0,K. Walker misses 2-pt shot from 16 ft,,81-67,,
2:56.0,,,81-67,,Defensive rebound by C. Kaman
2:42.0,,,81-70,3,W. Matthews makes 3-pt shot from 24 ft
2:25.0,K. Walker makes 2-pt shot from 8 ft (assist by G. Neal),2,83-70,,
2:14.0,,,83-70,,W. Matthews misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by G. Neal,,83-70,,
2:02.0,C. Zeller misses 2-pt shot from 20 ft,,83-70,,
2:01.0,,,83-70,,Defensive rebound by S. Blake
1:53.0,Personal foul by C. Zeller (drawn by L. Aldridge),,83-70,,
1:53.0,,,83-70,,Portland full timeout
1:53.0,,,83-70,,C. McCollum enters the game for D. Lillard
1:53.0,J. Maxiell enters the game for A. Jefferson,,83-70,,
1:44.0,,,83-72,2,C. Kaman makes 2-pt shot at rim (assist by S. Blake)
1:25.0,G. Neal makes 2-pt shot from 17 ft,2,85-72,,
1:07.0,,,85-72,,Shooting foul by P. Hairston (drawn by W. Matthews)
1:07.0,,,85-72,,W. Matthews misses free throw 1 of 2
1:07.0,,,85-72,,Offensive rebound by Team
1:07.0,,,85-73,1,W. Matthews makes free throw 2 of 2
0:57.0,Turnover by J. Maxiell (lost ball; steal by C. McCollum),,85-73,,
0:55.0,Personal foul by G. Neal (drawn by C. McCollum),,85-73,,
0:55.0,,,85-74,1,C. McCollum makes free throw 1 of 2
0:55.0,,,85-74,,A. Crabbe enters the game for W. Matthews
0:55.0,,,85-75,1,C. McCollum makes free throw 2 of 2
0:44.0,G. Neal misses 2-pt shot from 18 ft,,85-75,,
0:43.0,,,85-75,,Defensive rebound by C. McCollum
0:28.0,,,85-75,,C. McCollum misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by C. Zeller,,85-75,,
0:06.0,K. Walker misses 2-pt shot from 16 ft,,85-75,,
0:05.0,Offensive rebound by J. Maxiell,,85-75,,
0:03.0,J. Maxiell misses 2-pt shot from 2 ft (block by C. Kaman),,85-75,,
0:01.0,,,85-75,,Defensive rebound by C. Kaman
0:00.0,,,85-75,,C. McCollum misses 2-pt shot from 9 ft
0:00.0,,,85-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by G. Neal (lost ball),,85-75,,
11:38.0,,,85-75,,C. Kaman misses 2-pt shot from 15 ft
11:37.0,Defensive rebound by C. Zeller,,85-75,,
11:29.0,P. Hairston misses 3-pt shot from 25 ft,,85-75,,
11:29.0,,,85-75,,Defensive rebound by C. Kaman
11:17.0,,,85-77,2,C. Kaman makes 2-pt shot from 18 ft (assist by C. McCollum)
11:02.0,Shooting foul by J. Freeland (drawn by P. Hairston),,85-77,,
11:02.0,P. Hairston makes free throw 1 of 2,1,86-77,,
11:02.0,P. Hairston makes free throw 2 of 2,1,87-77,,
10:49.0,,,87-79,2,A. Crabbe makes 2-pt shot from 20 ft (assist by C. Kaman)
10:35.0,Turnover by B. Roberts (lost ball; steal by S. Blake),,87-79,,
10:29.0,,,87-79,,Offensive foul by S. Blake
10:29.0,,,87-79,,Turnover by S. Blake (offensive foul)
10:29.0,L. Stephenson enters the game for P. Hairston,,87-79,,
10:14.0,B. Roberts misses 2-pt shot from 17 ft,,87-79,,
10:13.0,Offensive rebound by B. Roberts,,87-79,,
10:09.0,Turnover by B. Roberts (lost ball; steal by S. Blake),,87-79,,
10:07.0,,,87-79,,Shooting foul by B. Roberts (drawn by S. Blake)
10:07.0,,,87-80,1,S. Blake makes free throw 1 of 2
10:07.0,,,87-81,1,S. Blake makes free throw 2 of 2
9:56.0,G. Neal misses 3-pt shot from 24 ft,,87-81,,
9:56.0,,,87-81,,Defensive rebound by J. Freeland
9:42.0,,,87-81,,C. Kaman misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by L. Stephenson,,87-81,,
9:34.0,Offensive foul by C. Zeller,,87-81,,
9:34.0,Turnover by C. Zeller (offensive foul),,87-81,,
9:23.0,,,87-81,,S. Blake misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by L. Stephenson,,87-81,,
9:19.0,,,87-81,,Personal foul by J. Freeland (drawn by C. Zeller)
9:19.0,A. Jefferson enters the game for J. Maxiell,,87-81,,
9:06.0,A. Jefferson misses 2-pt shot from 12 ft,,87-81,,
9:06.0,,,87-81,,Defensive rebound by C. McCollum
8:56.0,,,87-83,2,C. Kaman makes 2-pt shot from 18 ft (assist by S. Blake)
8:34.0,A. Jefferson misses 2-pt shot from 12 ft,,87-83,,
8:34.0,Offensive rebound by Team,,87-83,,
8:34.0,,,87-83,,Loose ball foul by S. Blake (drawn by C. Zeller)
8:34.0,Official timeout,,87-83,,
8:34.0,,,87-83,,D. Lillard enters the game for C. McCollum
8:28.0,B. Roberts makes 3-pt shot from 24 ft (assist by C. Zeller),3,90-83,,
8:09.0,,,90-83,,D. Lillard misses 3-pt shot from 25 ft
8:08.0,,,90-83,,Offensive rebound by J. Freeland
8:06.0,,,90-85,2,J. Freeland makes 2-pt shot at rim
7:43.0,A. Jefferson makes 2-pt shot from 2 ft,2,92-85,,
7:26.0,,,92-85,,Turnover by C. Kaman (lost ball; steal by G. Neal)
7:16.0,Turnover by A. Jefferson (traveling),,92-85,,
7:16.0,,,92-85,,L. Aldridge enters the game for C. Kaman
7:16.0,K. Walker enters the game for B. Roberts,,92-85,,
6:57.0,,,92-85,,Turnover by D. Lillard (traveling)
6:57.0,,,92-85,,W. Matthews enters the game for A. Crabbe
6:31.0,K. Walker misses 3-pt shot from 23 ft,,92-85,,
6:30.0,,,92-85,,Defensive rebound by W. Matthews
6:18.0,,,92-85,,Turnover by W. Matthews (traveling)
6:05.0,K. Walker misses 2-pt shot from 15 ft (block by S. Blake),,92-85,,
6:04.0,,,92-85,,Defensive rebound by L. Aldridge
5:47.0,,,92-88,3,D. Lillard makes 3-pt shot from 24 ft (assist by L. Aldridge)
5:41.0,Charlotte full timeout,,92-88,,
5:32.0,A. Jefferson misses 2-pt shot from 17 ft,,92-88,,
5:31.0,,,92-88,,Defensive rebound by S. Blake
5:11.0,,,92-90,2,L. Aldridge makes 2-pt shot from 9 ft (assist by W. Matthews)
4:53.0,Shooting foul by S. Blake (drawn by K. Walker),,92-90,,
4:53.0,K. Walker makes free throw 1 of 2,1,93-90,,
4:53.0,K. Walker makes free throw 2 of 2,1,94-90,,
4:34.0,,,94-90,,L. Aldridge misses 2-pt shot from 10 ft
4:33.0,,,94-90,,Offensive rebound by D. Lillard
4:30.0,,,94-90,,W. Matthews misses 3-pt shot from 24 ft
4:29.0,,,94-90,,Offensive rebound by J. Freeland
4:25.0,,,94-90,,J. Freeland misses 2-pt shot from 4 ft
4:23.0,,,94-90,,Offensive rebound by L. Aldridge
4:23.0,,,94-92,2,L. Aldridge makes 2-pt shot at rim
4:02.0,Shooting foul by J. Freeland (drawn by A. Jefferson),,94-92,,
