time,Brooklyn,pts.away,score,pts.home,Phoenix
6:17.0,B. Bogdanovic makes free throw 2 of 2,1,15-8,,
6:13.0,,,15-8,,Phoenix full timeout
6:05.0,,,15-10,2,M. Morris makes 2-pt shot from 11 ft (assist by E. Bledsoe)
5:48.0,D. Williams misses 2-pt shot from 4 ft,,15-10,,
5:47.0,Offensive rebound by B. Lopez,,15-10,,
5:44.0,B. Lopez makes 2-pt shot from 1 ft,2,17-10,,
5:28.0,,,17-13,3,G. Dragic makes 3-pt shot from 24 ft (assist by M. Morris)
5:09.0,J. Johnson makes 2-pt shot from 7 ft,2,19-13,,
4:51.0,,,19-13,,M. Plumlee misses 2-pt shot from 14 ft
4:50.0,Defensive rebound by B. Lopez,,19-13,,
4:41.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by M. Teletovic),2,21-13,,
4:25.0,,,21-13,,Offensive foul by M. Morris
4:25.0,,,21-13,,Turnover by M. Morris (offensive foul)
4:25.0,,,21-13,,P. Tucker enters the game for M. Morris
4:25.0,,,21-13,,A. Len enters the game for M. Morris
4:25.0,,,21-13,,A. Tolliver enters the game for M. Plumlee
4:11.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Williams),3,24-13,,
3:59.0,Personal foul by B. Bogdanovic (drawn by G. Dragic),,24-13,,
3:53.0,,,24-13,,G. Dragic misses 2-pt shot from 7 ft
3:51.0,,,24-13,,Offensive rebound by G. Dragic
3:39.0,,,24-13,,G. Dragic misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by B. Bogdanovic,,24-13,,
3:21.0,B. Lopez misses 2-pt shot from 9 ft,,24-13,,
3:19.0,,,24-13,,Defensive rebound by A. Tolliver
3:03.0,,,24-13,,E. Bledsoe misses 2-pt shot from 14 ft
3:02.0,Defensive rebound by J. Johnson,,24-13,,
2:52.0,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Williams),3,27-13,,
2:34.0,,,27-13,,Turnover by P. Tucker (bad pass)
2:34.0,Brooklyn full timeout,,27-13,,
2:34.0,,,27-13,,I. Thomas enters the game for G. Dragic
2:34.0,J. Jack enters the game for D. Williams,,27-13,,
2:18.0,B. Lopez makes 2-pt shot from 8 ft,2,29-13,,
1:59.0,,,29-13,,Shooting foul by J. Johnson (drawn by A. Len)
1:59.0,,,29-14,1,A. Len makes free throw 1 of 2
1:59.0,M. Plumlee enters the game for B. Lopez,,29-14,,
1:59.0,,,29-14,,A. Len misses free throw 2 of 2
1:58.0,Defensive rebound by M. Plumlee,,29-14,,
1:44.0,Turnover by J. Jack (traveling),,29-14,,
1:33.0,,,29-14,,I. Thomas misses 3-pt shot from 25 ft
1:32.0,,,29-14,,Offensive rebound by A. Len
1:28.0,,,29-14,,P. Tucker misses 3-pt shot from 22 ft
1:28.0,Defensive rebound by Team,,29-14,,
1:28.0,,,29-14,,Personal foul by A. Tolliver (drawn by B. Bogdanovic)
1:07.0,Turnover by J. Jack (bad pass),,29-14,,
0:58.0,,,29-14,,I. Thomas misses 2-pt shot from 2 ft (block by M. Plumlee)
0:57.0,,,29-14,,Offensive rebound by A. Len
0:55.0,,,29-14,,A. Len misses 2-pt shot from 1 ft (block by M. Plumlee)
0:54.0,Defensive rebound by J. Johnson,,29-14,,
0:51.0,Offensive charge foul by M. Plumlee,,29-14,,
0:51.0,Turnover by M. Plumlee (offensive foul),,29-14,,
0:33.0,,,29-14,,Shooting foul by M. Plumlee (drawn by P. Tucker)
0:33.0,,,29-15,1,P. Tucker makes free throw 1 of 2
0:33.0,A. Anderson enters the game for M. Plumlee,,29-15,,
0:33.0,,,29-15,,G. Green enters the game for A. Len
0:33.0,,,29-15,,P. Tucker misses free throw 2 of 2
0:33.0,Defensive rebound by J. Johnson,,29-15,,
0:18.0,Turnover by J. Jack (lost ball),,29-15,,
0:02.0,,,29-17,2,I. Thomas makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-19,2,I. Thomas makes 2-pt shot at rim
11:25.0,J. Jack makes 2-pt shot from 6 ft,2,31-19,,
11:12.0,,,31-19,,G. Green misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by M. Teletovic,,31-19,,
11:00.0,J. Johnson makes 3-pt shot from 23 ft (assist by J. Jack),3,34-19,,
10:49.0,,,34-19,,Turnover by A. Len (bad pass; steal by J. Johnson)
10:45.0,J. Johnson makes 2-pt shot at rim,2,36-19,,
10:25.0,,,36-19,,G. Green misses 2-pt shot from 3 ft
10:24.0,Defensive rebound by K. Garnett,,36-19,,
10:19.0,Shooting foul by I. Thomas (drawn by J. Jack),,36-19,,
10:19.0,J. Jack makes free throw 1 of 2,1,37-19,,
10:19.0,,,37-19,,M. Morris enters the game for A. Len
10:19.0,D. Williams enters the game for J. Johnson,,37-19,,
10:19.0,J. Jack makes free throw 2 of 2,1,38-19,,
10:00.0,,,38-19,,Turnover by P. Tucker (bad pass)
9:45.0,D. Williams misses 3-pt shot from 25 ft,,38-19,,
9:44.0,Offensive rebound by K. Garnett,,38-19,,
9:40.0,M. Teletovic misses 3-pt shot from 25 ft,,38-19,,
9:39.0,,,38-19,,Defensive rebound by M. Morris
9:30.0,,,38-19,,A. Tolliver misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by D. Williams,,38-19,,
9:27.0,Turnover by D. Williams (bad pass; steal by I. Thomas),,38-19,,
9:24.0,,,38-19,,I. Thomas misses 3-pt shot from 26 ft
9:23.0,,,38-19,,Offensive rebound by I. Thomas
9:20.0,,,38-19,,I. Thomas misses 2-pt shot from 9 ft
9:19.0,Defensive rebound by K. Garnett,,38-19,,
9:05.0,Offensive charge foul by D. Williams,,38-19,,
9:05.0,Turnover by D. Williams (offensive foul),,38-19,,
8:54.0,,,38-19,,Shooting foul by A. Anderson (drawn by G. Green)
8:54.0,Official timeout,,38-19,,
8:54.0,A. Kirilenko enters the game for D. Williams,,38-19,,
8:54.0,,,38-20,1,G. Green makes free throw 1 of 2
8:54.0,,,38-21,1,G. Green makes free throw 2 of 2
8:35.0,K. Garnett misses 2-pt shot from 10 ft,,38-21,,
8:33.0,Offensive rebound by M. Teletovic,,38-21,,
8:16.0,M. Teletovic misses 3-pt shot from 24 ft,,38-21,,
8:15.0,,,38-21,,Defensive rebound by M. Morris
7:55.0,,,38-21,,I. Thomas misses 3-pt shot from 25 ft
7:55.0,,,38-21,,Offensive rebound by P. Tucker
7:49.0,,,38-23,2,G. Green makes 2-pt shot from 19 ft (assist by A. Tolliver)
7:36.0,Turnover by J. Jack (bad pass),,38-23,,
7:36.0,,,38-23,,M. Plumlee enters the game for A. Tolliver
7:36.0,,,38-23,,G. Dragic enters the game for I. Thomas
7:18.0,,,38-23,,G. Green misses 2-pt shot from 20 ft
7:17.0,,,38-23,,Offensive rebound by G. Dragic
7:09.0,,,38-26,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
6:58.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jack),3,41-26,,
6:43.0,,,41-29,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
6:19.0,Turnover by M. Teletovic (bad pass; steal by M. Morris),,41-29,,
6:07.0,,,41-31,2,P. Tucker makes 2-pt shot from 3 ft
5:50.0,K. Garnett makes 2-pt shot from 3 ft (assist by M. Teletovic),2,43-31,,
5:40.0,,,43-31,,G. Dragic misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by K. Garnett,,43-31,,
5:33.0,M. Teletovic makes 2-pt shot from 2 ft (assist by J. Jack),2,45-31,,
5:32.0,Violation by Team (delay of game),,45-31,,
5:17.0,,,45-31,,Shooting foul by M. Teletovic (drawn by G. Green)
5:17.0,,,45-31,,Phoenix full timeout
5:17.0,D. Williams enters the game for M. Teletovic,,45-31,,
5:17.0,B. Bogdanovic enters the game for J. Jack,,45-31,,
5:17.0,B. Lopez enters the game for A. Kirilenko,,45-31,,
5:17.0,,,45-32,1,G. Green makes free throw 1 of 3
5:17.0,,,45-33,1,G. Green makes free throw 2 of 3
5:17.0,,,45-34,1,G. Green makes free throw 3 of 3
5:03.0,Turnover by B. Bogdanovic (lost ball; steal by P. Tucker),,45-34,,
4:59.0,,,45-36,2,P. Tucker makes 2-pt shot from 1 ft (assist by G. Dragic)
4:59.0,,,45-36,,Shooting foul by B. Lopez (drawn by P. Tucker)
4:59.0,J. Johnson enters the game for A. Anderson,,45-36,,
4:59.0,,,45-37,1,P. Tucker makes free throw 1 of 1
4:36.0,B. Lopez makes 2-pt shot from 1 ft,2,47-37,,
4:16.0,,,47-37,,Shooting foul by B. Lopez (drawn by G. Green)
4:16.0,,,47-38,1,G. Green makes free throw 1 of 2
4:16.0,,,47-39,1,G. Green makes free throw 2 of 2
3:58.0,J. Johnson misses 3-pt shot from 23 ft,,47-39,,
3:57.0,,,47-39,,Defensive rebound by G. Green
3:47.0,,,47-39,,G. Green misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by K. Garnett,,47-39,,
3:39.0,Shooting foul by P. Tucker (drawn by J. Johnson),,47-39,,
3:39.0,J. Johnson makes free throw 1 of 2,1,48-39,,
3:39.0,M. Teletovic enters the game for K. Garnett,,48-39,,
3:39.0,J. Johnson makes free throw 2 of 2,1,49-39,,
3:16.0,,,49-42,3,G. Dragic makes 3-pt shot from 25 ft
3:00.0,Shooting foul by M. Plumlee (drawn by B. Lopez),,49-42,,
3:00.0,B. Lopez misses free throw 1 of 2,,49-42,,
3:00.0,Offensive rebound by Team,,49-42,,
3:00.0,B. Lopez makes free throw 2 of 2,1,50-42,,
2:48.0,,,50-42,,G. Dragic misses 2-pt shot from 1 ft
2:47.0,,,50-42,,Offensive rebound by M. Plumlee
2:47.0,,,50-42,,M. Plumlee misses 2-pt shot from 1 ft
2:46.0,Defensive rebound by D. Williams,,50-42,,
2:33.0,D. Williams makes 2-pt shot from 4 ft,2,52-42,,
2:28.0,,,52-42,,Phoenix full timeout
2:28.0,Brooklyn full timeout,,52-42,,
2:19.0,Personal foul by M. Teletovic (drawn by G. Green),,52-42,,
2:19.0,,,52-43,1,G. Green makes free throw 1 of 2
2:19.0,,,52-43,,M. Morris enters the game for M. Morris
2:19.0,,,52-43,,G. Green misses free throw 2 of 2
2:18.0,Defensive rebound by M. Teletovic,,52-43,,
2:06.0,B. Lopez makes 2-pt shot from 1 ft (assist by D. Williams),2,54-43,,
1:51.0,,,54-45,2,G. Green makes 2-pt shot from 1 ft
1:38.0,Turnover by D. Williams (lost ball; steal by M. Morris),,54-45,,
1:33.0,,,54-47,2,M. Morris makes 2-pt shot from 1 ft
1:16.0,Shooting foul by P. Tucker (drawn by B. Lopez),,54-47,,
1:16.0,B. Lopez makes 2-pt shot from 3 ft,2,56-47,,
1:16.0,,,56-47,,E. Bledsoe enters the game for P. Tucker
1:16.0,,,56-47,,Technical foul by P. Tucker (drawn by B. Lopez)
1:16.0,B. Lopez makes technical free throw,1,57-47,,
1:16.0,B. Lopez makes free throw 1 of 1,1,58-47,,
1:01.0,,,58-47,,G. Green misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by B. Lopez,,58-47,,
0:46.0,B. Lopez makes 2-pt shot at rim,2,60-47,,
0:46.0,Shooting foul by M. Plumlee (drawn by B. Lopez),,60-47,,
0:46.0,B. Lopez makes free throw 1 of 1,1,61-47,,
0:30.0,,,61-47,,G. Dragic misses 3-pt shot from 25 ft
0:29.0,,,61-47,,Offensive rebound by M. Morris
0:07.0,,,61-49,2,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe)
0:07.0,Brooklyn full timeout,,61-49,,
0:07.0,,,61-49,,A. Len enters the game for M. Plumlee
0:01.0,J. Johnson makes 2-pt shot from 9 ft,2,63-49,,
0:00.0,,,63-49,,G. Green misses 3-pt shot from 30 ft
0:00.0,,,63-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-49,,M. Morris misses 3-pt shot from 24 ft
11:45.0,,,63-49,,Offensive rebound by Team
11:30.0,,,63-49,,M. Morris misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by K. Garnett,,63-49,,
11:13.0,B. Lopez misses 2-pt shot from 7 ft,,63-49,,
11:12.0,,,63-49,,Defensive rebound by M. Plumlee
10:59.0,,,63-51,2,M. Morris makes 2-pt shot from 10 ft
10:40.0,J. Johnson misses 2-pt shot from 18 ft,,63-51,,
10:39.0,,,63-51,,Defensive rebound by M. Plumlee
10:30.0,,,63-51,,Turnover by G. Dragic (bad pass)
10:12.0,D. Williams misses 3-pt shot from 25 ft,,63-51,,
10:11.0,,,63-51,,Defensive rebound by M. Plumlee
9:58.0,,,63-53,2,E. Bledsoe makes 2-pt shot from 1 ft
9:46.0,,,63-53,,Personal foul by M. Morris (drawn by K. Garnett)
9:38.0,B. Lopez misses 2-pt shot from 6 ft,,63-53,,
9:38.0,,,63-53,,Defensive rebound by M. Morris
9:33.0,,,63-53,,Turnover by E. Bledsoe (bad pass)
9:22.0,Turnover by D. Williams (bad pass; steal by M. Plumlee),,63-53,,
9:18.0,,,63-53,,Shooting foul by B. Bogdanovic (drawn by E. Bledsoe)
9:18.0,,,63-54,1,E. Bledsoe makes free throw 1 of 2
9:18.0,,,63-55,1,E. Bledsoe makes free throw 2 of 2
9:04.0,B. Lopez misses 2-pt shot from 2 ft (block by M. Plumlee),,63-55,,
9:02.0,,,63-55,,Defensive rebound by E. Bledsoe
8:54.0,,,63-58,3,G. Dragic makes 3-pt shot from 24 ft (assist by M. Morris)
8:53.0,Brooklyn full timeout,,63-58,,
8:39.0,Shooting foul by E. Bledsoe (drawn by D. Williams),,63-58,,
8:39.0,D. Williams makes free throw 1 of 2,1,64-58,,
8:39.0,D. Williams makes free throw 2 of 2,1,65-58,,
8:25.0,,,65-58,,Turnover by E. Bledsoe (bad pass)
8:00.0,B. Bogdanovic misses 3-pt shot from 29 ft,,65-58,,
7:59.0,,,65-58,,Defensive rebound by M. Morris
7:46.0,,,65-60,2,G. Dragic makes 2-pt shot from 8 ft
7:42.0,Turnover by D. Williams (lost ball; steal by M. Morris),,65-60,,
7:37.0,,,65-60,,M. Morris misses 2-pt shot from 10 ft
7:36.0,Defensive rebound by D. Williams,,65-60,,
7:30.0,B. Lopez misses 2-pt shot from 5 ft,,65-60,,
7:29.0,,,65-60,,Defensive rebound by E. Bledsoe
7:24.0,,,65-62,2,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe)
7:01.0,K. Garnett makes 2-pt shot from 17 ft (assist by J. Johnson),2,67-62,,
6:39.0,,,67-64,2,M. Plumlee makes 2-pt shot from 1 ft
6:27.0,Offensive foul by K. Garnett,,67-64,,
6:27.0,Turnover by K. Garnett (offensive foul),,67-64,,
6:27.0,J. Jack enters the game for B. Bogdanovic,,67-64,,
6:27.0,M. Teletovic enters the game for K. Garnett,,67-64,,
6:10.0,,,67-64,,M. Morris misses 2-pt shot from 16 ft
6:08.0,Defensive rebound by J. Johnson,,67-64,,
5:55.0,,,67-64,,Personal foul by M. Morris (drawn by D. Williams)
5:55.0,,,67-64,,Violation by Team (delay of game)
5:44.0,J. Johnson misses 2-pt shot from 21 ft,,67-64,,
5:43.0,,,67-64,,Defensive rebound by M. Plumlee
5:33.0,,,67-64,,Turnover by E. Bledsoe (bad pass)
5:33.0,,,67-64,,P. Tucker enters the game for M. Morris
5:33.0,M. Plumlee enters the game for B. Lopez,,67-64,,
5:16.0,D. Williams misses 3-pt shot from 24 ft,,67-64,,
5:15.0,,,67-64,,Defensive rebound by M. Plumlee
5:04.0,,,67-64,,M. Morris misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by M. Plumlee,,67-64,,
4:52.0,J. Johnson misses 2-pt shot from 19 ft,,67-64,,
4:50.0,,,67-64,,Defensive rebound by E. Bledsoe
4:45.0,,,67-67,3,E. Bledsoe makes 3-pt shot from 24 ft
4:22.0,J. Johnson makes 2-pt shot from 3 ft,2,69-67,,
4:07.0,,,69-69,2,M. Morris makes 2-pt shot from 9 ft
3:43.0,Shooting foul by P. Tucker (drawn by J. Johnson),,69-69,,
3:43.0,J. Johnson makes free throw 1 of 3,1,70-69,,
3:43.0,J. Johnson makes free throw 2 of 3,1,71-69,,
3:43.0,,,71-69,,I. Thomas enters the game for G. Dragic
3:43.0,,,71-69,,A. Len enters the game for M. Plumlee
3:43.0,J. Johnson makes free throw 3 of 3,1,72-69,,
3:21.0,,,72-69,,M. Morris misses 2-pt shot from 2 ft
3:20.0,,,72-69,,Offensive rebound by Team
3:18.0,,,72-71,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker)
2:54.0,Turnover by M. Plumlee (lost ball),,72-71,,
2:54.0,,,72-71,,Phoenix full timeout
2:54.0,A. Anderson enters the game for J. Johnson,,72-71,,
2:39.0,,,72-71,,Turnover by M. Morris (bad pass)
2:29.0,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Williams),3,75-71,,
2:14.0,Personal block foul by M. Teletovic (drawn by E. Bledsoe),,75-71,,
2:12.0,,,75-71,,Turnover by E. Bledsoe (lost ball)
2:00.0,Shooting foul by P. Tucker (drawn by M. Plumlee),,75-71,,
2:00.0,M. Plumlee misses free throw 1 of 2,,75-71,,
2:00.0,Offensive rebound by Team,,75-71,,
2:00.0,,,75-71,,G. Green enters the game for E. Bledsoe
2:00.0,,,75-71,,M. Morris enters the game for M. Morris
2:00.0,M. Plumlee misses free throw 2 of 2,,75-71,,
1:59.0,,,75-71,,Defensive rebound by A. Len
1:48.0,,,75-73,2,I. Thomas makes 2-pt shot from 1 ft
1:34.0,Shooting foul by M. Morris (drawn by A. Anderson),,75-73,,
1:34.0,A. Anderson makes free throw 1 of 2,1,76-73,,
1:34.0,A. Anderson makes free throw 2 of 2,1,77-73,,
1:22.0,,,77-75,2,I. Thomas makes 2-pt shot from 4 ft
1:22.0,,,77-75,,Shooting foul by J. Jack (drawn by I. Thomas)
1:22.0,,,77-76,1,I. Thomas makes free throw 1 of 1
1:11.0,,,77-76,,Personal foul by M. Morris (drawn by A. Anderson)
1:11.0,A. Anderson misses free throw 1 of 2,,77-76,,
1:11.0,Offensive rebound by Team,,77-76,,
1:11.0,A. Anderson misses free throw 2 of 2,,77-76,,
1:10.0,,,77-76,,Defensive rebound by Team
0:52.0,,,77-78,2,A. Len makes 2-pt shot from 14 ft (assist by I. Thomas)
0:38.0,,,77-78,,Personal foul by I. Thomas (drawn by J. Jack)
0:38.0,J. Jack makes free throw 1 of 2,1,78-78,,
0:38.0,B. Bogdanovic enters the game for D. Williams,,78-78,,
0:38.0,J. Jack makes free throw 2 of 2,1,79-78,,
0:31.0,,,79-78,,Turnover by I. Thomas (lost ball; steal by M. Teletovic)
0:27.0,J. Jack makes 2-pt shot from 18 ft,2,81-78,,
0:05.0,,,81-78,,Turnover by I. Thomas (bad pass; steal by J. Jack)
0:00.0,B. Bogdanovic makes 3-pt shot from 26 ft,3,84-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Jack misses 2-pt shot from 14 ft,,84-78,,
11:43.0,,,84-78,,Defensive rebound by A. Len
11:26.0,Personal foul by A. Anderson (drawn by G. Green),,84-78,,
11:18.0,,,84-78,,M. Morris misses 2-pt shot at rim (block by M. Plumlee)
11:16.0,Defensive rebound by J. Jack,,84-78,,
11:14.0,Shooting foul by G. Green (drawn by M. Plumlee),,84-78,,
11:14.0,M. Plumlee makes free throw 1 of 2,1,85-78,,
11:14.0,M. Plumlee misses free throw 2 of 2,,85-78,,
11:14.0,,,85-78,,Defensive rebound by Team
10:56.0,,,85-78,,I. Thomas misses 2-pt shot from 4 ft
10:55.0,,,85-78,,Offensive rebound by A. Len
10:55.0,,,85-78,,A. Len misses 2-pt shot at rim
10:54.0,Defensive rebound by M. Plumlee,,85-78,,
10:44.0,B. Bogdanovic misses 2-pt shot from 7 ft,,85-78,,
10:43.0,,,85-78,,Defensive rebound by P. Tucker
10:31.0,,,85-80,2,A. Len makes 2-pt shot at rim (assist by G. Green)
10:08.0,B. Bogdanovic misses 3-pt shot from 25 ft,,85-80,,
10:07.0,,,85-80,,Defensive rebound by P. Tucker
9:52.0,,,85-80,,Turnover by G. Green (bad pass; steal by M. Plumlee)
9:41.0,M. Plumlee misses 2-pt shot from 2 ft (block by M. Morris),,85-80,,
9:39.0,Offensive rebound by M. Teletovic,,85-80,,
9:39.0,M. Teletovic misses 2-pt shot from 5 ft,,85-80,,
9:39.0,Offensive rebound by M. Plumlee,,85-80,,
9:36.0,M. Plumlee misses 2-pt shot at rim,,85-80,,
9:36.0,,,85-80,,Defensive rebound by G. Green
9:31.0,,,85-80,,Shooting foul by A. Anderson (drawn by G. Green)
9:31.0,,,85-82,2,G. Green makes 2-pt shot from 1 ft
9:31.0,,,85-82,,M. Plumlee enters the game for A. Len
9:31.0,,,85-82,,G. Dragic enters the game for P. Tucker
9:31.0,K. Garnett enters the game for M. Plumlee,,85-82,,
9:31.0,J. Johnson enters the game for A. Anderson,,85-82,,
9:31.0,,,85-83,1,G. Green makes free throw 1 of 1
9:20.0,Turnover by J. Jack (bad pass; steal by M. Morris),,85-83,,
9:14.0,,,85-83,,G. Dragic misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by K. Garnett,,85-83,,
8:58.0,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Johnson),3,88-83,,
8:33.0,,,88-83,,M. Morris misses 2-pt shot from 21 ft
8:30.0,Defensive rebound by K. Garnett,,88-83,,
8:12.0,K. Garnett makes 2-pt shot from 18 ft (assist by M. Teletovic),2,90-83,,
8:11.0,,,90-83,,Phoenix full timeout
8:11.0,,,90-83,,M. Morris enters the game for M. Morris
7:57.0,,,90-86,3,G. Green makes 3-pt shot from 25 ft (assist by M. Morris)
7:41.0,Shooting foul by G. Green (drawn by K. Garnett),,90-86,,
7:41.0,K. Garnett makes free throw 1 of 2,1,91-86,,
7:41.0,K. Garnett makes free throw 2 of 2,1,92-86,,
7:33.0,Personal foul by M. Teletovic (drawn by M. Morris),,92-86,,
7:27.0,,,92-88,2,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Green)
7:16.0,,,92-88,,Personal foul by I. Thomas (drawn by J. Jack)
7:11.0,J. Johnson misses 2-pt shot from 12 ft,,92-88,,
7:10.0,,,92-88,,Defensive rebound by M. Plumlee
6:57.0,,,92-91,3,M. Morris makes 3-pt shot from 22 ft (assist by M. Plumlee)
6:36.0,Turnover by M. Teletovic (bad pass; steal by M. Morris),,92-91,,
6:31.0,,,92-91,,G. Green misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by J. Jack,,92-91,,
6:28.0,Brooklyn full timeout,,92-91,,
6:28.0,B. Lopez enters the game for B. Bogdanovic,,92-91,,
6:28.0,D. Williams enters the game for M. Teletovic,,92-91,,
6:13.0,J. Johnson misses 2-pt shot from 20 ft,,92-91,,
6:12.0,,,92-91,,Defensive rebound by M. Plumlee
5:59.0,,,92-93,2,G. Green makes 2-pt shot from 18 ft (assist by I. Thomas)
5:37.0,J. Johnson misses 2-pt shot from 6 ft,,92-93,,
5:36.0,,,92-93,,Defensive rebound by G. Dragic
5:21.0,,,92-93,,Turnover by G. Dragic (bad pass)
5:07.0,B. Lopez misses 2-pt shot from 5 ft,,92-93,,
5:06.0,Offensive rebound by K. Garnett,,92-93,,
5:04.0,D. Williams makes 2-pt shot from 14 ft (assist by K. Garnett),2,94-93,,
4:48.0,,,94-95,2,I. Thomas makes 2-pt shot from 3 ft
4:35.0,B. Lopez misses 2-pt shot from 4 ft,,94-95,,
4:34.0,,,94-95,,Defensive rebound by G. Green
4:29.0,,,94-97,2,I. Thomas makes 2-pt shot from 2 ft
4:28.0,Brooklyn full timeout,,94-97,,
4:16.0,J. Jack misses 3-pt shot from 24 ft,,94-97,,
4:14.0,,,94-97,,Defensive rebound by I. Thomas
4:08.0,,,94-97,,Shooting foul by B. Lopez (drawn by I. Thomas)
4:08.0,,,94-98,1,I. Thomas makes free throw 1 of 2
4:08.0,M. Teletovic enters the game for J. Jack,,94-98,,
4:08.0,B. Bogdanovic enters the game for B. Lopez,,94-98,,
4:08.0,,,94-99,1,I. Thomas makes free throw 2 of 2
3:49.0,Shooting foul by M. Plumlee (drawn by J. Johnson),,94-99,,
3:49.0,J. Johnson makes free throw 1 of 2,1,95-99,,
3:49.0,J. Johnson misses free throw 2 of 2,,95-99,,
3:49.0,,,95-99,,Defensive rebound by G. Green
3:27.0,,,95-99,,Turnover by G. Green (lost ball; steal by B. Bogdanovic)
3:27.0,,,95-99,,Personal foul by G. Green (drawn by B. Bogdanovic)
3:27.0,B. Bogdanovic makes free throw 1 of 2,1,96-99,,
3:27.0,B. Bogdanovic makes free throw 2 of 2,1,97-99,,
3:22.0,Personal foul by K. Garnett (drawn by I. Thomas),,97-99,,
