time,New Orleans,pts.away,score,pts.home,LA Clippers
2:34.0,Loose ball foul by Q. Pondexter (drawn by D. Jordan),,43-48,,
2:34.0,,,43-48,,LA Clippers full timeout
2:34.0,,,43-48,,D. Jordan misses free throw 1 of 2
2:34.0,,,43-48,,Offensive rebound by Team
2:34.0,,,43-48,,D. Jordan misses free throw 2 of 2
2:33.0,,,43-48,,Offensive rebound by B. Griffin
2:26.0,,,43-50,2,C. Paul makes 2-pt shot from 16 ft
2:03.0,E. Gordon makes 3-pt shot from 27 ft (assist by A. Davis),3,46-50,,
1:45.0,,,46-50,,J. Redick misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by A. Ajinca,,46-50,,
1:26.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,49-50,,
1:07.0,,,49-50,,B. Griffin misses 2-pt shot from 17 ft
1:06.0,,,49-50,,Offensive rebound by D. Jordan
1:03.0,,,49-50,,Turnover by D. Jordan (bad pass)
1:03.0,,,49-50,,A. Rivers enters the game for J. Redick
0:52.0,Q. Pondexter misses 3-pt shot from 22 ft,,49-50,,
0:51.0,Offensive rebound by A. Ajinca,,49-50,,
0:51.0,A. Ajinca makes 2-pt shot at rim,2,51-50,,
0:38.0,,,51-50,,C. Paul misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by A. Ajinca,,51-50,,
0:25.0,E. Gordon misses 2-pt shot from 3 ft,,51-50,,
0:23.0,Offensive rebound by A. Ajinca,,51-50,,
0:21.0,A. Ajinca misses 2-pt shot at rim,,51-50,,
0:18.0,Offensive rebound by A. Ajinca,,51-50,,
0:18.0,A. Ajinca misses 2-pt shot from 3 ft (block by M. Barnes),,51-50,,
0:18.0,,,51-50,,Defensive rebound by D. Jordan
0:18.0,,,51-50,,Turnover by D. Jordan (bad pass)
0:18.0,J. Fredette enters the game for A. Ajinca,,51-50,,
0:18.0,,,51-50,,D. Jones enters the game for D. Jordan
0:05.0,D. Cunningham misses 2-pt shot from 4 ft (block by A. Rivers),,51-50,,
0:03.0,Offensive rebound by A. Davis,,51-50,,
0:03.0,A. Davis makes 2-pt shot from 1 ft,2,53-50,,
0:03.0,,,53-50,,Away from play foul by A. Rivers (drawn by D. Cunningham)
0:03.0,,,53-50,,D. Jordan enters the game for D. Jones
0:03.0,E. Williams enters the game for Q. Pondexter,,53-50,,
0:03.0,D. Cunningham misses free throw 1 of 1,,53-50,,
0:03.0,,,53-50,,Defensive rebound by D. Jordan
0:00.0,,,53-50,,M. Barnes misses 3-pt shot from 38 ft
0:00.0,,,53-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Ajinca misses 2-pt shot from 7 ft (block by D. Jordan),,53-50,,
11:43.0,,,53-50,,Defensive rebound by C. Paul
11:26.0,,,53-52,2,B. Griffin makes 2-pt shot at rim
11:06.0,A. Davis makes 2-pt shot from 15 ft,2,55-52,,
10:46.0,,,55-52,,B. Griffin misses 2-pt shot at rim (block by A. Davis)
10:42.0,,,55-52,,Offensive rebound by B. Griffin
10:39.0,,,55-52,,B. Griffin misses 2-pt shot from 15 ft
10:37.0,Defensive rebound by A. Davis,,55-52,,
10:23.0,A. Davis makes 2-pt shot from 16 ft (assist by N. Cole),2,57-52,,
10:07.0,,,57-52,,J. Redick misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by Q. Pondexter,,57-52,,
9:57.0,E. Gordon makes 2-pt shot from 1 ft,2,59-52,,
9:40.0,,,59-52,,J. Redick misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by Q. Pondexter,,59-52,,
9:28.0,Offensive foul by N. Cole,,59-52,,
9:28.0,Turnover by N. Cole (offensive foul),,59-52,,
9:21.0,,,59-54,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:21.0,,,59-54,,Shooting foul by A. Ajinca (drawn by D. Jordan)
9:21.0,D. Cunningham enters the game for N. Cole,,59-54,,
9:21.0,,,59-54,,D. Jordan misses free throw 1 of 1
9:19.0,,,59-54,,Offensive rebound by M. Barnes
9:15.0,,,59-57,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
8:55.0,D. Cunningham misses 2-pt shot from 17 ft,,59-57,,
8:53.0,,,59-57,,Defensive rebound by C. Paul
8:45.0,,,59-60,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul)
8:29.0,Q. Pondexter misses 3-pt shot from 23 ft,,59-60,,
8:27.0,Offensive rebound by A. Ajinca,,59-60,,
8:18.0,Turnover by A. Ajinca (lost ball),,59-60,,
8:09.0,,,59-60,,Turnover by C. Paul (bad pass; steal by D. Cunningham)
8:07.0,,,59-60,,Personal take foul by M. Barnes (drawn by Q. Pondexter)
8:03.0,,,59-60,,Personal foul by B. Griffin (drawn by A. Davis)
7:52.0,A. Ajinca makes 2-pt shot at rim (assist by D. Cunningham),2,61-60,,
7:38.0,Personal foul by A. Davis (drawn by B. Griffin),,61-60,,
7:31.0,,,61-62,2,C. Paul makes 2-pt shot from 14 ft
7:17.0,,,61-62,,Personal foul by M. Barnes (drawn by E. Gordon)
7:17.0,New Orleans full timeout,,61-62,,
7:12.0,Turnover by A. Ajinca (lost ball; steal by B. Griffin),,61-62,,
7:04.0,,,61-62,,C. Paul misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by A. Ajinca,,61-62,,
6:44.0,A. Ajinca makes 2-pt shot from 5 ft (assist by A. Davis),2,63-62,,
6:27.0,,,63-62,,J. Redick misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by D. Cunningham,,63-62,,
6:14.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by A. Davis),3,66-62,,
5:56.0,,,66-64,2,C. Paul makes 2-pt shot from 15 ft (assist by J. Redick)
5:41.0,A. Ajinca makes 2-pt shot at rim (assist by E. Gordon),2,68-64,,
5:29.0,,,68-66,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
5:13.0,D. Cunningham misses 2-pt shot from 20 ft,,68-66,,
5:11.0,,,68-66,,Defensive rebound by C. Paul
4:52.0,,,68-66,,C. Paul misses 3-pt shot from 22 ft
4:51.0,,,68-66,,Offensive rebound by D. Jordan
4:49.0,,,68-68,2,C. Paul makes 2-pt shot from 1 ft (assist by M. Barnes)
4:49.0,,,68-68,,Shooting foul by A. Davis (drawn by C. Paul)
4:49.0,,,68-69,1,C. Paul makes free throw 1 of 1
4:30.0,A. Ajinca misses 2-pt shot from 7 ft,,68-69,,
4:28.0,Offensive rebound by A. Davis,,68-69,,
4:25.0,A. Davis misses 2-pt shot from 2 ft,,68-69,,
4:24.0,Offensive rebound by A. Ajinca,,68-69,,
4:21.0,Turnover by A. Ajinca (lost ball; steal by C. Paul),,68-69,,
4:18.0,,,68-69,,Turnover by D. Jordan (lost ball; steal by A. Ajinca)
4:12.0,Q. Pondexter misses 3-pt shot from 24 ft,,68-69,,
4:11.0,,,68-69,,Defensive rebound by D. Jordan
3:56.0,,,68-69,,B. Griffin misses 2-pt shot from 18 ft
3:55.0,,,68-69,,Offensive rebound by Team
3:55.0,J. Withey enters the game for A. Ajinca,,68-69,,
3:46.0,,,68-71,2,C. Paul makes 2-pt shot from 15 ft (assist by D. Jordan)
3:35.0,Shooting foul by D. Jordan (drawn by E. Gordon),,68-71,,
3:35.0,E. Gordon makes free throw 1 of 2,1,69-71,,
3:35.0,L. Babbitt enters the game for D. Cunningham,,69-71,,
3:35.0,E. Gordon makes free throw 2 of 2,1,70-71,,
3:27.0,,,70-73,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
3:16.0,,,70-73,,Personal foul by D. Jordan (drawn by J. Withey)
3:16.0,J. Withey misses free throw 1 of 2,,70-73,,
3:16.0,Offensive rebound by Team,,70-73,,
3:16.0,,,70-73,,A. Rivers enters the game for J. Redick
3:16.0,J. Withey makes free throw 2 of 2,1,71-73,,
3:03.0,Personal foul by Q. Pondexter (drawn by C. Paul),,71-73,,
2:57.0,,,71-73,,C. Paul misses 2-pt shot from 2 ft
2:57.0,,,71-73,,Offensive rebound by B. Griffin
2:57.0,,,71-73,,Shooting foul by A. Davis (drawn by B. Griffin)
2:57.0,,,71-73,,LA Clippers full timeout
2:57.0,D. Cunningham enters the game for A. Davis,,71-73,,
2:57.0,,,71-74,1,B. Griffin makes free throw 1 of 2
2:57.0,,,71-75,1,B. Griffin makes free throw 2 of 2
2:43.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Withey),3,74-75,,
2:28.0,,,74-75,,A. Rivers misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by J. Withey,,74-75,,
2:10.0,D. Cunningham misses 2-pt shot from 15 ft,,74-75,,
2:08.0,,,74-75,,Defensive rebound by C. Paul
1:59.0,,,74-75,,C. Paul misses 2-pt shot from 12 ft
1:57.0,Defensive rebound by E. Gordon,,74-75,,
1:39.0,Turnover by J. Withey (lost ball; steal by D. Jordan),,74-75,,
1:18.0,,,74-75,,B. Griffin misses 2-pt shot from 6 ft
1:15.0,,,74-75,,Offensive rebound by D. Jordan
1:15.0,,,74-77,2,D. Jordan makes 2-pt shot from 1 ft
0:59.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by E. Gordon),3,77-77,,
0:35.0,,,77-77,,B. Griffin misses 2-pt shot from 5 ft
0:32.0,,,77-77,,Offensive rebound by M. Barnes
0:29.0,,,77-79,2,M. Barnes makes 2-pt shot from 1 ft
0:04.0,Turnover by L. Babbitt (bad pass; steal by C. Paul),,77-79,,
0:01.0,,,77-81,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
0:00.0,D. Cunningham misses 3-pt shot from 43 ft,,77-81,,
0:00.0,Offensive rebound by Team,,77-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,77-81,,G. Davis misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by J. Fredette,,77-81,,
11:19.0,L. Babbitt misses 2-pt shot from 1 ft,,77-81,,
11:18.0,Offensive rebound by D. Cunningham,,77-81,,
11:05.0,L. Babbitt misses 3-pt shot from 25 ft,,77-81,,
11:04.0,,,77-81,,Defensive rebound by G. Davis
10:50.0,,,77-81,,A. Rivers misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by J. Withey,,77-81,,
10:25.0,Q. Pondexter misses 3-pt shot from 31 ft,,77-81,,
10:23.0,,,77-81,,Defensive rebound by Team
10:23.0,,,77-81,,N. Robinson enters the game for C. Paul
10:04.0,,,77-81,,Turnover by H. Turkoglu (lost ball; steal by D. Cunningham)
9:40.0,J. Fredette misses 2-pt shot from 1 ft,,77-81,,
9:38.0,,,77-81,,Defensive rebound by G. Davis
9:36.0,,,77-81,,Turnover by G. Davis (bad pass; steal by J. Fredette)
9:32.0,J. Fredette misses 2-pt shot at rim,,77-81,,
9:31.0,,,77-81,,Defensive rebound by G. Davis
9:15.0,Violation by D. Cunningham (kicked ball),,77-81,,
9:15.0,A. Davis enters the game for Q. Pondexter,,77-81,,
9:15.0,N. Cole enters the game for J. Withey,,77-81,,
9:11.0,,,77-81,,A. Rivers misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by D. Cunningham,,77-81,,
9:05.0,Turnover by D. Cunningham (lost ball; steal by N. Robinson),,77-81,,
9:03.0,Violation by D. Cunningham (def goaltending),,77-81,,
9:03.0,,,77-83,2,N. Robinson makes 2-pt shot at rim
8:43.0,D. Cunningham misses 2-pt shot from 1 ft,,77-83,,
8:42.0,,,77-83,,Defensive rebound by N. Robinson
8:33.0,,,77-85,2,N. Robinson makes 2-pt shot from 12 ft
8:33.0,,,77-85,,Violation by Team (delay of game)
8:27.0,,,77-85,,Shooting block foul by A. Rivers (drawn by N. Cole)
8:27.0,Official timeout,,77-85,,
8:27.0,E. Gordon enters the game for J. Fredette,,77-85,,
8:27.0,N. Cole makes free throw 1 of 2,1,78-85,,
8:27.0,N. Cole makes free throw 2 of 2,1,79-85,,
8:03.0,,,79-85,,H. Turkoglu misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by A. Davis,,79-85,,
7:42.0,L. Babbitt makes 2-pt shot from 15 ft (assist by D. Cunningham),2,81-85,,
7:29.0,,,81-85,,Turnover by H. Turkoglu (bad pass; steal by A. Davis)
7:23.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,83-85,,
7:13.0,,,83-85,,LA Clippers full timeout
7:13.0,,,83-85,,C. Paul enters the game for A. Rivers
7:13.0,,,83-85,,J. Redick enters the game for H. Turkoglu
7:13.0,,,83-85,,D. Jordan enters the game for N. Robinson
7:13.0,,,83-85,,B. Griffin enters the game for S. Hawes
7:13.0,,,83-85,,M. Barnes enters the game for G. Davis
7:01.0,,,83-85,,M. Barnes misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by L. Babbitt,,83-85,,
6:44.0,Turnover by A. Davis (offensive goaltending),,83-85,,
6:41.0,Technical foul by Team,,83-85,,
6:41.0,,,83-86,1,J. Redick makes technical free throw
6:32.0,,,83-88,2,J. Redick makes 2-pt shot from 14 ft (assist by B. Griffin)
6:15.0,Shooting foul by D. Jordan (drawn by A. Davis),,83-88,,
6:15.0,A. Davis misses free throw 1 of 2,,83-88,,
6:15.0,Offensive rebound by Team,,83-88,,
6:15.0,A. Davis makes free throw 2 of 2,1,84-88,,
6:00.0,,,84-88,,B. Griffin misses 2-pt shot from 1 ft (block by D. Cunningham)
6:00.0,,,84-88,,Offensive rebound by Team
5:53.0,,,84-90,2,B. Griffin makes 2-pt shot from 1 ft
5:30.0,N. Cole makes 3-pt shot from 25 ft,3,87-90,,
5:07.0,,,87-92,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
4:49.0,Turnover by A. Davis (lost ball),,87-92,,
4:49.0,Q. Pondexter enters the game for L. Babbitt,,87-92,,
4:43.0,,,87-92,,D. Jordan misses 2-pt shot at rim
4:43.0,,,87-92,,Offensive rebound by D. Jordan
4:43.0,,,87-94,2,D. Jordan makes 2-pt shot at rim
4:43.0,,,87-94,,Shooting foul by D. Cunningham (drawn by D. Jordan)
4:43.0,Violation by A. Davis (lane),,87-94,,
4:43.0,,,87-94,,D. Jordan misses free throw 1 of 1
4:41.0,Defensive rebound by A. Davis,,87-94,,
4:30.0,Shooting foul by M. Barnes (drawn by E. Gordon),,87-94,,
4:30.0,E. Gordon makes free throw 1 of 2,1,88-94,,
4:30.0,E. Gordon makes free throw 2 of 2,1,89-94,,
4:11.0,,,89-94,,J. Redick misses 2-pt shot from 19 ft
4:10.0,Defensive rebound by N. Cole,,89-94,,
4:05.0,N. Cole misses 2-pt shot from 2 ft (block by D. Jordan),,89-94,,
4:03.0,Offensive rebound by A. Davis,,89-94,,
4:00.0,A. Davis makes 2-pt shot at rim,2,91-94,,
3:47.0,,,91-97,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
3:30.0,D. Cunningham misses 2-pt shot from 21 ft,,91-97,,
3:28.0,,,91-97,,Defensive rebound by M. Barnes
3:12.0,,,91-99,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
3:12.0,New Orleans full timeout,,91-99,,
2:58.0,D. Cunningham misses 2-pt shot from 19 ft,,91-99,,
2:57.0,,,91-99,,Defensive rebound by D. Jordan
2:47.0,,,91-101,2,B. Griffin makes 2-pt shot from 4 ft
2:40.0,,,91-101,,Personal foul by B. Griffin (drawn by A. Davis)
2:40.0,A. Ajinca enters the game for D. Cunningham,,91-101,,
2:27.0,N. Cole misses 2-pt shot from 21 ft,,91-101,,
2:25.0,,,91-101,,Defensive rebound by B. Griffin
2:09.0,,,91-101,,J. Redick misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by Q. Pondexter,,91-101,,
1:49.0,Shooting foul by D. Jordan (drawn by A. Davis),,91-101,,
1:49.0,A. Davis makes free throw 1 of 2,1,92-101,,
1:49.0,A. Davis makes free throw 2 of 2,1,93-101,,
1:35.0,Personal foul by N. Cole (drawn by C. Paul),,93-101,,
1:33.0,,,93-101,,Shooting foul by A. Ajinca (drawn by D. Jordan)
1:33.0,New Orleans full timeout,,93-101,,
1:33.0,,,93-101,,D. Jordan misses free throw 1 of 2
1:33.0,,,93-101,,Offensive rebound by Team
1:33.0,,,93-102,1,D. Jordan makes free throw 2 of 2
1:23.0,E. Gordon makes 3-pt shot from 25 ft (assist by N. Cole),3,96-102,,
1:00.0,,,96-102,,C. Paul misses 3-pt shot from 25 ft
