time,Milwaukee,pts.away,score,pts.home,San Antonio
1:26.0,,,24-18,1,T. Splitter makes free throw 1 of 2
1:26.0,,,24-19,1,T. Splitter makes free throw 2 of 2
1:13.0,O. Mayo misses 2-pt shot from 6 ft,,24-19,,
1:12.0,,,24-19,,Defensive rebound by B. Diaw
1:03.0,,,24-19,,Turnover by M. Ginobili (bad pass; steal by O. Mayo)
0:56.0,Turnover by B. Knight (lost ball; steal by T. Splitter),,24-19,,
0:51.0,,,24-21,2,P. Mills makes 2-pt shot from 9 ft (assist by K. Leonard)
0:38.0,O. Mayo misses 3-pt shot from 25 ft,,24-21,,
0:37.0,,,24-21,,Defensive rebound by K. Leonard
0:30.0,,,24-21,,K. Leonard misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by B. Knight,,24-21,,
0:10.0,Turnover by J. Dudley (lost ball),,24-21,,
0:01.0,,,24-21,,P. Mills misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Henson,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Bayless (bad pass),,24-21,,
11:36.0,,,24-21,,D. Green misses 3-pt shot from 24 ft
11:35.0,,,24-21,,Offensive rebound by P. Mills
11:29.0,,,24-21,,M. Ginobili misses 2-pt shot from 1 ft (block by J. Henson)
11:28.0,,,24-21,,Offensive rebound by Team
11:25.0,,,24-23,2,B. Diaw makes 2-pt shot from 2 ft (assist by T. Splitter)
11:09.0,O. Mayo makes 2-pt shot from 13 ft (assist by J. Bayless),2,26-23,,
10:54.0,,,26-25,2,B. Diaw makes 2-pt shot from 6 ft
10:40.0,J. Henson makes 2-pt shot from 3 ft (assist by O. Mayo),2,28-25,,
10:31.0,,,28-27,2,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili)
10:20.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Henson),3,31-27,,
10:04.0,,,31-27,,M. Ginobili misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by J. Henson,,31-27,,
9:43.0,J. Henson makes 2-pt shot from 7 ft (assist by O. Mayo),2,33-27,,
9:42.0,,,33-27,,San Antonio full timeout
9:42.0,,,33-27,,T. Parker enters the game for P. Mills
9:20.0,,,33-27,,T. Parker misses 2-pt shot from 16 ft
9:17.0,Defensive rebound by J. Henson,,33-27,,
8:57.0,J. Henson misses 2-pt shot from 2 ft,,33-27,,
8:55.0,Offensive rebound by G. Antetokounmpo,,33-27,,
8:55.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,35-27,,
8:40.0,,,35-29,2,M. Ginobili makes 2-pt shot from 5 ft (assist by T. Splitter)
8:28.0,Turnover by J. Dudley (offensive foul),,35-29,,
8:28.0,Offensive foul by J. Dudley,,35-29,,
8:28.0,,,35-29,,K. Leonard enters the game for M. Ginobili
8:28.0,,,35-29,,T. Duncan enters the game for T. Splitter
8:28.0,K. Middleton enters the game for G. Antetokounmpo,,35-29,,
8:08.0,,,35-29,,D. Green misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by J. Henson,,35-29,,
8:06.0,Turnover by J. Henson (lost ball; steal by D. Green),,35-29,,
8:04.0,,,35-29,,D. Green misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by K. Middleton,,35-29,,
7:59.0,Shooting foul by T. Parker (drawn by J. Bayless),,35-29,,
7:59.0,J. Bayless makes free throw 1 of 2,1,36-29,,
7:59.0,J. Bayless makes free throw 2 of 2,1,37-29,,
7:40.0,,,37-31,2,B. Diaw makes 2-pt shot from 3 ft (assist by D. Green)
7:27.0,Turnover by J. Bayless (bad pass; steal by D. Green),,37-31,,
7:22.0,Violation by J. Henson (kicked ball),,37-31,,
7:22.0,E. Ilyasova enters the game for J. Dudley,,37-31,,
7:06.0,,,37-31,,Turnover by T. Duncan (lost ball; steal by E. Ilyasova)
7:02.0,O. Mayo makes 2-pt shot at rim (assist by K. Middleton),2,39-31,,
6:52.0,Z. Pachulia enters the game for J. Henson,,39-31,,
6:49.0,,,39-31,,D. Green misses 2-pt shot from 15 ft
6:48.0,Defensive rebound by K. Middleton,,39-31,,
6:38.0,O. Mayo misses 3-pt shot from 23 ft,,39-31,,
6:37.0,,,39-31,,Defensive rebound by T. Duncan
6:19.0,,,39-31,,Shooting foul by J. Bayless (drawn by T. Parker)
6:19.0,,,39-32,1,T. Parker makes free throw 1 of 2
6:19.0,,,39-32,,M. Ginobili enters the game for D. Green
6:19.0,,,39-32,,M. Bonner enters the game for B. Diaw
6:19.0,,,39-33,1,T. Parker makes free throw 2 of 2
6:07.0,K. Middleton makes 3-pt shot from 23 ft (assist by O. Mayo),3,42-33,,
5:51.0,,,42-33,,Turnover by T. Duncan (3 sec)
5:51.0,Official timeout,,42-33,,
5:29.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by J. Bayless),2,44-33,,
5:16.0,,,44-33,,M. Bonner misses 3-pt shot from 24 ft
5:15.0,,,44-33,,Offensive rebound by K. Leonard
5:12.0,,,44-35,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
5:12.0,,,44-35,,Shooting foul by Z. Pachulia (drawn by T. Duncan)
5:12.0,,,44-36,1,T. Duncan makes free throw 1 of 1
5:04.0,,,44-36,,Personal foul by K. Leonard (drawn by O. Mayo)
5:04.0,B. Knight enters the game for J. Bayless,,44-36,,
5:01.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by O. Mayo),3,47-36,,
4:47.0,,,47-36,,K. Leonard misses 2-pt shot from 18 ft
4:46.0,,,47-36,,Offensive rebound by T. Duncan
4:44.0,,,47-36,,T. Duncan misses 2-pt shot at rim
4:43.0,,,47-36,,Offensive rebound by T. Duncan
4:43.0,,,47-38,2,T. Duncan makes 2-pt shot at rim
4:23.0,Shooting foul by M. Ginobili (drawn by E. Ilyasova),,47-38,,
4:23.0,E. Ilyasova makes free throw 1 of 2,1,48-38,,
4:23.0,E. Ilyasova misses free throw 2 of 2,,48-38,,
4:22.0,,,48-38,,Defensive rebound by T. Parker
4:10.0,,,48-40,2,M. Bonner makes 2-pt shot from 21 ft (assist by T. Duncan)
3:55.0,Turnover by E. Ilyasova (bad pass; steal by T. Parker),,48-40,,
3:51.0,,,48-40,,Shooting foul by O. Mayo (drawn by K. Leonard)
3:51.0,,,48-40,,K. Leonard misses free throw 1 of 2
3:51.0,,,48-40,,Offensive rebound by Team
3:51.0,,,48-41,1,K. Leonard makes free throw 2 of 2
3:38.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by B. Knight),2,50-41,,
3:23.0,,,50-41,,T. Parker misses 2-pt shot from 9 ft
3:22.0,Defensive rebound by Z. Pachulia,,50-41,,
3:15.0,B. Knight misses 3-pt shot from 25 ft,,50-41,,
3:14.0,Offensive rebound by E. Ilyasova,,50-41,,
3:14.0,,,50-41,,Personal foul by M. Ginobili (drawn by E. Ilyasova)
3:14.0,,,50-41,,D. Green enters the game for M. Ginobili
3:14.0,,,50-41,,A. Baynes enters the game for M. Bonner
3:09.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,52-41,,
2:56.0,,,52-41,,A. Baynes misses 2-pt shot from 1 ft
2:55.0,,,52-41,,Offensive rebound by Team
2:55.0,Milwaukee full timeout,,52-41,,
2:41.0,,,52-43,2,A. Baynes makes 2-pt shot at rim (assist by T. Duncan)
2:24.0,E. Ilyasova misses 2-pt shot from 22 ft,,52-43,,
2:23.0,Offensive rebound by Z. Pachulia,,52-43,,
2:18.0,O. Mayo misses 2-pt shot from 16 ft,,52-43,,
2:17.0,,,52-43,,Defensive rebound by K. Leonard
1:58.0,,,52-43,,K. Leonard misses 3-pt shot from 24 ft
1:57.0,,,52-43,,Offensive rebound by T. Duncan
1:56.0,Personal foul by Z. Pachulia (drawn by T. Duncan),,52-43,,
1:56.0,G. Antetokounmpo enters the game for K. Middleton,,52-43,,
1:56.0,J. Bayless enters the game for O. Mayo,,52-43,,
1:35.0,,,52-45,2,T. Duncan makes 2-pt shot from 5 ft (assist by A. Baynes)
1:17.0,E. Ilyasova misses 2-pt shot from 19 ft,,52-45,,
1:16.0,,,52-45,,Defensive rebound by K. Leonard
1:09.0,Personal foul by E. Ilyasova (drawn by A. Baynes),,52-45,,
1:09.0,,,52-46,1,A. Baynes makes free throw 1 of 2
1:09.0,,,52-47,1,A. Baynes makes free throw 2 of 2
1:02.0,J. Bayless makes 2-pt shot at rim (assist by B. Knight),2,54-47,,
1:02.0,Shooting foul by T. Duncan (drawn by J. Bayless),,54-47,,
1:02.0,J. Bayless makes free throw 1 of 1,1,55-47,,
0:49.0,,,55-47,,Turnover by D. Green (bad pass; steal by J. Bayless)
0:46.0,Turnover by G. Antetokounmpo (bad pass),,55-47,,
0:46.0,,,55-47,,M. Ginobili enters the game for D. Green
0:46.0,,,55-47,,M. Bonner enters the game for A. Baynes
0:35.0,,,55-47,,Turnover by M. Ginobili (bad pass; steal by J. Bayless)
0:28.0,B. Knight misses 2-pt shot from 2 ft,,55-47,,
0:27.0,,,55-47,,Defensive rebound by K. Leonard
0:05.0,,,55-47,,M. Ginobili misses 2-pt shot from 13 ft
0:04.0,Defensive rebound by B. Knight,,55-47,,
0:01.0,B. Knight misses 2-pt shot from 14 ft,,55-47,,
0:00.0,,,55-47,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Z. Pachulia misses 2-pt shot from 16 ft,,55-47,,
11:47.0,,,55-47,,Defensive rebound by K. Leonard
11:34.0,,,55-47,,M. Bonner misses 2-pt shot from 14 ft
11:33.0,Defensive rebound by K. Middleton,,55-47,,
11:23.0,,,55-47,,Personal foul by K. Leonard (drawn by K. Middleton)
11:18.0,K. Middleton misses 3-pt shot from 25 ft,,55-47,,
11:17.0,Offensive rebound by Z. Pachulia,,55-47,,
11:08.0,Shooting foul by T. Parker (drawn by Z. Pachulia),,55-47,,
11:08.0,Z. Pachulia makes free throw 1 of 2,1,56-47,,
11:08.0,,,56-47,,C. Joseph enters the game for D. Green
11:08.0,Z. Pachulia makes free throw 2 of 2,1,57-47,,
10:50.0,,,57-47,,T. Parker misses 2-pt shot from 6 ft
10:49.0,Defensive rebound by E. Ilyasova,,57-47,,
10:44.0,Turnover by B. Knight (lost ball),,57-47,,
10:33.0,,,57-47,,T. Parker misses 2-pt shot from 8 ft
10:32.0,Defensive rebound by Z. Pachulia,,57-47,,
10:25.0,Turnover by E. Ilyasova (bad pass; steal by K. Leonard),,57-47,,
10:09.0,,,57-47,,M. Bonner misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by K. Middleton,,57-47,,
9:50.0,B. Knight misses 3-pt shot from 25 ft,,57-47,,
9:49.0,,,57-47,,Defensive rebound by Team
9:48.0,Loose ball foul by E. Ilyasova (drawn by C. Joseph),,57-47,,
9:39.0,,,57-47,,M. Bonner misses 2-pt shot from 22 ft
9:38.0,,,57-47,,Offensive rebound by C. Joseph
9:19.0,,,57-47,,T. Duncan misses 2-pt shot from 2 ft (block by E. Ilyasova)
9:19.0,Defensive rebound by Team,,57-47,,
9:06.0,,,57-47,,Personal foul by T. Parker (drawn by B. Knight)
9:00.0,Turnover by K. Middleton (bad pass; steal by K. Leonard),,57-47,,
8:54.0,,,57-49,2,T. Parker makes 2-pt shot from 2 ft
8:37.0,Offensive foul by G. Antetokounmpo,,57-49,,
8:37.0,Turnover by G. Antetokounmpo (offensive foul),,57-49,,
8:27.0,,,57-49,,T. Parker misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by E. Ilyasova,,57-49,,
8:12.0,K. Middleton makes 2-pt shot from 14 ft,2,59-49,,
8:12.0,,,59-49,,San Antonio full timeout
8:12.0,,,59-49,,B. Diaw enters the game for M. Bonner
7:52.0,,,59-51,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker)
7:32.0,K. Middleton misses 2-pt shot from 14 ft,,59-51,,
7:31.0,Offensive rebound by E. Ilyasova,,59-51,,
7:29.0,E. Ilyasova makes 2-pt shot from 1 ft,2,61-51,,
7:12.0,,,61-51,,C. Joseph misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by E. Ilyasova,,61-51,,
7:05.0,Turnover by Team (back court),,61-51,,
6:51.0,,,61-51,,T. Parker misses 2-pt shot from 6 ft
6:50.0,Defensive rebound by Team,,61-51,,
6:50.0,,,61-51,,Loose ball foul by T. Duncan (drawn by Z. Pachulia)
6:34.0,Shooting foul by T. Duncan (drawn by E. Ilyasova),,61-51,,
6:34.0,E. Ilyasova misses free throw 1 of 2,,61-51,,
6:34.0,Offensive rebound by Team,,61-51,,
6:34.0,E. Ilyasova makes free throw 2 of 2,1,62-51,,
6:24.0,,,62-51,,Shooting foul by G. Antetokounmpo (drawn by K. Leonard)
6:24.0,,,62-52,1,K. Leonard makes free throw 1 of 2
6:24.0,,,62-52,,M. Ginobili enters the game for T. Parker
6:24.0,,,62-53,1,K. Leonard makes free throw 2 of 2
6:04.0,Z. Pachulia misses 2-pt shot from 1 ft (block by K. Leonard),,62-53,,
6:03.0,Offensive rebound by E. Ilyasova,,62-53,,
6:02.0,E. Ilyasova misses 2-pt shot from 1 ft (block by T. Duncan),,62-53,,
6:01.0,Offensive rebound by B. Knight,,62-53,,
6:00.0,B. Knight misses 2-pt shot from 2 ft (block by T. Duncan),,62-53,,
5:58.0,,,62-53,,Defensive rebound by K. Leonard
5:51.0,,,62-53,,C. Joseph misses 2-pt shot from 10 ft
5:50.0,,,62-53,,Offensive rebound by C. Joseph
5:41.0,,,62-55,2,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw)
5:41.0,Milwaukee full timeout,,62-55,,
5:41.0,J. Henson enters the game for E. Ilyasova,,62-55,,
5:41.0,J. Dudley enters the game for Z. Pachulia,,62-55,,
5:26.0,Turnover by J. Henson (bad pass; steal by T. Duncan),,62-55,,
5:19.0,Personal foul by J. Henson (drawn by T. Duncan),,62-55,,
5:08.0,,,62-57,2,K. Leonard makes 2-pt shot at rim
4:46.0,K. Middleton misses 2-pt shot from 2 ft,,62-57,,
4:45.0,Offensive rebound by J. Henson,,62-57,,
4:45.0,J. Henson misses 2-pt shot from 1 ft,,62-57,,
4:44.0,,,62-57,,Defensive rebound by T. Duncan
4:29.0,,,62-59,2,B. Diaw makes 2-pt shot at rim
4:09.0,B. Knight misses 2-pt shot from 16 ft,,62-59,,
4:09.0,,,62-59,,Defensive rebound by K. Leonard
4:00.0,,,62-61,2,K. Leonard makes 2-pt shot from 19 ft
3:38.0,J. Dudley makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,65-61,,
3:29.0,,,65-61,,Turnover by T. Duncan (bad pass)
3:29.0,O. Mayo enters the game for G. Antetokounmpo,,65-61,,
3:15.0,B. Knight misses 2-pt shot from 2 ft,,65-61,,
3:14.0,,,65-61,,Defensive rebound by T. Duncan
3:06.0,,,65-61,,B. Diaw misses 2-pt shot from 2 ft
3:05.0,,,65-61,,Offensive rebound by K. Leonard
3:01.0,,,65-63,2,T. Duncan makes 2-pt shot from 2 ft
2:46.0,O. Mayo misses 2-pt shot from 5 ft (block by T. Duncan),,65-63,,
2:45.0,,,65-63,,Defensive rebound by M. Ginobili
2:38.0,Personal foul by O. Mayo (drawn by C. Joseph),,65-63,,
2:33.0,,,65-63,,Shooting foul by K. Middleton (drawn by M. Ginobili)
2:33.0,,,65-64,1,M. Ginobili makes free throw 1 of 2
2:33.0,,,65-64,,M. Ginobili misses free throw 2 of 2
2:32.0,Defensive rebound by K. Middleton,,65-64,,
2:08.0,Turnover by Team (shot clock),,65-64,,
2:08.0,,,65-64,,T. Splitter enters the game for T. Duncan
1:49.0,,,65-64,,Shooting foul by O. Mayo (drawn by M. Ginobili)
1:49.0,,,65-64,,M. Ginobili misses free throw 1 of 2
1:49.0,,,65-64,,Offensive rebound by Team
1:49.0,J. Bayless enters the game for B. Knight,,65-64,,
1:49.0,G. Antetokounmpo enters the game for O. Mayo,,65-64,,
1:49.0,,,65-65,1,M. Ginobili makes free throw 2 of 2
1:33.0,J. Dudley misses 3-pt shot from 25 ft,,65-65,,
1:32.0,Offensive rebound by J. Henson,,65-65,,
1:17.0,J. Bayless misses 2-pt shot from 16 ft,,65-65,,
1:16.0,,,65-65,,Defensive rebound by K. Leonard
1:03.0,,,65-65,,K. Leonard misses 3-pt shot from 25 ft
1:02.0,,,65-65,,Offensive rebound by T. Splitter
1:01.0,,,65-67,2,T. Splitter makes 2-pt shot from 1 ft
0:41.0,J. Dudley makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,67-67,,
0:28.0,,,67-67,,B. Diaw misses 3-pt shot from 26 ft
0:27.0,,,67-67,,Offensive rebound by K. Leonard
0:27.0,,,67-67,,Shooting foul by G. Antetokounmpo (drawn by K. Leonard)
0:27.0,,,67-68,1,K. Leonard makes free throw 1 of 2
0:27.0,,,67-69,1,K. Leonard makes free throw 2 of 2
0:03.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by M. Ginobili),,67-69,,
0:03.0,Offensive rebound by Team,,67-69,,
0:03.0,Turnover by Team (shot clock),,67-69,,
0:03.0,,,67-69,,P. Mills enters the game for T. Splitter
0:01.0,,,67-69,,P. Mills misses 3-pt shot from 23 ft
0:00.0,,,67-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,67-69,,Turnover by B. Diaw (lost ball; steal by J. Henson)
11:41.0,J. Dudley makes 2-pt shot from 22 ft (assist by J. Bayless),2,69-69,,
11:28.0,Personal foul by J. Bayless (drawn by B. Diaw),,69-69,,
11:14.0,,,69-72,3,D. Green makes 3-pt shot from 24 ft (assist by M. Ginobili)
10:47.0,J. Bayless misses 3-pt shot from 23 ft,,69-72,,
10:46.0,Offensive rebound by J. Henson,,69-72,,
10:46.0,,,69-72,,Loose ball foul by D. Green (drawn by J. Henson)
10:46.0,K. Martin enters the game for J. Henson,,69-72,,
10:30.0,K. Martin makes 2-pt shot at rim (assist by O. Mayo),2,71-72,,
10:20.0,,,71-74,2,B. Diaw makes 2-pt shot from 2 ft (assist by D. Green)
10:07.0,B. Knight misses 2-pt shot from 7 ft,,71-74,,
10:06.0,,,71-74,,Defensive rebound by D. Green
9:56.0,,,71-74,,D. Green misses 2-pt shot from 7 ft (block by O. Mayo)
9:55.0,,,71-74,,Offensive rebound by T. Splitter
9:55.0,,,71-76,2,T. Splitter makes 2-pt shot from 1 ft
9:29.0,O. Mayo misses 2-pt shot from 11 ft,,71-76,,
9:29.0,,,71-76,,Defensive rebound by T. Parker
9:12.0,,,71-76,,B. Diaw misses 2-pt shot from 7 ft
9:11.0,,,71-76,,Offensive rebound by B. Diaw
9:08.0,,,71-78,2,B. Diaw makes 2-pt shot from 1 ft
8:52.0,Shooting foul by T. Splitter (drawn by J. Bayless),,71-78,,
8:52.0,Official timeout,,71-78,,
8:52.0,J. Bayless makes free throw 1 of 2,1,72-78,,
8:52.0,J. Bayless makes free throw 2 of 2,1,73-78,,
8:34.0,,,73-81,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw)
8:13.0,J. Bayless makes 2-pt shot from 2 ft,2,75-81,,
7:53.0,,,75-81,,B. Diaw misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by O. Mayo,,75-81,,
7:40.0,J. Bayless makes 2-pt shot from 14 ft (assist by O. Mayo),2,77-81,,
7:24.0,,,77-83,2,T. Parker makes 2-pt shot from 11 ft (assist by B. Diaw)
7:09.0,,,77-83,,Personal foul by T. Parker (drawn by B. Knight)
7:09.0,,,77-83,,K. Leonard enters the game for M. Ginobili
7:02.0,O. Mayo makes 2-pt shot from 19 ft (assist by K. Martin),2,79-83,,
7:02.0,,,79-83,,San Antonio full timeout
7:02.0,,,79-83,,M. Bonner enters the game for B. Diaw
6:42.0,,,79-83,,M. Bonner misses 2-pt shot from 9 ft
6:41.0,,,79-83,,Offensive rebound by K. Leonard
6:41.0,,,79-85,2,K. Leonard makes 2-pt shot from 1 ft
6:16.0,B. Knight makes 3-pt shot from 25 ft,3,82-85,,
5:59.0,,,82-88,3,M. Bonner makes 3-pt shot from 25 ft (assist by T. Parker)
5:47.0,,,82-88,,Personal foul by K. Leonard (drawn by O. Mayo)
5:47.0,G. Antetokounmpo enters the game for J. Dudley,,82-88,,
5:47.0,,,82-88,,T. Duncan enters the game for T. Splitter
5:47.0,,,82-88,,C. Joseph enters the game for M. Bonner
5:31.0,Turnover by Team (shot clock),,82-88,,
5:17.0,,,82-88,,Shooting foul by O. Mayo (drawn by K. Leonard)
5:17.0,,,82-88,,K. Leonard misses free throw 1 of 2
5:17.0,,,82-88,,Offensive rebound by Team
5:17.0,,,82-89,1,K. Leonard makes free throw 2 of 2
4:59.0,B. Knight misses 2-pt shot from 2 ft (block by D. Green),,82-89,,
4:58.0,,,82-89,,Defensive rebound by C. Joseph
4:53.0,,,82-89,,D. Green misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by G. Antetokounmpo,,82-89,,
4:47.0,B. Knight misses 2-pt shot from 1 ft,,82-89,,
4:46.0,Offensive rebound by B. Knight,,82-89,,
4:29.0,J. Bayless makes 2-pt shot from 1 ft,2,84-89,,
4:14.0,,,84-89,,Shooting foul by K. Martin (drawn by K. Leonard)
4:14.0,,,84-90,1,K. Leonard makes free throw 1 of 2
4:14.0,,,84-90,,M. Ginobili enters the game for D. Green
4:14.0,K. Middleton enters the game for B. Knight,,84-90,,
