time,Atlanta,pts.away,score,pts.home,Philadelphia
6:43.0,M. Scott enters the game for A. Horford,,33-32,,
6:43.0,T. Sefolosha enters the game for K. Korver,,33-32,,
6:43.0,,,33-33,1,M. Carter-Williams makes free throw 1 of 1
6:29.0,D. Schroder misses 2-pt shot from 17 ft,,33-33,,
6:27.0,Offensive rebound by M. Scott,,33-33,,
6:07.0,M. Scott misses 3-pt shot from 25 ft,,33-33,,
6:06.0,,,33-33,,Defensive rebound by M. Carter-Williams
5:53.0,,,33-33,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by T. Sefolosha)
5:51.0,Defensive rebound by T. Sefolosha,,33-33,,
5:47.0,Turnover by T. Sefolosha (lost ball; steal by K. McDaniels),,33-33,,
5:40.0,,,33-33,,Offensive charge foul by L. Mbah a Moute
5:40.0,,,33-33,,Turnover by L. Mbah a Moute (offensive foul)
5:16.0,M. Muscala misses 2-pt shot from 2 ft (block by N. Noel),,33-33,,
5:16.0,Offensive rebound by Team,,33-33,,
5:16.0,Turnover by Team (shot clock),,33-33,,
5:01.0,,,33-33,,Turnover by M. Carter-Williams (bad pass; steal by D. Schroder)
4:55.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,35-33,,
4:37.0,,,35-33,,L. Mbah a Moute misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by Team,,35-33,,
4:37.0,,,35-33,,Loose ball foul by N. Noel (drawn by M. Muscala)
4:30.0,Turnover by D. Schroder (bad pass),,35-33,,
4:21.0,,,35-33,,Turnover by M. Carter-Williams (traveling)
4:10.0,Turnover by D. Schroder (bad pass; steal by L. Mbah a Moute),,35-33,,
3:48.0,,,35-33,,K. McDaniels misses 2-pt shot from 7 ft
3:46.0,Defensive rebound by M. Scott,,35-33,,
3:34.0,Turnover by K. Bazemore (bad pass),,35-33,,
3:34.0,,,35-33,,T. Wroten enters the game for L. Mbah a Moute
3:26.0,,,35-33,,Turnover by M. Carter-Williams (dbl dribble)
3:26.0,A. Horford enters the game for M. Muscala,,35-33,,
3:26.0,K. Korver enters the game for K. Bazemore,,35-33,,
3:12.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,37-33,,
2:59.0,,,37-33,,R. Covington misses 3-pt shot from 27 ft
2:57.0,,,37-33,,Offensive rebound by K. McDaniels
2:57.0,,,37-33,,K. McDaniels misses 2-pt shot at rim
2:55.0,Defensive rebound by A. Horford,,37-33,,
2:47.0,Shooting foul by M. Carter-Williams (drawn by K. Korver),,37-33,,
2:47.0,Official timeout,,37-33,,
2:47.0,,,37-33,,J. Grant enters the game for M. Carter-Williams
2:47.0,K. Korver misses free throw 1 of 2,,37-33,,
2:47.0,Offensive rebound by Team,,37-33,,
2:47.0,K. Korver makes free throw 2 of 2,1,38-33,,
2:31.0,,,38-33,,T. Wroten misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by A. Horford,,38-33,,
2:13.0,D. Schroder makes 2-pt shot at rim (assist by A. Horford),2,40-33,,
1:55.0,,,40-33,,Turnover by T. Wroten (lost ball)
1:46.0,,,40-33,,Personal foul by J. Grant (drawn by M. Scott)
1:36.0,M. Scott misses 2-pt shot from 1 ft,,40-33,,
1:35.0,,,40-33,,Defensive rebound by J. Grant
1:31.0,,,40-35,2,K. McDaniels makes 2-pt shot at rim (assist by T. Wroten)
1:13.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,43-35,,
1:03.0,,,43-37,2,J. Grant makes 2-pt shot from 1 ft (assist by T. Wroten)
0:55.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,46-37,,
0:29.0,,,46-37,,Turnover by Team (shot clock)
0:05.0,M. Scott makes 3-pt shot from 23 ft (assist by A. Horford),3,49-37,,
