time,Boston,pts.away,score,pts.home,Indiana
6:37.0,Turnover by A. Bradley (bad pass),,7-6,,
6:24.0,Personal foul by J. Crowder (drawn by R. Hibbert),,7-6,,
6:24.0,M. Smart enters the game for J. Crowder,,7-6,,
6:16.0,,,7-9,3,C. Watson makes 3-pt shot from 23 ft (assist by D. West)
6:02.0,E. Turner misses 2-pt shot from 16 ft,,7-9,,
6:01.0,,,7-9,,Defensive rebound by C. Miles
5:48.0,,,7-11,2,R. Stuckey makes 2-pt shot from 1 ft (assist by R. Hibbert)
5:36.0,A. Bradley misses 2-pt shot from 20 ft,,7-11,,
5:35.0,,,7-11,,Defensive rebound by R. Stuckey
5:24.0,,,7-11,,R. Hibbert misses 2-pt shot from 5 ft
5:23.0,Defensive rebound by T. Zeller,,7-11,,
5:18.0,A. Bradley makes 2-pt shot from 4 ft,2,9-11,,
5:01.0,,,9-13,2,D. West makes 2-pt shot from 9 ft (assist by R. Stuckey)
4:38.0,E. Turner misses 3-pt shot from 26 ft,,9-13,,
4:37.0,,,9-13,,Defensive rebound by C. Miles
4:27.0,,,9-13,,R. Stuckey misses 3-pt shot from 23 ft
4:26.0,,,9-13,,Offensive rebound by D. West
4:24.0,,,9-13,,D. West misses 2-pt shot from 4 ft
4:24.0,,,9-13,,Offensive rebound by C. Watson
4:24.0,Loose ball foul by J. Sullinger (drawn by R. Hibbert),,9-13,,
4:24.0,K. Olynyk enters the game for J. Sullinger,,9-13,,
4:24.0,,,9-13,,C. Copeland enters the game for D. West
4:24.0,,,9-13,,L. Scola enters the game for R. Stuckey
4:21.0,,,9-16,3,C. Miles makes 3-pt shot from 25 ft (assist by C. Copeland)
4:07.0,,,9-16,,Personal foul by L. Scola (drawn by K. Olynyk)
4:03.0,A. Bradley misses 2-pt shot from 15 ft,,9-16,,
4:02.0,,,9-16,,Defensive rebound by L. Scola
3:51.0,,,9-16,,L. Scola misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by E. Turner,,9-16,,
3:43.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,11-16,,
3:24.0,,,11-18,2,R. Hibbert makes 2-pt shot from 18 ft (assist by C. Copeland)
3:08.0,Turnover by K. Olynyk (lost ball; steal by C. Copeland),,11-18,,
3:03.0,,,11-18,,Shooting foul by A. Bradley (drawn by C. Watson)
3:03.0,,,11-19,1,C. Watson makes free throw 1 of 2
3:03.0,M. Thornton enters the game for A. Bradley,,11-19,,
3:03.0,,,11-20,1,C. Watson makes free throw 2 of 2
2:53.0,Turnover by T. Zeller (offensive foul),,11-20,,
2:53.0,Offensive foul by T. Zeller,,11-20,,
2:53.0,Boston full timeout,,11-20,,
2:53.0,J. Crowder enters the game for T. Zeller,,11-20,,
2:53.0,B. Bass enters the game for E. Turner,,11-20,,
2:30.0,Personal foul by K. Olynyk (drawn by R. Hibbert),,11-20,,
2:30.0,,,11-20,,R. Hibbert misses free throw 1 of 2
2:30.0,,,11-20,,Offensive rebound by Team
2:30.0,,,11-21,1,R. Hibbert makes free throw 2 of 2
2:15.0,B. Bass misses 2-pt shot from 16 ft,,11-21,,
2:13.0,,,11-21,,Defensive rebound by C. Copeland
1:52.0,,,11-23,2,R. Hibbert makes 2-pt shot from 16 ft (assist by C. Copeland)
1:38.0,B. Bass makes 2-pt shot from 17 ft (assist by M. Smart),2,13-23,,
1:25.0,,,13-25,2,L. Scola makes 2-pt shot from 2 ft (assist by R. Hibbert)
1:11.0,B. Bass misses 2-pt shot from 20 ft,,13-25,,
1:09.0,Offensive rebound by B. Bass,,13-25,,
1:06.0,J. Crowder makes 2-pt shot from 5 ft (assist by B. Bass),2,15-25,,
0:46.0,,,15-25,,C. Copeland misses 2-pt shot from 3 ft (block by J. Crowder)
0:44.0,Defensive rebound by J. Crowder,,15-25,,
0:37.0,M. Smart misses 3-pt shot from 24 ft,,15-25,,
0:35.0,Offensive rebound by M. Thornton,,15-25,,
0:32.0,M. Thornton makes 2-pt shot from 4 ft,2,17-25,,
0:19.0,,,17-25,,C. Miles misses 2-pt shot from 9 ft
0:18.0,,,17-25,,Offensive rebound by Team
0:18.0,,,17-25,,L. Allen enters the game for R. Hibbert
0:18.0,,,17-25,,D. Sloan enters the game for C. Watson
0:17.0,,,17-25,,Turnover by C. Copeland (bad pass; steal by B. Bass)
0:00.0,M. Thornton misses 2-pt shot from 18 ft,,17-25,,
0:00.0,,,17-25,,Defensive rebound by C. Copeland
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Smart misses 2-pt shot from 16 ft,,17-25,,
11:45.0,,,17-25,,Defensive rebound by L. Allen
11:22.0,,,17-25,,L. Scola misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by B. Bass,,17-25,,
11:13.0,M. Thornton misses 3-pt shot from 25 ft,,17-25,,
11:12.0,,,17-25,,Defensive rebound by C. Copeland
10:55.0,,,17-25,,C. Miles misses 3-pt shot from 23 ft
10:53.0,,,17-25,,Offensive rebound by L. Scola
10:50.0,,,17-25,,C. Copeland misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by K. Olynyk,,17-25,,
10:36.0,M. Thornton misses 3-pt shot from 24 ft,,17-25,,
10:35.0,,,17-25,,Defensive rebound by C. Copeland
10:22.0,,,17-28,3,C. Copeland makes 3-pt shot from 23 ft (assist by L. Scola)
10:01.0,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart),3,20-28,,
9:51.0,,,20-28,,Turnover by D. Sloan (discontinued dribble)
9:41.0,K. Olynyk misses 2-pt shot from 3 ft,,20-28,,
9:40.0,,,20-28,,Defensive rebound by L. Allen
9:27.0,,,20-28,,Shooting foul by J. Crowder (drawn by C. Copeland)
9:27.0,,,20-29,1,C. Copeland makes free throw 1 of 2
9:27.0,,,20-30,1,C. Copeland makes free throw 2 of 2
9:06.0,J. Crowder misses 3-pt shot from 23 ft,,20-30,,
9:05.0,Offensive rebound by M. Thornton,,20-30,,
9:04.0,M. Thornton misses 2-pt shot from 2 ft,,20-30,,
9:03.0,,,20-30,,Defensive rebound by L. Scola
8:57.0,,,20-30,,C. Miles misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by J. Crowder,,20-30,,
8:53.0,Boston full timeout,,20-30,,
8:53.0,E. Turner enters the game for J. Crowder,,20-30,,
8:53.0,J. Young enters the game for M. Smart,,20-30,,
8:53.0,A. Bradley enters the game for M. Thornton,,20-30,,
8:45.0,B. Bass misses 2-pt shot from 17 ft,,20-30,,
8:44.0,,,20-30,,Defensive rebound by C. Copeland
8:23.0,,,20-30,,C. Copeland misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by J. Young,,20-30,,
8:13.0,E. Turner makes 2-pt shot from 13 ft,2,22-30,,
7:56.0,,,22-30,,L. Scola misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by E. Turner,,22-30,,
7:51.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,24-30,,
7:37.0,,,24-30,,L. Scola misses 2-pt shot from 18 ft
7:36.0,,,24-30,,Offensive rebound by Team
7:36.0,,,24-30,,S. Hill enters the game for C. Copeland
7:28.0,,,24-30,,C. Miles misses 3-pt shot from 25 ft
7:26.0,,,24-30,,Offensive rebound by L. Scola
7:26.0,,,24-30,,L. Scola misses 2-pt shot from 2 ft
7:25.0,,,24-30,,Offensive rebound by D. Sloan
7:25.0,,,24-32,2,L. Allen makes 2-pt shot from 1 ft
7:03.0,B. Bass makes 2-pt shot from 14 ft (assist by K. Olynyk),2,26-32,,
6:39.0,,,26-32,,D. Sloan misses 2-pt shot from 3 ft
6:38.0,Defensive rebound by K. Olynyk,,26-32,,
6:31.0,J. Young misses 3-pt shot from 24 ft,,26-32,,
6:30.0,,,26-32,,Defensive rebound by Team
6:13.0,,,26-34,2,L. Scola makes 2-pt shot from 15 ft (assist by D. Sloan)
6:00.0,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner),3,29-34,,
5:42.0,,,29-37,3,C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan)
5:29.0,K. Olynyk misses 2-pt shot from 4 ft,,29-37,,
5:28.0,,,29-37,,Defensive rebound by L. Scola
5:19.0,,,29-37,,L. Allen misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by E. Turner,,29-37,,
5:11.0,A. Bradley misses 3-pt shot from 25 ft,,29-37,,
5:10.0,Offensive rebound by B. Bass,,29-37,,
5:08.0,B. Bass makes 2-pt shot from 1 ft,2,31-37,,
5:08.0,,,31-37,,Indiana full timeout
5:08.0,J. Sullinger enters the game for B. Bass,,31-37,,
5:08.0,,,31-37,,D. West enters the game for L. Scola
4:53.0,,,31-40,3,C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan)
4:28.0,E. Turner misses 3-pt shot from 26 ft,,31-40,,
4:27.0,,,31-40,,Defensive rebound by L. Allen
4:20.0,,,31-42,2,D. Sloan makes 2-pt shot from 3 ft
4:04.0,,,31-42,,R. Hibbert enters the game for L. Allen
4:02.0,A. Bradley misses 2-pt shot at rim (block by S. Hill),,31-42,,
4:00.0,,,31-42,,Defensive rebound by D. Sloan
3:57.0,,,31-42,,D. Sloan misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by Team,,31-42,,
3:56.0,,,31-42,,Loose ball foul by R. Hibbert (drawn by K. Olynyk)
3:46.0,E. Turner misses 2-pt shot from 17 ft,,31-42,,
3:44.0,,,31-42,,Defensive rebound by R. Hibbert
3:35.0,,,31-42,,Offensive foul by D. West
3:35.0,,,31-42,,Turnover by D. West (offensive foul)
3:26.0,J. Sullinger makes 2-pt shot at rim (assist by A. Bradley),2,33-42,,
3:02.0,,,33-42,,D. West misses 2-pt shot from 16 ft
3:01.0,Defensive rebound by A. Bradley,,33-42,,
2:50.0,E. Turner misses 2-pt shot from 4 ft (block by R. Hibbert),,33-42,,
2:49.0,Offensive rebound by J. Sullinger,,33-42,,
2:48.0,J. Sullinger makes 2-pt shot from 1 ft,2,35-42,,
2:33.0,,,35-42,,R. Hibbert misses 2-pt shot from 18 ft
2:32.0,Defensive rebound by E. Turner,,35-42,,
2:19.0,Turnover by A. Bradley (bad pass; steal by S. Hill),,35-42,,
2:09.0,,,35-42,,R. Hibbert misses 2-pt shot from 1 ft
2:07.0,,,35-42,,Offensive rebound by R. Hibbert
2:07.0,,,35-42,,R. Hibbert misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by E. Turner,,35-42,,
2:00.0,K. Olynyk misses 3-pt shot from 26 ft,,35-42,,
1:59.0,,,35-42,,Defensive rebound by S. Hill
1:42.0,,,35-42,,D. Sloan misses 2-pt shot from 2 ft
1:42.0,,,35-42,,Offensive rebound by R. Hibbert
1:42.0,Personal foul by A. Bradley (drawn by R. Hibbert),,35-42,,
1:42.0,Official timeout,,35-42,,
1:42.0,,,35-42,,C. Watson enters the game for D. Sloan
1:42.0,,,35-42,,R. Stuckey enters the game for C. Miles
1:42.0,M. Thornton enters the game for A. Bradley,,35-42,,
1:42.0,M. Smart enters the game for J. Young,,35-42,,
1:22.0,,,35-44,2,C. Watson makes 2-pt shot from 19 ft
1:05.0,J. Sullinger misses 2-pt shot from 5 ft,,35-44,,
1:04.0,Offensive rebound by K. Olynyk,,35-44,,
0:59.0,M. Thornton misses 2-pt shot from 2 ft (block by R. Hibbert),,35-44,,
0:58.0,,,35-44,,Defensive rebound by D. West
0:42.0,,,35-46,2,R. Hibbert makes 2-pt shot from 3 ft (assist by R. Stuckey)
0:28.0,J. Sullinger makes 2-pt shot from 13 ft (assist by E. Turner),2,37-46,,
0:20.0,,,37-46,,Indiana full timeout
0:20.0,T. Zeller enters the game for K. Olynyk,,37-46,,
0:20.0,B. Bass enters the game for J. Sullinger,,37-46,,
0:20.0,P. Pressey enters the game for M. Thornton,,37-46,,
0:06.0,,,37-46,,R. Stuckey misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by T. Zeller,,37-46,,
0:04.0,Boston full timeout,,37-46,,
0:04.0,,,37-46,,C. Miles enters the game for D. West
0:04.0,,,37-46,,L. Allen enters the game for R. Hibbert
0:04.0,A. Bradley enters the game for T. Zeller,,37-46,,
0:04.0,J. Young enters the game for M. Smart,,37-46,,
0:04.0,K. Olynyk enters the game for B. Bass,,37-46,,
0:04.0,J. Crowder enters the game for P. Pressey,,37-46,,
0:00.0,J. Crowder misses 3-pt shot from 26 ft,,37-46,,
0:00.0,Offensive rebound by Team,,37-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Zeller misses 2-pt shot from 6 ft (block by R. Hibbert),,37-46,,
11:45.0,,,37-46,,Defensive rebound by R. Hibbert
11:26.0,,,37-46,,S. Hill misses 2-pt shot from 12 ft
11:25.0,,,37-46,,Offensive rebound by C. Watson
11:15.0,,,37-46,,C. Watson misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by J. Sullinger,,37-46,,
11:08.0,E. Turner misses 2-pt shot from 1 ft,,37-46,,
11:07.0,Offensive rebound by E. Turner,,37-46,,
11:02.0,J. Sullinger misses 3-pt shot from 27 ft,,37-46,,
11:01.0,,,37-46,,Defensive rebound by R. Hibbert
10:48.0,,,37-46,,Turnover by R. Hibbert (bad pass; steal by J. Sullinger)
10:44.0,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger),2,39-46,,
10:16.0,,,39-46,,S. Hill misses 2-pt shot from 8 ft
10:15.0,,,39-46,,Offensive rebound by Team
10:15.0,,,39-46,,Turnover by Team (shot clock)
10:02.0,J. Sullinger misses 2-pt shot from 16 ft,,39-46,,
10:01.0,,,39-46,,Defensive rebound by S. Hill
9:48.0,,,39-46,,Shooting foul by T. Zeller (drawn by R. Hibbert)
9:48.0,,,39-47,1,R. Hibbert makes free throw 1 of 2
9:48.0,,,39-48,1,R. Hibbert makes free throw 2 of 2
9:37.0,E. Turner misses 2-pt shot from 17 ft,,39-48,,
9:36.0,Offensive rebound by T. Zeller,,39-48,,
9:34.0,T. Zeller makes 2-pt shot from 3 ft,2,41-48,,
9:17.0,,,41-48,,D. West misses 3-pt shot from 22 ft
9:16.0,Defensive rebound by T. Zeller,,41-48,,
9:09.0,A. Bradley misses 3-pt shot from 24 ft,,41-48,,
9:08.0,Offensive rebound by J. Crowder,,41-48,,
9:08.0,J. Crowder misses 2-pt shot at rim,,41-48,,
9:06.0,,,41-48,,Defensive rebound by D. West
8:44.0,,,41-48,,S. Hill misses 3-pt shot from 24 ft
8:43.0,,,41-48,,Offensive rebound by D. West
8:31.0,,,41-48,,Turnover by R. Stuckey (lost ball; steal by A. Bradley)
8:26.0,J. Crowder makes 2-pt shot from 1 ft,2,43-48,,
8:03.0,,,43-48,,D. West misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by E. Turner,,43-48,,
7:52.0,J. Crowder misses 3-pt shot from 25 ft,,43-48,,
7:51.0,,,43-48,,Defensive rebound by C. Watson
7:37.0,,,43-48,,D. West misses 2-pt shot from 7 ft
7:36.0,Defensive rebound by T. Zeller,,43-48,,
7:27.0,T. Zeller misses 2-pt shot from 18 ft,,43-48,,
7:26.0,Offensive rebound by J. Sullinger,,43-48,,
7:16.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder),3,46-48,,
7:15.0,,,46-48,,Indiana full timeout
7:15.0,,,46-48,,L. Scola enters the game for S. Hill
7:15.0,,,46-48,,C. Miles enters the game for D. West
7:00.0,,,46-50,2,L. Scola makes 2-pt shot from 17 ft (assist by R. Stuckey)
6:44.0,J. Sullinger misses 3-pt shot from 24 ft,,46-50,,
6:43.0,,,46-50,,Defensive rebound by C. Watson
6:35.0,,,46-50,,Turnover by C. Watson (traveling)
6:24.0,A. Bradley makes 2-pt shot from 19 ft (assist by T. Zeller),2,48-50,,
6:08.0,,,48-52,2,R. Stuckey makes 2-pt shot from 16 ft
5:55.0,A. Bradley misses 2-pt shot from 17 ft,,48-52,,
5:54.0,,,48-52,,Defensive rebound by C. Watson
5:38.0,,,48-52,,R. Hibbert misses 2-pt shot from 8 ft (block by T. Zeller)
5:37.0,,,48-52,,Offensive rebound by C. Miles
5:35.0,,,48-55,3,C. Miles makes 3-pt shot from 25 ft
5:19.0,A. Bradley misses 2-pt shot from 16 ft,,48-55,,
5:18.0,,,48-55,,Defensive rebound by R. Stuckey
5:14.0,,,48-55,,Shooting foul by T. Zeller (drawn by L. Scola)
5:14.0,,,48-56,1,L. Scola makes free throw 1 of 2
5:14.0,K. Olynyk enters the game for T. Zeller,,48-56,,
5:14.0,M. Thornton enters the game for J. Crowder,,48-56,,
5:14.0,,,48-57,1,L. Scola makes free throw 2 of 2
5:05.0,,,48-57,,Personal foul by C. Watson (drawn by J. Sullinger)
4:48.0,E. Turner misses 3-pt shot from 25 ft,,48-57,,
4:48.0,Offensive rebound by Team,,48-57,,
4:48.0,Turnover by Team (shot clock),,48-57,,
4:33.0,,,48-57,,C. Miles misses 2-pt shot from 16 ft
4:32.0,Defensive rebound by K. Olynyk,,48-57,,
4:26.0,,,48-57,,Personal block foul by L. Scola (drawn by E. Turner)
4:15.0,K. Olynyk makes 2-pt shot from 3 ft,2,50-57,,
3:56.0,Personal foul by M. Thornton (drawn by L. Scola),,50-57,,
3:56.0,B. Bass enters the game for J. Sullinger,,50-57,,
3:43.0,,,50-57,,R. Hibbert misses 2-pt shot from 10 ft
3:42.0,Defensive rebound by E. Turner,,50-57,,
3:23.0,Shooting foul by R. Stuckey (drawn by E. Turner),,50-57,,
3:23.0,E. Turner misses free throw 1 of 2,,50-57,,
3:23.0,Offensive rebound by Team,,50-57,,
3:23.0,M. Smart enters the game for A. Bradley,,50-57,,
3:23.0,E. Turner makes free throw 2 of 2,1,51-57,,
3:15.0,Personal foul by B. Bass (drawn by R. Hibbert),,51-57,,
3:13.0,,,51-57,,Turnover by C. Miles (bad pass; steal by K. Olynyk)
3:05.0,M. Thornton misses 2-pt shot from 19 ft,,51-57,,
3:04.0,,,51-57,,Defensive rebound by R. Hibbert
2:52.0,,,51-57,,R. Stuckey misses 2-pt shot from 3 ft
2:51.0,Defensive rebound by B. Bass,,51-57,,
2:41.0,B. Bass misses 2-pt shot from 1 ft (block by R. Hibbert),,51-57,,
2:40.0,Offensive rebound by K. Olynyk,,51-57,,
2:38.0,K. Olynyk makes 2-pt shot from 1 ft,2,53-57,,
2:27.0,Personal foul by M. Thornton (drawn by R. Hibbert),,53-57,,
2:27.0,Boston full timeout,,53-57,,
2:27.0,,,53-57,,C. Copeland enters the game for R. Stuckey
2:27.0,,,53-58,1,R. Hibbert makes free throw 1 of 2
2:27.0,,,53-59,1,R. Hibbert makes free throw 2 of 2
2:13.0,K. Olynyk misses 3-pt shot from 25 ft,,53-59,,
2:11.0,,,53-59,,Defensive rebound by R. Hibbert
1:57.0,Personal foul by K. Olynyk (drawn by C. Watson),,53-59,,
1:57.0,,,53-60,1,C. Watson makes free throw 1 of 2
1:57.0,,,53-60,,L. Allen enters the game for R. Hibbert
1:57.0,,,53-61,1,C. Watson makes free throw 2 of 2
1:37.0,B. Bass makes 2-pt shot from 17 ft,2,55-61,,
1:17.0,,,55-61,,C. Copeland misses 3-pt shot from 25 ft
1:17.0,,,55-61,,Offensive rebound by Team
1:17.0,Loose ball foul by B. Bass (drawn by L. Allen),,55-61,,
1:17.0,,,55-62,1,L. Allen makes free throw 1 of 2
1:17.0,,,55-62,,D. Sloan enters the game for C. Watson
1:17.0,,,55-63,1,L. Allen makes free throw 2 of 2
1:07.0,,,55-63,,Shooting block foul by C. Miles (drawn by K. Olynyk)
1:07.0,K. Olynyk makes free throw 1 of 2,1,56-63,,
1:07.0,K. Olynyk makes free throw 2 of 2,1,57-63,,
0:55.0,,,57-63,,L. Scola misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by E. Turner,,57-63,,
0:51.0,,,57-63,,Personal block foul by C. Copeland (drawn by E. Turner)
0:51.0,E. Turner misses free throw 1 of 2,,57-63,,
0:51.0,Offensive rebound by Team,,57-63,,
0:51.0,E. Turner makes free throw 2 of 2,1,58-63,,
0:27.0,,,58-65,2,L. Scola makes 2-pt shot from 6 ft
0:08.0,E. Turner makes 2-pt shot from 16 ft,2,60-65,,
0:01.0,,,60-65,,D. Sloan misses 3-pt shot from 27 ft
0:00.0,,,60-65,,Offensive rebound by C. Copeland
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,60-67,2,D. Sloan makes 2-pt shot from 16 ft
11:14.0,Turnover by M. Smart (bad pass),,60-67,,
10:52.0,,,60-70,3,D. Sloan makes 3-pt shot from 25 ft (assist by L. Allen)
10:33.0,B. Bass misses 2-pt shot from 16 ft,,60-70,,
10:31.0,,,60-70,,Defensive rebound by D. Sloan
10:19.0,,,60-70,,Shooting foul by K. Olynyk (drawn by L. Scola)
10:19.0,,,60-71,1,L. Scola makes free throw 1 of 2
10:19.0,A. Bradley enters the game for M. Thornton,,60-71,,
10:19.0,,,60-72,1,L. Scola makes free throw 2 of 2
10:06.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Bradley),3,63-72,,
9:42.0,,,63-72,,Offensive charge foul by C. Copeland
9:42.0,,,63-72,,Turnover by C. Copeland (offensive foul)
9:24.0,Shooting foul by L. Allen (drawn by B. Bass),,63-72,,
9:24.0,B. Bass misses free throw 1 of 2,,63-72,,
9:24.0,Offensive rebound by Team,,63-72,,
9:24.0,B. Bass makes free throw 2 of 2,1,64-72,,
9:12.0,,,64-74,2,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan)
8:56.0,Turnover by B. Bass (traveling),,64-74,,
8:56.0,Official timeout,,64-74,,
8:34.0,,,64-77,3,D. Sloan makes 3-pt shot from 26 ft
8:17.0,B. Bass misses 2-pt shot from 3 ft (block by L. Scola),,64-77,,
8:15.0,,,64-77,,Defensive rebound by L. Allen
8:15.0,,,64-77,,Turnover by L. Allen (bad pass; steal by J. Crowder)
8:13.0,B. Bass makes 2-pt shot at rim (assist by J. Crowder),2,66-77,,
8:13.0,Shooting foul by L. Allen (drawn by B. Bass),,66-77,,
8:13.0,,,66-77,,S. Hill enters the game for C. Copeland
8:13.0,B. Bass makes free throw 1 of 1,1,67-77,,
7:58.0,,,67-77,,L. Scola misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by J. Crowder,,67-77,,
7:44.0,M. Smart makes 3-pt shot from 26 ft (assist by B. Bass),3,70-77,,
7:23.0,,,70-77,,C. Miles misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by M. Smart,,70-77,,
7:08.0,A. Bradley makes 2-pt shot from 18 ft,2,72-77,,
7:06.0,,,72-77,,Indiana full timeout
7:06.0,,,72-77,,D. West enters the game for L. Scola
6:52.0,Shooting block foul by A. Bradley (drawn by C. Miles),,72-77,,
6:52.0,,,72-78,1,C. Miles makes free throw 1 of 2
6:52.0,,,72-79,1,C. Miles makes free throw 2 of 2
6:42.0,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart),2,74-79,,
6:26.0,,,74-79,,L. Allen misses 2-pt shot from 8 ft
6:25.0,Defensive rebound by M. Smart,,74-79,,
6:07.0,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart),2,76-79,,
5:48.0,,,76-79,,Shooting foul by B. Bass (drawn by L. Allen)
5:48.0,,,76-80,1,L. Allen makes free throw 1 of 2
5:48.0,,,76-81,1,L. Allen makes free throw 2 of 2
5:33.0,B. Bass makes 3-pt shot from 23 ft (assist by A. Bradley),3,79-81,,
5:15.0,,,79-83,2,D. West makes 2-pt shot from 5 ft (assist by S. Hill)
5:15.0,,,79-83,,Shooting foul by K. Olynyk (drawn by D. West)
5:15.0,,,79-83,,R. Hibbert enters the game for L. Allen
5:15.0,,,79-83,,R. Stuckey enters the game for C. Miles
5:15.0,J. Sullinger enters the game for K. Olynyk,,79-83,,
5:15.0,,,79-83,,D. West misses free throw 1 of 1
5:14.0,,,79-83,,Offensive rebound by D. West
5:01.0,,,79-83,,Turnover by D. West (bad pass; steal by J. Crowder)
4:49.0,A. Bradley makes 2-pt shot from 12 ft,2,81-83,,
4:28.0,,,81-85,2,R. Hibbert makes 2-pt shot from 6 ft (assist by D. West)
4:10.0,M. Smart makes 3-pt shot from 26 ft (assist by J. Sullinger),3,84-85,,
3:48.0,,,84-85,,D. Sloan misses 2-pt shot from 8 ft (block by B. Bass)
3:46.0,Defensive rebound by J. Crowder,,84-85,,
