time,Dallas,pts.away,score,pts.home,Indiana
3:24.0,Shooting foul by C. Miles (drawn by C. Parsons),,22-22,,
3:24.0,C. Parsons makes free throw 1 of 1,1,23-22,,
3:10.0,Personal foul by D. Harris (drawn by D. West),,23-22,,
3:10.0,,,23-23,1,D. West makes free throw 1 of 2
3:10.0,,,23-23,,C. Watson enters the game for C. Miles
3:10.0,,,23-24,1,D. West makes free throw 2 of 2
2:49.0,A. Stoudemire misses 2-pt shot from 10 ft,,23-24,,
2:48.0,Offensive rebound by Team,,23-24,,
2:33.0,C. Parsons misses 2-pt shot from 19 ft,,23-24,,
2:33.0,,,23-24,,Defensive rebound by R. Stuckey
2:24.0,,,23-24,,Shooting foul by A. Aminu (drawn by R. Stuckey)
2:24.0,,,23-24,,R. Stuckey misses free throw 1 of 2
2:24.0,,,23-24,,Offensive rebound by Team
2:24.0,,,23-24,,L. Scola enters the game for D. West
2:24.0,,,23-25,1,R. Stuckey makes free throw 2 of 2
2:03.0,A. Stoudemire misses 2-pt shot from 7 ft,,23-25,,
2:02.0,,,23-25,,Defensive rebound by R. Stuckey
1:57.0,,,23-25,,Turnover by L. Scola (lost ball)
1:46.0,C. Parsons misses 2-pt shot at rim,,23-25,,
1:45.0,,,23-25,,Defensive rebound by R. Stuckey
1:28.0,,,23-27,2,G. Hill makes 2-pt shot from 21 ft
1:17.0,R. Rondo misses 2-pt shot at rim,,23-27,,
1:16.0,,,23-27,,Defensive rebound by L. Scola
1:10.0,,,23-27,,C. Watson misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by C. Parsons,,23-27,,
1:04.0,Shooting foul by C. Watson (drawn by A. Aminu),,23-27,,
1:04.0,A. Aminu makes free throw 1 of 2,1,24-27,,
1:04.0,R. Felton enters the game for R. Rondo,,24-27,,
1:04.0,D. Nowitzki enters the game for C. Parsons,,24-27,,
1:04.0,,,24-27,,Violation by Team (delay of game)
1:04.0,,,24-27,,D. Rudez enters the game for G. Hill
1:04.0,A. Aminu misses free throw 2 of 2,,24-27,,
1:04.0,,,24-27,,Defensive rebound by L. Scola
0:50.0,,,24-30,3,D. Rudez makes 3-pt shot from 25 ft (assist by I. Mahinmi)
0:37.0,R. Felton makes 3-pt shot from 26 ft (assist by D. Harris),3,27-30,,
0:27.0,,,27-33,3,D. Rudez makes 3-pt shot from 26 ft (assist by C. Watson)
0:03.0,D. Nowitzki misses 2-pt shot from 17 ft,,27-33,,
0:02.0,Offensive rebound by A. Stoudemire,,27-33,,
0:01.0,A. Stoudemire misses 2-pt shot from 2 ft (block by I. Mahinmi),,27-33,,
0:00.0,,,27-33,,Defensive rebound by I. Mahinmi
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-35,2,R. Stuckey makes 2-pt shot from 5 ft
11:26.0,,,27-35,,Personal foul by L. Scola (drawn by D. Harris)
11:20.0,Shooting foul by I. Mahinmi (drawn by D. Nowitzki),,27-35,,
11:20.0,D. Nowitzki misses free throw 1 of 2,,27-35,,
11:20.0,Offensive rebound by Team,,27-35,,
11:20.0,,,27-35,,L. Allen enters the game for I. Mahinmi
11:20.0,D. Nowitzki makes free throw 2 of 2,1,28-35,,
11:00.0,,,28-35,,Turnover by L. Allen (bad pass)
10:48.0,D. Nowitzki makes 2-pt shot from 16 ft,2,30-35,,
10:29.0,,,30-37,2,L. Allen makes 2-pt shot from 19 ft (assist by R. Stuckey)
10:21.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Harris),2,32-37,,
10:21.0,Shooting foul by L. Allen (drawn by A. Stoudemire),,32-37,,
10:21.0,A. Stoudemire misses free throw 1 of 1,,32-37,,
10:21.0,,,32-37,,Defensive rebound by L. Scola
10:04.0,,,32-37,,R. Stuckey misses 2-pt shot from 12 ft
10:03.0,,,32-37,,Offensive rebound by L. Allen
10:03.0,,,32-37,,L. Allen misses 2-pt shot at rim
10:02.0,Defensive rebound by A. Stoudemire,,32-37,,
9:56.0,A. Aminu misses 2-pt shot from 6 ft,,32-37,,
9:55.0,,,32-37,,Defensive rebound by L. Allen
9:33.0,,,32-37,,L. Scola misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by Team,,32-37,,
9:33.0,,,32-37,,Loose ball foul by L. Allen (drawn by A. Stoudemire)
9:15.0,D. Harris misses 2-pt shot at rim (block by L. Allen),,32-37,,
9:13.0,,,32-37,,Defensive rebound by L. Allen
9:06.0,,,32-37,,R. Stuckey misses 3-pt shot from 26 ft
9:05.0,,,32-37,,Offensive rebound by D. Rudez
9:04.0,,,32-37,,Turnover by D. Rudez (bad pass)
8:53.0,D. Nowitzki makes 2-pt shot from 1 ft,2,34-37,,
8:52.0,,,34-37,,Indiana full timeout
8:52.0,,,34-37,,S. Hill enters the game for R. Stuckey
8:43.0,,,34-39,2,C. Watson makes 2-pt shot from 16 ft
8:28.0,D. Harris makes 3-pt shot from 27 ft (assist by R. Felton),3,37-39,,
8:13.0,,,37-39,,L. Allen misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by D. Harris,,37-39,,
8:03.0,A. Stoudemire makes 2-pt shot from 9 ft (assist by D. Harris),2,39-39,,
7:54.0,Personal foul by A. Aminu (drawn by D. Rudez),,39-39,,
7:54.0,,,39-39,,R. Hibbert enters the game for L. Allen
7:47.0,,,39-41,2,L. Scola makes 2-pt shot from 12 ft (assist by S. Hill)
7:32.0,A. Stoudemire makes 2-pt shot at rim,2,41-41,,
7:16.0,,,41-43,2,R. Hibbert makes 2-pt shot from 18 ft (assist by S. Hill)
6:57.0,D. Nowitzki makes 2-pt shot from 13 ft,2,43-43,,
6:43.0,,,43-43,,Turnover by S. Hill (bad pass; steal by A. Stoudemire)
6:33.0,Turnover by D. Harris (bad pass),,43-43,,
6:33.0,R. Rondo enters the game for A. Stoudemire,,43-43,,
6:33.0,T. Chandler enters the game for A. Aminu,,43-43,,
6:33.0,C. Parsons enters the game for D. Harris,,43-43,,
6:20.0,,,43-43,,C. Watson misses 3-pt shot from 29 ft
6:20.0,Defensive rebound by Team,,43-43,,
6:20.0,,,43-43,,Loose ball foul by D. Rudez (drawn by R. Felton)
6:20.0,R. Felton makes free throw 1 of 2,1,44-43,,
6:20.0,,,44-43,,G. Hill enters the game for D. Rudez
6:20.0,C. Villanueva enters the game for D. Nowitzki,,44-43,,
6:20.0,,,44-43,,C. Miles enters the game for C. Watson
6:20.0,R. Felton makes free throw 2 of 2,1,45-43,,
5:55.0,,,45-43,,R. Hibbert misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by T. Chandler,,45-43,,
5:36.0,Turnover by R. Felton (bad pass; steal by L. Scola),,45-43,,
5:32.0,,,45-45,2,L. Scola makes 2-pt shot from 1 ft
5:19.0,R. Rondo makes 2-pt shot from 11 ft,2,47-45,,
4:51.0,,,47-47,2,R. Hibbert makes 2-pt shot from 15 ft (assist by S. Hill)
4:43.0,Shooting foul by R. Hibbert (drawn by C. Parsons),,47-47,,
4:43.0,Official timeout,,47-47,,
4:43.0,,,47-47,,D. West enters the game for L. Scola
4:43.0,,,47-47,,R. Stuckey enters the game for S. Hill
4:43.0,C. Parsons makes free throw 1 of 2,1,48-47,,
4:43.0,C. Parsons misses free throw 2 of 2,,48-47,,
4:43.0,,,48-47,,Defensive rebound by D. West
4:27.0,Personal foul by C. Villanueva (drawn by D. West),,48-47,,
4:14.0,,,48-47,,R. Stuckey misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by T. Chandler,,48-47,,
4:07.0,R. Felton makes 2-pt shot from 16 ft (assist by R. Rondo),2,50-47,,
3:53.0,Violation by R. Felton (kicked ball),,50-47,,
3:43.0,,,50-47,,G. Hill misses 3-pt shot from 27 ft
3:41.0,Defensive rebound by C. Villanueva,,50-47,,
3:34.0,C. Villanueva makes 3-pt shot from 25 ft (assist by R. Rondo),3,53-47,,
3:21.0,Personal foul by R. Felton (drawn by G. Hill),,53-47,,
3:12.0,,,53-49,2,R. Stuckey makes 2-pt shot from 7 ft (assist by G. Hill)
2:50.0,R. Felton makes 2-pt shot from 12 ft,2,55-49,,
2:33.0,,,55-49,,R. Hibbert misses 2-pt shot at rim
2:31.0,Defensive rebound by R. Rondo,,55-49,,
2:22.0,R. Rondo makes 2-pt shot from 19 ft (assist by C. Villanueva),2,57-49,,
2:22.0,,,57-49,,Indiana full timeout
2:22.0,Dallas full timeout,,57-49,,
2:22.0,,,57-49,,L. Scola enters the game for R. Hibbert
2:10.0,,,57-49,,Turnover by D. West (bad pass; steal by T. Chandler)
2:05.0,R. Felton misses 2-pt shot at rim (block by G. Hill),,57-49,,
2:04.0,,,57-49,,Defensive rebound by D. West
2:00.0,,,57-51,2,C. Miles makes 2-pt shot at rim (assist by D. West)
1:59.0,Dallas full timeout,,57-51,,
1:59.0,D. Harris enters the game for R. Felton,,57-51,,
1:59.0,D. Nowitzki enters the game for C. Villanueva,,57-51,,
1:47.0,R. Rondo makes 2-pt shot from 5 ft,2,59-51,,
1:33.0,,,59-51,,G. Hill misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by T. Chandler,,59-51,,
1:22.0,D. Nowitzki misses 2-pt shot from 18 ft,,59-51,,
1:21.0,,,59-51,,Defensive rebound by D. West
1:10.0,Def 3 sec tech foul by D. Nowitzki,,59-51,,
1:10.0,,,59-51,,C. Miles misses technical free throw
1:10.0,,,59-51,,Offensive rebound by Team
0:56.0,,,59-53,2,G. Hill makes 2-pt shot from 7 ft
0:46.0,T. Chandler misses 2-pt shot from 20 ft,,59-53,,
0:45.0,,,59-53,,Defensive rebound by C. Miles
0:35.0,,,59-53,,Shooting foul by R. Rondo (drawn by L. Scola)
0:35.0,,,59-53,,L. Scola misses free throw 1 of 2
0:35.0,,,59-53,,Offensive rebound by Team
0:35.0,,,59-54,1,L. Scola makes free throw 2 of 2
0:23.0,C. Parsons makes 2-pt shot at rim (assist by R. Rondo),2,61-54,,
0:04.0,,,61-54,,Shooting foul by T. Chandler (drawn by L. Scola)
0:04.0,,,61-55,1,L. Scola makes free throw 1 of 2
0:04.0,A. Stoudemire enters the game for T. Chandler,,61-55,,
0:04.0,,,61-55,,S. Hill enters the game for C. Miles
0:04.0,,,61-55,,L. Scola misses free throw 2 of 2
0:04.0,Defensive rebound by D. Nowitzki,,61-55,,
0:00.0,A. Stoudemire misses 3-pt shot from 58 ft,,61-55,,
0:00.0,Offensive rebound by Team,,61-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,61-55,,R. Hibbert misses 2-pt shot from 10 ft
11:46.0,Defensive rebound by C. Parsons,,61-55,,
11:36.0,,,61-55,,Personal foul by S. Hill (drawn by R. Jefferson)
11:30.0,C. Parsons makes 2-pt shot at rim,2,63-55,,
11:19.0,,,63-55,,Offensive foul by D. West
11:19.0,,,63-55,,Turnover by D. West (offensive foul)
11:08.0,T. Chandler misses 2-pt shot from 19 ft,,63-55,,
11:07.0,,,63-55,,Defensive rebound by C. Miles
10:57.0,,,63-55,,Offensive charge foul by R. Hibbert
10:57.0,,,63-55,,Turnover by R. Hibbert (offensive foul)
10:45.0,D. Nowitzki misses 2-pt shot from 16 ft,,63-55,,
10:43.0,,,63-55,,Defensive rebound by G. Hill
10:26.0,,,63-57,2,R. Hibbert makes 2-pt shot from 10 ft
10:15.0,C. Parsons makes 2-pt shot from 1 ft,2,65-57,,
10:12.0,,,65-57,,Technical foul by G. Hill
10:12.0,Technical foul by T. Chandler,,65-57,,
9:53.0,,,65-59,2,S. Hill makes 2-pt shot from 1 ft (assist by D. West)
9:44.0,Turnover by R. Rondo (bad pass; steal by D. West),,65-59,,
9:38.0,Personal foul by C. Parsons (drawn by S. Hill),,65-59,,
9:33.0,,,65-61,2,C. Miles makes 2-pt shot at rim (assist by D. West)
9:16.0,C. Parsons misses 2-pt shot from 3 ft (block by R. Hibbert),,65-61,,
9:15.0,Offensive rebound by C. Parsons,,65-61,,
9:13.0,C. Parsons misses 2-pt shot from 1 ft,,65-61,,
9:11.0,Offensive rebound by R. Rondo,,65-61,,
9:07.0,C. Parsons makes 3-pt shot from 22 ft (assist by R. Jefferson),3,68-61,,
8:51.0,Personal foul by R. Jefferson (drawn by C. Miles),,68-61,,
8:43.0,,,68-63,2,C. Miles makes 2-pt shot at rim (assist by R. Hibbert)
8:25.0,Offensive charge foul by C. Parsons,,68-63,,
8:25.0,Turnover by C. Parsons (offensive foul),,68-63,,
8:18.0,,,68-63,,S. Hill misses 2-pt shot at rim (block by C. Parsons)
8:18.0,Defensive rebound by Team,,68-63,,
8:10.0,R. Rondo misses 2-pt shot from 18 ft,,68-63,,
8:09.0,,,68-63,,Defensive rebound by S. Hill
7:56.0,,,68-65,2,R. Hibbert makes 2-pt shot from 5 ft (assist by D. West)
7:40.0,Shooting foul by D. West (drawn by D. Nowitzki),,68-65,,
7:40.0,D. Nowitzki makes free throw 1 of 2,1,69-65,,
7:40.0,D. Nowitzki makes free throw 2 of 2,1,70-65,,
7:23.0,,,70-65,,Shooting foul by R. Jefferson (drawn by C. Miles)
7:23.0,,,70-66,1,C. Miles makes free throw 1 of 3
7:23.0,,,70-67,1,C. Miles makes free throw 2 of 3
7:23.0,,,70-68,1,C. Miles makes free throw 3 of 3
7:05.0,D. Nowitzki makes 2-pt shot from 18 ft,2,72-68,,
6:42.0,,,72-68,,R. Hibbert misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by C. Parsons,,72-68,,
6:31.0,R. Jefferson misses 3-pt shot from 26 ft,,72-68,,
6:29.0,,,72-68,,Defensive rebound by R. Hibbert
6:24.0,,,72-68,,Offensive charge foul by S. Hill
6:24.0,,,72-68,,Turnover by S. Hill (offensive foul)
6:24.0,,,72-68,,R. Stuckey enters the game for S. Hill
6:10.0,C. Parsons misses 2-pt shot from 17 ft,,72-68,,
6:09.0,,,72-68,,Defensive rebound by C. Miles
5:57.0,,,72-68,,Turnover by C. Miles (lost ball; steal by R. Rondo)
5:53.0,R. Jefferson makes 2-pt shot at rim (assist by R. Rondo),2,74-68,,
5:48.0,,,74-68,,Indiana full timeout
5:48.0,C. Villanueva enters the game for D. Nowitzki,,74-68,,
5:35.0,,,74-70,2,R. Hibbert makes 2-pt shot from 18 ft (assist by C. Miles)
5:19.0,D. Harris enters the game for R. Jefferson,,74-70,,
5:04.0,C. Parsons misses 2-pt shot from 10 ft,,74-70,,
5:03.0,Offensive rebound by T. Chandler,,74-70,,
5:03.0,T. Chandler misses 2-pt shot at rim,,74-70,,
5:02.0,,,74-70,,Defensive rebound by G. Hill
4:54.0,,,74-70,,Turnover by C. Miles (bad pass)
4:35.0,C. Villanueva misses 2-pt shot from 2 ft (block by D. West),,74-70,,
4:34.0,,,74-70,,Defensive rebound by R. Hibbert
4:27.0,,,74-70,,G. Hill misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by R. Rondo,,74-70,,
4:18.0,C. Parsons misses 2-pt shot from 1 ft,,74-70,,
4:17.0,,,74-70,,Defensive rebound by R. Hibbert
4:08.0,,,74-72,2,D. West makes 2-pt shot from 18 ft (assist by G. Hill)
3:52.0,C. Parsons misses 3-pt shot from 23 ft,,74-72,,
3:50.0,Offensive rebound by R. Rondo,,74-72,,
3:49.0,R. Rondo misses 2-pt shot at rim,,74-72,,
3:48.0,,,74-72,,Defensive rebound by R. Stuckey
3:40.0,,,74-72,,R. Stuckey misses 2-pt shot from 10 ft
3:39.0,Defensive rebound by C. Parsons,,74-72,,
3:25.0,,,74-72,,Personal foul by R. Hibbert (drawn by T. Chandler)
3:25.0,A. Stoudemire enters the game for T. Chandler,,74-72,,
3:25.0,,,74-72,,I. Mahinmi enters the game for R. Hibbert
3:16.0,C. Villanueva misses 3-pt shot from 26 ft,,74-72,,
3:16.0,,,74-72,,Defensive rebound by G. Hill
3:00.0,,,74-74,2,G. Hill makes 2-pt shot from 3 ft
2:55.0,Dallas full timeout,,74-74,,
2:55.0,,,74-74,,C. Watson enters the game for C. Miles
2:39.0,A. Stoudemire misses 2-pt shot from 16 ft,,74-74,,
2:38.0,,,74-74,,Defensive rebound by G. Hill
2:17.0,,,74-74,,D. West misses 2-pt shot from 20 ft
2:16.0,Defensive rebound by C. Villanueva,,74-74,,
2:05.0,Turnover by R. Rondo (bad pass; steal by D. West),,74-74,,
1:49.0,,,74-74,,D. West misses 2-pt shot from 20 ft
1:47.0,,,74-74,,Offensive rebound by I. Mahinmi
1:47.0,,,74-76,2,I. Mahinmi makes 2-pt shot at rim
1:28.0,A. Stoudemire makes 2-pt shot from 17 ft (assist by R. Rondo),2,76-76,,
1:12.0,,,76-76,,Shooting foul by A. Stoudemire (drawn by I. Mahinmi)
1:12.0,,,76-76,,I. Mahinmi misses free throw 1 of 2
1:12.0,,,76-76,,Offensive rebound by Team
1:12.0,,,76-76,,L. Scola enters the game for D. West
1:12.0,R. Felton enters the game for C. Parsons,,76-76,,
1:12.0,A. Aminu enters the game for R. Rondo,,76-76,,
1:12.0,D. Nowitzki enters the game for C. Villanueva,,76-76,,
1:12.0,,,76-76,,I. Mahinmi misses free throw 2 of 2
1:11.0,Defensive rebound by Team,,76-76,,
1:11.0,,,76-76,,D. Rudez enters the game for G. Hill
1:00.0,Turnover by R. Felton (bad pass; steal by I. Mahinmi),,76-76,,
0:46.0,,,76-76,,Offensive charge foul by C. Watson
0:46.0,,,76-76,,Turnover by C. Watson (offensive foul)
0:33.0,R. Felton misses 3-pt shot from 28 ft,,76-76,,
0:32.0,,,76-76,,Defensive rebound by Team
0:32.0,Loose ball foul by D. Nowitzki (drawn by C. Watson),,76-76,,
0:32.0,,,76-76,,C. Watson misses free throw 1 of 2
0:32.0,,,76-76,,Offensive rebound by Team
0:32.0,,,76-77,1,C. Watson makes free throw 2 of 2
0:17.0,D. Nowitzki makes 2-pt shot from 15 ft,2,78-77,,
0:15.0,Personal foul by D. Harris (drawn by I. Mahinmi),,78-77,,
0:15.0,,,78-78,1,I. Mahinmi makes free throw 1 of 2
0:15.0,,,78-78,,I. Mahinmi misses free throw 2 of 2
0:15.0,Defensive rebound by A. Aminu,,78-78,,
0:06.0,,,78-78,,Personal take foul by C. Watson (drawn by R. Felton)
0:06.0,,,78-78,,S. Hill enters the game for D. Rudez
0:05.0,,,78-78,,Personal foul by L. Scola (drawn by D. Harris)
0:05.0,D. Harris makes free throw 1 of 2,1,79-78,,
0:05.0,,,79-78,,D. Rudez enters the game for S. Hill
0:05.0,,,79-78,,D. West enters the game for I. Mahinmi
0:05.0,R. Jefferson enters the game for D. Nowitzki,,79-78,,
0:05.0,D. Harris misses free throw 2 of 2,,79-78,,
0:05.0,,,79-78,,Defensive rebound by D. West
0:00.0,,,79-78,,Turnover by D. West (bad pass; steal by A. Aminu)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Stoudemire misses 2-pt shot from 3 ft,,79-78,,
11:44.0,,,79-78,,Defensive rebound by D. Rudez
11:38.0,,,79-78,,I. Mahinmi misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by D. Nowitzki,,79-78,,
11:28.0,R. Felton misses 2-pt shot from 18 ft,,79-78,,
11:28.0,,,79-78,,Defensive rebound by Team
11:28.0,Loose ball foul by A. Stoudemire (drawn by L. Scola),,79-78,,
11:04.0,,,79-78,,Shooting foul by D. Nowitzki (drawn by C. Watson)
11:04.0,,,79-79,1,C. Watson makes free throw 1 of 2
11:04.0,,,79-80,1,C. Watson makes free throw 2 of 2
10:43.0,Turnover by D. Nowitzki (bad pass),,79-80,,
10:29.0,,,79-80,,R. Stuckey misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by D. Nowitzki,,79-80,,
10:20.0,Turnover by R. Felton (traveling),,79-80,,
10:10.0,,,79-82,2,R. Stuckey makes 2-pt shot from 1 ft
9:51.0,D. Nowitzki makes 2-pt shot from 17 ft,2,81-82,,
9:51.0,Shooting foul by L. Scola (drawn by D. Nowitzki),,81-82,,
9:51.0,R. Rondo enters the game for R. Felton,,81-82,,
9:51.0,D. Nowitzki makes free throw 1 of 1,1,82-82,,
9:37.0,,,82-82,,R. Stuckey misses 2-pt shot at rim
9:35.0,Defensive rebound by D. Nowitzki,,82-82,,
9:27.0,A. Aminu makes 2-pt shot from 2 ft (assist by R. Rondo),2,84-82,,
9:19.0,Personal foul by A. Stoudemire (drawn by C. Watson),,84-82,,
9:13.0,,,84-82,,R. Stuckey misses 2-pt shot at rim
9:12.0,Defensive rebound by D. Nowitzki,,84-82,,
8:54.0,A. Aminu misses 3-pt shot from 22 ft,,84-82,,
8:53.0,,,84-82,,Defensive rebound by C. Watson
8:47.0,,,84-82,,I. Mahinmi misses 2-pt shot at rim
8:46.0,,,84-82,,Offensive rebound by L. Scola
8:46.0,,,84-84,2,L. Scola makes 2-pt shot from 1 ft
8:37.0,D. Harris misses 2-pt shot at rim,,84-84,,
8:36.0,,,84-84,,Defensive rebound by I. Mahinmi
8:18.0,,,84-86,2,C. Watson makes 2-pt shot at rim
8:18.0,Dallas full timeout,,84-86,,
8:18.0,T. Chandler enters the game for A. Stoudemire,,84-86,,
8:18.0,C. Parsons enters the game for A. Aminu,,84-86,,
8:18.0,,,84-86,,G. Hill enters the game for D. Rudez
8:04.0,D. Harris misses 3-pt shot from 26 ft,,84-86,,
8:02.0,,,84-86,,Defensive rebound by Team
7:50.0,,,84-86,,Offensive foul by I. Mahinmi
7:50.0,,,84-86,,Turnover by I. Mahinmi (offensive foul)
7:50.0,C. Villanueva enters the game for D. Nowitzki,,84-86,,
7:33.0,C. Parsons makes 2-pt shot at rim (assist by R. Rondo),2,86-86,,
7:18.0,Personal foul by C. Villanueva (drawn by L. Scola),,86-86,,
7:07.0,,,86-86,,L. Scola misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by C. Parsons,,86-86,,
6:52.0,C. Villanueva misses 2-pt shot from 12 ft,,86-86,,
6:51.0,,,86-86,,Defensive rebound by C. Watson
6:38.0,,,86-86,,G. Hill misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by T. Chandler,,86-86,,
6:37.0,,,86-86,,Personal foul by L. Scola (drawn by T. Chandler)
6:22.0,D. Harris misses 2-pt shot from 18 ft,,86-86,,
6:22.0,,,86-86,,Defensive rebound by L. Scola
6:11.0,,,86-89,3,R. Stuckey makes 3-pt shot from 26 ft (assist by G. Hill)
6:00.0,R. Rondo makes 2-pt shot at rim,2,88-89,,
