time,Indiana,pts.away,score,pts.home,San Antonio
8:02.0,Official timeout,,34-31,,
8:02.0,,,34-31,,B. Diaw enters the game for M. Bonner
8:02.0,,,34-32,1,K. Leonard makes free throw 1 of 2
8:02.0,,,34-33,1,K. Leonard makes free throw 2 of 2
7:52.0,L. Allen makes 2-pt shot from 5 ft (assist by C. Copeland),2,36-33,,
7:52.0,Shooting foul by K. Leonard (drawn by L. Allen),,36-33,,
7:52.0,L. Allen misses free throw 1 of 1,,36-33,,
7:51.0,,,36-33,,Defensive rebound by K. Leonard
7:39.0,Personal foul by L. Allen (drawn by A. Baynes),,36-33,,
7:39.0,,,36-33,,T. Duncan enters the game for A. Baynes
7:39.0,,,36-33,,M. Belinelli enters the game for D. Green
7:39.0,R. Stuckey enters the game for C. Miles,,36-33,,
7:30.0,,,36-35,2,T. Parker makes 2-pt shot from 2 ft
7:12.0,C. Copeland misses 2-pt shot at rim,,36-35,,
7:11.0,,,36-35,,Defensive rebound by T. Parker
7:05.0,,,36-37,2,B. Diaw makes 2-pt shot from 2 ft (assist by T. Parker)
6:47.0,R. Stuckey makes 2-pt shot from 9 ft,2,38-37,,
6:29.0,,,38-37,,B. Diaw misses 3-pt shot from 24 ft
6:28.0,,,38-37,,Offensive rebound by K. Leonard
6:24.0,,,38-37,,M. Belinelli misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by C. Copeland,,38-37,,
6:15.0,A. Price makes 3-pt shot from 25 ft,3,41-37,,
5:53.0,,,41-37,,Turnover by B. Diaw (lost ball; steal by C. Copeland)
5:43.0,L. Allen makes 2-pt shot from 2 ft (assist by A. Price),2,43-37,,
5:43.0,,,43-37,,San Antonio full timeout
5:43.0,L. Scola enters the game for C. Copeland,,43-37,,
5:33.0,,,43-39,2,M. Belinelli makes 2-pt shot from 2 ft (assist by T. Duncan)
5:15.0,R. Stuckey misses 2-pt shot from 10 ft,,43-39,,
5:15.0,Offensive rebound by Team,,43-39,,
5:15.0,,,43-39,,Loose ball foul by M. Belinelli (drawn by L. Allen)
5:02.0,A. Price misses 2-pt shot from 20 ft,,43-39,,
5:01.0,,,43-39,,Defensive rebound by Team
5:01.0,,,43-39,,M. Ginobili enters the game for K. Leonard
4:42.0,,,43-39,,M. Ginobili misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by L. Scola,,43-39,,
4:19.0,D. Rudez makes 3-pt shot from 26 ft (assist by L. Scola),3,46-39,,
4:00.0,,,46-39,,M. Belinelli misses 2-pt shot from 15 ft
3:58.0,,,46-39,,Offensive rebound by M. Belinelli
3:58.0,,,46-39,,M. Belinelli misses 2-pt shot from 4 ft
3:57.0,,,46-39,,Offensive rebound by T. Duncan
3:57.0,,,46-41,2,T. Duncan makes 2-pt shot from 2 ft
3:39.0,R. Stuckey makes 2-pt shot from 19 ft,2,48-41,,
3:29.0,,,48-41,,T. Duncan misses 2-pt shot from 10 ft
3:28.0,Defensive rebound by L. Allen,,48-41,,
3:21.0,R. Stuckey makes 2-pt shot from 3 ft (assist by A. Price),2,50-41,,
3:04.0,,,50-41,,T. Parker misses 2-pt shot from 7 ft
3:02.0,Defensive rebound by L. Allen,,50-41,,
2:56.0,L. Scola misses 2-pt shot from 2 ft,,50-41,,
2:55.0,,,50-41,,Defensive rebound by M. Belinelli
2:50.0,,,50-43,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
2:41.0,Indiana full timeout,,50-43,,
2:41.0,I. Mahinmi enters the game for L. Allen,,50-43,,
2:41.0,S. Hill enters the game for D. Rudez,,50-43,,
2:41.0,,,50-43,,D. Green enters the game for M. Belinelli
2:41.0,D. Sloan enters the game for A. Price,,50-43,,
2:32.0,,,50-43,,Personal foul by D. Green (drawn by R. Stuckey)
2:30.0,Turnover by S. Hill (bad pass; steal by M. Ginobili),,50-43,,
2:24.0,,,50-43,,Shooting foul by I. Mahinmi (drawn by T. Parker)
2:24.0,,,50-44,1,T. Parker makes free throw 1 of 2
2:24.0,,,50-45,1,T. Parker makes free throw 2 of 2
2:00.0,I. Mahinmi misses 2-pt shot from 5 ft,,50-45,,
1:59.0,,,50-45,,Defensive rebound by T. Duncan
1:50.0,,,50-45,,Shooting foul by L. Scola (drawn by T. Duncan)
1:50.0,,,50-45,,T. Duncan misses free throw 1 of 2
1:50.0,,,50-45,,Offensive rebound by Team
1:50.0,,,50-46,1,T. Duncan makes free throw 2 of 2
1:27.0,R. Stuckey misses 3-pt shot from 22 ft,,50-46,,
1:25.0,Offensive rebound by L. Scola,,50-46,,
1:25.0,,,50-46,,Personal foul by D. Green (drawn by L. Scola)
1:12.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Stuckey),2,52-46,,
0:47.0,,,52-46,,M. Ginobili misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by L. Scola,,52-46,,
0:35.0,R. Stuckey makes 2-pt shot from 2 ft,2,54-46,,
0:29.0,Personal foul by I. Mahinmi (drawn by T. Parker),,54-46,,
0:29.0,,,54-47,1,T. Parker makes free throw 1 of 2
0:29.0,,,54-47,,M. Belinelli enters the game for D. Green
0:29.0,L. Allen enters the game for I. Mahinmi,,54-47,,
0:29.0,,,54-48,1,T. Parker makes free throw 2 of 2
0:25.0,Indiana full timeout,,54-48,,
0:25.0,C. Copeland enters the game for L. Allen,,54-48,,
0:07.0,C. Copeland misses 3-pt shot from 24 ft,,54-48,,
0:07.0,Offensive rebound by Team,,54-48,,
0:07.0,,,54-48,,Loose ball foul by B. Diaw (drawn by L. Scola)
0:07.0,L. Scola makes free throw 1 of 2,1,55-48,,
0:07.0,,,55-48,,M. Bonner enters the game for B. Diaw
0:07.0,L. Allen enters the game for C. Copeland,,55-48,,
0:07.0,L. Scola misses free throw 2 of 2,,55-48,,
0:06.0,,,55-48,,Defensive rebound by M. Belinelli
0:01.0,Personal foul by L. Allen (drawn by M. Ginobili),,55-48,,
0:01.0,,,55-49,1,M. Ginobili makes free throw 1 of 2
0:01.0,,,55-50,1,M. Ginobili makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,S. Hill misses 2-pt shot from 7 ft,,55-50,,
11:38.0,,,55-50,,Defensive rebound by T. Duncan
11:23.0,,,55-52,2,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw)
10:56.0,Turnover by Team (shot clock),,55-52,,
10:42.0,Personal block foul by L. Scola (drawn by T. Parker),,55-52,,
10:35.0,,,55-52,,T. Parker misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by I. Mahinmi,,55-52,,
10:25.0,Shooting foul by B. Diaw (drawn by L. Scola),,55-52,,
10:25.0,L. Scola misses free throw 1 of 2,,55-52,,
10:25.0,Offensive rebound by Team,,55-52,,
10:25.0,L. Scola makes free throw 2 of 2,1,56-52,,
10:07.0,,,56-52,,K. Leonard misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by I. Mahinmi,,56-52,,
9:45.0,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey),2,58-52,,
9:29.0,,,58-54,2,T. Parker makes 2-pt shot from 17 ft
9:16.0,L. Scola misses 2-pt shot from 18 ft,,58-54,,
9:15.0,,,58-54,,Defensive rebound by T. Parker
9:02.0,,,58-54,,Turnover by T. Parker (bad pass)
8:52.0,L. Scola misses 2-pt shot from 4 ft,,58-54,,
8:50.0,,,58-54,,Defensive rebound by K. Leonard
8:36.0,,,58-56,2,T. Parker makes 2-pt shot from 5 ft
8:17.0,Turnover by L. Scola (bad pass; steal by T. Parker),,58-56,,
8:12.0,,,58-58,2,T. Parker makes 2-pt shot from 2 ft
8:05.0,Indiana full timeout,,58-58,,
7:50.0,Turnover by L. Scola (bad pass; steal by T. Duncan),,58-58,,
7:44.0,,,58-58,,T. Parker misses 2-pt shot from 10 ft
7:43.0,Defensive rebound by R. Stuckey,,58-58,,
7:32.0,L. Scola makes 2-pt shot from 17 ft (assist by D. Sloan),2,60-58,,
7:13.0,,,60-58,,B. Diaw misses 2-pt shot from 12 ft
7:12.0,,,60-58,,Offensive rebound by T. Duncan
7:10.0,,,60-60,2,T. Duncan makes 2-pt shot from 1 ft
6:50.0,R. Stuckey makes 2-pt shot from 14 ft,2,62-60,,
6:28.0,,,62-62,2,T. Duncan makes 2-pt shot from 7 ft
6:16.0,Turnover by R. Stuckey (lost ball; steal by D. Green),,62-62,,
6:11.0,,,62-62,,Turnover by D. Green (bad pass; steal by R. Stuckey)
6:08.0,S. Hill makes 3-pt shot from 25 ft (assist by R. Stuckey),3,65-62,,
6:02.0,,,65-62,,Offensive foul by T. Duncan
6:02.0,,,65-62,,Turnover by T. Duncan (offensive foul)
6:02.0,,,65-62,,M. Ginobili enters the game for D. Green
5:43.0,Shooting foul by T. Parker (drawn by D. Sloan),,65-62,,
5:43.0,D. Sloan misses free throw 1 of 2,,65-62,,
5:43.0,Offensive rebound by Team,,65-62,,
5:43.0,D. Sloan makes free throw 2 of 2,1,66-62,,
5:28.0,,,66-62,,M. Ginobili misses 2-pt shot from 2 ft (block by I. Mahinmi)
5:27.0,Defensive rebound by L. Scola,,66-62,,
5:20.0,R. Stuckey misses 2-pt shot from 2 ft,,66-62,,
5:20.0,,,66-62,,Defensive rebound by K. Leonard
5:20.0,Personal foul by I. Mahinmi (drawn by K. Leonard),,66-62,,
5:20.0,,,66-62,,A. Baynes enters the game for T. Duncan
5:20.0,L. Allen enters the game for I. Mahinmi,,66-62,,
5:20.0,,,66-62,,M. Belinelli enters the game for T. Parker
4:57.0,,,66-62,,K. Leonard misses 2-pt shot from 10 ft
4:56.0,Defensive rebound by R. Stuckey,,66-62,,
4:42.0,S. Hill misses 2-pt shot from 16 ft,,66-62,,
4:40.0,,,66-62,,Defensive rebound by Team
4:24.0,,,66-64,2,M. Ginobili makes 2-pt shot from 6 ft
4:11.0,,,66-64,,Personal block foul by A. Baynes (drawn by R. Stuckey)
4:11.0,,,66-64,,M. Bonner enters the game for B. Diaw
4:02.0,Turnover by D. Sloan (lost ball; steal by M. Belinelli),,66-64,,
3:47.0,,,66-66,2,K. Leonard makes 2-pt shot from 21 ft (assist by M. Ginobili)
3:22.0,L. Scola misses 2-pt shot from 10 ft,,66-66,,
3:22.0,Offensive rebound by L. Allen,,66-66,,
3:22.0,,,66-66,,Personal foul by M. Ginobili (drawn by L. Allen)
3:22.0,C. Copeland enters the game for L. Scola,,66-66,,
3:11.0,L. Allen misses 2-pt shot from 9 ft,,66-66,,
3:10.0,,,66-66,,Defensive rebound by K. Leonard
3:06.0,,,66-66,,Shooting foul by C. Copeland (drawn by K. Leonard)
3:06.0,,,66-66,,K. Leonard misses free throw 1 of 2
3:06.0,,,66-66,,Offensive rebound by Team
3:06.0,,,66-66,,K. Leonard misses free throw 2 of 2
3:06.0,Defensive rebound by L. Allen,,66-66,,
2:42.0,C. Copeland makes 2-pt shot from 7 ft,2,68-66,,
2:30.0,,,68-66,,M. Ginobili misses 3-pt shot from 25 ft
2:29.0,,,68-66,,Offensive rebound by M. Bonner
2:21.0,,,68-68,2,M. Ginobili makes 2-pt shot from 15 ft
2:01.0,,,68-68,,Personal foul by K. Leonard (drawn by R. Stuckey)
2:01.0,,,68-68,,San Antonio full timeout
2:01.0,,,68-68,,D. Green enters the game for K. Leonard
2:01.0,A. Price enters the game for D. Sloan,,68-68,,
2:01.0,C. Miles enters the game for S. Hill,,68-68,,
2:01.0,R. Stuckey makes free throw 1 of 2,1,69-68,,
2:01.0,R. Stuckey makes free throw 2 of 2,1,70-68,,
1:40.0,,,70-70,2,A. Baynes makes 2-pt shot from 3 ft (assist by M. Ginobili)
1:23.0,C. Copeland makes 2-pt shot from 2 ft (assist by L. Allen),2,72-70,,
1:23.0,,,72-70,,Shooting block foul by A. Baynes (drawn by C. Copeland)
1:23.0,,,72-70,,T. Duncan enters the game for A. Baynes
1:23.0,C. Copeland makes free throw 1 of 1,1,73-70,,
1:05.0,,,73-73,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Duncan)
0:41.0,A. Price misses 2-pt shot from 12 ft,,73-73,,
0:39.0,,,73-73,,Defensive rebound by M. Ginobili
0:35.0,Shooting block foul by R. Stuckey (drawn by M. Ginobili),,73-73,,
0:35.0,,,73-74,1,M. Ginobili makes free throw 1 of 2
0:35.0,D. Rudez enters the game for R. Stuckey,,73-74,,
0:35.0,,,73-75,1,M. Ginobili makes free throw 2 of 2
0:24.0,Offensive foul by C. Copeland,,73-75,,
0:24.0,Turnover by C. Copeland (offensive foul),,73-75,,
0:04.0,,,73-77,2,M. Ginobili makes 2-pt shot at rim
0:00.0,C. Miles makes 3-pt shot from 25 ft (assist by A. Price),3,76-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-77,,Turnover by K. Leonard (traveling)
11:33.0,D. Rudez makes 3-pt shot from 24 ft (assist by A. Price),3,79-77,,
11:23.0,,,79-77,,Offensive foul by A. Baynes
11:23.0,,,79-77,,Turnover by A. Baynes (offensive foul)
11:04.0,A. Price makes 3-pt shot from 25 ft (assist by C. Miles),3,82-77,,
10:38.0,,,82-79,2,A. Baynes makes 2-pt shot from 7 ft (assist by M. Ginobili)
10:17.0,L. Allen makes 2-pt shot from 5 ft (assist by D. Rudez),2,84-79,,
10:05.0,,,84-79,,T. Parker misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by L. Allen,,84-79,,
10:02.0,Turnover by L. Allen (lost ball; steal by M. Ginobili),,84-79,,
9:59.0,,,84-81,2,M. Ginobili makes 2-pt shot at rim
9:42.0,A. Price makes 3-pt shot from 25 ft (assist by L. Allen),3,87-81,,
9:27.0,,,87-81,,K. Leonard misses 2-pt shot from 12 ft
9:26.0,Defensive rebound by A. Price,,87-81,,
9:18.0,C. Miles misses 3-pt shot from 25 ft,,87-81,,
9:17.0,,,87-81,,Defensive rebound by A. Baynes
8:59.0,,,87-83,2,M. Ginobili makes 2-pt shot from 4 ft
8:42.0,,,87-83,,Shooting block foul by A. Baynes (drawn by C. Miles)
8:42.0,Official timeout,,87-83,,
8:42.0,,,87-83,,D. Green enters the game for M. Ginobili
8:42.0,,,87-83,,B. Diaw enters the game for M. Bonner
8:42.0,C. Miles misses free throw 1 of 2,,87-83,,
8:42.0,Offensive rebound by Team,,87-83,,
8:42.0,C. Miles misses free throw 2 of 2,,87-83,,
8:42.0,,,87-83,,Defensive rebound by K. Leonard
8:19.0,,,87-85,2,A. Baynes makes 2-pt shot from 3 ft (assist by B. Diaw)
7:55.0,D. Rudez makes 2-pt shot from 14 ft,2,89-85,,
7:41.0,,,89-85,,Turnover by T. Parker (bad pass; steal by A. Price)
7:37.0,Turnover by C. Miles (bad pass; steal by K. Leonard),,89-85,,
7:29.0,,,89-85,,Shooting foul by C. Copeland (drawn by A. Baynes)
7:29.0,,,89-86,1,A. Baynes makes free throw 1 of 2
7:29.0,R. Stuckey enters the game for C. Miles,,89-86,,
7:29.0,,,89-86,,A. Baynes misses free throw 2 of 2
7:29.0,Defensive rebound by L. Allen,,89-86,,
7:16.0,R. Stuckey makes 2-pt shot from 3 ft,2,91-86,,
7:16.0,,,91-86,,Shooting block foul by A. Baynes (drawn by R. Stuckey)
7:16.0,,,91-86,,T. Duncan enters the game for A. Baynes
7:16.0,R. Stuckey misses free throw 1 of 1,,91-86,,
7:16.0,,,91-86,,Defensive rebound by B. Diaw
7:02.0,Violation by D. Rudez (kicked ball),,91-86,,
6:54.0,,,91-86,,T. Duncan misses 2-pt shot from 10 ft
6:53.0,Defensive rebound by A. Price,,91-86,,
6:42.0,R. Stuckey misses 2-pt shot from 19 ft,,91-86,,
6:41.0,,,91-86,,Defensive rebound by K. Leonard
6:34.0,,,91-88,2,K. Leonard makes 2-pt shot from 3 ft
6:11.0,L. Allen misses 2-pt shot from 14 ft,,91-88,,
6:10.0,,,91-88,,Defensive rebound by K. Leonard
5:54.0,,,91-91,3,T. Parker makes 3-pt shot from 23 ft (assist by D. Green)
5:53.0,Indiana full timeout,,91-91,,
5:53.0,,,91-91,,M. Ginobili enters the game for T. Parker
5:36.0,R. Stuckey misses 2-pt shot from 3 ft (block by D. Green),,91-91,,
5:35.0,Offensive rebound by Team,,91-91,,
5:33.0,D. Rudez misses 3-pt shot from 25 ft,,91-91,,
5:32.0,,,91-91,,Defensive rebound by K. Leonard
5:15.0,,,91-94,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green)
4:59.0,A. Price misses 3-pt shot from 23 ft,,91-94,,
4:58.0,,,91-94,,Defensive rebound by Team
4:57.0,,,91-94,,T. Parker enters the game for D. Green
4:57.0,I. Mahinmi enters the game for L. Allen,,91-94,,
4:57.0,S. Hill enters the game for D. Rudez,,91-94,,
4:41.0,,,91-96,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
4:15.0,R. Stuckey misses 2-pt shot from 16 ft,,91-96,,
4:14.0,,,91-96,,Defensive rebound by B. Diaw
3:54.0,,,91-99,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
3:54.0,Indiana full timeout,,91-99,,
3:54.0,L. Scola enters the game for C. Copeland,,91-99,,
3:54.0,D. Sloan enters the game for A. Price,,91-99,,
3:33.0,R. Stuckey misses 2-pt shot from 7 ft,,91-99,,
3:32.0,,,91-99,,Defensive rebound by M. Ginobili
3:15.0,,,91-99,,T. Parker misses 2-pt shot from 14 ft
3:14.0,Defensive rebound by R. Stuckey,,91-99,,
3:12.0,Offensive charge foul by R. Stuckey,,91-99,,
3:12.0,Turnover by R. Stuckey (offensive foul),,91-99,,
2:54.0,,,91-99,,M. Ginobili misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by S. Hill,,91-99,,
2:42.0,L. Scola makes 2-pt shot from 14 ft (assist by D. Sloan),2,93-99,,
2:31.0,,,93-99,,San Antonio full timeout
2:20.0,,,93-101,2,M. Ginobili makes 2-pt shot from 5 ft (assist by T. Duncan)
2:20.0,Shooting block foul by R. Stuckey (drawn by M. Ginobili),,93-101,,
2:20.0,,,93-102,1,M. Ginobili makes free throw 1 of 1
2:08.0,D. Sloan misses 2-pt shot from 21 ft,,93-102,,
2:07.0,,,93-102,,Defensive rebound by K. Leonard
1:52.0,,,93-104,2,K. Leonard makes 2-pt shot from 15 ft
