time,Orlando,pts.away,score,pts.home,Oklahoma City
4:20.0,,,16-15,,Shooting foul by A. Gordon (drawn by K. Perkins)
4:20.0,,,16-16,1,K. Perkins makes free throw 1 of 2
4:20.0,,,16-17,1,K. Perkins makes free throw 2 of 2
4:12.0,,,16-17,,Personal foul by R. Westbrook (drawn by E. Payton)
4:12.0,,,16-17,,R. Jackson enters the game for D. Waiters
4:01.0,Turnover by N. Vucevic (lost ball; steal by R. Westbrook),,16-17,,
3:56.0,,,16-19,2,R. Westbrook makes 2-pt shot from 1 ft
3:35.0,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Harris),2,18-19,,
3:21.0,,,18-19,,Shooting foul by E. Payton (drawn by R. Westbrook)
3:21.0,,,18-20,1,R. Westbrook makes free throw 1 of 2
3:21.0,E. Fournier enters the game for E. Payton,,18-20,,
3:21.0,W. Green enters the game for V. Oladipo,,18-20,,
3:21.0,,,18-21,1,R. Westbrook makes free throw 2 of 2
3:12.0,,,18-21,,Personal foul by A. Roberson (drawn by T. Harris)
3:11.0,Turnover by T. Harris (bad pass; steal by R. Westbrook),,18-21,,
3:09.0,,,18-23,2,R. Westbrook makes 2-pt shot at rim
2:51.0,T. Harris misses 3-pt shot from 25 ft,,18-23,,
2:50.0,Offensive rebound by A. Gordon,,18-23,,
2:46.0,A. Gordon makes 2-pt shot at rim,2,20-23,,
2:27.0,,,20-23,,R. Jackson misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by E. Fournier,,20-23,,
2:16.0,N. Vucevic makes 2-pt shot from 18 ft (assist by A. Gordon),2,22-23,,
1:56.0,,,22-25,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
1:36.0,A. Gordon misses 3-pt shot from 22 ft,,22-25,,
1:35.0,,,22-25,,Defensive rebound by R. Jackson
1:24.0,,,22-25,,R. Jackson misses 2-pt shot from 1 ft
1:22.0,,,22-25,,Offensive rebound by R. Westbrook
1:18.0,,,22-25,,R. Westbrook misses 3-pt shot from 22 ft
1:16.0,Defensive rebound by A. Gordon,,22-25,,
0:54.0,Turnover by Team (shot clock),,22-25,,
0:54.0,,,22-25,,A. Morrow enters the game for A. Roberson
0:54.0,C. Frye enters the game for T. Harris,,22-25,,
0:54.0,,,22-25,,N. Collison enters the game for S. Ibaka
0:54.0,K. O'Quinn enters the game for N. Vucevic,,22-25,,
0:49.0,Personal foul by K. O'Quinn (drawn by K. Perkins),,22-25,,
0:44.0,,,22-25,,Shooting foul by C. Frye (drawn by R. Westbrook)
0:44.0,,,22-26,1,R. Westbrook makes free throw 1 of 2
0:44.0,,,22-27,1,R. Westbrook makes free throw 2 of 2
0:30.0,Turnover by E. Fournier (lost ball; steal by R. Jackson),,22-27,,
0:28.0,Clear path foul by C. Frye,,22-27,,
0:28.0,,,22-28,1,R. Westbrook makes clear path free throw 1 of 2
0:28.0,,,22-29,1,R. Westbrook makes clear path free throw 2 of 2
0:28.0,D. Dedmon enters the game for C. Frye,,22-29,,
0:04.0,,,22-29,,R. Westbrook misses 2-pt shot from 17 ft
0:03.0,Defensive rebound by K. O'Quinn,,22-29,,
0:00.0,K. O'Quinn misses 3-pt shot from 66 ft,,22-29,,
0:00.0,,,22-29,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by E. Fournier),2,24-29,,
11:28.0,,,24-29,,Turnover by D. Waiters (discontinued dribble)
11:21.0,Turnover by W. Green (bad pass; steal by N. Collison),,24-29,,
11:07.0,,,24-29,,N. Collison misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by C. Frye,,24-29,,
10:55.0,E. Fournier misses 2-pt shot from 1 ft (block by N. Collison),,24-29,,
10:53.0,,,24-29,,Defensive rebound by K. Perkins
10:33.0,,,24-31,2,K. Perkins makes 2-pt shot from 2 ft (assist by A. Morrow)
10:08.0,W. Green misses 3-pt shot from 24 ft,,24-31,,
10:07.0,,,24-31,,Defensive rebound by D. Waiters
9:58.0,,,24-33,2,D. Waiters makes 2-pt shot from 1 ft
9:48.0,K. O'Quinn misses 2-pt shot from 6 ft,,24-33,,
9:47.0,Offensive rebound by K. O'Quinn,,24-33,,
9:46.0,K. O'Quinn misses 2-pt shot at rim,,24-33,,
9:45.0,Offensive rebound by K. O'Quinn,,24-33,,
9:45.0,K. O'Quinn makes 2-pt shot at rim,2,26-33,,
9:45.0,Shooting foul by N. Collison (drawn by K. O'Quinn),,26-33,,
9:45.0,K. O'Quinn makes free throw 1 of 1,1,27-33,,
9:25.0,,,27-33,,N. Collison misses 2-pt shot from 6 ft
9:24.0,Defensive rebound by C. Frye,,27-33,,
9:16.0,Turnover by C. Frye (offensive foul),,27-33,,
9:16.0,Offensive foul by C. Frye,,27-33,,
9:16.0,T. Harris enters the game for C. Frye,,27-33,,
9:02.0,,,27-36,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Jackson)
8:41.0,K. O'Quinn makes 2-pt shot from 15 ft,2,29-36,,
8:23.0,,,29-36,,D. Waiters misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by W. Green,,29-36,,
8:15.0,Shooting foul by K. Perkins (drawn by T. Harris),,29-36,,
8:15.0,T. Harris misses free throw 1 of 2,,29-36,,
8:15.0,Offensive rebound by Team,,29-36,,
8:15.0,T. Harris makes free throw 2 of 2,1,30-36,,
8:03.0,,,30-36,,Turnover by A. Morrow (bad pass; steal by K. O'Quinn)
7:53.0,E. Fournier misses 3-pt shot from 22 ft,,30-36,,
7:52.0,,,30-36,,Defensive rebound by N. Collison
7:44.0,,,30-36,,Shooting foul by E. Fournier (drawn by A. Morrow)
7:44.0,,,30-37,1,A. Morrow makes free throw 1 of 2
7:44.0,,,30-37,,R. Westbrook enters the game for R. Jackson
7:44.0,,,30-38,1,A. Morrow makes free throw 2 of 2
7:24.0,T. Harris makes 2-pt shot at rim (assist by M. Harkless),2,32-38,,
7:11.0,,,32-38,,A. Morrow misses 2-pt shot from 17 ft
7:11.0,,,32-38,,Offensive rebound by A. Morrow
7:10.0,,,32-38,,Shooting foul by M. Harkless (drawn by A. Morrow)
7:10.0,,,32-39,1,A. Morrow makes free throw 1 of 2
7:10.0,,,32-39,,S. Ibaka enters the game for N. Collison
7:10.0,N. Vucevic enters the game for K. O'Quinn,,32-39,,
7:10.0,,,32-40,1,A. Morrow makes free throw 2 of 2
6:59.0,M. Harkless makes 2-pt shot at rim (assist by T. Harris),2,34-40,,
6:46.0,,,34-42,2,K. Perkins makes 2-pt shot at rim (assist by R. Westbrook)
6:30.0,T. Harris makes 2-pt shot from 3 ft (assist by W. Green),2,36-42,,
6:30.0,Shooting foul by S. Ibaka (drawn by T. Harris),,36-42,,
6:30.0,,,36-42,,S. Adams enters the game for K. Perkins
6:30.0,V. Oladipo enters the game for E. Fournier,,36-42,,
6:30.0,T. Harris makes free throw 1 of 1,1,37-42,,
6:15.0,,,37-44,2,R. Westbrook makes 2-pt shot from 18 ft (assist by S. Adams)
5:54.0,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo),2,39-44,,
5:44.0,,,39-46,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:37.0,Orlando full timeout,,39-46,,
5:24.0,T. Harris misses 2-pt shot from 23 ft,,39-46,,
5:23.0,Offensive rebound by N. Vucevic,,39-46,,
5:20.0,V. Oladipo makes 3-pt shot from 24 ft (assist by W. Green),3,42-46,,
5:04.0,,,42-49,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:42.0,V. Oladipo misses 3-pt shot from 24 ft,,42-49,,
4:41.0,,,42-49,,Defensive rebound by S. Ibaka
4:35.0,A. Gordon enters the game for M. Harkless,,42-49,,
4:35.0,E. Payton enters the game for W. Green,,42-49,,
4:20.0,,,42-51,2,A. Morrow makes 2-pt shot from 18 ft (assist by D. Waiters)
4:03.0,N. Vucevic misses 2-pt shot from 5 ft,,42-51,,
4:01.0,Offensive rebound by E. Payton,,42-51,,
4:01.0,E. Payton misses 2-pt shot from 1 ft,,42-51,,
4:00.0,Offensive rebound by E. Payton,,42-51,,
3:53.0,T. Harris makes 2-pt shot from 4 ft (assist by E. Payton),2,44-51,,
3:39.0,,,44-53,2,S. Adams makes 2-pt shot from 6 ft
3:15.0,E. Payton misses 2-pt shot from 9 ft,,44-53,,
3:13.0,,,44-53,,Defensive rebound by S. Ibaka
3:08.0,,,44-53,,Shooting foul by V. Oladipo (drawn by R. Westbrook)
3:08.0,,,44-54,1,R. Westbrook makes free throw 1 of 2
3:08.0,,,44-54,,A. Roberson enters the game for A. Morrow
3:08.0,,,44-55,1,R. Westbrook makes free throw 2 of 2
2:47.0,V. Oladipo misses 2-pt shot from 3 ft,,44-55,,
2:46.0,Offensive rebound by T. Harris,,44-55,,
2:46.0,T. Harris makes 2-pt shot from 1 ft,2,46-55,,
2:31.0,,,46-55,,S. Ibaka misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by V. Oladipo,,46-55,,
2:20.0,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo),2,48-55,,
2:11.0,,,48-55,,Oklahoma City full timeout
1:57.0,,,48-55,,D. Waiters misses 3-pt shot from 22 ft
1:56.0,Defensive rebound by Team,,48-55,,
1:48.0,,,48-55,,Personal foul by S. Adams (drawn by N. Vucevic)
1:39.0,T. Harris misses 2-pt shot at rim (block by S. Ibaka),,48-55,,
1:38.0,Offensive rebound by Team,,48-55,,
1:36.0,N. Vucevic misses 2-pt shot from 17 ft,,48-55,,
1:35.0,,,48-55,,Defensive rebound by R. Westbrook
1:25.0,Personal foul by N. Vucevic (drawn by S. Adams),,48-55,,
1:17.0,,,48-57,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
0:58.0,E. Payton misses 2-pt shot from 4 ft,,48-57,,
0:57.0,,,48-57,,Defensive rebound by S. Ibaka
0:46.0,,,48-59,2,S. Ibaka makes 2-pt shot from 12 ft (assist by R. Westbrook)
0:42.0,Orlando full timeout,,48-59,,
0:32.0,,,48-59,,Personal foul by S. Ibaka (drawn by A. Gordon)
0:32.0,A. Gordon makes free throw 1 of 2,1,49-59,,
0:32.0,A. Gordon makes free throw 2 of 2,1,50-59,,
0:11.0,,,50-61,2,D. Waiters makes 2-pt shot from 19 ft (assist by S. Adams)
0:00.0,Turnover by A. Gordon (bad pass; steal by A. Roberson),,50-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,V. Oladipo misses 2-pt shot from 19 ft,,50-61,,
11:42.0,,,50-61,,Defensive rebound by R. Westbrook
11:27.0,,,50-61,,Shooting foul by N. Vucevic (drawn by S. Adams)
11:27.0,,,50-62,1,S. Adams makes free throw 1 of 2
11:27.0,,,50-63,1,S. Adams makes free throw 2 of 2
11:08.0,N. Vucevic misses 2-pt shot from 5 ft,,50-63,,
11:07.0,,,50-63,,Defensive rebound by R. Westbrook
11:04.0,,,50-63,,Turnover by R. Westbrook (bad pass)
10:53.0,V. Oladipo misses 2-pt shot from 4 ft,,50-63,,
10:52.0,Offensive rebound by Team,,50-63,,
10:44.0,T. Harris misses 3-pt shot from 22 ft,,50-63,,
10:43.0,,,50-63,,Defensive rebound by S. Adams
10:25.0,,,50-63,,R. Westbrook misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by V. Oladipo,,50-63,,
10:12.0,A. Gordon misses 2-pt shot from 3 ft,,50-63,,
10:11.0,Offensive rebound by E. Payton,,50-63,,
10:09.0,T. Harris misses 3-pt shot from 22 ft,,50-63,,
10:07.0,,,50-63,,Defensive rebound by A. Roberson
10:00.0,,,50-63,,Shooting foul by N. Vucevic (drawn by D. Waiters)
10:00.0,,,50-63,,D. Waiters misses free throw 1 of 2
10:00.0,,,50-63,,Offensive rebound by Team
10:00.0,,,50-63,,D. Waiters misses free throw 2 of 2
10:00.0,Defensive rebound by T. Harris,,50-63,,
9:39.0,N. Vucevic misses 2-pt shot from 4 ft,,50-63,,
9:38.0,,,50-63,,Defensive rebound by S. Ibaka
9:29.0,,,50-63,,A. Roberson misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by V. Oladipo,,50-63,,
9:22.0,Turnover by V. Oladipo (lost ball),,50-63,,
9:16.0,,,50-65,2,D. Waiters makes 2-pt shot from 3 ft (assist by R. Westbrook)
9:15.0,Orlando full timeout,,50-65,,
8:58.0,N. Vucevic misses 2-pt shot at rim (block by S. Ibaka),,50-65,,
8:57.0,,,50-65,,Defensive rebound by D. Waiters
8:47.0,,,50-68,3,D. Waiters makes 3-pt shot from 24 ft (assist by S. Ibaka)
8:32.0,T. Harris misses 2-pt shot from 7 ft,,50-68,,
8:32.0,Offensive rebound by Team,,50-68,,
8:32.0,,,50-68,,Loose ball foul by S. Adams (drawn by N. Vucevic)
8:15.0,Turnover by E. Payton (bad pass; steal by R. Westbrook),,50-68,,
8:10.0,,,50-70,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:56.0,T. Harris misses 2-pt shot from 3 ft,,50-70,,
7:55.0,,,50-70,,Defensive rebound by R. Westbrook
7:49.0,,,50-70,,S. Ibaka misses 3-pt shot from 24 ft
7:48.0,,,50-70,,Offensive rebound by S. Adams
7:41.0,,,50-70,,D. Waiters misses 3-pt shot from 23 ft
7:40.0,Defensive rebound by A. Gordon,,50-70,,
7:34.0,,,50-70,,Personal foul by A. Roberson (drawn by V. Oladipo)
7:34.0,K. O'Quinn enters the game for N. Vucevic,,50-70,,
7:21.0,Turnover by A. Gordon (lost ball; steal by S. Ibaka),,50-70,,
6:57.0,,,50-70,,S. Ibaka misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by A. Gordon,,50-70,,
6:41.0,Shooting foul by S. Adams (drawn by V. Oladipo),,50-70,,
6:41.0,V. Oladipo makes free throw 1 of 2,1,51-70,,
6:41.0,E. Fournier enters the game for A. Gordon,,51-70,,
6:41.0,V. Oladipo makes free throw 2 of 2,1,52-70,,
6:28.0,,,52-70,,Turnover by D. Waiters (bad pass; steal by K. O'Quinn)
6:24.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,54-70,,
6:11.0,Personal foul by K. O'Quinn (drawn by S. Ibaka),,54-70,,
6:01.0,,,54-73,3,R. Westbrook makes 3-pt shot from 24 ft
5:42.0,E. Fournier misses 3-pt shot from 24 ft,,54-73,,
5:41.0,,,54-73,,Defensive rebound by R. Westbrook
5:29.0,,,54-73,,A. Roberson misses 3-pt shot from 22 ft
5:28.0,Defensive rebound by K. O'Quinn,,54-73,,
5:20.0,V. Oladipo makes 2-pt shot from 1 ft,2,56-73,,
4:55.0,,,56-75,2,D. Waiters makes 2-pt shot from 18 ft
4:28.0,E. Payton misses 2-pt shot at rim,,56-75,,
4:27.0,,,56-75,,Defensive rebound by S. Ibaka
4:23.0,Personal foul by E. Payton (drawn by R. Westbrook),,56-75,,
4:23.0,,,56-75,,A. Morrow enters the game for A. Roberson
4:23.0,W. Green enters the game for E. Payton,,56-75,,
4:10.0,,,56-75,,R. Westbrook misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by V. Oladipo,,56-75,,
4:04.0,Turnover by V. Oladipo (bad pass; steal by D. Waiters),,56-75,,
4:04.0,Personal foul by V. Oladipo (drawn by D. Waiters),,56-75,,
4:04.0,,,56-76,1,D. Waiters makes free throw 1 of 2
4:04.0,,,56-77,1,D. Waiters makes free throw 2 of 2
3:48.0,W. Green makes 2-pt shot from 4 ft (assist by E. Fournier),2,58-77,,
3:27.0,,,58-77,,S. Adams misses 2-pt shot at rim
3:26.0,Defensive rebound by T. Harris,,58-77,,
3:16.0,K. O'Quinn makes 2-pt shot at rim (assist by V. Oladipo),2,60-77,,
2:56.0,,,60-77,,Offensive foul by S. Adams
2:56.0,,,60-77,,Turnover by S. Adams (offensive foul)
2:56.0,,,60-77,,Oklahoma City full timeout
2:56.0,,,60-77,,R. Jackson enters the game for D. Waiters
2:56.0,,,60-77,,K. Perkins enters the game for S. Adams
2:44.0,T. Harris misses 2-pt shot from 4 ft,,60-77,,
2:43.0,,,60-77,,Defensive rebound by R. Westbrook
2:37.0,,,60-79,2,R. Westbrook makes 2-pt shot at rim
2:18.0,Turnover by W. Green (bad pass; steal by S. Ibaka),,60-79,,
2:09.0,,,60-82,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Perkins)
1:52.0,T. Harris misses 3-pt shot from 24 ft,,60-82,,
1:51.0,Offensive rebound by K. O'Quinn,,60-82,,
1:43.0,V. Oladipo makes 3-pt shot from 24 ft (assist by W. Green),3,63-82,,
1:20.0,,,63-82,,Turnover by K. Perkins (lost ball; steal by K. O'Quinn)
1:18.0,,,63-82,,Clear path foul by K. Perkins
1:18.0,K. O'Quinn misses clear path free throw 1 of 2,,63-82,,
1:18.0,Offensive rebound by Team,,63-82,,
1:18.0,K. O'Quinn misses clear path free throw 2 of 2,,63-82,,
1:18.0,Offensive rebound by Team,,63-82,,
1:12.0,E. Fournier makes 2-pt shot at rim,2,65-82,,
0:47.0,,,65-82,,R. Westbrook misses 2-pt shot from 3 ft
0:46.0,,,65-82,,Offensive rebound by S. Ibaka
0:46.0,,,65-82,,S. Ibaka misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by K. O'Quinn,,65-82,,
0:28.0,K. O'Quinn misses 2-pt shot from 11 ft,,65-82,,
0:27.0,,,65-82,,Defensive rebound by R. Westbrook
0:20.0,,,65-82,,S. Ibaka misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by K. O'Quinn,,65-82,,
0:02.0,V. Oladipo makes 2-pt shot from 1 ft,2,67-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,67-82,,A. Morrow misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by W. Green,,67-82,,
11:23.0,W. Green misses 3-pt shot from 24 ft,,67-82,,
11:22.0,,,67-82,,Defensive rebound by R. Jackson
11:13.0,,,67-82,,R. Jackson misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by W. Green,,67-82,,
10:58.0,Shooting foul by R. Jackson (drawn by W. Green),,67-82,,
10:58.0,W. Green makes free throw 1 of 2,1,68-82,,
10:58.0,W. Green makes free throw 2 of 2,1,69-82,,
10:43.0,,,69-82,,R. Jackson misses 2-pt shot from 1 ft
10:42.0,,,69-82,,Offensive rebound by N. Collison
10:42.0,,,69-82,,N. Collison misses 2-pt shot from 2 ft
10:41.0,,,69-82,,Offensive rebound by Team
10:41.0,Loose ball foul by E. Fournier (drawn by K. Perkins),,69-82,,
10:41.0,N. Vucevic enters the game for K. O'Quinn,,69-82,,
10:32.0,,,69-82,,Turnover by K. Perkins (3 sec)
10:14.0,E. Fournier misses 3-pt shot from 25 ft,,69-82,,
10:14.0,,,69-82,,Defensive rebound by K. Perkins
10:03.0,,,69-82,,Turnover by A. Morrow (lost ball)
9:49.0,C. Frye misses 2-pt shot from 18 ft,,69-82,,
9:47.0,,,69-82,,Defensive rebound by R. Jackson
9:35.0,,,69-84,2,D. Waiters makes 2-pt shot from 20 ft (assist by K. Perkins)
9:12.0,C. Frye misses 3-pt shot from 24 ft,,69-84,,
9:11.0,,,69-84,,Defensive rebound by R. Jackson
9:00.0,,,69-84,,N. Collison misses 2-pt shot from 20 ft
8:59.0,Defensive rebound by N. Vucevic,,69-84,,
8:47.0,N. Vucevic makes 2-pt shot from 11 ft (assist by A. Gordon),2,71-84,,
8:27.0,,,71-84,,K. Perkins misses 2-pt shot from 1 ft
8:26.0,,,71-84,,Offensive rebound by N. Collison
8:25.0,,,71-86,2,N. Collison makes 2-pt shot from 2 ft
8:15.0,Shooting foul by K. Perkins (drawn by N. Vucevic),,71-86,,
8:15.0,T. Harris enters the game for A. Gordon,,71-86,,
8:15.0,K. O'Quinn enters the game for C. Frye,,71-86,,
8:15.0,N. Vucevic makes free throw 1 of 2,1,72-86,,
8:15.0,N. Vucevic makes free throw 2 of 2,1,73-86,,
8:00.0,,,73-86,,Turnover by N. Collison (offensive foul)
8:00.0,,,73-86,,Offensive charge foul by N. Collison
7:40.0,N. Vucevic misses 2-pt shot from 7 ft,,73-86,,
7:39.0,,,73-86,,Defensive rebound by Team
7:29.0,,,73-86,,N. Collison misses 2-pt shot from 20 ft
7:26.0,,,73-86,,Offensive rebound by D. Waiters
7:15.0,,,73-88,2,K. Perkins makes 2-pt shot from 11 ft (assist by R. Jackson)
6:49.0,K. O'Quinn misses 3-pt shot from 24 ft,,73-88,,
6:48.0,,,73-88,,Defensive rebound by K. Perkins
6:39.0,,,73-91,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Jackson)
6:37.0,Orlando full timeout,,73-91,,
6:37.0,V. Oladipo enters the game for E. Fournier,,73-91,,
6:37.0,,,73-91,,R. Westbrook enters the game for R. Jackson
6:37.0,,,73-91,,S. Ibaka enters the game for N. Collison
6:28.0,Offensive foul by N. Vucevic,,73-91,,
6:28.0,Turnover by N. Vucevic (offensive foul),,73-91,,
6:16.0,,,73-91,,Shooting foul by V. Oladipo (drawn by D. Waiters)
6:16.0,,,73-92,1,D. Waiters makes free throw 1 of 2
6:16.0,,,73-93,1,D. Waiters makes free throw 2 of 2
5:57.0,V. Oladipo misses 2-pt shot from 6 ft,,73-93,,
5:56.0,Offensive rebound by N. Vucevic,,73-93,,
5:56.0,N. Vucevic makes 2-pt shot from 2 ft,2,75-93,,
5:44.0,,,75-93,,Offensive foul by S. Ibaka
5:44.0,,,75-93,,Turnover by S. Ibaka (offensive foul)
5:23.0,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic),2,77-93,,
5:10.0,,,77-93,,Shooting foul by N. Vucevic (drawn by S. Ibaka)
5:10.0,C. Frye enters the game for N. Vucevic,,77-93,,
5:10.0,,,77-94,1,S. Ibaka makes free throw 1 of 2
5:10.0,,,77-95,1,S. Ibaka makes free throw 2 of 2
5:00.0,Shooting foul by K. Perkins (drawn by V. Oladipo),,77-95,,
5:00.0,V. Oladipo makes free throw 1 of 2,1,78-95,,
5:00.0,V. Oladipo makes free throw 2 of 2,1,79-95,,
4:45.0,,,79-95,,Shooting foul by K. O'Quinn (drawn by K. Perkins)
4:45.0,,,79-95,,K. Perkins misses free throw 1 of 2
4:45.0,,,79-95,,Offensive rebound by Team
4:45.0,,,79-95,,K. Perkins misses free throw 2 of 2
4:44.0,Defensive rebound by K. O'Quinn,,79-95,,
4:28.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by T. Harris),2,81-95,,
4:28.0,,,81-95,,Oklahoma City full timeout
4:28.0,,,81-95,,S. Adams enters the game for K. Perkins
4:12.0,,,81-98,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:45.0,T. Harris makes 2-pt shot from 2 ft (assist by C. Frye),2,83-98,,
3:28.0,,,83-100,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:14.0,C. Frye makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,86-100,,
2:57.0,,,86-100,,Turnover by R. Westbrook (bad pass; steal by W. Green)
2:39.0,W. Green misses 2-pt shot from 4 ft,,86-100,,
2:38.0,Offensive rebound by Team,,86-100,,
2:38.0,,,86-100,,Personal foul by S. Adams (drawn by K. O'Quinn)
