time,Toronto,pts.away,score,pts.home,Cleveland
7:02.0,Defensive rebound by K. Lowry,,38-41,,
6:58.0,T. Ross misses 3-pt shot from 25 ft,,38-41,,
6:52.0,,,38-41,,Defensive rebound by K. Irving
6:49.0,,,38-41,,K. Love misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by K. Lowry,,38-41,,
6:41.0,T. Ross misses 3-pt shot from 23 ft,,38-41,,
6:40.0,,,38-41,,Defensive rebound by M. Miller
6:31.0,,,38-43,2,L. James makes 2-pt shot at rim (assist by K. Irving)
6:09.0,T. Ross makes 2-pt shot from 15 ft,2,40-43,,
5:58.0,,,40-45,2,K. Irving makes 2-pt shot at rim
5:49.0,Shooting foul by A. Varejao (drawn by K. Lowry),,40-45,,
5:49.0,Official timeout,,40-45,,
5:49.0,J. Valanciunas enters the game for P. Patterson,,40-45,,
5:49.0,,,40-45,,S. Marion enters the game for M. Miller
5:49.0,K. Lowry makes free throw 1 of 2,1,41-45,,
5:49.0,K. Lowry makes free throw 2 of 2,1,42-45,,
5:27.0,Def 3 sec tech foul by J. Valanciunas,,42-45,,
5:27.0,,,42-46,1,K. Irving makes technical free throw
5:15.0,,,42-48,2,L. James makes 2-pt shot from 3 ft
5:01.0,Shooting foul by K. Love (drawn by A. Johnson),,42-48,,
5:01.0,A. Johnson makes free throw 1 of 2,1,43-48,,
5:01.0,A. Johnson misses free throw 2 of 2,,43-48,,
5:01.0,,,43-48,,Defensive rebound by S. Marion
4:35.0,,,43-50,2,K. Irving makes 2-pt shot from 7 ft (assist by L. James)
4:24.0,K. Lowry makes 2-pt shot from 1 ft,2,45-50,,
4:08.0,,,45-53,3,K. Irving makes 3-pt shot from 24 ft (assist by S. Marion)
3:57.0,Jump ball: K. Irving vs. K. Lowry (D. DeRozan gains possession),,,,Jump ball: K. Irving vs. K. Lowry (D. DeRozan gains possession)
3:47.0,D. DeRozan makes 2-pt shot from 4 ft,2,47-53,,
3:36.0,,,47-53,,Turnover by L. James (bad pass)
3:27.0,,,47-53,,Personal foul by K. Irving (drawn by K. Lowry)
3:27.0,K. Lowry makes free throw 1 of 2,1,48-53,,
3:27.0,K. Lowry makes free throw 2 of 2,1,49-53,,
3:09.0,,,49-53,,L. James misses 3-pt shot from 23 ft
3:08.0,Defensive rebound by J. Valanciunas,,49-53,,
3:00.0,Toronto full timeout,,49-53,,
2:50.0,D. DeRozan misses 2-pt shot from 16 ft (block by S. Marion),,49-53,,
2:47.0,,,49-53,,Defensive rebound by K. Love
2:44.0,,,49-53,,Shooting foul by J. Valanciunas (drawn by A. Varejao)
2:44.0,,,49-53,,A. Varejao misses free throw 1 of 2
2:44.0,,,49-53,,Offensive rebound by Team
2:44.0,,,49-53,,A. Varejao misses free throw 2 of 2
2:43.0,Defensive rebound by J. Valanciunas,,49-53,,
2:33.0,L. Williams enters the game for T. Ross,,49-53,,
2:19.0,D. DeRozan misses 2-pt shot from 13 ft,,49-53,,
2:18.0,,,49-53,,Defensive rebound by K. Love
2:13.0,,,49-53,,Offensive charge foul by L. James
2:13.0,,,49-53,,Turnover by L. James (offensive foul)
2:02.0,D. DeRozan misses 2-pt shot from 1 ft,,49-53,,
2:01.0,,,49-53,,Defensive rebound by S. Marion
1:54.0,,,49-53,,Turnover by K. Irving (bad pass; steal by D. DeRozan)
1:53.0,Turnover by D. DeRozan (bad pass; steal by K. Irving),,49-53,,
1:53.0,,,49-53,,Turnover by K. Irving (bad pass)
1:40.0,L. Williams makes 3-pt shot from 23 ft (assist by D. DeRozan),3,52-53,,
1:14.0,,,52-53,,K. Love misses 3-pt shot from 25 ft
1:14.0,,,52-53,,Offensive rebound by Team
1:14.0,,,52-53,,Turnover by Team (shot clock)
1:14.0,,,52-53,,T. Thompson enters the game for A. Varejao
1:04.0,,,52-53,,Personal foul by K. Irving (drawn by K. Lowry)
1:04.0,K. Lowry misses free throw 1 of 2,,52-53,,
1:04.0,Offensive rebound by Team,,52-53,,
1:04.0,K. Lowry makes free throw 2 of 2,1,53-53,,
0:40.0,,,53-53,,T. Thompson misses 2-pt shot from 9 ft
0:38.0,,,53-53,,Offensive rebound by S. Marion
0:18.0,,,53-53,,Shooting foul by D. DeRozan (drawn by L. James)
0:18.0,,,53-53,,L. James misses free throw 1 of 2
0:18.0,,,53-53,,Offensive rebound by Team
0:18.0,,,53-53,,W. Cherry enters the game for K. Irving
0:18.0,P. Patterson enters the game for J. Valanciunas,,53-53,,
0:18.0,,,53-54,1,L. James makes free throw 2 of 2
0:00.0,L. Williams makes 3-pt shot from 26 ft,3,56-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,56-54,,S. Marion misses 2-pt shot from 15 ft
11:36.0,,,56-54,,Offensive rebound by A. Varejao
11:36.0,,,56-54,,A. Varejao misses 2-pt shot from 1 ft (block by A. Johnson)
11:34.0,Defensive rebound by T. Ross,,56-54,,
11:17.0,K. Lowry misses 2-pt shot from 18 ft,,56-54,,
11:16.0,,,56-54,,Defensive rebound by Team
10:53.0,,,56-54,,L. James misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by Team,,56-54,,
10:52.0,,,56-54,,Personal foul by A. Varejao (drawn by J. Valanciunas)
10:46.0,Offensive foul by A. Johnson,,56-54,,
10:46.0,Turnover by A. Johnson (offensive foul),,56-54,,
10:35.0,Shooting block foul by D. DeRozan (drawn by A. Varejao),,56-54,,
10:35.0,,,56-54,,A. Varejao misses free throw 1 of 2
10:35.0,,,56-54,,Offensive rebound by Team
10:35.0,,,56-55,1,A. Varejao makes free throw 2 of 2
10:22.0,D. DeRozan misses 2-pt shot from 15 ft,,56-55,,
10:20.0,,,56-55,,Defensive rebound by K. Love
10:17.0,,,56-57,2,S. Marion makes 2-pt shot at rim (assist by K. Love)
9:57.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,58-57,,
9:44.0,,,58-59,2,K. Love makes 2-pt shot from 4 ft (assist by L. James)
9:31.0,T. Ross misses 2-pt shot from 13 ft,,58-59,,
9:30.0,,,58-59,,Defensive rebound by A. Varejao
9:12.0,,,58-61,2,K. Love makes 2-pt shot at rim (assist by L. James)
8:56.0,A. Johnson makes 3-pt shot from 24 ft (assist by K. Lowry),3,61-61,,
8:48.0,,,61-61,,L. James misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by J. Valanciunas,,61-61,,
8:29.0,K. Lowry misses 2-pt shot from 1 ft,,61-61,,
8:28.0,,,61-61,,Defensive rebound by Team
8:12.0,,,61-63,2,K. Irving makes 2-pt shot from 15 ft (assist by L. James)
7:50.0,T. Ross misses 2-pt shot from 19 ft,,61-63,,
7:49.0,,,61-63,,Defensive rebound by A. Varejao
7:38.0,,,61-63,,A. Varejao misses 2-pt shot from 14 ft
7:37.0,Defensive rebound by D. DeRozan,,61-63,,
7:23.0,A. Johnson misses 3-pt shot from 22 ft,,61-63,,
7:23.0,,,61-63,,Defensive rebound by Team
7:23.0,Loose ball foul by J. Valanciunas (drawn by A. Varejao),,61-63,,
7:07.0,Personal foul by A. Johnson (drawn by K. Love),,61-63,,
7:04.0,,,61-65,2,K. Love makes 2-pt shot at rim (assist by A. Varejao)
6:43.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,63-65,,
6:43.0,Shooting foul by K. Love (drawn by D. DeRozan),,63-65,,
6:43.0,D. DeRozan makes free throw 1 of 1,1,64-65,,
6:27.0,,,64-65,,K. Love misses 2-pt shot from 5 ft
6:24.0,Defensive rebound by A. Johnson,,64-65,,
6:13.0,Shooting foul by K. Love (drawn by K. Lowry),,64-65,,
6:13.0,K. Lowry makes free throw 1 of 2,1,65-65,,
6:13.0,L. Williams enters the game for T. Ross,,65-65,,
6:13.0,K. Lowry makes free throw 2 of 2,1,66-65,,
5:58.0,,,66-65,,Turnover by L. James (bad pass; steal by L. Williams)
5:53.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,68-65,,
5:41.0,,,68-65,,L. James misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by A. Johnson,,68-65,,
5:31.0,A. Johnson misses 3-pt shot from 25 ft,,68-65,,
5:30.0,Offensive rebound by J. Valanciunas,,68-65,,
5:29.0,J. Valanciunas makes 2-pt shot at rim,2,70-65,,
5:29.0,,,70-65,,Cleveland full timeout
5:29.0,,,70-65,,D. Waiters enters the game for S. Marion
5:07.0,,,70-65,,L. James misses 3-pt shot from 26 ft
5:05.0,,,70-65,,Offensive rebound by A. Varejao
5:00.0,,,70-65,,K. Irving misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by L. Williams,,70-65,,
4:43.0,D. DeRozan makes 2-pt shot from 6 ft (assist by K. Lowry),2,72-65,,
4:20.0,,,72-65,,K. Love misses 2-pt shot from 17 ft
4:19.0,Defensive rebound by D. DeRozan,,72-65,,
4:01.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,74-65,,
3:42.0,,,74-65,,K. Love misses 2-pt shot from 1 ft (block by J. Valanciunas)
3:39.0,Defensive rebound by K. Lowry,,74-65,,
3:33.0,K. Lowry makes 2-pt shot at rim,2,76-65,,
3:18.0,,,76-67,2,A. Varejao makes 2-pt shot from 7 ft (assist by L. James)
3:05.0,L. Williams makes 2-pt shot at rim (assist by K. Lowry),2,78-67,,
2:49.0,,,78-67,,D. Waiters misses 2-pt shot from 18 ft
2:48.0,Defensive rebound by D. DeRozan,,78-67,,
2:45.0,L. Williams misses 2-pt shot from 1 ft (block by L. James),,78-67,,
2:43.0,,,78-67,,Defensive rebound by D. Waiters
2:43.0,,,78-67,,Turnover by D. Waiters (step out of bounds)
2:43.0,Toronto full timeout,,78-67,,
2:43.0,,,78-67,,J. Harris enters the game for A. Varejao
2:43.0,,,78-67,,S. Marion enters the game for K. Love
2:43.0,,,78-67,,T. Thompson enters the game for K. Irving
2:43.0,P. Patterson enters the game for A. Johnson,,78-67,,
2:35.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,81-67,,
2:10.0,,,81-67,,Offensive foul by T. Thompson
2:10.0,,,81-67,,Turnover by T. Thompson (offensive foul)
1:59.0,D. DeRozan misses 2-pt shot from 16 ft,,81-67,,
1:56.0,Offensive rebound by L. Williams,,81-67,,
1:45.0,L. Williams makes 2-pt shot from 18 ft,2,83-67,,
1:31.0,,,83-67,,S. Marion misses 2-pt shot from 1 ft
1:30.0,,,83-67,,Offensive rebound by T. Thompson
1:30.0,,,83-67,,T. Thompson misses 2-pt shot at rim
1:30.0,,,83-67,,Offensive rebound by S. Marion
1:30.0,,,83-67,,S. Marion misses 2-pt shot from 1 ft (block by J. Valanciunas)
1:30.0,Defensive rebound by Team,,83-67,,
1:30.0,Jump ball: S. Marion vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: S. Marion vs. J. Valanciunas (K. Lowry gains possession)
1:23.0,K. Lowry misses 3-pt shot from 27 ft,,83-67,,
1:23.0,,,83-67,,Defensive rebound by Team
1:23.0,Loose ball foul by J. Valanciunas (drawn by T. Thompson),,83-67,,
1:23.0,Violation by Team (delay of game),,83-67,,
1:08.0,,,83-67,,D. Waiters misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Valanciunas,,83-67,,
0:53.0,L. Williams makes 2-pt shot from 17 ft (assist by P. Patterson),2,85-67,,
0:44.0,,,85-69,2,L. James makes 2-pt shot from 7 ft
0:29.0,K. Lowry misses 3-pt shot from 22 ft,,85-69,,
0:27.0,Offensive rebound by P. Patterson,,85-69,,
0:05.0,K. Lowry misses 2-pt shot from 1 ft,,85-69,,
0:04.0,,,85-69,,Defensive rebound by J. Harris
0:01.0,,,85-69,,D. Waiters misses 2-pt shot at rim
0:00.0,,,85-69,,Offensive rebound by T. Thompson
0:00.0,,,85-71,2,T. Thompson makes 2-pt shot at rim
0:00.0,L. Williams misses 3-pt shot from 67 ft,,85-71,,
0:00.0,Offensive rebound by Team,,85-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Williams misses 3-pt shot from 29 ft,,85-71,,
11:46.0,,,85-71,,Defensive rebound by A. Varejao
11:38.0,,,85-71,,Turnover by L. James (bad pass; steal by L. Williams)
11:34.0,Shooting foul by T. Thompson (drawn by D. DeRozan),,85-71,,
11:34.0,D. DeRozan makes free throw 1 of 2,1,86-71,,
11:34.0,D. DeRozan makes free throw 2 of 2,1,87-71,,
11:17.0,,,87-71,,Turnover by A. Varejao (bad pass; steal by C. Hayes)
11:05.0,D. DeRozan makes 2-pt shot from 17 ft (assist by L. Williams),2,89-71,,
10:52.0,,,89-73,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
10:25.0,G. Vasquez misses 2-pt shot from 8 ft,,89-73,,
10:24.0,,,89-73,,Defensive rebound by J. Harris
10:10.0,,,89-73,,A. Varejao misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by P. Patterson,,89-73,,
10:04.0,L. Williams misses 2-pt shot from 6 ft (block by D. Waiters),,89-73,,
10:04.0,Offensive rebound by Team,,89-73,,
10:04.0,,,89-73,,K. Irving enters the game for D. Waiters
9:53.0,P. Patterson misses 2-pt shot from 9 ft,,89-73,,
9:51.0,,,89-73,,Defensive rebound by A. Varejao
9:40.0,,,89-73,,K. Irving misses 2-pt shot from 1 ft
9:39.0,,,89-73,,Offensive rebound by T. Thompson
9:39.0,,,89-73,,T. Thompson misses 2-pt shot at rim
9:39.0,Defensive rebound by Team,,89-73,,
9:39.0,,,89-73,,Loose ball foul by K. Irving (drawn by C. Hayes)
9:20.0,D. DeRozan makes 2-pt shot from 13 ft (assist by C. Hayes),2,91-73,,
9:09.0,,,91-73,,Shooting foul by L. Williams (drawn by A. Varejao)
9:09.0,,,91-74,1,A. Varejao makes free throw 1 of 2
9:09.0,,,91-74,,K. Love enters the game for T. Thompson
9:09.0,,,91-75,1,A. Varejao makes free throw 2 of 2
8:55.0,P. Patterson misses 3-pt shot from 25 ft,,91-75,,
8:54.0,,,91-75,,Defensive rebound by K. Irving
8:35.0,,,91-75,,K. Irving misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by G. Vasquez,,91-75,,
8:31.0,Shooting foul by J. Harris (drawn by L. Williams),,91-75,,
8:31.0,Official timeout,,91-75,,
8:31.0,L. Williams makes free throw 1 of 2,1,92-75,,
8:31.0,,,92-75,,M. Miller enters the game for A. Varejao
8:31.0,L. Williams makes free throw 2 of 2,1,93-75,,
8:27.0,Personal foul by G. Vasquez (drawn by L. James),,93-75,,
8:15.0,,,93-77,2,L. James makes 2-pt shot at rim (assist by K. Irving)
7:59.0,D. DeRozan makes 2-pt shot from 17 ft,2,95-77,,
7:40.0,,,95-77,,Turnover by J. Harris (bad pass; steal by C. Hayes)
7:35.0,Turnover by P. Patterson (step out of bounds),,95-77,,
7:20.0,,,95-77,,Shooting foul by C. Hayes (drawn by K. Love)
7:20.0,,,95-78,1,K. Love makes free throw 1 of 2
7:20.0,,,95-79,1,K. Love makes free throw 2 of 2
7:06.0,D. DeRozan makes 2-pt shot at rim (assist by C. Hayes),2,97-79,,
6:54.0,,,97-79,,Turnover by K. Irving (bad pass; steal by C. Hayes)
6:44.0,L. Williams misses 3-pt shot from 25 ft,,97-79,,
6:43.0,,,97-79,,Defensive rebound by M. Miller
6:26.0,,,97-79,,K. Irving misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by G. Vasquez,,97-79,,
6:20.0,Toronto full timeout,,97-79,,
6:20.0,,,97-79,,T. Thompson enters the game for L. James
6:20.0,K. Lowry enters the game for L. Williams,,97-79,,
6:11.0,Shooting foul by K. Love (drawn by C. Hayes),,97-79,,
6:11.0,C. Hayes makes free throw 1 of 2,1,98-79,,
6:11.0,C. Hayes misses free throw 2 of 2,,98-79,,
6:10.0,,,98-79,,Defensive rebound by K. Love
5:50.0,,,98-79,,K. Love misses 2-pt shot from 8 ft
5:50.0,,,98-79,,Offensive rebound by Team
5:50.0,Loose ball foul by C. Hayes (drawn by T. Thompson),,98-79,,
5:45.0,,,98-81,2,K. Love makes 2-pt shot from 1 ft (assist by J. Harris)
5:26.0,D. DeRozan misses 2-pt shot from 17 ft,,98-81,,
5:25.0,,,98-81,,Defensive rebound by K. Irving
5:20.0,,,98-83,2,K. Love makes 2-pt shot from 7 ft (assist by K. Irving)
5:20.0,,,98-83,,Shooting foul by K. Lowry (drawn by K. Love)
5:20.0,A. Johnson enters the game for C. Hayes,,98-83,,
5:20.0,,,98-84,1,K. Love makes free throw 1 of 1
