time,Washington,pts.away,score,pts.home,Denver
5:50.0,,,16-15,,Personal block foul by J. Nurkic (drawn by M. Gortat)
5:43.0,M. Gortat misses 2-pt shot from 6 ft,,16-15,,
5:41.0,,,16-15,,Defensive rebound by J. Nurkic
5:34.0,,,16-15,,W. Chandler misses 2-pt shot from 21 ft
5:32.0,Defensive rebound by M. Gortat,,16-15,,
5:26.0,J. Wall misses 2-pt shot from 8 ft,,16-15,,
5:24.0,,,16-15,,Defensive rebound by J. Nurkic
5:16.0,,,16-15,,Offensive foul by J. Nurkic
5:16.0,,,16-15,,Turnover by J. Nurkic (offensive foul)
5:16.0,,,16-15,,J. Hickson enters the game for J. Nurkic
5:16.0,,,16-15,,D. Gallinari enters the game for W. Chandler
5:16.0,M. Webster enters the game for B. Beal,,16-15,,
5:00.0,M. Gortat makes 2-pt shot from 7 ft (assist by M. Webster),2,18-15,,
4:45.0,,,18-17,2,A. Afflalo makes 2-pt shot from 16 ft (assist by T. Lawson)
4:24.0,M. Gortat misses 2-pt shot from 5 ft,,18-17,,
4:23.0,,,18-17,,Defensive rebound by J. Hickson
4:14.0,,,18-19,2,J. Hickson makes 2-pt shot from 6 ft (assist by A. Afflalo)
3:52.0,R. Butler misses 3-pt shot from 22 ft,,18-19,,
3:50.0,,,18-19,,Defensive rebound by K. Faried
3:37.0,,,18-19,,T. Lawson misses 2-pt shot from 17 ft
3:35.0,Defensive rebound by M. Gortat,,18-19,,
3:22.0,M. Webster makes 2-pt shot from 16 ft,2,20-19,,
3:04.0,,,20-19,,A. Afflalo misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by K. Humphries,,20-19,,
2:55.0,J. Wall makes 2-pt shot from 1 ft,2,22-19,,
2:38.0,,,22-19,,D. Gallinari misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by K. Humphries,,22-19,,
2:27.0,Shooting foul by T. Lawson (drawn by K. Humphries),,22-19,,
2:27.0,Washington full timeout,,22-19,,
2:27.0,K. Seraphin enters the game for M. Gortat,,22-19,,
2:27.0,A. Miller enters the game for J. Wall,,22-19,,
2:27.0,,,22-19,,D. Arthur enters the game for K. Faried
2:27.0,K. Humphries makes free throw 1 of 2,1,23-19,,
2:27.0,K. Humphries makes free throw 2 of 2,1,24-19,,
2:13.0,,,24-19,,D. Gallinari misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by Team,,24-19,,
1:58.0,R. Butler makes 2-pt shot from 22 ft (assist by K. Seraphin),2,26-19,,
1:41.0,,,26-21,2,D. Arthur makes 2-pt shot from 20 ft (assist by D. Gallinari)
1:19.0,K. Humphries misses 2-pt shot from 15 ft,,26-21,,
1:17.0,,,26-21,,Defensive rebound by A. Afflalo
1:11.0,Personal foul by R. Butler (drawn by D. Gallinari),,26-21,,
1:11.0,,,26-21,,R. Foye enters the game for A. Afflalo
1:04.0,,,26-24,3,T. Lawson makes 3-pt shot from 24 ft (assist by J. Hickson)
0:47.0,M. Webster misses 2-pt shot at rim,,26-24,,
0:43.0,Offensive rebound by A. Miller,,26-24,,
0:43.0,A. Miller misses 2-pt shot at rim,,26-24,,
0:41.0,Offensive rebound by A. Miller,,26-24,,
0:41.0,A. Miller misses 2-pt shot from 1 ft,,26-24,,
0:39.0,Offensive rebound by K. Humphries,,26-24,,
0:25.0,R. Butler makes 2-pt shot from 17 ft (assist by K. Humphries),2,28-24,,
0:03.0,,,28-24,,T. Lawson misses 2-pt shot from 16 ft
0:02.0,,,28-24,,Offensive rebound by Team
0:01.0,,,28-24,,Shooting foul by R. Butler (drawn by D. Gallinari)
0:01.0,,,28-25,1,D. Gallinari makes free throw 1 of 2
0:01.0,,,28-26,1,D. Gallinari makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Seraphin makes 2-pt shot from 7 ft,2,30-26,,
11:20.0,,,30-26,,D. Gallinari misses 2-pt shot from 7 ft
11:19.0,Defensive rebound by K. Seraphin,,30-26,,
11:11.0,A. Miller misses 2-pt shot from 2 ft,,30-26,,
11:10.0,Offensive rebound by Team,,30-26,,
11:01.0,Turnover by K. Seraphin (lost ball; steal by J. Hickson),,30-26,,
10:52.0,,,30-26,,D. Gallinari misses 2-pt shot from 9 ft
10:51.0,Defensive rebound by K. Humphries,,30-26,,
10:33.0,K. Seraphin misses 2-pt shot from 13 ft,,30-26,,
10:31.0,,,30-26,,Defensive rebound by J. Nelson
10:23.0,,,30-29,3,J. Nelson makes 3-pt shot from 26 ft (assist by D. Gallinari)
10:03.0,,,30-29,,Personal foul by D. Arthur (drawn by K. Seraphin)
10:03.0,B. Beal enters the game for R. Butler,,30-29,,
9:52.0,K. Humphries makes 2-pt shot from 1 ft (assist by A. Miller),2,32-29,,
9:52.0,Shooting foul by D. Gallinari (drawn by K. Humphries),,32-29,,
9:52.0,,,32-29,,W. Chandler enters the game for D. Gallinari
9:52.0,K. Humphries makes free throw 1 of 1,1,33-29,,
9:32.0,,,33-31,2,D. Arthur makes 2-pt shot from 19 ft (assist by J. Nelson)
9:16.0,Turnover by B. Beal (traveling),,33-31,,
9:06.0,,,33-34,3,J. Nelson makes 3-pt shot from 24 ft
8:49.0,K. Seraphin misses 2-pt shot from 11 ft,,33-34,,
8:48.0,,,33-34,,Defensive rebound by W. Chandler
8:37.0,,,33-37,3,J. Nelson makes 3-pt shot from 23 ft
8:31.0,Washington full timeout,,33-37,,
8:31.0,N. Hilario enters the game for K. Humphries,,33-37,,
8:31.0,P. Pierce enters the game for M. Webster,,33-37,,
8:31.0,J. Wall enters the game for A. Miller,,33-37,,
8:27.0,Offensive foul by N. Hilario,,33-37,,
8:27.0,Turnover by N. Hilario (offensive foul),,33-37,,
8:13.0,,,33-39,2,D. Arthur makes 2-pt shot from 14 ft (assist by J. Nelson)
7:50.0,P. Pierce makes 2-pt shot from 17 ft,2,35-39,,
7:34.0,,,35-41,2,J. Hickson makes 2-pt shot from 5 ft (assist by J. Nelson)
7:21.0,K. Seraphin makes 2-pt shot from 16 ft (assist by J. Wall),2,37-41,,
7:03.0,,,37-41,,Shooting foul by K. Seraphin (drawn by J. Hickson)
7:03.0,,,37-42,1,J. Hickson makes free throw 1 of 2
7:03.0,M. Gortat enters the game for K. Seraphin,,37-42,,
7:03.0,,,37-42,,K. Faried enters the game for D. Arthur
7:03.0,,,37-42,,J. Hickson misses free throw 2 of 2
7:01.0,Defensive rebound by M. Gortat,,37-42,,
6:52.0,B. Beal misses 2-pt shot from 6 ft,,37-42,,
6:50.0,,,37-42,,Defensive rebound by J. Hickson
6:46.0,,,37-42,,Turnover by J. Nelson (bad pass; steal by N. Hilario)
6:44.0,,,37-42,,Personal take foul by J. Nelson (drawn by J. Wall)
6:34.0,B. Beal makes 2-pt shot from 17 ft (assist by N. Hilario),2,39-42,,
6:12.0,,,39-42,,J. Hickson misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by M. Gortat,,39-42,,
6:03.0,B. Beal makes 3-pt shot from 24 ft (assist by P. Pierce),3,42-42,,
5:59.0,,,42-42,,Denver full timeout
5:59.0,,,42-42,,A. Afflalo enters the game for R. Foye
5:59.0,,,42-42,,T. Lawson enters the game for J. Nelson
5:53.0,,,42-42,,Turnover by J. Hickson (offensive foul)
5:53.0,,,42-42,,Offensive foul by J. Hickson
5:33.0,Shooting foul by J. Hickson (drawn by M. Gortat),,42-42,,
5:33.0,M. Gortat makes free throw 1 of 2,1,43-42,,
5:33.0,M. Gortat misses free throw 2 of 2,,43-42,,
5:31.0,,,43-42,,Defensive rebound by J. Hickson
5:22.0,Personal foul by N. Hilario (drawn by K. Faried),,43-42,,
5:15.0,,,43-42,,Shooting foul by M. Gortat (drawn by J. Hickson)
5:15.0,,,43-42,,J. Hickson misses free throw 1 of 2
5:15.0,,,43-42,,Offensive rebound by Team
5:15.0,,,43-42,,J. Hickson misses free throw 2 of 2
5:13.0,Defensive rebound by M. Gortat,,43-42,,
4:49.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat),2,45-42,,
4:39.0,,,45-42,,T. Lawson misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by J. Wall,,45-42,,
4:25.0,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall),3,48-42,,
4:06.0,,,48-44,2,J. Hickson makes 2-pt shot from 3 ft (assist by A. Afflalo)
3:51.0,B. Beal misses 2-pt shot from 15 ft,,48-44,,
3:50.0,,,48-44,,Defensive rebound by A. Afflalo
3:43.0,,,48-44,,A. Afflalo misses 2-pt shot from 5 ft
3:42.0,Defensive rebound by P. Pierce,,48-44,,
3:41.0,,,48-44,,Personal foul by J. Hickson (drawn by P. Pierce)
3:41.0,P. Pierce makes free throw 1 of 2,1,49-44,,
3:41.0,,,49-44,,D. Arthur enters the game for J. Hickson
3:41.0,P. Pierce misses free throw 2 of 2,,49-44,,
3:39.0,,,49-44,,Defensive rebound by K. Faried
3:21.0,,,49-47,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
3:00.0,N. Hilario makes 2-pt shot from 16 ft (assist by M. Gortat),2,51-47,,
2:43.0,,,51-47,,D. Arthur misses 2-pt shot from 22 ft
2:42.0,,,51-47,,Offensive rebound by K. Faried
2:40.0,,,51-49,2,K. Faried makes 2-pt shot from 1 ft
2:19.0,N. Hilario makes 2-pt shot from 2 ft,2,53-49,,
2:13.0,,,53-51,2,W. Chandler makes 2-pt shot from 1 ft
2:03.0,Offensive charge foul by B. Beal,,53-51,,
2:03.0,Turnover by B. Beal (offensive foul),,53-51,,
2:03.0,Official timeout,,53-51,,
2:03.0,K. Humphries enters the game for N. Hilario,,53-51,,
2:03.0,O. Porter enters the game for B. Beal,,53-51,,
1:48.0,,,53-51,,W. Chandler misses 3-pt shot from 25 ft
1:47.0,,,53-51,,Offensive rebound by D. Arthur
1:43.0,,,53-51,,A. Afflalo misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by K. Humphries,,53-51,,
1:20.0,O. Porter misses 2-pt shot from 19 ft,,53-51,,
1:19.0,Offensive rebound by M. Gortat,,53-51,,
1:19.0,M. Gortat misses 2-pt shot from 1 ft,,53-51,,
1:17.0,Offensive rebound by K. Humphries,,53-51,,
1:17.0,K. Humphries makes 2-pt shot from 1 ft,2,55-51,,
1:04.0,,,55-53,2,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson)
0:53.0,K. Humphries makes 2-pt shot from 14 ft (assist by J. Wall),2,57-53,,
0:45.0,,,57-53,,Shooting foul by J. Wall (drawn by T. Lawson)
0:45.0,,,57-54,1,T. Lawson makes free throw 1 of 2
0:45.0,K. Seraphin enters the game for M. Gortat,,57-54,,
0:45.0,,,57-55,1,T. Lawson makes free throw 2 of 2
0:37.0,J. Wall misses 2-pt shot from 19 ft,,57-55,,
0:36.0,,,57-55,,Defensive rebound by T. Lawson
0:31.0,,,57-57,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson)
0:10.0,K. Humphries makes 2-pt shot at rim (assist by O. Porter),2,59-57,,
0:01.0,,,59-57,,Shooting foul by K. Seraphin (drawn by T. Lawson)
0:01.0,,,59-58,1,T. Lawson makes free throw 1 of 2
0:01.0,,,59-59,1,T. Lawson makes free throw 2 of 2
0:00.0,J. Wall misses 3-pt shot from 31 ft,,59-59,,
0:00.0,Offensive rebound by Team,,59-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Hilario misses 2-pt shot from 2 ft,,59-59,,
11:41.0,,,59-59,,Defensive rebound by J. Nurkic
11:32.0,,,59-61,2,T. Lawson makes 2-pt shot from 2 ft
11:19.0,Turnover by N. Hilario (lost ball; steal by J. Nurkic),,59-61,,
11:11.0,,,59-61,,Turnover by T. Lawson (bad pass; steal by M. Gortat)
10:49.0,B. Beal misses 3-pt shot from 23 ft,,59-61,,
10:47.0,,,59-61,,Defensive rebound by K. Faried
10:38.0,,,59-64,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
10:25.0,P. Pierce misses 3-pt shot from 24 ft,,59-64,,
10:24.0,,,59-64,,Defensive rebound by K. Faried
10:18.0,Personal foul by B. Beal (drawn by T. Lawson),,59-64,,
10:09.0,,,59-64,,K. Faried misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by J. Wall,,59-64,,
9:55.0,J. Wall makes 2-pt shot from 15 ft (assist by P. Pierce),2,61-64,,
9:37.0,,,61-64,,T. Lawson misses 2-pt shot from 15 ft
9:37.0,,,61-64,,Offensive rebound by Team
9:37.0,Loose ball foul by M. Gortat (drawn by J. Nurkic),,61-64,,
9:32.0,,,61-64,,W. Chandler misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by J. Wall,,61-64,,
9:19.0,Turnover by M. Gortat (traveling),,61-64,,
9:03.0,,,61-66,2,A. Afflalo makes 2-pt shot from 4 ft
8:53.0,,,61-66,,Personal foul by K. Faried (drawn by N. Hilario)
8:46.0,Offensive charge foul by N. Hilario,,61-66,,
8:46.0,Turnover by N. Hilario (offensive foul),,61-66,,
8:34.0,,,61-66,,J. Nurkic misses 2-pt shot from 22 ft
8:32.0,,,61-66,,Offensive rebound by W. Chandler
8:22.0,,,61-66,,A. Afflalo misses 3-pt shot from 22 ft
8:20.0,,,61-66,,Offensive rebound by W. Chandler
8:20.0,,,61-68,2,W. Chandler makes 2-pt shot from 2 ft
8:19.0,Washington full timeout,,61-68,,
8:01.0,Shooting foul by J. Nurkic (drawn by P. Pierce),,61-68,,
8:01.0,P. Pierce makes free throw 1 of 2,1,62-68,,
8:01.0,P. Pierce makes free throw 2 of 2,1,63-68,,
7:39.0,,,63-68,,Turnover by A. Afflalo (bad pass)
7:22.0,P. Pierce makes 2-pt shot from 17 ft,2,65-68,,
7:11.0,,,65-71,3,T. Lawson makes 3-pt shot from 25 ft
6:45.0,J. Wall misses 3-pt shot from 25 ft,,65-71,,
6:44.0,Offensive rebound by Team,,65-71,,
6:44.0,Turnover by Team (shot clock),,65-71,,
6:29.0,Shooting block foul by B. Beal (drawn by A. Afflalo),,65-71,,
6:29.0,,,65-72,1,A. Afflalo makes free throw 1 of 2
6:29.0,,,65-73,1,A. Afflalo makes free throw 2 of 2
6:14.0,N. Hilario makes 2-pt shot from 2 ft (assist by P. Pierce),2,67-73,,
6:03.0,,,67-75,2,J. Nurkic makes 2-pt shot from 5 ft
5:44.0,P. Pierce makes 2-pt shot from 14 ft,2,69-75,,
5:32.0,,,69-75,,K. Faried misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by N. Hilario,,69-75,,
5:25.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,71-75,,
4:54.0,,,71-77,2,J. Nurkic makes 2-pt shot from 2 ft (assist by A. Afflalo)
4:45.0,Shooting foul by K. Faried (drawn by P. Pierce),,71-77,,
4:45.0,P. Pierce makes free throw 1 of 2,1,72-77,,
4:45.0,R. Butler enters the game for B. Beal,,72-77,,
4:45.0,K. Humphries enters the game for N. Hilario,,72-77,,
4:45.0,P. Pierce makes free throw 2 of 2,1,73-77,,
4:30.0,,,73-77,,W. Chandler misses 3-pt shot from 25 ft
4:27.0,,,73-77,,Offensive rebound by A. Afflalo
4:24.0,,,73-77,,A. Afflalo misses 3-pt shot from 23 ft
4:23.0,,,73-77,,Offensive rebound by W. Chandler
4:23.0,,,73-79,2,W. Chandler makes 2-pt shot from 1 ft
4:05.0,Shooting foul by W. Chandler (drawn by P. Pierce),,73-79,,
4:05.0,P. Pierce makes free throw 1 of 2,1,74-79,,
4:05.0,P. Pierce misses free throw 2 of 2,,74-79,,
4:03.0,,,74-79,,Defensive rebound by J. Nurkic
3:44.0,,,74-82,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
3:27.0,Jump ball: T. Lawson vs. P. Pierce (K. Humphries gains possession),,,,Jump ball: T. Lawson vs. P. Pierce (K. Humphries gains possession)
3:18.0,J. Wall misses 3-pt shot from 25 ft,,74-82,,
3:17.0,,,74-82,,Defensive rebound by A. Afflalo
3:09.0,M. Webster enters the game for P. Pierce,,74-82,,
3:03.0,,,74-82,,W. Chandler misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by M. Webster,,74-82,,
2:52.0,,,74-82,,Denver full timeout
2:52.0,,,74-82,,J. Nelson enters the game for W. Chandler
2:52.0,,,74-82,,D. Gallinari enters the game for A. Afflalo
2:44.0,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall),3,77-82,,
2:18.0,,,77-82,,J. Nurkic misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by R. Butler,,77-82,,
2:06.0,R. Butler misses 3-pt shot from 25 ft,,77-82,,
2:03.0,,,77-82,,Defensive rebound by K. Faried
1:57.0,,,77-82,,J. Nelson misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by M. Gortat,,77-82,,
1:45.0,J. Wall makes 2-pt shot from 4 ft,2,79-82,,
1:31.0,,,79-82,,T. Lawson misses 2-pt shot from 9 ft
1:29.0,,,79-82,,Offensive rebound by T. Lawson
1:29.0,,,79-82,,T. Lawson misses 2-pt shot at rim
1:27.0,Defensive rebound by K. Humphries,,79-82,,
1:19.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,81-82,,
1:01.0,,,81-82,,Shooting foul by K. Humphries (drawn by J. Nurkic)
1:01.0,,,81-83,1,J. Nurkic makes free throw 1 of 2
1:01.0,,,81-83,,D. Arthur enters the game for K. Faried
1:01.0,,,81-84,1,J. Nurkic makes free throw 2 of 2
0:43.0,M. Gortat misses 2-pt shot from 11 ft,,81-84,,
0:42.0,,,81-84,,Defensive rebound by J. Nurkic
0:37.0,,,81-84,,D. Arthur misses 2-pt shot from 15 ft
0:35.0,Defensive rebound by R. Butler,,81-84,,
0:24.0,M. Webster makes 2-pt shot from 19 ft (assist by J. Wall),2,83-84,,
0:02.0,,,83-84,,D. Arthur misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Webster,,83-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-84,,Offensive foul by J. Hickson
11:44.0,,,83-84,,Turnover by J. Hickson (offensive foul)
11:22.0,K. Seraphin misses 2-pt shot from 3 ft,,83-84,,
11:21.0,Offensive rebound by K. Seraphin,,83-84,,
11:10.0,K. Seraphin makes 2-pt shot from 2 ft,2,85-84,,
10:51.0,,,85-84,,A. Afflalo misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by R. Butler,,85-84,,
10:38.0,K. Seraphin makes 2-pt shot from 9 ft (assist by A. Miller),2,87-84,,
10:38.0,,,87-84,,Denver full timeout
10:23.0,,,87-87,3,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Nelson)
10:08.0,R. Butler misses 3-pt shot from 25 ft,,87-87,,
10:06.0,Offensive rebound by K. Seraphin,,87-87,,
10:04.0,K. Seraphin makes 2-pt shot from 3 ft,2,89-87,,
9:49.0,,,89-87,,D. Arthur misses 2-pt shot from 18 ft
9:48.0,Defensive rebound by R. Butler,,89-87,,
9:28.0,Turnover by A. Miller (lost ball; steal by J. Nelson),,89-87,,
9:20.0,,,89-87,,A. Afflalo misses 2-pt shot from 5 ft (block by R. Butler)
9:19.0,Defensive rebound by K. Humphries,,89-87,,
9:01.0,K. Seraphin misses 2-pt shot from 15 ft,,89-87,,
9:00.0,,,89-87,,Defensive rebound by D. Gallinari
8:55.0,,,89-87,,Shooting foul by R. Butler (drawn by D. Gallinari)
8:55.0,,,89-88,1,D. Gallinari makes free throw 1 of 2
8:55.0,B. Beal enters the game for M. Webster,,89-88,,
8:55.0,,,89-89,1,D. Gallinari makes free throw 2 of 2
8:42.0,Shooting foul by A. Afflalo (drawn by B. Beal),,89-89,,
8:42.0,B. Beal makes 2-pt shot from 17 ft,2,91-89,,
8:42.0,B. Beal makes free throw 1 of 1,1,92-89,,
8:20.0,,,92-89,,A. Afflalo misses 2-pt shot from 2 ft
8:19.0,Defensive rebound by K. Humphries,,92-89,,
8:14.0,Offensive foul by K. Humphries,,92-89,,
8:14.0,Turnover by K. Humphries (offensive foul),,92-89,,
8:04.0,,,92-89,,J. Hickson misses 2-pt shot at rim
8:03.0,Defensive rebound by A. Miller,,92-89,,
7:54.0,K. Humphries misses 2-pt shot from 5 ft,,92-89,,
7:54.0,Offensive rebound by Team,,92-89,,
7:27.0,A. Miller makes 2-pt shot from 20 ft,2,94-89,,
7:19.0,Personal foul by A. Miller (drawn by J. Nelson),,94-89,,
7:19.0,J. Wall enters the game for A. Miller,,94-89,,
7:19.0,,,94-89,,T. Lawson enters the game for J. Nelson
7:15.0,,,94-89,,Shooting foul by K. Seraphin (drawn by J. Hickson)
7:15.0,,,94-89,,J. Hickson misses free throw 1 of 2
7:15.0,,,94-89,,Offensive rebound by Team
7:15.0,,,94-89,,W. Chandler enters the game for D. Gallinari
7:15.0,,,94-90,1,J. Hickson makes free throw 2 of 2
6:57.0,R. Butler misses 2-pt shot from 13 ft,,94-90,,
6:55.0,,,94-90,,Defensive rebound by W. Chandler
6:49.0,,,94-90,,Shooting foul by K. Seraphin (drawn by J. Hickson)
6:49.0,,,94-91,1,J. Hickson makes free throw 1 of 2
6:49.0,,,94-92,1,J. Hickson makes free throw 2 of 2
6:28.0,K. Humphries makes 2-pt shot from 7 ft,2,96-92,,
6:16.0,,,96-94,2,W. Chandler makes 2-pt shot from 20 ft (assist by T. Lawson)
5:58.0,Offensive foul by B. Beal,,96-94,,
5:58.0,Turnover by B. Beal (offensive foul),,96-94,,
5:58.0,Official timeout,,96-94,,
5:58.0,N. Hilario enters the game for B. Beal,,96-94,,
5:58.0,P. Pierce enters the game for K. Seraphin,,96-94,,
5:58.0,,,96-94,,K. Faried enters the game for J. Hickson
5:43.0,,,96-94,,Turnover by A. Afflalo (lost ball; steal by N. Hilario)
5:37.0,R. Butler misses 2-pt shot from 19 ft,,96-94,,
5:35.0,,,96-94,,Defensive rebound by D. Arthur
5:29.0,,,96-94,,W. Chandler misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by K. Humphries,,96-94,,
5:12.0,,,96-94,,Personal foul by K. Faried (drawn by N. Hilario)
5:08.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,98-94,,
4:47.0,,,98-94,,W. Chandler misses 3-pt shot from 26 ft
4:45.0,,,98-94,,Offensive rebound by T. Lawson
4:40.0,,,98-97,3,T. Lawson makes 3-pt shot from 26 ft
4:22.0,Turnover by N. Hilario (traveling),,98-97,,
4:03.0,,,98-99,2,T. Lawson makes 2-pt shot from 8 ft
3:47.0,Shooting foul by K. Faried (drawn by P. Pierce),,98-99,,
3:47.0,P. Pierce misses free throw 1 of 2,,98-99,,
3:47.0,Offensive rebound by Team,,98-99,,
3:47.0,P. Pierce makes free throw 2 of 2,1,99-99,,
3:33.0,,,99-101,2,T. Lawson makes 2-pt shot from 16 ft
3:14.0,P. Pierce misses 2-pt shot from 10 ft,,99-101,,
3:13.0,,,99-101,,Defensive rebound by A. Afflalo
3:01.0,,,99-101,,D. Arthur misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by Team,,99-101,,
3:01.0,Washington full timeout,,99-101,,
3:01.0,B. Beal enters the game for R. Butler,,99-101,,
