time,Phoenix,pts.away,score,pts.home,San Antonio
3:03.0,Turnover by I. Thomas (bad pass; steal by M. Ginobili),,12-19,,
2:50.0,,,12-19,,B. Diaw misses 2-pt shot from 5 ft
2:49.0,,,12-19,,Offensive rebound by T. Duncan
2:49.0,,,12-19,,T. Duncan misses 2-pt shot at rim
2:48.0,Defensive rebound by M. Morris,,12-19,,
2:38.0,I. Thomas makes 2-pt shot from 4 ft,2,14-19,,
2:23.0,,,14-21,2,C. Joseph makes 2-pt shot from 2 ft (assist by T. Duncan)
2:16.0,Phoenix full timeout,,14-21,,
2:16.0,,,14-21,,J. Ayres enters the game for T. Duncan
2:16.0,M. Plumlee enters the game for A. Len,,14-21,,
2:05.0,G. Green makes 2-pt shot from 18 ft,2,16-21,,
1:47.0,,,16-23,2,B. Diaw makes 2-pt shot at rim
1:39.0,Turnover by I. Thomas (lost ball; steal by P. Mills),,16-23,,
1:35.0,,,16-25,2,P. Mills makes 2-pt shot from 2 ft (assist by J. Ayres)
1:16.0,G. Green misses 3-pt shot from 24 ft,,16-25,,
1:15.0,,,16-25,,Defensive rebound by P. Mills
1:04.0,,,16-27,2,M. Ginobili makes 2-pt shot from 2 ft (assist by B. Diaw)
0:56.0,M. Morris misses 3-pt shot from 25 ft,,16-27,,
0:55.0,,,16-27,,Defensive rebound by M. Ginobili
0:41.0,Personal block foul by M. Morris (drawn by B. Diaw),,16-27,,
0:33.0,,,16-27,,B. Diaw misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by M. Plumlee,,16-27,,
0:18.0,M. Morris makes 2-pt shot from 5 ft (assist by I. Thomas),2,18-27,,
0:03.0,Personal foul by M. Morris (drawn by J. Ayres),,18-27,,
0:03.0,,,18-28,1,J. Ayres makes free throw 1 of 2
0:03.0,,,18-29,1,J. Ayres makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Offensive foul by G. Green,,18-29,,
11:50.0,Turnover by G. Green (offensive foul),,18-29,,
11:31.0,,,18-29,,Turnover by B. Diaw (offensive foul)
11:31.0,,,18-29,,Offensive foul by B. Diaw
11:12.0,I. Thomas makes 2-pt shot from 17 ft,2,20-29,,
10:51.0,,,20-29,,T. Parker misses 2-pt shot from 11 ft
10:50.0,Defensive rebound by E. Bledsoe,,20-29,,
10:37.0,G. Green misses 3-pt shot from 24 ft,,20-29,,
10:36.0,Offensive rebound by G. Green,,20-29,,
10:29.0,G. Green makes 2-pt shot from 4 ft,2,22-29,,
10:28.0,,,22-29,,San Antonio full timeout
10:18.0,,,22-29,,Turnover by B. Diaw (bad pass; steal by G. Green)
10:12.0,Turnover by G. Green (lost ball; steal by J. Ayres),,22-29,,
10:06.0,,,22-29,,Shooting foul by G. Green (drawn by J. Ayres)
10:06.0,,,22-29,,J. Ayres misses free throw 1 of 2
10:06.0,,,22-29,,Offensive rebound by Team
10:06.0,,,22-29,,T. Splitter enters the game for B. Diaw
10:06.0,,,22-30,1,J. Ayres makes free throw 2 of 2
9:48.0,E. Bledsoe makes 2-pt shot from 16 ft (assist by M. Morris),2,24-30,,
9:30.0,,,24-30,,M. Ginobili misses 2-pt shot from 8 ft
9:29.0,Defensive rebound by M. Morris,,24-30,,
9:24.0,I. Thomas misses 3-pt shot from 25 ft,,24-30,,
9:23.0,,,24-30,,Defensive rebound by D. Green
9:11.0,,,24-32,2,M. Ginobili makes 2-pt shot from 2 ft (assist by T. Splitter)
8:54.0,M. Morris makes 2-pt shot from 20 ft (assist by I. Thomas),2,26-32,,
8:43.0,,,26-32,,J. Ayres misses 2-pt shot from 9 ft
8:42.0,Defensive rebound by M. Plumlee,,26-32,,
8:38.0,G. Green misses 3-pt shot from 25 ft,,26-32,,
8:38.0,Offensive rebound by M. Morris,,26-32,,
8:37.0,M. Morris misses 2-pt shot at rim,,26-32,,
8:34.0,,,26-32,,Defensive rebound by M. Ginobili
8:17.0,,,26-32,,M. Ginobili misses 2-pt shot from 9 ft
8:16.0,,,26-32,,Offensive rebound by J. Ayres
8:06.0,,,26-35,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
7:43.0,Turnover by E. Bledsoe (lost ball; steal by M. Ginobili),,26-35,,
7:33.0,,,26-38,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
7:21.0,M. Morris misses 3-pt shot from 25 ft,,26-38,,
7:18.0,Offensive rebound by E. Bledsoe,,26-38,,
7:08.0,Turnover by I. Thomas (lost ball; steal by J. Ayres),,26-38,,
6:49.0,,,26-38,,J. Ayres misses 2-pt shot at rim (block by M. Plumlee)
6:48.0,Defensive rebound by M. Plumlee,,26-38,,
6:45.0,Turnover by E. Bledsoe (traveling),,26-38,,
6:45.0,,,26-38,,T. Duncan enters the game for J. Ayres
6:45.0,,,26-38,,M. Belinelli enters the game for M. Ginobili
6:45.0,A. Len enters the game for M. Plumlee,,26-38,,
6:28.0,,,26-38,,T. Duncan misses 2-pt shot from 9 ft
6:27.0,Defensive rebound by A. Len,,26-38,,
6:15.0,E. Bledsoe misses 2-pt shot from 22 ft,,26-38,,
6:14.0,,,26-38,,Defensive rebound by T. Splitter
6:05.0,,,26-40,2,M. Belinelli makes 2-pt shot from 8 ft
6:04.0,Phoenix full timeout,,26-40,,
6:04.0,M. Morris enters the game for M. Morris,,26-40,,
6:04.0,G. Dragic enters the game for I. Thomas,,26-40,,
5:51.0,G. Green makes 2-pt shot from 16 ft (assist by M. Morris),2,28-40,,
5:32.0,,,28-42,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
5:26.0,G. Dragic misses 2-pt shot from 1 ft (block by D. Green),,28-42,,
5:26.0,Offensive rebound by Team,,28-42,,
5:26.0,,,28-42,,P. Mills enters the game for T. Parker
5:15.0,Turnover by A. Len (bad pass; steal by T. Duncan),,28-42,,
5:09.0,,,28-42,,Offensive foul by M. Belinelli
5:09.0,,,28-42,,Turnover by M. Belinelli (offensive foul)
4:53.0,M. Morris misses 3-pt shot from 25 ft,,28-42,,
4:52.0,Offensive rebound by Team,,28-42,,
4:45.0,G. Green makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,30-42,,
4:34.0,,,30-42,,M. Belinelli misses 2-pt shot from 21 ft
4:33.0,Defensive rebound by A. Len,,30-42,,
4:27.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,32-42,,
4:01.0,,,32-42,,M. Belinelli misses 3-pt shot from 29 ft
4:00.0,Defensive rebound by E. Bledsoe,,32-42,,
3:56.0,Turnover by G. Dragic (bad pass),,32-42,,
3:44.0,,,32-42,,P. Mills misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by G. Green,,32-42,,
3:37.0,,,32-42,,Personal foul by M. Belinelli (drawn by M. Morris)
3:32.0,G. Green misses 2-pt shot from 17 ft,,32-42,,
3:31.0,,,32-42,,Defensive rebound by D. Green
3:22.0,,,32-42,,D. Green misses 2-pt shot from 20 ft
3:21.0,,,32-42,,Offensive rebound by T. Duncan
3:21.0,,,32-44,2,T. Duncan makes 2-pt shot at rim
2:57.0,A. Len misses 2-pt shot from 20 ft,,32-44,,
2:56.0,,,32-44,,Defensive rebound by T. Duncan
2:51.0,,,32-44,,Turnover by P. Mills (bad pass; steal by A. Len)
2:43.0,E. Bledsoe makes 2-pt shot from 8 ft (assist by G. Dragic),2,34-44,,
2:43.0,,,34-44,,San Antonio full timeout
2:43.0,Official timeout,,34-44,,
2:43.0,,,34-44,,T. Parker enters the game for M. Belinelli
2:43.0,P. Tucker enters the game for G. Green,,34-44,,
2:25.0,,,34-44,,T. Duncan misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by E. Bledsoe,,34-44,,
2:18.0,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe),2,36-44,,
2:01.0,,,36-46,2,T. Parker makes 2-pt shot from 20 ft (assist by P. Mills)
1:39.0,M. Morris misses 2-pt shot from 15 ft,,36-46,,
1:38.0,,,36-46,,Defensive rebound by T. Parker
1:23.0,,,36-49,3,T. Parker makes 3-pt shot from 23 ft (assist by P. Mills)
1:16.0,P. Tucker makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,38-49,,
0:53.0,,,38-49,,D. Green misses 3-pt shot from 24 ft
0:52.0,,,38-49,,Offensive rebound by Team
0:52.0,Loose ball foul by M. Morris (drawn by T. Duncan),,38-49,,
0:52.0,,,38-49,,M. Belinelli enters the game for D. Green
0:47.0,,,38-49,,T. Parker misses 2-pt shot at rim
0:46.0,Defensive rebound by A. Len,,38-49,,
0:39.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by P. Tucker),2,40-49,,
0:35.0,,,40-49,,Turnover by T. Parker (step out of bounds)
0:30.0,E. Bledsoe makes 3-pt shot from 25 ft,3,43-49,,
0:10.0,,,43-49,,Turnover by T. Parker (bad pass; steal by A. Len)
0:02.0,P. Tucker misses 3-pt shot from 25 ft,,43-49,,
0:02.0,Offensive rebound by G. Dragic,,43-49,,
0:01.0,G. Dragic misses 2-pt shot from 2 ft,,43-49,,
0:00.0,,,43-49,,Defensive rebound by T. Duncan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,M. Morris misses 2-pt shot from 19 ft,,43-49,,
11:39.0,,,43-49,,Defensive rebound by M. Belinelli
11:29.0,,,43-51,2,T. Splitter makes 2-pt shot at rim (assist by T. Duncan)
11:04.0,Turnover by G. Dragic (bad pass; steal by T. Parker),,43-51,,
11:02.0,,,43-51,,T. Splitter misses 2-pt shot from 2 ft (block by P. Tucker)
10:58.0,,,43-51,,Offensive rebound by T. Splitter
10:58.0,,,43-51,,D. Green misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by Team,,43-51,,
10:58.0,,,43-51,,Loose ball foul by D. Green (drawn by P. Tucker)
10:35.0,G. Dragic makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,46-51,,
10:19.0,,,46-51,,M. Belinelli misses 2-pt shot from 20 ft
10:17.0,Defensive rebound by A. Len,,46-51,,
10:12.0,E. Bledsoe misses 2-pt shot from 18 ft,,46-51,,
10:11.0,,,46-51,,Defensive rebound by T. Splitter
9:53.0,,,46-51,,Turnover by M. Belinelli (lost ball; steal by P. Tucker)
9:47.0,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,48-51,,
9:28.0,,,48-51,,Turnover by T. Parker (bad pass; steal by M. Morris)
9:25.0,G. Dragic makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,50-51,,
9:25.0,Shooting foul by M. Belinelli (drawn by G. Dragic),,50-51,,
9:25.0,G. Dragic misses free throw 1 of 1,,50-51,,
9:24.0,,,50-51,,Defensive rebound by T. Duncan
9:11.0,Violation by M. Morris (kicked ball),,50-51,,
9:06.0,,,50-51,,T. Parker misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by P. Tucker,,50-51,,
8:40.0,P. Tucker makes 2-pt shot from 9 ft,2,52-51,,
8:26.0,,,52-51,,T. Parker misses 2-pt shot from 10 ft
8:25.0,Defensive rebound by G. Dragic,,52-51,,
8:17.0,P. Tucker makes 3-pt shot from 24 ft (assist by G. Dragic),3,55-51,,
8:15.0,,,55-51,,San Antonio full timeout
7:58.0,,,55-51,,T. Duncan misses 2-pt shot from 7 ft (block by A. Len)
7:56.0,,,55-51,,Offensive rebound by Team
7:54.0,,,55-51,,T. Duncan misses 2-pt shot from 13 ft
7:53.0,,,55-51,,Offensive rebound by Team
7:53.0,,,55-51,,San Antonio full timeout
7:35.0,,,55-51,,Shooting foul by M. Morris (drawn by T. Splitter)
7:35.0,,,55-51,,T. Splitter misses free throw 1 of 2
7:35.0,,,55-51,,Offensive rebound by Team
7:35.0,,,55-51,,C. Joseph enters the game for D. Green
7:35.0,,,55-52,1,T. Splitter makes free throw 2 of 2
7:17.0,Shooting foul by T. Splitter (drawn by M. Morris),,55-52,,
7:17.0,M. Morris misses free throw 1 of 2,,55-52,,
7:17.0,Offensive rebound by Team,,55-52,,
7:17.0,,,55-52,,B. Diaw enters the game for T. Splitter
7:17.0,M. Morris makes free throw 2 of 2,1,56-52,,
7:04.0,,,56-52,,Turnover by T. Parker (bad pass; steal by M. Morris)
6:59.0,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,58-52,,
6:33.0,,,58-52,,M. Belinelli misses 2-pt shot from 8 ft
6:32.0,Defensive rebound by A. Len,,58-52,,
6:32.0,,,58-52,,Personal foul by M. Belinelli (drawn by A. Len)
6:32.0,,,58-52,,P. Mills enters the game for M. Belinelli
6:18.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,60-52,,
6:00.0,,,60-54,2,T. Duncan makes 2-pt shot at rim (assist by B. Diaw)
5:43.0,P. Tucker makes 2-pt shot from 9 ft,2,62-54,,
5:16.0,,,62-54,,B. Diaw misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by M. Morris,,62-54,,
5:10.0,G. Dragic misses 3-pt shot from 24 ft,,62-54,,
5:09.0,,,62-54,,Defensive rebound by C. Joseph
4:59.0,,,62-57,3,B. Diaw makes 3-pt shot from 25 ft (assist by C. Joseph)
4:42.0,M. Morris misses 2-pt shot from 14 ft,,62-57,,
4:40.0,,,62-57,,Defensive rebound by B. Diaw
4:30.0,,,62-57,,C. Joseph misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by A. Len,,62-57,,
4:24.0,Phoenix full timeout,,62-57,,
4:24.0,,,62-57,,D. Green enters the game for T. Parker
4:24.0,I. Thomas enters the game for E. Bledsoe,,62-57,,
4:24.0,M. Plumlee enters the game for A. Len,,62-57,,
4:24.0,,,62-57,,T. Splitter enters the game for T. Duncan
4:08.0,M. Morris misses 2-pt shot from 18 ft,,62-57,,
4:08.0,Offensive rebound by Team,,62-57,,
4:08.0,Turnover by Team (shot clock),,62-57,,
3:54.0,,,62-57,,Turnover by B. Diaw (lost ball; steal by P. Tucker)
3:49.0,P. Tucker makes 2-pt shot from 1 ft,2,64-57,,
3:25.0,,,64-57,,C. Joseph misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by M. Plumlee,,64-57,,
3:09.0,Shooting foul by T. Splitter (drawn by M. Plumlee),,64-57,,
3:09.0,M. Plumlee misses free throw 1 of 2,,64-57,,
3:09.0,Offensive rebound by Team,,64-57,,
3:09.0,G. Green enters the game for G. Dragic,,64-57,,
3:09.0,M. Plumlee misses free throw 2 of 2,,64-57,,
3:09.0,Offensive rebound by Team,,64-57,,
3:09.0,,,64-57,,Loose ball foul by B. Diaw (drawn by P. Tucker)
3:09.0,P. Tucker makes free throw 1 of 2,1,65-57,,
3:09.0,P. Tucker makes free throw 2 of 2,1,66-57,,
3:03.0,,,66-57,,Turnover by B. Diaw (bad pass)
2:50.0,G. Green misses 3-pt shot from 25 ft,,66-57,,
2:49.0,Offensive rebound by M. Morris,,66-57,,
2:44.0,I. Thomas misses 3-pt shot from 23 ft,,66-57,,
2:43.0,Offensive rebound by M. Plumlee,,66-57,,
2:38.0,G. Green misses 2-pt shot from 11 ft,,66-57,,
2:37.0,,,66-57,,Defensive rebound by T. Splitter
2:30.0,,,66-57,,P. Mills misses 2-pt shot from 14 ft
2:29.0,Defensive rebound by M. Morris,,66-57,,
2:20.0,Shooting foul by T. Splitter (drawn by I. Thomas),,66-57,,
2:20.0,I. Thomas misses free throw 1 of 2,,66-57,,
2:20.0,Offensive rebound by Team,,66-57,,
2:20.0,E. Bledsoe enters the game for M. Morris,,66-57,,
2:20.0,I. Thomas makes free throw 2 of 2,1,67-57,,
2:13.0,,,67-57,,Turnover by C. Joseph (bad pass; steal by I. Thomas)
2:08.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,69-57,,
1:40.0,,,69-57,,C. Joseph misses 2-pt shot from 20 ft
1:39.0,Defensive rebound by G. Green,,69-57,,
1:26.0,Turnover by G. Green (bad pass; steal by D. Green),,69-57,,
1:04.0,,,69-59,2,B. Diaw makes 2-pt shot from 6 ft (assist by C. Joseph)
0:44.0,P. Tucker misses 3-pt shot from 24 ft,,69-59,,
0:43.0,,,69-59,,Defensive rebound by T. Splitter
0:28.0,,,69-59,,C. Joseph misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by P. Tucker,,69-59,,
0:23.0,Turnover by P. Tucker (bad pass),,69-59,,
0:23.0,,,69-59,,K. Anderson enters the game for B. Diaw
0:23.0,,,69-59,,J. Ayres enters the game for T. Splitter
0:08.0,Personal foul by I. Thomas (drawn by P. Mills),,69-59,,
0:01.0,,,69-59,,P. Mills misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by Team,,69-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-59,,Turnover by K. Anderson (bad pass; steal by M. Morris)
11:44.0,Turnover by M. Morris (bad pass; steal by C. Joseph),,69-59,,
11:38.0,,,69-62,3,D. Green makes 3-pt shot from 24 ft (assist by C. Joseph)
11:24.0,E. Bledsoe makes 3-pt shot from 25 ft,3,72-62,,
11:22.0,,,72-62,,San Antonio full timeout
11:09.0,,,72-65,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
10:54.0,Shooting foul by P. Mills (drawn by I. Thomas),,72-65,,
10:54.0,I. Thomas makes free throw 1 of 2,1,73-65,,
10:54.0,,,73-65,,M. Bonner enters the game for C. Joseph
10:54.0,I. Thomas makes free throw 2 of 2,1,74-65,,
10:46.0,,,74-65,,Turnover by K. Anderson (bad pass; steal by M. Morris)
10:41.0,Turnover by M. Morris (bad pass; steal by K. Anderson),,74-65,,
10:38.0,Personal foul by I. Thomas (drawn by D. Green),,74-65,,
10:19.0,,,74-68,3,M. Bonner makes 3-pt shot from 23 ft (assist by K. Anderson)
9:58.0,G. Green misses 2-pt shot from 18 ft,,74-68,,
9:57.0,,,74-68,,Defensive rebound by J. Ayres
9:51.0,Personal foul by I. Thomas (drawn by P. Mills),,74-68,,
9:38.0,,,74-70,2,D. Green makes 2-pt shot from 1 ft
9:26.0,G. Green misses 3-pt shot from 23 ft,,74-70,,
9:25.0,,,74-70,,Defensive rebound by J. Ayres
9:12.0,,,74-70,,D. Green misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by M. Plumlee,,74-70,,
9:02.0,,,74-70,,Personal foul by P. Mills (drawn by M. Plumlee)
9:02.0,,,74-70,,M. Belinelli enters the game for K. Anderson
8:56.0,G. Green makes 3-pt shot from 22 ft (assist by M. Morris),3,77-70,,
8:42.0,Personal foul by E. Bledsoe (drawn by M. Bonner),,77-70,,
8:42.0,,,77-70,,C. Joseph enters the game for P. Mills
8:28.0,,,77-72,2,J. Ayres makes 2-pt shot from 4 ft
8:17.0,Turnover by E. Bledsoe (bad pass),,77-72,,
8:17.0,Phoenix full timeout,,77-72,,
8:17.0,A. Len enters the game for M. Plumlee,,77-72,,
8:17.0,M. Morris enters the game for M. Morris,,77-72,,
8:03.0,,,77-75,3,M. Bonner makes 3-pt shot from 25 ft (assist by D. Green)
7:36.0,Turnover by A. Len (lost ball; steal by D. Green),,77-75,,
7:14.0,,,77-75,,M. Bonner misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by A. Len,,77-75,,
7:03.0,M. Morris misses 3-pt shot from 25 ft,,77-75,,
7:02.0,,,77-75,,Defensive rebound by D. Green
6:41.0,,,77-75,,M. Bonner misses 2-pt shot from 3 ft
6:40.0,Defensive rebound by A. Len,,77-75,,
6:35.0,Turnover by E. Bledsoe (bad pass),,77-75,,
6:35.0,G. Dragic enters the game for G. Green,,77-75,,
6:35.0,P. Tucker enters the game for I. Thomas,,77-75,,
6:19.0,,,77-75,,M. Belinelli misses 3-pt shot from 24 ft
6:18.0,,,77-75,,Offensive rebound by Team
6:18.0,Loose ball foul by A. Len (drawn by J. Ayres),,77-75,,
6:18.0,,,77-75,,P. Mills enters the game for D. Green
6:06.0,,,77-77,2,P. Mills makes 2-pt shot from 2 ft (assist by C. Joseph)
5:52.0,E. Bledsoe misses 2-pt shot from 20 ft,,77-77,,
5:51.0,,,77-77,,Defensive rebound by C. Joseph
5:42.0,,,77-77,,P. Mills misses 2-pt shot from 3 ft
5:41.0,Defensive rebound by M. Morris,,77-77,,
5:41.0,,,77-77,,Personal foul by J. Ayres (drawn by M. Morris)
5:41.0,I. Thomas enters the game for E. Bledsoe,,77-77,,
5:41.0,,,77-77,,T. Splitter enters the game for J. Ayres
5:41.0,G. Green enters the game for A. Len,,77-77,,
5:30.0,Turnover by I. Thomas (bad pass; steal by M. Belinelli),,77-77,,
5:15.0,,,77-79,2,C. Joseph makes 2-pt shot from 2 ft
5:00.0,G. Green makes 3-pt shot from 25 ft (assist by M. Morris),3,80-79,,
4:40.0,,,80-81,2,C. Joseph makes 2-pt shot from 8 ft
4:28.0,G. Green misses 3-pt shot from 23 ft,,80-81,,
4:27.0,,,80-81,,Defensive rebound by Team
4:14.0,,,80-81,,P. Mills misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by P. Tucker,,80-81,,
4:04.0,G. Green misses 3-pt shot from 23 ft,,80-81,,
4:03.0,,,80-81,,Defensive rebound by T. Splitter
3:55.0,,,80-83,2,C. Joseph makes 2-pt shot from 1 ft
3:48.0,Phoenix full timeout,,80-83,,
3:48.0,E. Bledsoe enters the game for G. Green,,80-83,,
3:48.0,,,80-83,,D. Green enters the game for M. Belinelli
3:33.0,I. Thomas misses 3-pt shot from 23 ft,,80-83,,
3:32.0,,,80-83,,Defensive rebound by T. Splitter
3:15.0,,,80-83,,D. Green misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by P. Tucker,,80-83,,
3:08.0,G. Dragic makes 2-pt shot from 2 ft,2,82-83,,
2:47.0,,,82-85,2,T. Splitter makes 2-pt shot from 2 ft (assist by C. Joseph)
2:38.0,Offensive foul by G. Dragic,,82-85,,
2:38.0,Turnover by G. Dragic (offensive foul),,82-85,,
2:38.0,A. Len enters the game for I. Thomas,,82-85,,
2:21.0,,,82-85,,M. Bonner misses 2-pt shot from 3 ft (block by M. Morris)
2:19.0,Defensive rebound by P. Tucker,,82-85,,
2:09.0,M. Morris misses 2-pt shot from 2 ft (block by D. Green),,82-85,,
2:08.0,,,82-85,,Defensive rebound by T. Splitter
2:02.0,,,82-85,,P. Mills misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by G. Dragic,,82-85,,
