time,Orlando,pts.away,score,pts.home,Milwaukee
0:34.0,E. Payton makes 2-pt shot from 5 ft,2,29-29,,
0:26.0,Personal foul by E. Payton (drawn by J. Dudley),,29-29,,
0:12.0,,,29-29,,M. Plumlee misses 2-pt shot from 5 ft
0:11.0,Defensive rebound by E. Payton,,29-29,,
0:03.0,V. Oladipo makes 2-pt shot at rim,2,31-29,,
0:00.0,,,31-29,,T. Ennis misses 3-pt shot from 41 ft
0:00.0,,,31-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-31,2,K. Middleton makes 2-pt shot from 18 ft (assist by C. Johnson)
11:25.0,N. Vucevic misses 2-pt shot from 5 ft,,31-31,,
11:24.0,,,31-31,,Defensive rebound by J. Dudley
11:12.0,,,31-31,,Shooting foul by M. Harkless (drawn by J. Henson)
11:12.0,,,31-31,,J. Henson misses free throw 1 of 2
11:12.0,,,31-31,,Offensive rebound by Team
11:12.0,,,31-32,1,J. Henson makes free throw 2 of 2
10:48.0,N. Vucevic misses 2-pt shot from 17 ft,,31-32,,
10:43.0,,,31-32,,Defensive rebound by K. Middleton
10:26.0,,,31-32,,Turnover by T. Ennis (bad pass; steal by M. Harkless)
10:19.0,Offensive foul by N. Vucevic,,31-32,,
10:19.0,Turnover by N. Vucevic (offensive foul),,31-32,,
10:07.0,,,31-32,,K. Middleton misses 2-pt shot from 17 ft
10:06.0,Defensive rebound by N. Vucevic,,31-32,,
9:58.0,Turnover by L. Ridnour (bad pass; steal by T. Ennis),,31-32,,
9:49.0,,,31-32,,J. Dudley misses 3-pt shot from 24 ft
9:48.0,,,31-32,,Offensive rebound by J. Henson
9:43.0,,,31-32,,K. Middleton misses 2-pt shot from 8 ft (block by A. Gordon)
9:42.0,Defensive rebound by A. Gordon,,31-32,,
9:35.0,,,31-32,,Personal foul by J. Henson (drawn by N. Vucevic)
9:21.0,Offensive foul by A. Gordon,,31-32,,
9:21.0,Turnover by A. Gordon (offensive foul),,31-32,,
9:11.0,,,31-32,,T. Ennis misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by A. Gordon,,31-32,,
8:59.0,L. Ridnour misses 2-pt shot from 18 ft,,31-32,,
8:58.0,Offensive rebound by N. Vucevic,,31-32,,
8:57.0,N. Vucevic makes 2-pt shot at rim,2,33-32,,
8:42.0,,,33-32,,Turnover by J. Henson (traveling)
8:42.0,Official timeout,,33-32,,
8:31.0,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic),3,36-32,,
8:11.0,,,36-32,,T. Ennis misses 2-pt shot from 2 ft
8:09.0,,,36-32,,Offensive rebound by J. Henson
8:09.0,,,36-32,,J. Henson misses 2-pt shot at rim
8:08.0,Defensive rebound by A. Gordon,,36-32,,
8:02.0,Turnover by N. Vucevic (bad pass; steal by J. Dudley),,36-32,,
8:00.0,Personal take foul by L. Ridnour (drawn by T. Ennis),,36-32,,
7:55.0,,,36-35,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson)
7:40.0,M. Harkless misses 2-pt shot from 1 ft (block by J. Henson),,36-35,,
7:36.0,Offensive rebound by M. Harkless,,36-35,,
7:36.0,M. Harkless misses 2-pt shot from 2 ft,,36-35,,
7:35.0,,,36-35,,Defensive rebound by J. Dudley
7:30.0,,,36-35,,Turnover by J. Dudley (bad pass; steal by M. Harkless)
7:17.0,,,36-35,,Shooting block foul by K. Middleton (drawn by A. Gordon)
7:17.0,A. Gordon makes free throw 1 of 2,1,37-35,,
7:17.0,A. Gordon makes free throw 2 of 2,1,38-35,,
7:06.0,Personal foul by L. Ridnour (drawn by K. Middleton),,38-35,,
6:52.0,,,38-37,2,K. Middleton makes 2-pt shot from 17 ft (assist by T. Ennis)
6:47.0,Shooting foul by T. Ennis (drawn by L. Ridnour),,38-37,,
6:47.0,L. Ridnour makes free throw 1 of 2,1,39-37,,
6:47.0,,,39-37,,M. Carter-Williams enters the game for T. Ennis
6:47.0,,,39-37,,Z. Pachulia enters the game for J. Henson
6:47.0,L. Ridnour makes free throw 2 of 2,1,40-37,,
6:36.0,,,40-39,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton)
6:08.0,C. Frye makes 2-pt shot from 5 ft,2,42-39,,
5:53.0,,,42-39,,K. Middleton misses 2-pt shot from 19 ft
5:52.0,,,42-39,,Offensive rebound by Z. Pachulia
5:45.0,,,42-39,,Milwaukee full timeout
5:45.0,E. Payton enters the game for A. Gordon,,42-39,,
5:45.0,V. Oladipo enters the game for L. Ridnour,,42-39,,
5:45.0,T. Harris enters the game for M. Harkless,,42-39,,
5:45.0,,,42-39,,O. Mayo enters the game for J. Dudley
5:45.0,,,42-39,,E. Ilyasova enters the game for C. Johnson
5:38.0,,,42-39,,Turnover by M. Carter-Williams (bad pass; steal by T. Harris)
5:33.0,V. Oladipo misses 2-pt shot from 2 ft,,42-39,,
5:31.0,,,42-39,,Defensive rebound by Z. Pachulia
5:27.0,,,42-41,2,M. Carter-Williams makes 2-pt shot at rim
5:14.0,Turnover by N. Vucevic (offensive goaltending),,42-41,,
5:02.0,,,42-43,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton)
4:46.0,V. Oladipo misses 3-pt shot from 26 ft,,42-43,,
4:45.0,,,42-43,,Defensive rebound by M. Carter-Williams
4:36.0,,,42-45,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by K. Middleton)
4:12.0,E. Payton misses 2-pt shot at rim,,42-45,,
4:10.0,,,42-45,,Defensive rebound by Z. Pachulia
4:05.0,,,42-45,,M. Carter-Williams misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by C. Frye,,42-45,,
3:58.0,E. Payton makes 2-pt shot at rim,2,44-45,,
3:42.0,,,44-47,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by K. Middleton)
3:23.0,N. Vucevic makes 2-pt shot from 1 ft,2,46-47,,
3:23.0,Shooting foul by Z. Pachulia (drawn by N. Vucevic),,46-47,,
3:23.0,N. Vucevic makes free throw 1 of 1,1,47-47,,
3:04.0,,,47-47,,Turnover by O. Mayo (bad pass; steal by N. Vucevic)
3:02.0,Turnover by N. Vucevic (bad pass; steal by O. Mayo),,47-47,,
2:57.0,,,47-47,,O. Mayo misses 3-pt shot from 27 ft
2:54.0,,,47-47,,Offensive rebound by Z. Pachulia
2:51.0,,,47-47,,Turnover by O. Mayo (bad pass; steal by V. Oladipo)
2:43.0,V. Oladipo makes 2-pt shot at rim,2,49-47,,
2:28.0,,,49-49,2,O. Mayo makes 2-pt shot at rim (assist by M. Carter-Williams)
2:26.0,,,49-49,,G. Antetokounmpo enters the game for O. Mayo
2:10.0,V. Oladipo misses 2-pt shot from 18 ft,,49-49,,
2:09.0,,,49-49,,Defensive rebound by Z. Pachulia
1:56.0,,,49-51,2,K. Middleton makes 2-pt shot from 1 ft (assist by Z. Pachulia)
1:42.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,52-51,,
1:30.0,,,52-51,,Turnover by M. Carter-Williams (bad pass; steal by N. Vucevic)
1:26.0,V. Oladipo misses 2-pt shot at rim,,52-51,,
1:23.0,,,52-51,,Defensive rebound by M. Carter-Williams
1:18.0,,,52-54,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
1:00.0,E. Payton makes 2-pt shot from 8 ft,2,54-54,,
0:51.0,,,54-54,,Turnover by Z. Pachulia (bad pass; steal by N. Vucevic)
0:30.0,T. Harris makes 3-pt shot from 23 ft (assist by C. Frye),3,57-54,,
0:16.0,,,57-54,,Turnover by Z. Pachulia (lost ball)
0:01.0,C. Frye misses 3-pt shot from 26 ft,,57-54,,
0:00.0,,,57-54,,Defensive rebound by Z. Pachulia
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Jump ball: D. Dedmon vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: D. Dedmon vs. Z. Pachulia (E. Ilyasova gains possession)
11:33.0,,,57-54,,E. Ilyasova misses 2-pt shot from 1 ft
11:33.0,,,57-54,,Offensive rebound by Z. Pachulia
11:33.0,,,57-54,,Z. Pachulia misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by Team,,57-54,,
11:11.0,T. Harris makes 3-pt shot from 29 ft (assist by V. Oladipo),3,60-54,,
10:54.0,,,60-54,,E. Ilyasova misses 3-pt shot from 25 ft
10:53.0,,,60-54,,Offensive rebound by M. Carter-Williams
10:40.0,,,60-54,,G. Antetokounmpo misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by N. Vucevic,,60-54,,
10:29.0,,,60-54,,Personal foul by G. Antetokounmpo (drawn by T. Harris)
10:18.0,T. Harris misses 2-pt shot from 1 ft,,60-54,,
10:16.0,,,60-54,,Defensive rebound by Z. Pachulia
10:08.0,,,60-54,,M. Carter-Williams misses 2-pt shot from 18 ft
10:06.0,,,60-54,,Offensive rebound by E. Ilyasova
9:56.0,,,60-56,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
9:38.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,62-56,,
9:23.0,,,62-56,,Turnover by Z. Pachulia (bad pass)
9:14.0,N. Vucevic misses 2-pt shot from 6 ft,,62-56,,
9:13.0,,,62-56,,Defensive rebound by E. Ilyasova
9:09.0,Personal foul by D. Dedmon (drawn by E. Ilyasova),,62-56,,
9:02.0,,,62-58,2,K. Middleton makes 2-pt shot from 19 ft (assist by Z. Pachulia)
8:45.0,,,62-58,,Personal foul by G. Antetokounmpo (drawn by T. Harris)
8:30.0,E. Payton makes 2-pt shot from 17 ft,2,64-58,,
8:20.0,,,64-58,,Turnover by M. Carter-Williams (bad pass; steal by T. Harris)
8:20.0,,,64-58,,Personal take foul by E. Ilyasova (drawn by T. Harris)
8:10.0,T. Harris misses 2-pt shot from 16 ft,,64-58,,
8:08.0,,,64-58,,Defensive rebound by M. Carter-Williams
7:58.0,,,64-60,2,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
7:44.0,,,64-60,,Personal block foul by M. Carter-Williams (drawn by E. Payton)
7:35.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,66-60,,
7:16.0,,,66-60,,E. Ilyasova misses 2-pt shot from 22 ft
7:15.0,Defensive rebound by E. Payton,,66-60,,
6:53.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,68-60,,
6:43.0,,,68-60,,Turnover by M. Carter-Williams (back court)
6:43.0,,,68-60,,J. Henson enters the game for Z. Pachulia
6:33.0,T. Harris misses 2-pt shot from 16 ft,,68-60,,
6:31.0,,,68-60,,Defensive rebound by E. Ilyasova
6:27.0,,,68-60,,Turnover by G. Antetokounmpo (bad pass; steal by T. Harris)
6:12.0,Turnover by E. Payton (bad pass),,68-60,,
6:00.0,,,68-60,,M. Carter-Williams misses 2-pt shot at rim
5:58.0,Defensive rebound by V. Oladipo,,68-60,,
5:55.0,T. Harris misses 2-pt shot at rim,,68-60,,
5:53.0,Offensive rebound by D. Dedmon,,68-60,,
5:50.0,D. Dedmon misses 2-pt shot from 3 ft,,68-60,,
5:48.0,,,68-60,,Defensive rebound by J. Henson
5:38.0,,,68-60,,J. Henson misses 2-pt shot at rim
5:36.0,Defensive rebound by D. Dedmon,,68-60,,
5:36.0,Orlando full timeout,,68-60,,
5:21.0,N. Vucevic makes 2-pt shot from 14 ft (assist by T. Harris),2,70-60,,
5:04.0,,,70-63,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
4:39.0,T. Harris misses 2-pt shot at rim,,70-63,,
4:37.0,,,70-63,,Defensive rebound by J. Henson
4:35.0,,,70-63,,Turnover by J. Henson (bad pass; steal by E. Payton)
4:22.0,V. Oladipo misses 2-pt shot at rim (block by M. Carter-Williams),,70-63,,
4:19.0,,,70-63,,Defensive rebound by E. Ilyasova
4:18.0,,,70-63,,Shooting foul by D. Dedmon (drawn by E. Ilyasova)
4:18.0,,,70-63,,E. Ilyasova misses free throw 1 of 2
4:18.0,,,70-63,,Offensive rebound by Team
4:18.0,C. Frye enters the game for D. Dedmon,,70-63,,
4:18.0,,,70-64,1,E. Ilyasova makes free throw 2 of 2
4:10.0,,,70-64,,Personal foul by M. Carter-Williams (drawn by C. Frye)
4:10.0,C. Frye makes free throw 1 of 2,1,71-64,,
4:10.0,C. Frye makes free throw 2 of 2,1,72-64,,
3:51.0,,,72-66,2,G. Antetokounmpo makes 2-pt shot from 17 ft
3:30.0,V. Oladipo misses 2-pt shot at rim,,72-66,,
3:29.0,,,72-66,,Defensive rebound by M. Carter-Williams
3:13.0,,,72-66,,Shooting foul by T. Harris (drawn by G. Antetokounmpo)
3:13.0,,,72-67,1,G. Antetokounmpo makes free throw 1 of 2
3:13.0,A. Gordon enters the game for N. Vucevic,,72-67,,
3:13.0,,,72-67,,G. Antetokounmpo misses free throw 2 of 2
3:12.0,Defensive rebound by C. Frye,,72-67,,
2:49.0,Turnover by E. Payton (lost ball; steal by M. Carter-Williams),,72-67,,
2:32.0,,,72-69,2,M. Carter-Williams makes 2-pt shot at rim
2:13.0,A. Gordon misses 2-pt shot at rim (block by E. Ilyasova),,72-69,,
2:10.0,,,72-69,,Defensive rebound by M. Carter-Williams
2:04.0,,,72-69,,E. Ilyasova misses 3-pt shot from 27 ft
2:04.0,Defensive rebound by Team,,72-69,,
2:04.0,,,72-69,,Milwaukee full timeout
2:04.0,,,72-69,,J. Dudley enters the game for E. Ilyasova
2:04.0,,,72-69,,C. Johnson enters the game for K. Middleton
1:41.0,Turnover by T. Harris (lost ball; steal by M. Carter-Williams),,72-69,,
1:38.0,Shooting block foul by V. Oladipo (drawn by M. Carter-Williams),,72-69,,
1:38.0,,,72-69,,M. Carter-Williams misses free throw 1 of 2
1:38.0,,,72-69,,Offensive rebound by Team
1:38.0,,,72-70,1,M. Carter-Williams makes free throw 2 of 2
1:25.0,E. Payton misses 2-pt shot at rim (block by M. Carter-Williams),,72-70,,
1:22.0,,,72-70,,Defensive rebound by C. Johnson
1:18.0,,,72-70,,Turnover by M. Carter-Williams (bad pass)
1:14.0,,,72-70,,Violation by J. Dudley (kicked ball)
1:00.0,V. Oladipo misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,72-70,,
0:58.0,,,72-70,,Defensive rebound by M. Carter-Williams
0:54.0,,,72-72,2,C. Johnson makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
0:38.0,T. Harris misses 2-pt shot from 13 ft,,72-72,,
0:37.0,,,72-72,,Defensive rebound by C. Johnson
0:15.0,,,72-72,,C. Johnson misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by T. Harris,,72-72,,
0:03.0,V. Oladipo misses 2-pt shot at rim (block by C. Johnson),,72-72,,
0:02.0,,,72-72,,Defensive rebound by J. Henson
0:01.0,,,72-72,,G. Antetokounmpo misses 3-pt shot from 38 ft
0:00.0,,,72-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,A. Gordon misses 2-pt shot at rim,,72-72,,
11:34.0,,,72-72,,Defensive rebound by K. Middleton
11:22.0,,,72-72,,Turnover by T. Ennis (bad pass; steal by L. Ridnour)
11:12.0,E. Payton misses 2-pt shot from 15 ft,,72-72,,
11:12.0,Offensive rebound by N. Vucevic,,72-72,,
11:12.0,,,72-72,,Loose ball foul by K. Middleton (drawn by N. Vucevic)
10:52.0,A. Gordon makes 2-pt shot at rim (assist by C. Frye),2,74-72,,
10:29.0,,,74-75,3,K. Middleton makes 3-pt shot from 23 ft (assist by T. Ennis)
10:15.0,N. Vucevic misses 2-pt shot from 7 ft,,74-75,,
10:14.0,,,74-75,,Defensive rebound by J. Henson
10:03.0,,,74-77,2,K. Middleton makes 2-pt shot from 10 ft
9:49.0,Turnover by E. Payton (bad pass),,74-77,,
9:31.0,,,74-79,2,J. Henson makes 2-pt shot from 1 ft (assist by J. Dudley)
9:31.0,Orlando full timeout,,74-79,,
9:31.0,T. Harris enters the game for E. Payton,,74-79,,
9:31.0,V. Oladipo enters the game for A. Gordon,,74-79,,
9:16.0,,,74-79,,Personal foul by J. Dudley (drawn by N. Vucevic)
9:01.0,L. Ridnour makes 3-pt shot from 23 ft (assist by T. Harris),3,77-79,,
8:42.0,,,77-81,2,T. Ennis makes 2-pt shot from 7 ft
8:33.0,V. Oladipo makes 3-pt shot from 25 ft (assist by L. Ridnour),3,80-81,,
8:10.0,,,80-81,,Offensive foul by T. Ennis
8:10.0,,,80-81,,Turnover by T. Ennis (offensive foul)
7:46.0,L. Ridnour misses 3-pt shot from 24 ft,,80-81,,
7:45.0,,,80-81,,Defensive rebound by J. Dudley
7:37.0,,,80-84,3,T. Ennis makes 3-pt shot from 25 ft (assist by J. Dudley)
7:21.0,C. Frye makes 3-pt shot from 26 ft (assist by L. Ridnour),3,83-84,,
7:02.0,,,83-84,,J. Dudley misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by T. Harris,,83-84,,
6:53.0,Shooting foul by J. Henson (drawn by V. Oladipo),,83-84,,
6:53.0,V. Oladipo makes free throw 1 of 2,1,84-84,,
6:53.0,V. Oladipo makes free throw 2 of 2,1,85-84,,
6:41.0,,,85-86,2,J. Henson makes 2-pt shot at rim (assist by J. Dudley)
6:25.0,V. Oladipo misses 2-pt shot from 3 ft (block by J. Henson),,85-86,,
6:23.0,,,85-86,,Defensive rebound by C. Johnson
6:23.0,Personal take foul by C. Frye (drawn by C. Johnson),,85-86,,
6:12.0,,,85-86,,Turnover by T. Ennis (bad pass; steal by V. Oladipo)
6:03.0,N. Vucevic makes 2-pt shot at rim,2,87-86,,
5:45.0,,,87-86,,Turnover by K. Middleton (bad pass)
5:45.0,Official timeout,,87-86,,
5:45.0,,,87-86,,M. Carter-Williams enters the game for T. Ennis
5:45.0,,,87-86,,Z. Pachulia enters the game for J. Henson
5:45.0,,,87-86,,G. Antetokounmpo enters the game for C. Johnson
5:26.0,T. Harris misses 3-pt shot from 25 ft,,87-86,,
5:24.0,,,87-86,,Defensive rebound by J. Dudley
5:02.0,,,87-88,2,G. Antetokounmpo makes 2-pt shot at rim
4:37.0,T. Harris makes 2-pt shot at rim (assist by L. Ridnour),2,89-88,,
4:21.0,,,89-88,,M. Carter-Williams misses 2-pt shot from 17 ft
4:20.0,Defensive rebound by C. Frye,,89-88,,
4:12.0,L. Ridnour misses 2-pt shot from 2 ft,,89-88,,
4:10.0,Offensive rebound by N. Vucevic,,89-88,,
4:10.0,N. Vucevic misses 2-pt shot at rim,,89-88,,
4:09.0,Offensive rebound by N. Vucevic,,89-88,,
4:09.0,N. Vucevic misses 2-pt shot at rim,,89-88,,
4:07.0,,,89-88,,Defensive rebound by M. Carter-Williams
3:56.0,Personal foul by L. Ridnour (drawn by G. Antetokounmpo),,89-88,,
3:54.0,Violation by N. Vucevic (kicked ball),,89-88,,
3:48.0,,,89-88,,K. Middleton misses 2-pt shot from 11 ft
3:48.0,,,89-88,,Offensive rebound by Team
3:46.0,,,89-88,,Turnover by J. Dudley (bad pass; steal by V. Oladipo)
3:26.0,V. Oladipo misses 2-pt shot from 4 ft,,89-88,,
3:25.0,Offensive rebound by N. Vucevic,,89-88,,
3:25.0,N. Vucevic misses 2-pt shot from 1 ft,,89-88,,
3:24.0,,,89-88,,Defensive rebound by Z. Pachulia
3:17.0,,,89-88,,M. Carter-Williams misses 2-pt shot from 2 ft
3:15.0,,,89-88,,Offensive rebound by G. Antetokounmpo
3:12.0,,,89-91,3,K. Middleton makes 3-pt shot from 23 ft (assist by Z. Pachulia)
3:10.0,Orlando full timeout,,89-91,,
3:10.0,E. Payton enters the game for L. Ridnour,,89-91,,
2:48.0,N. Vucevic misses 2-pt shot from 18 ft,,89-91,,
2:46.0,,,89-91,,Defensive rebound by G. Antetokounmpo
2:31.0,,,89-91,,J. Dudley misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by C. Frye,,89-91,,
2:23.0,Orlando full timeout,,89-91,,
2:18.0,T. Harris makes 2-pt shot at rim,2,91-91,,
1:56.0,,,91-91,,Z. Pachulia misses 2-pt shot from 5 ft (block by T. Harris)
1:54.0,Jump ball: T. Harris vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: T. Harris vs. Z. Pachulia (M. Carter-Williams gains possession)
1:54.0,,,91-91,,Offensive rebound by Team
1:47.0,,,91-91,,M. Carter-Williams misses 2-pt shot from 17 ft
1:46.0,,,91-91,,Offensive rebound by Z. Pachulia
1:46.0,,,91-91,,Z. Pachulia misses 2-pt shot from 1 ft
1:44.0,Defensive rebound by N. Vucevic,,91-91,,
1:31.0,V. Oladipo misses 3-pt shot from 25 ft,,91-91,,
