time,Indiana,pts.away,score,pts.home,Orlando
0:07.0,,,24-27,,Defensive rebound by E. Fournier
0:02.0,,,24-27,,D. Marble misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by G. Hill,,24-27,,
0:00.0,G. Hill misses 3-pt shot from 58 ft,,24-27,,
0:00.0,Offensive rebound by Team,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-27,,E. Fournier misses 2-pt shot from 1 ft (block by I. Mahinmi)
11:44.0,Defensive rebound by C. Watson,,24-27,,
11:21.0,L. Scola makes 2-pt shot at rim (assist by C. Watson),2,26-27,,
11:04.0,,,26-27,,Shooting foul by I. Mahinmi (drawn by T. Harris)
11:04.0,,,26-28,1,T. Harris makes free throw 1 of 3
11:04.0,,,26-29,1,T. Harris makes free throw 2 of 3
11:04.0,,,26-29,,A. Gordon enters the game for D. Marble
11:04.0,,,26-30,1,T. Harris makes free throw 3 of 3
10:46.0,R. Stuckey makes 2-pt shot from 19 ft,2,28-30,,
10:37.0,,,28-30,,E. Fournier misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by I. Mahinmi,,28-30,,
10:30.0,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey),2,30-30,,
10:09.0,,,30-33,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris)
9:51.0,,,30-33,,Personal foul by T. Harris (drawn by R. Stuckey)
9:37.0,L. Scola misses 2-pt shot from 5 ft,,30-33,,
9:36.0,,,30-33,,Defensive rebound by A. Gordon
9:20.0,,,30-33,,T. Harris misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by R. Stuckey,,30-33,,
9:12.0,Turnover by R. Stuckey (bad pass; steal by T. Harris),,30-33,,
9:06.0,,,30-35,2,A. Gordon makes 2-pt shot at rim (assist by T. Harris)
8:44.0,D. Rudez makes 2-pt shot from 18 ft (assist by R. Stuckey),2,32-35,,
8:37.0,,,32-35,,Orlando full timeout
8:37.0,,,32-35,,V. Oladipo enters the game for E. Fournier
8:24.0,,,32-35,,W. Green misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by L. Scola,,32-35,,
8:11.0,R. Stuckey makes 2-pt shot from 15 ft,2,34-35,,
7:52.0,Personal foul by R. Stuckey (drawn by V. Oladipo),,34-35,,
7:52.0,,,34-35,,N. Vucevic enters the game for K. O'Quinn
7:52.0,,,34-35,,E. Payton enters the game for W. Green
7:52.0,S. Hill enters the game for R. Stuckey,,34-35,,
7:38.0,,,34-37,2,V. Oladipo makes 2-pt shot from 16 ft
7:22.0,C. Watson makes 2-pt shot from 19 ft (assist by S. Hill),2,36-37,,
7:10.0,,,36-37,,A. Gordon misses 3-pt shot from 22 ft
7:09.0,Defensive rebound by I. Mahinmi,,36-37,,
7:05.0,Offensive charge foul by L. Scola,,36-37,,
7:05.0,Turnover by L. Scola (offensive foul),,36-37,,
7:05.0,R. Hibbert enters the game for I. Mahinmi,,36-37,,
7:05.0,,,36-37,,C. Frye enters the game for T. Harris
6:52.0,,,36-40,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton)
6:39.0,Offensive foul by C. Watson,,36-40,,
6:39.0,Turnover by C. Watson (offensive foul),,36-40,,
6:29.0,,,36-40,,Turnover by V. Oladipo (traveling)
6:14.0,R. Hibbert makes 2-pt shot from 8 ft,2,38-40,,
5:53.0,,,38-40,,V. Oladipo misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by R. Hibbert,,38-40,,
5:42.0,L. Scola makes 2-pt shot from 2 ft (assist by C. Watson),2,40-40,,
5:42.0,Shooting foul by E. Payton (drawn by L. Scola),,40-40,,
5:42.0,Official timeout,,40-40,,
5:42.0,L. Scola misses free throw 1 of 1,,40-40,,
5:41.0,,,40-40,,Defensive rebound by N. Vucevic
5:30.0,,,40-42,2,V. Oladipo makes 2-pt shot at rim
5:12.0,R. Hibbert makes 2-pt shot from 6 ft,2,42-42,,
4:48.0,,,42-42,,A. Gordon misses 2-pt shot from 11 ft
4:44.0,Defensive rebound by R. Hibbert,,42-42,,
4:31.0,Turnover by S. Hill (bad pass),,42-42,,
4:31.0,,,42-42,,T. Harris enters the game for A. Gordon
4:31.0,D. West enters the game for L. Scola,,42-42,,
4:17.0,Personal foul by S. Hill (drawn by V. Oladipo),,42-42,,
4:17.0,G. Hill enters the game for C. Watson,,42-42,,
4:17.0,R. Stuckey enters the game for S. Hill,,42-42,,
4:10.0,,,42-42,,V. Oladipo misses 2-pt shot from 14 ft
4:08.0,Defensive rebound by G. Hill,,42-42,,
4:01.0,R. Hibbert misses 2-pt shot from 5 ft,,42-42,,
3:59.0,,,42-42,,Defensive rebound by V. Oladipo
3:49.0,,,42-42,,Shooting foul by D. West (drawn by T. Harris)
3:49.0,,,42-42,,T. Harris misses free throw 1 of 2
3:49.0,,,42-42,,Offensive rebound by Team
3:49.0,,,42-42,,T. Harris misses free throw 2 of 2
3:48.0,Defensive rebound by R. Hibbert,,42-42,,
3:45.0,Indiana full timeout,,42-42,,
3:27.0,D. West makes 2-pt shot from 17 ft (assist by G. Hill),2,44-42,,
3:07.0,,,44-42,,C. Frye misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by G. Hill,,44-42,,
2:52.0,D. West misses 2-pt shot from 3 ft,,44-42,,
2:50.0,Offensive rebound by R. Hibbert,,44-42,,
2:50.0,R. Hibbert makes 2-pt shot at rim,2,46-42,,
2:43.0,,,46-42,,N. Vucevic misses 2-pt shot from 5 ft
2:41.0,Defensive rebound by R. Hibbert,,46-42,,
2:35.0,G. Hill makes 2-pt shot from 3 ft,2,48-42,,
2:22.0,,,48-44,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
2:03.0,R. Hibbert misses 2-pt shot from 11 ft,,48-44,,
2:01.0,,,48-44,,Defensive rebound by C. Frye
1:52.0,,,48-44,,N. Vucevic misses 2-pt shot from 19 ft
1:51.0,Defensive rebound by D. West,,48-44,,
1:41.0,Shooting foul by E. Payton (drawn by G. Hill),,48-44,,
1:41.0,G. Hill misses free throw 1 of 2,,48-44,,
1:41.0,Offensive rebound by Team,,48-44,,
1:41.0,I. Mahinmi enters the game for R. Hibbert,,48-44,,
1:41.0,G. Hill makes free throw 2 of 2,1,49-44,,
1:28.0,,,49-46,2,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo)
1:28.0,,,49-46,,Shooting foul by I. Mahinmi (drawn by N. Vucevic)
1:28.0,,,49-47,1,N. Vucevic makes free throw 1 of 1
1:09.0,Shooting foul by C. Frye (drawn by D. West),,49-47,,
1:09.0,D. West makes free throw 1 of 2,1,50-47,,
1:09.0,R. Hibbert enters the game for I. Mahinmi,,50-47,,
1:09.0,S. Hill enters the game for D. Rudez,,50-47,,
1:09.0,D. West makes free throw 2 of 2,1,51-47,,
0:50.0,,,51-47,,C. Frye misses 3-pt shot from 25 ft
0:48.0,,,51-47,,Offensive rebound by Team
0:39.0,,,51-47,,V. Oladipo misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by G. Hill,,51-47,,
0:24.0,G. Hill misses 3-pt shot from 28 ft,,51-47,,
0:24.0,,,51-47,,Defensive rebound by Team
0:03.0,,,51-49,2,T. Harris makes 2-pt shot from 1 ft (assist by C. Frye)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,51-49,,N. Vucevic misses 2-pt shot from 8 ft
11:46.0,Defensive rebound by R. Hibbert,,51-49,,
11:32.0,R. Stuckey makes 2-pt shot from 17 ft (assist by D. West),2,53-49,,
11:15.0,,,53-51,2,E. Payton makes 2-pt shot from 10 ft
10:46.0,R. Hibbert misses 2-pt shot from 11 ft,,53-51,,
10:44.0,,,53-51,,Defensive rebound by N. Vucevic
10:37.0,Personal foul by R. Hibbert (drawn by E. Payton),,53-51,,
10:32.0,,,53-53,2,V. Oladipo makes 2-pt shot from 5 ft
10:11.0,C. Watson makes 3-pt shot from 25 ft (assist by R. Stuckey),3,56-53,,
9:56.0,,,56-55,2,N. Vucevic makes 2-pt shot from 16 ft
9:37.0,D. West makes 2-pt shot at rim,2,58-55,,
9:26.0,,,58-57,2,V. Oladipo makes 2-pt shot from 20 ft
9:10.0,Shooting foul by N. Vucevic (drawn by C. Watson),,58-57,,
9:10.0,C. Watson makes free throw 1 of 2,1,59-57,,
9:10.0,C. Watson makes free throw 2 of 2,1,60-57,,
8:57.0,,,60-57,,Turnover by V. Oladipo (bad pass; steal by S. Hill)
8:47.0,D. West misses 2-pt shot from 13 ft,,60-57,,
8:46.0,,,60-57,,Defensive rebound by A. Gordon
8:41.0,Violation by S. Hill (kicked ball),,60-57,,
8:34.0,,,60-57,,E. Payton misses 2-pt shot from 7 ft
8:32.0,,,60-57,,Offensive rebound by E. Payton
8:23.0,,,60-60,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
8:08.0,R. Stuckey makes 2-pt shot from 14 ft,2,62-60,,
8:01.0,,,62-60,,Orlando full timeout
8:00.0,Personal foul by R. Hibbert (drawn by E. Payton),,62-60,,
7:47.0,,,62-60,,C. Frye misses 2-pt shot from 17 ft
7:46.0,Defensive rebound by R. Hibbert,,62-60,,
7:33.0,Turnover by R. Stuckey (bad pass; steal by C. Frye),,62-60,,
7:29.0,,,62-62,2,V. Oladipo makes 2-pt shot at rim
7:29.0,,,62-62,,Shooting foul by D. West (drawn by V. Oladipo)
7:29.0,,,62-63,1,V. Oladipo makes free throw 1 of 1
7:14.0,Offensive charge foul by D. West,,62-63,,
7:14.0,Turnover by D. West (offensive foul),,62-63,,
7:04.0,,,62-65,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
7:04.0,Indiana full timeout,,62-65,,
6:40.0,R. Stuckey misses 2-pt shot from 15 ft,,62-65,,
6:40.0,Offensive rebound by Team,,62-65,,
6:40.0,,,62-65,,Loose ball foul by E. Payton (drawn by D. West)
6:33.0,R. Hibbert makes 2-pt shot from 10 ft,2,64-65,,
6:12.0,,,64-67,2,N. Vucevic makes 2-pt shot from 3 ft
6:00.0,Turnover by C. Watson (bad pass; steal by C. Frye),,64-67,,
5:56.0,,,64-69,2,V. Oladipo makes 2-pt shot at rim
5:39.0,Turnover by R. Stuckey (bad pass; steal by E. Payton),,64-69,,
5:36.0,,,64-69,,Shooting foul by R. Stuckey (drawn by E. Payton)
5:36.0,,,64-70,1,E. Payton makes free throw 1 of 2
5:36.0,G. Hill enters the game for R. Stuckey,,64-70,,
5:36.0,,,64-70,,E. Payton misses free throw 2 of 2
5:35.0,Defensive rebound by R. Hibbert,,64-70,,
5:14.0,R. Hibbert misses 2-pt shot from 10 ft,,64-70,,
5:12.0,,,64-70,,Defensive rebound by A. Gordon
4:57.0,,,64-70,,N. Vucevic misses 2-pt shot from 6 ft
4:56.0,Defensive rebound by R. Hibbert,,64-70,,
4:47.0,G. Hill makes 2-pt shot from 6 ft,2,66-70,,
4:47.0,Shooting foul by E. Payton (drawn by G. Hill),,66-70,,
4:47.0,I. Mahinmi enters the game for R. Hibbert,,66-70,,
4:47.0,,,66-70,,T. Harris enters the game for A. Gordon
4:47.0,,,66-70,,W. Green enters the game for E. Payton
4:47.0,G. Hill makes free throw 1 of 1,1,67-70,,
4:33.0,,,67-72,2,V. Oladipo makes 2-pt shot at rim (assist by C. Frye)
4:14.0,G. Hill misses 3-pt shot from 28 ft,,67-72,,
4:13.0,,,67-72,,Defensive rebound by N. Vucevic
4:03.0,,,67-72,,W. Green misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by S. Hill,,67-72,,
3:48.0,D. West makes 2-pt shot from 20 ft (assist by I. Mahinmi),2,69-72,,
3:26.0,,,69-74,2,N. Vucevic makes 2-pt shot from 16 ft (assist by V. Oladipo)
3:15.0,C. Watson misses 3-pt shot from 25 ft,,69-74,,
3:13.0,Offensive rebound by G. Hill,,69-74,,
3:10.0,D. West misses 3-pt shot from 25 ft,,69-74,,
3:08.0,,,69-74,,Defensive rebound by W. Green
3:02.0,,,69-74,,V. Oladipo misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by C. Watson,,69-74,,
2:55.0,,,69-74,,Personal foul by V. Oladipo (drawn by C. Watson)
2:55.0,D. Rudez enters the game for C. Watson,,69-74,,
2:55.0,,,69-74,,E. Fournier enters the game for V. Oladipo
2:47.0,Shooting foul by C. Frye (drawn by D. West),,69-74,,
2:47.0,D. West makes free throw 1 of 2,1,70-74,,
2:47.0,D. West makes free throw 2 of 2,1,71-74,,
2:34.0,,,71-74,,T. Harris misses 2-pt shot from 15 ft
2:33.0,Defensive rebound by G. Hill,,71-74,,
2:25.0,D. West makes 2-pt shot from 20 ft (assist by G. Hill),2,73-74,,
2:03.0,,,73-74,,N. Vucevic misses 2-pt shot from 9 ft
2:01.0,Defensive rebound by D. West,,73-74,,
1:53.0,D. Rudez misses 3-pt shot from 26 ft,,73-74,,
1:52.0,,,73-74,,Defensive rebound by C. Frye
1:46.0,,,73-74,,K. O'Quinn enters the game for N. Vucevic
1:38.0,,,73-77,3,C. Frye makes 3-pt shot from 26 ft (assist by W. Green)
1:22.0,G. Hill misses 3-pt shot from 26 ft,,73-77,,
1:21.0,,,73-77,,Defensive rebound by C. Frye
1:15.0,,,73-77,,Offensive foul by C. Frye
1:15.0,,,73-77,,Turnover by C. Frye (offensive foul)
1:15.0,L. Scola enters the game for D. West,,73-77,,
0:54.0,S. Hill misses 2-pt shot from 14 ft,,73-77,,
0:52.0,,,73-77,,Defensive rebound by T. Harris
0:43.0,,,73-79,2,C. Frye makes 2-pt shot from 1 ft (assist by K. O'Quinn)
0:43.0,,,73-79,,Shooting foul by L. Scola (drawn by C. Frye)
0:43.0,,,73-80,1,C. Frye makes free throw 1 of 1
0:30.0,G. Hill makes 2-pt shot at rim,2,75-80,,
0:06.0,,,75-82,2,W. Green makes 2-pt shot from 20 ft
0:00.0,G. Hill misses 2-pt shot from 14 ft (block by K. O'Quinn),,75-82,,
0:00.0,Offensive rebound by Team,,75-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,,,75-82,,Personal foul by W. Green (drawn by C. Watson)
11:43.0,D. Rudez misses 3-pt shot from 25 ft,,75-82,,
11:39.0,Offensive rebound by L. Scola,,75-82,,
11:39.0,L. Scola misses 2-pt shot from 1 ft,,75-82,,
11:38.0,,,75-82,,Defensive rebound by K. O'Quinn
11:29.0,,,75-82,,Turnover by W. Green (lost ball; steal by C. Watson)
11:22.0,R. Stuckey misses 2-pt shot from 6 ft,,75-82,,
11:21.0,,,75-82,,Defensive rebound by T. Harris
11:14.0,,,75-84,2,W. Green makes 2-pt shot at rim (assist by K. O'Quinn)
11:02.0,I. Mahinmi misses 2-pt shot at rim (block by K. O'Quinn),,75-84,,
10:58.0,,,75-84,,Defensive rebound by T. Harris
10:50.0,,,75-84,,E. Fournier misses 2-pt shot from 7 ft
10:48.0,,,75-84,,Offensive rebound by E. Fournier
10:47.0,,,75-84,,E. Fournier misses 2-pt shot at rim
10:45.0,Defensive rebound by I. Mahinmi,,75-84,,
10:41.0,D. Rudez misses 3-pt shot from 25 ft,,75-84,,
10:39.0,Offensive rebound by L. Scola,,75-84,,
10:38.0,L. Scola misses 2-pt shot at rim,,75-84,,
10:36.0,,,75-84,,Defensive rebound by D. Marble
10:21.0,,,75-84,,T. Harris misses 2-pt shot at rim
10:20.0,Defensive rebound by I. Mahinmi,,75-84,,
10:16.0,Shooting foul by D. Marble (drawn by R. Stuckey),,75-84,,
10:16.0,R. Stuckey makes free throw 1 of 2,1,76-84,,
10:16.0,R. Stuckey makes free throw 2 of 2,1,77-84,,
9:55.0,,,77-86,2,D. Marble makes 2-pt shot from 5 ft
9:46.0,,,77-86,,Personal foul by T. Harris (drawn by L. Scola)
9:34.0,I. Mahinmi makes 2-pt shot at rim (assist by L. Scola),2,79-86,,
9:14.0,,,79-86,,Turnover by T. Harris (lost ball; steal by L. Scola)
9:13.0,,,79-86,,Personal foul by W. Green (drawn by C. Watson)
8:57.0,C. Watson misses 2-pt shot from 5 ft (block by W. Green),,79-86,,
8:55.0,,,79-86,,Defensive rebound by K. O'Quinn
8:54.0,Personal foul by L. Scola (drawn by K. O'Quinn),,79-86,,
8:54.0,Official timeout,,79-86,,
8:39.0,,,79-88,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by E. Fournier)
8:17.0,Turnover by R. Stuckey (bad pass; steal by W. Green),,79-88,,
8:13.0,,,79-88,,Turnover by E. Fournier (lost ball)
8:04.0,Turnover by D. Rudez (bad pass),,79-88,,
7:48.0,,,79-88,,D. Marble misses 3-pt shot from 23 ft
7:47.0,Defensive rebound by I. Mahinmi,,79-88,,
7:39.0,D. Rudez makes 3-pt shot from 24 ft (assist by R. Stuckey),3,82-88,,
7:33.0,,,82-88,,Orlando full timeout
7:33.0,,,82-88,,V. Oladipo enters the game for D. Marble
7:33.0,,,82-88,,N. Vucevic enters the game for K. O'Quinn
7:33.0,,,82-88,,E. Payton enters the game for W. Green
7:33.0,S. Hill enters the game for R. Stuckey,,82-88,,
7:33.0,D. West enters the game for L. Scola,,82-88,,
7:27.0,,,82-88,,Shooting foul by D. Rudez (drawn by N. Vucevic)
7:27.0,,,82-89,1,N. Vucevic makes free throw 1 of 2
7:27.0,,,82-90,1,N. Vucevic makes free throw 2 of 2
7:08.0,C. Watson makes 3-pt shot from 25 ft (assist by D. Rudez),3,85-90,,
6:46.0,,,85-90,,E. Fournier misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by D. West,,85-90,,
6:32.0,D. Rudez makes 3-pt shot from 27 ft (assist by C. Watson),3,88-90,,
6:11.0,,,88-90,,V. Oladipo misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by I. Mahinmi,,88-90,,
5:51.0,D. Rudez makes 2-pt shot at rim (assist by C. Watson),2,90-90,,
5:49.0,,,90-90,,Orlando full timeout
5:49.0,G. Hill enters the game for S. Hill,,90-90,,
5:36.0,,,90-90,,V. Oladipo misses 2-pt shot from 18 ft
5:33.0,,,90-90,,Offensive rebound by T. Harris
5:31.0,Personal foul by I. Mahinmi (drawn by N. Vucevic),,90-90,,
5:25.0,,,90-90,,Turnover by V. Oladipo (lost ball; steal by D. West)
5:23.0,Turnover by D. West (lost ball; steal by V. Oladipo),,90-90,,
5:07.0,,,90-90,,E. Payton misses 2-pt shot from 2 ft (block by I. Mahinmi)
5:05.0,Defensive rebound by I. Mahinmi,,90-90,,
4:51.0,D. Rudez makes 3-pt shot from 25 ft (assist by C. Watson),3,93-90,,
4:41.0,,,93-90,,Shooting foul by D. West (drawn by T. Harris)
4:41.0,,,93-90,,T. Harris misses free throw 1 of 2
4:41.0,,,93-90,,Offensive rebound by Team
4:41.0,,,93-90,,C. Frye enters the game for E. Fournier
4:41.0,,,93-91,1,T. Harris makes free throw 2 of 2
4:28.0,I. Mahinmi makes 2-pt shot at rim (assist by C. Watson),2,95-91,,
4:11.0,,,95-91,,C. Frye misses 2-pt shot from 20 ft
4:10.0,Defensive rebound by D. Rudez,,95-91,,
4:02.0,C. Watson misses 2-pt shot from 16 ft,,95-91,,
4:00.0,,,95-91,,Defensive rebound by N. Vucevic
3:44.0,,,95-93,2,E. Payton makes 2-pt shot at rim
3:15.0,D. West misses 2-pt shot from 15 ft,,95-93,,
3:14.0,,,95-93,,Defensive rebound by T. Harris
3:07.0,,,95-95,2,E. Payton makes 2-pt shot from 7 ft
3:07.0,,,95-95,,Shooting foul by C. Watson (drawn by E. Payton)
3:07.0,Indiana full timeout,,95-95,,
3:07.0,,,95-95,,E. Payton misses free throw 1 of 1
3:06.0,Defensive rebound by D. Rudez,,95-95,,
2:42.0,D. Rudez makes 2-pt shot from 14 ft (assist by C. Watson),2,97-95,,
2:23.0,,,97-95,,Shooting foul by I. Mahinmi (drawn by N. Vucevic)
2:23.0,,,97-96,1,N. Vucevic makes free throw 1 of 2
2:23.0,R. Hibbert enters the game for I. Mahinmi,,97-96,,
2:23.0,,,97-97,1,N. Vucevic makes free throw 2 of 2
2:07.0,G. Hill makes 2-pt shot at rim,2,99-97,,
1:47.0,,,99-97,,Turnover by C. Frye (bad pass; steal by D. West)
1:45.0,G. Hill makes 2-pt shot at rim,2,101-97,,
1:45.0,,,101-97,,Orlando full timeout
1:35.0,,,101-99,2,E. Payton makes 2-pt shot from 8 ft
1:19.0,Shooting foul by N. Vucevic (drawn by R. Hibbert),,101-99,,
1:19.0,R. Hibbert makes free throw 1 of 2,1,102-99,,
1:19.0,R. Hibbert misses free throw 2 of 2,,102-99,,
1:18.0,,,102-99,,Defensive rebound by N. Vucevic
