time,Denver,pts.away,score,pts.home,Orlando
4:53.0,D. Gallinari misses 2-pt shot from 23 ft,,14-17,,
4:53.0,,,14-17,,Defensive rebound by Team
4:53.0,Personal foul by K. Faried (drawn by A. Nicholson),,14-17,,
4:39.0,,,14-17,,N. Vucevic misses 2-pt shot from 21 ft
4:38.0,,,14-17,,Offensive rebound by E. Payton
4:33.0,,,14-17,,V. Oladipo misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by D. Gallinari,,14-17,,
4:30.0,,,14-17,,Personal foul by M. Harkless (drawn by D. Gallinari)
4:30.0,D. Gallinari makes free throw 1 of 2,1,15-17,,
4:30.0,J. Nelson enters the game for J. Nurkic,,15-17,,
4:30.0,,,15-17,,A. Gordon enters the game for M. Harkless
4:30.0,D. Gallinari makes free throw 2 of 2,1,16-17,,
4:14.0,,,16-17,,A. Nicholson misses 2-pt shot from 7 ft
4:12.0,,,16-17,,Offensive rebound by E. Payton
4:04.0,,,16-19,2,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton)
3:52.0,Offensive charge foul by W. Chandler,,16-19,,
3:52.0,Turnover by W. Chandler (offensive foul),,16-19,,
3:37.0,,,16-21,2,N. Vucevic makes 2-pt shot at rim
3:17.0,,,16-21,,Personal block foul by A. Gordon (drawn by D. Gallinari)
3:17.0,D. Gallinari makes free throw 1 of 2,1,17-21,,
3:17.0,J. Hickson enters the game for K. Faried,,17-21,,
3:17.0,D. Gallinari makes free throw 2 of 2,1,18-21,,
2:54.0,,,18-23,2,V. Oladipo makes 2-pt shot from 19 ft
2:26.0,J. Hickson makes 2-pt shot from 6 ft (assist by D. Gallinari),2,20-23,,
2:23.0,,,20-23,,Orlando full timeout
2:23.0,,,20-23,,L. Ridnour enters the game for A. Nicholson
2:23.0,,,20-23,,W. Green enters the game for E. Payton
2:12.0,,,20-23,,V. Oladipo misses 2-pt shot from 10 ft
2:12.0,Defensive rebound by Team,,20-23,,
2:03.0,W. Barton enters the game for W. Chandler,,20-23,,
2:03.0,D. Arthur enters the game for D. Gallinari,,20-23,,
1:54.0,Turnover by J. Nelson (lost ball),,20-23,,
1:30.0,,,20-25,2,V. Oladipo makes 2-pt shot from 6 ft (assist by W. Green)
1:20.0,J. Nelson makes 3-pt shot from 26 ft (assist by T. Lawson),3,23-25,,
1:12.0,,,23-25,,Offensive foul by N. Vucevic
1:12.0,,,23-25,,Turnover by N. Vucevic (offensive foul)
1:12.0,,,23-25,,K. O'Quinn enters the game for N. Vucevic
1:12.0,,,23-25,,B. Gordon enters the game for V. Oladipo
1:12.0,,,23-25,,Violation by Team (delay of game)
0:56.0,J. Nelson misses 3-pt shot from 25 ft,,23-25,,
0:55.0,,,23-25,,Defensive rebound by A. Gordon
0:40.0,,,23-25,,W. Green misses 2-pt shot from 20 ft
0:39.0,Defensive rebound by J. Hickson,,23-25,,
0:30.0,J. Nelson makes 3-pt shot from 23 ft,3,26-25,,
0:13.0,,,26-25,,A. Gordon misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by W. Barton,,26-25,,
0:01.0,J. Nelson makes 2-pt shot from 2 ft (assist by D. Arthur),2,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,E. Green enters the game for T. Lawson,,28-25,,
11:40.0,D. Arthur makes 2-pt shot from 18 ft (assist by W. Barton),2,30-25,,
11:19.0,Personal foul by E. Green (drawn by B. Gordon),,30-25,,
11:09.0,,,30-25,,Turnover by B. Gordon (bad pass; steal by J. Hickson)
11:02.0,W. Barton makes 2-pt shot from 1 ft,2,32-25,,
11:02.0,Shooting foul by W. Green (drawn by W. Barton),,32-25,,
11:02.0,W. Barton makes free throw 1 of 1,1,33-25,,
10:46.0,,,33-25,,A. Gordon misses 2-pt shot from 11 ft
10:44.0,,,33-25,,Offensive rebound by A. Gordon
10:44.0,,,33-25,,Shooting foul by D. Arthur (drawn by A. Gordon)
10:44.0,,,33-26,1,A. Gordon makes free throw 1 of 2
10:44.0,,,33-27,1,A. Gordon makes free throw 2 of 2
10:36.0,J. Hickson makes 2-pt shot from 9 ft (assist by J. Nelson),2,35-27,,
10:23.0,,,35-27,,A. Gordon misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by J. Hickson,,35-27,,
10:17.0,Shooting foul by A. Gordon (drawn by W. Barton),,35-27,,
10:17.0,W. Barton makes free throw 1 of 2,1,36-27,,
10:17.0,,,36-27,,A. Nicholson enters the game for A. Gordon
10:17.0,W. Barton makes free throw 2 of 2,1,37-27,,
9:54.0,,,37-29,2,W. Green makes 2-pt shot from 20 ft (assist by L. Ridnour)
9:46.0,J. Hickson makes 2-pt shot from 5 ft (assist by J. Nelson),2,39-29,,
9:46.0,Shooting foul by A. Nicholson (drawn by J. Hickson),,39-29,,
9:46.0,J. Hickson makes free throw 1 of 1,1,40-29,,
9:34.0,,,40-31,2,B. Gordon makes 2-pt shot from 16 ft
9:23.0,W. Barton misses 3-pt shot from 25 ft,,40-31,,
9:21.0,,,40-31,,Defensive rebound by A. Nicholson
9:21.0,Personal foul by J. Nelson (drawn by A. Nicholson),,40-31,,
9:06.0,,,40-33,2,K. O'Quinn makes 2-pt shot from 5 ft (assist by L. Ridnour)
8:56.0,,,40-33,,Personal foul by A. Nicholson (drawn by J. Hickson)
8:56.0,Official timeout,,40-33,,
8:56.0,,,40-33,,N. Vucevic enters the game for A. Nicholson
8:39.0,J. Nelson makes 3-pt shot from 24 ft (assist by W. Barton),3,43-33,,
8:25.0,,,43-33,,Turnover by N. Vucevic (bad pass)
8:12.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,45-33,,
7:45.0,,,45-33,,N. Vucevic misses 2-pt shot from 13 ft
7:45.0,,,45-33,,Offensive rebound by Team
7:45.0,Loose ball foul by D. Arthur (drawn by K. O'Quinn),,45-33,,
7:45.0,,,45-33,,E. Payton enters the game for W. Green
7:45.0,D. Gallinari enters the game for D. Arthur,,45-33,,
7:33.0,,,45-33,,B. Gordon misses 2-pt shot from 15 ft
7:30.0,Defensive rebound by D. Gallinari,,45-33,,
7:22.0,D. Gallinari misses 3-pt shot from 25 ft,,45-33,,
7:21.0,Offensive rebound by W. Barton,,45-33,,
7:16.0,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Barton),3,48-33,,
7:14.0,,,48-33,,Orlando full timeout
7:14.0,,,48-33,,V. Oladipo enters the game for L. Ridnour
7:14.0,,,48-33,,M. Harkless enters the game for K. O'Quinn
6:54.0,,,48-33,,Turnover by E. Payton (bad pass; steal by W. Barton)
6:45.0,J. Hickson misses 2-pt shot at rim (block by N. Vucevic),,48-33,,
6:44.0,Offensive rebound by J. Hickson,,48-33,,
6:44.0,J. Hickson misses 2-pt shot at rim,,48-33,,
6:41.0,Offensive rebound by J. Hickson,,48-33,,
6:41.0,J. Hickson misses 2-pt shot at rim,,48-33,,
6:40.0,Offensive rebound by J. Hickson,,48-33,,
6:40.0,J. Hickson misses 2-pt shot at rim,,48-33,,
6:39.0,,,48-33,,Defensive rebound by E. Payton
6:34.0,,,48-35,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
6:12.0,D. Gallinari makes 2-pt shot from 20 ft,2,50-35,,
6:00.0,,,50-35,,Turnover by B. Gordon (bad pass; steal by E. Green)
5:50.0,D. Gallinari misses 3-pt shot from 24 ft,,50-35,,
5:48.0,Offensive rebound by J. Nelson,,50-35,,
5:48.0,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson),2,52-35,,
5:48.0,Shooting foul by B. Gordon (drawn by W. Barton),,52-35,,
5:48.0,J. Nurkic enters the game for J. Hickson,,52-35,,
5:48.0,,,52-35,,W. Green enters the game for B. Gordon
5:48.0,W. Barton makes free throw 1 of 1,1,53-35,,
5:37.0,,,53-35,,Turnover by E. Payton (bad pass)
5:21.0,W. Barton misses 2-pt shot from 16 ft,,53-35,,
5:18.0,,,53-35,,Defensive rebound by E. Payton
5:16.0,,,53-35,,Turnover by E. Payton (bad pass; steal by J. Nelson)
5:09.0,E. Green makes 3-pt shot from 25 ft (assist by J. Nelson),3,56-35,,
4:54.0,,,56-35,,V. Oladipo misses 2-pt shot from 19 ft
4:53.0,Defensive rebound by D. Gallinari,,56-35,,
4:37.0,Shooting foul by E. Payton (drawn by J. Nurkic),,56-35,,
4:37.0,J. Nurkic makes free throw 1 of 2,1,57-35,,
4:37.0,J. Nurkic misses free throw 2 of 2,,57-35,,
4:36.0,,,57-35,,Defensive rebound by N. Vucevic
4:21.0,,,57-35,,Turnover by V. Oladipo (bad pass; steal by W. Barton)
4:19.0,,,57-35,,Personal take foul by V. Oladipo (drawn by W. Barton)
4:19.0,W. Barton makes free throw 1 of 2,1,58-35,,
4:19.0,W. Barton misses free throw 2 of 2,,58-35,,
4:18.0,,,58-35,,Defensive rebound by N. Vucevic
4:05.0,,,58-35,,Turnover by E. Payton (bad pass; steal by D. Gallinari)
4:00.0,J. Nelson makes 2-pt shot from 2 ft,2,60-35,,
3:59.0,,,60-35,,Orlando full timeout
3:59.0,,,60-35,,L. Ridnour enters the game for M. Harkless
3:47.0,,,60-37,2,N. Vucevic makes 2-pt shot from 1 ft (assist by W. Green)
3:34.0,E. Green makes 3-pt shot from 22 ft (assist by D. Gallinari),3,63-37,,
3:17.0,,,63-39,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
2:48.0,E. Green misses 3-pt shot from 25 ft,,63-39,,
2:47.0,Offensive rebound by J. Nurkic,,63-39,,
2:45.0,J. Nurkic makes 2-pt shot from 5 ft,2,65-39,,
2:35.0,,,65-39,,E. Payton misses 2-pt shot from 3 ft
2:32.0,Defensive rebound by J. Nurkic,,65-39,,
2:25.0,J. Nelson misses 3-pt shot from 28 ft,,65-39,,
2:22.0,Offensive rebound by W. Barton,,65-39,,
2:21.0,Turnover by W. Barton (lost ball; steal by L. Ridnour),,65-39,,
2:15.0,,,65-42,3,W. Green makes 3-pt shot from 24 ft (assist by L. Ridnour)
1:54.0,D. Gallinari misses 3-pt shot from 23 ft,,65-42,,
1:53.0,Offensive rebound by W. Barton,,65-42,,
1:51.0,W. Barton misses 2-pt shot at rim,,65-42,,
1:50.0,,,65-42,,Defensive rebound by N. Vucevic
1:47.0,,,65-42,,Shooting foul by J. Nurkic (drawn by V. Oladipo)
1:47.0,Denver full timeout,,65-42,,
1:47.0,,,65-43,1,V. Oladipo makes free throw 1 of 2
1:47.0,,,65-44,1,V. Oladipo makes free throw 2 of 2
1:35.0,Turnover by J. Nelson (bad pass; steal by V. Oladipo),,65-44,,
1:19.0,,,65-46,2,L. Ridnour makes 2-pt shot from 17 ft
0:58.0,J. Nurkic makes 2-pt shot from 5 ft,2,67-46,,
0:44.0,,,67-46,,Shooting foul by J. Nurkic (drawn by N. Vucevic)
0:44.0,,,67-47,1,N. Vucevic makes free throw 1 of 2
0:44.0,J. Hickson enters the game for J. Nurkic,,67-47,,
0:44.0,,,67-48,1,N. Vucevic makes free throw 2 of 2
0:34.0,Shooting foul by V. Oladipo (drawn by J. Nelson),,67-48,,
0:34.0,J. Nelson makes free throw 1 of 2,1,68-48,,
0:34.0,,,68-48,,M. Harkless enters the game for V. Oladipo
0:34.0,J. Nelson makes free throw 2 of 2,1,69-48,,
0:21.0,,,69-51,3,W. Green makes 3-pt shot from 23 ft (assist by E. Payton)
0:02.0,J. Nelson misses 3-pt shot from 26 ft,,69-51,,
0:01.0,,,69-51,,Defensive rebound by L. Ridnour
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Gallinari makes 2-pt shot from 1 ft,2,71-51,,
11:34.0,,,71-51,,Offensive foul by V. Oladipo
11:34.0,,,71-51,,Turnover by V. Oladipo (offensive foul)
11:25.0,D. Gallinari misses 3-pt shot from 25 ft,,71-51,,
11:24.0,Offensive rebound by K. Faried,,71-51,,
11:19.0,Turnover by D. Gallinari (bad pass; steal by E. Payton),,71-51,,
11:16.0,Personal take foul by T. Lawson (drawn by E. Payton),,71-51,,
11:16.0,,,71-51,,W. Green enters the game for V. Oladipo
11:10.0,,,71-53,2,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton)
10:50.0,D. Gallinari makes 2-pt shot from 1 ft,2,73-53,,
10:27.0,,,73-53,,N. Vucevic misses 2-pt shot from 16 ft
10:25.0,Defensive rebound by D. Gallinari,,73-53,,
10:16.0,J. Nurkic misses 2-pt shot from 2 ft,,73-53,,
10:15.0,Offensive rebound by T. Lawson,,73-53,,
10:09.0,W. Chandler misses 2-pt shot from 9 ft,,73-53,,
10:07.0,,,73-53,,Defensive rebound by N. Vucevic
9:57.0,,,73-53,,A. Nicholson misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by W. Chandler,,73-53,,
9:49.0,Shooting foul by A. Nicholson (drawn by K. Faried),,73-53,,
9:49.0,K. Faried makes free throw 1 of 2,1,74-53,,
9:49.0,,,74-53,,V. Oladipo enters the game for M. Harkless
9:49.0,K. Faried makes free throw 2 of 2,1,75-53,,
9:41.0,Personal foul by J. Nurkic (drawn by E. Payton),,75-53,,
9:25.0,,,75-53,,Turnover by N. Vucevic (bad pass; steal by D. Gallinari)
9:22.0,D. Gallinari makes 2-pt shot at rim,2,77-53,,
9:10.0,,,77-55,2,A. Nicholson makes 2-pt shot from 6 ft (assist by E. Payton)
8:48.0,J. Nurkic misses 2-pt shot from 17 ft,,77-55,,
8:47.0,,,77-55,,Defensive rebound by A. Nicholson
8:35.0,,,77-57,2,N. Vucevic makes 2-pt shot from 9 ft (assist by A. Nicholson)
8:24.0,Turnover by K. Faried (3 sec),,77-57,,
8:13.0,,,77-59,2,V. Oladipo makes 2-pt shot at rim (assist by A. Nicholson)
7:59.0,,,77-59,,Personal foul by A. Nicholson (drawn by W. Chandler)
7:59.0,,,77-59,,A. Gordon enters the game for A. Nicholson
7:46.0,W. Chandler misses 2-pt shot at rim,,77-59,,
7:45.0,Offensive rebound by W. Chandler,,77-59,,
7:45.0,W. Chandler misses 2-pt shot at rim,,77-59,,
7:45.0,Offensive rebound by W. Chandler,,77-59,,
7:45.0,,,77-59,,Personal foul by N. Vucevic (drawn by K. Faried)
7:42.0,,,77-59,,Personal foul by W. Green (drawn by D. Gallinari)
7:32.0,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Chandler),3,80-59,,
7:18.0,,,80-59,,A. Gordon misses 2-pt shot from 5 ft (block by J. Nurkic)
7:15.0,,,80-59,,Offensive rebound by E. Payton
7:04.0,,,80-59,,E. Payton misses 3-pt shot from 25 ft
7:04.0,,,80-59,,Offensive rebound by Team
7:04.0,,,80-59,,Turnover by Team (shot clock)
6:52.0,W. Chandler makes 3-pt shot from 26 ft (assist by D. Gallinari),3,83-59,,
6:51.0,,,83-59,,Orlando full timeout
6:51.0,,,83-59,,L. Ridnour enters the game for W. Green
6:30.0,,,83-61,2,A. Gordon makes 2-pt shot from 2 ft
6:15.0,,,83-61,,Personal foul by E. Payton (drawn by D. Gallinari)
6:15.0,D. Gallinari makes free throw 1 of 2,1,84-61,,
6:15.0,D. Gallinari misses free throw 2 of 2,,84-61,,
6:14.0,,,84-61,,Defensive rebound by E. Payton
5:57.0,,,84-61,,A. Gordon misses 2-pt shot from 10 ft
5:57.0,Defensive rebound by J. Nurkic,,84-61,,
5:57.0,,,84-61,,Personal foul by N. Vucevic (drawn by J. Nurkic)
5:57.0,J. Nurkic misses free throw 1 of 2,,84-61,,
5:57.0,Offensive rebound by Team,,84-61,,
5:57.0,J. Nurkic misses free throw 2 of 2,,84-61,,
5:55.0,,,84-61,,Defensive rebound by N. Vucevic
5:44.0,,,84-61,,E. Payton misses 2-pt shot from 2 ft (block by J. Nurkic)
5:43.0,,,84-61,,Offensive rebound by Team
5:36.0,,,84-61,,L. Ridnour misses 2-pt shot from 21 ft
5:35.0,Defensive rebound by W. Chandler,,84-61,,
5:25.0,K. Faried makes 2-pt shot at rim (assist by J. Nurkic),2,86-61,,
5:10.0,,,86-61,,L. Ridnour misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by K. Faried,,86-61,,
4:58.0,J. Nurkic makes 2-pt shot at rim (assist by T. Lawson),2,88-61,,
4:56.0,,,88-61,,Orlando full timeout
4:56.0,,,88-61,,W. Green enters the game for N. Vucevic
4:56.0,,,88-61,,M. Harkless enters the game for V. Oladipo
4:56.0,,,88-61,,A. Nicholson enters the game for A. Gordon
4:41.0,,,88-63,2,E. Payton makes 2-pt shot from 6 ft (assist by L. Ridnour)
4:41.0,Violation by K. Faried (def goaltending),,88-63,,
4:18.0,K. Faried misses 2-pt shot from 6 ft,,88-63,,
4:18.0,,,88-63,,Defensive rebound by Team
4:09.0,,,88-63,,Turnover by A. Nicholson (lost ball; steal by W. Chandler)
4:00.0,K. Faried misses 2-pt shot from 1 ft,,88-63,,
3:58.0,,,88-63,,Defensive rebound by E. Payton
3:51.0,,,88-63,,E. Payton misses 2-pt shot from 4 ft (block by D. Gallinari)
3:49.0,Defensive rebound by D. Gallinari,,88-63,,
3:43.0,K. Faried makes 2-pt shot at rim (assist by W. Chandler),2,90-63,,
3:31.0,,,90-63,,W. Green misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by D. Gallinari,,90-63,,
3:23.0,Shooting foul by E. Payton (drawn by D. Gallinari),,90-63,,
3:23.0,D. Gallinari makes free throw 1 of 2,1,91-63,,
3:23.0,,,91-63,,B. Gordon enters the game for E. Payton
3:23.0,D. Gallinari makes free throw 2 of 2,1,92-63,,
3:07.0,Personal foul by J. Nurkic (drawn by W. Green),,92-63,,
3:00.0,,,92-63,,L. Ridnour misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by J. Nurkic,,92-63,,
2:54.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,94-63,,
2:42.0,,,94-63,,W. Green misses 2-pt shot from 14 ft
2:40.0,,,94-63,,Offensive rebound by A. Nicholson
2:40.0,,,94-65,2,A. Nicholson makes 2-pt shot at rim
2:40.0,,,94-65,,Shooting foul by W. Chandler (drawn by A. Nicholson)
2:40.0,,,94-65,,A. Nicholson misses free throw 1 of 1
2:40.0,Defensive rebound by K. Faried,,94-65,,
2:28.0,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lawson),2,96-65,,
2:11.0,,,96-67,2,M. Harkless makes 2-pt shot from 2 ft (assist by L. Ridnour)
1:50.0,J. Nurkic makes 2-pt shot at rim (assist by T. Lawson),2,98-67,,
1:39.0,,,98-69,2,L. Ridnour makes 2-pt shot from 15 ft
1:23.0,,,98-69,,Personal foul by B. Gordon (drawn by D. Gallinari)
1:23.0,D. Gallinari makes free throw 1 of 2,1,99-69,,
1:23.0,D. Gallinari makes free throw 2 of 2,1,100-69,,
1:11.0,,,100-69,,Turnover by A. Nicholson (bad pass; steal by K. Faried)
1:07.0,K. Faried makes 2-pt shot at rim,2,102-69,,
1:00.0,,,102-72,3,W. Green makes 3-pt shot from 23 ft (assist by L. Ridnour)
0:50.0,Turnover by J. Nurkic (lost ball),,102-72,,
0:32.0,,,102-72,,Turnover by M. Harkless (bad pass; steal by D. Gallinari)
0:30.0,Jump ball: D. Gallinari vs. A. Nicholson (T. Lawson gains possession),,,,Jump ball: D. Gallinari vs. A. Nicholson (T. Lawson gains possession)
0:12.0,T. Lawson misses 2-pt shot from 15 ft,,102-72,,
0:11.0,,,102-72,,Defensive rebound by Team
0:00.0,,,102-72,,B. Gordon misses 3-pt shot from 26 ft (block by D. Gallinari)
0:00.0,Defensive rebound by W. Chandler,,102-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,102-75,3,V. Oladipo makes 3-pt shot from 24 ft (assist by W. Green)
11:31.0,D. Gallinari makes 2-pt shot from 19 ft (assist by T. Lawson),2,104-75,,
11:15.0,,,104-75,,V. Oladipo misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by J. Nurkic,,104-75,,
11:05.0,W. Chandler misses 3-pt shot from 26 ft,,104-75,,
11:05.0,,,104-75,,Defensive rebound by Team
11:05.0,Personal foul by J. Nurkic (drawn by K. O'Quinn),,104-75,,
11:05.0,,,104-75,,A. Nicholson enters the game for W. Green
11:05.0,W. Barton enters the game for J. Nurkic,,104-75,,
10:53.0,,,104-75,,K. O'Quinn misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by W. Barton,,104-75,,
10:44.0,D. Gallinari misses 3-pt shot from 25 ft,,104-75,,
10:42.0,,,104-75,,Defensive rebound by A. Nicholson
10:31.0,,,104-77,2,A. Nicholson makes 2-pt shot from 21 ft (assist by B. Gordon)
10:13.0,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson),3,107-77,,
10:12.0,Violation by Team (delay of game),,107-77,,
10:03.0,,,107-77,,K. O'Quinn misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by K. Faried,,107-77,,
9:51.0,D. Gallinari misses 3-pt shot from 24 ft,,107-77,,
9:49.0,,,107-77,,Defensive rebound by V. Oladipo
9:28.0,,,107-77,,Shooting foul by W. Barton (drawn by B. Gordon)
9:28.0,,,107-78,1,B. Gordon makes free throw 1 of 2
9:28.0,J. Lauvergne enters the game for W. Chandler,,107-78,,
9:28.0,G. Harris enters the game for T. Lawson,,107-78,,
9:28.0,,,107-78,,E. Payton enters the game for A. Nicholson
9:28.0,,,107-78,,B. Gordon misses free throw 2 of 2
9:27.0,Defensive rebound by J. Lauvergne,,107-78,,
9:09.0,D. Gallinari misses 2-pt shot from 17 ft,,107-78,,
9:07.0,,,107-78,,Defensive rebound by B. Gordon
8:59.0,,,107-78,,B. Gordon misses 2-pt shot from 3 ft
8:58.0,Defensive rebound by J. Lauvergne,,107-78,,
8:53.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Lauvergne),3,110-78,,
8:43.0,,,110-80,2,V. Oladipo makes 2-pt shot from 8 ft
8:37.0,Denver full timeout,,110-80,,
8:37.0,,,110-80,,A. Gordon enters the game for B. Gordon
8:37.0,E. Green enters the game for D. Gallinari,,110-80,,
8:23.0,E. Green misses 2-pt shot from 15 ft,,110-80,,
8:20.0,,,110-80,,Defensive rebound by K. O'Quinn
8:13.0,,,110-82,2,V. Oladipo makes 2-pt shot from 1 ft
7:47.0,K. Faried misses 2-pt shot from 19 ft,,110-82,,
7:46.0,Offensive rebound by E. Green,,110-82,,
7:44.0,E. Green misses 2-pt shot from 17 ft,,110-82,,
7:44.0,Offensive rebound by Team,,110-82,,
7:44.0,Turnover by Team (shot clock),,110-82,,
7:44.0,J. Hickson enters the game for K. Faried,,110-82,,
7:36.0,Personal foul by J. Hickson (drawn by V. Oladipo),,110-82,,
7:25.0,,,110-82,,K. O'Quinn misses 2-pt shot from 18 ft
7:24.0,,,110-82,,Offensive rebound by K. O'Quinn
7:24.0,,,110-82,,Shooting foul by E. Green (drawn by K. O'Quinn)
7:24.0,,,110-83,1,K. O'Quinn makes free throw 1 of 2
7:24.0,,,110-84,1,K. O'Quinn makes free throw 2 of 2
7:09.0,J. Hickson makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,112-84,,
6:50.0,,,112-84,,Turnover by V. Oladipo (bad pass)
