time,Brooklyn,pts.away,score,pts.home,Boston
5:52.0,,,33-46,,J. Green enters the game for K. Olynyk
5:52.0,J. Johnson makes free throw 2 of 2,1,34-46,,
5:44.0,,,34-46,,Turnover by E. Turner (bad pass; steal by J. Jack)
5:41.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by M. Thornton),,34-46,,
5:40.0,Offensive rebound by Team,,34-46,,
5:27.0,J. Johnson makes 2-pt shot at rim,2,36-46,,
5:15.0,,,36-48,2,M. Thornton makes 2-pt shot from 9 ft (assist by J. Sullinger)
5:01.0,J. Jack makes 2-pt shot from 6 ft (assist by K. Garnett),2,38-48,,
4:39.0,,,38-50,2,M. Thornton makes 2-pt shot from 2 ft
4:24.0,D. Williams misses 2-pt shot from 5 ft,,38-50,,
4:23.0,,,38-50,,Defensive rebound by J. Sullinger
4:16.0,,,38-50,,M. Smart misses 2-pt shot at rim
4:15.0,Defensive rebound by K. Garnett,,38-50,,
4:05.0,K. Garnett makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,40-50,,
3:50.0,,,40-50,,Shooting foul by B. Bogdanovic (drawn by J. Green)
3:50.0,,,40-51,1,J. Green makes free throw 1 of 2
3:50.0,M. Plumlee enters the game for K. Garnett,,40-51,,
3:50.0,A. Anderson enters the game for B. Bogdanovic,,40-51,,
3:50.0,,,40-52,1,J. Green makes free throw 2 of 2
3:28.0,,,40-52,,Personal foul by M. Thornton (drawn by A. Anderson)
3:28.0,Technical foul by Team,,40-52,,
3:28.0,,,40-53,1,M. Thornton makes technical free throw
3:22.0,Turnover by M. Plumlee (3 sec),,40-53,,
3:04.0,,,40-55,2,J. Sullinger makes 2-pt shot at rim (assist by J. Green)
2:57.0,,,40-55,,Personal foul by J. Green (drawn by J. Johnson)
2:57.0,Official timeout,,40-55,,
2:57.0,,,40-55,,R. Rondo enters the game for J. Green
2:49.0,D. Williams misses 2-pt shot from 1 ft (block by J. Sullinger),,40-55,,
2:48.0,Offensive rebound by M. Plumlee,,40-55,,
2:48.0,Turnover by M. Plumlee (lost ball; steal by R. Rondo),,40-55,,
2:48.0,Jump ball: M. Plumlee vs. R. Rondo (M. Thornton gains possession),,,,Jump ball: M. Plumlee vs. R. Rondo (M. Thornton gains possession)
2:27.0,,,40-57,2,E. Turner makes 2-pt shot from 14 ft
2:06.0,Shooting foul by E. Turner (drawn by J. Johnson),,40-57,,
2:06.0,J. Johnson makes free throw 1 of 2,1,41-57,,
2:06.0,J. Jordan enters the game for M. Plumlee,,41-57,,
2:06.0,J. Johnson misses free throw 2 of 2,,41-57,,
2:06.0,,,41-57,,Defensive rebound by E. Turner
1:43.0,,,41-57,,J. Sullinger misses 3-pt shot from 24 ft
1:41.0,,,41-57,,Offensive rebound by E. Turner
1:37.0,,,41-60,3,M. Thornton makes 3-pt shot from 23 ft (assist by E. Turner)
1:28.0,Offensive foul by J. Jordan,,41-60,,
1:28.0,Turnover by J. Jordan (offensive foul),,41-60,,
1:14.0,,,41-60,,R. Rondo misses 2-pt shot from 5 ft
1:13.0,Defensive rebound by J. Johnson,,41-60,,
1:07.0,Turnover by J. Johnson (lost ball; steal by M. Smart),,41-60,,
0:56.0,,,41-62,2,J. Sullinger makes 2-pt shot from 7 ft (assist by R. Rondo)
0:45.0,D. Williams misses 2-pt shot at rim,,41-62,,
0:44.0,,,41-62,,Defensive rebound by E. Turner
0:39.0,Shooting block foul by J. Jack (drawn by R. Rondo),,41-62,,
0:39.0,,,41-62,,R. Rondo misses free throw 1 of 2
0:39.0,,,41-62,,Offensive rebound by Team
0:39.0,,,41-62,,B. Bass enters the game for M. Thornton
0:39.0,,,41-62,,R. Rondo misses free throw 2 of 2
0:37.0,,,41-62,,Offensive rebound by B. Bass
0:19.0,,,41-64,2,E. Turner makes 2-pt shot from 1 ft
0:19.0,Away from play foul by A. Anderson (drawn by J. Sullinger),,41-64,,
0:19.0,,,41-65,1,J. Sullinger makes free throw 1 of 1
0:01.0,J. Johnson misses 2-pt shot at rim,,41-65,,
0:01.0,,,41-65,,Defensive rebound by M. Smart
0:01.0,Personal foul by J. Jordan (drawn by M. Smart),,41-65,,
0:01.0,,,41-66,1,M. Smart makes free throw 1 of 2
0:01.0,,,41-67,1,M. Smart makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,41-67,,K. Olynyk misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by K. Garnett,,41-67,,
11:22.0,D. Williams makes 2-pt shot from 19 ft,2,43-67,,
11:06.0,,,43-67,,A. Bradley misses 2-pt shot at rim (block by B. Bogdanovic)
11:05.0,Defensive rebound by J. Johnson,,43-67,,
10:59.0,J. Johnson misses 2-pt shot from 8 ft,,43-67,,
10:58.0,Offensive rebound by J. Johnson,,43-67,,
10:53.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Johnson),3,46-67,,
10:36.0,,,46-69,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Sullinger)
10:28.0,D. Williams makes 2-pt shot from 21 ft,2,48-69,,
10:15.0,,,48-69,,A. Bradley misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by M. Plumlee,,48-69,,
10:02.0,J. Johnson misses 3-pt shot from 23 ft,,48-69,,
10:00.0,,,48-69,,Defensive rebound by R. Rondo
9:55.0,,,48-71,2,K. Olynyk makes 2-pt shot at rim (assist by R. Rondo)
9:31.0,M. Plumlee makes 2-pt shot from 8 ft,2,50-71,,
9:17.0,,,50-71,,Shooting foul by M. Plumlee (drawn by J. Sullinger)
9:17.0,,,50-72,1,J. Sullinger makes free throw 1 of 2
9:17.0,,,50-72,,J. Sullinger misses free throw 2 of 2
9:16.0,Defensive rebound by J. Johnson,,50-72,,
9:10.0,Offensive foul by K. Garnett,,50-72,,
9:10.0,Turnover by K. Garnett (offensive foul),,50-72,,
9:00.0,,,50-72,,J. Green misses 2-pt shot at rim (block by M. Plumlee)
8:59.0,Defensive rebound by K. Garnett,,50-72,,
8:54.0,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson),2,52-72,,
8:35.0,,,52-75,3,J. Green makes 3-pt shot from 25 ft
8:23.0,K. Garnett makes 2-pt shot from 19 ft (assist by D. Williams),2,54-75,,
8:10.0,Personal foul by M. Plumlee (drawn by K. Olynyk),,54-75,,
8:10.0,J. Jordan enters the game for M. Plumlee,,54-75,,
8:01.0,,,54-75,,J. Green misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by K. Garnett,,54-75,,
7:48.0,D. Williams makes 2-pt shot from 17 ft,2,56-75,,
7:48.0,,,56-75,,Boston full timeout
7:39.0,,,56-77,2,R. Rondo makes 2-pt shot from 7 ft
7:20.0,D. Williams makes 2-pt shot from 18 ft (assist by J. Johnson),2,58-77,,
7:08.0,,,58-77,,Turnover by R. Rondo (bad pass; steal by D. Williams)
7:01.0,B. Bogdanovic misses 3-pt shot from 24 ft,,58-77,,
7:00.0,Offensive rebound by J. Jordan,,58-77,,
6:55.0,J. Johnson misses 3-pt shot from 24 ft,,58-77,,
6:54.0,,,58-77,,Defensive rebound by J. Sullinger
6:34.0,,,58-79,2,R. Rondo makes 2-pt shot at rim
6:18.0,K. Garnett makes 2-pt shot from 18 ft (assist by D. Williams),2,60-79,,
6:03.0,,,60-81,2,R. Rondo makes 2-pt shot from 14 ft
5:45.0,K. Garnett misses 2-pt shot from 19 ft,,60-81,,
5:44.0,,,60-81,,Defensive rebound by R. Rondo
5:34.0,,,60-84,3,R. Rondo makes 3-pt shot from 25 ft
5:26.0,Brooklyn full timeout,,60-84,,
5:26.0,,,60-84,,M. Smart enters the game for A. Bradley
5:26.0,M. Teletovic enters the game for K. Garnett,,60-84,,
5:13.0,J. Johnson makes 2-pt shot at rim,2,62-84,,
4:54.0,,,62-84,,J. Sullinger misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by D. Williams,,62-84,,
4:39.0,Turnover by D. Williams (lost ball; steal by J. Green),,62-84,,
4:33.0,,,62-86,2,K. Olynyk makes 2-pt shot at rim (assist by R. Rondo)
4:16.0,,,62-86,,Def 3 sec tech foul by K. Olynyk
4:16.0,A. Kirilenko enters the game for J. Jordan,,62-86,,
4:16.0,,,62-86,,B. Bass enters the game for J. Sullinger
4:16.0,D. Williams makes technical free throw,1,63-86,,
4:16.0,,,63-86,,E. Turner enters the game for R. Rondo
4:05.0,J. Johnson misses 2-pt shot from 15 ft,,63-86,,
4:04.0,,,63-86,,Defensive rebound by E. Turner
3:50.0,,,63-88,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
3:27.0,J. Johnson misses 2-pt shot at rim,,63-88,,
3:25.0,Offensive rebound by M. Teletovic,,63-88,,
3:24.0,M. Teletovic makes 2-pt shot at rim,2,65-88,,
3:20.0,,,65-88,,Shooting foul by J. Johnson (drawn by J. Green)
3:20.0,,,65-89,1,J. Green makes free throw 1 of 2
3:20.0,,,65-89,,J. Green misses free throw 2 of 2
3:19.0,,,65-89,,Offensive rebound by K. Olynyk
3:16.0,,,65-89,,K. Olynyk misses 2-pt shot at rim (block by M. Teletovic)
3:15.0,,,65-89,,Offensive rebound by M. Smart
3:10.0,,,65-91,2,E. Turner makes 2-pt shot from 15 ft (assist by J. Green)
2:51.0,D. Williams misses 3-pt shot from 25 ft,,65-91,,
2:50.0,Offensive rebound by Team,,65-91,,
2:50.0,,,65-91,,Loose ball foul by E. Turner (drawn by B. Bogdanovic)
2:50.0,J. Jack enters the game for D. Williams,,65-91,,
2:50.0,Turnover by B. Bogdanovic (traveling),,65-91,,
2:31.0,,,65-93,2,E. Turner makes 2-pt shot from 19 ft
2:31.0,,,65-93,,Shooting foul by B. Bogdanovic (drawn by E. Turner)
2:31.0,,,65-93,,E. Turner misses free throw 1 of 1
2:29.0,Defensive rebound by A. Kirilenko,,65-93,,
2:19.0,,,65-93,,Personal foul by M. Smart (drawn by J. Jack)
2:10.0,M. Teletovic makes 2-pt shot from 6 ft,2,67-93,,
1:56.0,,,67-95,2,J. Green makes 2-pt shot from 5 ft (assist by K. Olynyk)
1:48.0,J. Jack misses 2-pt shot from 7 ft,,67-95,,
1:47.0,,,67-95,,Defensive rebound by K. Olynyk
1:39.0,Jump ball: J. Jack vs. E. Turner (J. Green gains possession),,,,Jump ball: J. Jack vs. E. Turner (J. Green gains possession)
1:26.0,,,67-95,,B. Bass misses 2-pt shot from 1 ft (block by M. Teletovic)
1:25.0,,,67-95,,Offensive rebound by Team
1:23.0,,,67-95,,Turnover by Team (shot clock)
1:11.0,J. Johnson makes 3-pt shot from 23 ft (assist by J. Jack),3,70-95,,
0:52.0,,,70-98,3,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner)
0:52.0,,,70-98,,Shooting foul by J. Johnson (drawn by M. Smart)
0:52.0,,,70-98,,M. Thornton enters the game for J. Green
0:52.0,,,70-99,1,M. Smart makes free throw 1 of 1
0:42.0,Shooting foul by M. Smart (drawn by A. Kirilenko),,70-99,,
0:42.0,A. Kirilenko makes free throw 1 of 2,1,71-99,,
0:42.0,A. Kirilenko makes free throw 2 of 2,1,72-99,,
0:33.0,,,72-99,,M. Thornton misses 2-pt shot from 16 ft
0:30.0,Defensive rebound by Team,,72-99,,
0:22.0,Turnover by M. Teletovic (traveling),,72-99,,
0:00.0,,,72-101,2,K. Olynyk makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,72-101,,Personal foul by A. Bradley (drawn by D. Williams)
11:46.0,M. Teletovic makes 2-pt shot from 21 ft (assist by D. Williams),2,74-101,,
11:32.0,,,74-101,,B. Bass misses 3-pt shot from 22 ft
11:31.0,Defensive rebound by J. Jack,,74-101,,
11:25.0,J. Jack makes 2-pt shot at rim,2,76-101,,
11:12.0,,,76-101,,Turnover by E. Turner (bad pass; steal by J. Jack)
11:07.0,J. Jack makes 2-pt shot from 16 ft,2,78-101,,
10:48.0,,,78-101,,E. Turner misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by M. Teletovic,,78-101,,
10:34.0,D. Williams makes 2-pt shot at rim,2,80-101,,
10:12.0,,,80-103,2,J. Sullinger makes 2-pt shot at rim
10:01.0,Shooting foul by M. Thornton (drawn by C. Jefferson),,80-103,,
10:01.0,C. Jefferson misses free throw 1 of 2,,80-103,,
10:01.0,Offensive rebound by Team,,80-103,,
10:01.0,,,80-103,,R. Rondo enters the game for E. Turner
10:01.0,C. Jefferson makes free throw 2 of 2,1,81-103,,
9:42.0,,,81-103,,M. Thornton misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by J. Jack,,81-103,,
9:32.0,A. Anderson misses 3-pt shot from 23 ft,,81-103,,
9:31.0,Offensive rebound by C. Jefferson,,81-103,,
9:28.0,C. Jefferson makes 2-pt shot from 1 ft,2,83-103,,
9:18.0,,,83-103,,Turnover by R. Rondo (bad pass; steal by D. Williams)
9:12.0,Shooting foul by A. Bradley (drawn by C. Jefferson),,83-103,,
9:12.0,C. Jefferson misses free throw 1 of 2,,83-103,,
9:12.0,Offensive rebound by Team,,83-103,,
9:12.0,,,83-103,,J. Green enters the game for M. Thornton
9:12.0,C. Jefferson makes free throw 2 of 2,1,84-103,,
9:01.0,,,84-103,,A. Bradley misses 2-pt shot from 18 ft
8:58.0,Defensive rebound by Team,,84-103,,
8:58.0,Official timeout,,84-103,,
8:45.0,D. Williams misses 2-pt shot from 6 ft,,84-103,,
8:44.0,,,84-103,,Defensive rebound by R. Rondo
8:34.0,,,84-103,,J. Sullinger misses 2-pt shot from 3 ft
8:33.0,Defensive rebound by Team,,84-103,,
8:33.0,,,84-103,,Personal foul by J. Sullinger (drawn by M. Teletovic)
8:17.0,Turnover by D. Williams (bad pass; steal by B. Bass),,84-103,,
8:15.0,,,84-103,,Turnover by B. Bass (step out of bounds)
8:15.0,,,84-103,,M. Smart enters the game for B. Bass
8:11.0,Turnover by D. Williams (lost ball; steal by M. Smart),,84-103,,
8:06.0,,,84-105,2,M. Smart makes 2-pt shot from 1 ft
7:56.0,Shooting foul by J. Green (drawn by D. Williams),,84-105,,
7:56.0,D. Williams makes free throw 1 of 2,1,85-105,,
7:56.0,D. Williams makes free throw 2 of 2,1,86-105,,
7:48.0,,,86-105,,Shooting foul by C. Jefferson (drawn by J. Green)
7:48.0,,,86-106,1,J. Green makes free throw 1 of 2
7:48.0,,,86-106,,K. Olynyk enters the game for J. Sullinger
7:48.0,,,86-106,,J. Green misses free throw 2 of 2
7:47.0,Defensive rebound by C. Jefferson,,86-106,,
7:34.0,M. Teletovic makes 3-pt shot from 25 ft (assist by A. Anderson),3,89-106,,
7:13.0,,,89-106,,J. Green misses 2-pt shot from 5 ft
7:12.0,,,89-106,,Offensive rebound by Team
7:03.0,,,89-106,,M. Smart misses 3-pt shot from 22 ft
7:02.0,,,89-106,,Offensive rebound by K. Olynyk
6:50.0,,,89-108,2,R. Rondo makes 2-pt shot from 19 ft
6:29.0,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Williams),3,92-108,,
6:08.0,,,92-110,2,A. Bradley makes 2-pt shot at rim (assist by R. Rondo)
6:03.0,,,92-110,,Personal block foul by R. Rondo (drawn by A. Anderson)
6:03.0,A. Anderson makes free throw 1 of 2,1,93-110,,
6:03.0,J. Johnson enters the game for C. Jefferson,,93-110,,
6:03.0,A. Anderson makes free throw 2 of 2,1,94-110,,
5:47.0,,,94-110,,R. Rondo misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by A. Anderson,,94-110,,
5:39.0,Turnover by D. Williams (bad pass; steal by K. Olynyk),,94-110,,
5:34.0,Personal block foul by D. Williams (drawn by J. Green),,94-110,,
5:34.0,,,94-110,,Boston full timeout
5:26.0,,,94-110,,J. Green misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Williams,,94-110,,
5:12.0,D. Williams misses 2-pt shot from 16 ft,,94-110,,
5:10.0,,,94-110,,Defensive rebound by J. Green
4:54.0,Shooting block foul by A. Anderson (drawn by R. Rondo),,94-110,,
4:54.0,,,94-110,,R. Rondo misses free throw 1 of 2
4:54.0,,,94-110,,Offensive rebound by Team
