time,Toronto,pts.away,score,pts.home,LA Lakers
3:38.0,,,16-20,2,K. Bryant makes 2-pt shot from 10 ft
3:29.0,G. Vasquez misses 3-pt shot from 24 ft,,16-20,,
3:28.0,Offensive rebound by Team,,16-20,,
3:28.0,L. Williams enters the game for G. Vasquez,,16-20,,
3:20.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by A. Johnson),2,18-20,,
3:01.0,,,18-20,,J. Lin misses 2-pt shot from 3 ft (block by A. Johnson)
3:01.0,,,18-20,,Offensive rebound by E. Davis
3:01.0,,,18-20,,Shooting foul by K. Lowry (drawn by E. Davis)
3:01.0,,,18-20,,E. Davis misses free throw 1 of 2
3:01.0,,,18-20,,Offensive rebound by Team
3:01.0,,,18-20,,R. Sacre enters the game for J. Hill
3:01.0,,,18-20,,R. Price enters the game for J. Lin
3:01.0,P. Patterson enters the game for A. Johnson,,18-20,,
3:01.0,,,18-21,1,E. Davis makes free throw 2 of 2
2:48.0,K. Lowry makes 2-pt shot from 1 ft,2,20-21,,
2:25.0,,,20-23,2,K. Bryant makes 2-pt shot from 11 ft
2:11.0,L. Williams misses 2-pt shot from 3 ft (block by R. Sacre),,20-23,,
2:11.0,Offensive rebound by Team,,20-23,,
2:11.0,Toronto full timeout,,20-23,,
2:11.0,J. Johnson enters the game for T. Ross,,20-23,,
2:04.0,K. Lowry makes 2-pt shot from 2 ft (assist by P. Patterson),2,22-23,,
1:46.0,,,22-25,2,K. Bryant makes 2-pt shot from 13 ft
1:24.0,J. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson),2,24-25,,
0:59.0,,,24-27,2,K. Bryant makes 2-pt shot from 18 ft
0:48.0,,,24-27,,W. Ellington enters the game for K. Bryant
0:35.0,J. Valanciunas misses 2-pt shot from 5 ft,,24-27,,
0:31.0,,,24-27,,Defensive rebound by E. Davis
0:26.0,,,24-27,,W. Ellington misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by J. Valanciunas,,24-27,,
0:03.0,L. Williams misses 3-pt shot from 25 ft,,24-27,,
0:01.0,Offensive rebound by P. Patterson,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-30,3,N. Young makes 3-pt shot from 24 ft (assist by W. Ellington)
11:24.0,L. Williams misses 2-pt shot from 9 ft,,24-30,,
11:18.0,,,24-30,,Defensive rebound by N. Young
11:15.0,,,24-30,,Turnover by N. Young (bad pass; steal by L. Williams)
11:11.0,G. Vasquez misses 2-pt shot from 5 ft,,24-30,,
11:11.0,Offensive rebound by Team,,24-30,,
10:59.0,P. Patterson misses 3-pt shot from 24 ft,,24-30,,
10:55.0,,,24-30,,Defensive rebound by N. Young
10:40.0,,,24-32,2,W. Ellington makes 2-pt shot from 16 ft
10:19.0,J. Johnson misses 3-pt shot from 24 ft,,24-32,,
10:17.0,Offensive rebound by P. Patterson,,24-32,,
10:16.0,Shooting foul by E. Davis (drawn by P. Patterson),,24-32,,
10:16.0,P. Patterson makes free throw 1 of 2,1,25-32,,
10:16.0,P. Patterson makes free throw 2 of 2,1,26-32,,
9:58.0,,,26-34,2,N. Young makes 2-pt shot from 16 ft
9:40.0,C. Hayes misses 2-pt shot from 2 ft (block by R. Sacre),,26-34,,
9:37.0,Offensive rebound by C. Hayes,,26-34,,
9:35.0,C. Hayes makes 2-pt shot at rim,2,28-34,,
9:23.0,,,28-37,3,W. Ellington makes 3-pt shot from 25 ft
9:04.0,J. Johnson makes 2-pt shot from 5 ft (assist by G. Vasquez),2,30-37,,
8:49.0,,,30-37,,N. Young misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by C. Hayes,,30-37,,
8:42.0,,,30-37,,Shooting block foul by W. Ellington (drawn by L. Williams)
8:42.0,Official timeout,,30-37,,
8:42.0,L. Williams misses free throw 1 of 2,,30-37,,
8:42.0,Offensive rebound by Team,,30-37,,
8:42.0,L. Williams makes free throw 2 of 2,1,31-37,,
8:27.0,,,31-37,,Turnover by N. Young (step out of bounds)
8:09.0,P. Patterson makes 2-pt shot from 7 ft,2,33-37,,
8:01.0,,,33-37,,Turnover by R. Sacre (bad pass)
8:01.0,,,33-37,,C. Boozer enters the game for E. Davis
7:40.0,P. Patterson misses 3-pt shot from 23 ft,,33-37,,
7:39.0,,,33-37,,Defensive rebound by N. Young
7:36.0,Personal foul by J. Johnson (drawn by N. Young),,33-37,,
7:36.0,,,33-37,,N. Young misses free throw 1 of 3
7:36.0,,,33-37,,Offensive rebound by Team
7:36.0,,,33-38,1,N. Young makes free throw 2 of 3
7:36.0,K. Lowry enters the game for G. Vasquez,,33-38,,
7:36.0,,,33-39,1,N. Young makes free throw 3 of 3
7:19.0,Turnover by J. Johnson (bad pass),,33-39,,
7:19.0,,,33-39,,W. Johnson enters the game for N. Young
7:19.0,Personal foul by C. Hayes (drawn by C. Boozer),,33-39,,
7:11.0,,,33-42,3,W. Ellington makes 3-pt shot from 24 ft (assist by R. Price)
6:56.0,K. Lowry misses 2-pt shot from 3 ft,,33-42,,
6:54.0,,,33-42,,Defensive rebound by R. Sacre
6:40.0,,,33-42,,Offensive charge foul by R. Price
6:40.0,,,33-42,,Turnover by R. Price (offensive foul)
6:40.0,A. Johnson enters the game for L. Williams,,33-42,,
6:40.0,T. Ross enters the game for C. Hayes,,33-42,,
6:40.0,,,33-42,,J. Lin enters the game for R. Price
6:40.0,,,33-42,,K. Bryant enters the game for W. Ellington
6:24.0,K. Lowry misses 2-pt shot from 17 ft,,33-42,,
6:22.0,,,33-42,,Defensive rebound by R. Sacre
6:12.0,,,33-42,,Turnover by C. Boozer (lost ball)
6:12.0,,,33-42,,J. Hill enters the game for R. Sacre
6:02.0,J. Johnson misses 2-pt shot from 4 ft,,33-42,,
6:01.0,Offensive rebound by J. Johnson,,33-42,,
5:58.0,J. Johnson makes 2-pt shot from 1 ft,2,35-42,,
5:45.0,,,35-42,,C. Boozer misses 2-pt shot from 17 ft
5:44.0,Defensive rebound by A. Johnson,,35-42,,
5:31.0,T. Ross makes 2-pt shot from 2 ft,2,37-42,,
5:13.0,,,37-44,2,C. Boozer makes 2-pt shot from 14 ft (assist by K. Bryant)
4:59.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,40-44,,
4:34.0,,,40-44,,W. Johnson misses 3-pt shot from 22 ft
4:33.0,Defensive rebound by P. Patterson,,40-44,,
4:23.0,K. Lowry misses 3-pt shot from 24 ft,,40-44,,
4:21.0,,,40-44,,Defensive rebound by W. Johnson
4:13.0,,,40-46,2,C. Boozer makes 2-pt shot from 1 ft (assist by K. Bryant)
4:04.0,P. Patterson misses 3-pt shot from 24 ft,,40-46,,
4:01.0,,,40-46,,Defensive rebound by K. Bryant
3:54.0,,,40-48,2,J. Hill makes 2-pt shot from 20 ft (assist by W. Johnson)
3:46.0,Toronto full timeout,,40-48,,
3:46.0,G. Vasquez enters the game for P. Patterson,,40-48,,
3:46.0,J. Valanciunas enters the game for J. Johnson,,40-48,,
3:35.0,T. Ross makes 2-pt shot from 12 ft (assist by A. Johnson),2,42-48,,
3:23.0,,,42-50,2,J. Hill makes 2-pt shot at rim (assist by K. Bryant)
3:06.0,K. Lowry makes 2-pt shot from 22 ft (assist by A. Johnson),2,44-50,,
2:49.0,,,44-50,,C. Boozer misses 2-pt shot from 18 ft
2:46.0,,,44-50,,Offensive rebound by J. Hill
2:39.0,,,44-50,,Shooting foul by T. Ross (drawn by K. Bryant)
2:39.0,,,44-50,,LA Lakers full timeout
2:39.0,,,44-51,1,K. Bryant makes free throw 1 of 2
2:39.0,,,44-52,1,K. Bryant makes free throw 2 of 2
2:30.0,J. Valanciunas misses 2-pt shot from 8 ft,,44-52,,
2:28.0,,,44-52,,Defensive rebound by J. Hill
2:20.0,,,44-54,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Lin)
2:01.0,K. Lowry makes 2-pt shot from 10 ft,2,46-54,,
2:01.0,Shooting foul by W. Johnson (drawn by K. Lowry),,46-54,,
2:01.0,K. Lowry misses free throw 1 of 1,,46-54,,
2:01.0,Offensive rebound by J. Valanciunas,,46-54,,
1:57.0,J. Valanciunas makes 2-pt shot from 1 ft,2,48-54,,
1:47.0,Personal foul by T. Ross (drawn by J. Lin),,48-54,,
1:47.0,L. Williams enters the game for G. Vasquez,,48-54,,
1:38.0,,,48-54,,C. Boozer misses 2-pt shot at rim
1:35.0,,,48-54,,Offensive rebound by J. Hill
1:33.0,,,48-54,,J. Hill misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by J. Valanciunas,,48-54,,
1:26.0,Shooting foul by J. Lin (drawn by K. Lowry),,48-54,,
1:26.0,K. Lowry misses free throw 1 of 2,,48-54,,
1:26.0,Offensive rebound by Team,,48-54,,
1:26.0,J. Johnson enters the game for T. Ross,,48-54,,
1:26.0,K. Lowry makes free throw 2 of 2,1,49-54,,
1:08.0,,,49-56,2,W. Johnson makes 2-pt shot from 5 ft (assist by K. Bryant)
0:59.0,K. Lowry misses 2-pt shot from 19 ft,,49-56,,
0:56.0,,,49-56,,Defensive rebound by K. Bryant
0:41.0,,,49-56,,J. Hill misses 2-pt shot from 3 ft
0:39.0,Defensive rebound by A. Johnson,,49-56,,
0:30.0,L. Williams misses 3-pt shot from 24 ft,,49-56,,
0:29.0,,,49-56,,Defensive rebound by J. Hill
0:03.0,,,49-56,,J. Lin misses 3-pt shot from 25 ft
0:02.0,,,49-56,,Offensive rebound by J. Hill
0:01.0,,,49-56,,J. Hill misses 2-pt shot from 6 ft
0:00.0,,,49-56,,Offensive rebound by C. Boozer
0:00.0,,,49-58,2,C. Boozer makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-58,,C. Boozer misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by J. Valanciunas,,49-58,,
11:33.0,K. Lowry misses 3-pt shot from 24 ft,,49-58,,
11:31.0,,,49-58,,Defensive rebound by C. Boozer
11:17.0,,,49-58,,J. Hill misses 2-pt shot from 18 ft
11:16.0,Defensive rebound by J. Valanciunas,,49-58,,
11:05.0,G. Vasquez makes 2-pt shot from 8 ft (assist by K. Lowry),2,51-58,,
10:49.0,,,51-58,,W. Johnson misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by J. Valanciunas,,51-58,,
10:42.0,Shooting foul by J. Lin (drawn by G. Vasquez),,51-58,,
10:42.0,G. Vasquez makes free throw 1 of 2,1,52-58,,
10:42.0,G. Vasquez misses free throw 2 of 2,,52-58,,
10:40.0,,,52-58,,Defensive rebound by C. Boozer
10:27.0,,,52-58,,W. Johnson misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by T. Ross,,52-58,,
10:12.0,G. Vasquez misses 2-pt shot from 8 ft,,52-58,,
10:08.0,,,52-58,,Defensive rebound by K. Bryant
9:57.0,,,52-58,,J. Lin misses 2-pt shot from 2 ft (block by J. Valanciunas)
9:55.0,Defensive rebound by T. Ross,,52-58,,
9:54.0,G. Vasquez makes 2-pt shot from 1 ft (assist by T. Ross),2,54-58,,
9:54.0,Shooting foul by W. Johnson (drawn by G. Vasquez),,54-58,,
9:54.0,G. Vasquez makes free throw 1 of 1,1,55-58,,
9:54.0,,,55-58,,LA Lakers full timeout
9:36.0,,,55-58,,K. Bryant misses 2-pt shot from 2 ft (block by A. Johnson)
9:35.0,Defensive rebound by J. Valanciunas,,55-58,,
9:27.0,T. Ross makes 2-pt shot from 10 ft,2,57-58,,
9:06.0,,,57-58,,J. Lin misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by T. Ross,,57-58,,
8:57.0,,,57-58,,Personal foul by C. Boozer (drawn by A. Johnson)
8:46.0,K. Lowry misses 2-pt shot from 12 ft,,57-58,,
8:45.0,,,57-58,,Defensive rebound by C. Boozer
8:31.0,,,57-60,2,W. Johnson makes 2-pt shot from 12 ft (assist by K. Bryant)
8:14.0,K. Lowry misses 3-pt shot from 25 ft,,57-60,,
8:13.0,,,57-60,,Defensive rebound by K. Bryant
8:05.0,,,57-60,,Shooting foul by A. Johnson (drawn by J. Hill)
8:05.0,,,57-61,1,J. Hill makes free throw 1 of 2
8:05.0,,,57-62,1,J. Hill makes free throw 2 of 2
7:53.0,G. Vasquez makes 2-pt shot from 3 ft (assist by K. Lowry),2,59-62,,
7:53.0,Shooting foul by J. Hill (drawn by G. Vasquez),,59-62,,
7:53.0,G. Vasquez misses free throw 1 of 1,,59-62,,
7:51.0,,,59-62,,Defensive rebound by C. Boozer
7:36.0,,,59-64,2,J. Hill makes 2-pt shot from 2 ft
7:36.0,,,59-64,,Shooting foul by A. Johnson (drawn by J. Hill)
7:36.0,P. Patterson enters the game for A. Johnson,,59-64,,
7:36.0,,,59-65,1,J. Hill makes free throw 1 of 1
7:31.0,T. Ross misses 3-pt shot from 24 ft,,59-65,,
7:29.0,,,59-65,,Defensive rebound by K. Bryant
7:17.0,,,59-65,,K. Bryant misses 2-pt shot from 11 ft
7:13.0,Defensive rebound by P. Patterson,,59-65,,
7:03.0,Turnover by J. Valanciunas (lost ball; steal by J. Lin),,59-65,,
6:55.0,,,59-65,,W. Johnson misses 3-pt shot from 23 ft
6:53.0,Defensive rebound by T. Ross,,59-65,,
6:50.0,Turnover by T. Ross (bad pass; steal by W. Johnson),,59-65,,
6:43.0,,,59-67,2,C. Boozer makes 2-pt shot at rim (assist by J. Lin)
6:37.0,Toronto full timeout,,59-67,,
6:37.0,L. Williams enters the game for G. Vasquez,,59-67,,
6:28.0,,,59-67,,Personal foul by W. Johnson (drawn by P. Patterson)
6:28.0,P. Patterson makes free throw 1 of 2,1,60-67,,
6:28.0,P. Patterson makes free throw 2 of 2,1,61-67,,
6:09.0,,,61-69,2,J. Lin makes 2-pt shot from 22 ft (assist by K. Bryant)
5:58.0,Turnover by K. Lowry (bad pass; steal by J. Lin),,61-69,,
5:46.0,,,61-69,,K. Bryant misses 2-pt shot from 3 ft
5:45.0,,,61-69,,Offensive rebound by J. Hill
5:40.0,,,61-71,2,C. Boozer makes 2-pt shot from 5 ft
5:21.0,L. Williams makes 3-pt shot from 24 ft (assist by K. Lowry),3,64-71,,
5:05.0,,,64-73,2,K. Bryant makes 2-pt shot from 19 ft
4:53.0,,,64-73,,Personal foul by J. Lin (drawn by L. Williams)
4:53.0,L. Williams makes free throw 1 of 2,1,65-73,,
4:53.0,,,65-73,,E. Davis enters the game for C. Boozer
4:53.0,,,65-73,,N. Young enters the game for W. Johnson
4:53.0,J. Johnson enters the game for T. Ross,,65-73,,
4:53.0,L. Williams makes free throw 2 of 2,1,66-73,,
4:41.0,,,66-73,,K. Bryant misses 2-pt shot from 22 ft
4:39.0,Defensive rebound by P. Patterson,,66-73,,
4:34.0,K. Lowry makes 3-pt shot from 24 ft,3,69-73,,
4:11.0,,,69-73,,N. Young misses 2-pt shot from 10 ft
4:10.0,Defensive rebound by P. Patterson,,69-73,,
4:06.0,Shooting foul by K. Bryant (drawn by K. Lowry),,69-73,,
4:06.0,K. Lowry makes free throw 1 of 2,1,70-73,,
4:06.0,T. Hansbrough enters the game for J. Valanciunas,,70-73,,
4:06.0,K. Lowry makes free throw 2 of 2,1,71-73,,
3:46.0,,,71-73,,Turnover by K. Bryant (bad pass; steal by T. Hansbrough)
3:29.0,K. Lowry misses 3-pt shot from 26 ft,,71-73,,
3:27.0,,,71-73,,Defensive rebound by E. Davis
3:10.0,,,71-73,,J. Lin misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by P. Patterson,,71-73,,
3:02.0,Shooting foul by N. Young (drawn by J. Johnson),,71-73,,
3:02.0,J. Johnson makes free throw 1 of 2,1,72-73,,
3:02.0,,,72-73,,R. Price enters the game for J. Lin
3:02.0,G. Vasquez enters the game for K. Lowry,,72-73,,
3:02.0,J. Johnson makes free throw 2 of 2,1,73-73,,
2:50.0,Personal foul by J. Johnson (drawn by K. Bryant),,73-73,,
2:50.0,,,73-73,,R. Sacre enters the game for J. Hill
2:42.0,,,73-73,,K. Bryant misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by T. Hansbrough,,73-73,,
2:29.0,L. Williams makes 3-pt shot from 24 ft (assist by G. Vasquez),3,76-73,,
2:12.0,,,76-73,,N. Young misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by J. Johnson,,76-73,,
2:04.0,L. Williams misses 3-pt shot from 25 ft,,76-73,,
2:01.0,,,76-73,,Defensive rebound by E. Davis
1:52.0,Personal foul by G. Vasquez (drawn by K. Bryant),,76-73,,
1:42.0,,,76-73,,K. Bryant misses 2-pt shot from 19 ft
1:40.0,Defensive rebound by L. Williams,,76-73,,
1:21.0,L. Williams misses 2-pt shot from 17 ft,,76-73,,
1:20.0,,,76-73,,Defensive rebound by E. Davis
1:12.0,,,76-75,2,K. Bryant makes 2-pt shot from 4 ft
1:12.0,,,76-75,,Shooting foul by J. Johnson (drawn by K. Bryant)
1:12.0,,,76-76,1,K. Bryant makes free throw 1 of 1
0:50.0,L. Williams misses 3-pt shot from 24 ft,,76-76,,
0:48.0,Offensive rebound by P. Patterson,,76-76,,
0:48.0,P. Patterson makes 2-pt shot from 1 ft,2,78-76,,
0:31.0,Personal foul by J. Johnson (drawn by K. Bryant),,78-76,,
0:31.0,,,78-77,1,K. Bryant makes free throw 1 of 2
0:31.0,T. Ross enters the game for J. Johnson,,78-77,,
0:31.0,,,78-78,1,K. Bryant makes free throw 2 of 2
0:16.0,L. Williams makes 2-pt shot at rim (assist by G. Vasquez),2,80-78,,
0:00.0,,,80-81,3,R. Price makes 3-pt shot from 25 ft (assist by K. Bryant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by T. Hansbrough (lost ball; steal by R. Price),,80-81,,
11:38.0,,,80-81,,N. Young misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by T. Hansbrough,,80-81,,
11:26.0,G. Vasquez makes 3-pt shot from 24 ft (assist by T. Hansbrough),3,83-81,,
11:06.0,,,83-81,,W. Ellington misses 2-pt shot from 14 ft
11:02.0,,,83-81,,Offensive rebound by R. Sacre
10:59.0,,,83-81,,R. Sacre misses 2-pt shot from 2 ft
10:57.0,,,83-81,,Offensive rebound by R. Sacre
10:57.0,,,83-81,,R. Sacre misses 2-pt shot from 1 ft (block by P. Patterson)
10:55.0,Defensive rebound by L. Williams,,83-81,,
10:51.0,G. Vasquez misses 3-pt shot from 24 ft,,83-81,,
10:48.0,Offensive rebound by T. Hansbrough,,83-81,,
10:42.0,L. Williams makes 2-pt shot from 19 ft,2,85-81,,
10:24.0,,,85-84,3,N. Young makes 3-pt shot from 25 ft (assist by R. Price)
10:18.0,Offensive foul by L. Williams,,85-84,,
10:18.0,Turnover by L. Williams (offensive foul),,85-84,,
10:04.0,,,85-84,,Turnover by N. Young (lost ball; steal by G. Vasquez)
9:52.0,L. Williams makes 3-pt shot from 24 ft,3,88-84,,
9:33.0,,,88-84,,Shooting foul by T. Hansbrough (drawn by R. Sacre)
9:33.0,,,88-84,,R. Sacre misses free throw 1 of 2
9:33.0,,,88-84,,Offensive rebound by Team
9:33.0,,,88-85,1,R. Sacre makes free throw 2 of 2
9:25.0,Shooting foul by R. Price (drawn by L. Williams),,88-85,,
9:25.0,L. Williams makes free throw 1 of 3,1,89-85,,
9:25.0,L. Williams makes free throw 2 of 3,1,90-85,,
9:25.0,L. Williams makes free throw 3 of 3,1,91-85,,
9:15.0,,,91-87,2,W. Ellington makes 2-pt shot from 18 ft (assist by R. Price)
8:56.0,P. Patterson makes 2-pt shot from 2 ft (assist by G. Vasquez),2,93-87,,
8:39.0,,,93-90,3,N. Young makes 3-pt shot from 25 ft
8:20.0,L. Williams misses 2-pt shot from 4 ft,,93-90,,
8:17.0,,,93-90,,Defensive rebound by E. Davis
8:00.0,,,93-90,,W. Ellington misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by P. Patterson,,93-90,,
7:52.0,Toronto full timeout,,93-90,,
7:52.0,K. Lowry enters the game for L. Williams,,93-90,,
7:52.0,,,93-90,,C. Boozer enters the game for E. Davis
7:46.0,G. Vasquez misses 2-pt shot from 15 ft,,93-90,,
7:45.0,,,93-90,,Defensive rebound by Team
7:45.0,Loose ball foul by T. Hansbrough (drawn by R. Sacre),,93-90,,
7:45.0,A. Johnson enters the game for P. Patterson,,93-90,,
7:33.0,,,93-92,2,R. Sacre makes 2-pt shot from 2 ft (assist by C. Boozer)
7:19.0,,,93-92,,Personal foul by R. Price (drawn by A. Johnson)
7:14.0,G. Vasquez makes 2-pt shot from 9 ft,2,95-92,,
7:03.0,,,95-92,,N. Young misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by T. Hansbrough,,95-92,,
6:52.0,T. Hansbrough misses 2-pt shot from 15 ft,,95-92,,
6:50.0,,,95-92,,Defensive rebound by W. Ellington
6:45.0,,,95-92,,R. Price misses 2-pt shot from 1 ft
6:44.0,,,95-92,,Offensive rebound by R. Sacre
6:44.0,,,95-94,2,R. Sacre makes 2-pt shot from 3 ft
6:44.0,,,95-94,,Shooting foul by T. Hansbrough (drawn by R. Sacre)
6:44.0,,,95-94,,K. Bryant enters the game for W. Ellington
6:44.0,J. Valanciunas enters the game for T. Hansbrough,,95-94,,
6:44.0,,,95-95,1,R. Sacre makes free throw 1 of 1
6:30.0,G. Vasquez misses 2-pt shot from 15 ft,,95-95,,
6:25.0,,,95-95,,Defensive rebound by R. Sacre
6:09.0,,,95-97,2,C. Boozer makes 2-pt shot from 1 ft (assist by R. Price)
5:52.0,K. Lowry makes 2-pt shot from 2 ft (assist by A. Johnson),2,97-97,,
5:30.0,,,97-97,,K. Bryant misses 2-pt shot from 2 ft (block by J. Valanciunas)
5:28.0,,,97-97,,Offensive rebound by K. Bryant
5:28.0,,,97-97,,Shooting foul by A. Johnson (drawn by K. Bryant)
5:28.0,Official timeout,,97-97,,
5:28.0,L. Williams enters the game for A. Johnson,,97-97,,
5:28.0,P. Patterson enters the game for G. Vasquez,,97-97,,
5:28.0,,,97-97,,J. Lin enters the game for R. Price
5:28.0,,,97-97,,K. Bryant misses free throw 1 of 2
5:28.0,,,97-97,,Offensive rebound by Team
5:28.0,,,97-98,1,K. Bryant makes free throw 2 of 2
5:17.0,K. Lowry misses 2-pt shot from 2 ft,,97-98,,
5:16.0,,,97-98,,Defensive rebound by K. Bryant
5:10.0,,,97-98,,K. Bryant misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by J. Valanciunas,,97-98,,
5:00.0,J. Valanciunas misses 2-pt shot from 3 ft (block by K. Bryant),,97-98,,
4:57.0,,,97-98,,Defensive rebound by C. Boozer
4:53.0,,,97-98,,Turnover by N. Young (bad pass; steal by K. Lowry)
4:49.0,Toronto full timeout,,97-98,,
4:49.0,,,97-98,,J. Hill enters the game for R. Sacre
4:32.0,T. Ross makes 2-pt shot from 16 ft (assist by L. Williams),2,99-98,,
4:15.0,,,99-98,,Turnover by C. Boozer (bad pass; steal by K. Lowry)
4:09.0,K. Lowry makes 2-pt shot from 1 ft,2,101-98,,
3:50.0,,,101-100,2,K. Bryant makes 2-pt shot from 9 ft
3:30.0,L. Williams misses 2-pt shot from 15 ft,,101-100,,
3:26.0,Offensive rebound by T. Ross,,101-100,,
3:20.0,L. Williams misses 3-pt shot from 23 ft,,101-100,,
3:18.0,,,101-100,,Defensive rebound by C. Boozer
2:59.0,,,101-102,2,K. Bryant makes 2-pt shot from 17 ft
2:59.0,,,101-102,,Shooting foul by T. Ross (drawn by K. Bryant)
2:59.0,,,101-102,,LA Lakers full timeout
2:59.0,G. Vasquez enters the game for T. Ross,,101-102,,
2:59.0,J. Johnson enters the game for L. Williams,,101-102,,
2:59.0,,,101-102,,K. Bryant misses free throw 1 of 1
2:57.0,Defensive rebound by J. Valanciunas,,101-102,,
