time,Portland,pts.away,score,pts.home,Phoenix
5:44.0,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum),2,15-11,,
5:31.0,,,15-11,,Shooting foul by D. Lillard (drawn by M. Morris)
5:31.0,,,15-11,,Phoenix full timeout
5:31.0,,,15-12,1,M. Morris makes free throw 1 of 2
5:31.0,,,15-13,1,M. Morris makes free throw 2 of 2
5:18.0,N. Batum makes 3-pt shot from 24 ft,3,18-13,,
4:53.0,,,18-13,,E. Bledsoe misses 2-pt shot from 17 ft
4:50.0,Defensive rebound by N. Batum,,18-13,,
4:34.0,L. Aldridge makes 2-pt shot from 16 ft,2,20-13,,
4:16.0,,,20-15,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
3:54.0,A. Afflalo makes 2-pt shot from 16 ft,2,22-15,,
3:30.0,,,22-15,,P. Tucker misses 2-pt shot from 15 ft
3:27.0,,,22-15,,Offensive rebound by M. Morris
3:27.0,,,22-15,,M. Morris misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by D. Lillard,,22-15,,
3:19.0,N. Batum misses 3-pt shot from 24 ft,,22-15,,
3:16.0,,,22-15,,Defensive rebound by M. Morris
3:15.0,,,22-15,,Turnover by M. Morris (bad pass)
3:15.0,C. McCollum enters the game for R. Lopez,,22-15,,
3:15.0,C. Kaman enters the game for A. Afflalo,,22-15,,
3:15.0,,,22-15,,A. Goodwin enters the game for M. Morris
3:15.0,,,22-15,,B. Wright enters the game for A. Len
3:11.0,,,22-15,,Personal foul by A. Goodwin (drawn by C. McCollum)
3:11.0,D. Wright enters the game for N. Batum,,22-15,,
3:01.0,D. Wright misses 3-pt shot from 25 ft,,22-15,,
3:00.0,Offensive rebound by C. Kaman,,22-15,,
2:56.0,C. Kaman misses 2-pt shot from 3 ft,,22-15,,
2:54.0,,,22-15,,Defensive rebound by B. Wright
2:40.0,,,22-17,2,B. Wright makes 2-pt shot from 10 ft (assist by E. Bledsoe)
2:17.0,C. Kaman makes 2-pt shot from 12 ft,2,24-17,,
2:09.0,Personal block foul by D. Lillard (drawn by E. Bledsoe),,24-17,,
2:09.0,Portland full timeout,,24-17,,
2:09.0,S. Blake enters the game for D. Lillard,,24-17,,
2:01.0,,,24-17,,E. Bledsoe misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by L. Aldridge,,24-17,,
1:42.0,C. McCollum misses 2-pt shot from 3 ft (block by B. Wright),,24-17,,
1:39.0,,,24-17,,Defensive rebound by A. Goodwin
1:24.0,,,24-19,2,E. Bledsoe makes 2-pt shot from 1 ft
1:05.0,C. McCollum misses 2-pt shot from 17 ft,,24-19,,
1:05.0,,,24-19,,Defensive rebound by Team
1:05.0,Loose ball foul by C. Kaman (drawn by A. Goodwin),,24-19,,
1:05.0,Violation by Team (delay of game),,24-19,,
1:05.0,,,24-19,,M. Morris enters the game for M. Morris
0:57.0,,,24-19,,A. Goodwin misses 2-pt shot from 10 ft
0:55.0,Defensive rebound by D. Wright,,24-19,,
0:36.0,D. Wright makes 3-pt shot from 24 ft (assist by L. Aldridge),3,27-19,,
0:30.0,,,27-19,,E. Bledsoe misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by C. Kaman,,27-19,,
0:15.0,L. Aldridge makes 2-pt shot from 16 ft,2,29-19,,
0:00.0,,,29-21,2,M. Morris makes 2-pt shot from 21 ft (assist by E. Bledsoe)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. McCollum misses 3-pt shot from 24 ft,,29-21,,
11:44.0,,,29-21,,Defensive rebound by P. Tucker
11:36.0,,,29-21,,M. Morris misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by C. Kaman,,29-21,,
11:29.0,D. Wright misses 3-pt shot from 25 ft,,29-21,,
11:27.0,,,29-21,,Defensive rebound by A. Goodwin
11:08.0,,,29-23,2,P. Tucker makes 2-pt shot from 17 ft
10:55.0,S. Blake makes 2-pt shot from 21 ft (assist by J. Freeland),2,31-23,,
10:36.0,,,31-25,2,M. Morris makes 2-pt shot from 2 ft (assist by A. Goodwin)
10:24.0,C. Kaman misses 2-pt shot from 18 ft,,31-25,,
10:22.0,,,31-25,,Defensive rebound by P. Tucker
10:15.0,,,31-25,,A. Price misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by C. Kaman,,31-25,,
10:04.0,S. Blake makes 3-pt shot from 24 ft,3,34-25,,
9:44.0,,,34-28,3,M. Morris makes 3-pt shot from 24 ft (assist by A. Price)
9:23.0,C. McCollum makes 2-pt shot from 9 ft (assist by S. Blake),2,36-28,,
8:58.0,,,36-28,,A. Goodwin misses 2-pt shot from 12 ft (block by C. McCollum)
8:55.0,,,36-28,,Offensive rebound by A. Goodwin
8:55.0,,,36-28,,A. Goodwin misses 2-pt shot from 9 ft
8:55.0,Defensive rebound by Team,,36-28,,
8:55.0,Official timeout,,36-28,,
8:55.0,,,36-28,,M. Morris enters the game for P. Tucker
8:38.0,S. Blake makes 3-pt shot from 23 ft (assist by C. McCollum),3,39-28,,
8:24.0,,,39-28,,Shooting foul by C. Kaman (drawn by A. Goodwin)
8:24.0,,,39-29,1,A. Goodwin makes free throw 1 of 2
8:24.0,,,39-29,,E. Bledsoe enters the game for A. Price
8:24.0,,,39-30,1,A. Goodwin makes free throw 2 of 2
8:06.0,D. Wright makes 2-pt shot from 8 ft,2,41-30,,
7:54.0,,,41-30,,M. Morris misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by C. Kaman,,41-30,,
7:44.0,S. Blake misses 2-pt shot from 14 ft,,41-30,,
7:41.0,,,41-30,,Defensive rebound by M. Morris
7:39.0,,,41-30,,Shooting foul by D. Wright (drawn by A. Goodwin)
7:39.0,,,41-31,1,A. Goodwin makes free throw 1 of 2
7:39.0,,,41-32,1,A. Goodwin makes free throw 2 of 2
7:22.0,C. Kaman misses 2-pt shot from 5 ft,,41-32,,
7:19.0,Offensive rebound by J. Freeland,,41-32,,
7:13.0,S. Blake misses 3-pt shot from 26 ft,,41-32,,
7:11.0,,,41-32,,Defensive rebound by M. Morris
7:00.0,Personal foul by C. McCollum (drawn by A. Goodwin),,41-32,,
7:00.0,,,41-32,,G. Green enters the game for A. Goodwin
7:00.0,D. Lillard enters the game for C. McCollum,,41-32,,
7:00.0,N. Batum enters the game for D. Wright,,41-32,,
6:55.0,,,41-32,,Turnover by M. Morris (bad pass; steal by C. Kaman)
6:46.0,S. Blake misses 2-pt shot from 19 ft,,41-32,,
6:44.0,,,41-32,,Defensive rebound by M. Morris
6:36.0,,,41-32,,B. Wright misses 2-pt shot from 4 ft
6:35.0,Defensive rebound by Team,,41-32,,
6:35.0,A. Afflalo enters the game for S. Blake,,41-32,,
6:25.0,Turnover by N. Batum (traveling),,41-32,,
6:06.0,,,41-32,,G. Green misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by C. Kaman,,41-32,,
5:52.0,C. Kaman misses 2-pt shot from 1 ft,,41-32,,
5:50.0,,,41-32,,Defensive rebound by M. Morris
5:45.0,,,41-35,3,G. Green makes 3-pt shot from 25 ft (assist by M. Morris)
5:44.0,Portland full timeout,,41-35,,
5:44.0,R. Lopez enters the game for C. Kaman,,41-35,,
5:44.0,L. Aldridge enters the game for J. Freeland,,41-35,,
5:21.0,D. Lillard misses 3-pt shot from 23 ft,,41-35,,
5:19.0,,,41-35,,Defensive rebound by M. Morris
5:02.0,,,41-35,,M. Morris misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by D. Lillard,,41-35,,
4:50.0,A. Afflalo misses 2-pt shot from 16 ft,,41-35,,
4:48.0,,,41-35,,Defensive rebound by M. Morris
4:42.0,,,41-38,3,M. Morris makes 3-pt shot from 24 ft
4:23.0,L. Aldridge misses 2-pt shot from 15 ft,,41-38,,
4:23.0,Offensive rebound by Team,,41-38,,
4:23.0,,,41-38,,Loose ball foul by G. Green (drawn by R. Lopez)
4:23.0,,,41-38,,A. Len enters the game for B. Wright
4:19.0,D. Lillard makes 2-pt shot from 18 ft (assist by N. Batum),2,43-38,,
4:08.0,,,43-40,2,A. Len makes 2-pt shot from 8 ft (assist by E. Bledsoe)
3:50.0,L. Aldridge misses 2-pt shot from 20 ft,,43-40,,
3:48.0,,,43-40,,Defensive rebound by G. Green
3:43.0,,,43-43,3,G. Green makes 3-pt shot from 26 ft
3:23.0,Offensive foul by N. Batum,,43-43,,
3:23.0,Turnover by N. Batum (offensive foul),,43-43,,
3:11.0,,,43-43,,G. Green misses 2-pt shot from 21 ft
3:09.0,Defensive rebound by N. Batum,,43-43,,
3:03.0,Turnover by D. Lillard (lost ball),,43-43,,
2:52.0,,,43-43,,G. Green misses 2-pt shot from 7 ft
2:51.0,,,43-43,,Offensive rebound by Team
2:51.0,,,43-43,,Phoenix full timeout
2:39.0,,,43-43,,M. Morris misses 2-pt shot from 16 ft
2:36.0,,,43-43,,Offensive rebound by M. Morris
2:36.0,,,43-43,,M. Morris misses 2-pt shot from 2 ft (block by R. Lopez)
2:33.0,Defensive rebound by A. Afflalo,,43-43,,
2:23.0,A. Afflalo misses 3-pt shot from 25 ft,,43-43,,
2:21.0,Offensive rebound by R. Lopez,,43-43,,
2:18.0,R. Lopez makes 2-pt shot from 4 ft,2,45-43,,
2:05.0,,,45-43,,E. Bledsoe misses 2-pt shot from 16 ft
2:03.0,Defensive rebound by N. Batum,,45-43,,
1:59.0,Shooting foul by M. Morris (drawn by R. Lopez),,45-43,,
1:59.0,R. Lopez misses free throw 1 of 2,,45-43,,
1:59.0,Offensive rebound by Team,,45-43,,
1:59.0,R. Lopez misses free throw 2 of 2,,45-43,,
1:58.0,Offensive rebound by R. Lopez,,45-43,,
1:56.0,R. Lopez misses 2-pt shot from 5 ft,,45-43,,
1:54.0,,,45-43,,Defensive rebound by G. Green
1:54.0,,,45-43,,Turnover by G. Green (step out of bounds)
1:48.0,D. Lillard misses 2-pt shot from 5 ft,,45-43,,
1:45.0,,,45-43,,Defensive rebound by M. Morris
1:33.0,Personal foul by L. Aldridge (drawn by E. Bledsoe),,45-43,,
1:26.0,,,45-43,,Shooting foul by R. Lopez (drawn by G. Green)
1:26.0,,,45-44,1,G. Green makes free throw 1 of 2
1:26.0,,,45-44,,P. Tucker enters the game for M. Morris
1:26.0,,,45-45,1,G. Green makes free throw 2 of 2
1:09.0,D. Lillard misses 2-pt shot from 2 ft,,45-45,,
1:07.0,Offensive rebound by R. Lopez,,45-45,,
1:07.0,R. Lopez makes 2-pt shot from 1 ft,2,47-45,,
0:54.0,,,47-45,,G. Green misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by R. Lopez,,47-45,,
0:42.0,D. Lillard misses 2-pt shot from 18 ft,,47-45,,
0:40.0,,,47-45,,Defensive rebound by G. Green
0:31.0,,,47-45,,E. Bledsoe misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by L. Aldridge,,47-45,,
0:16.0,L. Aldridge misses 2-pt shot from 10 ft,,47-45,,
0:14.0,,,47-45,,Defensive rebound by G. Green
0:02.0,,,47-47,2,E. Bledsoe makes 2-pt shot from 14 ft
0:00.0,L. Aldridge misses 3-pt shot from 62 ft,,47-47,,
0:00.0,Offensive rebound by Team,,47-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. Aldridge misses 2-pt shot from 10 ft,,47-47,,
11:46.0,Offensive rebound by Team,,47-47,,
11:46.0,,,47-47,,Loose ball foul by M. Morris (drawn by R. Lopez)
11:44.0,Offensive foul by R. Lopez,,47-47,,
11:44.0,Turnover by R. Lopez (offensive foul),,47-47,,
11:29.0,,,47-49,2,M. Morris makes 2-pt shot from 10 ft
11:09.0,Shooting foul by P. Tucker (drawn by R. Lopez),,47-49,,
11:09.0,R. Lopez makes free throw 1 of 2,1,48-49,,
11:09.0,R. Lopez makes free throw 2 of 2,1,49-49,,
10:52.0,,,49-51,2,M. Morris makes 2-pt shot from 11 ft (assist by E. Bledsoe)
10:33.0,A. Afflalo misses 3-pt shot from 24 ft,,49-51,,
10:32.0,Offensive rebound by A. Afflalo,,49-51,,
10:24.0,L. Aldridge misses 2-pt shot from 6 ft,,49-51,,
10:22.0,,,49-51,,Defensive rebound by M. Morris
10:16.0,,,49-51,,M. Morris misses 2-pt shot from 7 ft
10:13.0,Defensive rebound by L. Aldridge,,49-51,,
10:01.0,Turnover by N. Batum (bad pass; steal by M. Morris),,49-51,,
10:01.0,,,49-51,,Phoenix full timeout
9:38.0,,,49-51,,E. Bledsoe misses 2-pt shot from 18 ft
9:36.0,Defensive rebound by L. Aldridge,,49-51,,
9:29.0,D. Lillard misses 2-pt shot from 1 ft,,49-51,,
9:28.0,Offensive rebound by R. Lopez,,49-51,,
9:28.0,R. Lopez makes 2-pt shot from 1 ft,2,51-51,,
9:12.0,,,51-51,,A. Len misses 2-pt shot from 12 ft
9:10.0,Defensive rebound by Team,,51-51,,
8:57.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Batum),3,54-51,,
8:44.0,,,54-53,2,M. Morris makes 2-pt shot from 15 ft (assist by E. Bledsoe)
8:15.0,L. Aldridge makes 2-pt shot from 15 ft (assist by N. Batum),2,56-53,,
7:54.0,,,56-53,,E. Bledsoe misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by D. Lillard,,56-53,,
7:52.0,,,56-53,,Personal foul by P. Tucker (drawn by D. Lillard)
7:46.0,D. Lillard misses 2-pt shot from 16 ft,,56-53,,
7:44.0,Offensive rebound by R. Lopez,,56-53,,
7:44.0,Offensive foul by R. Lopez,,56-53,,
7:44.0,Turnover by R. Lopez (offensive foul),,56-53,,
7:27.0,,,56-55,2,M. Morris makes 2-pt shot from 11 ft (assist by M. Morris)
7:04.0,Turnover by R. Lopez (bad pass),,56-55,,
6:58.0,,,56-55,,M. Morris misses 2-pt shot from 7 ft (block by L. Aldridge)
6:55.0,Defensive rebound by N. Batum,,56-55,,
6:44.0,L. Aldridge misses 2-pt shot from 5 ft,,56-55,,
6:42.0,,,56-55,,Defensive rebound by E. Bledsoe
6:36.0,,,56-55,,M. Morris misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by A. Afflalo,,56-55,,
6:26.0,D. Lillard misses 3-pt shot from 25 ft,,56-55,,
6:22.0,,,56-55,,Defensive rebound by A. Len
6:11.0,,,56-57,2,P. Tucker makes 2-pt shot from 3 ft
5:49.0,L. Aldridge misses 2-pt shot from 17 ft,,56-57,,
5:47.0,Offensive rebound by N. Batum,,56-57,,
5:43.0,D. Lillard misses 3-pt shot from 24 ft,,56-57,,
5:41.0,,,56-57,,Defensive rebound by M. Morris
5:28.0,,,56-59,2,E. Bledsoe makes 2-pt shot from 18 ft
5:01.0,N. Batum misses 3-pt shot from 24 ft,,56-59,,
4:59.0,,,56-59,,Defensive rebound by P. Tucker
4:55.0,,,56-59,,Offensive charge foul by P. Tucker
4:55.0,,,56-59,,Turnover by P. Tucker (offensive foul)
4:55.0,C. Kaman enters the game for R. Lopez,,56-59,,
4:55.0,,,56-59,,A. Goodwin enters the game for P. Tucker
4:55.0,C. McCollum enters the game for A. Afflalo,,56-59,,
4:45.0,Offensive foul by C. Kaman,,56-59,,
4:45.0,Turnover by C. Kaman (offensive foul),,56-59,,
4:41.0,,,56-61,2,E. Bledsoe makes 2-pt shot at rim
4:41.0,,,56-61,,Shooting foul by N. Batum (drawn by E. Bledsoe)
4:41.0,Portland full timeout,,56-61,,
4:41.0,,,56-62,1,E. Bledsoe makes free throw 1 of 1
4:19.0,L. Aldridge misses 2-pt shot from 7 ft,,56-62,,
4:18.0,,,56-62,,Defensive rebound by A. Len
4:09.0,,,56-62,,M. Morris misses 3-pt shot from 24 ft
4:07.0,,,56-62,,Offensive rebound by E. Bledsoe
4:07.0,,,56-62,,E. Bledsoe misses 2-pt shot from 1 ft
4:04.0,,,56-62,,Offensive rebound by A. Goodwin
4:04.0,,,56-62,,Turnover by A. Len (offensive goaltending)
3:44.0,C. Kaman misses 2-pt shot from 17 ft,,56-62,,
3:42.0,,,56-62,,Defensive rebound by M. Morris
3:29.0,,,56-62,,E. Bledsoe misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by C. Kaman,,56-62,,
3:10.0,N. Batum misses 3-pt shot from 24 ft,,56-62,,
3:09.0,Offensive rebound by C. Kaman,,56-62,,
2:48.0,L. Aldridge misses 2-pt shot from 2 ft,,56-62,,
2:48.0,Offensive rebound by L. Aldridge,,56-62,,
2:48.0,Shooting foul by A. Goodwin (drawn by L. Aldridge),,56-62,,
2:48.0,L. Aldridge misses free throw 1 of 2,,56-62,,
2:48.0,Offensive rebound by Team,,56-62,,
2:48.0,,,56-62,,G. Green enters the game for E. Bledsoe
2:48.0,S. Blake enters the game for N. Batum,,56-62,,
2:48.0,D. Wright enters the game for D. Lillard,,56-62,,
2:48.0,L. Aldridge misses free throw 2 of 2,,56-62,,
2:45.0,,,56-62,,Defensive rebound by M. Morris
2:24.0,,,56-62,,M. Morris misses 2-pt shot from 9 ft
2:22.0,Defensive rebound by L. Aldridge,,56-62,,
2:12.0,C. Kaman makes 2-pt shot from 17 ft (assist by C. McCollum),2,58-62,,
1:50.0,,,58-62,,Turnover by A. Goodwin (bad pass)
1:50.0,,,58-62,,P. Tucker enters the game for M. Morris
1:33.0,L. Aldridge misses 2-pt shot from 8 ft,,58-62,,
1:32.0,Offensive rebound by L. Aldridge,,58-62,,
1:30.0,Shooting foul by A. Len (drawn by L. Aldridge),,58-62,,
1:30.0,L. Aldridge misses free throw 1 of 2,,58-62,,
1:30.0,Offensive rebound by Team,,58-62,,
1:30.0,,,58-62,,B. Wright enters the game for A. Len
1:30.0,L. Aldridge makes free throw 2 of 2,1,59-62,,
1:15.0,,,59-64,2,A. Goodwin makes 2-pt shot at rim (assist by M. Morris)
0:57.0,,,59-64,,Personal foul by G. Green (drawn by C. McCollum)
0:57.0,C. McCollum misses free throw 1 of 2,,59-64,,
0:57.0,Offensive rebound by Team,,59-64,,
0:57.0,C. McCollum makes free throw 2 of 2,1,60-64,,
0:49.0,Personal foul by L. Aldridge (drawn by M. Morris),,60-64,,
0:44.0,,,60-64,,Turnover by P. Tucker (bad pass; steal by D. Wright)
0:34.0,D. Wright misses 2-pt shot from 4 ft,,60-64,,
0:32.0,,,60-64,,Defensive rebound by A. Goodwin
0:29.0,,,60-66,2,A. Goodwin makes 2-pt shot at rim
0:10.0,D. Wright misses 3-pt shot from 24 ft,,60-66,,
0:08.0,,,60-66,,Defensive rebound by M. Morris
0:00.0,,,60-66,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,60-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,60-66,,P. Tucker misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by N. Batum,,60-66,,
11:23.0,Turnover by N. Batum (traveling),,60-66,,
11:12.0,,,60-68,2,G. Green makes 2-pt shot from 16 ft
10:54.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Wright),3,63-68,,
10:41.0,,,63-68,,A. Goodwin misses 2-pt shot from 4 ft
10:38.0,Defensive rebound by C. Kaman,,63-68,,
10:35.0,S. Blake makes 2-pt shot from 1 ft,2,65-68,,
10:21.0,,,65-70,2,G. Green makes 2-pt shot from 15 ft
10:21.0,,,65-70,,Shooting foul by C. McCollum (drawn by G. Green)
10:21.0,,,65-70,,G. Green misses free throw 1 of 1
10:20.0,Defensive rebound by C. Kaman,,65-70,,
10:11.0,D. Wright makes 2-pt shot from 1 ft,2,67-70,,
10:11.0,Shooting foul by B. Wright (drawn by D. Wright),,67-70,,
10:11.0,D. Wright makes free throw 1 of 1,1,68-70,,
9:52.0,,,68-70,,G. Green misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by N. Batum,,68-70,,
9:37.0,C. Kaman misses 2-pt shot from 7 ft,,68-70,,
9:34.0,,,68-70,,Defensive rebound by G. Green
9:26.0,,,68-72,2,M. Morris makes 2-pt shot from 3 ft (assist by G. Green)
9:07.0,D. Wright misses 3-pt shot from 24 ft,,68-72,,
9:06.0,Offensive rebound by C. Kaman,,68-72,,
8:55.0,Turnover by S. Blake (bad pass; steal by P. Tucker),,68-72,,
8:50.0,,,68-72,,Turnover by A. Goodwin (lost ball)
8:50.0,Official timeout,,68-72,,
8:50.0,,,68-72,,E. Bledsoe enters the game for G. Green
8:34.0,C. McCollum misses 2-pt shot from 18 ft,,68-72,,
8:33.0,,,68-72,,Defensive rebound by B. Wright
8:14.0,Def 3 sec tech foul by C. Kaman,,68-72,,
8:14.0,,,68-73,1,E. Bledsoe makes technical free throw
8:14.0,R. Lopez enters the game for C. Kaman,,68-73,,
8:02.0,,,68-73,,M. Morris misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by Team,,68-73,,
7:47.0,Turnover by C. McCollum (bad pass; steal by E. Bledsoe),,68-73,,
7:47.0,Personal foul by C. McCollum (drawn by E. Bledsoe),,68-73,,
7:36.0,,,68-73,,E. Bledsoe misses 2-pt shot from 18 ft
7:35.0,,,68-73,,Offensive rebound by A. Goodwin
7:34.0,A. Afflalo enters the game for C. McCollum,,68-73,,
7:34.0,D. Lillard enters the game for N. Batum,,68-73,,
7:33.0,Jump ball: A. Goodwin vs. R. Lopez (D. Wright gains possession),,,,Jump ball: A. Goodwin vs. R. Lopez (D. Wright gains possession)
7:33.0,,,68-73,,Turnover by A. Goodwin (lost ball; steal by R. Lopez)
7:19.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,70-73,,
6:58.0,,,70-73,,B. Wright misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by D. Wright,,70-73,,
6:37.0,D. Lillard misses 2-pt shot from 1 ft,,70-73,,
6:35.0,,,70-73,,Defensive rebound by E. Bledsoe
6:27.0,,,70-73,,A. Goodwin misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by D. Wright,,70-73,,
6:11.0,,,70-73,,Violation by B. Wright (kicked ball)
6:11.0,,,70-73,,M. Morris enters the game for A. Goodwin
6:11.0,,,70-73,,A. Len enters the game for B. Wright
6:05.0,Turnover by D. Lillard (bad pass; steal by P. Tucker),,70-73,,
6:00.0,,,70-73,,P. Tucker misses 2-pt shot from 3 ft (block by D. Wright)
5:55.0,Defensive rebound by D. Wright,,70-73,,
5:53.0,S. Blake misses 3-pt shot from 24 ft,,70-73,,
5:52.0,,,70-73,,Defensive rebound by P. Tucker
5:52.0,,,70-73,,Phoenix full timeout
5:52.0,L. Aldridge enters the game for S. Blake,,70-73,,
5:43.0,Def 3 sec tech foul by R. Lopez,,70-73,,
5:43.0,,,70-74,1,E. Bledsoe makes technical free throw
5:31.0,,,70-74,,M. Morris misses 2-pt shot from 14 ft
5:30.0,,,70-74,,Offensive rebound by P. Tucker
5:30.0,Personal foul by A. Afflalo (drawn by P. Tucker),,70-74,,
5:23.0,,,70-74,,M. Morris misses 2-pt shot from 16 ft
5:21.0,Defensive rebound by R. Lopez,,70-74,,
5:08.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Lillard),2,72-74,,
4:50.0,,,72-74,,A. Len misses 2-pt shot from 14 ft
4:48.0,Defensive rebound by D. Wright,,72-74,,
4:43.0,D. Lillard makes 2-pt shot from 16 ft,2,74-74,,
4:43.0,Shooting foul by E. Bledsoe (drawn by D. Lillard),,74-74,,
4:43.0,D. Lillard misses free throw 1 of 1,,74-74,,
4:42.0,,,74-74,,Defensive rebound by M. Morris
4:30.0,,,74-74,,E. Bledsoe misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by R. Lopez,,74-74,,
4:15.0,,,74-74,,Def 3 sec tech foul by A. Len
4:15.0,D. Lillard makes technical free throw,1,75-74,,
4:04.0,D. Lillard misses 3-pt shot from 26 ft,,75-74,,
4:04.0,Offensive rebound by Team,,75-74,,
4:04.0,,,75-74,,Loose ball foul by A. Len (drawn by R. Lopez)
4:00.0,D. Lillard misses 2-pt shot from 9 ft,,75-74,,
4:00.0,,,75-74,,Defensive rebound by Team
4:00.0,Loose ball foul by R. Lopez (drawn by A. Len),,75-74,,
3:41.0,,,75-74,,E. Bledsoe misses 2-pt shot from 9 ft
3:39.0,Defensive rebound by L. Aldridge,,75-74,,
3:25.0,L. Aldridge makes 2-pt shot from 10 ft,2,77-74,,
3:03.0,,,77-76,2,M. Morris makes 2-pt shot from 17 ft
3:03.0,Portland full timeout,,77-76,,
3:03.0,N. Batum enters the game for D. Wright,,77-76,,
2:44.0,L. Aldridge makes 2-pt shot from 14 ft,2,79-76,,
2:19.0,,,79-76,,M. Morris misses 2-pt shot from 8 ft
2:15.0,Defensive rebound by N. Batum,,79-76,,
