time,Memphis,pts.away,score,pts.home,Utah
7:11.0,C. Lee enters the game for T. Allen,,40-33,,
7:11.0,,,40-34,1,D. Favors makes free throw 2 of 2
6:49.0,C. Lee misses 3-pt shot from 24 ft,,40-34,,
6:47.0,,,40-34,,Defensive rebound by C. Johnson
6:39.0,Violation by J. Leuer (kicked ball),,40-34,,
6:29.0,,,40-34,,E. Kanter misses 2-pt shot from 20 ft
6:28.0,Defensive rebound by J. Leuer,,40-34,,
6:13.0,M. Gasol makes 2-pt shot from 7 ft,2,42-34,,
6:02.0,,,42-34,,Shooting foul by J. Leuer (drawn by G. Hayward)
6:02.0,,,42-35,1,G. Hayward makes free throw 1 of 2
6:02.0,,,42-36,1,G. Hayward makes free throw 2 of 2
5:50.0,J. Leuer makes 2-pt shot from 17 ft (assist by M. Conley),2,44-36,,
5:31.0,,,44-38,2,C. Johnson makes 2-pt shot from 2 ft (assist by D. Exum)
5:19.0,M. Gasol makes 2-pt shot from 13 ft (assist by N. Calathes),2,46-38,,
5:06.0,,,46-40,2,D. Favors makes 2-pt shot from 2 ft
5:06.0,,,46-40,,Shooting foul by J. Leuer (drawn by D. Favors)
5:06.0,Official timeout,,46-40,,
5:06.0,Z. Randolph enters the game for J. Leuer,,46-40,,
5:06.0,,,46-40,,R. Gobert enters the game for E. Kanter
5:06.0,,,46-41,1,D. Favors makes free throw 1 of 1
4:52.0,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph),2,48-41,,
4:25.0,,,48-41,,Turnover by D. Exum (lost ball)
4:07.0,M. Conley makes 3-pt shot from 23 ft (assist by N. Calathes),3,51-41,,
3:44.0,,,51-41,,D. Exum misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by N. Calathes,,51-41,,
3:39.0,M. Conley makes 2-pt shot from 2 ft (assist by N. Calathes),2,53-41,,
3:31.0,,,53-41,,Utah full timeout
3:31.0,,,53-41,,J. Ingles enters the game for C. Johnson
3:31.0,,,53-41,,T. Burke enters the game for D. Exum
3:17.0,,,53-41,,G. Hayward misses 2-pt shot from 3 ft (block by M. Gasol)
3:15.0,Defensive rebound by M. Gasol,,53-41,,
3:11.0,M. Conley makes 3-pt shot from 24 ft (assist by N. Calathes),3,56-41,,
2:54.0,Personal foul by M. Gasol (drawn by J. Ingles),,56-41,,
2:54.0,,,56-41,,J. Ingles misses free throw 1 of 2
2:54.0,,,56-41,,Offensive rebound by Team
2:54.0,,,56-41,,E. Kanter enters the game for D. Favors
2:54.0,,,56-41,,J. Ingles misses free throw 2 of 2
2:54.0,,,56-41,,Offensive rebound by Team
2:54.0,Personal foul by N. Calathes (drawn by R. Gobert),,56-41,,
2:54.0,,,56-42,1,R. Gobert makes free throw 1 of 2
2:54.0,,,56-42,,R. Gobert misses free throw 2 of 2
2:52.0,Defensive rebound by C. Lee,,56-42,,
2:40.0,M. Gasol misses 2-pt shot from 7 ft,,56-42,,
2:38.0,,,56-42,,Defensive rebound by E. Kanter
2:27.0,,,56-42,,E. Kanter misses 2-pt shot from 5 ft
2:26.0,Defensive rebound by Z. Randolph,,56-42,,
2:20.0,Turnover by N. Calathes (bad pass; steal by T. Burke),,56-42,,
2:12.0,,,56-42,,Turnover by T. Burke (bad pass; steal by C. Lee)
2:09.0,N. Calathes makes 2-pt shot from 3 ft (assist by C. Lee),2,58-42,,
2:09.0,Shooting foul by J. Ingles (drawn by N. Calathes),,58-42,,
2:09.0,,,58-42,,E. Millsap enters the game for J. Ingles
2:09.0,N. Calathes misses free throw 1 of 1,,58-42,,
2:08.0,Offensive rebound by Team,,58-42,,
2:08.0,,,58-42,,Loose ball foul by E. Kanter (drawn by Z. Randolph)
2:08.0,J. Green enters the game for N. Calathes,,58-42,,
1:49.0,Z. Randolph misses 2-pt shot from 15 ft,,58-42,,
1:48.0,,,58-42,,Defensive rebound by T. Burke
1:36.0,,,58-42,,G. Hayward misses 3-pt shot from 23 ft
1:33.0,,,58-42,,Offensive rebound by R. Gobert
1:33.0,,,58-42,,R. Gobert misses 2-pt shot from 2 ft
1:31.0,,,58-42,,Offensive rebound by E. Kanter
1:26.0,,,58-45,3,G. Hayward makes 3-pt shot from 25 ft (assist by E. Kanter)
1:02.0,M. Gasol misses 2-pt shot from 19 ft,,58-45,,
1:00.0,,,58-45,,Defensive rebound by E. Millsap
0:45.0,,,58-45,,E. Kanter misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by M. Gasol,,58-45,,
0:38.0,Turnover by M. Conley (bad pass; steal by R. Gobert),,58-45,,
0:32.0,,,58-47,2,G. Hayward makes 2-pt shot from 4 ft
0:24.0,Memphis full timeout,,58-47,,
0:12.0,M. Conley misses 2-pt shot from 11 ft,,58-47,,
0:11.0,,,58-47,,Defensive rebound by T. Burke
0:11.0,Personal foul by Z. Randolph (drawn by T. Burke),,58-47,,
0:11.0,,,58-48,1,T. Burke makes free throw 1 of 2
0:11.0,,,58-48,,C. Johnson enters the game for G. Hayward
0:11.0,,,58-49,1,T. Burke makes free throw 2 of 2
0:06.0,,,58-49,,Personal foul by E. Millsap (drawn by M. Conley)
0:04.0,Turnover by M. Conley (bad pass; steal by R. Gobert),,58-49,,
0:00.0,,,58-51,2,E. Millsap makes 2-pt shot from 1 ft (assist by T. Burke)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:32.0,,,58-51,,E. Kanter misses 3-pt shot from 25 ft
11:32.0,,,58-51,,Offensive rebound by Team
11:32.0,,,58-51,,Turnover by Team (shot clock)
11:18.0,M. Gasol misses 2-pt shot from 6 ft,,58-51,,
11:17.0,Offensive rebound by Z. Randolph,,58-51,,
11:09.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,60-51,,
10:43.0,,,60-53,2,J. Ingles makes 2-pt shot from 20 ft
10:15.0,M. Conley makes 3-pt shot from 23 ft (assist by J. Green),3,63-53,,
9:48.0,,,63-53,,D. Exum misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by M. Gasol,,63-53,,
9:40.0,J. Green misses 3-pt shot from 23 ft,,63-53,,
9:38.0,,,63-53,,Defensive rebound by D. Favors
9:30.0,,,63-53,,T. Burke enters the game for D. Exum
9:21.0,,,63-53,,J. Ingles misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by M. Gasol,,63-53,,
8:58.0,Z. Randolph misses 2-pt shot from 17 ft,,63-53,,
8:56.0,,,63-53,,Defensive rebound by E. Kanter
8:49.0,,,63-53,,Offensive foul by J. Ingles
8:49.0,,,63-53,,Turnover by J. Ingles (offensive foul)
8:49.0,,,63-53,,E. Millsap enters the game for J. Ingles
8:35.0,C. Lee makes 2-pt shot from 18 ft,2,65-53,,
8:10.0,,,65-56,3,T. Burke makes 3-pt shot from 24 ft (assist by D. Favors)
7:48.0,C. Lee misses 2-pt shot from 9 ft,,65-56,,
7:47.0,,,65-56,,Defensive rebound by E. Kanter
7:41.0,,,65-56,,Shooting foul by M. Conley (drawn by E. Millsap)
7:41.0,,,65-57,1,E. Millsap makes free throw 1 of 2
7:41.0,,,65-57,,E. Millsap misses free throw 2 of 2
