time,Detroit,pts.away,score,pts.home,Brooklyn
3:25.0,C. Butler misses 3-pt shot from 24 ft,,13-22,,
3:24.0,,,13-22,,Defensive rebound by M. Teletovic
3:09.0,,,13-24,2,J. Jack makes 2-pt shot from 14 ft
2:57.0,B. Jennings misses 3-pt shot from 24 ft,,13-24,,
2:56.0,,,13-24,,Defensive rebound by M. Plumlee
2:41.0,,,13-24,,A. Anderson misses 3-pt shot from 23 ft
2:40.0,Defensive rebound by G. Monroe,,13-24,,
2:31.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,15-24,,
2:25.0,,,15-24,,Brooklyn full timeout
2:25.0,D. Augustin enters the game for B. Jennings,,15-24,,
2:25.0,J. Meeks enters the game for K. Caldwell-Pope,,15-24,,
2:16.0,,,15-26,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack)
1:55.0,J. Smith misses 2-pt shot from 16 ft,,15-26,,
1:54.0,,,15-26,,Defensive rebound by J. Jack
1:46.0,,,15-28,2,M. Teletovic makes 2-pt shot from 16 ft (assist by S. Karasev)
1:21.0,J. Smith misses 2-pt shot from 20 ft,,15-28,,
1:20.0,,,15-28,,Defensive rebound by M. Teletovic
1:12.0,,,15-28,,Turnover by J. Jack (bad pass; steal by D. Augustin)
1:03.0,J. Smith misses 2-pt shot from 2 ft,,15-28,,
1:02.0,,,15-28,,Defensive rebound by M. Plumlee
0:48.0,,,15-28,,A. Anderson misses 2-pt shot from 2 ft (block by J. Smith)
0:46.0,Defensive rebound by D. Augustin,,15-28,,
0:41.0,C. Butler misses 3-pt shot from 24 ft,,15-28,,
0:40.0,Offensive rebound by G. Monroe,,15-28,,
0:39.0,,,15-28,,Personal foul by J. Jack (drawn by G. Monroe)
0:39.0,G. Monroe misses free throw 1 of 2,,15-28,,
0:39.0,Offensive rebound by Team,,15-28,,
0:39.0,,,15-28,,J. Johnson enters the game for M. Plumlee
0:39.0,,,15-28,,D. Morris enters the game for J. Jack
0:39.0,J. Jerebko enters the game for J. Smith,,15-28,,
0:39.0,G. Monroe makes free throw 2 of 2,1,16-28,,
0:15.0,,,16-28,,Turnover by M. Teletovic (lost ball; steal by J. Meeks)
0:08.0,J. Meeks misses 3-pt shot from 23 ft,,16-28,,
0:07.0,Offensive rebound by J. Jerebko,,16-28,,
0:04.0,G. Monroe makes 2-pt shot from 3 ft (assist by J. Jerebko),2,18-28,,
0:01.0,,,18-28,,D. Morris misses 2-pt shot from 11 ft
0:00.0,,,18-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,18-30,2,J. Johnson makes 2-pt shot from 18 ft
11:10.0,G. Monroe makes 2-pt shot from 8 ft,2,20-30,,
10:50.0,,,20-30,,Turnover by J. Johnson (lost ball)
10:50.0,,,20-30,,B. Bogdanovic enters the game for S. Karasev
10:28.0,G. Monroe makes 2-pt shot from 2 ft,2,22-30,,
10:07.0,,,22-30,,A. Anderson misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by G. Monroe,,22-30,,
9:55.0,G. Monroe misses 2-pt shot from 8 ft,,22-30,,
9:54.0,,,22-30,,Defensive rebound by M. Teletovic
9:48.0,,,22-30,,Turnover by D. Morris (bad pass; steal by D. Augustin)
9:41.0,J. Meeks makes 2-pt shot from 2 ft,2,24-30,,
9:34.0,,,24-30,,Brooklyn full timeout
9:34.0,,,24-30,,J. Jack enters the game for D. Morris
9:34.0,,,24-30,,J. Jordan enters the game for M. Teletovic
9:19.0,,,24-30,,Shooting foul by C. Butler (drawn by J. Johnson)
9:19.0,,,24-30,,J. Johnson misses free throw 1 of 2
9:19.0,,,24-30,,Offensive rebound by Team
9:19.0,,,24-30,,J. Johnson misses free throw 2 of 2
9:18.0,Defensive rebound by J. Jerebko,,24-30,,
8:56.0,D. Augustin makes 3-pt shot from 26 ft (assist by G. Monroe),3,27-30,,
8:42.0,,,27-33,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
8:27.0,J. Meeks makes 2-pt shot from 9 ft (assist by D. Augustin),2,29-33,,
8:16.0,,,29-33,,J. Jack misses 2-pt shot from 1 ft
8:15.0,,,29-33,,Offensive rebound by J. Jordan
8:14.0,,,29-33,,J. Jordan misses 2-pt shot at rim
8:13.0,Defensive rebound by C. Butler,,29-33,,
7:57.0,Turnover by C. Butler (bad pass; steal by J. Johnson),,29-33,,
7:54.0,,,29-33,,Shooting foul by C. Butler (drawn by A. Anderson)
7:54.0,,,29-34,1,A. Anderson makes free throw 1 of 2
7:54.0,,,29-35,1,A. Anderson makes free throw 2 of 2
7:37.0,,,29-35,,Personal foul by J. Jordan (drawn by G. Monroe)
7:29.0,J. Meeks makes 2-pt shot from 15 ft (assist by D. Augustin),2,31-35,,
7:09.0,,,31-35,,Turnover by J. Jordan (bad pass; steal by G. Monroe)
7:02.0,Turnover by D. Augustin (bad pass),,31-35,,
6:51.0,,,31-37,2,J. Jack makes 2-pt shot from 2 ft
6:32.0,J. Jerebko makes 2-pt shot from 3 ft (assist by G. Monroe),2,33-37,,
6:13.0,,,33-40,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson)
5:53.0,,,33-40,,Shooting block foul by B. Bogdanovic (drawn by J. Meeks)
5:53.0,Official timeout,,33-40,,
5:53.0,J. Meeks makes free throw 1 of 2,1,34-40,,
5:53.0,J. Meeks misses free throw 2 of 2,,34-40,,
5:51.0,,,34-40,,Defensive rebound by J. Jordan
5:37.0,,,34-42,2,A. Anderson makes 2-pt shot from 1 ft (assist by J. Jordan)
5:23.0,G. Monroe makes 2-pt shot from 5 ft,2,36-42,,
5:07.0,,,36-44,2,A. Anderson makes 2-pt shot from 6 ft
4:52.0,G. Monroe makes 2-pt shot from 16 ft,2,38-44,,
4:33.0,,,38-46,2,J. Jack makes 2-pt shot from 19 ft (assist by J. Johnson)
4:17.0,Turnover by J. Jerebko (traveling),,38-46,,
4:17.0,K. Caldwell-Pope enters the game for J. Meeks,,38-46,,
4:17.0,,,38-46,,S. Karasev enters the game for B. Bogdanovic
4:17.0,,,38-46,,K. Garnett enters the game for J. Jordan
4:17.0,,,38-46,,M. Plumlee enters the game for A. Anderson
4:03.0,,,38-46,,K. Garnett misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by K. Caldwell-Pope,,38-46,,
3:42.0,J. Jerebko makes 3-pt shot from 27 ft (assist by D. Augustin),3,41-46,,
3:28.0,,,41-46,,J. Jack misses 2-pt shot from 19 ft
3:27.0,Defensive rebound by K. Caldwell-Pope,,41-46,,
3:17.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,41-46,,
3:16.0,,,41-46,,Defensive rebound by K. Garnett
3:02.0,,,41-46,,Turnover by K. Garnett (bad pass; steal by J. Jerebko)
2:58.0,D. Augustin misses 2-pt shot from 2 ft,,41-46,,
2:57.0,Offensive rebound by J. Jerebko,,41-46,,
2:56.0,J. Jerebko misses 2-pt shot from 1 ft,,41-46,,
2:55.0,,,41-46,,Defensive rebound by J. Jack
2:51.0,,,41-46,,S. Karasev misses 2-pt shot from 2 ft (block by G. Monroe)
2:49.0,Defensive rebound by K. Caldwell-Pope,,41-46,,
2:48.0,Shooting foul by J. Jack (drawn by K. Caldwell-Pope),,41-46,,
2:48.0,Detroit full timeout,,41-46,,
2:48.0,,,41-46,,Technical foul by Team
2:48.0,A. Drummond enters the game for G. Monroe,,41-46,,
2:48.0,K. Singler enters the game for C. Butler,,41-46,,
2:48.0,J. Jerebko makes technical free throw,1,42-46,,
2:48.0,K. Caldwell-Pope makes free throw 1 of 2,1,43-46,,
2:48.0,K. Caldwell-Pope makes free throw 2 of 2,1,44-46,,
2:29.0,,,44-49,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
2:09.0,Turnover by A. Drummond (lost ball; steal by M. Plumlee),,44-49,,
2:03.0,,,44-51,2,M. Plumlee makes 2-pt shot at rim (assist by S. Karasev)
1:47.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,44-51,,
1:45.0,Offensive rebound by A. Drummond,,44-51,,
1:44.0,A. Drummond misses 2-pt shot from 1 ft,,44-51,,
1:43.0,Offensive rebound by A. Drummond,,44-51,,
1:40.0,A. Drummond misses 2-pt shot from 2 ft (block by J. Johnson),,44-51,,
1:39.0,,,44-51,,Defensive rebound by M. Plumlee
1:31.0,,,44-53,2,K. Garnett makes 2-pt shot from 20 ft (assist by J. Jack)
1:16.0,Offensive foul by J. Jerebko,,44-53,,
1:16.0,Turnover by J. Jerebko (offensive foul),,44-53,,
1:16.0,G. Monroe enters the game for J. Jerebko,,44-53,,
1:01.0,,,44-53,,J. Johnson misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by D. Augustin,,44-53,,
0:46.0,D. Augustin makes 2-pt shot from 23 ft,2,46-53,,
0:40.0,,,46-53,,J. Jack misses 2-pt shot from 2 ft (block by G. Monroe)
0:38.0,Defensive rebound by G. Monroe,,46-53,,
0:36.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by D. Augustin),2,48-53,,
0:36.0,Shooting foul by K. Garnett (drawn by K. Caldwell-Pope),,48-53,,
0:36.0,K. Caldwell-Pope makes free throw 1 of 1,1,49-53,,
0:34.0,,,49-53,,Brooklyn full timeout
0:34.0,C. Butler enters the game for G. Monroe,,49-53,,
0:34.0,,,49-53,,A. Anderson enters the game for K. Garnett
0:28.0,,,49-53,,A. Anderson misses 2-pt shot at rim
0:25.0,Defensive rebound by K. Caldwell-Pope,,49-53,,
0:04.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,51-53,,
0:01.0,,,51-53,,A. Anderson misses 3-pt shot from 38 ft
0:00.0,,,51-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-53,,Shooting foul by J. Smith (drawn by M. Plumlee)
11:48.0,,,51-53,,M. Plumlee misses free throw 1 of 2
11:48.0,,,51-53,,Offensive rebound by Team
11:48.0,,,51-54,1,M. Plumlee makes free throw 2 of 2
11:27.0,J. Smith misses 3-pt shot from 22 ft,,51-54,,
11:26.0,,,51-54,,Defensive rebound by J. Johnson
11:19.0,,,51-54,,Turnover by J. Johnson (bad pass; steal by J. Smith)
11:11.0,B. Jennings makes 3-pt shot from 23 ft (assist by J. Smith),3,54-54,,
10:54.0,,,54-54,,J. Jack misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by J. Smith,,54-54,,
10:48.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,56-54,,
10:26.0,Violation by A. Drummond (def goaltending),,56-54,,
10:26.0,,,56-56,2,J. Johnson makes 2-pt shot from 5 ft
10:12.0,B. Jennings misses 3-pt shot from 26 ft,,56-56,,
10:11.0,Offensive rebound by B. Jennings,,56-56,,
10:01.0,B. Jennings makes 2-pt shot from 18 ft,2,58-56,,
9:49.0,,,58-58,2,S. Karasev makes 2-pt shot from 2 ft (assist by K. Garnett)
9:36.0,B. Jennings misses 2-pt shot from 2 ft,,58-58,,
9:35.0,,,58-58,,Defensive rebound by M. Plumlee
9:28.0,,,58-58,,J. Johnson misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by K. Caldwell-Pope,,58-58,,
9:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,58-58,,
9:20.0,Offensive rebound by A. Drummond,,58-58,,
9:19.0,A. Drummond misses 2-pt shot from 1 ft,,58-58,,
9:18.0,Offensive rebound by A. Drummond,,58-58,,
9:16.0,Shooting foul by S. Karasev (drawn by A. Drummond),,58-58,,
9:16.0,A. Drummond misses free throw 1 of 2,,58-58,,
9:16.0,Offensive rebound by Team,,58-58,,
9:16.0,A. Drummond makes free throw 2 of 2,1,59-58,,
8:58.0,,,59-60,2,J. Jack makes 2-pt shot from 6 ft (assist by J. Johnson)
8:45.0,B. Jennings misses 2-pt shot from 2 ft,,59-60,,
8:44.0,,,59-60,,Defensive rebound by J. Jack
8:39.0,,,59-60,,Shooting foul by J. Smith (drawn by S. Karasev)
8:39.0,,,59-61,1,S. Karasev makes free throw 1 of 2
8:39.0,,,59-62,1,S. Karasev makes free throw 2 of 2
8:18.0,K. Singler makes 2-pt shot from 21 ft (assist by J. Smith),2,61-62,,
8:02.0,,,61-62,,K. Garnett misses 2-pt shot from 8 ft
8:01.0,,,61-62,,Offensive rebound by Team
8:01.0,Loose ball foul by K. Singler (drawn by M. Plumlee),,61-62,,
8:01.0,Technical foul by Team,,61-62,,
8:01.0,,,61-63,1,J. Jack makes technical free throw
7:49.0,Personal foul by A. Drummond (drawn by M. Plumlee),,61-63,,
7:38.0,,,61-65,2,J. Jack makes 2-pt shot from 9 ft
7:19.0,K. Singler misses 3-pt shot from 22 ft,,61-65,,
7:18.0,,,61-65,,Defensive rebound by J. Jack
7:10.0,,,61-65,,Turnover by J. Johnson (bad pass; steal by J. Smith)
7:06.0,Shooting foul by J. Jack (drawn by J. Smith),,61-65,,
7:06.0,,,61-65,,Brooklyn full timeout
7:06.0,,,61-65,,M. Teletovic enters the game for K. Garnett
7:06.0,,,61-65,,B. Bogdanovic enters the game for J. Johnson
7:06.0,J. Smith makes free throw 1 of 2,1,62-65,,
7:06.0,J. Smith makes free throw 2 of 2,1,63-65,,
6:55.0,,,63-65,,Turnover by B. Bogdanovic (traveling)
6:47.0,Shooting foul by M. Plumlee (drawn by A. Drummond),,63-65,,
6:47.0,A. Drummond makes free throw 1 of 2,1,64-65,,
6:47.0,A. Drummond makes free throw 2 of 2,1,65-65,,
6:36.0,,,65-67,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack)
6:11.0,J. Smith misses 2-pt shot from 6 ft,,65-67,,
6:10.0,Offensive rebound by A. Drummond,,65-67,,
6:09.0,A. Drummond misses 2-pt shot from 1 ft,,65-67,,
6:08.0,Offensive rebound by J. Smith,,65-67,,
6:08.0,J. Smith makes 2-pt shot from 2 ft,2,67-67,,
5:51.0,,,67-67,,S. Karasev misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by A. Drummond,,67-67,,
5:47.0,Turnover by J. Smith (lost ball; steal by S. Karasev),,67-67,,
5:39.0,,,67-69,2,J. Jack makes 2-pt shot from 8 ft
5:24.0,J. Smith misses 2-pt shot from 2 ft,,67-69,,
5:23.0,Offensive rebound by A. Drummond,,67-69,,
5:22.0,A. Drummond makes 2-pt shot from 1 ft,2,69-69,,
5:03.0,,,69-72,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack)
4:48.0,J. Smith misses 2-pt shot from 16 ft,,69-72,,
4:47.0,Offensive rebound by A. Drummond,,69-72,,
4:46.0,A. Drummond makes 2-pt shot from 2 ft,2,71-72,,
4:33.0,,,71-72,,B. Bogdanovic misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by A. Drummond,,71-72,,
4:27.0,,,71-72,,Shooting block foul by M. Teletovic (drawn by J. Smith)
4:27.0,J. Smith misses free throw 1 of 2,,71-72,,
4:27.0,Offensive rebound by Team,,71-72,,
4:27.0,,,71-72,,J. Jordan enters the game for M. Plumlee
4:27.0,J. Smith makes free throw 2 of 2,1,72-72,,
4:18.0,,,72-74,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack)
4:18.0,,,72-74,,Shooting foul by K. Singler (drawn by B. Bogdanovic)
4:18.0,Detroit full timeout,,72-74,,
4:18.0,,,72-75,1,B. Bogdanovic makes free throw 1 of 1
4:07.0,A. Drummond misses 2-pt shot at rim,,72-75,,
4:06.0,,,72-75,,Defensive rebound by J. Jordan
3:59.0,,,72-75,,J. Jordan misses 2-pt shot from 4 ft (block by J. Smith)
3:57.0,Defensive rebound by A. Drummond,,72-75,,
3:52.0,Turnover by B. Jennings (bad pass; steal by J. Jack),,72-75,,
3:50.0,,,72-75,,Shooting foul by J. Smith (drawn by M. Teletovic)
3:50.0,,,72-76,1,M. Teletovic makes free throw 1 of 2
3:50.0,,,72-77,1,M. Teletovic makes free throw 2 of 2
3:35.0,J. Smith misses 2-pt shot from 7 ft,,72-77,,
3:34.0,Offensive rebound by A. Drummond,,72-77,,
3:33.0,A. Drummond misses 2-pt shot from 2 ft,,72-77,,
3:32.0,Offensive rebound by A. Drummond,,72-77,,
3:28.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,72-77,,
3:27.0,,,72-77,,Defensive rebound by M. Teletovic
3:14.0,,,72-77,,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Smith)
3:12.0,Defensive rebound by K. Singler,,72-77,,
3:06.0,J. Smith makes 2-pt shot from 2 ft (assist by B. Jennings),2,74-77,,
2:45.0,,,74-80,3,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Jack)
2:31.0,B. Jennings misses 2-pt shot from 20 ft,,74-80,,
2:30.0,,,74-80,,Defensive rebound by S. Karasev
2:19.0,,,74-80,,B. Bogdanovic misses 2-pt shot from 14 ft
2:18.0,Defensive rebound by A. Drummond,,74-80,,
2:08.0,B. Jennings misses 2-pt shot from 2 ft (block by B. Bogdanovic),,74-80,,
2:07.0,,,74-80,,Defensive rebound by B. Bogdanovic
2:00.0,,,74-80,,M. Teletovic misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by J. Smith,,74-80,,
1:51.0,Turnover by B. Jennings (offensive foul),,74-80,,
1:51.0,Offensive charge foul by B. Jennings,,74-80,,
1:51.0,J. Jerebko enters the game for A. Drummond,,74-80,,
1:51.0,J. Meeks enters the game for K. Singler,,74-80,,
1:51.0,G. Monroe enters the game for J. Smith,,74-80,,
1:36.0,,,74-80,,Shooting foul by K. Caldwell-Pope (drawn by B. Bogdanovic)
1:36.0,,,74-81,1,B. Bogdanovic makes free throw 1 of 2
1:36.0,,,74-82,1,B. Bogdanovic makes free throw 2 of 2
1:19.0,Shooting foul by J. Jordan (drawn by J. Jerebko),,74-82,,
1:19.0,J. Jerebko makes free throw 1 of 2,1,75-82,,
1:19.0,J. Jerebko makes free throw 2 of 2,1,76-82,,
1:05.0,,,76-82,,M. Teletovic misses 3-pt shot from 27 ft
1:04.0,Defensive rebound by B. Jennings,,76-82,,
0:54.0,B. Jennings misses 3-pt shot from 25 ft,,76-82,,
0:53.0,,,76-82,,Defensive rebound by B. Bogdanovic
0:38.0,,,76-82,,D. Morris enters the game for J. Jack
0:36.0,,,76-82,,S. Karasev misses 2-pt shot from 16 ft
0:34.0,Defensive rebound by G. Monroe,,76-82,,
0:18.0,J. Meeks makes 2-pt shot from 2 ft (assist by J. Jerebko),2,78-82,,
0:04.0,Personal foul by B. Jennings (drawn by D. Morris),,78-82,,
0:04.0,,,78-82,,D. Morris misses free throw 1 of 2
0:04.0,,,78-82,,Offensive rebound by Team
0:04.0,,,78-82,,A. Anderson enters the game for S. Karasev
0:04.0,,,78-83,1,D. Morris makes free throw 2 of 2
0:01.0,J. Meeks misses 3-pt shot from 30 ft,,78-83,,
0:00.0,Offensive rebound by Team,,78-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,Turnover by Team (shot clock),,78-83,,
11:18.0,,,78-83,,M. Teletovic misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by G. Monroe,,78-83,,
10:59.0,J. Jerebko makes 2-pt shot from 18 ft,2,80-83,,
10:46.0,,,80-83,,M. Teletovic misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by G. Monroe,,80-83,,
10:29.0,,,80-83,,Personal block foul by J. Jordan (drawn by D. Augustin)
10:29.0,,,80-83,,M. Plumlee enters the game for J. Jordan
10:15.0,Turnover by J. Jerebko (bad pass; steal by J. Johnson),,80-83,,
10:10.0,,,80-85,2,M. Plumlee makes 2-pt shot at rim (assist by D. Morris)
10:10.0,Detroit full timeout,,80-85,,
9:53.0,Shooting foul by M. Plumlee (drawn by G. Monroe),,80-85,,
9:53.0,G. Monroe makes free throw 1 of 2,1,81-85,,
9:53.0,G. Monroe misses free throw 2 of 2,,81-85,,
9:52.0,,,81-85,,Defensive rebound by M. Teletovic
9:40.0,Personal block foul by J. Jerebko (drawn by D. Morris),,81-85,,
9:31.0,Personal foul by J. Meeks (drawn by M. Plumlee),,81-85,,
9:20.0,,,81-87,2,M. Teletovic makes 2-pt shot from 3 ft (assist by J. Johnson)
8:54.0,D. Augustin misses 3-pt shot from 23 ft,,81-87,,
8:53.0,,,81-87,,Defensive rebound by M. Plumlee
8:36.0,,,81-87,,A. Anderson misses 2-pt shot from 11 ft
8:35.0,Defensive rebound by J. Jerebko,,81-87,,
8:26.0,G. Monroe misses 2-pt shot from 8 ft,,81-87,,
8:25.0,,,81-87,,Defensive rebound by M. Teletovic
8:07.0,,,81-89,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
7:49.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,83-89,,
7:29.0,,,83-92,3,D. Morris makes 3-pt shot from 24 ft (assist by M. Teletovic)
7:09.0,Turnover by J. Jerebko (lost ball; steal by D. Morris),,83-92,,
7:05.0,,,83-94,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Morris)
7:05.0,,,83-94,,Shooting foul by J. Meeks (drawn by M. Plumlee)
7:05.0,A. Drummond enters the game for J. Jerebko,,83-94,,
7:05.0,,,83-94,,M. Plumlee misses free throw 1 of 1
7:04.0,Defensive rebound by A. Drummond,,83-94,,
6:48.0,Turnover by A. Drummond (lost ball; steal by M. Plumlee),,83-94,,
6:43.0,,,83-96,2,D. Morris makes 2-pt shot from 1 ft
6:43.0,Detroit full timeout,,83-96,,
6:43.0,K. Caldwell-Pope enters the game for G. Monroe,,83-96,,
6:43.0,J. Smith enters the game for D. Augustin,,83-96,,
6:43.0,B. Jennings enters the game for C. Butler,,83-96,,
6:26.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,83-96,,
6:25.0,,,83-96,,Defensive rebound by M. Plumlee
6:14.0,,,83-96,,Turnover by A. Anderson (lost ball)
5:48.0,J. Smith misses 2-pt shot from 16 ft,,83-96,,
5:47.0,,,83-96,,Defensive rebound by M. Teletovic
5:32.0,Violation by A. Drummond (def goaltending),,83-96,,
5:32.0,,,83-98,2,M. Teletovic makes 2-pt shot from 2 ft
5:15.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Jennings),3,86-98,,
4:48.0,,,86-98,,D. Morris misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by A. Drummond,,86-98,,
4:44.0,J. Meeks makes 2-pt shot from 2 ft (assist by B. Jennings),2,88-98,,
4:44.0,,,88-98,,Brooklyn full timeout
4:44.0,,,88-98,,J. Jack enters the game for D. Morris
4:26.0,,,88-98,,J. Johnson misses 2-pt shot from 6 ft
4:25.0,,,88-98,,Offensive rebound by M. Plumlee
4:24.0,,,88-100,2,M. Plumlee makes 2-pt shot from 2 ft
4:14.0,,,88-100,,Personal foul by A. Anderson (drawn by J. Meeks)
