time,Dallas,pts.away,score,pts.home,Sacramento
8:46.0,,,12-9,,Personal foul by J. Thompson (drawn by M. Ellis)
8:32.0,C. Parsons makes 2-pt shot from 3 ft (assist by M. Ellis),2,14-9,,
8:13.0,,,14-11,2,D. Collison makes 2-pt shot from 15 ft
7:56.0,M. Ellis makes 2-pt shot from 18 ft (assist by R. Rondo),2,16-11,,
7:40.0,,,16-11,,Turnover by D. Cousins (bad pass; steal by R. Rondo)
7:35.0,,,16-11,,Shooting block foul by D. Collison (drawn by T. Chandler)
7:35.0,T. Chandler misses free throw 1 of 2,,16-11,,
7:35.0,Offensive rebound by Team,,16-11,,
7:35.0,T. Chandler makes free throw 2 of 2,1,17-11,,
7:13.0,,,17-13,2,D. Cousins makes 2-pt shot from 13 ft (assist by J. Thompson)
6:54.0,Turnover by M. Ellis (bad pass),,17-13,,
6:39.0,,,17-13,,Turnover by D. Cousins (bad pass; steal by M. Ellis)
6:31.0,M. Ellis makes 3-pt shot from 23 ft (assist by C. Parsons),3,20-13,,
6:27.0,,,20-13,,Sacramento full timeout
6:27.0,D. Harris enters the game for D. Nowitzki,,20-13,,
6:27.0,R. Jefferson enters the game for R. Rondo,,20-13,,
6:16.0,,,20-15,2,R. Gay makes 2-pt shot from 19 ft
5:54.0,M. Ellis misses 2-pt shot from 21 ft,,20-15,,
5:53.0,,,20-15,,Defensive rebound by J. Thompson
5:41.0,,,20-15,,Turnover by D. Cousins (lost ball; steal by M. Ellis)
5:30.0,C. Parsons misses 3-pt shot from 22 ft,,20-15,,
5:30.0,,,20-15,,Defensive rebound by D. Collison
5:26.0,,,20-17,2,D. Collison makes 2-pt shot from 2 ft
5:22.0,,,20-17,,D. Williams enters the game for J. Thompson
5:14.0,D. Harris makes 2-pt shot from 17 ft,2,22-17,,
4:55.0,,,22-17,,B. McLemore misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by T. Chandler,,22-17,,
4:47.0,M. Ellis makes 2-pt shot from 2 ft,2,24-17,,
4:31.0,,,24-19,2,D. Cousins makes 2-pt shot at rim (assist by B. McLemore)
4:10.0,D. Harris makes 2-pt shot from 15 ft (assist by T. Chandler),2,26-19,,
3:50.0,,,26-19,,D. Williams misses 2-pt shot from 5 ft
3:49.0,,,26-19,,Offensive rebound by D. Collison
3:45.0,Personal foul by C. Parsons (drawn by D. Williams),,26-19,,
3:45.0,G. Smith enters the game for T. Chandler,,26-19,,
3:38.0,,,26-19,,Shooting foul by R. Jefferson (drawn by R. Gay)
3:38.0,,,26-20,1,R. Gay makes free throw 1 of 2
3:38.0,C. Villanueva enters the game for C. Parsons,,26-20,,
3:38.0,,,26-21,1,R. Gay makes free throw 2 of 2
3:23.0,Turnover by G. Smith (bad pass; steal by D. Collison),,26-21,,
3:20.0,,,26-23,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
3:19.0,Dallas full timeout,,26-23,,
3:19.0,,,26-23,,N. Stauskas enters the game for B. McLemore
3:04.0,C. Villanueva misses 3-pt shot from 23 ft,,26-23,,
3:03.0,,,26-23,,Defensive rebound by D. Cousins
2:51.0,,,26-25,2,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison)
2:41.0,M. Ellis misses 2-pt shot from 20 ft,,26-25,,
2:41.0,,,26-25,,Defensive rebound by R. Gay
2:29.0,,,26-27,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay)
2:02.0,C. Villanueva misses 3-pt shot from 25 ft,,26-27,,
2:02.0,,,26-27,,Defensive rebound by N. Stauskas
1:44.0,,,26-27,,D. Collison misses 3-pt shot from 22 ft
1:44.0,Defensive rebound by Team,,26-27,,
1:44.0,,,26-27,,C. Landry enters the game for R. Gay
1:44.0,D. Nowitzki enters the game for M. Ellis,,26-27,,
1:44.0,R. Rondo enters the game for G. Smith,,26-27,,
1:40.0,Jump ball: D. Cousins vs. R. Jefferson (C. Villanueva gains possession),,,,Jump ball: D. Cousins vs. R. Jefferson (C. Villanueva gains possession)
1:27.0,D. Harris makes 3-pt shot from 24 ft,3,29-27,,
1:07.0,,,29-29,2,D. Cousins makes 2-pt shot from 18 ft
0:54.0,D. Harris misses 3-pt shot from 23 ft,,29-29,,
0:53.0,Offensive rebound by D. Nowitzki,,29-29,,
0:49.0,R. Jefferson misses 3-pt shot from 27 ft,,29-29,,
0:48.0,,,29-29,,Defensive rebound by C. Landry
0:42.0,,,29-31,2,C. Landry makes 2-pt shot from 16 ft (assist by D. Cousins)
0:31.0,R. Jefferson misses 3-pt shot from 24 ft,,29-31,,
0:30.0,,,29-31,,Defensive rebound by D. Williams
0:15.0,Personal foul by R. Rondo (drawn by D. Cousins),,29-31,,
0:15.0,,,29-32,1,D. Cousins makes free throw 1 of 2
0:15.0,,,29-33,1,D. Cousins makes free throw 2 of 2
0:04.0,,,29-33,,Personal take foul by N. Stauskas (drawn by D. Harris)
0:04.0,,,29-33,,B. McLemore enters the game for D. Cousins
0:00.0,D. Nowitzki misses 3-pt shot from 25 ft,,29-33,,
0:00.0,Offensive rebound by Team,,29-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-33,,Turnover by N. Stauskas (bad pass; steal by D. Harris)
11:38.0,J. Barea misses 2-pt shot from 2 ft,,29-33,,
11:37.0,,,29-33,,Defensive rebound by D. Collison
11:17.0,,,29-35,2,D. Williams makes 2-pt shot from 2 ft
11:04.0,,,29-35,,Personal foul by C. Landry (drawn by D. Harris)
10:51.0,D. Nowitzki misses 2-pt shot from 14 ft,,29-35,,
10:51.0,,,29-35,,Defensive rebound by D. Williams
10:43.0,,,29-37,2,C. Landry makes 2-pt shot at rim (assist by D. Williams)
10:43.0,Dallas full timeout,,29-37,,
10:43.0,T. Chandler enters the game for D. Harris,,29-37,,
10:43.0,A. Aminu enters the game for R. Jefferson,,29-37,,
10:29.0,R. Rondo makes 2-pt shot from 2 ft,2,31-37,,
10:08.0,,,31-39,2,D. Williams makes 2-pt shot at rim (assist by B. McLemore)
9:53.0,R. Rondo misses 2-pt shot from 5 ft,,31-39,,
9:52.0,,,31-39,,Defensive rebound by D. Williams
9:45.0,,,31-39,,B. McLemore misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by A. Aminu,,31-39,,
9:33.0,J. Barea makes 2-pt shot from 2 ft (assist by R. Rondo),2,33-39,,
9:33.0,Shooting foul by B. McLemore (drawn by J. Barea),,33-39,,
9:33.0,J. Barea makes free throw 1 of 1,1,34-39,,
9:15.0,,,34-41,2,C. Landry makes 2-pt shot at rim (assist by B. McLemore)
9:02.0,R. Rondo makes 2-pt shot from 1 ft,2,36-41,,
8:51.0,,,36-43,2,B. McLemore makes 2-pt shot from 17 ft
8:34.0,R. Rondo makes 2-pt shot from 18 ft,2,38-43,,
8:11.0,,,38-43,,D. Collison misses 2-pt shot from 1 ft
8:10.0,,,38-43,,Offensive rebound by C. Landry
8:09.0,,,38-45,2,C. Landry makes 2-pt shot from 2 ft
7:50.0,A. Aminu misses 2-pt shot from 4 ft,,38-45,,
7:48.0,,,38-45,,Defensive rebound by C. Landry
7:41.0,,,38-45,,D. Williams misses 2-pt shot from 1 ft
7:40.0,Defensive rebound by T. Chandler,,38-45,,
7:35.0,R. Rondo makes 2-pt shot from 4 ft,2,40-45,,
7:24.0,,,40-45,,D. Williams misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by T. Chandler,,40-45,,
7:19.0,R. Rondo makes 2-pt shot from 3 ft,2,42-45,,
7:19.0,Shooting foul by B. McLemore (drawn by R. Rondo),,42-45,,
7:19.0,M. Ellis enters the game for D. Nowitzki,,42-45,,
7:19.0,C. Parsons enters the game for A. Aminu,,42-45,,
7:19.0,,,42-45,,R. McCallum enters the game for D. Collison
7:19.0,,,42-45,,D. Cousins enters the game for D. Williams
7:19.0,R. Rondo misses free throw 1 of 1,,42-45,,
7:18.0,Offensive rebound by C. Parsons,,42-45,,
7:13.0,M. Ellis misses 2-pt shot from 17 ft,,42-45,,
7:13.0,,,42-45,,Defensive rebound by D. Cousins
6:58.0,,,42-47,2,C. Landry makes 2-pt shot from 4 ft (assist by D. Cousins)
6:43.0,R. Rondo misses 2-pt shot from 7 ft,,42-47,,
6:42.0,,,42-47,,Defensive rebound by B. McLemore
6:35.0,,,42-47,,N. Stauskas misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by T. Chandler,,42-47,,
6:10.0,C. Parsons makes 2-pt shot from 3 ft (assist by R. Rondo),2,44-47,,
5:58.0,,,44-47,,Turnover by R. McCallum (bad pass; steal by R. Rondo)
5:53.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,46-47,,
5:52.0,,,46-47,,Sacramento full timeout
5:52.0,D. Harris enters the game for R. Rondo,,46-47,,
5:34.0,,,46-49,2,D. Cousins makes 2-pt shot from 1 ft
5:21.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Ellis),2,48-49,,
5:04.0,,,48-51,2,C. Landry makes 2-pt shot from 8 ft
4:54.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,50-51,,
4:35.0,,,50-53,2,C. Landry makes 2-pt shot at rim (assist by B. McLemore)
4:14.0,D. Harris misses 3-pt shot from 23 ft,,50-53,,
4:13.0,,,50-53,,Defensive rebound by C. Landry
4:10.0,,,50-53,,Offensive charge foul by B. McLemore
4:10.0,,,50-53,,Turnover by B. McLemore (offensive foul)
4:10.0,,,50-53,,D. Collison enters the game for B. McLemore
4:10.0,,,50-53,,D. Williams enters the game for C. Landry
3:55.0,T. Chandler makes 2-pt shot from 1 ft (assist by J. Barea),2,52-53,,
3:44.0,,,52-55,2,R. McCallum makes 2-pt shot from 2 ft
3:30.0,J. Barea misses 2-pt shot from 7 ft,,52-55,,
3:28.0,,,52-55,,Defensive rebound by D. Collison
3:23.0,,,52-55,,N. Stauskas misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by C. Parsons,,52-55,,
3:12.0,Turnover by C. Parsons (bad pass; steal by D. Cousins),,52-55,,
3:09.0,,,52-55,,Turnover by D. Cousins (bad pass)
3:09.0,D. Nowitzki enters the game for J. Barea,,52-55,,
2:51.0,D. Nowitzki makes 2-pt shot from 10 ft,2,54-55,,
2:39.0,,,54-55,,R. McCallum misses 3-pt shot from 24 ft
2:37.0,,,54-55,,Offensive rebound by D. Cousins
2:35.0,,,54-55,,Shooting foul by T. Chandler (drawn by D. Cousins)
2:35.0,Official timeout,,54-55,,
2:35.0,R. Rondo enters the game for D. Harris,,54-55,,
2:35.0,,,54-55,,J. Thompson enters the game for N. Stauskas
2:35.0,,,54-56,1,D. Cousins makes free throw 1 of 2
2:35.0,,,54-57,1,D. Cousins makes free throw 2 of 2
2:29.0,,,54-57,,Personal foul by J. Thompson (drawn by D. Nowitzki)
2:15.0,D. Nowitzki makes 2-pt shot from 11 ft,2,56-57,,
1:54.0,Personal foul by M. Ellis (drawn by D. Cousins),,56-57,,
1:54.0,,,56-58,1,D. Cousins makes free throw 1 of 2
1:54.0,,,56-59,1,D. Cousins makes free throw 2 of 2
1:41.0,C. Parsons misses 2-pt shot from 4 ft,,56-59,,
1:40.0,,,56-59,,Defensive rebound by D. Cousins
1:34.0,,,56-61,2,D. Collison makes 2-pt shot from 15 ft (assist by D. Cousins)
1:17.0,R. Rondo makes 2-pt shot from 17 ft,2,58-61,,
0:57.0,,,58-61,,D. Cousins misses 2-pt shot from 16 ft
0:56.0,Defensive rebound by R. Rondo,,58-61,,
0:49.0,Turnover by R. Rondo (bad pass; steal by D. Williams),,58-61,,
0:45.0,,,58-63,2,R. McCallum makes 2-pt shot from 2 ft (assist by D. Williams)
0:33.0,C. Parsons misses 2-pt shot from 3 ft,,58-63,,
0:31.0,Offensive rebound by T. Chandler,,58-63,,
0:31.0,T. Chandler misses 2-pt shot from 1 ft,,58-63,,
0:29.0,,,58-63,,Defensive rebound by D. Cousins
0:27.0,,,58-63,,Offensive charge foul by D. Cousins
0:27.0,,,58-63,,Turnover by D. Cousins (offensive foul)
0:27.0,,,58-63,,C. Landry enters the game for J. Thompson
0:05.0,Shooting foul by D. Collison (drawn by D. Nowitzki),,58-63,,
0:05.0,D. Nowitzki makes free throw 1 of 2,1,59-63,,
0:05.0,,,59-63,,N. Stauskas enters the game for C. Landry
0:05.0,D. Harris enters the game for C. Parsons,,59-63,,
0:05.0,R. Jefferson enters the game for M. Ellis,,59-63,,
0:05.0,D. Nowitzki makes free throw 2 of 2,1,60-63,,
0:00.0,,,60-63,,D. Collison misses 2-pt shot from 17 ft
0:00.0,,,60-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,60-63,,Turnover by J. Thompson (bad pass)
11:22.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by M. Ellis),2,62-63,,
11:00.0,,,62-63,,Shooting foul by T. Chandler (drawn by D. Cousins)
11:00.0,,,62-64,1,D. Cousins makes free throw 1 of 2
11:00.0,,,62-65,1,D. Cousins makes free throw 2 of 2
10:53.0,,,62-65,,Personal foul by J. Thompson (drawn by D. Nowitzki)
10:42.0,C. Parsons misses 2-pt shot from 5 ft (block by D. Cousins),,62-65,,
10:40.0,,,62-65,,Defensive rebound by D. Collison
10:36.0,Personal foul by D. Nowitzki (drawn by D. Collison),,62-65,,
10:26.0,,,62-65,,D. Williams misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by T. Chandler,,62-65,,
10:17.0,R. Rondo makes 2-pt shot from 8 ft,2,64-65,,
9:51.0,,,64-67,2,J. Thompson makes 2-pt shot from 16 ft (assist by D. Cousins)
9:34.0,R. Rondo misses 2-pt shot from 19 ft,,64-67,,
9:34.0,,,64-67,,Defensive rebound by D. Cousins
9:24.0,,,64-67,,D. Cousins misses 2-pt shot from 20 ft
9:23.0,,,64-67,,Offensive rebound by J. Thompson
9:22.0,,,64-67,,Shooting foul by D. Nowitzki (drawn by J. Thompson)
9:22.0,,,64-67,,J. Thompson misses free throw 1 of 2
9:22.0,,,64-67,,Offensive rebound by Team
9:22.0,,,64-68,1,J. Thompson makes free throw 2 of 2
9:09.0,C. Parsons misses 2-pt shot from 15 ft,,64-68,,
9:09.0,,,64-68,,Defensive rebound by J. Thompson
8:59.0,,,64-68,,D. Collison misses 2-pt shot from 18 ft
8:58.0,Defensive rebound by C. Parsons,,64-68,,
8:51.0,,,64-68,,Personal foul by J. Thompson (drawn by D. Nowitzki)
8:51.0,,,64-68,,C. Landry enters the game for J. Thompson
8:41.0,M. Ellis makes 2-pt shot from 17 ft,2,66-68,,
8:21.0,,,66-68,,B. McLemore misses 3-pt shot from 24 ft
8:20.0,,,66-68,,Offensive rebound by C. Landry
8:19.0,,,66-68,,C. Landry misses 2-pt shot from 3 ft (block by D. Nowitzki)
8:19.0,,,66-68,,Offensive rebound by Team
8:16.0,,,66-68,,Turnover by D. Cousins (bad pass; steal by R. Rondo)
8:10.0,C. Parsons makes 2-pt shot from 2 ft,2,68-68,,
7:53.0,,,68-68,,Turnover by B. McLemore (lost ball; steal by M. Ellis)
7:49.0,Turnover by R. Rondo (bad pass; steal by D. Collison),,68-68,,
7:44.0,,,68-68,,Turnover by D. Collison (lost ball; steal by D. Nowitzki)
7:39.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,70-68,,
7:39.0,,,70-68,,Sacramento full timeout
7:27.0,,,70-68,,Turnover by D. Collison (bad pass; steal by M. Ellis)
7:22.0,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo),2,72-68,,
7:09.0,Personal foul by R. Rondo (drawn by B. McLemore),,72-68,,
6:57.0,,,72-68,,Shooting foul by M. Ellis (drawn by B. McLemore)
6:57.0,,,72-69,1,B. McLemore makes free throw 1 of 2
6:57.0,,,72-69,,R. McCallum enters the game for D. Collison
6:57.0,,,72-70,1,B. McLemore makes free throw 2 of 2
6:45.0,D. Nowitzki misses 2-pt shot from 19 ft,,72-70,,
6:44.0,,,72-70,,Defensive rebound by D. Williams
6:25.0,,,72-72,2,R. McCallum makes 2-pt shot from 18 ft (assist by D. Cousins)
6:10.0,C. Parsons misses 3-pt shot from 23 ft,,72-72,,
6:10.0,,,72-72,,Defensive rebound by C. Landry
5:57.0,,,72-72,,B. McLemore misses 3-pt shot from 22 ft
5:56.0,Defensive rebound by C. Parsons,,72-72,,
5:46.0,Turnover by R. Rondo (bad pass),,72-72,,
5:46.0,R. Jefferson enters the game for D. Nowitzki,,72-72,,
5:46.0,D. Harris enters the game for R. Rondo,,72-72,,
5:31.0,,,72-72,,D. Cousins misses 2-pt shot from 4 ft
5:29.0,,,72-72,,Offensive rebound by D. Cousins
5:29.0,,,72-72,,D. Cousins misses 2-pt shot from 3 ft
5:28.0,,,72-72,,Offensive rebound by R. McCallum
5:27.0,,,72-72,,R. McCallum misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by C. Parsons,,72-72,,
5:27.0,,,72-72,,Personal foul by D. Cousins (drawn by C. Parsons)
5:09.0,M. Ellis makes 2-pt shot from 19 ft,2,74-72,,
4:49.0,,,74-74,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. McCallum)
4:28.0,R. Jefferson misses 2-pt shot from 20 ft,,74-74,,
4:27.0,,,74-74,,Defensive rebound by D. Williams
4:14.0,,,74-74,,D. Cousins misses 2-pt shot from 7 ft
4:14.0,Defensive rebound by Team,,74-74,,
4:14.0,,,74-74,,Loose ball foul by D. Cousins (drawn by R. Jefferson)
4:14.0,,,74-74,,N. Stauskas enters the game for C. Landry
3:57.0,Turnover by C. Parsons (lost ball; steal by D. Cousins),,74-74,,
3:53.0,,,74-76,2,D. Williams makes 2-pt shot at rim (assist by D. Cousins)
3:51.0,Dallas full timeout,,74-76,,
3:51.0,G. Smith enters the game for C. Parsons,,74-76,,
3:51.0,A. Aminu enters the game for T. Chandler,,74-76,,
3:40.0,D. Harris misses 3-pt shot from 24 ft,,74-76,,
3:40.0,,,74-76,,Defensive rebound by D. Williams
3:18.0,,,74-76,,D. Williams misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by G. Smith,,74-76,,
3:03.0,R. Jefferson misses 2-pt shot from 9 ft,,74-76,,
3:01.0,Offensive rebound by M. Ellis,,74-76,,
2:54.0,M. Ellis makes 2-pt shot from 13 ft (assist by R. Jefferson),2,76-76,,
2:32.0,,,76-76,,Shooting foul by A. Aminu (drawn by N. Stauskas)
2:32.0,,,76-77,1,N. Stauskas makes free throw 1 of 2
2:32.0,,,76-77,,D. Collison enters the game for B. McLemore
2:32.0,,,76-77,,N. Stauskas misses free throw 2 of 2
2:31.0,,,76-77,,Offensive rebound by D. Cousins
2:29.0,,,76-79,2,D. Cousins makes 2-pt shot from 1 ft
2:18.0,M. Ellis misses 2-pt shot from 18 ft,,76-79,,
2:17.0,,,76-79,,Defensive rebound by D. Williams
2:10.0,,,76-79,,Shooting foul by G. Smith (drawn by D. Williams)
2:10.0,,,76-79,,D. Williams misses free throw 1 of 2
2:10.0,,,76-79,,Offensive rebound by Team
2:10.0,T. Chandler enters the game for M. Ellis,,76-79,,
2:10.0,R. Rondo enters the game for G. Smith,,76-79,,
2:10.0,D. Nowitzki enters the game for A. Aminu,,76-79,,
2:10.0,,,76-80,1,D. Williams makes free throw 2 of 2
1:50.0,D. Nowitzki misses 2-pt shot from 17 ft,,76-80,,
1:48.0,,,76-80,,Defensive rebound by D. Williams
1:34.0,,,76-80,,Turnover by D. Collison (traveling)
1:25.0,Shooting foul by D. Williams (drawn by D. Nowitzki),,76-80,,
1:25.0,D. Nowitzki makes free throw 1 of 2,1,77-80,,
1:25.0,D. Nowitzki makes free throw 2 of 2,1,78-80,,
1:11.0,,,78-80,,Turnover by D. Cousins (bad pass; steal by D. Nowitzki)
0:58.0,D. Nowitzki misses 2-pt shot from 5 ft,,78-80,,
0:57.0,,,78-80,,Defensive rebound by D. Cousins
0:50.0,,,78-83,3,N. Stauskas makes 3-pt shot from 25 ft (assist by D. Cousins)
0:31.0,Shooting foul by N. Stauskas (drawn by D. Harris),,78-83,,
0:31.0,D. Harris makes free throw 1 of 2,1,79-83,,
0:31.0,D. Harris makes free throw 2 of 2,1,80-83,,
0:08.0,,,80-83,,R. McCallum misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by T. Chandler,,80-83,,
0:01.0,R. Rondo misses 3-pt shot from 22 ft,,80-83,,
0:00.0,,,80-83,,Defensive rebound by R. McCallum
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Harris misses 2-pt shot from 2 ft,,80-83,,
11:46.0,Offensive rebound by R. Rondo,,80-83,,
11:37.0,G. Smith misses 2-pt shot from 3 ft (block by J. Thompson),,80-83,,
11:35.0,,,80-83,,Defensive rebound by R. McCallum
11:19.0,,,80-83,,J. Thompson misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by D. Harris,,80-83,,
10:59.0,J. Barea misses 3-pt shot from 23 ft,,80-83,,
10:58.0,Offensive rebound by G. Smith,,80-83,,
10:49.0,D. Harris misses 3-pt shot from 26 ft,,80-83,,
10:49.0,,,80-83,,Defensive rebound by R. McCallum
10:39.0,,,80-83,,C. Landry misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by R. Rondo,,80-83,,
10:30.0,Shooting foul by C. Landry (drawn by G. Smith),,80-83,,
10:30.0,G. Smith makes free throw 1 of 2,1,81-83,,
10:30.0,,,81-83,,B. McLemore enters the game for N. Stauskas
10:30.0,G. Smith misses free throw 2 of 2,,81-83,,
10:29.0,,,81-83,,Defensive rebound by J. Thompson
10:14.0,,,81-83,,D. Collison misses 2-pt shot from 21 ft
10:13.0,,,81-83,,Offensive rebound by J. Thompson
10:08.0,,,81-83,,B. McLemore misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by J. Barea,,81-83,,
9:59.0,G. Smith makes 2-pt shot from 1 ft (assist by R. Rondo),2,83-83,,
9:36.0,,,83-83,,D. Collison misses 2-pt shot from 17 ft
9:36.0,Defensive rebound by Team,,83-83,,
9:36.0,T. Chandler enters the game for G. Smith,,83-83,,
9:36.0,,,83-83,,D. Cousins enters the game for J. Thompson
9:25.0,Shooting foul by D. Cousins (drawn by R. Rondo),,83-83,,
9:25.0,R. Rondo misses free throw 1 of 2,,83-83,,
9:25.0,Offensive rebound by Team,,83-83,,
9:25.0,R. Rondo misses free throw 2 of 2,,83-83,,
9:24.0,,,83-83,,Defensive rebound by D. Cousins
8:59.0,,,83-85,2,D. Cousins makes 2-pt shot from 7 ft
8:45.0,D. Nowitzki misses 2-pt shot from 21 ft,,83-85,,
8:45.0,,,83-85,,Defensive rebound by D. Cousins
8:38.0,,,83-87,2,D. Collison makes 2-pt shot at rim (assist by D. Cousins)
8:37.0,Dallas full timeout,,83-87,,
8:23.0,D. Harris misses 3-pt shot from 23 ft,,83-87,,
8:22.0,,,83-87,,Defensive rebound by C. Landry
8:07.0,,,83-87,,D. Cousins misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by D. Harris,,83-87,,
7:50.0,J. Barea misses 2-pt shot from 3 ft,,83-87,,
7:49.0,,,83-87,,Defensive rebound by D. Cousins
7:46.0,,,83-89,2,D. Collison makes 2-pt shot from 2 ft
7:46.0,,,83-89,,Shooting foul by D. Harris (drawn by D. Collison)
7:46.0,M. Ellis enters the game for D. Nowitzki,,83-89,,
7:46.0,C. Parsons enters the game for D. Harris,,83-89,,
7:46.0,C. Villanueva enters the game for R. Rondo,,83-89,,
7:46.0,,,83-90,1,D. Collison makes free throw 1 of 1
7:35.0,M. Ellis misses 2-pt shot from 20 ft,,83-90,,
7:35.0,,,83-90,,Defensive rebound by Team
7:35.0,Loose ball foul by T. Chandler (drawn by D. Cousins),,83-90,,
7:15.0,,,83-90,,R. McCallum misses 2-pt shot from 2 ft (block by C. Villanueva)
7:14.0,,,83-90,,Offensive rebound by R. McCallum
7:14.0,,,83-90,,Turnover by R. McCallum (lost ball)
6:53.0,M. Ellis misses 3-pt shot from 25 ft,,83-90,,
6:53.0,,,83-90,,Defensive rebound by C. Landry
6:36.0,,,83-90,,D. Cousins misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by T. Chandler,,83-90,,
6:21.0,J. Barea misses 2-pt shot from 18 ft,,83-90,,
6:20.0,,,83-90,,Defensive rebound by C. Landry
6:12.0,,,83-90,,D. Collison misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by J. Barea,,83-90,,
6:07.0,Turnover by C. Parsons (offensive goaltending),,83-90,,
5:49.0,,,83-92,2,D. Cousins makes 2-pt shot from 3 ft
5:49.0,Dallas full timeout,,83-92,,
5:49.0,Official timeout,,83-92,,
5:49.0,R. Rondo enters the game for C. Villanueva,,83-92,,
5:49.0,D. Nowitzki enters the game for J. Barea,,83-92,,
5:37.0,M. Ellis makes 2-pt shot from 5 ft,2,85-92,,
5:37.0,Shooting foul by R. McCallum (drawn by M. Ellis),,85-92,,
5:37.0,M. Ellis misses free throw 1 of 1,,85-92,,
5:35.0,,,85-92,,Defensive rebound by D. Cousins
5:19.0,,,85-92,,D. Cousins misses 2-pt shot from 3 ft (block by M. Ellis)
5:19.0,,,85-92,,Offensive rebound by Team
5:13.0,,,85-92,,Shooting foul by R. Rondo (drawn by D. Collison)
5:13.0,,,85-93,1,D. Collison makes free throw 1 of 2
5:13.0,,,85-93,,D. Collison misses free throw 2 of 2
5:13.0,Defensive rebound by T. Chandler,,85-93,,
5:03.0,,,85-93,,Personal foul by C. Landry (drawn by M. Ellis)
5:03.0,,,85-93,,D. Williams enters the game for R. McCallum
4:51.0,M. Ellis misses 2-pt shot from 14 ft,,85-93,,
