time,Atlanta,pts.away,score,pts.home,San Antonio
0:58.0,,,35-48,,T. Duncan misses free throw 1 of 2
0:58.0,,,35-48,,Offensive rebound by Team
0:58.0,P. Antic enters the game for A. Horford,,35-48,,
0:58.0,,,35-49,1,T. Duncan makes free throw 2 of 2
0:49.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,37-49,,
0:28.0,,,37-49,,T. Parker misses 2-pt shot from 13 ft
0:27.0,Defensive rebound by P. Millsap,,37-49,,
0:06.0,J. Teague makes 2-pt shot from 2 ft,2,39-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Korver misses 3-pt shot from 24 ft,,39-49,,
11:40.0,,,39-49,,Defensive rebound by T. Duncan
11:28.0,,,39-49,,Turnover by T. Parker (bad pass; steal by K. Korver)
11:25.0,Turnover by J. Teague (lost ball),,39-49,,
11:01.0,,,39-49,,T. Duncan misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by K. Korver,,39-49,,
10:50.0,P. Millsap makes 2-pt shot from 6 ft (assist by K. Korver),2,41-49,,
10:39.0,,,41-49,,K. Leonard misses 2-pt shot from 13 ft
10:38.0,Defensive rebound by P. Millsap,,41-49,,
10:34.0,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap),2,43-49,,
10:18.0,,,43-51,2,K. Leonard makes 2-pt shot from 18 ft (assist by T. Parker)
9:54.0,P. Millsap makes 2-pt shot from 7 ft (assist by A. Horford),2,45-51,,
9:29.0,,,45-51,,D. Green misses 3-pt shot from 25 ft
9:29.0,,,45-51,,Offensive rebound by Team
9:29.0,,,45-51,,Turnover by Team (shot clock)
9:29.0,,,45-51,,M. Ginobili enters the game for D. Green
9:15.0,P. Millsap misses 2-pt shot from 8 ft,,45-51,,
9:14.0,,,45-51,,Defensive rebound by T. Splitter
9:06.0,,,45-51,,Shooting foul by D. Carroll (drawn by T. Duncan)
9:06.0,,,45-51,,T. Duncan misses free throw 1 of 2
9:06.0,,,45-51,,Offensive rebound by Team
9:06.0,,,45-51,,B. Diaw enters the game for T. Splitter
9:06.0,,,45-52,1,T. Duncan makes free throw 2 of 2
8:56.0,A. Horford misses 2-pt shot from 17 ft,,45-52,,
8:55.0,,,45-52,,Defensive rebound by T. Parker
8:37.0,,,45-54,2,M. Ginobili makes 2-pt shot from 3 ft (assist by T. Duncan)
8:20.0,A. Horford misses 2-pt shot from 10 ft,,45-54,,
8:18.0,,,45-54,,Defensive rebound by T. Duncan
8:12.0,,,45-56,2,K. Leonard makes 2-pt shot from 14 ft (assist by B. Diaw)
7:46.0,P. Millsap makes 2-pt shot from 3 ft (assist by K. Korver),2,47-56,,
7:41.0,,,47-58,2,B. Diaw makes 2-pt shot from 3 ft (assist by M. Ginobili)
7:41.0,,,47-58,,Shooting foul by P. Millsap (drawn by B. Diaw)
7:41.0,,,47-59,1,B. Diaw makes free throw 1 of 1
7:27.0,,,47-59,,Personal foul by T. Parker (drawn by J. Teague)
7:17.0,P. Millsap misses 3-pt shot from 24 ft,,47-59,,
7:15.0,Offensive rebound by D. Carroll,,47-59,,
7:15.0,D. Carroll makes 2-pt shot from 2 ft,2,49-59,,
7:01.0,,,49-59,,Turnover by K. Leonard (lost ball; steal by D. Carroll)
6:59.0,,,49-59,,Personal foul by M. Ginobili (drawn by J. Teague)
6:52.0,,,49-59,,Personal foul by M. Ginobili (drawn by K. Korver)
6:42.0,P. Millsap misses 2-pt shot at rim,,49-59,,
6:41.0,,,49-59,,Defensive rebound by K. Leonard
6:36.0,,,49-59,,K. Leonard misses 3-pt shot from 25 ft
6:35.0,,,49-59,,Offensive rebound by B. Diaw
6:35.0,Loose ball foul by K. Korver (drawn by B. Diaw),,49-59,,
6:35.0,P. Antic enters the game for A. Horford,,49-59,,
6:28.0,,,49-61,2,T. Parker makes 2-pt shot from 13 ft
6:09.0,D. Carroll misses 3-pt shot from 24 ft,,49-61,,
6:08.0,,,49-61,,Defensive rebound by B. Diaw
5:54.0,,,49-61,,Shooting foul by K. Korver (drawn by B. Diaw)
5:54.0,,,49-61,,San Antonio full timeout
5:54.0,,,49-61,,B. Diaw misses free throw 1 of 2
5:54.0,,,49-61,,Offensive rebound by Team
5:54.0,,,49-61,,D. Green enters the game for M. Ginobili
5:54.0,,,49-62,1,B. Diaw makes free throw 2 of 2
5:35.0,P. Antic makes 2-pt shot from 14 ft (assist by J. Teague),2,51-62,,
5:13.0,,,51-62,,K. Leonard misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by P. Antic,,51-62,,
5:02.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,54-62,,
4:45.0,,,54-64,2,T. Duncan makes 2-pt shot from 20 ft (assist by T. Parker)
4:32.0,P. Millsap misses 2-pt shot from 2 ft,,54-64,,
4:32.0,Offensive rebound by P. Millsap,,54-64,,
4:25.0,D. Carroll misses 3-pt shot from 23 ft,,54-64,,
4:24.0,,,54-64,,Defensive rebound by T. Duncan
4:13.0,Personal foul by P. Antic (drawn by T. Parker),,54-64,,
4:13.0,,,54-65,1,T. Parker makes free throw 1 of 2
4:13.0,,,54-65,,J. Ayres enters the game for T. Duncan
4:13.0,K. Bazemore enters the game for D. Carroll,,54-65,,
4:13.0,T. Sefolosha enters the game for K. Korver,,54-65,,
4:13.0,,,54-65,,T. Parker misses free throw 2 of 2
4:12.0,Defensive rebound by T. Sefolosha,,54-65,,
4:05.0,,,54-65,,Personal foul by T. Parker (drawn by J. Teague)
3:54.0,P. Antic misses 2-pt shot from 2 ft,,54-65,,
3:53.0,,,54-65,,Defensive rebound by J. Ayres
3:40.0,Violation by K. Bazemore (kicked ball),,54-65,,
3:30.0,,,54-65,,T. Parker misses 2-pt shot from 19 ft
3:29.0,Defensive rebound by K. Bazemore,,54-65,,
3:23.0,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore),2,56-65,,
3:03.0,,,56-65,,B. Diaw misses 2-pt shot from 2 ft
3:02.0,Defensive rebound by P. Millsap,,56-65,,
2:58.0,Shooting foul by D. Green (drawn by K. Bazemore),,56-65,,
2:58.0,Atlanta full timeout,,56-65,,
2:58.0,D. Schroder enters the game for J. Teague,,56-65,,
2:58.0,,,56-65,,C. Joseph enters the game for T. Parker
2:58.0,,,56-65,,M. Ginobili enters the game for K. Leonard
2:58.0,K. Bazemore misses free throw 1 of 2,,56-65,,
2:58.0,Offensive rebound by Team,,56-65,,
2:58.0,K. Bazemore misses free throw 2 of 2,,56-65,,
2:57.0,,,56-65,,Defensive rebound by M. Ginobili
2:43.0,,,56-65,,Turnover by D. Green (step out of bounds)
2:32.0,P. Millsap misses 2-pt shot from 3 ft,,56-65,,
2:31.0,,,56-65,,Defensive rebound by D. Green
2:22.0,,,56-65,,B. Diaw misses 2-pt shot from 3 ft (block by T. Sefolosha)
2:21.0,Defensive rebound by D. Schroder,,56-65,,
2:00.0,P. Antic makes 3-pt shot from 25 ft (assist by P. Millsap),3,59-65,,
1:36.0,,,59-65,,J. Ayres misses 2-pt shot from 2 ft
1:35.0,,,59-65,,Offensive rebound by J. Ayres
1:14.0,,,59-68,3,C. Joseph makes 3-pt shot from 23 ft (assist by J. Ayres)
1:00.0,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,62-68,,
0:39.0,,,62-68,,Turnover by B. Diaw (lost ball; steal by P. Millsap)
0:34.0,K. Bazemore misses 2-pt shot from 2 ft,,62-68,,
0:33.0,,,62-68,,Defensive rebound by D. Green
0:28.0,,,62-68,,B. Diaw misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by P. Antic,,62-68,,
0:07.0,D. Schroder misses 3-pt shot from 27 ft (block by J. Ayres),,62-68,,
0:06.0,Offensive rebound by D. Schroder,,62-68,,
0:06.0,Turnover by Team (shot clock),,62-68,,
0:06.0,M. Scott enters the game for P. Millsap,,62-68,,
0:01.0,,,62-68,,C. Joseph misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by P. Antic,,62-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,62-68,,D. Green misses 3-pt shot from 23 ft (block by T. Sefolosha)
11:40.0,,,62-68,,Offensive rebound by D. Green
11:36.0,,,62-71,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
11:24.0,Turnover by M. Scott (bad pass; steal by D. Green),,62-71,,
11:20.0,,,62-73,2,C. Joseph makes 2-pt shot from 1 ft (assist by D. Green)
11:20.0,,,62-73,,Shooting foul by K. Bazemore (drawn by C. Joseph)
11:20.0,,,62-73,,A. Daye enters the game for B. Diaw
11:20.0,K. Korver enters the game for K. Bazemore,,62-73,,
11:20.0,,,62-74,1,C. Joseph makes free throw 1 of 1
11:02.0,A. Horford misses 2-pt shot from 6 ft,,62-74,,
11:01.0,Offensive rebound by T. Sefolosha,,62-74,,
10:56.0,M. Scott makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,65-74,,
10:46.0,,,65-74,,Turnover by A. Daye (bad pass; steal by T. Sefolosha)
10:39.0,K. Korver makes 3-pt shot from 25 ft (assist by M. Scott),3,68-74,,
10:20.0,Personal foul by K. Korver (drawn by D. Green),,68-74,,
10:20.0,,,68-75,1,D. Green makes free throw 1 of 2
10:20.0,,,68-76,1,D. Green makes free throw 2 of 2
10:09.0,D. Schroder makes 2-pt shot from 16 ft,2,70-76,,
9:48.0,,,70-76,,M. Ginobili misses 2-pt shot from 11 ft
9:47.0,Defensive rebound by A. Horford,,70-76,,
9:39.0,D. Schroder misses 3-pt shot from 26 ft,,70-76,,
9:38.0,,,70-76,,Defensive rebound by M. Ginobili
9:26.0,,,70-76,,A. Daye misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by K. Korver,,70-76,,
9:25.0,,,70-76,,Personal foul by M. Ginobili (drawn by K. Korver)
9:25.0,,,70-76,,T. Duncan enters the game for J. Ayres
9:25.0,,,70-76,,K. Leonard enters the game for M. Ginobili
9:25.0,,,70-76,,T. Parker enters the game for C. Joseph
9:13.0,M. Scott makes 2-pt shot from 15 ft (assist by D. Schroder),2,72-76,,
9:05.0,,,72-76,,San Antonio full timeout
9:05.0,,,72-76,,San Antonio full timeout
8:51.0,,,72-76,,T. Duncan misses 2-pt shot from 11 ft
8:50.0,Defensive rebound by T. Sefolosha,,72-76,,
8:32.0,D. Schroder makes 2-pt shot from 4 ft,2,74-76,,
8:11.0,,,74-76,,Shooting foul by D. Schroder (drawn by T. Parker)
8:11.0,,,74-76,,T. Parker misses free throw 1 of 2
8:11.0,,,74-76,,Offensive rebound by Team
8:11.0,,,74-76,,M. Ginobili enters the game for A. Daye
8:11.0,,,74-77,1,T. Parker makes free throw 2 of 2
7:59.0,D. Schroder makes 2-pt shot at rim (assist by A. Horford),2,76-77,,
7:51.0,,,76-79,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili)
7:38.0,Turnover by A. Horford (step out of bounds),,76-79,,
7:27.0,,,76-81,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
7:16.0,Shooting foul by T. Duncan (drawn by T. Sefolosha),,76-81,,
7:16.0,T. Sefolosha makes free throw 1 of 2,1,77-81,,
7:16.0,D. Carroll enters the game for K. Korver,,77-81,,
7:16.0,P. Millsap enters the game for A. Horford,,77-81,,
7:16.0,,,77-81,,B. Diaw enters the game for K. Leonard
7:16.0,T. Sefolosha makes free throw 2 of 2,1,78-81,,
7:07.0,,,78-81,,T. Parker misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by M. Scott,,78-81,,
6:59.0,T. Sefolosha misses 3-pt shot from 24 ft,,78-81,,
6:58.0,,,78-81,,Defensive rebound by T. Duncan
6:47.0,,,78-81,,Shooting foul by P. Millsap (drawn by M. Ginobili)
6:47.0,,,78-82,1,M. Ginobili makes free throw 1 of 2
6:47.0,J. Teague enters the game for D. Schroder,,78-82,,
6:47.0,K. Korver enters the game for T. Sefolosha,,78-82,,
6:47.0,,,78-83,1,M. Ginobili makes free throw 2 of 2
6:34.0,M. Scott makes 3-pt shot from 26 ft (assist by K. Korver),3,81-83,,
6:09.0,,,81-83,,M. Ginobili misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by P. Millsap,,81-83,,
5:59.0,M. Scott misses 3-pt shot from 26 ft,,81-83,,
5:58.0,,,81-83,,Defensive rebound by D. Green
5:49.0,,,81-85,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker)
5:47.0,Atlanta full timeout,,81-85,,
5:47.0,A. Horford enters the game for M. Scott,,81-85,,
5:30.0,K. Korver misses 2-pt shot from 18 ft,,81-85,,
5:28.0,,,81-85,,Defensive rebound by D. Green
5:15.0,,,81-85,,D. Green misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by A. Horford,,81-85,,
5:01.0,K. Korver misses 3-pt shot from 27 ft,,81-85,,
4:59.0,Offensive rebound by A. Horford,,81-85,,
4:51.0,Turnover by D. Carroll (lost ball),,81-85,,
4:51.0,,,81-85,,K. Leonard enters the game for M. Ginobili
4:30.0,,,81-85,,Turnover by T. Parker (lost ball; steal by J. Teague)
4:27.0,Turnover by J. Teague (lost ball; steal by T. Duncan),,81-85,,
4:24.0,,,81-85,,Shooting foul by P. Millsap (drawn by B. Diaw)
4:24.0,,,81-85,,B. Diaw misses free throw 1 of 2
4:24.0,,,81-85,,Offensive rebound by Team
