time,Utah,pts.away,score,pts.home,Miami
6:20.0,,,62-55,,N. Cole misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by G. Hayward,,62-55,,
5:56.0,E. Kanter makes 3-pt shot from 23 ft (assist by G. Hayward),3,65-55,,
5:41.0,,,65-55,,Turnover by D. Wade (bad pass; steal by E. Kanter)
5:21.0,Offensive charge foul by G. Hayward,,65-55,,
5:21.0,Turnover by G. Hayward (offensive foul),,65-55,,
5:21.0,D. Exum enters the game for T. Burke,,65-55,,
5:05.0,,,65-55,,S. Williams misses 2-pt shot from 1 ft (block by D. Favors)
5:04.0,Defensive rebound by D. Favors,,65-55,,
4:44.0,E. Kanter makes 2-pt shot from 4 ft,2,67-55,,
4:44.0,,,67-55,,Miami full timeout
4:44.0,R. Gobert enters the game for D. Favors,,67-55,,
4:44.0,,,67-55,,M. Chalmers enters the game for N. Cole
4:33.0,Personal foul by R. Hood (drawn by D. Wade),,67-55,,
4:33.0,,,67-55,,J. Ennis enters the game for L. Deng
4:33.0,,,67-55,,J. Hamilton enters the game for S. Williams
4:33.0,J. Ingles enters the game for R. Hood,,67-55,,
4:22.0,Personal foul by D. Exum (drawn by M. Chalmers),,67-55,,
4:22.0,,,67-56,1,M. Chalmers makes free throw 1 of 2
4:22.0,,,67-57,1,M. Chalmers makes free throw 2 of 2
4:06.0,E. Kanter misses 3-pt shot from 23 ft,,67-57,,
4:05.0,,,67-57,,Defensive rebound by J. Hamilton
3:55.0,,,67-57,,D. Wade misses 2-pt shot from 19 ft
3:54.0,Defensive rebound by E. Kanter,,67-57,,
3:32.0,E. Kanter makes 2-pt shot from 2 ft (assist by G. Hayward),2,69-57,,
3:09.0,,,69-57,,D. Wade misses 2-pt shot from 4 ft (block by R. Gobert)
3:08.0,,,69-57,,Offensive rebound by D. Wade
3:04.0,,,69-57,,M. Chalmers misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by R. Gobert,,69-57,,
2:45.0,Turnover by J. Ingles (bad pass; steal by J. Hamilton),,69-57,,
2:39.0,,,69-57,,J. Ennis misses 2-pt shot from 1 ft (block by J. Ingles)
2:38.0,Defensive rebound by G. Hayward,,69-57,,
2:30.0,,,69-57,,Personal block foul by D. Wade (drawn by G. Hayward)
2:30.0,D. Favors enters the game for E. Kanter,,69-57,,
2:30.0,,,69-57,,S. Napier enters the game for D. Wade
2:22.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,72-57,,
2:08.0,,,72-57,,M. Chalmers misses 2-pt shot from 9 ft
2:07.0,,,72-57,,Offensive rebound by U. Haslem
1:58.0,,,72-57,,S. Napier misses 2-pt shot from 14 ft
1:57.0,Defensive rebound by J. Ingles,,72-57,,
1:44.0,G. Hayward misses 2-pt shot from 19 ft,,72-57,,
1:43.0,,,72-57,,Defensive rebound by S. Napier
1:38.0,,,72-59,2,M. Chalmers makes 2-pt shot from 1 ft (assist by S. Napier)
1:28.0,D. Exum makes 2-pt shot at rim (assist by J. Ingles),2,74-59,,
1:04.0,,,74-59,,J. Hamilton misses 2-pt shot from 7 ft (block by R. Gobert)
1:03.0,,,74-59,,Offensive rebound by J. Ennis
1:02.0,,,74-59,,J. Ennis misses 2-pt shot from 7 ft
1:01.0,Defensive rebound by R. Gobert,,74-59,,
0:49.0,Shooting foul by J. Hamilton (drawn by R. Gobert),,74-59,,
0:49.0,R. Gobert makes free throw 1 of 2,1,75-59,,
0:49.0,R. Gobert makes free throw 2 of 2,1,76-59,,
0:34.0,,,76-59,,U. Haslem misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by D. Favors,,76-59,,
0:16.0,Shooting foul by J. Hamilton (drawn by D. Favors),,76-59,,
0:16.0,D. Favors makes free throw 1 of 2,1,77-59,,
0:16.0,,,77-59,,S. Williams enters the game for J. Hamilton
0:16.0,D. Favors misses free throw 2 of 2,,77-59,,
0:15.0,,,77-59,,Defensive rebound by S. Williams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Offensive charge foul by D. Favors,,77-59,,
11:45.0,Turnover by D. Favors (offensive foul),,77-59,,
11:28.0,Personal foul by D. Favors (drawn by S. Williams),,77-59,,
11:22.0,,,77-59,,Turnover by M. Chalmers (lost ball)
10:59.0,J. Ingles misses 3-pt shot from 22 ft,,77-59,,
10:58.0,Offensive rebound by R. Gobert,,77-59,,
10:56.0,Turnover by R. Gobert (lost ball; steal by J. Ennis),,77-59,,
10:51.0,,,77-61,2,J. Ennis makes 2-pt shot from 7 ft
10:37.0,Turnover by D. Exum (bad pass; steal by U. Haslem),,77-61,,
10:28.0,,,77-61,,S. Williams misses 3-pt shot from 22 ft
10:27.0,,,77-61,,Offensive rebound by S. Napier
10:24.0,,,77-63,2,M. Chalmers makes 2-pt shot from 10 ft
10:24.0,,,77-63,,Shooting foul by D. Exum (drawn by M. Chalmers)
10:24.0,R. Hood enters the game for J. Ingles,,77-63,,
10:24.0,T. Burke enters the game for D. Exum,,77-63,,
10:24.0,,,77-64,1,M. Chalmers makes free throw 1 of 1
10:10.0,,,77-64,,Personal foul by J. Ennis (drawn by A. Burks)
10:01.0,Turnover by T. Burke (bad pass; steal by S. Napier),,77-64,,
9:57.0,,,77-64,,Shooting foul by R. Hood (drawn by J. Ennis)
9:57.0,,,77-65,1,J. Ennis makes free throw 1 of 2
9:57.0,D. Exum enters the game for R. Hood,,77-65,,
9:57.0,,,77-66,1,J. Ennis makes free throw 2 of 2
9:47.0,Shooting foul by J. Ennis (drawn by A. Burks),,77-66,,
9:47.0,A. Burks makes free throw 1 of 2,1,78-66,,
9:47.0,E. Kanter enters the game for D. Favors,,78-66,,
9:47.0,A. Burks makes free throw 2 of 2,1,79-66,,
9:26.0,,,79-66,,M. Chalmers misses 2-pt shot from 19 ft
9:25.0,,,79-66,,Offensive rebound by Team
9:21.0,,,79-66,,S. Williams misses 2-pt shot from 21 ft
9:20.0,Defensive rebound by R. Gobert,,79-66,,
9:06.0,Turnover by A. Burks (traveling),,79-66,,
8:55.0,,,79-66,,U. Haslem misses 2-pt shot from 17 ft
8:54.0,Defensive rebound by E. Kanter,,79-66,,
8:33.0,T. Burke misses 3-pt shot from 24 ft,,79-66,,
8:32.0,Offensive rebound by Team,,79-66,,
8:32.0,,,79-66,,Loose ball foul by U. Haslem (drawn by E. Kanter)
8:32.0,Official timeout,,79-66,,
8:32.0,,,79-66,,D. Wade enters the game for S. Napier
8:19.0,E. Kanter misses 2-pt shot from 17 ft,,79-66,,
8:18.0,,,79-66,,Defensive rebound by U. Haslem
7:59.0,,,79-68,2,U. Haslem makes 2-pt shot from 3 ft (assist by D. Wade)
7:59.0,,,79-68,,Shooting foul by R. Gobert (drawn by U. Haslem)
7:59.0,,,79-69,1,U. Haslem makes free throw 1 of 1
7:36.0,A. Burks misses 2-pt shot at rim,,79-69,,
7:35.0,Offensive rebound by R. Gobert,,79-69,,
7:32.0,R. Gobert makes 2-pt shot at rim,2,81-69,,
7:20.0,,,81-69,,D. Wade misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by R. Gobert,,81-69,,
7:10.0,T. Burke misses 2-pt shot from 1 ft,,81-69,,
7:09.0,Offensive rebound by E. Kanter,,81-69,,
7:08.0,E. Kanter makes 2-pt shot from 1 ft,2,83-69,,
7:08.0,,,83-69,,Miami full timeout
7:08.0,,,83-69,,C. Andersen enters the game for U. Haslem
7:08.0,,,83-69,,L. Deng enters the game for J. Ennis
7:08.0,J. Ingles enters the game for D. Exum,,83-69,,
6:51.0,,,83-71,2,D. Wade makes 2-pt shot from 2 ft
6:30.0,A. Burks misses 2-pt shot from 1 ft,,83-71,,
6:29.0,Offensive rebound by Team,,83-71,,
6:29.0,,,83-71,,Loose ball foul by D. Wade (drawn by R. Gobert)
6:29.0,G. Hayward enters the game for J. Ingles,,83-71,,
6:07.0,T. Burke misses 3-pt shot from 24 ft,,83-71,,
6:06.0,,,83-71,,Defensive rebound by C. Andersen
6:06.0,Personal foul by E. Kanter (drawn by D. Wade),,83-71,,
6:06.0,,,83-72,1,D. Wade makes free throw 1 of 2
6:06.0,D. Favors enters the game for R. Gobert,,83-72,,
6:06.0,,,83-72,,D. Wade misses free throw 2 of 2
6:05.0,Defensive rebound by D. Favors,,83-72,,
5:49.0,G. Hayward makes 2-pt shot from 18 ft (assist by T. Burke),2,85-72,,
5:28.0,,,85-74,2,D. Wade makes 2-pt shot from 15 ft
4:59.0,G. Hayward makes 3-pt shot from 24 ft,3,88-74,,
4:35.0,,,88-74,,L. Deng misses 2-pt shot from 20 ft
4:34.0,Defensive rebound by A. Burks,,88-74,,
4:20.0,A. Burks makes 3-pt shot from 23 ft (assist by D. Favors),3,91-74,,
4:20.0,,,91-74,,Miami full timeout
4:07.0,,,91-74,,M. Chalmers misses 3-pt shot from 23 ft
4:06.0,Defensive rebound by E. Kanter,,91-74,,
3:53.0,Turnover by D. Favors (bad pass; steal by C. Andersen),,91-74,,
3:49.0,,,91-74,,Shooting foul by E. Kanter (drawn by D. Wade)
3:49.0,,,91-75,1,D. Wade makes free throw 1 of 2
3:49.0,,,91-76,1,D. Wade makes free throw 2 of 2
3:36.0,Shooting foul by C. Andersen (drawn by D. Favors),,91-76,,
3:36.0,D. Favors makes free throw 1 of 2,1,92-76,,
3:36.0,D. Favors misses free throw 2 of 2,,92-76,,
3:34.0,,,92-76,,Defensive rebound by L. Deng
3:15.0,,,92-79,3,D. Wade makes 3-pt shot from 24 ft
2:55.0,D. Favors misses 2-pt shot from 16 ft,,92-79,,
2:54.0,,,92-79,,Defensive rebound by C. Andersen
2:40.0,Utah full timeout,,92-79,,
2:31.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,94-79,,
2:31.0,,,94-79,,Shooting block foul by S. Williams (drawn by D. Favors)
2:31.0,D. Favors makes free throw 1 of 1,1,95-79,,
2:26.0,Personal foul by G. Hayward (drawn by D. Wade),,95-79,,
2:26.0,,,95-80,1,D. Wade makes free throw 1 of 2
2:26.0,,,95-81,1,D. Wade makes free throw 2 of 2
2:02.0,G. Hayward makes 2-pt shot from 12 ft,2,97-81,,
