time,New Orleans,pts.away,score,pts.home,Denver
1:17.0,A. Ajinca misses 2-pt shot from 3 ft,,21-14,,
1:13.0,,,21-14,,Defensive rebound by J. Nelson
0:58.0,,,21-14,,Shooting foul by Q. Pondexter (drawn by D. Gallinari)
0:58.0,,,21-15,1,D. Gallinari makes free throw 1 of 2
0:58.0,D. Cunningham enters the game for Q. Pondexter,,21-15,,
0:58.0,,,21-16,1,D. Gallinari makes free throw 2 of 2
0:39.0,D. Cunningham misses 2-pt shot from 13 ft,,21-16,,
0:38.0,,,21-16,,Defensive rebound by J. Hickson
0:34.0,,,21-16,,W. Barton misses 2-pt shot at rim
0:32.0,,,21-16,,Offensive rebound by J. Lauvergne
0:32.0,,,21-16,,J. Lauvergne misses 2-pt shot at rim
0:30.0,Defensive rebound by L. Babbitt,,21-16,,
0:17.0,Offensive foul by T. Evans,,21-16,,
0:17.0,Turnover by T. Evans (offensive foul),,21-16,,
0:17.0,,,21-16,,G. Harris enters the game for D. Gallinari
0:05.0,,,21-16,,J. Hickson misses 2-pt shot from 11 ft
0:03.0,Defensive rebound by A. Ajinca,,21-16,,
0:00.0,N. Cole misses 3-pt shot from 53 ft,,21-16,,
0:00.0,Offensive rebound by Team,,21-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by N. Cole (bad pass; steal by W. Barton),,21-16,,
11:35.0,,,21-18,2,W. Barton makes 2-pt shot from 2 ft
11:15.0,D. Cunningham makes 2-pt shot from 16 ft (assist by N. Cole),2,23-18,,
10:57.0,,,23-18,,J. Hickson misses 2-pt shot from 8 ft (block by L. Babbitt)
10:55.0,,,23-18,,Offensive rebound by J. Lauvergne
10:48.0,,,23-20,2,W. Barton makes 2-pt shot from 4 ft
10:31.0,J. Fredette makes 2-pt shot from 5 ft (assist by L. Babbitt),2,25-20,,
10:13.0,,,25-20,,J. Lauvergne misses 2-pt shot from 5 ft
10:12.0,,,25-20,,Offensive rebound by J. Hickson
10:10.0,,,25-20,,J. Hickson misses 2-pt shot from 1 ft
10:08.0,,,25-20,,Offensive rebound by J. Hickson
10:08.0,,,25-22,2,J. Hickson makes 2-pt shot from 2 ft
9:47.0,A. Ajinca misses 2-pt shot from 13 ft,,25-22,,
9:46.0,,,25-22,,Defensive rebound by W. Barton
9:40.0,,,25-22,,W. Barton misses 2-pt shot from 1 ft
9:38.0,,,25-22,,Offensive rebound by J. Hickson
9:38.0,,,25-22,,J. Hickson misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by J. Fredette,,25-22,,
9:23.0,N. Cole misses 3-pt shot from 23 ft,,25-22,,
9:21.0,,,25-22,,Defensive rebound by W. Barton
9:00.0,,,25-22,,W. Barton misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by N. Cole,,25-22,,
8:46.0,J. Fredette misses 3-pt shot from 26 ft,,25-22,,
8:45.0,,,25-22,,Defensive rebound by W. Barton
8:41.0,,,25-22,,Turnover by G. Harris (step out of bounds)
8:41.0,Official timeout,,25-22,,
8:22.0,D. Cunningham makes 2-pt shot from 16 ft (assist by A. Ajinca),2,27-22,,
8:04.0,Personal foul by A. Ajinca (drawn by J. Nelson),,27-22,,
7:58.0,,,27-22,,J. Nelson misses 2-pt shot from 1 ft
7:56.0,,,27-22,,Offensive rebound by J. Hickson
7:52.0,,,27-22,,J. Hickson misses 2-pt shot from 2 ft (block by L. Babbitt)
7:50.0,,,27-22,,Offensive rebound by J. Hickson
7:46.0,,,27-22,,J. Lauvergne misses 2-pt shot from 16 ft
7:44.0,Defensive rebound by D. Cunningham,,27-22,,
7:36.0,D. Cunningham makes 2-pt shot from 18 ft (assist by A. Ajinca),2,29-22,,
7:21.0,,,29-22,,J. Lauvergne misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by A. Ajinca,,29-22,,
7:19.0,,,29-22,,Personal take foul by J. Nelson (drawn by J. Fredette)
7:07.0,Turnover by L. Babbitt (bad pass; steal by G. Harris),,29-22,,
7:04.0,,,29-24,2,G. Harris makes 2-pt shot at rim
6:46.0,D. Cunningham misses 2-pt shot from 19 ft,,29-24,,
6:45.0,,,29-24,,Defensive rebound by G. Harris
6:39.0,,,29-24,,J. Hickson misses 2-pt shot from 2 ft (block by D. Cunningham)
6:39.0,,,29-24,,Offensive rebound by Team
6:39.0,,,29-24,,W. Chandler enters the game for J. Lauvergne
6:39.0,,,29-24,,K. Faried enters the game for J. Hickson
6:39.0,O. Asik enters the game for A. Ajinca,,29-24,,
6:39.0,E. Gordon enters the game for J. Fredette,,29-24,,
6:31.0,,,29-24,,W. Chandler misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by O. Asik,,29-24,,
6:19.0,Turnover by D. Cunningham (traveling),,29-24,,
6:08.0,,,29-24,,W. Barton misses 2-pt shot from 15 ft
6:06.0,Defensive rebound by L. Babbitt,,29-24,,
5:47.0,N. Cole makes 2-pt shot from 2 ft,2,31-24,,
5:37.0,,,31-26,2,J. Nelson makes 2-pt shot from 19 ft
5:17.0,,,31-26,,Personal foul by J. Nelson (drawn by E. Gordon)
5:17.0,,,31-26,,Denver full timeout
5:17.0,,,31-26,,T. Lawson enters the game for W. Barton
5:17.0,,,31-26,,R. Foye enters the game for J. Nelson
5:17.0,,,31-26,,D. Gallinari enters the game for G. Harris
5:06.0,D. Cunningham misses 2-pt shot from 19 ft,,31-26,,
5:05.0,,,31-26,,Defensive rebound by K. Faried
4:41.0,,,31-26,,D. Gallinari misses 2-pt shot from 17 ft
4:40.0,Defensive rebound by E. Gordon,,31-26,,
4:24.0,O. Asik misses 2-pt shot from 1 ft,,31-26,,
4:23.0,,,31-26,,Defensive rebound by D. Gallinari
4:15.0,,,31-29,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
4:00.0,N. Cole misses 2-pt shot from 1 ft,,31-29,,
4:00.0,Offensive rebound by Team,,31-29,,
4:00.0,T. Evans enters the game for L. Babbitt,,31-29,,
3:43.0,D. Cunningham misses 2-pt shot from 8 ft,,31-29,,
3:42.0,,,31-29,,Defensive rebound by W. Chandler
3:28.0,,,31-29,,D. Gallinari misses 2-pt shot from 20 ft
3:27.0,Defensive rebound by O. Asik,,31-29,,
3:21.0,Shooting foul by K. Faried (drawn by T. Evans),,31-29,,
3:21.0,T. Evans makes 2-pt shot from 5 ft,2,33-29,,
3:21.0,Q. Pondexter enters the game for N. Cole,,33-29,,
3:21.0,T. Evans makes free throw 1 of 1,1,34-29,,
3:06.0,,,34-32,3,R. Foye makes 3-pt shot from 27 ft (assist by T. Lawson)
2:44.0,E. Gordon misses 3-pt shot from 25 ft,,34-32,,
2:43.0,,,34-32,,Defensive rebound by W. Chandler
2:24.0,,,34-35,3,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson)
2:02.0,Q. Pondexter misses 3-pt shot from 24 ft,,34-35,,
2:00.0,,,34-35,,Defensive rebound by W. Chandler
1:54.0,,,34-35,,D. Gallinari misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by D. Cunningham,,34-35,,
1:32.0,Turnover by T. Evans (bad pass; steal by R. Foye),,34-35,,
1:29.0,,,34-35,,Turnover by R. Foye (bad pass)
1:29.0,New Orleans full timeout,,34-35,,
1:17.0,Turnover by E. Gordon (bad pass; steal by T. Lawson),,34-35,,
1:10.0,,,34-35,,D. Gallinari misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by T. Evans,,34-35,,
1:02.0,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Evans),2,36-35,,
0:50.0,,,36-35,,K. Faried misses 2-pt shot at rim
0:49.0,Defensive rebound by D. Cunningham,,36-35,,
0:35.0,Q. Pondexter misses 2-pt shot from 14 ft,,36-35,,
0:34.0,,,36-35,,Defensive rebound by W. Chandler
0:14.0,,,36-37,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
0:06.0,,,36-37,,Personal take foul by T. Lawson (drawn by T. Evans)
0:06.0,L. Babbitt enters the game for O. Asik,,36-37,,
0:06.0,,,36-37,,W. Barton enters the game for K. Faried
0:06.0,N. Cole enters the game for D. Cunningham,,36-37,,
0:02.0,,,36-37,,Personal foul by W. Barton (drawn by T. Evans)
0:02.0,T. Evans misses free throw 1 of 2,,36-37,,
0:02.0,Offensive rebound by Team,,36-37,,
0:02.0,D. Cunningham enters the game for Q. Pondexter,,36-37,,
0:02.0,,,36-37,,K. Faried enters the game for D. Gallinari
0:02.0,T. Evans makes free throw 2 of 2,1,37-37,,
0:00.0,,,37-37,,K. Faried misses 3-pt shot from 64 ft
0:00.0,,,37-37,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by D. Cunningham),3,40-37,,
11:08.0,,,40-37,,Turnover by Team (shot clock)
10:57.0,D. Cunningham misses 2-pt shot from 11 ft,,40-37,,
10:56.0,Offensive rebound by O. Asik,,40-37,,
10:56.0,,,40-37,,Loose ball foul by K. Faried (drawn by O. Asik)
10:53.0,Turnover by T. Evans (lost ball; steal by T. Lawson),,40-37,,
10:49.0,,,40-39,2,T. Lawson makes 2-pt shot from 2 ft
10:32.0,,,40-39,,Violation by D. Gallinari (kicked ball)
10:21.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,43-39,,
10:07.0,,,43-41,2,D. Gallinari makes 2-pt shot from 1 ft
9:49.0,Q. Pondexter misses 3-pt shot from 24 ft,,43-41,,
9:47.0,,,43-41,,Defensive rebound by K. Faried
9:35.0,,,43-44,3,R. Foye makes 3-pt shot from 29 ft (assist by T. Lawson)
9:29.0,Offensive charge foul by E. Gordon,,43-44,,
9:29.0,Turnover by E. Gordon (offensive foul),,43-44,,
9:10.0,,,43-46,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
8:46.0,E. Gordon makes 2-pt shot from 1 ft,2,45-46,,
8:46.0,Shooting foul by R. Foye (drawn by E. Gordon),,45-46,,
8:46.0,E. Gordon makes free throw 1 of 1,1,46-46,,
8:24.0,,,46-46,,Turnover by T. Lawson (bad pass; steal by E. Gordon)
8:11.0,O. Asik makes 2-pt shot from 2 ft (assist by Q. Pondexter),2,48-46,,
8:11.0,Shooting foul by R. Foye (drawn by O. Asik),,48-46,,
8:11.0,O. Asik misses free throw 1 of 1,,48-46,,
8:10.0,,,48-46,,Defensive rebound by W. Chandler
7:53.0,,,48-48,2,W. Chandler makes 2-pt shot from 3 ft
7:36.0,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans),2,50-48,,
7:12.0,,,50-48,,Shooting foul by E. Gordon (drawn by W. Chandler)
7:12.0,,,50-48,,W. Chandler misses free throw 1 of 2
7:12.0,,,50-48,,Offensive rebound by Team
7:12.0,,,50-48,,W. Chandler misses free throw 2 of 2
7:10.0,Defensive rebound by O. Asik,,50-48,,
6:53.0,E. Gordon misses 3-pt shot from 26 ft,,50-48,,
6:52.0,,,50-48,,Defensive rebound by K. Faried
6:46.0,,,50-50,2,R. Foye makes 2-pt shot from 21 ft (assist by K. Faried)
6:34.0,Shooting foul by K. Faried (drawn by E. Gordon),,50-50,,
6:34.0,E. Gordon makes free throw 1 of 2,1,51-50,,
6:34.0,N. Cole enters the game for Q. Pondexter,,51-50,,
6:34.0,,,51-50,,J. Lauvergne enters the game for K. Faried
6:34.0,E. Gordon misses free throw 2 of 2,,51-50,,
6:32.0,,,51-50,,Defensive rebound by W. Chandler
6:19.0,Personal foul by T. Evans (drawn by T. Lawson),,51-50,,
6:08.0,,,51-50,,W. Chandler misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by O. Asik,,51-50,,
5:59.0,Shooting foul by W. Chandler (drawn by O. Asik),,51-50,,
5:59.0,,,51-50,,Denver full timeout
5:59.0,O. Asik makes free throw 1 of 2,1,52-50,,
5:59.0,O. Asik makes free throw 2 of 2,1,53-50,,
5:51.0,Personal foul by T. Evans (drawn by D. Gallinari),,53-50,,
5:41.0,,,53-50,,J. Lauvergne misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by O. Asik,,53-50,,
5:33.0,N. Cole misses 3-pt shot from 25 ft,,53-50,,
5:30.0,Offensive rebound by D. Cunningham,,53-50,,
5:25.0,E. Gordon misses 3-pt shot from 23 ft,,53-50,,
5:24.0,,,53-50,,Defensive rebound by J. Lauvergne
5:15.0,,,53-50,,Offensive foul by J. Lauvergne
5:15.0,,,53-50,,Turnover by J. Lauvergne (offensive foul)
5:15.0,,,53-50,,W. Barton enters the game for D. Gallinari
4:55.0,E. Gordon makes 2-pt shot from 14 ft,2,55-50,,
4:42.0,,,55-50,,R. Foye misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by O. Asik,,55-50,,
4:30.0,Turnover by D. Cunningham (bad pass; steal by J. Lauvergne),,55-50,,
4:28.0,,,55-50,,Shooting foul by N. Cole (drawn by W. Barton)
4:28.0,,,55-51,1,W. Barton makes free throw 1 of 2
4:28.0,A. Ajinca enters the game for O. Asik,,55-51,,
4:28.0,Q. Pondexter enters the game for E. Gordon,,55-51,,
4:28.0,,,55-51,,G. Harris enters the game for R. Foye
4:28.0,,,55-52,1,W. Barton makes free throw 2 of 2
4:04.0,T. Evans misses 2-pt shot from 2 ft,,55-52,,
4:02.0,Offensive rebound by D. Cunningham,,55-52,,
3:55.0,,,55-52,,Def 3 sec tech foul by W. Chandler
3:55.0,N. Cole makes technical free throw,1,56-52,,
3:47.0,T. Evans makes 2-pt shot from 2 ft,2,58-52,,
3:33.0,,,58-52,,W. Barton misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by D. Cunningham,,58-52,,
3:19.0,A. Ajinca misses 2-pt shot from 1 ft,,58-52,,
3:17.0,,,58-52,,Defensive rebound by W. Barton
3:10.0,,,58-52,,T. Lawson misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by T. Evans,,58-52,,
3:00.0,Turnover by N. Cole (step out of bounds),,58-52,,
3:00.0,,,58-52,,Denver full timeout
3:00.0,,,58-52,,J. Hickson enters the game for J. Lauvergne
3:00.0,L. Babbitt enters the game for D. Cunningham,,58-52,,
2:47.0,,,58-52,,Turnover by T. Lawson (bad pass; steal by N. Cole)
2:45.0,Shooting foul by W. Barton (drawn by T. Evans),,58-52,,
2:45.0,New Orleans full timeout,,58-52,,
2:45.0,,,58-52,,D. Gallinari enters the game for W. Chandler
2:45.0,,,58-52,,J. Nelson enters the game for T. Lawson
2:45.0,T. Evans misses free throw 1 of 2,,58-52,,
2:45.0,Offensive rebound by Team,,58-52,,
2:45.0,T. Evans makes free throw 2 of 2,1,59-52,,
2:30.0,,,59-52,,D. Gallinari misses 2-pt shot from 18 ft
2:29.0,,,59-52,,Offensive rebound by J. Hickson
2:26.0,,,59-52,,G. Harris misses 3-pt shot from 24 ft
2:25.0,,,59-52,,Offensive rebound by D. Gallinari
2:23.0,,,59-52,,Shooting foul by T. Evans (drawn by W. Barton)
2:23.0,,,59-54,2,W. Barton makes 2-pt shot from 3 ft
2:23.0,J. Fredette enters the game for T. Evans,,59-54,,
2:23.0,,,59-54,,W. Barton misses free throw 1 of 1
2:21.0,,,59-54,,Offensive rebound by J. Hickson
2:15.0,,,59-56,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
1:48.0,N. Cole makes 2-pt shot from 18 ft,2,61-56,,
1:34.0,,,61-58,2,J. Hickson makes 2-pt shot from 2 ft (assist by J. Nelson)
1:18.0,L. Babbitt misses 3-pt shot from 23 ft,,61-58,,
1:16.0,,,61-58,,Defensive rebound by W. Barton
1:10.0,,,61-58,,D. Gallinari misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by Team,,61-58,,
1:00.0,Shooting foul by D. Gallinari (drawn by A. Ajinca),,61-58,,
1:00.0,A. Ajinca makes free throw 1 of 2,1,62-58,,
1:00.0,A. Ajinca makes free throw 2 of 2,1,63-58,,
0:44.0,,,63-60,2,D. Gallinari makes 2-pt shot from 20 ft
0:29.0,L. Babbitt makes 2-pt shot from 2 ft,2,65-60,,
0:08.0,,,65-60,,D. Gallinari misses 3-pt shot from 26 ft
0:07.0,,,65-60,,Offensive rebound by W. Barton
0:05.0,,,65-62,2,W. Barton makes 2-pt shot from 1 ft
0:01.0,Turnover by N. Cole (bad pass; steal by W. Barton),,65-62,,
0:00.0,,,65-65,3,D. Gallinari makes 3-pt shot from 51 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,65-65,,Turnover by D. Gallinari (bad pass; steal by A. Ajinca)
11:13.0,A. Ajinca makes 2-pt shot from 6 ft (assist by N. Cole),2,67-65,,
11:07.0,Personal foul by N. Cole (drawn by D. Gallinari),,67-65,,
10:55.0,,,67-65,,J. Hickson misses 2-pt shot from 6 ft
10:53.0,Defensive rebound by A. Ajinca,,67-65,,
10:43.0,L. Babbitt makes 2-pt shot from 14 ft (assist by Q. Pondexter),2,69-65,,
10:26.0,,,69-65,,Shooting foul by J. Fredette (drawn by D. Gallinari)
10:26.0,,,69-66,1,D. Gallinari makes free throw 1 of 2
10:26.0,,,69-67,1,D. Gallinari makes free throw 2 of 2
10:14.0,N. Cole misses 2-pt shot from 1 ft,,69-67,,
10:12.0,Offensive rebound by A. Ajinca,,69-67,,
10:12.0,A. Ajinca makes 2-pt shot from 1 ft,2,71-67,,
10:07.0,Personal block foul by N. Cole (drawn by J. Nelson),,71-67,,
9:58.0,Shooting block foul by A. Ajinca (drawn by J. Hickson),,71-67,,
9:58.0,,,71-67,,J. Hickson misses free throw 1 of 2
9:58.0,,,71-67,,Offensive rebound by Team
9:58.0,,,71-67,,J. Hickson misses free throw 2 of 2
9:56.0,Defensive rebound by A. Ajinca,,71-67,,
9:42.0,Turnover by J. Fredette (lost ball; steal by J. Nelson),,71-67,,
9:37.0,,,71-69,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
9:23.0,,,71-69,,Personal foul by D. Gallinari (drawn by L. Babbitt)
9:23.0,E. Gordon enters the game for J. Fredette,,71-69,,
9:17.0,Offensive foul by Q. Pondexter,,71-69,,
9:17.0,Turnover by Q. Pondexter (offensive foul),,71-69,,
9:03.0,,,71-71,2,J. Nelson makes 2-pt shot from 22 ft
8:38.0,L. Babbitt misses 3-pt shot from 24 ft,,71-71,,
8:36.0,,,71-71,,Defensive rebound by W. Barton
8:31.0,,,71-71,,J. Hickson misses 2-pt shot from 2 ft
8:30.0,,,71-71,,Offensive rebound by W. Barton
8:30.0,,,71-73,2,W. Barton makes 2-pt shot from 1 ft
8:30.0,New Orleans full timeout,,71-73,,
8:30.0,T. Evans enters the game for Q. Pondexter,,71-73,,
8:30.0,D. Cunningham enters the game for L. Babbitt,,71-73,,
8:10.0,A. Ajinca makes 2-pt shot from 7 ft,2,73-73,,
7:56.0,,,73-73,,D. Gallinari misses 2-pt shot from 2 ft (block by A. Ajinca)
7:55.0,,,73-73,,Offensive rebound by Team
7:55.0,,,73-73,,R. Foye enters the game for D. Gallinari
7:55.0,,,73-73,,W. Chandler enters the game for G. Harris
7:46.0,,,73-73,,W. Chandler misses 2-pt shot from 9 ft
7:45.0,Defensive rebound by T. Evans,,73-73,,
7:39.0,T. Evans misses 2-pt shot at rim (block by J. Hickson),,73-73,,
7:39.0,Offensive rebound by Team,,73-73,,
7:22.0,E. Gordon misses 3-pt shot from 25 ft,,73-73,,
7:21.0,,,73-73,,Defensive rebound by J. Hickson
7:04.0,,,73-73,,J. Nelson misses 3-pt shot from 25 ft
7:03.0,,,73-73,,Offensive rebound by W. Chandler
7:00.0,,,73-75,2,W. Chandler makes 2-pt shot from 2 ft
6:41.0,Shooting foul by J. Hickson (drawn by A. Ajinca),,73-75,,
6:41.0,A. Ajinca makes free throw 1 of 2,1,74-75,,
6:41.0,Q. Pondexter enters the game for N. Cole,,74-75,,
6:41.0,A. Ajinca makes free throw 2 of 2,1,75-75,,
6:24.0,,,75-75,,R. Foye misses 3-pt shot from 23 ft
6:22.0,Defensive rebound by Q. Pondexter,,75-75,,
6:08.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,78-75,,
6:00.0,Violation by D. Cunningham (kicked ball),,78-75,,
6:00.0,,,78-75,,K. Faried enters the game for J. Hickson
5:54.0,Official timeout,,78-75,,
5:47.0,,,78-77,2,J. Nelson makes 2-pt shot from 14 ft (assist by K. Faried)
5:26.0,D. Cunningham makes 2-pt shot from 16 ft (assist by E. Gordon),2,80-77,,
5:21.0,,,80-77,,Turnover by J. Nelson (bad pass; steal by D. Cunningham)
5:07.0,T. Evans makes 2-pt shot from 1 ft,2,82-77,,
4:47.0,,,82-77,,J. Nelson misses 3-pt shot from 24 ft
4:44.0,,,82-77,,Offensive rebound by K. Faried
4:40.0,,,82-80,3,R. Foye makes 3-pt shot from 25 ft (assist by K. Faried)
4:16.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,85-80,,
4:02.0,,,85-80,,T. Lawson enters the game for J. Nelson
3:55.0,,,85-83,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
3:28.0,T. Evans makes 2-pt shot from 1 ft,2,87-83,,
3:19.0,,,87-83,,T. Lawson misses 3-pt shot from 23 ft
3:18.0,,,87-83,,Offensive rebound by Team
3:18.0,Loose ball foul by A. Ajinca (drawn by K. Faried),,87-83,,
3:18.0,,,87-83,,Denver full timeout
3:18.0,O. Asik enters the game for A. Ajinca,,87-83,,
3:18.0,,,87-84,1,K. Faried makes free throw 1 of 2
3:18.0,,,87-84,,K. Faried misses free throw 2 of 2
3:16.0,Defensive rebound by Q. Pondexter,,87-84,,
2:59.0,D. Cunningham makes 2-pt shot from 21 ft (assist by T. Evans),2,89-84,,
2:44.0,,,89-84,,Offensive charge foul by R. Foye
2:44.0,,,89-84,,Turnover by R. Foye (offensive foul)
2:28.0,O. Asik misses 2-pt shot from 1 ft,,89-84,,
2:27.0,Offensive rebound by T. Evans,,89-84,,
2:18.0,T. Evans misses 2-pt shot from 22 ft,,89-84,,
2:17.0,,,89-84,,Defensive rebound by K. Faried
2:15.0,,,89-84,,Turnover by K. Faried (lost ball; steal by D. Cunningham)
1:59.0,T. Evans misses 2-pt shot from 4 ft (block by K. Faried),,89-84,,
1:58.0,Offensive rebound by T. Evans,,89-84,,
1:57.0,Shooting foul by K. Faried (drawn by T. Evans),,89-84,,
1:57.0,T. Evans misses free throw 1 of 2,,89-84,,
1:57.0,Offensive rebound by Team,,89-84,,
