time,Phoenix,pts.away,score,pts.home,Minnesota
2:32.0,Personal foul by A. Goodwin (drawn by A. Payne),,18-22,,
2:32.0,,,18-22,,A. Payne misses free throw 1 of 2
2:32.0,,,18-22,,Offensive rebound by Team
2:32.0,T. Warren enters the game for E. Bledsoe,,18-22,,
2:32.0,,,18-23,1,A. Payne makes free throw 2 of 2
2:17.0,,,18-23,,Personal foul by A. Payne (drawn by M. Morris)
2:08.0,B. Wright misses 2-pt shot at rim,,18-23,,
2:07.0,,,18-23,,Defensive rebound by G. Dieng
1:53.0,,,18-23,,Turnover by Z. LaVine (bad pass)
1:36.0,Shooting foul by A. Payne (drawn by M. Morris),,18-23,,
1:36.0,M. Morris makes 2-pt shot from 1 ft (assist by A. Goodwin),2,20-23,,
1:36.0,M. Morris makes free throw 1 of 1,1,21-23,,
1:23.0,,,21-23,,A. Payne misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by M. Morris,,21-23,,
1:22.0,,,21-23,,Personal foul by S. Muhammad (drawn by M. Morris)
1:22.0,M. Morris misses free throw 1 of 2,,21-23,,
1:22.0,Offensive rebound by Team,,21-23,,
1:22.0,M. Morris makes free throw 2 of 2,1,22-23,,
1:04.0,,,22-25,2,A. Wiggins makes 2-pt shot from 14 ft
0:48.0,M. Morris misses 2-pt shot from 16 ft,,22-25,,
0:47.0,,,22-25,,Defensive rebound by S. Muhammad
0:41.0,,,22-25,,Z. LaVine misses 2-pt shot from 19 ft
0:40.0,Defensive rebound by B. Wright,,22-25,,
0:32.0,A. Goodwin makes 2-pt shot from 1 ft,2,24-25,,
0:09.0,,,24-25,,Shooting foul by B. Wright (drawn by G. Dieng)
0:09.0,,,24-26,1,G. Dieng makes free throw 1 of 2
0:09.0,,,24-26,,G. Dieng misses free throw 2 of 2
0:09.0,Defensive rebound by M. Morris,,24-26,,
0:01.0,M. Morris misses 2-pt shot from 16 ft,,24-26,,
0:00.0,Offensive rebound by Team,,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-28,2,A. Wiggins makes 2-pt shot from 22 ft (assist by Z. LaVine)
11:31.0,T. Warren misses 2-pt shot from 15 ft,,24-28,,
11:30.0,Offensive rebound by T. Warren,,24-28,,
11:28.0,T. Warren makes 2-pt shot at rim,2,26-28,,
11:19.0,,,26-28,,A. Wiggins misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by A. Goodwin,,26-28,,
11:05.0,Turnover by A. Goodwin (bad pass; steal by S. Muhammad),,26-28,,
11:01.0,,,26-30,2,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad)
10:40.0,A. Goodwin makes 3-pt shot from 25 ft (assist by M. Morris),3,29-30,,
10:24.0,,,29-30,,S. Muhammad misses 2-pt shot from 22 ft
10:22.0,Defensive rebound by E. Bledsoe,,29-30,,
10:20.0,,,29-30,,Personal foul by S. Muhammad (drawn by E. Bledsoe)
10:20.0,,,29-30,,G. Neal enters the game for A. Wiggins
10:12.0,,,29-30,,Personal foul by Z. LaVine (drawn by E. Bledsoe)
10:12.0,,,29-30,,R. Rubio enters the game for Z. LaVine
10:09.0,Turnover by M. Morris (bad pass; steal by R. Rubio),,29-30,,
10:04.0,,,29-32,2,S. Muhammad makes 2-pt shot from 3 ft
10:04.0,,,29-32,,Shooting foul by M. Morris (drawn by S. Muhammad)
10:04.0,,,29-33,1,S. Muhammad makes free throw 1 of 1
9:46.0,E. Bledsoe misses 2-pt shot from 10 ft (block by A. Payne),,29-33,,
9:44.0,,,29-33,,Defensive rebound by G. Dieng
9:35.0,Personal foul by E. Bledsoe (drawn by R. Rubio),,29-33,,
9:30.0,,,29-33,,R. Rubio misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by B. Wright,,29-33,,
9:24.0,Shooting foul by G. Neal (drawn by E. Bledsoe),,29-33,,
9:24.0,E. Bledsoe misses free throw 1 of 2,,29-33,,
9:24.0,Offensive rebound by Team,,29-33,,
9:24.0,E. Bledsoe makes free throw 2 of 2,1,30-33,,
9:09.0,,,30-33,,A. Payne misses 2-pt shot from 13 ft
9:08.0,,,30-33,,Offensive rebound by G. Dieng
9:07.0,,,30-33,,N. Pekovic enters the game for A. Payne
9:07.0,A. Len enters the game for M. Morris,,30-33,,
9:07.0,,,30-33,,K. Martin enters the game for S. Muhammad
9:07.0,Jump ball: G. Dieng vs. B. Wright (T. Warren gains possession),,,,Jump ball: G. Dieng vs. B. Wright (T. Warren gains possession)
9:07.0,,,30-33,,Turnover by G. Dieng (lost ball; steal by B. Wright)
8:57.0,B. Wright makes 2-pt shot from 8 ft (assist by A. Goodwin),2,32-33,,
8:32.0,,,32-35,2,G. Dieng makes 2-pt shot from 17 ft (assist by R. Rubio)
8:15.0,T. Warren misses 2-pt shot from 15 ft,,32-35,,
8:14.0,,,32-35,,Defensive rebound by G. Dieng
8:05.0,Personal block foul by B. Wright (drawn by G. Dieng),,32-35,,
8:05.0,,,32-35,,Minnesota full timeout
7:55.0,,,32-35,,Shooting foul by T. Warren (drawn by K. Martin)
7:55.0,,,32-36,1,K. Martin makes free throw 1 of 2
7:55.0,,,32-37,1,K. Martin makes free throw 2 of 2
7:40.0,B. Wright misses 2-pt shot from 2 ft,,32-37,,
7:39.0,,,32-37,,Defensive rebound by Team
7:39.0,Loose ball foul by A. Len (drawn by N. Pekovic),,32-37,,
7:39.0,,,32-37,,N. Pekovic misses free throw 1 of 2
7:39.0,,,32-37,,Offensive rebound by Team
7:39.0,M. Morris enters the game for B. Wright,,32-37,,
7:39.0,,,32-38,1,N. Pekovic makes free throw 2 of 2
7:25.0,Turnover by E. Bledsoe (offensive goaltending),,32-38,,
7:07.0,,,32-38,,N. Pekovic misses 2-pt shot from 8 ft
7:06.0,Defensive rebound by Team,,32-38,,
6:53.0,M. Morris misses 2-pt shot from 20 ft,,32-38,,
6:52.0,,,32-38,,Defensive rebound by K. Martin
6:37.0,,,32-38,,N. Pekovic misses 2-pt shot from 5 ft (block by A. Len)
6:36.0,,,32-38,,Offensive rebound by N. Pekovic
6:34.0,,,32-38,,N. Pekovic misses 2-pt shot from 1 ft (block by A. Len)
6:33.0,Defensive rebound by A. Len,,32-38,,
6:22.0,A. Len misses 2-pt shot from 11 ft,,32-38,,
6:22.0,,,32-38,,Defensive rebound by K. Martin
6:05.0,,,32-40,2,K. Martin makes 2-pt shot from 19 ft
5:48.0,T. Warren misses 2-pt shot from 21 ft,,32-40,,
5:47.0,,,32-40,,Defensive rebound by N. Pekovic
5:37.0,,,32-40,,Offensive foul by N. Pekovic
5:37.0,,,32-40,,Turnover by N. Pekovic (offensive foul)
5:37.0,,,32-40,,Minnesota full timeout
5:37.0,G. Green enters the game for T. Warren,,32-40,,
5:37.0,P. Tucker enters the game for A. Goodwin,,32-40,,
5:15.0,P. Tucker misses 3-pt shot from 22 ft,,32-40,,
5:14.0,,,32-40,,Defensive rebound by G. Neal
4:59.0,,,32-40,,G. Neal misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by P. Tucker,,32-40,,
4:52.0,G. Green misses 3-pt shot from 22 ft,,32-40,,
4:50.0,Offensive rebound by A. Len,,32-40,,
4:47.0,E. Bledsoe misses 2-pt shot from 7 ft,,32-40,,
4:45.0,,,32-40,,Defensive rebound by N. Pekovic
4:39.0,,,32-42,2,G. Dieng makes 2-pt shot at rim (assist by G. Neal)
4:18.0,Turnover by M. Morris (lost ball; steal by R. Rubio),,32-42,,
4:13.0,,,32-45,3,G. Neal makes 3-pt shot from 25 ft (assist by K. Martin)
4:11.0,Phoenix full timeout,,32-45,,
4:11.0,,,32-45,,A. Wiggins enters the game for G. Neal
4:01.0,Turnover by E. Bledsoe (offensive foul),,32-45,,
4:01.0,Offensive foul by E. Bledsoe,,32-45,,
4:01.0,A. Goodwin enters the game for E. Bledsoe,,32-45,,
3:51.0,Personal foul by A. Len (drawn by N. Pekovic),,32-45,,
3:51.0,,,32-45,,N. Pekovic misses free throw 1 of 2
3:51.0,,,32-45,,Offensive rebound by Team
3:51.0,,,32-46,1,N. Pekovic makes free throw 2 of 2
3:40.0,M. Morris misses 2-pt shot from 16 ft,,32-46,,
3:38.0,,,32-46,,Defensive rebound by N. Pekovic
3:24.0,,,32-46,,K. Martin misses 3-pt shot from 24 ft
3:23.0,,,32-46,,Offensive rebound by N. Pekovic
3:07.0,,,32-46,,A. Wiggins misses 2-pt shot from 16 ft
3:05.0,Defensive rebound by A. Goodwin,,32-46,,
3:02.0,Shooting foul by A. Wiggins (drawn by P. Tucker),,32-46,,
3:02.0,P. Tucker makes free throw 1 of 2,1,33-46,,
3:02.0,P. Tucker misses free throw 2 of 2,,33-46,,
3:01.0,,,33-46,,Defensive rebound by Team
2:50.0,,,33-46,,G. Dieng misses 2-pt shot at rim
2:49.0,,,33-46,,Offensive rebound by N. Pekovic
2:48.0,,,33-46,,N. Pekovic misses 2-pt shot at rim
2:47.0,Defensive rebound by Team,,33-46,,
2:34.0,G. Green misses 3-pt shot from 23 ft,,33-46,,
2:33.0,Offensive rebound by P. Tucker,,33-46,,
2:27.0,A. Goodwin misses 2-pt shot from 10 ft,,33-46,,
2:26.0,Offensive rebound by A. Len,,33-46,,
2:25.0,Shooting foul by N. Pekovic (drawn by A. Len),,33-46,,
2:25.0,A. Len makes 2-pt shot at rim,2,35-46,,
2:25.0,A. Len makes free throw 1 of 1,1,36-46,,
2:10.0,,,36-46,,Shooting foul by A. Goodwin (drawn by R. Rubio)
2:10.0,,,36-47,1,R. Rubio makes free throw 1 of 2
2:10.0,,,36-47,,R. Rubio misses free throw 2 of 2
2:10.0,Defensive rebound by A. Len,,36-47,,
1:51.0,Turnover by A. Len (traveling),,36-47,,
1:51.0,R. Bullock enters the game for G. Green,,36-47,,
1:34.0,,,36-49,2,K. Martin makes 2-pt shot from 17 ft
1:10.0,M. Morris misses 2-pt shot from 9 ft (block by G. Dieng),,36-49,,
1:08.0,Offensive rebound by M. Morris,,36-49,,
1:06.0,M. Morris makes 2-pt shot from 10 ft,2,38-49,,
0:53.0,,,38-49,,R. Rubio misses 2-pt shot from 1 ft (block by M. Morris)
0:53.0,,,38-49,,Offensive rebound by Team
0:45.0,,,38-52,3,R. Rubio makes 3-pt shot from 24 ft
0:36.0,M. Morris makes 2-pt shot at rim,2,40-52,,
0:22.0,,,40-52,,A. Wiggins misses 2-pt shot from 2 ft
0:21.0,Defensive rebound by A. Goodwin,,40-52,,
0:05.0,,,40-52,,Personal block foul by R. Rubio (drawn by A. Goodwin)
0:05.0,A. Goodwin makes free throw 1 of 2,1,41-52,,
0:05.0,M. Morris enters the game for A. Len,,41-52,,
0:05.0,,,41-52,,Minnesota full timeout
0:05.0,,,41-52,,Z. LaVine enters the game for K. Martin
0:05.0,A. Goodwin makes free throw 2 of 2,1,42-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,42-52,,Turnover by N. Pekovic (lost ball; steal by P. Tucker)
11:32.0,G. Green makes 3-pt shot from 24 ft (assist by P. Tucker),3,45-52,,
11:10.0,,,45-52,,K. Martin misses 3-pt shot from 23 ft
11:09.0,Defensive rebound by P. Tucker,,45-52,,
10:52.0,E. Bledsoe makes 2-pt shot at rim (assist by M. Morris),2,47-52,,
10:35.0,,,47-54,2,N. Pekovic makes 2-pt shot from 6 ft (assist by R. Rubio)
10:11.0,M. Morris misses 2-pt shot from 17 ft,,47-54,,
10:10.0,,,47-54,,Defensive rebound by N. Pekovic
9:58.0,,,47-54,,R. Rubio misses 3-pt shot from 22 ft
9:57.0,Defensive rebound by E. Bledsoe,,47-54,,
9:50.0,G. Green misses 3-pt shot from 23 ft,,47-54,,
9:49.0,,,47-54,,Defensive rebound by R. Rubio
9:44.0,,,47-56,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
9:29.0,Turnover by P. Tucker (bad pass; steal by K. Martin),,47-56,,
9:15.0,,,47-56,,K. Martin misses 3-pt shot from 24 ft
9:14.0,,,47-56,,Offensive rebound by G. Dieng
9:12.0,,,47-56,,Shooting foul by G. Green (drawn by G. Dieng)
9:12.0,,,47-57,1,G. Dieng makes free throw 1 of 2
9:12.0,,,47-57,,G. Dieng misses free throw 2 of 2
9:12.0,Defensive rebound by P. Tucker,,47-57,,
8:56.0,M. Morris makes 2-pt shot from 13 ft (assist by G. Green),2,49-57,,
8:43.0,,,49-60,3,K. Martin makes 3-pt shot from 25 ft
8:27.0,P. Tucker makes 3-pt shot from 23 ft (assist by G. Green),3,52-60,,
8:15.0,,,52-60,,Turnover by R. Rubio (bad pass; steal by M. Morris)
8:11.0,E. Bledsoe makes 2-pt shot at rim (assist by M. Morris),2,54-60,,
7:53.0,,,54-60,,N. Pekovic misses 2-pt shot from 5 ft
7:52.0,Defensive rebound by P. Tucker,,54-60,,
7:40.0,E. Bledsoe makes 2-pt shot from 2 ft,2,56-60,,
7:40.0,,,56-60,,Minnesota full timeout
7:15.0,,,56-62,2,G. Dieng makes 2-pt shot from 19 ft (assist by R. Rubio)
6:48.0,M. Morris makes 2-pt shot from 3 ft,2,58-62,,
6:25.0,,,58-62,,Turnover by A. Wiggins (traveling)
6:03.0,M. Morris makes 2-pt shot from 20 ft (assist by P. Tucker),2,60-62,,
5:46.0,,,60-62,,R. Rubio misses 2-pt shot from 20 ft
5:45.0,Defensive rebound by A. Len,,60-62,,
5:37.0,E. Bledsoe misses 3-pt shot from 25 ft,,60-62,,
5:36.0,,,60-62,,Defensive rebound by G. Dieng
5:27.0,,,60-62,,N. Pekovic misses 2-pt shot from 1 ft (block by A. Len)
5:26.0,Defensive rebound by E. Bledsoe,,60-62,,
5:18.0,P. Tucker makes 2-pt shot at rim,2,62-62,,
5:18.0,Shooting foul by N. Pekovic (drawn by P. Tucker),,62-62,,
5:18.0,,,62-62,,A. Payne enters the game for N. Pekovic
5:18.0,M. Morris enters the game for A. Len,,62-62,,
5:18.0,P. Tucker misses free throw 1 of 1,,62-62,,
5:18.0,,,62-62,,Defensive rebound by A. Payne
4:56.0,,,62-62,,G. Dieng misses 2-pt shot from 3 ft (block by P. Tucker)
4:55.0,,,62-62,,Offensive rebound by G. Dieng
4:54.0,,,62-64,2,G. Dieng makes 2-pt shot at rim
4:44.0,E. Bledsoe makes 2-pt shot from 2 ft,2,64-64,,
4:29.0,,,64-66,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:06.0,P. Tucker misses 2-pt shot from 15 ft,,64-66,,
4:05.0,,,64-66,,Defensive rebound by G. Dieng
4:02.0,,,64-66,,Shooting foul by P. Tucker (drawn by A. Wiggins)
4:02.0,,,64-67,1,A. Wiggins makes free throw 1 of 2
4:02.0,,,64-67,,Z. LaVine enters the game for R. Rubio
4:02.0,A. Goodwin enters the game for G. Green,,64-67,,
4:02.0,,,64-68,1,A. Wiggins makes free throw 2 of 2
3:55.0,Offensive foul by M. Morris,,64-68,,
3:55.0,Turnover by M. Morris (offensive foul),,64-68,,
3:46.0,,,64-70,2,K. Martin makes 2-pt shot from 21 ft (assist by Z. LaVine)
3:36.0,Shooting foul by A. Payne (drawn by M. Morris),,64-70,,
3:36.0,M. Morris makes free throw 1 of 2,1,65-70,,
3:36.0,B. Wright enters the game for M. Morris,,65-70,,
3:36.0,M. Morris misses free throw 2 of 2,,65-70,,
3:35.0,Offensive rebound by B. Wright,,65-70,,
3:31.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Wright),3,68-70,,
3:13.0,,,68-72,2,K. Martin makes 2-pt shot from 15 ft
3:05.0,Shooting foul by Z. LaVine (drawn by E. Bledsoe),,68-72,,
3:05.0,E. Bledsoe makes free throw 1 of 2,1,69-72,,
3:05.0,E. Bledsoe makes free throw 2 of 2,1,70-72,,
2:51.0,,,70-72,,A. Wiggins misses 2-pt shot from 15 ft
2:50.0,Defensive rebound by B. Wright,,70-72,,
2:42.0,Shooting foul by A. Payne (drawn by P. Tucker),,70-72,,
2:42.0,Phoenix full timeout,,70-72,,
2:42.0,P. Tucker makes free throw 1 of 2,1,71-72,,
2:42.0,P. Tucker misses free throw 2 of 2,,71-72,,
2:41.0,Offensive rebound by P. Tucker,,71-72,,
2:37.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,73-72,,
2:10.0,,,73-72,,Z. LaVine misses 2-pt shot from 17 ft
2:09.0,,,73-72,,Offensive rebound by A. Wiggins
2:06.0,,,73-72,,A. Wiggins misses 2-pt shot from 14 ft
2:05.0,,,73-72,,Offensive rebound by A. Payne
2:05.0,,,73-72,,A. Payne misses 2-pt shot at rim
2:04.0,,,73-72,,Offensive rebound by Z. LaVine
2:02.0,,,73-72,,Shooting foul by P. Tucker (drawn by Z. LaVine)
2:02.0,,,73-73,1,Z. LaVine makes free throw 1 of 2
2:02.0,,,73-73,,S. Muhammad enters the game for K. Martin
2:02.0,T. Warren enters the game for P. Tucker,,73-73,,
2:02.0,G. Green enters the game for E. Bledsoe,,73-73,,
2:02.0,,,73-74,1,Z. LaVine makes free throw 2 of 2
1:49.0,Turnover by M. Morris (traveling),,73-74,,
1:39.0,,,73-74,,Turnover by S. Muhammad (lost ball; steal by T. Warren)
1:32.0,Shooting foul by G. Dieng (drawn by A. Goodwin),,73-74,,
1:32.0,A. Goodwin makes free throw 1 of 2,1,74-74,,
1:32.0,A. Goodwin makes free throw 2 of 2,1,75-74,,
1:19.0,,,75-76,2,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine)
1:05.0,T. Warren misses 2-pt shot from 6 ft,,75-76,,
1:03.0,,,75-76,,Defensive rebound by A. Payne
1:00.0,,,75-76,,Turnover by Z. LaVine (lost ball; steal by A. Goodwin)
0:48.0,Turnover by A. Goodwin (bad pass; steal by Z. LaVine),,75-76,,
0:47.0,Personal take foul by A. Goodwin (drawn by Z. LaVine),,75-76,,
0:36.0,,,75-76,,A. Wiggins misses 2-pt shot from 19 ft
0:34.0,,,75-76,,Offensive rebound by A. Wiggins
0:27.0,,,75-78,2,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins)
0:08.0,A. Goodwin makes 2-pt shot at rim,2,77-78,,
0:02.0,,,77-80,2,Z. LaVine makes 2-pt shot from 1 ft
0:02.0,,,77-80,,Shooting foul by B. Wright (drawn by Z. LaVine)
0:02.0,,,77-80,,Z. LaVine misses free throw 1 of 1
0:02.0,Defensive rebound by M. Morris,,77-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Goodwin misses 2-pt shot at rim,,77-80,,
11:46.0,Offensive rebound by T. Warren,,77-80,,
11:43.0,T. Warren misses 2-pt shot from 3 ft,,77-80,,
11:42.0,Offensive rebound by B. Wright,,77-80,,
11:39.0,M. Morris makes 2-pt shot at rim,2,79-80,,
11:24.0,,,79-80,,A. Payne misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by T. Warren,,79-80,,
11:13.0,Shooting foul by Z. LaVine (drawn by A. Goodwin),,79-80,,
11:13.0,A. Goodwin makes free throw 1 of 2,1,80-80,,
11:13.0,A. Len enters the game for T. Warren,,80-80,,
11:13.0,,,80-80,,R. Rubio enters the game for Z. LaVine
11:13.0,A. Goodwin misses free throw 2 of 2,,80-80,,
11:12.0,,,80-80,,Defensive rebound by N. Pekovic
11:06.0,,,80-80,,G. Neal misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by M. Morris,,80-80,,
10:51.0,A. Len makes 2-pt shot from 2 ft (assist by M. Morris),2,82-80,,
10:36.0,,,82-80,,N. Pekovic misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by M. Morris,,82-80,,
10:27.0,A. Goodwin misses 2-pt shot at rim (block by A. Payne),,82-80,,
10:26.0,,,82-80,,Defensive rebound by R. Rubio
10:24.0,,,82-82,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
10:24.0,,,82-82,,Shooting foul by G. Green (drawn by S. Muhammad)
10:24.0,,,82-82,,S. Muhammad misses free throw 1 of 1
10:23.0,,,82-82,,Offensive rebound by S. Muhammad
10:13.0,,,82-82,,Turnover by R. Rubio (bad pass; steal by M. Morris)
10:06.0,G. Green misses 2-pt shot at rim,,82-82,,
10:05.0,Offensive rebound by Team,,82-82,,
10:05.0,,,82-82,,Loose ball foul by A. Payne (drawn by A. Len)
10:05.0,,,82-82,,G. Dieng enters the game for A. Payne
10:01.0,G. Green makes 2-pt shot from 18 ft (assist by A. Goodwin),2,84-82,,
9:50.0,,,84-85,3,G. Neal makes 3-pt shot from 23 ft (assist by R. Rubio)
9:50.0,Phoenix full timeout,,84-85,,
9:32.0,A. Len misses 2-pt shot from 19 ft,,84-85,,
9:31.0,,,84-85,,Defensive rebound by R. Rubio
9:12.0,,,84-85,,Turnover by G. Dieng (bad pass; steal by B. Wright)
9:07.0,G. Green makes 2-pt shot at rim (assist by A. Goodwin),2,86-85,,
8:54.0,,,86-85,,Shooting foul by A. Goodwin (drawn by R. Rubio)
8:54.0,,,86-86,1,R. Rubio makes free throw 1 of 2
8:54.0,E. Bledsoe enters the game for A. Goodwin,,86-86,,
8:54.0,M. Morris enters the game for B. Wright,,86-86,,
8:54.0,,,86-87,1,R. Rubio makes free throw 2 of 2
8:45.0,M. Morris makes 2-pt shot from 1 ft,2,88-87,,
8:35.0,,,88-87,,Shooting foul by M. Morris (drawn by N. Pekovic)
8:35.0,,,88-88,1,N. Pekovic makes free throw 1 of 2
