time,Cleveland,pts.away,score,pts.home,LA Clippers
9:51.0,,,36-38,,J. Crawford misses free throw 2 of 2
9:49.0,Defensive rebound by T. Thompson,,36-38,,
9:34.0,L. James makes 3-pt shot from 25 ft,3,39-38,,
9:19.0,,,39-38,,A. Rivers misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by S. Marion,,39-38,,
9:08.0,K. Irving makes 3-pt shot from 24 ft,3,42-38,,
8:55.0,,,42-38,,A. Rivers misses 2-pt shot from 10 ft
8:53.0,,,42-38,,Offensive rebound by D. Jordan
8:51.0,,,42-38,,D. Jordan misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by M. Miller,,42-38,,
8:45.0,S. Marion misses 2-pt shot from 4 ft,,42-38,,
8:40.0,,,42-38,,Defensive rebound by D. Jordan
8:30.0,,,42-38,,A. Rivers misses 2-pt shot from 1 ft (block by T. Thompson)
8:27.0,Defensive rebound by M. Miller,,42-38,,
8:21.0,M. Miller misses 3-pt shot from 24 ft,,42-38,,
8:21.0,Offensive rebound by Team,,42-38,,
8:21.0,,,42-38,,Loose ball foul by S. Hawes (drawn by T. Thompson)
8:21.0,Official timeout,,42-38,,
8:21.0,,,42-38,,M. Barnes enters the game for D. Jones
8:21.0,,,42-38,,B. Griffin enters the game for S. Hawes
8:21.0,J. Smith enters the game for M. Miller,,42-38,,
8:21.0,T. Mozgov enters the game for S. Marion,,42-38,,
8:08.0,L. James misses 2-pt shot from 17 ft,,42-38,,
8:08.0,Offensive rebound by Team,,42-38,,
8:08.0,,,42-38,,Loose ball foul by D. Jordan (drawn by T. Mozgov)
8:08.0,,,42-38,,C. Paul enters the game for A. Rivers
7:52.0,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Smith),2,44-38,,
7:38.0,,,44-38,,J. Crawford misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by T. Thompson,,44-38,,
7:35.0,Turnover by L. James (traveling),,44-38,,
7:26.0,,,44-38,,C. Paul misses 2-pt shot from 14 ft (block by K. Irving)
7:23.0,,,44-38,,Offensive rebound by C. Paul
7:21.0,,,44-38,,C. Paul misses 2-pt shot from 1 ft
7:19.0,,,44-38,,Offensive rebound by D. Jordan
7:19.0,,,44-40,2,D. Jordan makes 2-pt shot at rim
7:09.0,K. Irving misses 2-pt shot from 1 ft,,44-40,,
7:08.0,Offensive rebound by K. Irving,,44-40,,
7:03.0,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving),2,46-40,,
6:39.0,,,46-40,,B. Griffin misses 2-pt shot from 5 ft
6:37.0,,,46-40,,Offensive rebound by M. Barnes
6:35.0,Personal foul by T. Mozgov (drawn by D. Jordan),,46-40,,
6:35.0,,,46-40,,J. Redick enters the game for J. Crawford
6:35.0,S. Marion enters the game for T. Mozgov,,46-40,,
6:17.0,,,46-40,,J. Redick misses 2-pt shot from 3 ft
6:17.0,Defensive rebound by T. Thompson,,46-40,,
6:12.0,Turnover by K. Irving (lost ball),,46-40,,
6:07.0,,,46-40,,Turnover by C. Paul (bad pass; steal by J. Smith)
6:03.0,Shooting foul by M. Barnes (drawn by L. James),,46-40,,
6:03.0,L. James makes free throw 1 of 2,1,47-40,,
6:03.0,L. James misses free throw 2 of 2,,47-40,,
6:01.0,,,47-40,,Defensive rebound by M. Barnes
5:43.0,,,47-43,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
5:27.0,L. James misses 2-pt shot from 19 ft,,47-43,,
5:25.0,,,47-43,,Defensive rebound by C. Paul
5:19.0,,,47-46,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
4:51.0,J. Smith makes 2-pt shot from 16 ft,2,49-46,,
4:39.0,,,49-46,,B. Griffin misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by T. Thompson,,49-46,,
4:26.0,L. James makes 2-pt shot from 3 ft,2,51-46,,
4:25.0,,,51-46,,Turnover by J. Redick (lost ball)
4:25.0,,,51-46,,LA Clippers full timeout
4:15.0,Turnover by L. James (bad pass; steal by D. Jordan),,51-46,,
4:10.0,,,51-48,2,M. Barnes makes 2-pt shot from 1 ft
3:49.0,S. Marion misses 2-pt shot from 3 ft,,51-48,,
3:48.0,Offensive rebound by T. Thompson,,51-48,,
3:46.0,T. Thompson makes 2-pt shot from 1 ft,2,53-48,,
3:30.0,,,53-50,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
3:08.0,S. Marion misses 3-pt shot from 23 ft,,53-50,,
3:07.0,,,53-50,,Defensive rebound by B. Griffin
3:01.0,,,53-53,3,J. Redick makes 3-pt shot from 22 ft (assist by B. Griffin)
2:49.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,55-53,,
2:34.0,Personal foul by L. James (drawn by B. Griffin),,55-53,,
2:34.0,Cleveland full timeout,,55-53,,
2:34.0,M. Dellavedova enters the game for J. Smith,,55-53,,
2:25.0,,,55-53,,Turnover by J. Redick (bad pass)
2:20.0,Turnover by L. James (lost ball; steal by C. Paul),,55-53,,
2:13.0,,,55-56,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
1:56.0,K. Irving makes 2-pt shot from 22 ft (assist by L. James),2,57-56,,
1:45.0,,,57-56,,Turnover by C. Paul (lost ball; steal by K. Irving)
1:42.0,Shooting foul by D. Jordan (drawn by K. Irving),,57-56,,
1:42.0,K. Irving makes free throw 1 of 2,1,58-56,,
1:42.0,,,58-56,,S. Hawes enters the game for D. Jordan
1:42.0,K. Irving makes free throw 2 of 2,1,59-56,,
1:23.0,,,59-56,,C. Paul misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by T. Thompson,,59-56,,
1:06.0,L. James misses 2-pt shot from 1 ft,,59-56,,
1:05.0,,,59-56,,Defensive rebound by S. Hawes
1:02.0,Personal take foul by M. Dellavedova (drawn by M. Barnes),,59-56,,
0:56.0,,,59-58,2,B. Griffin makes 2-pt shot at rim
0:56.0,,,59-58,,Shooting foul by T. Thompson (drawn by B. Griffin)
0:56.0,,,59-59,1,B. Griffin makes free throw 1 of 1
0:40.0,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving),2,61-59,,
0:34.0,,,61-62,3,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul)
0:17.0,K. Irving misses 3-pt shot from 24 ft,,61-62,,
0:15.0,,,61-62,,Defensive rebound by B. Griffin
0:10.0,Personal foul by L. James (drawn by C. Paul),,61-62,,
0:10.0,,,61-63,1,C. Paul makes free throw 1 of 2
0:10.0,,,61-63,,D. Jones enters the game for S. Hawes
0:10.0,M. Miller enters the game for S. Marion,,61-63,,
0:10.0,,,61-64,1,C. Paul makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Smith misses 2-pt shot from 21 ft,,61-64,,
11:36.0,,,61-64,,Defensive rebound by M. Barnes
11:16.0,,,61-64,,Turnover by M. Barnes (bad pass; steal by L. James)
11:12.0,L. James makes 2-pt shot at rim,2,63-64,,
10:50.0,,,63-64,,B. Griffin misses 2-pt shot from 10 ft
10:47.0,Defensive rebound by L. James,,63-64,,
10:38.0,L. James misses 2-pt shot from 2 ft,,63-64,,
10:36.0,Offensive rebound by T. Mozgov,,63-64,,
10:34.0,T. Mozgov makes 2-pt shot at rim,2,65-64,,
10:26.0,,,65-64,,Shooting foul by T. Mozgov (drawn by B. Griffin)
10:26.0,,,65-65,1,B. Griffin makes free throw 1 of 2
10:26.0,,,65-65,,B. Griffin misses free throw 2 of 2
10:24.0,,,65-65,,Offensive rebound by B. Griffin
10:19.0,,,65-65,,Turnover by C. Paul (bad pass; steal by L. James)
10:13.0,T. Thompson makes 2-pt shot from 3 ft (assist by J. Smith),2,67-65,,
9:57.0,,,67-67,2,B. Griffin makes 2-pt shot from 20 ft (assist by M. Barnes)
9:35.0,Turnover by L. James (lost ball),,67-67,,
9:29.0,,,67-69,2,C. Paul makes 2-pt shot from 11 ft
9:18.0,K. Irving makes 2-pt shot from 1 ft,2,69-69,,
9:14.0,,,69-69,,Shooting foul by J. Smith (drawn by M. Barnes)
9:14.0,,,69-70,1,M. Barnes makes free throw 1 of 2
9:14.0,,,69-71,1,M. Barnes makes free throw 2 of 2
9:00.0,K. Irving makes 3-pt shot from 24 ft,3,72-71,,
8:45.0,,,72-71,,C. Paul misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by J. Smith,,72-71,,
8:32.0,L. James misses 2-pt shot from 17 ft,,72-71,,
8:31.0,,,72-71,,Defensive rebound by J. Redick
8:24.0,,,72-74,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
8:05.0,J. Smith misses 3-pt shot from 24 ft,,72-74,,
8:04.0,,,72-74,,Defensive rebound by M. Barnes
7:58.0,,,72-74,,Shooting foul by J. Smith (drawn by D. Jordan)
7:58.0,,,72-74,,D. Jordan misses free throw 1 of 2
7:58.0,,,72-74,,Offensive rebound by Team
7:58.0,,,72-74,,D. Jordan misses free throw 2 of 2
7:57.0,,,72-74,,Offensive rebound by B. Griffin
7:53.0,,,72-74,,M. Barnes misses 3-pt shot from 25 ft
7:53.0,,,72-74,,Offensive rebound by Team
7:53.0,Loose ball foul by T. Mozgov (drawn by B. Griffin),,72-74,,
7:53.0,S. Marion enters the game for T. Mozgov,,72-74,,
7:33.0,,,72-74,,B. Griffin misses 2-pt shot from 20 ft
7:30.0,,,72-74,,Offensive rebound by D. Jordan
7:30.0,,,72-76,2,D. Jordan makes 2-pt shot at rim
7:10.0,S. Marion misses 2-pt shot from 1 ft,,72-76,,
7:08.0,Offensive rebound by S. Marion,,72-76,,
7:08.0,S. Marion misses 2-pt shot from 1 ft,,72-76,,
7:05.0,,,72-76,,Defensive rebound by B. Griffin
7:00.0,,,72-78,2,B. Griffin makes 2-pt shot from 1 ft
6:34.0,L. James misses 3-pt shot from 23 ft,,72-78,,
6:32.0,,,72-78,,Defensive rebound by M. Barnes
6:31.0,,,72-78,,Shooting foul by K. Irving (drawn by D. Jordan)
6:31.0,,,72-79,1,D. Jordan makes free throw 1 of 2
6:31.0,,,72-79,,D. Jordan misses free throw 2 of 2
6:27.0,,,72-79,,Offensive rebound by C. Paul
6:17.0,,,72-79,,M. Barnes misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by Team,,72-79,,
6:00.0,,,72-79,,Personal foul by C. Paul (drawn by K. Irving)
5:51.0,L. James makes 2-pt shot from 2 ft (assist by J. Smith),2,74-79,,
5:45.0,,,74-81,2,B. Griffin makes 2-pt shot from 1 ft
5:45.0,,,74-81,,Shooting foul by S. Marion (drawn by B. Griffin)
5:45.0,,,74-81,,LA Clippers full timeout
5:45.0,M. Miller enters the game for S. Marion,,74-81,,
5:45.0,,,74-82,1,B. Griffin makes free throw 1 of 1
5:32.0,Shooting foul by C. Paul (drawn by T. Thompson),,74-82,,
5:32.0,T. Thompson makes free throw 1 of 2,1,75-82,,
5:32.0,T. Thompson makes free throw 2 of 2,1,76-82,,
5:32.0,Personal take foul by M. Miller (drawn by D. Jordan),,76-82,,
5:32.0,,,76-82,,D. Jordan misses free throw 1 of 2
5:32.0,,,76-82,,Offensive rebound by Team
5:32.0,,,76-83,1,D. Jordan makes free throw 2 of 2
5:12.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,78-83,,
5:08.0,Personal take foul by M. Miller (drawn by D. Jordan),,78-83,,
5:08.0,,,78-84,1,D. Jordan makes free throw 1 of 2
5:08.0,,,78-84,,D. Jordan misses free throw 2 of 2
5:07.0,Defensive rebound by L. James,,78-84,,
4:46.0,M. Miller misses 3-pt shot from 23 ft,,78-84,,
4:44.0,Offensive rebound by Team,,78-84,,
4:30.0,Turnover by L. James (lost ball),,78-84,,
4:29.0,Personal take foul by M. Miller (drawn by D. Jordan),,78-84,,
4:29.0,,,78-84,,D. Jordan misses free throw 1 of 2
4:29.0,,,78-84,,Offensive rebound by Team
4:29.0,,,78-85,1,D. Jordan makes free throw 2 of 2
4:20.0,Turnover by L. James (bad pass; steal by D. Jordan),,78-85,,
4:14.0,Personal take foul by M. Miller (drawn by D. Jordan),,78-85,,
4:14.0,,,78-86,1,D. Jordan makes free throw 1 of 2
4:14.0,,,78-86,,D. Jordan misses free throw 2 of 2
4:12.0,Defensive rebound by L. James,,78-86,,
4:02.0,Shooting foul by B. Griffin (drawn by K. Irving),,78-86,,
4:02.0,K. Irving makes free throw 1 of 2,1,79-86,,
4:02.0,,,79-86,,J. Crawford enters the game for D. Jordan
4:02.0,M. Dellavedova enters the game for M. Miller,,79-86,,
4:02.0,K. Irving makes free throw 2 of 2,1,80-86,,
3:52.0,,,80-88,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
3:32.0,K. Irving misses 2-pt shot from 12 ft,,80-88,,
3:31.0,,,80-88,,Defensive rebound by C. Paul
3:28.0,Personal foul by M. Dellavedova (drawn by C. Paul),,80-88,,
3:28.0,,,80-89,1,C. Paul makes free throw 1 of 2
3:28.0,,,80-89,,C. Paul misses free throw 2 of 2
3:27.0,Defensive rebound by L. James,,80-89,,
3:15.0,Shooting foul by B. Griffin (drawn by L. James),,80-89,,
3:15.0,L. James makes free throw 1 of 2,1,81-89,,
3:15.0,L. James makes free throw 2 of 2,1,82-89,,
3:05.0,,,82-89,,J. Crawford misses 2-pt shot at rim
3:01.0,,,82-89,,Offensive rebound by B. Griffin
3:01.0,,,82-89,,B. Griffin misses 2-pt shot at rim
3:01.0,,,82-89,,Offensive rebound by C. Paul
3:01.0,,,82-89,,LA Clippers full timeout
2:53.0,Personal foul by M. Dellavedova (drawn by J. Crawford),,82-89,,
2:53.0,Cleveland full timeout,,82-89,,
2:53.0,,,82-90,1,J. Crawford makes free throw 1 of 2
2:53.0,,,82-91,1,J. Crawford makes free throw 2 of 2
2:40.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Smith),3,85-91,,
2:24.0,,,85-91,,J. Redick misses 3-pt shot from 25 ft
2:23.0,,,85-91,,Offensive rebound by C. Paul
2:23.0,Personal foul by K. Irving (drawn by C. Paul),,85-91,,
2:23.0,,,85-92,1,C. Paul makes free throw 1 of 2
2:23.0,,,85-92,,A. Rivers enters the game for J. Redick
2:23.0,,,85-93,1,C. Paul makes free throw 2 of 2
2:16.0,K. Irving makes 2-pt shot from 2 ft,2,87-93,,
2:16.0,Shooting foul by J. Crawford (drawn by K. Irving),,87-93,,
2:16.0,S. Marion enters the game for L. James,,87-93,,
2:16.0,K. Irving makes free throw 1 of 1,1,88-93,,
2:06.0,,,88-93,,A. Rivers misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by T. Thompson,,88-93,,
2:01.0,,,88-93,,S. Hawes enters the game for M. Barnes
1:43.0,T. Thompson makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,90-93,,
1:17.0,,,90-93,,C. Paul misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by J. Smith,,90-93,,
0:57.0,S. Marion misses 2-pt shot from 2 ft,,90-93,,
0:56.0,,,90-93,,Defensive rebound by B. Griffin
0:37.0,,,90-93,,J. Crawford misses 3-pt shot from 23 ft
0:36.0,,,90-93,,Offensive rebound by S. Hawes
0:36.0,,,90-95,2,S. Hawes makes 2-pt shot from 1 ft
0:23.0,K. Irving misses 2-pt shot from 2 ft,,90-95,,
0:21.0,Offensive rebound by T. Thompson,,90-95,,
0:18.0,T. Thompson misses 2-pt shot from 11 ft,,90-95,,
0:16.0,Offensive rebound by S. Marion,,90-95,,
0:01.0,K. Irving makes 2-pt shot from 16 ft,2,92-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,92-95,,J. Crawford misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by S. Marion,,92-95,,
11:33.0,Turnover by L. James (bad pass),,92-95,,
11:23.0,,,92-97,2,J. Crawford makes 2-pt shot from 18 ft (assist by D. Jordan)
11:06.0,S. Marion makes 2-pt shot from 11 ft (assist by M. Dellavedova),2,94-97,,
10:48.0,,,94-97,,Turnover by J. Crawford (bad pass; steal by J. Smith)
10:31.0,L. James makes 3-pt shot from 26 ft,3,97-97,,
10:16.0,,,97-97,,J. Crawford misses 2-pt shot from 14 ft
10:14.0,Defensive rebound by T. Mozgov,,97-97,,
9:56.0,L. James misses 2-pt shot from 2 ft,,97-97,,
9:55.0,,,97-97,,Defensive rebound by S. Hawes
9:51.0,,,97-97,,Turnover by S. Hawes (lost ball; steal by L. James)
9:46.0,L. James misses 3-pt shot from 26 ft,,97-97,,
9:45.0,Offensive rebound by S. Marion,,97-97,,
9:45.0,Turnover by L. James (lost ball),,97-97,,
9:38.0,,,97-99,2,J. Crawford makes 2-pt shot from 2 ft
9:38.0,,,97-99,,Shooting foul by M. Dellavedova (drawn by J. Crawford)
9:38.0,K. Irving enters the game for J. Smith,,97-99,,
9:38.0,,,97-100,1,J. Crawford makes free throw 1 of 1
9:27.0,K. Irving makes 3-pt shot from 25 ft,3,100-100,,
9:15.0,,,100-100,,Turnover by A. Rivers (lost ball; steal by K. Irving)
9:13.0,Shooting foul by A. Rivers (drawn by K. Irving),,100-100,,
9:13.0,K. Irving makes free throw 1 of 2,1,101-100,,
9:13.0,K. Irving misses free throw 2 of 2,,101-100,,
9:11.0,Offensive rebound by S. Marion,,101-100,,
9:07.0,Shooting foul by M. Barnes (drawn by L. James),,101-100,,
9:07.0,L. James makes 2-pt shot from 9 ft,2,103-100,,
9:07.0,,,103-100,,C. Paul enters the game for A. Rivers
9:07.0,,,103-100,,B. Griffin enters the game for S. Hawes
9:07.0,L. James makes free throw 1 of 1,1,104-100,,
8:56.0,,,104-100,,J. Crawford misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by L. James,,104-100,,
8:39.0,L. James misses 3-pt shot from 25 ft,,104-100,,
8:38.0,Offensive rebound by S. Marion,,104-100,,
8:36.0,Turnover by S. Marion (lost ball; steal by J. Crawford),,104-100,,
8:31.0,,,104-102,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
8:07.0,K. Irving makes 3-pt shot from 25 ft,3,107-102,,
7:50.0,,,107-102,,B. Griffin misses 2-pt shot from 3 ft
7:49.0,Defensive rebound by L. James,,107-102,,
7:38.0,Turnover by K. Irving (bad pass; steal by C. Paul),,107-102,,
7:35.0,,,107-104,2,M. Barnes makes 2-pt shot at rim
7:35.0,,,107-104,,Shooting foul by M. Dellavedova (drawn by M. Barnes)
7:35.0,Official timeout,,107-104,,
7:35.0,,,107-104,,M. Barnes misses free throw 1 of 1
7:33.0,Defensive rebound by K. Irving,,107-104,,
7:21.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,109-104,,
7:05.0,Personal foul by K. Irving (drawn by C. Paul),,109-104,,
6:51.0,,,109-104,,C. Paul misses 3-pt shot from 26 ft
6:50.0,,,109-104,,Offensive rebound by Team
6:50.0,Loose ball foul by L. James (drawn by D. Jordan),,109-104,,
6:45.0,,,109-104,,J. Crawford misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by S. Marion,,109-104,,
6:30.0,L. James makes 2-pt shot from 20 ft (assist by M. Dellavedova),2,111-104,,
6:29.0,,,111-104,,LA Clippers full timeout
6:15.0,,,111-104,,M. Barnes misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by K. Irving,,111-104,,
6:09.0,Turnover by K. Irving (offensive foul),,111-104,,
6:09.0,Offensive charge foul by K. Irving,,111-104,,
5:56.0,Personal foul by L. James (drawn by B. Griffin),,111-104,,
5:56.0,,,111-105,1,B. Griffin makes free throw 1 of 2
