time,Milwaukee,pts.away,score,pts.home,Detroit
2:52.0,J. Parker misses free throw 2 of 2,,15-27,,
2:51.0,,,15-27,,Defensive rebound by J. Anthony
2:38.0,,,15-27,,Offensive foul by B. Jennings
2:38.0,,,15-27,,Turnover by B. Jennings (offensive foul)
2:38.0,J. Dudley enters the game for J. Parker,,15-27,,
2:38.0,,,15-27,,D. Augustin enters the game for B. Jennings
2:28.0,,,15-27,,Personal foul by J. Anthony (drawn by B. Knight)
2:28.0,B. Knight makes free throw 1 of 2,1,16-27,,
2:28.0,B. Knight makes free throw 2 of 2,1,17-27,,
2:15.0,,,17-27,,Turnover by K. Singler (step out of bounds)
2:03.0,G. Antetokounmpo makes 2-pt shot at rim,2,19-27,,
1:48.0,,,19-27,,Turnover by J. Smith (lost ball; steal by O. Mayo)
1:39.0,J. Dudley misses 3-pt shot from 26 ft,,19-27,,
1:38.0,,,19-27,,Defensive rebound by J. Smith
1:15.0,,,19-27,,D. Augustin misses 2-pt shot from 3 ft (block by J. Henson)
1:15.0,,,19-27,,Offensive rebound by Team
1:14.0,,,19-27,,Turnover by Team (shot clock)
1:01.0,B. Knight misses 2-pt shot from 1 ft (block by J. Anthony),,19-27,,
0:59.0,Offensive rebound by B. Knight,,19-27,,
0:50.0,B. Knight misses 3-pt shot from 25 ft,,19-27,,
0:49.0,,,19-27,,Defensive rebound by K. Singler
0:44.0,,,19-27,,Offensive charge foul by K. Singler
0:44.0,,,19-27,,Turnover by K. Singler (offensive foul)
0:30.0,Offensive charge foul by J. Dudley,,19-27,,
0:30.0,Turnover by J. Dudley (offensive foul),,19-27,,
0:11.0,,,19-27,,D. Augustin misses 3-pt shot from 26 ft
0:10.0,Defensive rebound by O. Mayo,,19-27,,
0:02.0,J. Henson makes 2-pt shot at rim (assist by O. Mayo),2,21-27,,
0:01.0,,,21-27,,D. Augustin misses 3-pt shot from 53 ft
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Dudley makes 2-pt shot from 21 ft (assist by J. Bayless),2,23-27,,
11:32.0,Violation by J. Dudley (kicked ball),,23-27,,
11:19.0,,,23-29,2,J. Jerebko makes 2-pt shot from 5 ft
11:05.0,,,23-29,,Personal foul by J. Jerebko (drawn by G. Antetokounmpo)
10:56.0,O. Mayo misses 3-pt shot from 25 ft,,23-29,,
10:55.0,,,23-29,,Defensive rebound by D. Augustin
10:44.0,,,23-29,,A. Drummond misses 2-pt shot from 5 ft
10:43.0,Defensive rebound by J. Dudley,,23-29,,
10:30.0,O. Mayo misses 2-pt shot from 13 ft,,23-29,,
10:30.0,,,23-29,,Defensive rebound by A. Drummond
10:12.0,,,23-31,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
10:00.0,J. Henson misses 2-pt shot at rim,,23-31,,
9:59.0,Offensive rebound by J. Henson,,23-31,,
9:59.0,Shooting foul by J. Jerebko (drawn by J. Henson),,23-31,,
9:59.0,J. Henson makes free throw 1 of 2,1,24-31,,
9:59.0,J. Henson makes free throw 2 of 2,1,25-31,,
9:40.0,Z. Pachulia enters the game for J. Henson,,25-31,,
9:35.0,,,25-31,,K. Singler misses 2-pt shot from 7 ft
9:33.0,Defensive rebound by G. Antetokounmpo,,25-31,,
9:25.0,O. Mayo misses 2-pt shot from 14 ft,,25-31,,
9:23.0,,,25-31,,Defensive rebound by A. Drummond
9:06.0,,,25-31,,Turnover by J. Jerebko (traveling)
8:49.0,O. Mayo misses 2-pt shot from 1 ft (block by A. Drummond),,25-31,,
8:48.0,Offensive rebound by Z. Pachulia,,25-31,,
8:44.0,J. Dudley makes 3-pt shot from 26 ft (assist by J. Bayless),3,28-31,,
8:19.0,,,28-33,2,A. Drummond makes 2-pt shot from 5 ft
8:09.0,Official timeout,,28-33,,
8:05.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by O. Mayo),2,30-33,,
7:47.0,Def 3 sec tech foul by O. Mayo,,30-33,,
7:47.0,,,30-33,,D. Augustin misses technical free throw
7:47.0,,,30-33,,Offensive rebound by Team
7:33.0,,,30-35,2,D. Augustin makes 2-pt shot from 19 ft
7:08.0,O. Mayo makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,32-35,,
6:56.0,Personal foul by Z. Pachulia (drawn by A. Drummond),,32-35,,
6:46.0,,,32-35,,A. Drummond misses 2-pt shot from 6 ft
6:45.0,Defensive rebound by Z. Pachulia,,32-35,,
6:34.0,,,32-35,,Def 3 sec tech foul by J. Jerebko
6:34.0,O. Mayo makes technical free throw,1,33-35,,
6:34.0,,,33-35,,G. Monroe enters the game for J. Jerebko
6:18.0,O. Mayo misses 3-pt shot from 25 ft,,33-35,,
6:16.0,,,33-35,,Defensive rebound by C. Butler
6:04.0,,,33-35,,Turnover by A. Drummond (lost ball; steal by Z. Pachulia)
6:04.0,,,33-35,,Personal foul by C. Butler (drawn by O. Mayo)
5:54.0,J. Bayless misses 2-pt shot from 21 ft,,33-35,,
5:53.0,,,33-35,,Defensive rebound by A. Drummond
5:42.0,,,33-37,2,K. Singler makes 2-pt shot at rim (assist by G. Monroe)
5:21.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by O. Mayo),2,35-37,,
5:03.0,,,35-37,,Detroit full timeout
5:03.0,,,35-37,,K. Caldwell-Pope enters the game for A. Drummond
5:03.0,,,35-37,,J. Smith enters the game for C. Butler
5:03.0,L. Sanders enters the game for O. Mayo,,35-37,,
5:03.0,B. Knight enters the game for Z. Pachulia,,35-37,,
4:54.0,,,35-37,,J. Smith misses 2-pt shot from 14 ft
4:53.0,,,35-37,,Offensive rebound by G. Monroe
4:36.0,,,35-40,3,D. Augustin makes 3-pt shot from 23 ft (assist by K. Singler)
4:18.0,G. Antetokounmpo misses 2-pt shot at rim,,35-40,,
4:17.0,,,35-40,,Defensive rebound by K. Singler
3:58.0,,,35-40,,J. Smith misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by B. Knight,,35-40,,
3:50.0,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight),3,38-40,,
3:36.0,,,38-40,,Turnover by J. Smith (bad pass; steal by L. Sanders)
3:32.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Augustin),,38-40,,
3:29.0,,,38-40,,Shooting foul by J. Bayless (drawn by D. Augustin)
3:29.0,Technical foul by G. Antetokounmpo,,38-40,,
3:29.0,,,38-41,1,D. Augustin makes technical free throw
3:29.0,,,38-42,1,D. Augustin makes free throw 1 of 2
3:29.0,,,38-42,,B. Jennings enters the game for K. Singler
3:29.0,E. Ilyasova enters the game for G. Antetokounmpo,,38-42,,
3:29.0,,,38-43,1,D. Augustin makes free throw 2 of 2
3:21.0,J. Bayless makes 2-pt shot at rim (assist by B. Knight),2,40-43,,
3:20.0,Violation by Team (delay of game),,40-43,,
2:55.0,,,40-43,,Shooting foul by J. Dudley (drawn by J. Smith)
2:55.0,Milwaukee full timeout,,40-43,,
2:55.0,,,40-43,,C. Butler enters the game for D. Augustin
2:55.0,J. Parker enters the game for J. Dudley,,40-43,,
2:55.0,,,40-43,,J. Smith misses free throw 1 of 2
2:55.0,,,40-43,,Offensive rebound by Team
2:55.0,,,40-43,,J. Smith misses free throw 2 of 2
2:55.0,Defensive rebound by J. Bayless,,40-43,,
2:40.0,J. Bayless makes 2-pt shot from 5 ft (assist by B. Knight),2,42-43,,
2:19.0,,,42-43,,Turnover by G. Monroe (lost ball; steal by L. Sanders)
2:10.0,B. Knight misses 2-pt shot from 4 ft,,42-43,,
2:09.0,,,42-43,,Defensive rebound by G. Monroe
2:05.0,,,42-46,3,C. Butler makes 3-pt shot from 27 ft (assist by B. Jennings)
1:40.0,Turnover by J. Parker (bad pass; steal by C. Butler),,42-46,,
1:38.0,,,42-46,,Shooting foul by J. Bayless (drawn by K. Caldwell-Pope)
1:38.0,,,42-47,1,K. Caldwell-Pope makes free throw 1 of 2
1:38.0,,,42-47,,D. Augustin enters the game for B. Jennings
1:38.0,,,42-47,,J. Anthony enters the game for G. Monroe
1:38.0,,,42-48,1,K. Caldwell-Pope makes free throw 2 of 2
1:20.0,Turnover by B. Knight (traveling),,42-48,,
1:04.0,,,42-48,,Shooting foul by L. Sanders (drawn by D. Augustin)
1:04.0,,,42-49,1,D. Augustin makes free throw 1 of 2
1:04.0,K. Marshall enters the game for J. Bayless,,42-49,,
1:04.0,,,42-49,,D. Augustin misses free throw 2 of 2
1:03.0,Defensive rebound by L. Sanders,,42-49,,
0:55.0,B. Knight makes 2-pt shot from 1 ft,2,44-49,,
0:31.0,,,44-49,,C. Butler misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by B. Knight,,44-49,,
0:09.0,J. Parker misses 2-pt shot from 18 ft,,44-49,,
0:08.0,,,44-49,,Defensive rebound by J. Smith
0:04.0,,,44-51,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Smith)
0:01.0,E. Ilyasova misses 3-pt shot from 26 ft,,44-51,,
0:00.0,Offensive rebound by Team,,44-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Parker misses 2-pt shot from 18 ft,,44-51,,
11:43.0,,,44-51,,Defensive rebound by A. Drummond
11:21.0,,,44-51,,B. Jennings misses 2-pt shot from 6 ft
11:18.0,,,44-51,,Offensive rebound by J. Smith
11:15.0,,,44-53,2,J. Smith makes 2-pt shot from 4 ft
10:51.0,K. Marshall misses 3-pt shot from 26 ft,,44-53,,
10:50.0,,,44-53,,Defensive rebound by K. Caldwell-Pope
10:33.0,,,44-53,,Turnover by G. Monroe (bad pass; steal by J. Parker)
10:31.0,,,44-53,,Personal foul by J. Smith (drawn by J. Parker)
10:21.0,E. Ilyasova misses 2-pt shot from 19 ft,,44-53,,
10:20.0,,,44-53,,Defensive rebound by G. Monroe
10:14.0,,,44-53,,Turnover by J. Smith (lost ball; steal by L. Sanders)
10:01.0,J. Parker makes 2-pt shot at rim,2,46-53,,
9:45.0,,,46-53,,Turnover by G. Monroe (lost ball; steal by J. Parker)
9:39.0,L. Sanders makes 2-pt shot at rim (assist by J. Parker),2,48-53,,
9:24.0,,,48-53,,Detroit full timeout
9:09.0,,,48-56,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Smith)
8:49.0,E. Ilyasova misses 3-pt shot from 24 ft,,48-56,,
8:48.0,,,48-56,,Defensive rebound by A. Drummond
8:36.0,,,48-56,,B. Jennings misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by E. Ilyasova,,48-56,,
8:25.0,Turnover by J. Parker (traveling),,48-56,,
8:02.0,,,48-56,,B. Jennings misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by J. Parker,,48-56,,
7:54.0,J. Parker makes 2-pt shot at rim (assist by K. Marshall),2,50-56,,
7:36.0,,,50-58,2,J. Smith makes 2-pt shot from 18 ft
7:20.0,Offensive charge foul by B. Knight,,50-58,,
7:20.0,Turnover by B. Knight (offensive foul),,50-58,,
6:56.0,,,50-58,,A. Drummond misses 2-pt shot from 6 ft
6:56.0,,,50-58,,Offensive rebound by G. Monroe
6:56.0,,,50-58,,G. Monroe misses 2-pt shot at rim
6:56.0,,,50-58,,Offensive rebound by J. Smith
6:56.0,,,50-58,,Offensive foul by G. Monroe
6:56.0,,,50-58,,Turnover by G. Monroe (offensive foul)
6:35.0,K. Marshall misses 2-pt shot from 3 ft,,50-58,,
6:34.0,Offensive rebound by E. Ilyasova,,50-58,,
6:31.0,E. Ilyasova makes 2-pt shot at rim,2,52-58,,
6:21.0,,,52-58,,Shooting foul by L. Sanders (drawn by A. Drummond)
6:21.0,,,52-58,,A. Drummond misses free throw 1 of 2
6:21.0,,,52-58,,Offensive rebound by Team
6:21.0,,,52-58,,C. Butler enters the game for G. Monroe
6:21.0,Violation by E. Ilyasova (lane),,52-58,,
6:21.0,,,52-59,1,A. Drummond makes free throw 2 of 2
6:07.0,J. Parker misses 2-pt shot from 5 ft,,52-59,,
6:06.0,Offensive rebound by J. Parker,,52-59,,
5:50.0,E. Ilyasova makes 2-pt shot at rim (assist by L. Sanders),2,54-59,,
5:35.0,,,54-61,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Jennings)
5:20.0,K. Marshall makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,57-61,,
5:00.0,,,57-63,2,J. Smith makes 2-pt shot from 5 ft
4:54.0,L. Sanders makes 2-pt shot at rim (assist by K. Marshall),2,59-63,,
4:31.0,,,59-63,,J. Smith misses 2-pt shot from 6 ft
4:30.0,Defensive rebound by B. Knight,,59-63,,
4:20.0,Shooting foul by K. Caldwell-Pope (drawn by B. Knight),,59-63,,
4:20.0,B. Knight makes free throw 1 of 2,1,60-63,,
4:20.0,B. Knight makes free throw 2 of 2,1,61-63,,
3:59.0,,,61-63,,Turnover by C. Butler (lost ball; steal by K. Marshall)
3:53.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Knight),2,63-63,,
3:31.0,,,63-63,,Offensive charge foul by C. Butler
3:31.0,,,63-63,,Turnover by C. Butler (offensive foul)
3:31.0,Z. Pachulia enters the game for L. Sanders,,63-63,,
3:19.0,B. Knight makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,65-63,,
3:04.0,,,65-63,,Shooting foul by E. Ilyasova (drawn by J. Smith)
3:04.0,,,65-63,,J. Smith misses free throw 1 of 2
3:04.0,,,65-63,,Offensive rebound by Team
3:04.0,G. Antetokounmpo enters the game for E. Ilyasova,,65-63,,
3:04.0,,,65-63,,D. Augustin enters the game for K. Caldwell-Pope
3:04.0,,,65-63,,J. Smith misses free throw 2 of 2
3:03.0,Defensive rebound by Z. Pachulia,,65-63,,
2:47.0,B. Knight makes 3-pt shot from 25 ft,3,68-63,,
2:30.0,,,68-66,3,B. Jennings makes 3-pt shot from 22 ft (assist by J. Smith)
2:09.0,J. Parker misses 3-pt shot from 26 ft,,68-66,,
2:08.0,,,68-66,,Defensive rebound by A. Drummond
1:57.0,,,68-69,3,B. Jennings makes 3-pt shot from 26 ft
1:55.0,Milwaukee full timeout,,68-69,,
1:55.0,,,68-69,,J. Jerebko enters the game for J. Smith
1:55.0,O. Mayo enters the game for J. Parker,,68-69,,
1:55.0,J. Dudley enters the game for K. Marshall,,68-69,,
1:40.0,B. Knight makes 2-pt shot from 18 ft,2,70-69,,
1:18.0,,,70-71,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
0:55.0,Turnover by B. Knight (bad pass; steal by J. Jerebko),,70-71,,
0:53.0,Personal foul by O. Mayo (drawn by B. Jennings),,70-71,,
0:53.0,J. Bayless enters the game for B. Knight,,70-71,,
0:36.0,,,70-73,2,J. Jerebko makes 2-pt shot from 1 ft
0:27.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Drummond),,70-73,,
0:27.0,Offensive rebound by Team,,70-73,,
0:17.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by J. Bayless),2,72-73,,
0:04.0,,,72-76,3,B. Jennings makes 3-pt shot from 26 ft
0:01.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,72-76,,
0:00.0,Offensive rebound by Team,,72-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-78,2,G. Monroe makes 2-pt shot at rim
11:20.0,Offensive foul by Z. Pachulia,,72-78,,
11:20.0,Turnover by Z. Pachulia (offensive foul),,72-78,,
11:11.0,,,72-78,,J. Jerebko misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by J. Bayless,,72-78,,
11:06.0,,,72-78,,Personal foul by J. Jerebko (drawn by Z. Pachulia)
10:52.0,J. Bayless makes 2-pt shot from 1 ft,2,74-78,,
10:37.0,,,74-78,,Turnover by D. Augustin (bad pass; steal by Z. Pachulia)
10:23.0,O. Mayo misses 2-pt shot from 7 ft,,74-78,,
10:22.0,,,74-78,,Defensive rebound by C. Butler
10:11.0,,,74-78,,D. Augustin misses 3-pt shot from 24 ft (block by O. Mayo)
10:11.0,,,74-78,,Offensive rebound by Team
10:11.0,,,74-78,,K. Singler enters the game for B. Jennings
9:57.0,,,74-78,,D. Augustin misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by G. Antetokounmpo,,74-78,,
9:52.0,Shooting foul by J. Jerebko (drawn by G. Antetokounmpo),,74-78,,
9:52.0,G. Antetokounmpo misses free throw 1 of 2,,74-78,,
9:52.0,Offensive rebound by Team,,74-78,,
9:52.0,G. Antetokounmpo makes free throw 2 of 2,1,75-78,,
9:27.0,,,75-80,2,G. Monroe makes 2-pt shot from 6 ft
9:04.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless),3,78-80,,
8:37.0,,,78-83,3,C. Butler makes 3-pt shot from 26 ft (assist by J. Jerebko)
8:22.0,Shooting foul by C. Butler (drawn by J. Dudley),,78-83,,
8:22.0,Official timeout,,78-83,,
8:22.0,,,78-83,,J. Smith enters the game for J. Jerebko
8:22.0,J. Dudley misses free throw 1 of 2,,78-83,,
8:22.0,Offensive rebound by Team,,78-83,,
8:22.0,J. Dudley makes free throw 2 of 2,1,79-83,,
8:11.0,,,79-83,,C. Butler misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by Z. Pachulia,,79-83,,
7:53.0,O. Mayo misses 3-pt shot from 26 ft,,79-83,,
7:52.0,,,79-83,,Defensive rebound by G. Monroe
7:34.0,,,79-83,,J. Smith misses 2-pt shot from 17 ft
7:33.0,,,79-83,,Offensive rebound by G. Monroe
7:32.0,,,79-85,2,G. Monroe makes 2-pt shot at rim
7:16.0,J. Bayless misses 3-pt shot from 23 ft (block by K. Singler),,79-85,,
7:15.0,,,79-85,,Defensive rebound by Team
7:15.0,,,79-85,,K. Caldwell-Pope enters the game for K. Singler
6:57.0,,,79-85,,G. Monroe misses 2-pt shot from 4 ft
6:56.0,Defensive rebound by J. Bayless,,79-85,,
6:56.0,,,79-85,,Loose ball foul by G. Monroe (drawn by J. Bayless)
6:56.0,L. Sanders enters the game for Z. Pachulia,,79-85,,
6:47.0,J. Bayless misses 3-pt shot from 26 ft,,79-85,,
6:45.0,,,79-85,,Defensive rebound by K. Caldwell-Pope
6:44.0,,,79-85,,Turnover by D. Augustin (traveling)
6:23.0,J. Bayless misses 3-pt shot from 23 ft,,79-85,,
6:22.0,,,79-85,,Defensive rebound by C. Butler
6:07.0,,,79-87,2,C. Butler makes 2-pt shot at rim (assist by D. Augustin)
5:40.0,Shooting foul by J. Smith (drawn by J. Bayless),,79-87,,
5:40.0,,,79-87,,Detroit full timeout
5:40.0,,,79-87,,B. Jennings enters the game for G. Monroe
5:40.0,,,79-87,,A. Drummond enters the game for D. Augustin
5:40.0,B. Knight enters the game for O. Mayo,,79-87,,
5:40.0,J. Parker enters the game for J. Dudley,,79-87,,
5:40.0,J. Bayless makes free throw 1 of 2,1,80-87,,
5:40.0,J. Bayless makes free throw 2 of 2,1,81-87,,
5:27.0,,,81-87,,J. Smith misses 2-pt shot from 1 ft (block by L. Sanders)
5:25.0,,,81-87,,Offensive rebound by J. Smith
5:21.0,,,81-87,,Shooting foul by J. Parker (drawn by J. Smith)
5:21.0,,,81-87,,J. Smith misses free throw 1 of 2
5:21.0,,,81-87,,Offensive rebound by Team
5:21.0,,,81-88,1,J. Smith makes free throw 2 of 2
5:00.0,G. Antetokounmpo misses 2-pt shot from 11 ft (block by J. Smith),,81-88,,
4:59.0,,,81-88,,Defensive rebound by K. Caldwell-Pope
4:56.0,,,81-90,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings)
4:39.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,83-90,,
4:19.0,,,83-90,,B. Jennings misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by G. Antetokounmpo,,83-90,,
4:10.0,B. Knight misses 2-pt shot from 15 ft,,83-90,,
4:08.0,Offensive rebound by L. Sanders,,83-90,,
4:04.0,L. Sanders misses 2-pt shot at rim,,83-90,,
4:04.0,Offensive rebound by L. Sanders,,83-90,,
4:02.0,Turnover by J. Parker (bad pass; steal by B. Jennings),,83-90,,
4:01.0,Personal foul by L. Sanders (drawn by B. Jennings),,83-90,,
4:01.0,K. Marshall enters the game for J. Bayless,,83-90,,
3:45.0,Personal foul by L. Sanders (drawn by A. Drummond),,83-90,,
3:45.0,Z. Pachulia enters the game for L. Sanders,,83-90,,
3:33.0,,,83-90,,J. Smith misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by G. Antetokounmpo,,83-90,,
3:19.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,85-90,,
2:55.0,,,85-90,,A. Drummond misses 2-pt shot from 3 ft (block by Z. Pachulia)
2:54.0,Defensive rebound by K. Marshall,,85-90,,
2:49.0,J. Parker makes 2-pt shot at rim (assist by K. Marshall),2,87-90,,
2:48.0,,,87-90,,Detroit full timeout
2:48.0,,,87-90,,G. Monroe enters the game for A. Drummond
2:27.0,,,87-93,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
2:13.0,B. Knight misses 2-pt shot from 19 ft,,87-93,,
2:12.0,,,87-93,,Defensive rebound by C. Butler
1:55.0,,,87-93,,B. Jennings misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by J. Parker,,87-93,,
1:49.0,,,87-93,,Personal foul by K. Caldwell-Pope (drawn by G. Antetokounmpo)
1:49.0,G. Antetokounmpo makes free throw 1 of 2,1,88-93,,
1:49.0,J. Bayless enters the game for K. Marshall,,88-93,,
1:49.0,G. Antetokounmpo makes free throw 2 of 2,1,89-93,,
