time,Houston,pts.away,score,pts.home,Brooklyn
8:49.0,,,44-37,2,B. Lopez makes 2-pt shot from 20 ft
8:31.0,J. Terry misses 3-pt shot from 22 ft,,44-37,,
8:30.0,,,44-37,,Defensive rebound by B. Lopez
8:16.0,,,44-37,,Turnover by D. Morris (bad pass; steal by D. Howard)
8:13.0,Shooting foul by B. Lopez (drawn by J. Smith),,44-37,,
8:13.0,J. Smith makes free throw 1 of 2,1,45-37,,
8:13.0,,,45-37,,J. Jack enters the game for D. Morris
8:13.0,,,45-37,,M. Plumlee enters the game for B. Lopez
8:13.0,,,45-37,,J. Johnson enters the game for A. Anderson
8:13.0,D. Motiejunas enters the game for D. Howard,,45-37,,
8:13.0,J. Smith misses free throw 2 of 2,,45-37,,
8:12.0,,,45-37,,Defensive rebound by C. Jefferson
8:03.0,Personal foul by J. Terry (drawn by B. Bogdanovic),,45-37,,
8:03.0,P. Beverley enters the game for J. Terry,,45-37,,
7:53.0,,,45-37,,Turnover by J. Johnson (lost ball)
7:37.0,J. Smith misses 2-pt shot from 3 ft,,45-37,,
7:36.0,,,45-37,,Defensive rebound by M. Plumlee
7:30.0,,,45-37,,C. Jefferson misses 2-pt shot at rim (block by J. Smith)
7:28.0,,,45-37,,Offensive rebound by J. Johnson
7:23.0,,,45-37,,Turnover by J. Jack (bad pass)
7:07.0,J. Smith makes 2-pt shot from 11 ft,2,47-37,,
6:50.0,,,47-37,,C. Jefferson misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by D. Motiejunas,,47-37,,
6:32.0,P. Beverley misses 3-pt shot from 26 ft,,47-37,,
6:31.0,Offensive rebound by D. Motiejunas,,47-37,,
6:19.0,C. Brewer misses 3-pt shot from 24 ft,,47-37,,
6:18.0,,,47-37,,Defensive rebound by J. Johnson
6:12.0,,,47-39,2,B. Bogdanovic makes 2-pt shot from 1 ft
5:59.0,J. Smith misses 2-pt shot from 5 ft,,47-39,,
5:58.0,,,47-39,,Defensive rebound by B. Bogdanovic
5:54.0,,,47-41,2,B. Bogdanovic makes 2-pt shot from 2 ft
5:47.0,Houston full timeout,,47-41,,
5:47.0,D. Howard enters the game for J. Smith,,47-41,,
