time,LA Lakers,pts.away,score,pts.home,Boston
11:29.0,,,48-56,,Turnover by J. Green (offensive foul)
11:16.0,J. Hill makes 2-pt shot from 2 ft (assist by J. Lin),2,50-56,,
11:04.0,,,50-59,3,J. Green makes 3-pt shot from 24 ft (assist by T. Zeller)
10:52.0,J. Lin misses 2-pt shot from 17 ft,,50-59,,
10:50.0,,,50-59,,Defensive rebound by R. Rondo
10:46.0,,,50-59,,Shooting foul by J. Lin (drawn by T. Zeller)
10:46.0,,,50-60,1,T. Zeller makes free throw 1 of 2
10:46.0,,,50-61,1,T. Zeller makes free throw 2 of 2
10:33.0,,,50-61,,Def 3 sec tech foul by T. Zeller
10:33.0,K. Bryant makes technical free throw,1,51-61,,
10:21.0,K. Bryant misses 2-pt shot from 17 ft,,51-61,,
10:20.0,,,51-61,,Defensive rebound by T. Zeller
10:11.0,,,51-61,,Turnover by J. Sullinger (step out of bounds)
10:00.0,C. Boozer misses 2-pt shot from 17 ft,,51-61,,
9:59.0,,,51-61,,Defensive rebound by J. Green
9:50.0,,,51-61,,J. Sullinger misses 2-pt shot from 4 ft
9:49.0,Defensive rebound by J. Hill,,51-61,,
9:38.0,W. Johnson misses 3-pt shot from 22 ft,,51-61,,
9:36.0,,,51-61,,Defensive rebound by R. Rondo
9:31.0,,,51-63,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
9:15.0,Turnover by W. Johnson (bad pass; steal by J. Sullinger),,51-63,,
8:57.0,,,51-63,,R. Rondo misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by C. Boozer,,51-63,,
8:44.0,K. Bryant makes 2-pt shot from 17 ft,2,53-63,,
8:30.0,,,53-63,,A. Bradley misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by C. Boozer,,53-63,,
8:21.0,J. Lin makes 2-pt shot from 2 ft (assist by K. Bryant),2,55-63,,
8:05.0,,,55-63,,R. Rondo misses 2-pt shot from 12 ft
8:03.0,Defensive rebound by C. Boozer,,55-63,,
7:59.0,J. Lin makes 2-pt shot from 2 ft,2,57-63,,
7:59.0,,,57-63,,Boston full timeout
7:38.0,,,57-63,,R. Rondo misses 2-pt shot from 17 ft
7:36.0,,,57-63,,Offensive rebound by Team
7:33.0,,,57-65,2,J. Sullinger makes 2-pt shot from 15 ft (assist by R. Rondo)
7:10.0,K. Bryant misses 2-pt shot from 14 ft,,57-65,,
7:09.0,,,57-65,,Defensive rebound by J. Sullinger
6:50.0,,,57-67,2,T. Zeller makes 2-pt shot from 14 ft (assist by R. Rondo)
6:37.0,J. Lin makes 3-pt shot from 25 ft,3,60-67,,
6:22.0,,,60-67,,A. Bradley misses 2-pt shot from 19 ft
6:21.0,Defensive rebound by K. Bryant,,60-67,,
6:11.0,K. Bryant misses 2-pt shot from 4 ft,,60-67,,
6:10.0,,,60-67,,Defensive rebound by J. Sullinger
6:02.0,,,60-70,3,J. Sullinger makes 3-pt shot from 24 ft (assist by R. Rondo)
5:50.0,Offensive charge foul by C. Boozer,,60-70,,
5:50.0,Turnover by C. Boozer (offensive foul),,60-70,,
5:50.0,,,60-70,,E. Turner enters the game for J. Green
5:50.0,E. Davis enters the game for C. Boozer,,60-70,,
5:37.0,,,60-70,,J. Sullinger misses 2-pt shot from 4 ft
5:36.0,,,60-70,,Offensive rebound by J. Sullinger
5:35.0,,,60-70,,Shooting foul by J. Hill (drawn by J. Sullinger)
5:35.0,,,60-71,1,J. Sullinger makes free throw 1 of 2
5:35.0,,,60-72,1,J. Sullinger makes free throw 2 of 2
5:28.0,Turnover by J. Lin (discontinued dribble),,60-72,,
5:10.0,,,60-72,,Shooting foul by J. Lin (drawn by J. Sullinger)
5:10.0,,,60-72,,J. Sullinger misses free throw 1 of 2
5:10.0,,,60-72,,Offensive rebound by Team
5:10.0,,,60-72,,J. Sullinger misses free throw 2 of 2
5:10.0,Defensive rebound by K. Bryant,,60-72,,
4:52.0,Turnover by J. Hill (bad pass; steal by E. Turner),,60-72,,
4:47.0,,,60-74,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
4:29.0,W. Johnson misses 3-pt shot from 22 ft,,60-74,,
4:28.0,,,60-74,,Defensive rebound by R. Rondo
4:18.0,,,60-74,,A. Bradley misses 3-pt shot from 24 ft
4:17.0,,,60-74,,Offensive rebound by J. Sullinger
4:16.0,Violation by E. Davis (def goaltending),,60-74,,
4:16.0,,,60-76,2,J. Sullinger makes 2-pt shot at rim
4:16.0,LA Lakers full timeout,,60-76,,
4:16.0,,,60-76,,B. Bass enters the game for J. Sullinger
4:16.0,,,60-76,,K. Olynyk enters the game for T. Zeller
4:16.0,R. Sacre enters the game for J. Hill,,60-76,,
4:16.0,N. Young enters the game for W. Johnson,,60-76,,
4:00.0,K. Bryant makes 2-pt shot at rim,2,62-76,,
3:44.0,,,62-76,,R. Rondo misses 2-pt shot from 7 ft
3:43.0,Defensive rebound by E. Davis,,62-76,,
3:35.0,K. Bryant misses 3-pt shot from 25 ft,,62-76,,
3:33.0,,,62-76,,Defensive rebound by Team
3:25.0,,,62-76,,A. Bradley misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by Team,,62-76,,
3:24.0,,,62-76,,Loose ball foul by K. Olynyk (drawn by R. Sacre)
3:24.0,R. Price enters the game for J. Lin,,62-76,,
3:12.0,K. Bryant makes 2-pt shot from 8 ft,2,64-76,,
2:47.0,,,64-78,2,B. Bass makes 2-pt shot from 5 ft
2:29.0,K. Bryant makes 2-pt shot from 2 ft,2,66-78,,
2:20.0,,,66-81,3,A. Bradley makes 3-pt shot from 22 ft (assist by R. Rondo)
2:02.0,R. Sacre misses 2-pt shot from 8 ft,,66-81,,
2:02.0,,,66-81,,Defensive rebound by B. Bass
1:53.0,,,66-81,,A. Bradley misses 2-pt shot from 3 ft
1:49.0,,,66-81,,Offensive rebound by R. Rondo
1:43.0,,,66-81,,R. Rondo misses 2-pt shot from 18 ft
1:42.0,Defensive rebound by E. Davis,,66-81,,
1:33.0,N. Young misses 2-pt shot from 7 ft,,66-81,,
1:32.0,,,66-81,,Defensive rebound by R. Rondo
1:27.0,,,66-83,2,A. Bradley makes 2-pt shot from 18 ft (assist by R. Rondo)
1:10.0,,,66-83,,Personal block foul by E. Turner (drawn by K. Bryant)
1:10.0,,,66-83,,P. Pressey enters the game for R. Rondo
1:10.0,,,66-83,,J. Green enters the game for A. Bradley
1:10.0,W. Ellington enters the game for K. Bryant,,66-83,,
1:00.0,W. Ellington makes 2-pt shot from 13 ft (assist by R. Price),2,68-83,,
0:50.0,,,68-85,2,J. Green makes 2-pt shot from 7 ft
0:35.0,N. Young misses 3-pt shot from 24 ft,,68-85,,
0:33.0,Offensive rebound by E. Davis,,68-85,,
0:33.0,,,68-85,,Personal foul by K. Olynyk (drawn by E. Davis)
0:33.0,E. Davis misses free throw 1 of 2,,68-85,,
0:33.0,Offensive rebound by Team,,68-85,,
0:33.0,E. Davis misses free throw 2 of 2,,68-85,,
0:33.0,,,68-85,,Defensive rebound by K. Olynyk
0:20.0,,,68-85,,Shooting foul by R. Sacre (drawn by J. Green)
0:20.0,,,68-85,,J. Green misses free throw 1 of 2
0:20.0,,,68-85,,Offensive rebound by Team
0:20.0,,,68-86,1,J. Green makes free throw 2 of 2
0:04.0,Shooting foul by J. Green (drawn by N. Young),,68-86,,
0:04.0,N. Young makes free throw 1 of 3,1,69-86,,
0:04.0,N. Young makes free throw 2 of 3,1,70-86,,
0:04.0,,,70-86,,J. Sullinger enters the game for P. Pressey
0:04.0,,,70-86,,G. Wallace enters the game for B. Bass
0:04.0,N. Young misses free throw 3 of 3,,70-86,,
0:04.0,,,70-86,,Defensive rebound by K. Olynyk
0:00.0,,,70-86,,G. Wallace misses 3-pt shot from 54 ft
0:00.0,,,70-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,70-86,,Personal foul by J. Green (drawn by N. Young)
11:46.0,Shooting foul by B. Bass (drawn by N. Young),,70-86,,
11:46.0,N. Young makes free throw 1 of 2,1,71-86,,
11:46.0,N. Young makes free throw 2 of 2,1,72-86,,
11:30.0,,,72-86,,Turnover by J. Green (traveling)
11:16.0,W. Ellington misses 2-pt shot from 19 ft,,72-86,,
11:15.0,,,72-86,,Defensive rebound by J. Green
11:13.0,,,72-86,,Turnover by J. Green (bad pass)
10:52.0,N. Young makes 2-pt shot from 2 ft,2,74-86,,
10:46.0,,,74-86,,Turnover by P. Pressey (bad pass)
10:30.0,R. Sacre misses 2-pt shot from 10 ft,,74-86,,
10:30.0,,,74-86,,Defensive rebound by Team
10:30.0,Loose ball foul by E. Davis (drawn by K. Olynyk),,74-86,,
10:21.0,,,74-86,,Shooting foul by R. Sacre (drawn by K. Olynyk)
10:21.0,,,74-87,1,K. Olynyk makes free throw 1 of 2
10:21.0,,,74-87,,K. Olynyk misses free throw 2 of 2
10:20.0,Defensive rebound by R. Sacre,,74-87,,
10:09.0,W. Ellington makes 2-pt shot from 18 ft,2,76-87,,
9:51.0,,,76-87,,P. Pressey misses 2-pt shot from 20 ft
9:49.0,Defensive rebound by E. Davis,,76-87,,
9:36.0,N. Young misses 3-pt shot from 24 ft,,76-87,,
9:35.0,,,76-87,,Defensive rebound by K. Olynyk
9:29.0,,,76-89,2,B. Bass makes 2-pt shot from 1 ft (assist by K. Olynyk)
9:29.0,,,76-89,,Shooting foul by R. Sacre (drawn by B. Bass)
9:29.0,,,76-90,1,B. Bass makes free throw 1 of 1
9:18.0,R. Price makes 2-pt shot from 9 ft,2,78-90,,
9:10.0,,,78-90,,Turnover by J. Green (traveling)
8:52.0,R. Price misses 2-pt shot from 18 ft,,78-90,,
8:51.0,,,78-90,,Defensive rebound by E. Turner
8:44.0,,,78-92,2,E. Turner makes 2-pt shot from 4 ft
8:40.0,Official timeout,,78-92,,
8:40.0,,,78-92,,J. Sullinger enters the game for K. Olynyk
8:40.0,,,78-92,,A. Bradley enters the game for J. Green
8:24.0,R. Sacre makes 2-pt shot from 12 ft (assist by W. Ellington),2,80-92,,
8:08.0,,,80-92,,A. Bradley misses 2-pt shot from 1 ft
8:06.0,,,80-92,,Offensive rebound by A. Bradley
7:53.0,,,80-92,,E. Turner misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by W. Ellington,,80-92,,
7:49.0,N. Young makes 2-pt shot at rim (assist by W. Ellington),2,82-92,,
7:49.0,Shooting foul by B. Bass (drawn by N. Young),,82-92,,
7:49.0,,,82-92,,R. Rondo enters the game for P. Pressey
7:49.0,,,82-92,,T. Zeller enters the game for B. Bass
7:49.0,N. Young makes free throw 1 of 1,1,83-92,,
7:39.0,Personal foul by N. Young (drawn by A. Bradley),,83-92,,
7:26.0,,,83-94,2,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner)
7:08.0,R. Sacre misses 2-pt shot from 5 ft,,83-94,,
7:08.0,,,83-94,,Defensive rebound by T. Zeller
6:55.0,,,83-94,,A. Bradley misses 2-pt shot from 17 ft
6:55.0,,,83-94,,Offensive rebound by Team
6:55.0,Loose ball foul by N. Young (drawn by J. Sullinger),,83-94,,
6:55.0,K. Bryant enters the game for W. Ellington,,83-94,,
6:55.0,,,83-94,,J. Green enters the game for E. Turner
6:55.0,,,83-95,1,J. Sullinger makes free throw 1 of 2
6:55.0,,,83-96,1,J. Sullinger makes free throw 2 of 2
6:47.0,N. Young misses 2-pt shot at rim,,83-96,,
6:46.0,,,83-96,,Defensive rebound by Team
6:32.0,,,83-98,2,T. Zeller makes 2-pt shot at rim (assist by J. Sullinger)
6:20.0,R. Sacre misses 2-pt shot from 7 ft,,83-98,,
6:20.0,,,83-98,,Defensive rebound by T. Zeller
6:20.0,Personal block foul by R. Price (drawn by T. Zeller),,83-98,,
6:20.0,,,83-99,1,T. Zeller makes free throw 1 of 2
6:20.0,,,83-100,1,T. Zeller makes free throw 2 of 2
6:05.0,,,83-100,,Personal foul by R. Rondo (drawn by N. Young)
5:58.0,N. Young misses 2-pt shot from 21 ft,,83-100,,
5:56.0,Offensive rebound by R. Sacre,,83-100,,
5:54.0,Turnover by R. Sacre (bad pass; steal by J. Sullinger),,83-100,,
5:48.0,,,83-103,3,A. Bradley makes 3-pt shot from 22 ft (assist by R. Rondo)
5:25.0,K. Bryant misses 2-pt shot from 10 ft,,83-103,,
5:24.0,,,83-103,,Defensive rebound by Team
5:24.0,,,83-103,,Boston full timeout
5:24.0,W. Johnson enters the game for N. Young,,83-103,,
