time,Sacramento,pts.away,score,pts.home,Brooklyn
6:33.0,,,13-14,,Turnover by J. Jack (lost ball; steal by B. McLemore)
6:29.0,D. Collison misses 2-pt shot from 1 ft,,13-14,,
6:28.0,Offensive rebound by R. Gay,,13-14,,
6:27.0,R. Gay makes 2-pt shot from 2 ft,2,15-14,,
6:03.0,,,15-16,2,J. Johnson makes 2-pt shot from 17 ft
5:46.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,17-16,,
5:26.0,,,17-18,2,J. Johnson makes 2-pt shot from 10 ft
5:17.0,,,17-18,,Personal foul by J. Jack (drawn by D. Collison)
5:17.0,,,17-18,,Brooklyn full timeout
5:17.0,,,17-18,,M. Teletovic enters the game for K. Garnett
5:09.0,R. Gay misses 2-pt shot from 11 ft,,17-18,,
5:08.0,Offensive rebound by D. Cousins,,17-18,,
5:05.0,D. Cousins misses 2-pt shot from 1 ft (block by M. Plumlee),,17-18,,
5:04.0,,,17-18,,Defensive rebound by S. Karasev
4:44.0,,,17-18,,Turnover by M. Plumlee (lost ball; steal by D. Cousins)
4:38.0,J. Thompson makes 2-pt shot from 19 ft (assist by D. Collison),2,19-18,,
4:17.0,,,19-18,,Turnover by M. Plumlee (bad pass)
4:17.0,Turnover by D. Collison (bad pass),,19-18,,
4:02.0,,,19-18,,Shooting foul by D. Collison (drawn by J. Jack)
4:02.0,,,19-19,1,J. Jack makes free throw 1 of 2
4:02.0,D. Williams enters the game for J. Thompson,,19-19,,
4:02.0,,,19-20,1,J. Jack makes free throw 2 of 2
3:50.0,R. Gay misses 3-pt shot from 26 ft,,19-20,,
3:49.0,,,19-20,,Defensive rebound by M. Teletovic
3:42.0,,,19-22,2,J. Jack makes 2-pt shot from 4 ft
3:42.0,,,19-22,,Shooting foul by D. Collison (drawn by J. Jack)
3:42.0,R. McCallum enters the game for D. Collison,,19-22,,
3:42.0,,,19-23,1,J. Jack makes free throw 1 of 1
3:20.0,R. Gay misses 2-pt shot from 20 ft,,19-23,,
3:19.0,Offensive rebound by D. Cousins,,19-23,,
3:15.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Cousins),2,21-23,,
3:11.0,,,21-23,,Shooting foul by D. Cousins (drawn by M. Plumlee)
3:11.0,,,21-23,,M. Plumlee misses free throw 1 of 2
3:11.0,,,21-23,,Offensive rebound by Team
3:11.0,,,21-24,1,M. Plumlee makes free throw 2 of 2
2:54.0,Turnover by D. Cousins (bad pass; steal by M. Plumlee),,21-24,,
2:47.0,,,21-24,,J. Johnson misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by B. McLemore,,21-24,,
2:40.0,B. McLemore makes 2-pt shot from 6 ft,2,23-24,,
2:20.0,,,23-24,,M. Teletovic misses 2-pt shot from 2 ft (block by D. Cousins)
2:18.0,,,23-24,,Offensive rebound by J. Jack
2:14.0,,,23-24,,Turnover by M. Plumlee (lost ball; steal by D. Williams)
2:03.0,B. McLemore makes 3-pt shot from 26 ft (assist by D. Cousins),3,26-24,,
1:46.0,,,26-24,,Offensive foul by M. Teletovic
1:46.0,,,26-24,,Turnover by M. Teletovic (offensive foul)
1:46.0,Sacramento full timeout,,26-24,,
1:46.0,,,26-24,,A. Anderson enters the game for J. Johnson
1:46.0,R. Evans enters the game for D. Cousins,,26-24,,
1:32.0,Shooting foul by A. Anderson (drawn by R. Gay),,26-24,,
1:32.0,R. Gay makes free throw 1 of 2,1,27-24,,
1:32.0,R. Gay makes free throw 2 of 2,1,28-24,,
1:19.0,,,28-24,,Turnover by M. Teletovic (bad pass)
1:19.0,N. Stauskas enters the game for B. McLemore,,28-24,,
1:08.0,R. Gay misses 2-pt shot from 18 ft,,28-24,,
1:07.0,,,28-24,,Defensive rebound by M. Teletovic
0:58.0,,,28-24,,J. Jack misses 2-pt shot from 13 ft
0:57.0,Defensive rebound by R. McCallum,,28-24,,
0:54.0,D. Williams misses 2-pt shot from 1 ft,,28-24,,
0:53.0,,,28-24,,Defensive rebound by S. Karasev
0:46.0,,,28-27,3,A. Anderson makes 3-pt shot from 26 ft (assist by S. Karasev)
0:31.0,,,28-27,,D. Williams enters the game for J. Jack
0:31.0,,,28-27,,B. Lopez enters the game for M. Plumlee
0:31.0,O. Casspi enters the game for R. Gay,,28-27,,
0:23.0,Turnover by D. Williams (step out of bounds),,28-27,,
0:02.0,,,28-27,,A. Anderson misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by R. McCallum,,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,R. McCallum misses 2-pt shot from 21 ft,,28-27,,
11:39.0,,,28-27,,Defensive rebound by B. Lopez
11:24.0,,,28-27,,M. Teletovic misses 3-pt shot from 26 ft
11:23.0,,,28-27,,Offensive rebound by B. Bogdanovic
10:59.0,,,28-30,3,M. Teletovic makes 3-pt shot from 22 ft (assist by A. Anderson)
10:40.0,O. Casspi misses 2-pt shot from 3 ft,,28-30,,
10:38.0,,,28-30,,Defensive rebound by B. Lopez
10:25.0,,,28-30,,M. Teletovic misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by R. Evans,,28-30,,
10:18.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. McCallum),3,31-30,,
10:05.0,,,31-30,,D. Williams misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by R. Evans,,31-30,,
9:47.0,Turnover by N. Stauskas (bad pass; steal by A. Anderson),,31-30,,
9:44.0,,,31-30,,Shooting foul by N. Stauskas (drawn by A. Anderson)
9:44.0,,,31-31,1,A. Anderson makes free throw 1 of 2
9:44.0,,,31-31,,A. Anderson misses free throw 2 of 2
9:43.0,Defensive rebound by R. McCallum,,31-31,,
9:26.0,R. Evans misses 2-pt shot from 2 ft,,31-31,,
9:25.0,Offensive rebound by R. Evans,,31-31,,
9:23.0,D. Williams misses 3-pt shot from 22 ft,,31-31,,
9:22.0,,,31-31,,Defensive rebound by A. Anderson
9:09.0,,,31-31,,Turnover by M. Teletovic (step out of bounds)
8:51.0,R. McCallum misses 3-pt shot from 23 ft,,31-31,,
8:50.0,,,31-31,,Defensive rebound by B. Lopez
8:50.0,Official timeout,,31-31,,
8:49.0,Jump ball: R. Evans vs. B. Lopez (B. Bogdanovic gains possession),,,,Jump ball: R. Evans vs. B. Lopez (B. Bogdanovic gains possession)
8:37.0,,,31-33,2,B. Bogdanovic makes 2-pt shot from 7 ft
8:25.0,Turnover by R. McCallum (palming),,31-33,,
8:18.0,,,31-33,,M. Teletovic misses 3-pt shot from 24 ft
8:17.0,,,31-33,,Offensive rebound by B. Lopez
8:16.0,,,31-33,,B. Lopez misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by R. McCallum,,31-33,,
8:11.0,R. Evans misses 2-pt shot at rim (block by M. Teletovic),,31-33,,
8:10.0,,,31-33,,Defensive rebound by B. Lopez
8:05.0,,,31-35,2,M. Teletovic makes 2-pt shot from 1 ft
7:47.0,N. Stauskas misses 2-pt shot from 17 ft,,31-35,,
7:47.0,,,31-35,,Defensive rebound by B. Bogdanovic
7:42.0,Personal foul by R. Evans (drawn by B. Lopez),,31-35,,
7:42.0,D. Collison enters the game for R. McCallum,,31-35,,
7:42.0,D. Cousins enters the game for R. Evans,,31-35,,
7:42.0,R. Gay enters the game for D. Williams,,31-35,,
7:32.0,,,31-35,,B. Lopez misses 2-pt shot from 9 ft
7:31.0,Defensive rebound by O. Casspi,,31-35,,
7:22.0,Shooting foul by B. Lopez (drawn by D. Cousins),,31-35,,
7:22.0,D. Cousins makes free throw 1 of 2,1,32-35,,
7:22.0,D. Cousins makes free throw 2 of 2,1,33-35,,
7:13.0,,,33-37,2,D. Williams makes 2-pt shot from 7 ft
6:57.0,R. Gay makes 2-pt shot from 6 ft,2,35-37,,
6:46.0,Shooting block foul by D. Collison (drawn by D. Williams),,35-37,,
6:46.0,,,35-38,1,D. Williams makes free throw 1 of 2
6:46.0,R. McCallum enters the game for D. Collison,,35-38,,
6:46.0,,,35-39,1,D. Williams makes free throw 2 of 2
6:32.0,D. Cousins misses 2-pt shot from 19 ft,,35-39,,
6:30.0,,,35-39,,Defensive rebound by M. Teletovic
6:19.0,,,35-41,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by A. Anderson)
5:55.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay),2,37-41,,
5:40.0,,,37-41,,B. Bogdanovic misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by R. Gay,,37-41,,
5:31.0,R. Gay misses 2-pt shot from 11 ft,,37-41,,
5:30.0,Offensive rebound by R. Gay,,37-41,,
5:29.0,R. Gay misses 2-pt shot from 2 ft,,37-41,,
5:28.0,Offensive rebound by R. Gay,,37-41,,
5:27.0,R. Gay makes 2-pt shot from 1 ft,2,39-41,,
5:22.0,,,39-41,,Brooklyn full timeout
5:22.0,B. McLemore enters the game for N. Stauskas,,39-41,,
5:22.0,,,39-41,,J. Johnson enters the game for B. Bogdanovic
5:09.0,,,39-43,2,B. Lopez makes 2-pt shot from 14 ft
4:48.0,R. Gay makes 2-pt shot from 13 ft (assist by D. Cousins),2,41-43,,
4:34.0,,,41-45,2,B. Lopez makes 2-pt shot from 2 ft
4:34.0,,,41-45,,Shooting foul by D. Cousins (drawn by B. Lopez)
4:34.0,J. Thompson enters the game for O. Casspi,,41-45,,
4:34.0,,,41-45,,J. Jack enters the game for D. Williams
4:34.0,,,41-45,,M. Plumlee enters the game for M. Teletovic
4:34.0,,,41-46,1,B. Lopez makes free throw 1 of 1
4:20.0,D. Cousins makes 2-pt shot from 5 ft,2,43-46,,
4:20.0,Shooting foul by B. Lopez (drawn by D. Cousins),,43-46,,
4:20.0,,,43-46,,K. Garnett enters the game for B. Lopez
4:20.0,D. Cousins makes free throw 1 of 1,1,44-46,,
3:59.0,,,44-48,2,M. Plumlee makes 2-pt shot from 2 ft
3:46.0,Offensive foul by J. Thompson,,44-48,,
3:46.0,Turnover by J. Thompson (offensive foul),,44-48,,
3:32.0,Personal foul by B. McLemore (drawn by A. Anderson),,44-48,,
3:32.0,,,44-49,1,A. Anderson makes free throw 1 of 2
3:32.0,,,44-50,1,A. Anderson makes free throw 2 of 2
3:08.0,R. McCallum misses 3-pt shot from 22 ft,,44-50,,
3:07.0,,,44-50,,Defensive rebound by K. Garnett
2:55.0,,,44-50,,J. Jack misses 2-pt shot from 20 ft
2:53.0,,,44-50,,Offensive rebound by A. Anderson
2:30.0,,,44-50,,J. Johnson misses 2-pt shot from 17 ft
2:29.0,Defensive rebound by R. Gay,,44-50,,
2:21.0,Turnover by R. Gay (lost ball; steal by J. Johnson),,44-50,,
2:15.0,,,44-53,3,J. Jack makes 3-pt shot from 22 ft (assist by M. Plumlee)
2:06.0,Sacramento full timeout,,44-53,,
2:06.0,C. Landry enters the game for J. Thompson,,44-53,,
2:06.0,R. Evans enters the game for D. Cousins,,44-53,,
1:48.0,R. McCallum misses 2-pt shot from 11 ft,,44-53,,
1:47.0,Offensive rebound by R. Evans,,44-53,,
1:42.0,Turnover by R. Evans (lost ball; steal by K. Garnett),,44-53,,
1:27.0,,,44-55,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
1:06.0,B. McLemore misses 2-pt shot from 21 ft,,44-55,,
1:05.0,,,44-55,,Defensive rebound by K. Garnett
0:53.0,,,44-55,,K. Garnett misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by R. Evans,,44-55,,
0:43.0,Turnover by R. Evans (bad pass; steal by M. Plumlee),,44-55,,
0:33.0,,,44-57,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
0:15.0,B. McLemore misses 3-pt shot from 23 ft,,44-57,,
0:13.0,Offensive rebound by Team,,44-57,,
0:13.0,Sacramento full timeout,,44-57,,
0:13.0,N. Stauskas enters the game for R. Evans,,44-57,,
0:02.0,Turnover by R. McCallum (lost ball; steal by J. Jack),,44-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,44-57,,Personal foul by J. Jack (drawn by D. Cousins)
11:52.0,,,44-57,,Inbound foul by K. Garnett
11:52.0,D. Cousins makes free throw 1 of 2,1,45-57,,
11:52.0,D. Cousins makes free throw 2 of 2,1,46-57,,
11:39.0,,,46-57,,Turnover by J. Jack (bad pass; steal by R. Gay)
11:35.0,R. Gay makes 2-pt shot at rim,2,48-57,,
11:10.0,,,48-57,,K. Garnett misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by R. Gay,,48-57,,
10:59.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. Gay),3,51-57,,
10:44.0,,,51-57,,Shooting foul by J. Thompson (drawn by S. Karasev)
10:44.0,,,51-57,,S. Karasev misses free throw 1 of 2
10:44.0,,,51-57,,Offensive rebound by Team
10:44.0,,,51-58,1,S. Karasev makes free throw 2 of 2
10:31.0,,,51-58,,Personal foul by K. Garnett (drawn by D. Cousins)
10:21.0,Turnover by B. McLemore (bad pass; steal by K. Garnett),,51-58,,
10:15.0,,,51-58,,J. Jack misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by D. Cousins,,51-58,,
10:08.0,Turnover by D. Cousins (bad pass; steal by S. Karasev),,51-58,,
9:54.0,,,51-60,2,J. Johnson makes 2-pt shot from 6 ft
9:44.0,D. Collison makes 3-pt shot from 24 ft,3,54-60,,
9:22.0,,,54-60,,J. Johnson misses 3-pt shot from 25 ft
9:21.0,,,54-60,,Offensive rebound by M. Plumlee
9:20.0,,,54-60,,Shooting foul by J. Thompson (drawn by M. Plumlee)
9:20.0,,,54-61,1,M. Plumlee makes free throw 1 of 2
9:20.0,R. Hollins enters the game for J. Thompson,,54-61,,
9:20.0,,,54-62,1,M. Plumlee makes free throw 2 of 2
9:11.0,D. Collison makes 2-pt shot from 1 ft,2,56-62,,
8:55.0,,,56-62,,K. Garnett misses 2-pt shot from 2 ft (block by R. Hollins)
8:53.0,,,56-62,,Offensive rebound by S. Karasev
8:51.0,,,56-62,,S. Karasev misses 2-pt shot from 9 ft
8:50.0,,,56-62,,Offensive rebound by S. Karasev
8:31.0,,,56-64,2,J. Johnson makes 2-pt shot from 6 ft
8:06.0,B. McLemore misses 3-pt shot from 25 ft,,56-64,,
8:05.0,,,56-64,,Defensive rebound by K. Garnett
8:00.0,,,56-64,,Turnover by S. Karasev (bad pass; steal by R. Gay)
7:50.0,R. Gay misses 2-pt shot from 5 ft,,56-64,,
7:49.0,,,56-64,,Defensive rebound by K. Garnett
7:41.0,,,56-64,,S. Karasev misses 3-pt shot from 23 ft
7:40.0,,,56-64,,Offensive rebound by K. Garnett
7:38.0,,,56-67,3,S. Karasev makes 3-pt shot from 24 ft (assist by K. Garnett)
7:30.0,Sacramento full timeout,,56-67,,
7:20.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Gay),2,58-67,,
7:03.0,Shooting block foul by D. Cousins (drawn by S. Karasev),,58-67,,
7:03.0,,,58-67,,S. Karasev misses free throw 1 of 2
7:03.0,,,58-67,,Offensive rebound by Team
7:03.0,,,58-68,1,S. Karasev makes free throw 2 of 2
6:43.0,Turnover by D. Cousins (bad pass),,58-68,,
6:25.0,,,58-68,,J. Johnson misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by D. Cousins,,58-68,,
6:18.0,Turnover by R. Hollins (3 sec),,58-68,,
6:05.0,,,58-68,,K. Garnett misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by D. Cousins,,58-68,,
5:59.0,Turnover by D. Collison (lost ball; steal by M. Plumlee),,58-68,,
5:51.0,Violation by R. Gay (kicked ball),,58-68,,
5:36.0,,,58-70,2,K. Garnett makes 2-pt shot from 17 ft (assist by J. Johnson)
5:19.0,C. Landry enters the game for D. Cousins,,58-70,,
5:19.0,,,58-70,,M. Teletovic enters the game for K. Garnett
5:16.0,Turnover by B. McLemore (bad pass; steal by S. Karasev),,58-70,,
5:15.0,,,58-70,,Shooting foul by R. Gay (drawn by M. Plumlee)
5:15.0,,,58-71,1,M. Plumlee makes free throw 1 of 2
5:15.0,,,58-72,1,M. Plumlee makes free throw 2 of 2
4:55.0,R. Gay misses 2-pt shot from 3 ft,,58-72,,
4:53.0,Offensive rebound by R. Gay,,58-72,,
4:52.0,R. Gay makes 2-pt shot at rim,2,60-72,,
4:29.0,,,60-72,,J. Johnson misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by R. Hollins,,60-72,,
4:23.0,D. Collison makes 2-pt shot from 1 ft (assist by B. McLemore),2,62-72,,
4:09.0,,,62-72,,J. Jack misses 2-pt shot from 9 ft
4:07.0,,,62-72,,Offensive rebound by J. Johnson
4:01.0,,,62-72,,Shooting foul by R. Hollins (drawn by M. Plumlee)
4:01.0,,,62-73,1,M. Plumlee makes free throw 1 of 2
4:01.0,,,62-73,,A. Anderson enters the game for J. Johnson
4:01.0,,,62-74,1,M. Plumlee makes free throw 2 of 2
3:44.0,C. Landry makes 2-pt shot from 16 ft (assist by D. Collison),2,64-74,,
3:29.0,Personal foul by B. McLemore (drawn by M. Plumlee),,64-74,,
3:29.0,,,64-74,,M. Plumlee misses free throw 1 of 2
3:29.0,,,64-74,,Offensive rebound by Team
3:29.0,,,64-75,1,M. Plumlee makes free throw 2 of 2
3:12.0,Jump ball: S. Karasev vs. B. McLemore (D. Collison gains possession),,,,Jump ball: S. Karasev vs. B. McLemore (D. Collison gains possession)
3:08.0,C. Landry makes 2-pt shot from 1 ft (assist by D. Collison),2,66-75,,
2:52.0,,,66-77,2,J. Jack makes 2-pt shot from 19 ft
2:36.0,D. Collison misses 2-pt shot from 18 ft,,66-77,,
2:35.0,,,66-77,,Defensive rebound by M. Teletovic
2:15.0,,,66-77,,Shooting foul by D. Collison (drawn by M. Plumlee)
2:15.0,,,66-77,,Brooklyn full timeout
2:15.0,R. McCallum enters the game for D. Collison,,66-77,,
2:15.0,D. Cousins enters the game for R. Hollins,,66-77,,
2:15.0,,,66-77,,M. Plumlee misses free throw 1 of 2
2:15.0,,,66-77,,Offensive rebound by Team
2:15.0,,,66-78,1,M. Plumlee makes free throw 2 of 2
2:04.0,D. Cousins misses 2-pt shot from 20 ft,,66-78,,
2:03.0,,,66-78,,Defensive rebound by J. Jack
1:44.0,,,66-78,,M. Teletovic misses 3-pt shot from 24 ft
1:42.0,,,66-78,,Offensive rebound by M. Plumlee
1:29.0,,,66-78,,J. Jack misses 2-pt shot from 7 ft
1:28.0,Defensive rebound by D. Cousins,,66-78,,
1:23.0,,,66-78,,Personal foul by M. Teletovic (drawn by C. Landry)
1:23.0,,,66-78,,B. Lopez enters the game for M. Plumlee
1:23.0,,,66-78,,D. Williams enters the game for J. Jack
1:18.0,Shooting foul by B. Lopez (drawn by R. Gay),,66-78,,
1:18.0,R. Gay makes free throw 1 of 2,1,67-78,,
1:18.0,N. Stauskas enters the game for B. McLemore,,67-78,,
1:18.0,R. Gay makes free throw 2 of 2,1,68-78,,
1:08.0,,,68-80,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams)
0:55.0,Shooting foul by B. Lopez (drawn by D. Cousins),,68-80,,
0:55.0,D. Cousins misses free throw 1 of 2,,68-80,,
0:55.0,Offensive rebound by Team,,68-80,,
0:55.0,O. Casspi enters the game for R. Gay,,68-80,,
0:55.0,D. Cousins makes free throw 2 of 2,1,69-80,,
0:45.0,,,69-80,,B. Lopez misses 2-pt shot from 2 ft (block by D. Cousins)
0:44.0,,,69-80,,Offensive rebound by Team
0:39.0,Personal foul by N. Stauskas (drawn by A. Anderson),,69-80,,
0:39.0,,,69-80,,A. Anderson misses free throw 1 of 2
0:39.0,,,69-80,,Offensive rebound by Team
0:39.0,,,69-80,,K. Garnett enters the game for B. Lopez
0:39.0,,,69-80,,A. Anderson misses free throw 2 of 2
0:38.0,Defensive rebound by D. Cousins,,69-80,,
0:22.0,R. McCallum misses 3-pt shot from 23 ft,,69-80,,
0:21.0,,,69-80,,Defensive rebound by K. Garnett
0:16.0,,,69-82,2,K. Garnett makes 2-pt shot at rim (assist by S. Karasev)
0:03.0,Turnover by R. McCallum (lost ball; steal by K. Garnett),,69-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,69-84,2,K. Garnett makes 2-pt shot from 17 ft (assist by A. Anderson)
11:17.0,D. Cousins makes 2-pt shot from 18 ft,2,71-84,,
11:02.0,,,71-84,,M. Teletovic misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by O. Casspi,,71-84,,
10:51.0,C. Landry makes 2-pt shot from 6 ft (assist by D. Collison),2,73-84,,
10:36.0,,,73-84,,S. Karasev misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by O. Casspi,,73-84,,
10:30.0,O. Casspi misses 2-pt shot from 2 ft (block by A. Anderson),,73-84,,
10:28.0,,,73-84,,Defensive rebound by K. Garnett
10:25.0,,,73-84,,S. Karasev misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by C. Landry,,73-84,,
10:14.0,N. Stauskas makes 3-pt shot from 24 ft (assist by O. Casspi),3,76-84,,
10:14.0,,,76-84,,Brooklyn full timeout
10:14.0,,,76-84,,B. Lopez enters the game for K. Garnett
10:14.0,,,76-84,,J. Johnson enters the game for S. Karasev
10:01.0,,,76-86,2,B. Lopez makes 2-pt shot from 6 ft (assist by D. Williams)
9:39.0,N. Stauskas misses 2-pt shot from 17 ft,,76-86,,
9:38.0,,,76-86,,Defensive rebound by Team
9:38.0,Loose ball foul by C. Landry (drawn by M. Teletovic),,76-86,,
9:21.0,,,76-86,,B. Lopez misses 2-pt shot from 19 ft
9:20.0,Defensive rebound by D. Collison,,76-86,,
9:17.0,Turnover by D. Collison (bad pass),,76-86,,
9:03.0,,,76-88,2,B. Lopez makes 2-pt shot from 3 ft (assist by D. Williams)
8:48.0,Turnover by D. Cousins (bad pass),,76-88,,
8:28.0,,,76-91,3,J. Johnson makes 3-pt shot from 25 ft
8:03.0,O. Casspi makes 3-pt shot from 24 ft (assist by N. Stauskas),3,79-91,,
7:45.0,,,79-91,,J. Johnson misses 2-pt shot from 10 ft
7:44.0,,,79-91,,Offensive rebound by B. Lopez
7:43.0,,,79-91,,B. Lopez misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by D. Collison,,79-91,,
7:41.0,Offensive charge foul by D. Collison,,79-91,,
7:41.0,Turnover by D. Collison (offensive foul),,79-91,,
7:41.0,R. Gay enters the game for C. Landry,,79-91,,
7:32.0,,,79-91,,D. Williams misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by D. Cousins,,79-91,,
7:23.0,Shooting foul by B. Lopez (drawn by D. Collison),,79-91,,
7:23.0,D. Collison makes free throw 1 of 2,1,80-91,,
7:23.0,,,80-91,,M. Plumlee enters the game for B. Lopez
7:23.0,D. Collison makes free throw 2 of 2,1,81-91,,
7:10.0,,,81-91,,A. Anderson misses 2-pt shot from 7 ft
7:09.0,Defensive rebound by D. Cousins,,81-91,,
7:01.0,R. Gay misses 2-pt shot from 7 ft,,81-91,,
7:00.0,Offensive rebound by O. Casspi,,81-91,,
6:58.0,O. Casspi misses 2-pt shot from 2 ft,,81-91,,
6:57.0,,,81-91,,Defensive rebound by M. Teletovic
6:55.0,Personal foul by O. Casspi (drawn by D. Williams),,81-91,,
6:36.0,,,81-91,,D. Williams misses 3-pt shot from 27 ft
6:35.0,,,81-91,,Offensive rebound by A. Anderson
6:15.0,,,81-91,,M. Plumlee misses 2-pt shot from 5 ft
6:14.0,Defensive rebound by O. Casspi,,81-91,,
6:08.0,N. Stauskas makes 2-pt shot from 1 ft (assist by D. Collison),2,83-91,,
5:53.0,,,83-93,2,D. Williams makes 2-pt shot from 2 ft
5:35.0,R. Gay makes 2-pt shot from 1 ft,2,85-93,,
5:18.0,,,85-93,,D. Williams misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by D. Collison,,85-93,,
5:12.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison),3,88-93,,
5:12.0,,,88-93,,Brooklyn full timeout
5:12.0,Official timeout,,88-93,,
5:12.0,,,88-93,,J. Jack enters the game for D. Williams
5:12.0,,,88-93,,S. Karasev enters the game for A. Anderson
5:12.0,B. McLemore enters the game for N. Stauskas,,88-93,,
4:50.0,,,88-96,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack)
4:34.0,Shooting foul by M. Teletovic (drawn by R. Gay),,88-96,,
4:34.0,R. Gay makes free throw 1 of 2,1,89-96,,
4:34.0,R. Gay makes free throw 2 of 2,1,90-96,,
4:17.0,,,90-99,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Johnson)
3:50.0,R. Gay misses 3-pt shot from 25 ft,,90-99,,
3:49.0,,,90-99,,Defensive rebound by M. Teletovic
3:29.0,,,90-101,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Johnson)
3:28.0,Sacramento full timeout,,90-101,,
3:12.0,D. Cousins makes 2-pt shot at rim,2,92-101,,
2:54.0,,,92-103,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
2:45.0,,,92-103,,Personal foul by M. Plumlee (drawn by D. Cousins)
