time,Milwaukee,pts.away,score,pts.home,LA Lakers
10:00.0,J. Henson makes 2-pt shot from 2 ft (assist by T. Ennis),2,20-28,,
9:42.0,Personal foul by J. Henson (drawn by J. Hill),,20-28,,
9:42.0,Z. Pachulia enters the game for J. Henson,,20-28,,
9:36.0,,,20-28,,W. Johnson misses 2-pt shot from 17 ft
9:35.0,Defensive rebound by T. Ennis,,20-28,,
9:15.0,J. Bayless misses 2-pt shot from 19 ft,,20-28,,
9:13.0,,,20-28,,Defensive rebound by W. Johnson
9:05.0,,,20-28,,J. Hill misses 2-pt shot from 12 ft
9:04.0,Defensive rebound by T. Ennis,,20-28,,
8:57.0,T. Ennis makes 2-pt shot from 1 ft,2,22-28,,
8:39.0,,,22-28,,J. Lin misses 2-pt shot from 20 ft
8:36.0,,,22-28,,Offensive rebound by E. Davis
8:33.0,,,22-30,2,E. Davis makes 2-pt shot from 1 ft
8:09.0,T. Ennis misses 2-pt shot from 2 ft,,22-30,,
8:08.0,,,22-30,,Defensive rebound by J. Lin
8:08.0,Personal foul by Z. Pachulia (drawn by J. Lin),,22-30,,
8:08.0,Official timeout,,22-30,,
8:08.0,M. Plumlee enters the game for Z. Pachulia,,22-30,,
7:53.0,,,22-32,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Hill)
7:34.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Plumlee),2,24-32,,
7:21.0,,,24-32,,J. Lin misses 2-pt shot from 3 ft
7:17.0,,,24-32,,Offensive rebound by J. Hill
7:17.0,,,24-34,2,J. Hill makes 2-pt shot at rim
7:10.0,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ennis),3,27-34,,
6:49.0,,,27-34,,W. Ellington misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by J. Dudley,,27-34,,
6:43.0,,,27-34,,Violation by E. Davis (def goaltending)
6:43.0,M. Plumlee makes 2-pt shot from 2 ft (assist by T. Ennis),2,29-34,,
6:27.0,,,29-34,,Turnover by W. Johnson (bad pass)
6:27.0,,,29-34,,J. Clarkson enters the game for J. Lin
6:14.0,M. Plumlee misses 2-pt shot from 1 ft,,29-34,,
6:12.0,Offensive rebound by M. Plumlee,,29-34,,
6:09.0,M. Plumlee makes 2-pt shot from 4 ft,2,31-34,,
5:49.0,,,31-34,,E. Davis misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by G. Antetokounmpo,,31-34,,
5:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,33-34,,
5:43.0,,,33-34,,LA Lakers full timeout
5:43.0,,,33-34,,R. Sacre enters the game for E. Davis
5:43.0,,,33-34,,C. Boozer enters the game for J. Hill
5:27.0,,,33-36,2,R. Sacre makes 2-pt shot from 16 ft (assist by W. Ellington)
5:17.0,T. Ennis makes 3-pt shot from 24 ft,3,36-36,,
4:58.0,,,36-36,,Turnover by W. Johnson (bad pass; steal by J. Dudley)
4:52.0,J. Dudley misses 2-pt shot from 19 ft,,36-36,,
4:49.0,,,36-36,,Defensive rebound by W. Ellington
4:36.0,,,36-36,,W. Johnson misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by J. Dudley,,36-36,,
4:27.0,J. Bayless makes 2-pt shot from 5 ft (assist by J. Dudley),2,38-36,,
4:14.0,,,38-36,,Turnover by C. Boozer (bad pass; steal by J. Bayless)
4:07.0,J. Bayless misses 3-pt shot from 23 ft,,38-36,,
4:06.0,Offensive rebound by J. Dudley,,38-36,,
4:01.0,M. Plumlee misses 2-pt shot from 11 ft,,38-36,,
3:58.0,,,38-36,,Defensive rebound by W. Ellington
3:41.0,,,38-36,,C. Boozer misses 2-pt shot from 14 ft
3:40.0,Defensive rebound by Team,,38-36,,
3:40.0,M. Carter-Williams enters the game for T. Ennis,,38-36,,
3:40.0,,,38-36,,R. Kelly enters the game for W. Johnson
3:26.0,J. Bayless makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,41-36,,
3:06.0,,,41-36,,W. Ellington misses 2-pt shot from 3 ft (block by M. Plumlee)
3:05.0,Defensive rebound by G. Antetokounmpo,,41-36,,
2:57.0,J. Bayless makes 2-pt shot from 12 ft (assist by G. Antetokounmpo),2,43-36,,
2:36.0,,,43-38,2,J. Clarkson makes 2-pt shot from 18 ft
2:15.0,M. Plumlee misses 2-pt shot from 11 ft,,43-38,,
2:12.0,Offensive rebound by G. Antetokounmpo,,43-38,,
2:12.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,45-38,,
2:01.0,Violation by M. Plumlee (def goaltending),,45-38,,
2:01.0,,,45-40,2,R. Sacre makes 2-pt shot from 2 ft
1:45.0,J. Dudley misses 3-pt shot from 26 ft,,45-40,,
1:44.0,,,45-40,,Defensive rebound by J. Clarkson
1:28.0,,,45-42,2,C. Boozer makes 2-pt shot at rim (assist by W. Ellington)
1:27.0,Milwaukee full timeout,,45-42,,
1:27.0,E. Ilyasova enters the game for J. Bayless,,45-42,,
1:27.0,K. Middleton enters the game for J. Dudley,,45-42,,
1:08.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,47-42,,
0:52.0,,,47-42,,C. Boozer misses 2-pt shot from 10 ft
0:51.0,,,47-42,,Offensive rebound by R. Sacre
0:51.0,,,47-42,,Shooting foul by M. Carter-Williams (drawn by R. Sacre)
0:51.0,,,47-42,,R. Sacre misses free throw 1 of 2
0:51.0,,,47-42,,Offensive rebound by Team
0:51.0,,,47-43,1,R. Sacre makes free throw 2 of 2
0:44.0,,,47-43,,Personal take foul by C. Boozer (drawn by K. Middleton)
0:33.0,E. Ilyasova misses 2-pt shot from 2 ft,,47-43,,
0:31.0,,,47-43,,Defensive rebound by R. Sacre
0:16.0,,,47-45,2,J. Clarkson makes 2-pt shot from 2 ft
0:03.0,Turnover by M. Carter-Williams (bad pass; steal by W. Ellington),,47-45,,
0:00.0,,,47-45,,Turnover by W. Ellington (lost ball; steal by M. Carter-Williams)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,47-47,2,R. Sacre makes 2-pt shot from 1 ft
11:25.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,49-47,,
11:01.0,,,49-47,,R. Kelly misses 2-pt shot from 14 ft
11:00.0,Defensive rebound by E. Ilyasova,,49-47,,
10:45.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,51-47,,
10:26.0,,,51-47,,R. Sacre misses 2-pt shot from 16 ft
10:25.0,Defensive rebound by K. Middleton,,51-47,,
10:15.0,Z. Pachulia misses 2-pt shot from 3 ft,,51-47,,
10:13.0,Offensive rebound by Z. Pachulia,,51-47,,
10:13.0,Z. Pachulia makes 2-pt shot at rim,2,53-47,,
10:05.0,,,53-47,,Turnover by J. Clarkson (bad pass; steal by Z. Pachulia)
9:59.0,Shooting foul by R. Kelly (drawn by G. Antetokounmpo),,53-47,,
9:59.0,G. Antetokounmpo makes free throw 1 of 2,1,54-47,,
9:59.0,G. Antetokounmpo misses free throw 2 of 2,,54-47,,
9:58.0,,,54-47,,Defensive rebound by C. Boozer
9:36.0,,,54-47,,R. Kelly misses 2-pt shot from 11 ft
9:35.0,Defensive rebound by Z. Pachulia,,54-47,,
9:28.0,K. Middleton makes 2-pt shot from 18 ft,2,56-47,,
9:03.0,,,56-47,,Turnover by R. Kelly (bad pass; steal by E. Ilyasova)
9:02.0,Turnover by E. Ilyasova (bad pass; steal by R. Kelly),,56-47,,
9:02.0,,,56-47,,Shooting foul by E. Ilyasova (drawn by R. Kelly)
9:02.0,,,56-48,1,R. Kelly makes free throw 1 of 2
9:02.0,,,56-49,1,R. Kelly makes free throw 2 of 2
8:50.0,Z. Pachulia misses 2-pt shot from 5 ft,,56-49,,
8:49.0,,,56-49,,Defensive rebound by C. Boozer
8:31.0,,,56-49,,R. Sacre misses 2-pt shot from 13 ft
8:30.0,Defensive rebound by K. Middleton,,56-49,,
8:24.0,K. Middleton makes 2-pt shot from 2 ft,2,58-49,,
8:23.0,,,58-49,,Technical foul by C. Boozer
8:23.0,K. Middleton makes technical free throw,1,59-49,,
8:12.0,,,59-49,,Shooting foul by E. Ilyasova (drawn by R. Sacre)
8:12.0,,,59-50,1,R. Sacre makes free throw 1 of 2
8:12.0,,,59-51,1,R. Sacre makes free throw 2 of 2
8:02.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by M. Carter-Williams),2,61-51,,
7:44.0,,,61-51,,R. Kelly misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by Z. Pachulia,,61-51,,
7:37.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,61-51,,
7:35.0,,,61-51,,Defensive rebound by R. Kelly
7:30.0,,,61-51,,W. Ellington misses 2-pt shot from 15 ft (block by K. Middleton)
7:27.0,Defensive rebound by Z. Pachulia,,61-51,,
7:25.0,Shooting foul by R. Sacre (drawn by K. Middleton),,61-51,,
7:25.0,K. Middleton misses free throw 1 of 2,,61-51,,
7:25.0,Offensive rebound by Team,,61-51,,
7:25.0,K. Middleton makes free throw 2 of 2,1,62-51,,
7:06.0,,,62-53,2,C. Boozer makes 2-pt shot from 14 ft
6:53.0,Z. Pachulia misses 2-pt shot from 9 ft,,62-53,,
6:52.0,,,62-53,,Defensive rebound by W. Ellington
6:46.0,,,62-56,3,J. Clarkson makes 3-pt shot from 25 ft (assist by W. Ellington)
6:23.0,Z. Pachulia makes 2-pt shot from 14 ft (assist by M. Carter-Williams),2,64-56,,
6:06.0,,,64-56,,W. Ellington misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by G. Antetokounmpo,,64-56,,
5:54.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,66-56,,
5:42.0,Def 3 sec tech foul by Z. Pachulia,,66-56,,
5:42.0,,,66-56,,LA Lakers full timeout
5:42.0,J. Henson enters the game for Z. Pachulia,,66-56,,
5:42.0,,,66-56,,J. Lin enters the game for R. Sacre
5:42.0,,,66-56,,E. Davis enters the game for W. Ellington
5:42.0,,,66-57,1,R. Kelly makes technical free throw
5:29.0,,,66-59,2,C. Boozer makes 2-pt shot from 17 ft
5:07.0,E. Ilyasova misses 3-pt shot from 25 ft,,66-59,,
5:06.0,,,66-59,,Defensive rebound by C. Boozer
4:47.0,,,66-59,,J. Clarkson misses 2-pt shot from 1 ft (block by J. Henson)
4:45.0,Defensive rebound by E. Ilyasova,,66-59,,
4:41.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,68-59,,
4:24.0,Violation by J. Henson (def goaltending),,68-59,,
4:24.0,,,68-61,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Clarkson)
4:12.0,J. Dudley enters the game for E. Ilyasova,,68-61,,
4:12.0,J. Bayless enters the game for M. Carter-Williams,,68-61,,
4:12.0,,,68-61,,J. Hill enters the game for R. Kelly
4:12.0,,,68-61,,W. Johnson enters the game for C. Boozer
4:00.0,K. Middleton misses 2-pt shot from 14 ft,,68-61,,
3:59.0,,,68-61,,Defensive rebound by E. Davis
3:46.0,,,68-61,,Turnover by W. Johnson (traveling)
3:33.0,Turnover by K. Middleton (bad pass),,68-61,,
3:15.0,,,68-61,,J. Lin misses 2-pt shot from 1 ft
3:14.0,,,68-61,,Offensive rebound by J. Hill
3:11.0,,,68-61,,J. Hill misses 2-pt shot at rim
3:10.0,Defensive rebound by G. Antetokounmpo,,68-61,,
2:56.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by K. Middleton),2,70-61,,
2:32.0,,,70-61,,J. Hill misses 2-pt shot from 4 ft (block by J. Henson)
2:32.0,,,70-61,,Offensive rebound by Team
2:32.0,Milwaukee full timeout,,70-61,,
2:28.0,,,70-61,,W. Johnson misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by J. Dudley,,70-61,,
2:09.0,J. Dudley makes 2-pt shot from 17 ft (assist by J. Bayless),2,72-61,,
1:52.0,Personal foul by J. Bayless (drawn by J. Clarkson),,72-61,,
1:44.0,,,72-61,,J. Hill misses 2-pt shot from 19 ft
1:43.0,Defensive rebound by J. Henson,,72-61,,
1:33.0,J. Henson misses 2-pt shot from 4 ft,,72-61,,
1:31.0,,,72-61,,Defensive rebound by E. Davis
1:22.0,,,72-63,2,J. Clarkson makes 2-pt shot from 16 ft
1:04.0,J. Dudley misses 2-pt shot from 21 ft,,72-63,,
1:03.0,,,72-63,,Defensive rebound by E. Davis
0:46.0,,,72-63,,J. Hill misses 2-pt shot at rim
0:43.0,Defensive rebound by J. Henson,,72-63,,
0:29.0,J. Bayless misses 3-pt shot from 24 ft,,72-63,,
0:27.0,Offensive rebound by G. Antetokounmpo,,72-63,,
0:27.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,72-63,,
0:27.0,,,72-63,,Defensive rebound by Team
0:27.0,Loose ball foul by G. Antetokounmpo (drawn by J. Hill),,72-63,,
0:27.0,,,72-64,1,J. Hill makes free throw 1 of 2
0:27.0,T. Ennis enters the game for K. Middleton,,72-64,,
0:27.0,,,72-65,1,J. Hill makes free throw 2 of 2
0:14.0,,,72-65,,Personal take foul by J. Lin (drawn by T. Ennis)
0:04.0,J. Dudley misses 2-pt shot from 1 ft (block by E. Davis),,72-65,,
0:02.0,,,72-65,,Defensive rebound by E. Davis
0:01.0,,,72-65,,J. Lin misses 3-pt shot from 38 ft
0:00.0,,,72-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Ennis),3,75-65,,
11:29.0,,,75-65,,J. Hill misses 2-pt shot from 3 ft
11:28.0,Defensive rebound by J. Bayless,,75-65,,
11:28.0,,,75-65,,Personal foul by W. Ellington (drawn by J. Bayless)
11:17.0,T. Ennis misses 2-pt shot from 1 ft,,75-65,,
11:15.0,Offensive rebound by J. Henson,,75-65,,
11:14.0,Shooting foul by J. Hill (drawn by J. Henson),,75-65,,
11:14.0,J. Henson makes free throw 1 of 2,1,76-65,,
11:14.0,J. Henson misses free throw 2 of 2,,76-65,,
11:14.0,,,76-65,,Defensive rebound by E. Davis
11:02.0,,,76-67,2,J. Hill makes 2-pt shot from 1 ft (assist by W. Johnson)
10:36.0,Turnover by J. Henson (bad pass),,76-67,,
10:27.0,Shooting block foul by E. Ilyasova (drawn by J. Lin),,76-67,,
10:27.0,,,76-68,1,J. Lin makes free throw 1 of 2
10:27.0,,,76-69,1,J. Lin makes free throw 2 of 2
10:13.0,J. Dudley misses 2-pt shot from 16 ft,,76-69,,
10:12.0,,,76-69,,Defensive rebound by W. Ellington
9:58.0,,,76-71,2,J. Lin makes 2-pt shot from 14 ft
9:46.0,,,76-71,,Shooting block foul by J. Lin (drawn by E. Ilyasova)
9:46.0,E. Ilyasova makes free throw 1 of 2,1,77-71,,
9:46.0,E. Ilyasova misses free throw 2 of 2,,77-71,,
9:44.0,,,77-71,,Defensive rebound by E. Davis
9:34.0,,,77-73,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin)
9:25.0,T. Ennis misses 2-pt shot from 2 ft,,77-73,,
9:24.0,,,77-73,,Defensive rebound by W. Ellington
9:16.0,,,77-76,3,W. Ellington makes 3-pt shot from 23 ft
9:15.0,Milwaukee full timeout,,77-76,,
9:15.0,M. Carter-Williams enters the game for J. Henson,,77-76,,
9:15.0,Z. Pachulia enters the game for T. Ennis,,77-76,,
9:02.0,M. Carter-Williams misses 2-pt shot from 8 ft,,77-76,,
9:01.0,,,77-76,,Defensive rebound by J. Hill
8:43.0,,,77-76,,W. Ellington misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by E. Ilyasova,,77-76,,
8:27.0,Shooting foul by J. Hill (drawn by Z. Pachulia),,77-76,,
8:27.0,Z. Pachulia makes free throw 1 of 2,1,78-76,,
8:27.0,Z. Pachulia makes free throw 2 of 2,1,79-76,,
8:13.0,,,79-76,,J. Lin misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by E. Ilyasova,,79-76,,
8:03.0,J. Bayless misses 2-pt shot from 20 ft,,79-76,,
8:02.0,,,79-76,,Defensive rebound by E. Davis
7:55.0,K. Middleton enters the game for J. Dudley,,79-76,,
7:46.0,,,79-76,,J. Hill misses 2-pt shot from 3 ft
7:44.0,Defensive rebound by E. Ilyasova,,79-76,,
7:38.0,J. Bayless makes 2-pt shot from 1 ft (assist by K. Middleton),2,81-76,,
7:20.0,,,81-76,,E. Davis misses 2-pt shot from 3 ft
7:18.0,,,81-76,,Offensive rebound by J. Hill
7:15.0,,,81-78,2,J. Hill makes 2-pt shot at rim
6:49.0,J. Bayless misses 2-pt shot from 1 ft,,81-78,,
6:47.0,,,81-78,,Defensive rebound by J. Lin
6:46.0,Personal foul by E. Ilyasova (drawn by J. Lin),,81-78,,
6:34.0,,,81-81,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Lin)
6:09.0,J. Bayless misses 2-pt shot from 20 ft,,81-81,,
6:06.0,,,81-81,,Defensive rebound by W. Ellington
6:02.0,,,81-83,2,W. Ellington makes 2-pt shot from 1 ft
5:44.0,K. Middleton misses 2-pt shot from 2 ft (block by J. Hill),,81-83,,
5:42.0,Offensive rebound by E. Ilyasova,,81-83,,
5:39.0,E. Ilyasova makes 2-pt shot from 1 ft,2,83-83,,
5:21.0,,,83-83,,J. Hill misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by Z. Pachulia,,83-83,,
5:14.0,Turnover by M. Carter-Williams (bad pass; steal by W. Ellington),,83-83,,
5:09.0,,,83-85,2,W. Ellington makes 2-pt shot from 2 ft (assist by J. Lin)
4:57.0,K. Middleton misses 3-pt shot from 24 ft,,83-85,,
4:57.0,Offensive rebound by Team,,83-85,,
4:57.0,,,83-85,,Loose ball foul by E. Davis (drawn by E. Ilyasova)
4:57.0,Official timeout,,83-85,,
4:57.0,,,83-85,,R. Kelly enters the game for J. Hill
4:57.0,E. Ilyasova misses free throw 1 of 2,,83-85,,
4:57.0,Offensive rebound by Team,,83-85,,
4:57.0,E. Ilyasova makes free throw 2 of 2,1,84-85,,
4:45.0,,,84-88,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Lin)
4:32.0,Shooting foul by R. Kelly (drawn by M. Carter-Williams),,84-88,,
4:32.0,M. Carter-Williams makes free throw 1 of 2,1,85-88,,
4:32.0,G. Antetokounmpo enters the game for E. Ilyasova,,85-88,,
4:32.0,M. Carter-Williams makes free throw 2 of 2,1,86-88,,
