time,Milwaukee,pts.away,score,pts.home,Indiana
3:14.0,M. Carter-Williams misses 2-pt shot from 17 ft,,47-44,,
3:12.0,,,47-44,,Defensive rebound by S. Hill
3:07.0,,,47-44,,Shooting foul by G. Antetokounmpo (drawn by S. Hill)
3:07.0,,,47-45,1,S. Hill makes free throw 1 of 2
3:07.0,C. Johnson enters the game for G. Antetokounmpo,,47-45,,
3:07.0,,,47-46,1,S. Hill makes free throw 2 of 2
2:54.0,E. Ilyasova misses 2-pt shot from 22 ft,,47-46,,
2:52.0,Offensive rebound by Z. Pachulia,,47-46,,
2:42.0,K. Middleton makes 2-pt shot from 19 ft,2,49-46,,
2:28.0,,,49-46,,Turnover by I. Mahinmi (bad pass; steal by Z. Pachulia)
2:21.0,E. Ilyasova misses 2-pt shot from 8 ft (block by I. Mahinmi),,49-46,,
2:18.0,Offensive rebound by Z. Pachulia,,49-46,,
2:17.0,Z. Pachulia misses 2-pt shot from 1 ft,,49-46,,
2:16.0,,,49-46,,Defensive rebound by L. Scola
2:11.0,,,49-48,2,L. Scola makes 2-pt shot from 1 ft (assist by G. Hill)
2:00.0,M. Carter-Williams misses 2-pt shot from 5 ft,,49-48,,
1:59.0,Offensive rebound by E. Ilyasova,,49-48,,
1:39.0,Turnover by K. Middleton (bad pass; steal by G. Hill),,49-48,,
1:38.0,Personal foul by K. Middleton (drawn by G. Hill),,49-48,,
1:38.0,,,49-48,,Indiana full timeout
1:38.0,,,49-49,1,G. Hill makes free throw 1 of 2
1:38.0,,,49-49,,G. Hill misses free throw 2 of 2
1:37.0,Defensive rebound by E. Ilyasova,,49-49,,
1:23.0,,,49-49,,Personal foul by C. Miles (drawn by Z. Pachulia)
1:23.0,Z. Pachulia makes free throw 1 of 2,1,50-49,,
1:23.0,Z. Pachulia makes free throw 2 of 2,1,51-49,,
1:04.0,,,51-49,,C. Miles misses 2-pt shot from 19 ft
1:03.0,Defensive rebound by M. Carter-Williams,,51-49,,
0:56.0,K. Middleton misses 2-pt shot from 3 ft (block by I. Mahinmi),,51-49,,
0:55.0,,,51-49,,Defensive rebound by I. Mahinmi
0:38.0,,,51-49,,G. Hill misses 2-pt shot from 3 ft
0:36.0,Defensive rebound by E. Ilyasova,,51-49,,
0:15.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,53-49,,
0:11.0,,,53-49,,Indiana full timeout
0:11.0,,,53-49,,R. Stuckey enters the game for S. Hill
0:11.0,,,53-49,,D. Rudez enters the game for I. Mahinmi
0:11.0,J. Dudley enters the game for Z. Pachulia,,53-49,,
0:03.0,,,53-51,2,R. Stuckey makes 2-pt shot from 1 ft
0:00.0,M. Carter-Williams misses 3-pt shot from 44 ft,,53-51,,
0:00.0,Offensive rebound by Team,,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,53-51,,C. Miles misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by M. Carter-Williams,,53-51,,
11:29.0,Offensive foul by Z. Pachulia,,53-51,,
11:29.0,Turnover by Z. Pachulia (offensive foul),,53-51,,
11:16.0,,,53-51,,G. Hill misses 3-pt shot from 22 ft
11:15.0,Defensive rebound by Z. Pachulia,,53-51,,
