time,Philadelphia,pts.away,score,pts.home,Toronto
5:11.0,,,5-17,,K. Lowry misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by M. Carter-Williams,,5-17,,
5:02.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,7-17,,
4:43.0,,,7-17,,Turnover by J. Johnson (lost ball; steal by H. Thompson)
4:41.0,,,7-17,,Violation by T. Ross (def goaltending)
4:41.0,H. Thompson makes 2-pt shot from 3 ft,2,9-17,,
4:41.0,Shooting foul by T. Ross (drawn by H. Thompson),,9-17,,
4:41.0,H. Thompson makes free throw 1 of 1,1,10-17,,
4:36.0,,,10-17,,Toronto full timeout
4:17.0,,,10-19,2,K. Lowry makes 2-pt shot from 17 ft
3:55.0,J. Grant makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,12-19,,
3:36.0,Personal foul by M. Carter-Williams (drawn by J. Johnson),,12-19,,
3:36.0,,,12-19,,L. Williams enters the game for T. Ross
3:36.0,,,12-19,,T. Hansbrough enters the game for A. Johnson
3:21.0,,,12-19,,T. Hansbrough misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by F. Aldemir,,12-19,,
3:08.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by J. Sampson),3,15-19,,
2:51.0,,,15-20,1,T. Hansbrough makes flagrant free throw 1 of 2
2:51.0,,,15-21,1,T. Hansbrough makes flagrant free throw 2 of 2
2:42.0,,,15-21,,P. Patterson misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by M. Carter-Williams,,15-21,,
2:36.0,Turnover by M. Carter-Williams (lost ball; steal by K. Lowry),,15-21,,
2:31.0,,,15-23,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
2:19.0,M. Carter-Williams makes 2-pt shot from 20 ft (assist by F. Aldemir),2,17-23,,
2:07.0,,,17-26,3,P. Patterson makes 3-pt shot from 25 ft (assist by L. Williams)
1:46.0,J. Sampson misses 3-pt shot from 25 ft,,17-26,,
1:46.0,,,17-26,,Defensive rebound by K. Lowry
1:45.0,Personal foul by F. Aldemir (drawn by K. Lowry),,17-26,,
1:45.0,L. Mbah a Moute enters the game for J. Grant,,17-26,,
1:45.0,,,17-26,,G. Vasquez enters the game for K. Lowry
1:45.0,N. Noel enters the game for M. Carter-Williams,,17-26,,
1:24.0,,,17-28,2,T. Hansbrough makes 2-pt shot at rim (assist by J. Johnson)
1:03.0,Turnover by H. Thompson (lost ball; steal by T. Hansbrough),,17-28,,
0:58.0,,,17-31,3,L. Williams makes 3-pt shot from 23 ft (assist by G. Vasquez)
0:48.0,H. Thompson misses 2-pt shot from 15 ft,,17-31,,
0:47.0,,,17-31,,Defensive rebound by J. Johnson
0:35.0,,,17-31,,L. Williams misses 3-pt shot from 28 ft
0:34.0,,,17-31,,Offensive rebound by T. Hansbrough
0:12.0,,,17-31,,Turnover by L. Williams (lost ball; steal by L. Mbah a Moute)
0:08.0,Shooting foul by J. Johnson (drawn by J. Sampson),,17-31,,
0:08.0,J. Sampson makes free throw 1 of 2,1,18-31,,
0:08.0,J. Sampson makes free throw 2 of 2,1,19-31,,
0:00.0,,,19-34,3,L. Williams makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Personal foul by L. Mbah a Moute (drawn by J. Johnson),,19-34,,
11:26.0,,,19-34,,G. Vasquez misses 3-pt shot from 25 ft
11:26.0,,,19-34,,Offensive rebound by Team
11:26.0,Personal foul by H. Thompson (drawn by T. Hansbrough),,19-34,,
11:17.0,,,19-34,,P. Patterson misses 2-pt shot from 5 ft
11:16.0,,,19-34,,Offensive rebound by P. Patterson
11:13.0,,,19-34,,P. Patterson misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by J. Sampson,,19-34,,
11:06.0,J. Sampson misses 2-pt shot from 12 ft,,19-34,,
11:05.0,,,19-34,,Defensive rebound by P. Patterson
10:59.0,,,19-34,,Turnover by G. Vasquez (lost ball; steal by H. Thompson)
10:56.0,Shooting foul by J. Johnson (drawn by H. Thompson),,19-34,,
10:56.0,H. Thompson misses free throw 1 of 2,,19-34,,
10:56.0,Offensive rebound by Team,,19-34,,
10:56.0,K. McDaniels enters the game for L. Mbah a Moute,,19-34,,
10:56.0,H. Thompson makes free throw 2 of 2,1,20-34,,
10:46.0,,,20-34,,L. Williams misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by J. Sampson,,20-34,,
10:36.0,J. Sampson makes 2-pt shot at rim (assist by H. Sims),2,22-34,,
10:14.0,,,22-36,2,L. Williams makes 2-pt shot from 15 ft
9:53.0,K. McDaniels misses 3-pt shot from 26 ft,,22-36,,
9:52.0,Offensive rebound by N. Noel,,22-36,,
9:48.0,N. Noel makes 2-pt shot at rim,2,24-36,,
9:43.0,Personal foul by H. Thompson (drawn by J. Johnson),,24-36,,
9:43.0,,,24-37,1,J. Johnson makes free throw 1 of 2
9:43.0,M. Carter-Williams enters the game for J. Sampson,,24-37,,
9:43.0,J. Grant enters the game for H. Thompson,,24-37,,
9:43.0,,,24-37,,J. Johnson misses free throw 2 of 2
9:42.0,Defensive rebound by K. McDaniels,,24-37,,
9:32.0,Shooting foul by G. Vasquez (drawn by M. Carter-Williams),,24-37,,
9:32.0,M. Carter-Williams misses free throw 1 of 2,,24-37,,
9:32.0,Offensive rebound by Team,,24-37,,
9:32.0,,,24-37,,D. DeRozan enters the game for J. Johnson
9:32.0,M. Carter-Williams makes free throw 2 of 2,1,25-37,,
9:14.0,,,25-39,2,G. Vasquez makes 2-pt shot from 12 ft (assist by P. Patterson)
8:53.0,K. McDaniels misses 2-pt shot from 3 ft,,25-39,,
8:52.0,,,25-39,,Defensive rebound by T. Hansbrough
8:42.0,,,25-39,,P. Patterson misses 3-pt shot from 24 ft
8:41.0,,,25-39,,Offensive rebound by G. Vasquez
8:38.0,,,25-41,2,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson)
8:36.0,Philadelphia full timeout,,25-41,,
8:23.0,J. Grant makes 2-pt shot from 4 ft (assist by N. Noel),2,27-41,,
8:05.0,,,27-41,,Turnover by D. DeRozan (lost ball)
7:44.0,N. Noel makes 2-pt shot from 8 ft,2,29-41,,
7:28.0,,,29-41,,P. Patterson misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by H. Sims,,29-41,,
7:09.0,Shooting foul by T. Hansbrough (drawn by M. Carter-Williams),,29-41,,
7:09.0,M. Carter-Williams misses free throw 1 of 2,,29-41,,
7:09.0,Offensive rebound by Team,,29-41,,
7:09.0,,,29-41,,K. Lowry enters the game for G. Vasquez
7:09.0,,,29-41,,A. Johnson enters the game for P. Patterson
7:09.0,M. Carter-Williams misses free throw 2 of 2,,29-41,,
7:08.0,,,29-41,,Defensive rebound by K. Lowry
6:59.0,,,29-41,,D. DeRozan misses 2-pt shot from 17 ft
6:58.0,Defensive rebound by K. McDaniels,,29-41,,
6:43.0,N. Noel makes 2-pt shot from 5 ft,2,31-41,,
6:15.0,,,31-41,,A. Johnson misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by K. McDaniels,,31-41,,
6:05.0,M. Carter-Williams misses 2-pt shot from 17 ft,,31-41,,
6:04.0,,,31-41,,Defensive rebound by Team
6:04.0,,,31-41,,J. Valanciunas enters the game for T. Hansbrough
5:52.0,,,31-41,,J. Valanciunas misses 2-pt shot from 3 ft (block by N. Noel)
5:50.0,Defensive rebound by K. McDaniels,,31-41,,
5:49.0,Shooting foul by D. DeRozan (drawn by K. McDaniels),,31-41,,
5:49.0,Official timeout,,31-41,,
5:49.0,,,31-41,,T. Ross enters the game for L. Williams
5:49.0,K. McDaniels makes free throw 1 of 2,1,32-41,,
5:49.0,K. McDaniels makes free throw 2 of 2,1,33-41,,
5:37.0,Personal foul by H. Sims (drawn by J. Valanciunas),,33-41,,
5:26.0,,,33-41,,Shooting foul by J. Grant (drawn by D. DeRozan)
5:26.0,,,33-41,,D. DeRozan misses free throw 1 of 2
5:26.0,,,33-41,,Offensive rebound by Team
5:26.0,L. Mbah a Moute enters the game for J. Grant,,33-41,,
5:26.0,,,33-42,1,D. DeRozan makes free throw 2 of 2
5:17.0,H. Sims misses 2-pt shot from 21 ft,,33-42,,
5:16.0,,,33-42,,Defensive rebound by D. DeRozan
5:05.0,,,33-42,,Turnover by D. DeRozan (lost ball; steal by L. Mbah a Moute)
4:59.0,H. Sims makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,35-42,,
4:45.0,,,35-42,,Turnover by K. Lowry (bad pass)
4:32.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,37-42,,
4:21.0,,,37-42,,Toronto full timeout
4:13.0,,,37-44,2,A. Johnson makes 2-pt shot from 7 ft (assist by K. Lowry)
3:54.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,39-44,,
3:38.0,,,39-46,2,T. Ross makes 2-pt shot from 18 ft (assist by K. Lowry)
3:13.0,N. Noel misses 2-pt shot from 4 ft,,39-46,,
3:12.0,Offensive rebound by N. Noel,,39-46,,
3:10.0,N. Noel makes 2-pt shot from 2 ft,2,41-46,,
2:45.0,,,41-46,,K. Lowry misses 2-pt shot from 19 ft
2:44.0,,,41-46,,Offensive rebound by A. Johnson
2:34.0,Personal foul by L. Mbah a Moute (drawn by J. Valanciunas),,41-46,,
2:34.0,,,41-47,1,J. Valanciunas makes free throw 1 of 2
2:34.0,F. Aldemir enters the game for H. Sims,,41-47,,
2:34.0,H. Thompson enters the game for K. McDaniels,,41-47,,
2:34.0,,,41-47,,G. Vasquez enters the game for D. DeRozan
2:34.0,,,41-47,,J. Valanciunas misses free throw 2 of 2
2:33.0,Defensive rebound by N. Noel,,41-47,,
2:24.0,H. Thompson misses 3-pt shot from 23 ft,,41-47,,
2:23.0,Offensive rebound by N. Noel,,41-47,,
2:20.0,Shooting foul by A. Johnson (drawn by L. Mbah a Moute),,41-47,,
2:20.0,L. Mbah a Moute makes free throw 1 of 2,1,42-47,,
2:20.0,,,42-47,,Violation by A. Johnson (lane)
2:20.0,L. Mbah a Moute misses free throw 2 of 2,,42-47,,
2:18.0,,,42-47,,Defensive rebound by G. Vasquez
2:07.0,,,42-47,,Turnover by K. Lowry (lost ball; steal by N. Noel)
1:59.0,M. Carter-Williams misses 2-pt shot from 15 ft,,42-47,,
1:58.0,,,42-47,,Defensive rebound by J. Valanciunas
1:52.0,,,42-47,,K. Lowry misses 2-pt shot from 3 ft
1:51.0,Defensive rebound by M. Carter-Williams,,42-47,,
1:37.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,42-47,,
1:36.0,Offensive rebound by F. Aldemir,,42-47,,
1:33.0,F. Aldemir makes 2-pt shot from 2 ft,2,44-47,,
1:18.0,Personal foul by F. Aldemir (drawn by J. Valanciunas),,44-47,,
1:18.0,,,44-47,,J. Valanciunas misses free throw 1 of 2
1:18.0,,,44-47,,Offensive rebound by Team
1:18.0,K. McDaniels enters the game for L. Mbah a Moute,,44-47,,
1:18.0,,,44-48,1,J. Valanciunas makes free throw 2 of 2
1:11.0,M. Carter-Williams makes 2-pt shot at rim,2,46-48,,
0:50.0,,,46-50,2,K. Lowry makes 2-pt shot from 7 ft
0:50.0,Philadelphia full timeout,,46-50,,
0:33.0,H. Thompson misses 2-pt shot from 1 ft,,46-50,,
0:32.0,,,46-50,,Defensive rebound by J. Valanciunas
0:27.0,,,46-50,,K. Lowry misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by N. Noel,,46-50,,
0:01.0,M. Carter-Williams misses 2-pt shot from 19 ft,,46-50,,
0:00.0,Offensive rebound by Team,,46-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-50,,D. DeRozan misses 2-pt shot from 20 ft
11:42.0,,,46-50,,Offensive rebound by A. Johnson
11:38.0,,,46-53,3,K. Lowry makes 3-pt shot from 24 ft (assist by A. Johnson)
11:23.0,M. Carter-Williams misses 3-pt shot from 23 ft,,46-53,,
11:22.0,,,46-53,,Defensive rebound by A. Johnson
11:07.0,,,46-53,,J. Valanciunas misses 2-pt shot from 3 ft
11:06.0,Defensive rebound by M. Carter-Williams,,46-53,,
10:55.0,Turnover by H. Sims (bad pass),,46-53,,
10:43.0,,,46-53,,T. Ross misses 2-pt shot from 14 ft
10:42.0,,,46-53,,Offensive rebound by J. Valanciunas
10:40.0,,,46-53,,J. Valanciunas misses 2-pt shot from 1 ft (block by H. Sims)
10:38.0,Defensive rebound by H. Sims,,46-53,,
10:29.0,H. Sims misses 2-pt shot from 20 ft,,46-53,,
10:28.0,Offensive rebound by Team,,46-53,,
10:21.0,N. Noel misses 2-pt shot from 6 ft,,46-53,,
10:20.0,,,46-53,,Defensive rebound by J. Valanciunas
10:01.0,,,46-55,2,J. Valanciunas makes 2-pt shot from 4 ft
9:43.0,K. McDaniels misses 2-pt shot from 7 ft,,46-55,,
9:42.0,Offensive rebound by K. McDaniels,,46-55,,
9:40.0,K. McDaniels misses 2-pt shot from 3 ft,,46-55,,
9:39.0,Offensive rebound by H. Sims,,46-55,,
9:37.0,H. Sims makes 2-pt shot from 1 ft,2,48-55,,
9:25.0,,,48-55,,T. Ross misses 2-pt shot from 19 ft (block by K. McDaniels)
9:24.0,Defensive rebound by N. Noel,,48-55,,
9:16.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,50-55,,
8:58.0,,,50-57,2,A. Johnson makes 2-pt shot from 5 ft (assist by D. DeRozan)
8:35.0,H. Sims misses 2-pt shot from 4 ft,,50-57,,
8:33.0,,,50-57,,Defensive rebound by K. Lowry
8:20.0,,,50-59,2,D. DeRozan makes 2-pt shot from 11 ft
8:03.0,M. Carter-Williams misses 3-pt shot from 24 ft,,50-59,,
8:02.0,,,50-59,,Defensive rebound by J. Valanciunas
7:50.0,,,50-59,,Turnover by A. Johnson (offensive foul)
7:50.0,,,50-59,,Offensive charge foul by A. Johnson
7:50.0,,,50-59,,L. Williams enters the game for T. Ross
7:32.0,H. Sims makes 2-pt shot from 2 ft (assist by K. McDaniels),2,52-59,,
7:16.0,Personal foul by K. McDaniels (drawn by D. DeRozan),,52-59,,
7:16.0,J. Grant enters the game for N. Noel,,52-59,,
7:16.0,H. Thompson enters the game for L. Mbah a Moute,,52-59,,
7:09.0,,,52-61,2,D. DeRozan makes 2-pt shot from 12 ft
6:55.0,H. Sims misses 2-pt shot from 1 ft,,52-61,,
6:54.0,,,52-61,,Defensive rebound by J. Valanciunas
6:44.0,Personal foul by H. Sims (drawn by A. Johnson),,52-61,,
6:34.0,,,52-61,,D. DeRozan misses 2-pt shot from 14 ft
6:33.0,Defensive rebound by H. Sims,,52-61,,
6:25.0,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,54-61,,
6:04.0,,,54-61,,Shooting foul by M. Carter-Williams (drawn by D. DeRozan)
6:04.0,,,54-62,1,D. DeRozan makes free throw 1 of 2
6:04.0,,,54-62,,D. DeRozan misses free throw 2 of 2
6:03.0,Defensive rebound by M. Carter-Williams,,54-62,,
5:58.0,Offensive charge foul by M. Carter-Williams,,54-62,,
5:58.0,Turnover by M. Carter-Williams (offensive foul),,54-62,,
5:58.0,,,54-62,,Toronto full timeout
5:58.0,,,54-62,,T. Hansbrough enters the game for J. Valanciunas
5:58.0,F. Aldemir enters the game for H. Sims,,54-62,,
5:53.0,,,54-62,,Turnover by D. DeRozan (lost ball)
5:34.0,H. Thompson misses 3-pt shot from 23 ft,,54-62,,
5:33.0,,,54-62,,Defensive rebound by T. Hansbrough
5:28.0,,,54-62,,L. Williams misses 2-pt shot from 1 ft (block by K. McDaniels)
5:25.0,Defensive rebound by F. Aldemir,,54-62,,
5:18.0,M. Carter-Williams misses 2-pt shot from 16 ft,,54-62,,
5:17.0,Offensive rebound by K. McDaniels,,54-62,,
5:15.0,,,54-62,,Personal foul by A. Johnson (drawn by K. McDaniels)
5:15.0,J. Sampson enters the game for K. McDaniels,,54-62,,
5:09.0,M. Carter-Williams misses 2-pt shot from 1 ft,,54-62,,
5:08.0,,,54-62,,Defensive rebound by D. DeRozan
4:57.0,,,54-62,,K. Lowry misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by J. Sampson,,54-62,,
4:52.0,Turnover by J. Sampson (lost ball; steal by K. Lowry),,54-62,,
4:48.0,,,54-62,,K. Lowry misses 2-pt shot from 1 ft (block by J. Sampson)
4:45.0,Defensive rebound by M. Carter-Williams,,54-62,,
4:35.0,H. Thompson misses 2-pt shot at rim (block by A. Johnson),,54-62,,
4:33.0,,,54-62,,Defensive rebound by A. Johnson
4:12.0,,,54-62,,Shooting foul by J. Grant (drawn by T. Hansbrough)
4:12.0,,,54-62,,T. Hansbrough misses free throw 1 of 2
4:12.0,,,54-62,,Offensive rebound by Team
4:12.0,,,54-62,,J. Johnson enters the game for D. DeRozan
4:12.0,N. Noel enters the game for J. Grant,,54-62,,
4:12.0,,,54-62,,T. Hansbrough misses free throw 2 of 2
4:12.0,Defensive rebound by H. Thompson,,54-62,,
4:03.0,,,54-62,,Personal foul by A. Johnson (drawn by M. Carter-Williams)
4:03.0,,,54-62,,P. Patterson enters the game for A. Johnson
3:50.0,H. Thompson misses 2-pt shot from 6 ft,,54-62,,
3:49.0,,,54-62,,Defensive rebound by T. Hansbrough
3:41.0,,,54-62,,K. Lowry misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by F. Aldemir,,54-62,,
3:33.0,M. Carter-Williams misses 3-pt shot from 25 ft,,54-62,,
3:32.0,,,54-62,,Defensive rebound by T. Hansbrough
3:25.0,,,54-64,2,J. Johnson makes 2-pt shot at rim (assist by K. Lowry)
3:06.0,M. Carter-Williams misses 2-pt shot from 5 ft,,54-64,,
3:05.0,Offensive rebound by H. Thompson,,54-64,,
3:00.0,J. Sampson misses 3-pt shot from 26 ft,,54-64,,
2:59.0,,,54-64,,Defensive rebound by P. Patterson
2:53.0,,,54-67,3,L. Williams makes 3-pt shot from 24 ft (assist by K. Lowry)
2:53.0,Technical foul by M. Carter-Williams,,54-67,,
2:53.0,Philadelphia full timeout,,54-67,,
2:53.0,,,54-67,,G. Vasquez enters the game for K. Lowry
2:53.0,L. Mbah a Moute enters the game for M. Carter-Williams,,54-67,,
2:53.0,,,54-67,,L. Williams misses technical free throw
2:53.0,Offensive rebound by Team,,54-67,,
2:38.0,Turnover by L. Mbah a Moute (traveling),,54-67,,
2:22.0,,,54-67,,L. Williams misses 3-pt shot from 26 ft
2:21.0,,,54-67,,Offensive rebound by T. Hansbrough
2:12.0,,,54-67,,P. Patterson misses 2-pt shot from 14 ft
2:12.0,Defensive rebound by L. Mbah a Moute,,54-67,,
1:58.0,H. Thompson makes 3-pt shot from 23 ft (assist by J. Sampson),3,57-67,,
1:51.0,Shooting block foul by H. Thompson (drawn by L. Williams),,57-67,,
1:51.0,,,57-68,1,L. Williams makes free throw 1 of 2
1:51.0,,,57-69,1,L. Williams makes free throw 2 of 2
1:37.0,Turnover by J. Sampson (lost ball),,57-69,,
1:23.0,,,57-69,,G. Vasquez misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by F. Aldemir,,57-69,,
1:05.0,N. Noel makes 2-pt shot at rim (assist by J. Sampson),2,59-69,,
0:53.0,Violation by N. Noel (def goaltending),,59-69,,
0:53.0,,,59-71,2,L. Williams makes 2-pt shot from 3 ft
0:32.0,Shooting foul by T. Hansbrough (drawn by H. Thompson),,59-71,,
0:32.0,H. Thompson makes free throw 1 of 2,1,60-71,,
0:32.0,K. McDaniels enters the game for F. Aldemir,,60-71,,
0:32.0,H. Thompson makes free throw 2 of 2,1,61-71,,
0:11.0,,,61-71,,P. Patterson misses 2-pt shot from 14 ft
0:10.0,,,61-71,,Offensive rebound by Team
0:10.0,F. Aldemir enters the game for K. McDaniels,,61-71,,
0:09.0,,,61-71,,Turnover by G. Vasquez (bad pass; steal by N. Noel)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by L. Mbah a Moute (bad pass; steal by L. Williams),,61-71,,
11:32.0,,,61-74,3,L. Williams makes 3-pt shot from 23 ft (assist by G. Vasquez)
11:32.0,,,61-74,,Shooting foul by N. Noel (drawn by L. Williams)
11:32.0,,,61-74,,J. Valanciunas enters the game for T. Hansbrough
11:32.0,,,61-75,1,L. Williams makes free throw 1 of 1
11:22.0,H. Sims misses 2-pt shot from 18 ft,,61-75,,
11:22.0,Offensive rebound by Team,,61-75,,
11:22.0,,,61-75,,Loose ball foul by P. Patterson (drawn by N. Noel)
11:10.0,L. Mbah a Moute makes 2-pt shot from 18 ft,2,63-75,,
10:57.0,,,63-75,,Turnover by J. Johnson (lost ball; steal by M. Carter-Williams)
10:52.0,M. Carter-Williams makes 2-pt shot at rim,2,65-75,,
10:36.0,,,65-75,,Offensive foul by J. Valanciunas
10:36.0,,,65-75,,Turnover by J. Valanciunas (offensive foul)
10:18.0,H. Thompson misses 3-pt shot from 24 ft,,65-75,,
10:17.0,,,65-75,,Defensive rebound by J. Johnson
10:10.0,,,65-77,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
9:49.0,Shooting foul by J. Valanciunas (drawn by N. Noel),,65-77,,
9:49.0,N. Noel makes free throw 1 of 2,1,66-77,,
9:49.0,J. Grant enters the game for H. Sims,,66-77,,
9:49.0,K. McDaniels enters the game for H. Thompson,,66-77,,
9:49.0,N. Noel makes free throw 2 of 2,1,67-77,,
9:37.0,,,67-77,,L. Williams misses 2-pt shot from 11 ft
9:36.0,Defensive rebound by J. Grant,,67-77,,
9:30.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by J. Grant),2,69-77,,
9:12.0,,,69-77,,Shooting foul by K. McDaniels (drawn by J. Valanciunas)
9:12.0,,,69-78,1,J. Valanciunas makes free throw 1 of 2
9:12.0,,,69-78,,D. DeRozan enters the game for J. Johnson
9:12.0,,,69-79,1,J. Valanciunas makes free throw 2 of 2
9:12.0,Philadelphia full timeout,,69-79,,
8:55.0,K. McDaniels makes 2-pt shot from 17 ft,2,71-79,,
8:37.0,,,71-79,,Turnover by L. Williams (lost ball; steal by M. Carter-Williams)
8:31.0,J. Grant misses 2-pt shot at rim,,71-79,,
8:29.0,,,71-79,,Defensive rebound by P. Patterson
8:21.0,,,71-79,,Offensive charge foul by J. Valanciunas
8:21.0,,,71-79,,Turnover by J. Valanciunas (offensive foul)
8:21.0,,,71-79,,A. Johnson enters the game for J. Valanciunas
8:00.0,N. Noel misses 2-pt shot from 5 ft,,71-79,,
7:59.0,,,71-79,,Defensive rebound by A. Johnson
7:46.0,,,71-79,,A. Johnson misses 2-pt shot from 3 ft (block by J. Grant)
7:43.0,Defensive rebound by K. McDaniels,,71-79,,
7:42.0,Shooting foul by G. Vasquez (drawn by K. McDaniels),,71-79,,
7:42.0,K. McDaniels makes free throw 1 of 2,1,72-79,,
7:42.0,,,72-79,,K. Lowry enters the game for L. Williams
7:42.0,K. McDaniels makes free throw 2 of 2,1,73-79,,
7:31.0,,,73-81,2,D. DeRozan makes 2-pt shot from 1 ft (assist by A. Johnson)
7:12.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,73-81,,
7:11.0,,,73-81,,Defensive rebound by A. Johnson
6:57.0,,,73-84,3,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry)
6:46.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,73-84,,
6:45.0,,,73-84,,Defensive rebound by A. Johnson
