time,Boston,pts.away,score,pts.home,Brooklyn
8:21.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,7-11,,
8:05.0,,,7-11,,B. Lopez misses 2-pt shot from 19 ft
8:04.0,,,7-11,,Offensive rebound by M. Brown
7:59.0,,,7-13,2,M. Brown makes 2-pt shot from 18 ft (assist by J. Johnson)
7:45.0,T. Zeller makes 2-pt shot from 13 ft (assist by E. Turner),2,9-13,,
7:25.0,,,9-13,,T. Young misses 2-pt shot from 9 ft
7:24.0,Defensive rebound by T. Zeller,,9-13,,
7:08.0,A. Bradley makes 3-pt shot from 25 ft,3,12-13,,
6:42.0,,,12-13,,J. Johnson misses 2-pt shot from 6 ft
6:41.0,,,12-13,,Offensive rebound by J. Johnson
6:39.0,,,12-13,,B. Lopez misses 2-pt shot from 18 ft
6:38.0,,,12-13,,Offensive rebound by J. Johnson
6:37.0,,,12-13,,Turnover by J. Johnson (bad pass; steal by B. Bass)
6:28.0,T. Zeller misses 2-pt shot from 17 ft,,12-13,,
6:27.0,,,12-13,,Defensive rebound by D. Williams
6:15.0,,,12-15,2,T. Young makes 2-pt shot from 1 ft
6:15.0,,,12-15,,Shooting foul by T. Zeller (drawn by T. Young)
6:15.0,J. Crowder enters the game for E. Turner,,12-15,,
6:15.0,J. Jerebko enters the game for B. Bass,,12-15,,
6:15.0,,,12-16,1,T. Young makes free throw 1 of 1
5:59.0,T. Zeller makes 2-pt shot from 9 ft,2,14-16,,
5:43.0,,,14-16,,T. Young misses 2-pt shot from 1 ft
5:42.0,Defensive rebound by J. Jerebko,,14-16,,
5:23.0,T. Zeller makes 2-pt shot from 4 ft,2,16-16,,
5:16.0,,,16-16,,Brooklyn full timeout
5:10.0,,,16-18,2,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams)
4:58.0,J. Crowder misses 3-pt shot from 24 ft,,16-18,,
4:57.0,,,16-18,,Defensive rebound by T. Young
4:39.0,,,16-18,,J. Johnson misses 2-pt shot from 19 ft
4:38.0,Defensive rebound by A. Bradley,,16-18,,
4:26.0,M. Smart makes 2-pt shot from 2 ft,2,18-18,,
4:11.0,,,18-18,,B. Lopez misses 2-pt shot from 17 ft
4:10.0,,,18-18,,Offensive rebound by T. Young
4:09.0,Personal foul by J. Jerebko (drawn by T. Young),,18-18,,
4:09.0,,,18-18,,B. Bogdanovic enters the game for M. Brown
4:06.0,Personal block foul by M. Smart (drawn by D. Williams),,18-18,,
4:06.0,,,18-19,1,D. Williams makes free throw 1 of 2
4:06.0,,,18-20,1,D. Williams makes free throw 2 of 2
3:51.0,J. Crowder misses 2-pt shot from 18 ft,,18-20,,
3:50.0,,,18-20,,Defensive rebound by B. Lopez
3:30.0,,,18-20,,B. Bogdanovic misses 2-pt shot from 7 ft
3:29.0,Defensive rebound by A. Bradley,,18-20,,
3:22.0,Turnover by A. Bradley (bad pass),,18-20,,
3:22.0,K. Olynyk enters the game for T. Zeller,,18-20,,
3:06.0,,,18-20,,T. Young misses 2-pt shot from 2 ft (block by J. Crowder)
3:05.0,,,18-20,,Offensive rebound by B. Lopez
3:00.0,,,18-22,2,B. Lopez makes 2-pt shot from 7 ft
2:49.0,Turnover by M. Smart (bad pass; steal by D. Williams),,18-22,,
2:46.0,,,18-24,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams)
2:46.0,Boston full timeout,,18-24,,
2:46.0,P. Pressey enters the game for M. Smart,,18-24,,
2:30.0,J. Crowder makes 3-pt shot from 25 ft (assist by P. Pressey),3,21-24,,
2:12.0,,,21-24,,B. Bogdanovic misses 2-pt shot from 8 ft
2:11.0,Defensive rebound by J. Jerebko,,21-24,,
1:47.0,P. Pressey misses 3-pt shot from 27 ft,,21-24,,
1:45.0,,,21-24,,Defensive rebound by Team
1:45.0,,,21-24,,J. Jack enters the game for D. Williams
1:23.0,,,21-26,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
1:10.0,K. Olynyk misses 2-pt shot from 18 ft,,21-26,,
1:09.0,,,21-26,,Defensive rebound by B. Bogdanovic
0:59.0,Personal foul by P. Pressey (drawn by J. Jack),,21-26,,
0:59.0,,,21-27,1,J. Jack makes free throw 1 of 2
0:59.0,E. Turner enters the game for A. Bradley,,21-27,,
0:59.0,,,21-28,1,J. Jack makes free throw 2 of 2
0:37.0,J. Crowder misses 3-pt shot from 24 ft,,21-28,,
0:36.0,,,21-28,,Defensive rebound by B. Bogdanovic
0:28.0,,,21-28,,J. Jack misses 2-pt shot from 10 ft
0:27.0,,,21-28,,Offensive rebound by B. Bogdanovic
0:26.0,,,21-28,,B. Bogdanovic misses 2-pt shot at rim
0:24.0,Defensive rebound by J. Crowder,,21-28,,
0:07.0,,,21-28,,Personal foul by T. Young (drawn by P. Pressey)
0:07.0,,,21-28,,A. Anderson enters the game for J. Johnson
0:07.0,,,21-28,,M. Plumlee enters the game for B. Lopez
0:04.0,K. Olynyk makes 2-pt shot from 2 ft,2,23-28,,
0:00.0,,,23-28,,A. Anderson misses 3-pt shot from 44 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Jerebko misses 2-pt shot from 21 ft,,23-28,,
11:39.0,,,23-28,,Defensive rebound by J. Jack
11:28.0,,,23-28,,Turnover by J. Jack (bad pass; steal by K. Olynyk)
11:21.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,25-28,,
11:13.0,Personal foul by J. Crowder (drawn by A. Anderson),,25-28,,
11:13.0,M. Smart enters the game for J. Crowder,,25-28,,
11:03.0,,,25-28,,J. Jack misses 2-pt shot from 15 ft
11:02.0,Defensive rebound by E. Turner,,25-28,,
10:54.0,Shooting foul by A. Anderson (drawn by K. Olynyk),,25-28,,
10:54.0,K. Olynyk makes free throw 1 of 2,1,26-28,,
10:54.0,K. Olynyk misses free throw 2 of 2,,26-28,,
10:53.0,,,26-28,,Defensive rebound by M. Plumlee
10:30.0,,,26-28,,J. Jack misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by M. Smart,,26-28,,
10:18.0,J. Jerebko misses 2-pt shot from 1 ft (block by M. Plumlee),,26-28,,
10:17.0,,,26-28,,Defensive rebound by M. Plumlee
9:59.0,,,26-28,,B. Bogdanovic misses 2-pt shot from 4 ft (block by K. Olynyk)
9:57.0,Defensive rebound by Team,,26-28,,
9:57.0,Jump ball: B. Bogdanovic vs. K. Olynyk (J. Jerebko gains possession),,,,Jump ball: B. Bogdanovic vs. K. Olynyk (J. Jerebko gains possession)
9:45.0,J. Jerebko makes 2-pt shot at rim (assist by K. Olynyk),2,28-28,,
9:16.0,,,28-28,,A. Anderson misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by J. Jerebko,,28-28,,
9:06.0,Turnover by P. Pressey (lost ball),,28-28,,
8:51.0,,,28-28,,J. Jack misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by P. Pressey,,28-28,,
8:39.0,E. Turner makes 2-pt shot from 2 ft,2,30-28,,
8:39.0,,,30-28,,Brooklyn full timeout
8:39.0,,,30-28,,J. Johnson enters the game for T. Young
8:25.0,,,30-28,,A. Anderson misses 2-pt shot from 15 ft
8:24.0,,,30-28,,Offensive rebound by M. Plumlee
8:20.0,,,30-30,2,A. Anderson makes 2-pt shot from 1 ft (assist by M. Plumlee)
8:01.0,J. Jerebko makes 2-pt shot from 1 ft,2,32-30,,
7:40.0,,,32-32,2,B. Bogdanovic makes 2-pt shot from 5 ft
7:22.0,E. Turner makes 2-pt shot from 10 ft,2,34-32,,
7:08.0,,,34-32,,B. Bogdanovic misses 2-pt shot from 15 ft
7:07.0,,,34-32,,Offensive rebound by M. Plumlee
7:07.0,Personal foul by K. Olynyk (drawn by M. Plumlee),,34-32,,
6:59.0,,,34-34,2,J. Jack makes 2-pt shot from 4 ft
6:46.0,J. Jerebko makes 2-pt shot from 1 ft (assist by P. Pressey),2,36-34,,
6:31.0,Def 3 sec tech foul by P. Pressey,,36-34,,
6:31.0,B. Bass enters the game for K. Olynyk,,36-34,,
6:31.0,,,36-34,,J. Jack misses technical free throw
6:31.0,,,36-34,,Offensive rebound by Team
6:31.0,A. Bradley enters the game for M. Smart,,36-34,,
6:21.0,,,36-34,,J. Jack misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by B. Bass,,36-34,,
6:03.0,E. Turner makes 2-pt shot from 17 ft,2,38-34,,
5:48.0,,,38-36,2,A. Anderson makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:28.0,J. Jerebko misses 2-pt shot from 17 ft,,38-36,,
5:27.0,,,38-36,,Defensive rebound by A. Anderson
5:20.0,,,38-36,,A. Anderson misses 2-pt shot from 6 ft
5:19.0,,,38-36,,Offensive rebound by B. Bogdanovic
5:18.0,,,38-38,2,B. Bogdanovic makes 2-pt shot at rim
5:18.0,Boston full timeout,,38-38,,
5:18.0,J. Crowder enters the game for P. Pressey,,38-38,,
5:18.0,T. Zeller enters the game for J. Jerebko,,38-38,,
5:03.0,B. Bass makes 2-pt shot at rim (assist by T. Zeller),2,40-38,,
5:03.0,Shooting foul by M. Plumlee (drawn by B. Bass),,40-38,,
5:03.0,B. Bass makes free throw 1 of 1,1,41-38,,
4:46.0,,,41-38,,J. Jack misses 2-pt shot at rim (block by E. Turner)
4:45.0,Defensive rebound by E. Turner,,41-38,,
4:40.0,J. Crowder misses 3-pt shot from 26 ft,,41-38,,
4:39.0,,,41-38,,Defensive rebound by M. Plumlee
4:28.0,,,41-38,,M. Plumlee misses 2-pt shot at rim
4:27.0,,,41-38,,Offensive rebound by B. Bogdanovic
4:25.0,,,41-38,,B. Bogdanovic misses 2-pt shot from 3 ft
4:24.0,,,41-38,,Offensive rebound by M. Plumlee
4:23.0,,,41-40,2,M. Plumlee makes 2-pt shot at rim
4:00.0,B. Bass makes 2-pt shot from 2 ft (assist by E. Turner),2,43-40,,
4:00.0,Shooting foul by M. Plumlee (drawn by B. Bass),,43-40,,
4:00.0,,,43-40,,D. Williams enters the game for J. Jack
4:00.0,,,43-40,,B. Lopez enters the game for M. Plumlee
4:00.0,B. Bass makes free throw 1 of 1,1,44-40,,
3:37.0,,,44-40,,B. Bogdanovic misses 2-pt shot from 18 ft
3:36.0,,,44-40,,Offensive rebound by Team
3:36.0,,,44-40,,Turnover by Team (shot clock)
3:27.0,Shooting foul by D. Williams (drawn by A. Bradley),,44-40,,
3:27.0,A. Bradley makes free throw 1 of 2,1,45-40,,
3:27.0,,,45-40,,T. Young enters the game for A. Anderson
3:27.0,A. Bradley misses free throw 2 of 2,,45-40,,
3:26.0,,,45-40,,Defensive rebound by T. Young
3:11.0,,,45-40,,J. Johnson misses 2-pt shot from 5 ft
3:10.0,Defensive rebound by J. Crowder,,45-40,,
3:05.0,A. Bradley misses 2-pt shot from 1 ft,,45-40,,
3:04.0,,,45-40,,Defensive rebound by Team
2:55.0,,,45-42,2,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams)
2:34.0,T. Zeller misses 2-pt shot from 6 ft,,45-42,,
2:33.0,Offensive rebound by T. Zeller,,45-42,,
2:32.0,Turnover by T. Zeller (lost ball; steal by D. Williams),,45-42,,
2:28.0,,,45-42,,Turnover by D. Williams (lost ball)
2:28.0,Official timeout,,45-42,,
2:17.0,Turnover by E. Turner (bad pass; steal by B. Lopez),,45-42,,
2:15.0,,,45-42,,Turnover by B. Bogdanovic (discontinued dribble)
1:57.0,E. Turner misses 2-pt shot from 6 ft,,45-42,,
1:56.0,,,45-42,,Defensive rebound by D. Williams
1:50.0,,,45-42,,J. Johnson misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by A. Bradley,,45-42,,
1:31.0,B. Bass makes 2-pt shot from 18 ft (assist by T. Zeller),2,47-42,,
1:16.0,,,47-44,2,B. Lopez makes 2-pt shot from 11 ft (assist by D. Williams)
1:01.0,A. Bradley makes 2-pt shot from 21 ft (assist by B. Bass),2,49-44,,
0:48.0,,,49-44,,D. Williams misses 2-pt shot from 2 ft (block by T. Zeller)
0:47.0,,,49-44,,Offensive rebound by D. Williams
0:43.0,,,49-44,,B. Bogdanovic misses 3-pt shot from 24 ft
0:42.0,,,49-44,,Offensive rebound by T. Young
0:41.0,,,49-46,2,T. Young makes 2-pt shot from 2 ft
0:30.0,E. Turner makes 2-pt shot from 15 ft,2,51-46,,
0:06.0,,,51-46,,Shooting foul by A. Bradley (drawn by D. Williams)
0:06.0,,,51-47,1,D. Williams makes free throw 1 of 3
0:06.0,,,51-48,1,D. Williams makes free throw 2 of 3
0:06.0,K. Olynyk enters the game for T. Zeller,,51-48,,
0:06.0,P. Pressey enters the game for B. Bass,,51-48,,
0:06.0,,,51-48,,A. Anderson enters the game for B. Bogdanovic
0:06.0,,,51-48,,M. Brown enters the game for T. Young
0:06.0,,,51-49,1,D. Williams makes free throw 3 of 3
0:01.0,K. Olynyk makes 3-pt shot from 24 ft (assist by P. Pressey),3,54-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,J. Crowder misses 3-pt shot from 24 ft,,54-49,,
11:49.0,,,54-49,,Defensive rebound by D. Williams
11:31.0,,,54-49,,T. Young misses 2-pt shot from 4 ft
11:30.0,Defensive rebound by E. Turner,,54-49,,
11:13.0,T. Zeller makes 2-pt shot from 11 ft (assist by B. Bass),2,56-49,,
10:55.0,,,56-51,2,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams)
10:39.0,T. Zeller makes 2-pt shot from 5 ft (assist by E. Turner),2,58-51,,
10:19.0,,,58-51,,D. Williams misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by B. Bass,,58-51,,
10:07.0,E. Turner makes 2-pt shot from 13 ft,2,60-51,,
9:44.0,,,60-53,2,B. Lopez makes 2-pt shot from 18 ft (assist by T. Young)
9:24.0,E. Turner makes 2-pt shot from 1 ft,2,62-53,,
9:11.0,,,62-53,,Shooting foul by J. Crowder (drawn by B. Lopez)
9:11.0,,,62-54,1,B. Lopez makes free throw 1 of 2
9:11.0,,,62-54,,A. Anderson enters the game for M. Brown
9:11.0,,,62-55,1,B. Lopez makes free throw 2 of 2
8:59.0,A. Bradley misses 2-pt shot from 19 ft,,62-55,,
8:58.0,,,62-55,,Defensive rebound by A. Anderson
8:45.0,,,62-57,2,B. Lopez makes 2-pt shot from 8 ft (assist by D. Williams)
8:30.0,T. Zeller makes 2-pt shot from 17 ft (assist by A. Bradley),2,64-57,,
8:18.0,,,64-57,,B. Lopez misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by J. Crowder,,64-57,,
8:02.0,B. Bass misses 2-pt shot from 2 ft (block by D. Williams),,64-57,,
8:01.0,,,64-57,,Defensive rebound by D. Williams
7:46.0,,,64-57,,B. Lopez misses 2-pt shot from 8 ft
7:45.0,Defensive rebound by E. Turner,,64-57,,
7:36.0,,,64-57,,Def 3 sec tech foul by B. Lopez
7:36.0,A. Bradley makes technical free throw,1,65-57,,
7:28.0,A. Bradley misses 3-pt shot from 24 ft,,65-57,,
7:27.0,Offensive rebound by Team,,65-57,,
7:27.0,,,65-57,,Loose ball foul by T. Young (drawn by B. Bass)
7:20.0,A. Bradley makes 2-pt shot from 1 ft,2,67-57,,
6:58.0,,,67-57,,B. Lopez misses 2-pt shot from 12 ft
6:57.0,Defensive rebound by T. Zeller,,67-57,,
6:50.0,Shooting foul by B. Lopez (drawn by B. Bass),,67-57,,
6:50.0,,,67-57,,Brooklyn full timeout
6:50.0,B. Bass makes free throw 1 of 2,1,68-57,,
6:50.0,B. Bass makes free throw 2 of 2,1,69-57,,
6:40.0,,,69-57,,J. Johnson misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by A. Bradley,,69-57,,
6:16.0,J. Crowder misses 2-pt shot from 5 ft,,69-57,,
6:15.0,Offensive rebound by J. Crowder,,69-57,,
6:13.0,J. Crowder makes 2-pt shot from 7 ft,2,71-57,,
5:49.0,,,71-57,,A. Anderson misses 2-pt shot from 14 ft
5:48.0,Defensive rebound by A. Bradley,,71-57,,
5:30.0,A. Bradley misses 2-pt shot from 19 ft,,71-57,,
5:29.0,,,71-57,,Defensive rebound by T. Young
5:18.0,,,71-57,,Shooting foul by E. Turner (drawn by B. Lopez)
5:18.0,,,71-59,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
5:18.0,,,71-59,,B. Bogdanovic enters the game for J. Johnson
5:18.0,,,71-60,1,B. Lopez makes free throw 1 of 1
4:58.0,Turnover by T. Zeller (lost ball; steal by T. Young),,71-60,,
4:52.0,,,71-60,,B. Bogdanovic misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by E. Turner,,71-60,,
4:37.0,A. Bradley misses 2-pt shot from 18 ft,,71-60,,
4:36.0,,,71-60,,Defensive rebound by Team
4:36.0,,,71-60,,C. Jefferson enters the game for T. Young
4:27.0,,,71-62,2,B. Lopez makes 2-pt shot from 8 ft (assist by D. Williams)
4:12.0,A. Bradley misses 2-pt shot from 1 ft (block by C. Jefferson),,71-62,,
4:11.0,Offensive rebound by Team,,71-62,,
4:08.0,T. Zeller makes 2-pt shot from 20 ft (assist by E. Turner),2,73-62,,
3:44.0,,,73-64,2,D. Williams makes 2-pt shot from 8 ft
3:28.0,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner),2,75-64,,
3:20.0,,,75-64,,Shooting foul by E. Turner (drawn by A. Anderson)
3:20.0,,,75-65,1,A. Anderson makes free throw 1 of 2
3:20.0,J. Jerebko enters the game for B. Bass,,75-65,,
3:20.0,M. Smart enters the game for A. Bradley,,75-65,,
3:20.0,,,75-66,1,A. Anderson makes free throw 2 of 2
3:01.0,J. Jerebko misses 3-pt shot from 24 ft,,75-66,,
3:00.0,,,75-66,,Defensive rebound by B. Bogdanovic
2:47.0,,,75-66,,A. Anderson misses 2-pt shot from 2 ft
2:46.0,Defensive rebound by T. Zeller,,75-66,,
2:35.0,J. Crowder misses 2-pt shot from 2 ft,,75-66,,
2:34.0,,,75-66,,Defensive rebound by C. Jefferson
2:26.0,,,75-68,2,D. Williams makes 2-pt shot from 6 ft
2:26.0,,,75-68,,Shooting foul by J. Crowder (drawn by D. Williams)
2:26.0,Boston full timeout,,75-68,,
2:26.0,P. Pressey enters the game for E. Turner,,75-68,,
2:26.0,,,75-69,1,D. Williams makes free throw 1 of 1
2:12.0,J. Crowder misses 3-pt shot from 24 ft,,75-69,,
2:11.0,,,75-69,,Defensive rebound by D. Williams
1:53.0,Personal foul by P. Pressey (drawn by A. Anderson),,75-69,,
1:53.0,,,75-69,,A. Anderson misses free throw 1 of 2
1:53.0,,,75-69,,Offensive rebound by Team
1:53.0,K. Olynyk enters the game for T. Zeller,,75-69,,
1:53.0,,,75-70,1,A. Anderson makes free throw 2 of 2
1:38.0,M. Smart misses 2-pt shot from 11 ft,,75-70,,
1:37.0,Offensive rebound by K. Olynyk,,75-70,,
1:33.0,K. Olynyk makes 2-pt shot from 5 ft,2,77-70,,
1:33.0,,,77-70,,Turnover by C. Jefferson (bad pass)
1:20.0,J. Crowder misses 3-pt shot from 23 ft,,77-70,,
1:19.0,,,77-70,,Defensive rebound by D. Williams
1:11.0,,,77-70,,Shooting foul by M. Smart (drawn by B. Lopez)
1:11.0,,,77-71,1,B. Lopez makes free throw 1 of 2
1:11.0,,,77-72,1,B. Lopez makes free throw 2 of 2
0:51.0,J. Jerebko misses 3-pt shot from 24 ft,,77-72,,
0:50.0,Offensive rebound by Team,,77-72,,
0:50.0,,,77-72,,Loose ball foul by A. Anderson (drawn by M. Smart)
0:46.0,J. Crowder makes 2-pt shot from 2 ft,2,79-72,,
0:46.0,Shooting foul by B. Lopez (drawn by J. Crowder),,79-72,,
0:46.0,J. Crowder makes free throw 1 of 1,1,80-72,,
0:37.0,,,80-72,,Turnover by D. Williams (bad pass; steal by M. Smart)
0:31.0,K. Olynyk makes 3-pt shot from 23 ft (assist by P. Pressey),3,83-72,,
0:08.0,,,83-72,,A. Anderson misses 3-pt shot from 25 ft
0:07.0,,,83-72,,Offensive rebound by C. Jefferson
0:06.0,,,83-74,2,C. Jefferson makes 2-pt shot from 4 ft
0:01.0,M. Smart misses 3-pt shot from 24 ft,,83-74,,
0:00.0,,,83-74,,Defensive rebound by C. Jefferson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,83-74,,T. Young misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by K. Olynyk,,83-74,,
11:37.0,J. Jerebko makes 2-pt shot at rim (assist by K. Olynyk),2,85-74,,
11:16.0,,,85-74,,B. Lopez misses 2-pt shot from 2 ft
11:15.0,,,85-74,,Offensive rebound by B. Lopez
11:13.0,,,85-76,2,B. Lopez makes 2-pt shot from 4 ft
11:00.0,K. Olynyk misses 3-pt shot from 23 ft,,85-76,,
10:59.0,,,85-76,,Defensive rebound by J. Jack
10:53.0,Personal foul by K. Olynyk (drawn by B. Lopez),,85-76,,
10:43.0,,,85-78,2,B. Lopez makes 2-pt shot from 9 ft
10:28.0,P. Pressey makes 2-pt shot from 1 ft,2,87-78,,
10:12.0,,,87-78,,B. Bogdanovic misses 3-pt shot from 22 ft
10:11.0,Defensive rebound by J. Jerebko,,87-78,,
9:59.0,E. Turner makes 2-pt shot from 2 ft,2,89-78,,
9:45.0,,,89-78,,Shooting foul by P. Pressey (drawn by J. Jack)
9:45.0,,,89-79,1,J. Jack makes free throw 1 of 2
9:45.0,,,89-79,,M. Plumlee enters the game for B. Lopez
9:45.0,,,89-79,,D. Williams enters the game for B. Bogdanovic
9:45.0,,,89-80,1,J. Jack makes free throw 2 of 2
9:29.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,91-80,,
9:17.0,Personal foul by K. Olynyk (drawn by J. Jack),,91-80,,
9:12.0,,,91-80,,J. Jack misses 2-pt shot from 14 ft
9:11.0,Defensive rebound by J. Jerebko,,91-80,,
8:53.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,94-80,,
8:30.0,,,94-80,,Turnover by J. Johnson (bad pass; steal by M. Smart)
8:23.0,E. Turner misses 3-pt shot from 24 ft,,94-80,,
8:22.0,Offensive rebound by K. Olynyk,,94-80,,
8:21.0,K. Olynyk misses 2-pt shot from 1 ft,,94-80,,
8:20.0,Offensive rebound by K. Olynyk,,94-80,,
8:19.0,K. Olynyk makes 2-pt shot from 2 ft,2,96-80,,
8:18.0,,,96-80,,Brooklyn full timeout
8:07.0,,,96-82,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Williams)
8:07.0,,,96-82,,Shooting foul by K. Olynyk (drawn by M. Plumlee)
8:07.0,,,96-83,1,M. Plumlee makes free throw 1 of 1
7:52.0,Turnover by K. Olynyk (lost ball; steal by M. Plumlee),,96-83,,
7:52.0,Personal foul by J. Jerebko (drawn by M. Plumlee),,96-83,,
7:52.0,,,96-83,,M. Plumlee misses free throw 1 of 2
7:52.0,,,96-83,,Offensive rebound by Team
7:52.0,,,96-83,,M. Plumlee misses free throw 2 of 2
7:51.0,Defensive rebound by K. Olynyk,,96-83,,
7:32.0,E. Turner makes 2-pt shot at rim,2,98-83,,
7:11.0,,,98-83,,M. Plumlee misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by E. Turner,,98-83,,
6:56.0,K. Olynyk misses 3-pt shot from 24 ft,,98-83,,
6:55.0,,,98-83,,Defensive rebound by M. Plumlee
6:43.0,,,98-85,2,J. Johnson makes 2-pt shot from 4 ft
6:27.0,K. Olynyk misses 2-pt shot from 2 ft,,98-85,,
6:26.0,,,98-85,,Defensive rebound by T. Young
6:10.0,,,98-87,2,T. Young makes 2-pt shot from 3 ft (assist by D. Williams)
6:10.0,Boston full timeout,,98-87,,
6:10.0,T. Zeller enters the game for K. Olynyk,,98-87,,
6:10.0,A. Bradley enters the game for P. Pressey,,98-87,,
6:10.0,J. Crowder enters the game for M. Smart,,98-87,,
6:10.0,,,98-87,,B. Lopez enters the game for M. Plumlee
5:54.0,J. Jerebko misses 2-pt shot from 7 ft,,98-87,,
5:53.0,,,98-87,,Defensive rebound by D. Williams
5:41.0,,,98-89,2,J. Johnson makes 2-pt shot from 7 ft
5:26.0,T. Zeller misses 2-pt shot from 17 ft,,98-89,,
5:25.0,,,98-89,,Defensive rebound by B. Lopez
5:08.0,,,98-89,,J. Jack misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by J. Jerebko,,98-89,,
4:54.0,J. Jerebko misses 2-pt shot from 4 ft,,98-89,,
4:53.0,,,98-89,,Defensive rebound by T. Young
4:51.0,,,98-89,,Turnover by T. Young (bad pass; steal by A. Bradley)
4:40.0,,,98-89,,Personal foul by D. Williams (drawn by E. Turner)
4:40.0,B. Bass enters the game for J. Jerebko,,98-89,,
4:31.0,Shooting foul by J. Johnson (drawn by J. Crowder),,98-89,,
4:31.0,J. Crowder misses free throw 1 of 2,,98-89,,
4:31.0,Offensive rebound by Team,,98-89,,
4:31.0,J. Crowder makes free throw 2 of 2,1,99-89,,
4:18.0,,,99-89,,Turnover by D. Williams (bad pass; steal by J. Crowder)
4:16.0,,,99-89,,Personal foul by D. Williams (drawn by J. Crowder)
