time,Sacramento,pts.away,score,pts.home,Denver
0:29.0,R. Sessions misses 2-pt shot from 1 ft,,19-22,,
0:28.0,,,19-22,,Defensive rebound by D. Gallinari
0:21.0,,,19-22,,D. Gallinari misses 2-pt shot from 16 ft
0:19.0,Defensive rebound by D. Williams,,19-22,,
0:00.0,D. Williams misses 3-pt shot from 24 ft,,19-22,,
0:00.0,Offensive rebound by Team,,19-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,C. Landry makes 2-pt shot from 2 ft (assist by R. Sessions),2,21-22,,
11:29.0,,,21-22,,Shooting foul by R. Evans (drawn by J. Nurkic)
11:29.0,,,21-22,,J. Nurkic misses free throw 1 of 2
11:29.0,,,21-22,,Offensive rebound by Team
11:29.0,,,21-23,1,J. Nurkic makes free throw 2 of 2
11:02.0,C. Landry makes 2-pt shot from 17 ft (assist by R. Sessions),2,23-23,,
10:54.0,,,23-23,,N. Robinson misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by R. Sessions,,23-23,,
10:32.0,D. Williams misses 2-pt shot from 16 ft,,23-23,,
10:30.0,Offensive rebound by C. Landry,,23-23,,
10:22.0,Shooting foul by J. Nurkic (drawn by R. Sessions),,23-23,,
10:22.0,R. Sessions makes free throw 1 of 2,1,24-23,,
10:22.0,R. Sessions makes free throw 2 of 2,1,25-23,,
10:08.0,,,25-23,,Turnover by J. Nurkic (back court)
10:08.0,,,25-23,,T. Mozgov enters the game for J. Nurkic
9:53.0,C. Landry misses 2-pt shot from 18 ft,,25-23,,
9:51.0,Offensive rebound by O. Casspi,,25-23,,
9:48.0,Shooting foul by R. Foye (drawn by O. Casspi),,25-23,,
9:48.0,O. Casspi makes free throw 1 of 2,1,26-23,,
9:48.0,O. Casspi misses free throw 2 of 2,,26-23,,
9:46.0,,,26-23,,Defensive rebound by D. Arthur
9:37.0,,,26-23,,D. Arthur misses 2-pt shot from 17 ft
9:36.0,Defensive rebound by R. Evans,,26-23,,
9:26.0,R. Sessions misses 2-pt shot from 9 ft,,26-23,,
9:24.0,,,26-23,,Defensive rebound by D. Gallinari
9:14.0,,,26-25,2,N. Robinson makes 2-pt shot from 4 ft (assist by D. Arthur)
8:48.0,C. Landry misses 2-pt shot from 15 ft,,26-25,,
8:44.0,,,26-25,,Defensive rebound by T. Mozgov
8:39.0,,,26-28,3,N. Robinson makes 3-pt shot from 25 ft
8:25.0,,,26-28,,Personal foul by D. Arthur (drawn by R. Sessions)
8:25.0,Official timeout,,26-28,,
8:25.0,R. Gay enters the game for O. Casspi,,26-28,,
8:15.0,C. Landry makes 2-pt shot from 1 ft (assist by R. Gay),2,28-28,,
8:00.0,,,28-28,,D. Gallinari misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by R. Evans,,28-28,,
7:57.0,Shooting foul by N. Robinson (drawn by R. Sessions),,28-28,,
7:57.0,R. Sessions makes free throw 1 of 2,1,29-28,,
7:57.0,,,29-28,,W. Chandler enters the game for D. Gallinari
7:57.0,R. Sessions makes free throw 2 of 2,1,30-28,,
7:43.0,,,30-30,2,N. Robinson makes 2-pt shot from 18 ft
7:32.0,,,30-30,,Personal foul by N. Robinson (drawn by D. Williams)
7:32.0,D. Williams misses free throw 1 of 2,,30-30,,
7:32.0,Offensive rebound by Team,,30-30,,
7:32.0,,,30-30,,K. Faried enters the game for D. Arthur
7:32.0,D. Williams makes free throw 2 of 2,1,31-30,,
7:18.0,,,31-30,,R. Foye misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by D. Williams,,31-30,,
7:00.0,R. Gay misses 2-pt shot from 16 ft,,31-30,,
6:58.0,Offensive rebound by D. Williams,,31-30,,
6:58.0,D. Williams makes 2-pt shot at rim,2,33-30,,
6:43.0,,,33-32,2,T. Mozgov makes 2-pt shot at rim (assist by R. Foye)
6:14.0,R. Gay misses 2-pt shot from 16 ft,,33-32,,
6:13.0,,,33-32,,Defensive rebound by T. Mozgov
6:04.0,,,33-32,,W. Chandler misses 3-pt shot from 22 ft
6:02.0,Defensive rebound by D. Williams,,33-32,,
5:56.0,R. Gay misses 3-pt shot from 24 ft,,33-32,,
5:54.0,Offensive rebound by R. Evans,,33-32,,
5:53.0,Shooting foul by T. Mozgov (drawn by R. Sessions),,33-32,,
5:53.0,,,33-32,,Denver full timeout
5:53.0,D. Collison enters the game for D. Williams,,33-32,,
5:53.0,D. Cousins enters the game for R. Evans,,33-32,,
5:53.0,J. Thompson enters the game for C. Landry,,33-32,,
5:53.0,,,33-32,,T. Lawson enters the game for R. Foye
5:53.0,,,33-32,,A. Afflalo enters the game for N. Robinson
5:53.0,R. Sessions makes free throw 1 of 2,1,34-32,,
5:53.0,R. Sessions makes free throw 2 of 2,1,35-32,,
5:32.0,,,35-34,2,T. Mozgov makes 2-pt shot from 1 ft
5:10.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison),2,37-34,,
5:04.0,,,37-34,,W. Chandler misses 2-pt shot from 21 ft
5:02.0,,,37-34,,Offensive rebound by K. Faried
5:02.0,,,37-34,,K. Faried misses 2-pt shot from 2 ft
4:58.0,Defensive rebound by J. Thompson,,37-34,,
4:50.0,R. Gay misses 2-pt shot from 4 ft,,37-34,,
4:49.0,,,37-34,,Defensive rebound by K. Faried
4:48.0,Loose ball foul by J. Thompson (drawn by K. Faried),,37-34,,
4:36.0,,,37-34,,T. Lawson misses 2-pt shot from 15 ft
4:35.0,,,37-34,,Offensive rebound by T. Mozgov
4:26.0,,,37-36,2,A. Afflalo makes 2-pt shot from 16 ft
4:06.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay),2,39-36,,
3:46.0,,,39-36,,T. Lawson misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by R. Gay,,39-36,,
3:33.0,R. Gay misses 2-pt shot from 15 ft,,39-36,,
3:31.0,,,39-36,,Defensive rebound by K. Faried
3:26.0,,,39-38,2,T. Mozgov makes 2-pt shot at rim (assist by K. Faried)
3:26.0,Sacramento full timeout,,39-38,,
3:26.0,B. McLemore enters the game for R. Gay,,39-38,,
3:26.0,O. Casspi enters the game for R. Sessions,,39-38,,
3:13.0,,,39-38,,Personal foul by W. Chandler (drawn by D. Collison)
3:13.0,D. Collison makes free throw 1 of 2,1,40-38,,
3:13.0,,,40-38,,A. Gee enters the game for W. Chandler
3:13.0,D. Collison makes free throw 2 of 2,1,41-38,,
2:57.0,,,41-38,,Turnover by A. Gee (bad pass; steal by D. Cousins)
2:53.0,Shooting foul by A. Gee (drawn by D. Collison),,41-38,,
2:53.0,D. Collison makes free throw 1 of 2,1,42-38,,
2:53.0,D. Collison makes free throw 2 of 2,1,43-38,,
2:42.0,,,43-40,2,T. Mozgov makes 2-pt shot from 16 ft (assist by T. Lawson)
2:31.0,O. Casspi misses 2-pt shot from 2 ft,,43-40,,
2:30.0,Offensive rebound by J. Thompson,,43-40,,
2:30.0,J. Thompson misses 2-pt shot from 1 ft,,43-40,,
2:29.0,,,43-40,,Defensive rebound by Team
2:16.0,,,43-40,,Turnover by T. Mozgov (lost ball; steal by D. Collison)
2:10.0,D. Collison makes 2-pt shot from 1 ft (assist by O. Casspi),2,45-40,,
1:59.0,,,45-40,,Shooting foul by D. Cousins (drawn by T. Lawson)
1:59.0,,,45-41,1,T. Lawson makes free throw 1 of 2
1:59.0,,,45-42,1,T. Lawson makes free throw 2 of 2
1:40.0,D. Collison makes 2-pt shot from 9 ft,2,47-42,,
1:22.0,,,47-42,,A. Gee misses 2-pt shot from 3 ft (block by O. Casspi)
1:20.0,,,47-42,,Offensive rebound by K. Faried
1:16.0,,,47-44,2,A. Gee makes 2-pt shot at rim
1:16.0,,,47-44,,Shooting foul by B. McLemore (drawn by A. Gee)
1:16.0,,,47-44,,J. Nurkic enters the game for T. Mozgov
1:16.0,,,47-44,,A. Gee misses free throw 1 of 1
1:13.0,Defensive rebound by B. McLemore,,47-44,,
1:13.0,Turnover by B. McLemore (lost ball; steal by K. Faried),,47-44,,
1:13.0,Jump ball: K. Faried vs. B. McLemore (A. Gee gains possession),,,,Jump ball: K. Faried vs. B. McLemore (A. Gee gains possession)
1:09.0,,,47-44,,J. Nurkic misses 2-pt shot from 3 ft (block by D. Cousins)
1:08.0,,,47-44,,Offensive rebound by Team
1:05.0,,,47-44,,Offensive foul by J. Nurkic
1:05.0,,,47-44,,Turnover by J. Nurkic (offensive foul)
0:50.0,D. Cousins misses 2-pt shot from 5 ft,,47-44,,
0:49.0,Offensive rebound by Team,,47-44,,
0:44.0,,,47-44,,Personal block foul by J. Nurkic (drawn by D. Collison)
0:44.0,D. Collison makes free throw 1 of 2,1,48-44,,
0:44.0,R. Evans enters the game for D. Cousins,,48-44,,
0:44.0,,,48-44,,D. Arthur enters the game for J. Nurkic
0:44.0,D. Collison makes free throw 2 of 2,1,49-44,,
0:34.0,,,49-44,,Shooting foul by B. McLemore (drawn by A. Afflalo)
0:34.0,,,49-45,1,A. Afflalo makes free throw 1 of 2
0:34.0,R. Gay enters the game for B. McLemore,,49-45,,
0:34.0,D. Cousins enters the game for R. Evans,,49-45,,
0:34.0,,,49-46,1,A. Afflalo makes free throw 2 of 2
0:10.0,D. Cousins misses 2-pt shot from 3 ft,,49-46,,
0:08.0,Offensive rebound by R. Gay,,49-46,,
0:08.0,Sacramento full timeout,,49-46,,
0:07.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Gay),2,51-46,,
0:01.0,,,51-46,,K. Faried misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by J. Thompson,,51-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,51-46,,Personal foul by T. Mozgov (drawn by D. Cousins)
11:51.0,,,51-46,,J. McGee enters the game for T. Mozgov
11:44.0,R. Gay makes 2-pt shot from 14 ft,2,53-46,,
11:31.0,,,53-46,,T. Lawson misses 2-pt shot from 11 ft
11:28.0,,,53-46,,Offensive rebound by K. Faried
11:25.0,,,53-46,,K. Faried misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by D. Cousins,,53-46,,
11:08.0,B. McLemore misses 3-pt shot from 23 ft,,53-46,,
11:08.0,,,53-46,,Defensive rebound by Team
11:08.0,Personal foul by J. Thompson (drawn by J. McGee),,53-46,,
10:47.0,,,53-49,3,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson)
10:39.0,Turnover by R. Gay (bad pass),,53-49,,
10:25.0,,,53-51,2,J. McGee makes 2-pt shot from 3 ft (assist by A. Afflalo)
10:05.0,Turnover by J. Thompson (3 sec),,53-51,,
9:56.0,,,53-51,,A. Afflalo misses 3-pt shot from 24 ft (block by B. McLemore)
9:53.0,Defensive rebound by D. Cousins,,53-51,,
9:52.0,Shooting foul by K. Faried (drawn by R. Gay),,53-51,,
9:52.0,R. Gay makes free throw 1 of 2,1,54-51,,
9:52.0,R. Gay misses free throw 2 of 2,,54-51,,
9:51.0,,,54-51,,Defensive rebound by K. Faried
9:45.0,,,54-53,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
9:45.0,Sacramento full timeout,,54-53,,
9:30.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,56-53,,
9:14.0,,,56-53,,W. Chandler misses 3-pt shot from 24 ft
9:14.0,,,56-53,,Offensive rebound by K. Faried
9:14.0,Loose ball foul by J. Thompson (drawn by K. Faried),,56-53,,
9:04.0,,,56-55,2,A. Afflalo makes 2-pt shot from 5 ft (assist by K. Faried)
8:47.0,Shooting foul by J. McGee (drawn by D. Cousins),,56-55,,
8:47.0,D. Cousins misses free throw 1 of 2,,56-55,,
8:47.0,Offensive rebound by Team,,56-55,,
8:47.0,D. Cousins makes free throw 2 of 2,1,57-55,,
8:37.0,,,57-55,,W. Chandler misses 2-pt shot from 2 ft (block by R. Gay)
8:35.0,Defensive rebound by B. McLemore,,57-55,,
8:32.0,B. McLemore makes 2-pt shot at rim (assist by D. Collison),2,59-55,,
8:19.0,,,59-55,,Shooting foul by J. Thompson (drawn by T. Lawson)
8:19.0,,,59-56,1,T. Lawson makes free throw 1 of 2
8:19.0,C. Landry enters the game for J. Thompson,,59-56,,
8:19.0,,,59-57,1,T. Lawson makes free throw 2 of 2
8:05.0,D. Cousins misses 2-pt shot from 20 ft,,59-57,,
8:03.0,Offensive rebound by D. Cousins,,59-57,,
7:51.0,D. Collison makes 2-pt shot from 18 ft (assist by C. Landry),2,61-57,,
7:33.0,,,61-59,2,J. McGee makes 2-pt shot from 3 ft (assist by T. Lawson)
7:19.0,C. Landry misses 2-pt shot from 3 ft (block by J. McGee),,61-59,,
7:17.0,,,61-59,,Defensive rebound by J. McGee
7:11.0,,,61-59,,A. Afflalo misses 2-pt shot from 1 ft
7:08.0,,,61-59,,Offensive rebound by W. Chandler
7:08.0,,,61-61,2,W. Chandler makes 2-pt shot at rim
6:50.0,R. Evans enters the game for D. Cousins,,61-61,,
6:45.0,R. Gay misses 2-pt shot from 8 ft (block by W. Chandler),,61-61,,
6:44.0,Offensive rebound by Team,,61-61,,
6:43.0,Turnover by Team (shot clock),,61-61,,
6:29.0,,,61-61,,W. Chandler misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by R. Evans,,61-61,,
6:21.0,D. Collison makes 2-pt shot from 16 ft,2,63-61,,
6:12.0,,,63-63,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
6:12.0,Sacramento full timeout,,63-63,,
6:12.0,O. Casspi enters the game for R. Gay,,63-63,,
6:12.0,,,63-63,,R. Foye enters the game for A. Afflalo
5:55.0,D. Collison makes 2-pt shot from 18 ft,2,65-63,,
5:44.0,,,65-65,2,K. Faried makes 2-pt shot from 5 ft
5:23.0,C. Landry makes 2-pt shot from 2 ft (assist by O. Casspi),2,67-65,,
5:15.0,,,67-65,,J. McGee misses 2-pt shot from 4 ft (block by R. Evans)
5:15.0,,,67-65,,Offensive rebound by Team
5:07.0,,,67-67,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Faried)
4:52.0,,,67-67,,Personal foul by K. Faried (drawn by D. Collison)
4:52.0,,,67-67,,D. Arthur enters the game for K. Faried
4:46.0,D. Collison misses 2-pt shot from 14 ft,,67-67,,
4:45.0,,,67-67,,Defensive rebound by D. Arthur
4:41.0,,,67-67,,Shooting foul by O. Casspi (drawn by J. McGee)
4:41.0,,,67-68,1,J. McGee makes free throw 1 of 2
4:41.0,,,67-69,1,J. McGee makes free throw 2 of 2
4:24.0,Shooting foul by D. Arthur (drawn by D. Collison),,67-69,,
4:24.0,D. Collison misses free throw 1 of 2,,67-69,,
4:24.0,Offensive rebound by Team,,67-69,,
4:24.0,D. Collison makes free throw 2 of 2,1,68-69,,
4:13.0,,,68-69,,T. Lawson misses 2-pt shot from 14 ft
4:11.0,Defensive rebound by R. Evans,,68-69,,
4:03.0,B. McLemore makes 3-pt shot from 24 ft (assist by D. Collison),3,71-69,,
3:50.0,,,71-72,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson)
3:32.0,C. Landry makes 2-pt shot from 16 ft (assist by O. Casspi),2,73-72,,
3:23.0,,,73-72,,R. Foye misses 3-pt shot from 29 ft
3:21.0,Defensive rebound by R. Evans,,73-72,,
3:13.0,Turnover by D. Collison (bad pass; steal by D. Arthur),,73-72,,
2:58.0,,,73-72,,R. Foye misses 2-pt shot from 13 ft
2:55.0,Defensive rebound by R. Evans,,73-72,,
2:48.0,D. Collison misses 2-pt shot from 16 ft,,73-72,,
2:47.0,,,73-72,,Defensive rebound by Team
2:47.0,Loose ball foul by C. Landry (drawn by D. Arthur),,73-72,,
2:47.0,R. Sessions enters the game for D. Collison,,73-72,,
2:47.0,,,73-72,,D. Gallinari enters the game for W. Chandler
2:47.0,,,73-72,,T. Mozgov enters the game for J. McGee
2:47.0,,,73-73,1,D. Arthur makes free throw 1 of 2
2:47.0,,,73-73,,K. Faried enters the game for T. Mozgov
2:47.0,,,73-73,,D. Arthur misses free throw 2 of 2
2:45.0,Defensive rebound by R. Evans,,73-73,,
2:37.0,Loose ball foul by C. Landry (drawn by D. Arthur),,73-73,,
2:37.0,Turnover by C. Landry (offensive foul),,73-73,,
2:37.0,,,73-74,1,D. Arthur makes free throw 1 of 2
2:37.0,,,73-75,1,D. Arthur makes free throw 2 of 2
2:18.0,Turnover by O. Casspi (traveling),,73-75,,
2:09.0,,,73-75,,Turnover by K. Faried (lost ball)
1:45.0,B. McLemore misses 2-pt shot from 22 ft,,73-75,,
1:44.0,,,73-75,,Defensive rebound by D. Arthur
1:39.0,,,73-75,,K. Faried misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by B. McLemore,,73-75,,
1:34.0,Shooting foul by D. Gallinari (drawn by O. Casspi),,73-75,,
1:34.0,O. Casspi makes free throw 1 of 2,1,74-75,,
1:34.0,R. McCallum enters the game for B. McLemore,,74-75,,
1:34.0,O. Casspi makes free throw 2 of 2,1,75-75,,
1:13.0,,,75-75,,D. Gallinari misses 3-pt shot from 22 ft
1:11.0,,,75-75,,Offensive rebound by D. Arthur
1:00.0,,,75-75,,D. Gallinari misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by R. Evans,,75-75,,
0:52.0,,,75-75,,Personal block foul by D. Arthur (drawn by R. Sessions)
0:52.0,R. Sessions makes free throw 1 of 2,1,76-75,,
0:52.0,,,76-75,,Denver full timeout
0:52.0,R. Sessions makes free throw 2 of 2,1,77-75,,
0:41.0,,,77-75,,Turnover by D. Gallinari (bad pass; steal by R. Evans)
0:33.0,C. Landry misses 2-pt shot from 1 ft,,77-75,,
0:31.0,Offensive rebound by R. Evans,,77-75,,
0:31.0,R. Evans makes 2-pt shot from 1 ft,2,79-75,,
0:24.0,,,79-77,2,T. Lawson makes 2-pt shot from 1 ft
0:03.0,Turnover by R. Sessions (bad pass; steal by T. Lawson),,79-77,,
0:01.0,,,79-77,,D. Gallinari misses 3-pt shot from 53 ft
0:00.0,,,79-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Personal foul by R. Evans (drawn by K. Faried),,79-77,,
11:34.0,,,79-77,,K. Faried misses 2-pt shot from 6 ft
11:32.0,Defensive rebound by R. Evans,,79-77,,
11:19.0,Offensive charge foul by C. Landry,,79-77,,
11:19.0,Turnover by C. Landry (offensive foul),,79-77,,
11:01.0,,,79-79,2,R. Foye makes 2-pt shot from 17 ft
10:39.0,Shooting foul by R. Foye (drawn by R. Sessions),,79-79,,
