time,Detroit,pts.away,score,pts.home,Boston
11:25.0,Defensive rebound by S. Dinwiddie,,26-23,,
11:15.0,T. Prince misses 2-pt shot from 20 ft,,26-23,,
11:14.0,,,26-23,,Defensive rebound by J. Crowder
10:56.0,,,26-23,,K. Olynyk misses 2-pt shot from 22 ft
10:55.0,,,26-23,,Offensive rebound by J. Jerebko
10:50.0,,,26-23,,J. Jerebko misses 2-pt shot from 6 ft
10:49.0,Defensive rebound by T. Prince,,26-23,,
10:26.0,S. Dinwiddie misses 3-pt shot from 24 ft,,26-23,,
10:25.0,,,26-23,,Defensive rebound by G. Wallace
10:07.0,,,26-25,2,J. Jerebko makes 2-pt shot from 19 ft (assist by G. Wallace)
9:47.0,J. Meeks misses 3-pt shot from 25 ft,,26-25,,
9:46.0,,,26-25,,Defensive rebound by G. Wallace
9:38.0,,,26-25,,Shooting foul by S. Dinwiddie (drawn by P. Pressey)
9:38.0,,,26-25,,P. Pressey misses free throw 1 of 2
9:38.0,,,26-25,,Offensive rebound by Team
9:38.0,J. Anthony enters the game for A. Drummond,,26-25,,
9:38.0,C. Butler enters the game for K. Caldwell-Pope,,26-25,,
9:38.0,,,26-26,1,P. Pressey makes free throw 2 of 2
9:25.0,J. Meeks misses 3-pt shot from 24 ft,,26-26,,
9:24.0,,,26-26,,Defensive rebound by K. Olynyk
9:14.0,,,26-28,2,K. Olynyk makes 2-pt shot at rim (assist by P. Pressey)
9:04.0,Detroit full timeout,,26-28,,
8:54.0,J. Meeks makes 2-pt shot from 12 ft (assist by S. Dinwiddie),2,28-28,,
8:35.0,,,28-28,,J. Crowder misses 3-pt shot from 23 ft
8:33.0,,,28-28,,Offensive rebound by G. Wallace
8:25.0,,,28-28,,J. Crowder misses 2-pt shot from 22 ft
8:23.0,,,28-28,,Offensive rebound by K. Olynyk
8:09.0,,,28-28,,J. Jerebko misses 2-pt shot from 20 ft
8:08.0,Defensive rebound by S. Dinwiddie,,28-28,,
7:56.0,J. Anthony misses 2-pt shot from 8 ft,,28-28,,
7:54.0,,,28-28,,Defensive rebound by P. Pressey
7:44.0,,,28-28,,K. Olynyk misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by T. Prince,,28-28,,
7:32.0,,,28-28,,Shooting block foul by J. Crowder (drawn by J. Meeks)
7:32.0,J. Meeks makes free throw 1 of 2,1,29-28,,
7:32.0,J. Meeks makes free throw 2 of 2,1,30-28,,
7:20.0,,,30-28,,Shooting foul by J. Anthony (drawn by J. Crowder)
7:20.0,,,30-29,1,J. Crowder makes free throw 1 of 2
7:20.0,,,30-30,1,J. Crowder makes free throw 2 of 2
6:59.0,T. Prince misses 2-pt shot from 12 ft,,30-30,,
6:58.0,,,30-30,,Defensive rebound by G. Wallace
6:51.0,,,30-30,,G. Wallace misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by C. Butler,,30-30,,
6:44.0,T. Prince misses 2-pt shot from 13 ft,,30-30,,
6:43.0,,,30-30,,Defensive rebound by K. Olynyk
6:36.0,,,30-30,,P. Pressey misses 2-pt shot from 4 ft (block by J. Anthony)
6:35.0,,,30-30,,Offensive rebound by J. Jerebko
6:35.0,,,30-32,2,J. Jerebko makes 2-pt shot at rim
6:35.0,,,30-32,,Shooting foul by T. Prince (drawn by J. Jerebko)
6:35.0,,,30-32,,T. Zeller enters the game for K. Olynyk
6:35.0,,,30-32,,E. Turner enters the game for P. Pressey
6:35.0,,,30-33,1,J. Jerebko makes free throw 1 of 1
6:11.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by T. Prince),2,32-33,,
6:01.0,Personal foul by S. Dinwiddie (drawn by E. Turner),,32-33,,
6:01.0,,,32-33,,Boston full timeout
5:51.0,,,32-33,,T. Zeller misses 2-pt shot at rim (block by J. Anthony)
5:49.0,,,32-33,,Offensive rebound by T. Zeller
5:46.0,,,32-33,,T. Zeller misses 2-pt shot at rim
5:45.0,Defensive rebound by C. Butler,,32-33,,
5:22.0,T. Prince misses 2-pt shot at rim,,32-33,,
5:21.0,,,32-33,,Defensive rebound by J. Jerebko
5:11.0,,,32-35,2,E. Turner makes 2-pt shot from 1 ft
4:52.0,Turnover by S. Dinwiddie (bad pass; steal by E. Turner),,32-35,,
4:46.0,,,32-35,,J. Jerebko misses 3-pt shot from 24 ft
4:45.0,,,32-35,,Offensive rebound by J. Crowder
4:43.0,,,32-37,2,J. Crowder makes 2-pt shot at rim
4:23.0,T. Prince makes 2-pt shot from 1 ft,2,34-37,,
4:06.0,,,34-37,,J. Crowder misses 2-pt shot at rim
4:05.0,,,34-37,,Offensive rebound by G. Wallace
4:04.0,,,34-37,,G. Wallace misses 2-pt shot at rim
4:03.0,,,34-37,,Offensive rebound by G. Wallace
4:02.0,,,34-39,2,G. Wallace makes 2-pt shot from 1 ft
3:42.0,,,34-39,,Personal foul by G. Wallace (drawn by J. Meeks)
3:42.0,,,34-39,,A. Bradley enters the game for G. Wallace
3:42.0,A. Drummond enters the game for J. Anthony,,34-39,,
3:42.0,R. Jackson enters the game for S. Dinwiddie,,34-39,,
3:42.0,,,34-39,,B. Bass enters the game for J. Jerebko
3:42.0,A. Tolliver enters the game for T. Prince,,34-39,,
3:32.0,J. Meeks makes 2-pt shot from 15 ft (assist by R. Jackson),2,36-39,,
3:06.0,,,36-39,,E. Turner misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by A. Drummond,,36-39,,
2:54.0,C. Butler makes 3-pt shot from 25 ft (assist by A. Tolliver),3,39-39,,
2:36.0,,,39-41,2,J. Crowder makes 2-pt shot from 11 ft
2:21.0,A. Drummond makes 2-pt shot from 2 ft (assist by A. Tolliver),2,41-41,,
2:12.0,,,41-41,,Turnover by E. Turner (bad pass)
2:12.0,Official timeout,,41-41,,
2:12.0,,,41-41,,K. Olynyk enters the game for T. Zeller
1:57.0,A. Tolliver misses 2-pt shot from 2 ft (block by K. Olynyk),,41-41,,
1:56.0,,,41-41,,Defensive rebound by K. Olynyk
1:49.0,,,41-41,,A. Bradley misses 3-pt shot from 24 ft
1:48.0,,,41-41,,Offensive rebound by A. Bradley
1:33.0,,,41-41,,E. Turner misses 3-pt shot from 24 ft
1:32.0,,,41-41,,Offensive rebound by B. Bass
1:25.0,,,41-44,3,J. Crowder makes 3-pt shot from 25 ft (assist by E. Turner)
1:04.0,R. Jackson misses 2-pt shot from 2 ft,,41-44,,
1:03.0,Offensive rebound by A. Drummond,,41-44,,
1:03.0,A. Drummond misses 2-pt shot from 1 ft,,41-44,,
1:02.0,Offensive rebound by A. Drummond,,41-44,,
1:02.0,A. Drummond misses 2-pt shot from 1 ft,,41-44,,
1:01.0,,,41-44,,Defensive rebound by E. Turner
0:58.0,Shooting block foul by C. Butler (drawn by J. Crowder),,41-44,,
0:58.0,,,41-45,1,J. Crowder makes free throw 1 of 2
0:58.0,K. Caldwell-Pope enters the game for C. Butler,,41-45,,
0:58.0,,,41-45,,J. Crowder misses free throw 2 of 2
0:58.0,Defensive rebound by R. Jackson,,41-45,,
0:42.0,A. Tolliver misses 3-pt shot from 23 ft,,41-45,,
0:41.0,,,41-45,,Defensive rebound by B. Bass
0:30.0,,,41-47,2,J. Crowder makes 2-pt shot from 2 ft (assist by E. Turner)
0:07.0,A. Drummond misses 2-pt shot from 7 ft,,41-47,,
0:06.0,,,41-47,,Defensive rebound by B. Bass
0:04.0,,,41-47,,Turnover by B. Bass (lost ball)
0:04.0,Detroit full timeout,,41-47,,
0:04.0,,,41-47,,T. Zeller enters the game for K. Olynyk
0:02.0,Turnover by K. Caldwell-Pope (step out of bounds),,41-47,,
0:02.0,,,41-47,,Boston full timeout
0:02.0,,,41-47,,K. Olynyk enters the game for T. Zeller
0:02.0,,,41-47,,P. Pressey enters the game for B. Bass
0:00.0,,,41-47,,K. Olynyk misses 2-pt shot from 2 ft (block by A. Tolliver)
0:00.0,,,41-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,41-47,,Offensive foul by K. Olynyk
11:44.0,,,41-47,,Turnover by K. Olynyk (offensive foul)
11:24.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,41-47,,
11:23.0,Offensive rebound by A. Tolliver,,41-47,,
11:16.0,A. Tolliver misses 3-pt shot from 23 ft,,41-47,,
11:15.0,Offensive rebound by K. Caldwell-Pope,,41-47,,
11:09.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,41-47,,
11:07.0,Offensive rebound by K. Caldwell-Pope,,41-47,,
11:00.0,C. Butler misses 3-pt shot from 25 ft,,41-47,,
10:59.0,,,41-47,,Defensive rebound by K. Olynyk
10:45.0,,,41-47,,Turnover by J. Crowder (bad pass)
10:32.0,Turnover by C. Butler (bad pass; steal by E. Turner),,41-47,,
10:23.0,,,41-49,2,E. Turner makes 2-pt shot from 13 ft (assist by K. Olynyk)
9:56.0,A. Tolliver misses 2-pt shot from 2 ft,,41-49,,
9:55.0,,,41-49,,Defensive rebound by K. Olynyk
9:47.0,,,41-51,2,E. Turner makes 2-pt shot from 18 ft
9:31.0,Shooting foul by J. Crowder (drawn by A. Drummond),,41-51,,
9:31.0,A. Drummond misses free throw 1 of 2,,41-51,,
9:31.0,Offensive rebound by Team,,41-51,,
9:31.0,A. Drummond misses free throw 2 of 2,,41-51,,
9:31.0,,,41-51,,Defensive rebound by J. Crowder
9:12.0,,,41-51,,E. Turner misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by A. Drummond,,41-51,,
9:05.0,C. Butler makes 3-pt shot from 25 ft (assist by R. Jackson),3,44-51,,
8:51.0,Shooting block foul by A. Drummond (drawn by K. Olynyk),,44-51,,
8:51.0,,,44-52,1,K. Olynyk makes free throw 1 of 2
8:51.0,,,44-53,1,K. Olynyk makes free throw 2 of 2
8:42.0,Shooting foul by A. Bradley (drawn by R. Jackson),,44-53,,
8:42.0,R. Jackson makes free throw 1 of 2,1,45-53,,
8:42.0,R. Jackson makes free throw 2 of 2,1,46-53,,
8:31.0,,,46-53,,A. Bradley misses 2-pt shot from 22 ft
8:30.0,Defensive rebound by A. Drummond,,46-53,,
8:16.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by C. Butler),3,49-53,,
7:57.0,,,49-56,3,E. Turner makes 3-pt shot from 23 ft (assist by A. Bradley)
7:38.0,A. Drummond misses 2-pt shot from 6 ft,,49-56,,
7:37.0,,,49-56,,Defensive rebound by B. Bass
7:32.0,,,49-56,,J. Crowder misses 2-pt shot from 20 ft
7:31.0,,,49-56,,Offensive rebound by B. Bass
7:28.0,,,49-56,,J. Crowder misses 2-pt shot from 3 ft (block by A. Drummond)
7:26.0,,,49-56,,Offensive rebound by K. Olynyk
7:24.0,,,49-59,3,A. Bradley makes 3-pt shot from 22 ft (assist by K. Olynyk)
7:23.0,Detroit full timeout,,49-59,,
7:09.0,R. Jackson makes 2-pt shot from 22 ft,2,51-59,,
6:49.0,,,51-59,,Turnover by K. Olynyk (3 sec)
6:31.0,Turnover by K. Caldwell-Pope (bad pass; steal by E. Turner),,51-59,,
6:25.0,,,51-59,,K. Olynyk misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by A. Tolliver,,51-59,,
6:15.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,53-59,,
5:59.0,,,53-59,,Offensive foul by B. Bass
5:59.0,,,53-59,,Turnover by B. Bass (offensive foul)
5:47.0,R. Jackson misses 3-pt shot from 24 ft,,53-59,,
5:46.0,Offensive rebound by A. Drummond,,53-59,,
5:29.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,53-59,,
5:27.0,,,53-59,,Defensive rebound by J. Crowder
5:11.0,,,53-59,,B. Bass misses 2-pt shot from 10 ft
5:10.0,Defensive rebound by R. Jackson,,53-59,,
5:06.0,,,53-59,,Violation by A. Bradley (kicked ball)
5:01.0,Shooting foul by B. Bass (drawn by A. Drummond),,53-59,,
5:01.0,A. Drummond misses free throw 1 of 2,,53-59,,
5:01.0,Offensive rebound by Team,,53-59,,
5:01.0,,,53-59,,J. Jerebko enters the game for K. Olynyk
5:01.0,A. Drummond misses free throw 2 of 2,,53-59,,
5:01.0,,,53-59,,Defensive rebound by E. Turner
4:48.0,,,53-62,3,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Bradley)
4:25.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,55-62,,
4:07.0,,,55-65,3,E. Turner makes 3-pt shot from 24 ft (assist by J. Crowder)
3:50.0,Shooting foul by J. Crowder (drawn by K. Caldwell-Pope),,55-65,,
3:50.0,K. Caldwell-Pope makes free throw 1 of 2,1,56-65,,
3:50.0,,,56-65,,G. Wallace enters the game for J. Crowder
3:50.0,T. Prince enters the game for A. Tolliver,,56-65,,
3:50.0,K. Caldwell-Pope makes free throw 2 of 2,1,57-65,,
3:26.0,,,57-65,,J. Jerebko misses 2-pt shot from 11 ft
3:25.0,,,57-65,,Offensive rebound by B. Bass
3:25.0,,,57-65,,B. Bass misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by A. Drummond,,57-65,,
3:19.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,59-65,,
2:54.0,,,59-65,,E. Turner misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by A. Drummond,,59-65,,
2:47.0,Shooting foul by B. Bass (drawn by A. Drummond),,59-65,,
2:47.0,,,59-65,,Boston full timeout
2:47.0,,,59-65,,J. Young enters the game for A. Bradley
2:47.0,A. Drummond misses free throw 1 of 2,,59-65,,
2:47.0,Offensive rebound by Team,,59-65,,
2:47.0,,,59-65,,T. Zeller enters the game for B. Bass
2:47.0,A. Drummond misses free throw 2 of 2,,59-65,,
2:47.0,,,59-65,,Defensive rebound by T. Zeller
2:25.0,,,59-65,,T. Zeller misses 2-pt shot from 17 ft
2:24.0,,,59-65,,Offensive rebound by J. Jerebko
2:24.0,,,59-65,,J. Jerebko misses 2-pt shot from 1 ft
2:21.0,,,59-65,,Offensive rebound by Team
2:21.0,Loose ball foul by C. Butler (drawn by J. Jerebko),,59-65,,
2:16.0,,,59-65,,E. Turner misses 2-pt shot at rim
2:15.0,Defensive rebound by K. Caldwell-Pope,,59-65,,
2:07.0,A. Drummond makes 2-pt shot at rim (assist by T. Prince),2,61-65,,
2:07.0,Shooting foul by T. Zeller (drawn by A. Drummond),,61-65,,
2:07.0,A. Drummond misses free throw 1 of 1,,61-65,,
2:07.0,,,61-65,,Defensive rebound by J. Jerebko
1:51.0,,,61-67,2,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner)
1:42.0,,,61-67,,Personal foul by T. Zeller (drawn by A. Drummond)
1:42.0,A. Drummond makes free throw 1 of 2,1,62-67,,
1:42.0,S. Dinwiddie enters the game for R. Jackson,,62-67,,
1:42.0,A. Drummond makes free throw 2 of 2,1,63-67,,
1:23.0,,,63-67,,T. Zeller misses 2-pt shot from 4 ft
1:22.0,,,63-67,,Offensive rebound by T. Zeller
1:22.0,Personal foul by T. Prince (drawn by T. Zeller),,63-67,,
1:08.0,,,63-67,,J. Jerebko misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by A. Drummond,,63-67,,
0:58.0,A. Drummond misses 2-pt shot from 5 ft,,63-67,,
0:57.0,,,63-67,,Defensive rebound by G. Wallace
0:44.0,,,63-67,,E. Turner misses 2-pt shot from 9 ft
0:42.0,,,63-67,,Offensive rebound by Team
0:31.0,,,63-67,,Turnover by E. Turner (bad pass; steal by K. Caldwell-Pope)
0:24.0,,,63-67,,Personal foul by J. Jerebko (drawn by A. Drummond)
0:24.0,A. Drummond misses free throw 1 of 2,,63-67,,
0:24.0,Offensive rebound by Team,,63-67,,
0:24.0,,,63-67,,L. Datome enters the game for G. Wallace
0:24.0,J. Meeks enters the game for C. Butler,,63-67,,
0:24.0,A. Drummond misses free throw 2 of 2,,63-67,,
0:24.0,,,63-67,,Defensive rebound by T. Zeller
0:01.0,,,63-69,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,66-69,,
11:29.0,,,66-69,,J. Jerebko misses 2-pt shot from 6 ft
11:28.0,Defensive rebound by A. Drummond,,66-69,,
11:19.0,T. Prince misses 2-pt shot from 20 ft,,66-69,,
11:17.0,,,66-69,,Defensive rebound by J. Young
11:07.0,,,66-69,,J. Young misses 2-pt shot from 3 ft
11:06.0,Defensive rebound by A. Drummond,,66-69,,
10:58.0,J. Meeks misses 3-pt shot from 24 ft,,66-69,,
10:57.0,,,66-69,,Defensive rebound by J. Jerebko
10:53.0,,,66-69,,P. Pressey misses 2-pt shot from 3 ft (block by S. Dinwiddie)
10:52.0,,,66-69,,Offensive rebound by J. Jerebko
10:37.0,,,66-72,3,J. Young makes 3-pt shot from 24 ft (assist by J. Crowder)
10:28.0,Offensive foul by S. Dinwiddie,,66-72,,
10:28.0,Turnover by S. Dinwiddie (offensive foul),,66-72,,
10:13.0,,,66-72,,J. Young misses 2-pt shot from 13 ft
10:11.0,Defensive rebound by J. Meeks,,66-72,,
10:08.0,Turnover by J. Meeks (lost ball; steal by J. Young),,66-72,,
10:04.0,,,66-72,,J. Jerebko misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by K. Caldwell-Pope,,66-72,,
9:57.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Crowder),,66-72,,
9:43.0,,,66-72,,J. Young misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by A. Drummond,,66-72,,
9:31.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,66-72,,
9:30.0,Offensive rebound by Team,,66-72,,
9:30.0,,,66-72,,Loose ball foul by T. Zeller (drawn by A. Drummond)
9:30.0,J. Anthony enters the game for A. Drummond,,66-72,,
9:22.0,J. Meeks makes 2-pt shot from 15 ft (assist by S. Dinwiddie),2,68-72,,
9:13.0,,,68-72,,Turnover by P. Pressey (lost ball; steal by S. Dinwiddie)
9:08.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,70-72,,
8:52.0,,,70-72,,Turnover by J. Young (bad pass; steal by S. Dinwiddie)
8:45.0,S. Dinwiddie misses 2-pt shot from 15 ft,,70-72,,
8:43.0,,,70-72,,Defensive rebound by J. Jerebko
8:34.0,,,70-74,2,P. Pressey makes 2-pt shot from 19 ft
8:18.0,S. Dinwiddie makes 2-pt shot from 10 ft,2,72-74,,
8:07.0,,,72-74,,P. Pressey misses 2-pt shot from 20 ft
8:07.0,Defensive rebound by J. Anthony,,72-74,,
7:57.0,S. Dinwiddie makes 2-pt shot from 16 ft,2,74-74,,
7:57.0,,,74-74,,Boston full timeout
7:57.0,,,74-74,,A. Bradley enters the game for T. Zeller
7:57.0,,,74-74,,B. Bass enters the game for J. Jerebko
7:57.0,,,74-74,,K. Olynyk enters the game for J. Young
7:46.0,,,74-76,2,J. Crowder makes 2-pt shot from 2 ft
7:29.0,Turnover by S. Dinwiddie (bad pass),,74-76,,
7:12.0,,,74-78,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:52.0,J. Anthony misses 2-pt shot from 7 ft,,74-78,,
6:51.0,,,74-78,,Defensive rebound by P. Pressey
6:42.0,,,74-78,,B. Bass misses 3-pt shot from 22 ft
6:40.0,Defensive rebound by J. Anthony,,74-78,,
6:31.0,T. Prince makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope),3,77-78,,
6:12.0,,,77-78,,P. Pressey misses 2-pt shot from 4 ft (block by S. Dinwiddie)
6:10.0,,,77-78,,Offensive rebound by B. Bass
6:05.0,,,77-78,,A. Bradley misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by Team,,77-78,,
6:03.0,R. Jackson enters the game for S. Dinwiddie,,77-78,,
5:49.0,J. Anthony makes 2-pt shot at rim (assist by R. Jackson),2,79-78,,
5:23.0,,,79-81,3,A. Bradley makes 3-pt shot from 24 ft (assist by P. Pressey)
5:01.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,79-81,,
4:59.0,,,79-81,,Defensive rebound by B. Bass
4:36.0,,,79-81,,B. Bass misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by R. Jackson,,79-81,,
4:29.0,R. Jackson misses 2-pt shot from 1 ft (block by J. Crowder),,79-81,,
4:28.0,,,79-81,,Defensive rebound by A. Bradley
4:07.0,,,79-81,,A. Bradley misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by J. Meeks,,79-81,,
