time,Washington,pts.away,score,pts.home,Memphis
0:00.0,,,49-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by B. Beal (lost ball),,49-38,,
11:23.0,,,49-40,2,M. Conley makes 2-pt shot at rim (assist by J. Green)
11:05.0,B. Beal makes 2-pt shot from 20 ft,2,51-40,,
10:54.0,,,51-42,2,C. Lee makes 2-pt shot from 18 ft (assist by M. Conley)
10:35.0,D. Gooden makes 2-pt shot from 21 ft (assist by J. Wall),2,53-42,,
10:17.0,,,53-44,2,J. Green makes 2-pt shot at rim (assist by Z. Randolph)
10:03.0,D. Gooden misses 2-pt shot from 21 ft,,53-44,,
10:02.0,,,53-44,,Defensive rebound by J. Green
9:50.0,,,53-44,,Turnover by M. Conley (bad pass; steal by O. Porter)
9:34.0,M. Gortat misses 2-pt shot at rim,,53-44,,
9:32.0,,,53-44,,Defensive rebound by Z. Randolph
9:23.0,,,53-44,,Shooting foul by M. Gortat (drawn by M. Gasol)
9:23.0,,,53-44,,M. Gasol misses free throw 1 of 2
9:23.0,,,53-44,,Offensive rebound by Team
9:23.0,,,53-45,1,M. Gasol makes free throw 2 of 2
9:13.0,J. Wall misses 2-pt shot from 20 ft,,53-45,,
9:11.0,Offensive rebound by O. Porter,,53-45,,
9:08.0,B. Beal misses 3-pt shot from 24 ft,,53-45,,
9:07.0,Offensive rebound by D. Gooden,,53-45,,
9:05.0,Shooting foul by M. Gasol (drawn by D. Gooden),,53-45,,
9:05.0,D. Gooden makes 2-pt shot from 6 ft,2,55-45,,
9:05.0,D. Gooden makes free throw 1 of 1,1,56-45,,
8:45.0,,,56-47,2,Z. Randolph makes 2-pt shot at rim
8:21.0,J. Wall misses 2-pt shot from 18 ft,,56-47,,
8:20.0,,,56-47,,Defensive rebound by J. Green
8:08.0,,,56-47,,Turnover by M. Gasol (bad pass; steal by O. Porter)
8:02.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,58-47,,
7:46.0,,,58-47,,M. Gasol misses 2-pt shot from 7 ft
7:43.0,Defensive rebound by M. Gortat,,58-47,,
7:21.0,B. Beal misses 2-pt shot from 19 ft,,58-47,,
7:19.0,,,58-47,,Defensive rebound by Team
7:08.0,,,58-47,,M. Conley misses 2-pt shot from 10 ft
7:07.0,Defensive rebound by M. Gortat,,58-47,,
6:57.0,J. Wall makes 2-pt shot from 20 ft,2,60-47,,
6:56.0,,,60-47,,Memphis full timeout
6:36.0,,,60-49,2,M. Gasol makes 2-pt shot from 1 ft
6:22.0,Turnover by O. Porter (lost ball),,60-49,,
6:08.0,,,60-51,2,M. Conley makes 2-pt shot from 17 ft
5:42.0,B. Beal makes 2-pt shot from 10 ft,2,62-51,,
5:32.0,,,62-51,,Shooting foul by D. Gooden (drawn by M. Conley)
5:32.0,,,62-52,1,M. Conley makes free throw 1 of 2
5:32.0,,,62-53,1,M. Conley makes free throw 2 of 2
5:10.0,Turnover by J. Wall (bad pass),,62-53,,
4:56.0,,,62-53,,Turnover by Z. Randolph (3 sec)
4:34.0,J. Wall misses 3-pt shot from 25 ft,,62-53,,
4:33.0,,,62-53,,Defensive rebound by Z. Randolph
4:16.0,,,62-53,,Shooting foul by B. Beal (drawn by M. Gasol)
4:16.0,,,62-54,1,M. Gasol makes free throw 1 of 2
4:16.0,,,62-55,1,M. Gasol makes free throw 2 of 2
3:57.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,65-55,,
3:43.0,Personal foul by M. Gortat (drawn by M. Gasol),,65-55,,
3:43.0,R. Sessions enters the game for B. Beal,,65-55,,
3:37.0,,,65-55,,M. Conley misses 2-pt shot from 15 ft
3:35.0,Defensive rebound by O. Porter,,65-55,,
3:26.0,D. Gooden misses 3-pt shot from 25 ft,,65-55,,
3:25.0,Offensive rebound by O. Porter,,65-55,,
3:20.0,Turnover by O. Porter (bad pass; steal by C. Lee),,65-55,,
3:14.0,,,65-55,,Turnover by M. Conley (bad pass; steal by O. Porter)
3:08.0,R. Sessions makes 2-pt shot at rim (assist by J. Wall),2,67-55,,
2:57.0,,,67-55,,Memphis full timeout
2:57.0,Washington full timeout,,67-55,,
2:57.0,K. Humphries enters the game for D. Gooden,,67-55,,
2:57.0,,,67-55,,B. Udrih enters the game for J. Green
2:39.0,,,67-55,,C. Lee misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by J. Wall,,67-55,,
2:22.0,O. Porter misses 2-pt shot from 7 ft,,67-55,,
2:21.0,,,67-55,,Defensive rebound by C. Lee
2:10.0,,,67-55,,M. Conley misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by K. Humphries,,67-55,,
1:58.0,Shooting foul by Z. Randolph (drawn by K. Humphries),,67-55,,
1:58.0,K. Humphries misses free throw 1 of 2,,67-55,,
1:58.0,Offensive rebound by Team,,67-55,,
1:58.0,K. Humphries misses free throw 2 of 2,,67-55,,
1:57.0,,,67-55,,Defensive rebound by Z. Randolph
1:45.0,,,67-57,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
1:27.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,69-57,,
1:09.0,,,69-57,,M. Conley misses 3-pt shot from 22 ft
1:08.0,,,69-57,,Offensive rebound by Team
1:08.0,,,69-57,,J. Green enters the game for Z. Randolph
1:08.0,K. Seraphin enters the game for M. Gortat,,69-57,,
1:08.0,,,69-57,,J. Adams enters the game for M. Conley
1:02.0,,,69-59,2,M. Gasol makes 2-pt shot from 5 ft (assist by C. Lee)
0:42.0,,,69-59,,Personal foul by J. Adams (drawn by R. Sessions)
0:42.0,R. Sessions makes free throw 1 of 2,1,70-59,,
0:42.0,R. Sessions makes free throw 2 of 2,1,71-59,,
0:28.0,,,71-59,,B. Udrih misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Wall,,71-59,,
0:03.0,K. Humphries misses 3-pt shot from 23 ft,,71-59,,
0:01.0,,,71-59,,Defensive rebound by M. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-61,2,V. Carter makes 2-pt shot from 8 ft
11:24.0,R. Sessions makes 3-pt shot from 25 ft (assist by K. Humphries),3,74-61,,
11:11.0,,,74-61,,J. Adams misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by B. Beal,,74-61,,
10:54.0,K. Humphries misses 2-pt shot from 21 ft,,74-61,,
10:53.0,,,74-61,,Defensive rebound by M. Gasol
10:42.0,,,74-63,2,J. Adams makes 2-pt shot at rim (assist by M. Gasol)
10:26.0,K. Humphries misses 2-pt shot from 15 ft,,74-63,,
10:25.0,,,74-63,,Defensive rebound by M. Gasol
10:20.0,Personal foul by B. Beal (drawn by J. Adams),,74-63,,
10:15.0,,,74-63,,Shooting foul by R. Sessions (drawn by B. Udrih)
10:15.0,,,74-64,1,B. Udrih makes free throw 1 of 2
10:15.0,,,74-65,1,B. Udrih makes free throw 2 of 2
10:06.0,B. Beal misses 3-pt shot from 26 ft,,74-65,,
10:04.0,,,74-65,,Defensive rebound by V. Carter
9:51.0,,,74-67,2,J. Green makes 2-pt shot from 1 ft (assist by J. Adams)
9:48.0,Washington full timeout,,74-67,,
9:31.0,Turnover by B. Beal (bad pass),,74-67,,
9:25.0,Personal foul by K. Seraphin (drawn by M. Gasol),,74-67,,
9:16.0,,,74-67,,J. Adams misses 3-pt shot from 22 ft
9:15.0,,,74-67,,Offensive rebound by M. Gasol
9:12.0,,,74-67,,B. Udrih misses 2-pt shot from 1 ft
9:11.0,,,74-67,,Offensive rebound by J. Green
9:11.0,,,74-67,,J. Green misses 2-pt shot at rim
9:09.0,Defensive rebound by R. Sessions,,74-67,,
8:46.0,K. Seraphin makes 2-pt shot from 14 ft (assist by R. Sessions),2,76-67,,
8:34.0,,,76-67,,Turnover by J. Green (offensive foul)
8:34.0,,,76-67,,Offensive foul by J. Green
8:34.0,D. Gooden enters the game for K. Humphries,,76-67,,
8:14.0,R. Butler misses 2-pt shot from 17 ft,,76-67,,
8:12.0,,,76-67,,Defensive rebound by M. Gasol
8:03.0,,,76-67,,J. Green misses 2-pt shot from 19 ft
8:02.0,Defensive rebound by K. Seraphin,,76-67,,
7:53.0,R. Butler makes 3-pt shot from 25 ft (assist by R. Sessions),3,79-67,,
7:34.0,,,79-67,,J. Adams misses 2-pt shot from 1 ft
7:33.0,,,79-67,,Offensive rebound by J. Green
7:33.0,,,79-69,2,J. Green makes 2-pt shot from 2 ft
7:17.0,Offensive foul by K. Seraphin,,79-69,,
7:17.0,Turnover by K. Seraphin (offensive foul),,79-69,,
7:17.0,,,79-69,,K. Koufos enters the game for M. Gasol
7:08.0,,,79-69,,B. Udrih misses 2-pt shot from 8 ft
7:07.0,,,79-69,,Offensive rebound by Team
6:59.0,,,79-69,,J. Adams misses 2-pt shot from 4 ft
6:57.0,Defensive rebound by Team,,79-69,,
6:52.0,B. Beal makes 2-pt shot at rim (assist by R. Sessions),2,81-69,,
6:39.0,,,81-69,,Turnover by B. Udrih (bad pass)
6:20.0,B. Beal misses 3-pt shot from 25 ft,,81-69,,
6:19.0,,,81-69,,Defensive rebound by B. Udrih
6:10.0,,,81-69,,V. Carter misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by B. Beal,,81-69,,
6:09.0,,,81-69,,Personal foul by K. Koufos (drawn by B. Beal)
6:09.0,J. Wall enters the game for R. Sessions,,81-69,,
5:52.0,R. Butler misses 3-pt shot from 22 ft,,81-69,,
5:51.0,,,81-69,,Defensive rebound by K. Koufos
5:40.0,,,81-69,,B. Udrih misses 2-pt shot from 13 ft
5:38.0,,,81-69,,Offensive rebound by J. Green
5:35.0,,,81-71,2,J. Adams makes 2-pt shot at rim (assist by J. Green)
5:35.0,,,81-71,,Shooting foul by K. Seraphin (drawn by J. Adams)
5:35.0,,,81-71,,Memphis full timeout
5:35.0,O. Porter enters the game for R. Butler,,81-71,,
5:35.0,M. Gortat enters the game for K. Seraphin,,81-71,,
5:35.0,,,81-71,,M. Gasol enters the game for K. Koufos
5:35.0,,,81-71,,Z. Randolph enters the game for B. Udrih
5:35.0,,,81-71,,M. Conley enters the game for J. Green
5:35.0,,,81-72,1,J. Adams makes free throw 1 of 1
5:21.0,D. Gooden misses 2-pt shot from 17 ft,,81-72,,
5:19.0,,,81-72,,Defensive rebound by Z. Randolph
5:09.0,,,81-72,,V. Carter misses 2-pt shot from 20 ft
5:08.0,Defensive rebound by M. Gortat,,81-72,,
4:51.0,J. Wall misses 3-pt shot from 22 ft,,81-72,,
4:49.0,,,81-72,,Defensive rebound by V. Carter
4:40.0,,,81-72,,Turnover by V. Carter (bad pass; steal by D. Gooden)
4:37.0,J. Wall makes 2-pt shot at rim (assist by D. Gooden),2,83-72,,
4:22.0,Personal foul by M. Gortat (drawn by M. Gasol),,83-72,,
4:22.0,,,83-73,1,M. Gasol makes free throw 1 of 2
4:22.0,,,83-73,,M. Gasol misses free throw 2 of 2
4:22.0,Defensive rebound by M. Gortat,,83-73,,
3:57.0,B. Beal makes 2-pt shot from 5 ft (assist by J. Wall),2,85-73,,
3:44.0,,,85-75,2,M. Conley makes 2-pt shot from 6 ft
3:21.0,B. Beal misses 3-pt shot from 25 ft,,85-75,,
3:20.0,,,85-75,,Defensive rebound by M. Gasol
3:07.0,,,85-75,,M. Gasol misses 2-pt shot from 11 ft
3:04.0,Defensive rebound by O. Porter,,85-75,,
2:58.0,,,85-75,,Personal foul by M. Gasol (drawn by M. Gortat)
2:58.0,,,85-75,,Memphis full timeout
2:58.0,,,85-75,,C. Lee enters the game for V. Carter
2:47.0,D. Gooden makes 3-pt shot from 22 ft (assist by J. Wall),3,88-75,,
2:32.0,,,88-77,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
2:02.0,B. Beal misses 2-pt shot from 18 ft,,88-77,,
2:01.0,,,88-77,,Defensive rebound by Z. Randolph
1:48.0,,,88-77,,J. Adams misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by D. Gooden,,88-77,,
1:27.0,Turnover by J. Wall (lost ball; steal by C. Lee),,88-77,,
1:24.0,,,88-79,2,M. Conley makes 2-pt shot from 1 ft (assist by C. Lee)
1:17.0,Washington full timeout,,88-79,,
1:03.0,B. Beal makes 2-pt shot at rim,2,90-79,,
0:46.0,,,90-79,,C. Lee misses 2-pt shot from 10 ft
0:46.0,,,90-79,,Offensive rebound by J. Adams
0:46.0,,,90-81,2,J. Adams makes 2-pt shot at rim
0:25.0,M. Gortat misses 2-pt shot from 4 ft (block by J. Adams),,90-81,,
0:23.0,,,90-81,,Defensive rebound by Z. Randolph
0:19.0,,,90-83,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
0:16.0,,,90-83,,Personal take foul by C. Lee (drawn by J. Wall)
0:14.0,,,90-83,,Personal take foul by C. Lee (drawn by J. Wall)
0:14.0,J. Wall makes free throw 1 of 2,1,91-83,,
0:14.0,J. Wall makes free throw 2 of 2,1,92-83,,
0:14.0,,,92-83,,Memphis full timeout
0:10.0,,,92-83,,M. Conley misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by O. Porter,,92-83,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
