time,Milwaukee,pts.away,score,pts.home,Phoenix
5:00.0,,,4-11,,Defensive rebound by E. Bledsoe
4:52.0,,,4-11,,E. Bledsoe misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by G. Antetokounmpo,,4-11,,
4:42.0,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia),2,6-11,,
4:33.0,,,6-11,,Turnover by E. Bledsoe (bad pass)
4:33.0,,,6-11,,M. Morris enters the game for P. Tucker
4:13.0,Shooting foul by E. Bledsoe (drawn by J. Dudley),,6-11,,
4:13.0,J. Dudley misses free throw 1 of 2,,6-11,,
4:13.0,Offensive rebound by Team,,6-11,,
4:13.0,J. Dudley makes free throw 2 of 2,1,7-11,,
3:58.0,,,7-11,,I. Thomas misses 2-pt shot from 17 ft
3:56.0,,,7-11,,Offensive rebound by M. Morris
3:46.0,,,7-13,2,M. Morris makes 2-pt shot from 15 ft
3:33.0,K. Marshall makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,9-13,,
3:21.0,,,9-15,2,E. Bledsoe makes 2-pt shot from 9 ft (assist by I. Thomas)
3:11.0,Offensive charge foul by J. Bayless,,9-15,,
3:11.0,Turnover by J. Bayless (offensive foul),,9-15,,
3:11.0,,,9-15,,G. Green enters the game for E. Bledsoe
2:54.0,,,9-15,,Turnover by M. Morris (bad pass)
2:54.0,,,9-15,,Phoenix full timeout
2:54.0,K. Middleton enters the game for G. Antetokounmpo,,9-15,,
2:44.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Marshall),2,11-15,,
2:28.0,,,11-15,,Turnover by M. Morris (traveling)
2:22.0,Turnover by K. Marshall (bad pass; steal by M. Morris),,11-15,,
2:11.0,Personal foul by K. Marshall (drawn by I. Thomas),,11-15,,
2:02.0,,,11-18,3,M. Morris makes 3-pt shot from 23 ft (assist by I. Thomas)
1:33.0,K. Middleton misses 2-pt shot from 14 ft,,11-18,,
1:31.0,,,11-18,,Defensive rebound by G. Green
1:16.0,,,11-21,3,M. Morris makes 3-pt shot from 23 ft (assist by G. Green)
1:02.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,11-21,,
1:02.0,Z. Pachulia misses free throw 1 of 2,,11-21,,
1:02.0,Offensive rebound by Team,,11-21,,
1:02.0,,,11-21,,A. Tolliver enters the game for M. Morris
1:02.0,Z. Pachulia makes free throw 2 of 2,1,12-21,,
0:39.0,,,12-24,3,I. Thomas makes 3-pt shot from 25 ft (assist by G. Green)
0:30.0,J. Bayless makes 2-pt shot from 1 ft,2,14-24,,
0:08.0,,,14-26,2,I. Thomas makes 2-pt shot from 14 ft
0:00.0,J. Dudley misses 3-pt shot from 23 ft,,14-26,,
0:00.0,Offensive rebound by Team,,14-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Turnover by K. Middleton (lost ball; steal by G. Green),,14-26,,
11:52.0,Personal foul by K. Middleton (drawn by G. Green),,14-26,,
11:38.0,,,14-26,,Turnover by G. Green (lost ball; steal by J. Bayless)
11:34.0,B. Knight makes 2-pt shot at rim (assist by K. Middleton),2,16-26,,
11:21.0,,,16-26,,Turnover by I. Thomas (bad pass; steal by J. Dudley)
11:17.0,Shooting foul by A. Tolliver (drawn by B. Knight),,16-26,,
11:17.0,B. Knight makes free throw 1 of 2,1,17-26,,
11:17.0,B. Knight makes free throw 2 of 2,1,18-26,,
11:00.0,,,18-29,3,A. Tolliver makes 3-pt shot from 23 ft (assist by G. Green)
10:46.0,,,18-29,,Personal foul by A. Tolliver (drawn by J. Bayless)
10:38.0,K. Middleton misses 2-pt shot from 16 ft,,18-29,,
10:36.0,,,18-29,,Defensive rebound by M. Morris
10:22.0,,,18-29,,Shooting foul by L. Sanders (drawn by M. Plumlee)
10:22.0,,,18-29,,M. Plumlee misses free throw 1 of 2
10:22.0,,,18-29,,Offensive rebound by Team
10:22.0,Z. Pachulia enters the game for L. Sanders,,18-29,,
10:22.0,,,18-30,1,M. Plumlee makes free throw 2 of 2
10:07.0,J. Dudley misses 2-pt shot from 19 ft,,18-30,,
10:05.0,,,18-30,,Defensive rebound by M. Morris
9:53.0,Personal foul by J. Bayless (drawn by I. Thomas),,18-30,,
9:53.0,J. Parker enters the game for J. Dudley,,18-30,,
9:53.0,O. Mayo enters the game for J. Bayless,,18-30,,
9:45.0,,,18-30,,G. Green misses 3-pt shot from 25 ft
9:43.0,,,18-30,,Offensive rebound by M. Morris
9:35.0,,,18-30,,M. Morris misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by B. Knight,,18-30,,
9:28.0,,,18-30,,Personal foul by A. Tolliver (drawn by J. Parker)
9:23.0,B. Knight makes 2-pt shot from 5 ft (assist by Z. Pachulia),2,20-30,,
9:07.0,,,20-30,,M. Morris misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by B. Knight,,20-30,,
9:01.0,B. Knight misses 2-pt shot from 4 ft,,20-30,,
8:58.0,,,20-30,,Defensive rebound by M. Plumlee
8:52.0,,,20-30,,I. Thomas misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by O. Mayo,,20-30,,
8:50.0,,,20-30,,Shooting block foul by M. Plumlee (drawn by J. Parker)
8:50.0,Official timeout,,20-30,,
8:50.0,,,20-30,,E. Bledsoe enters the game for M. Morris
8:50.0,,,20-30,,P. Tucker enters the game for A. Tolliver
8:50.0,J. Parker makes free throw 1 of 2,1,21-30,,
8:50.0,J. Parker makes free throw 2 of 2,1,22-30,,
8:35.0,,,22-30,,G. Green misses 3-pt shot from 25 ft
8:34.0,,,22-30,,Offensive rebound by P. Tucker
8:19.0,,,22-30,,I. Thomas misses 2-pt shot from 10 ft
8:17.0,Defensive rebound by B. Knight,,22-30,,
8:05.0,K. Middleton makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,25-30,,
7:41.0,,,25-30,,G. Green misses 3-pt shot from 23 ft
7:40.0,,,25-30,,Offensive rebound by P. Tucker
7:36.0,,,25-33,3,P. Tucker makes 3-pt shot from 23 ft
7:24.0,,,25-33,,Personal foul by I. Thomas (drawn by B. Knight)
7:24.0,B. Knight makes free throw 1 of 2,1,26-33,,
7:24.0,,,26-33,,M. Morris enters the game for I. Thomas
7:24.0,,,26-33,,A. Len enters the game for M. Plumlee
7:24.0,B. Knight makes free throw 2 of 2,1,27-33,,
7:02.0,,,27-35,2,A. Len makes 2-pt shot from 1 ft (assist by M. Morris)
7:02.0,,,27-35,,Shooting foul by Z. Pachulia (drawn by A. Len)
7:02.0,,,27-35,,A. Len misses free throw 1 of 1
7:00.0,Defensive rebound by Z. Pachulia,,27-35,,
6:56.0,K. Middleton makes 2-pt shot at rim (assist by B. Knight),2,29-35,,
6:39.0,,,29-38,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:22.0,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe),,29-38,,
6:05.0,,,29-38,,Turnover by A. Len (bad pass; steal by J. Parker)
6:02.0,J. Parker makes 2-pt shot at rim,2,31-38,,
5:40.0,,,31-41,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
5:17.0,K. Middleton makes 2-pt shot from 17 ft (assist by J. Parker),2,33-41,,
4:46.0,,,33-41,,Turnover by Team (shot clock)
4:46.0,,,33-41,,Phoenix full timeout
4:46.0,G. Antetokounmpo enters the game for J. Parker,,33-41,,
4:28.0,Turnover by B. Knight (bad pass; steal by A. Len),,33-41,,
4:16.0,,,33-41,,A. Len misses 2-pt shot from 15 ft
4:14.0,,,33-41,,Offensive rebound by G. Green
4:05.0,,,33-43,2,E. Bledsoe makes 2-pt shot from 1 ft
3:40.0,B. Knight makes 2-pt shot from 1 ft,2,35-43,,
3:25.0,Personal foul by O. Mayo (drawn by G. Green),,35-43,,
3:25.0,,,35-44,1,G. Green makes free throw 1 of 2
3:25.0,J. Dudley enters the game for K. Middleton,,35-44,,
3:25.0,,,35-45,1,G. Green makes free throw 2 of 2
3:00.0,Z. Pachulia misses 2-pt shot from 15 ft,,35-45,,
2:58.0,Offensive rebound by O. Mayo,,35-45,,
2:54.0,Turnover by O. Mayo (bad pass),,35-45,,
2:54.0,Milwaukee full timeout,,35-45,,
2:54.0,J. Parker enters the game for Z. Pachulia,,35-45,,
2:37.0,,,35-47,2,M. Morris makes 2-pt shot from 8 ft (assist by P. Tucker)
2:20.0,J. Parker misses 2-pt shot from 2 ft,,35-47,,
2:18.0,,,35-47,,Defensive rebound by A. Len
2:12.0,Personal foul by B. Knight (drawn by M. Morris),,35-47,,
2:12.0,,,35-48,1,M. Morris makes free throw 1 of 2
2:12.0,,,35-48,,M. Morris enters the game for A. Len
2:12.0,,,35-49,1,M. Morris makes free throw 2 of 2
2:05.0,,,35-49,,Personal foul by E. Bledsoe (drawn by B. Knight)
2:05.0,B. Knight makes free throw 1 of 2,1,36-49,,
2:05.0,B. Knight makes free throw 2 of 2,1,37-49,,
1:50.0,Personal foul by G. Antetokounmpo (drawn by M. Morris),,37-49,,
1:50.0,,,37-50,1,M. Morris makes free throw 1 of 2
1:50.0,,,37-51,1,M. Morris makes free throw 2 of 2
1:39.0,,,37-51,,Violation by M. Morris (kicked ball)
1:36.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,39-51,,
1:36.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,39-51,,
1:36.0,G. Antetokounmpo makes free throw 1 of 1,1,40-51,,
1:17.0,,,40-51,,G. Green misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by G. Antetokounmpo,,40-51,,
1:12.0,Turnover by G. Antetokounmpo (bad pass),,40-51,,
0:52.0,,,40-51,,M. Morris misses 3-pt shot from 23 ft
0:50.0,,,40-51,,Offensive rebound by M. Morris
0:45.0,,,40-51,,G. Green misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by G. Antetokounmpo,,40-51,,
0:33.0,J. Parker makes 2-pt shot from 1 ft,2,42-51,,
0:16.0,Personal foul by J. Parker (drawn by E. Bledsoe),,42-51,,
0:16.0,,,42-52,1,E. Bledsoe makes free throw 1 of 2
0:16.0,,,42-53,1,E. Bledsoe makes free throw 2 of 2
0:03.0,B. Knight misses 2-pt shot from 3 ft (block by G. Green),,42-53,,
0:01.0,Offensive rebound by J. Parker,,42-53,,
0:01.0,J. Parker makes 2-pt shot from 5 ft,2,44-53,,
0:00.0,,,44-53,,G. Green misses 3-pt shot from 67 ft
0:00.0,,,44-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Parker misses 2-pt shot from 1 ft (block by A. Len),,44-53,,
11:44.0,,,44-53,,Defensive rebound by E. Bledsoe
11:42.0,Personal foul by B. Knight (drawn by E. Bledsoe),,44-53,,
11:30.0,,,44-53,,A. Len misses 2-pt shot from 15 ft
11:28.0,Defensive rebound by O. Mayo,,44-53,,
11:10.0,B. Knight misses 3-pt shot from 22 ft,,44-53,,
11:09.0,,,44-53,,Defensive rebound by Team
10:58.0,,,44-53,,G. Green misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by J. Parker,,44-53,,
10:52.0,,,44-53,,Personal foul by P. Tucker (drawn by J. Parker)
10:52.0,Personal foul by J. Parker,,44-53,,
10:52.0,Milwaukee full timeout,,44-53,,
10:52.0,J. Dudley enters the game for J. Parker,,44-53,,
10:52.0,Jump ball: A. Len vs. L. Sanders (G. Antetokounmpo gains possession),,,,Jump ball: A. Len vs. L. Sanders (G. Antetokounmpo gains possession)
10:40.0,Turnover by O. Mayo (traveling),,44-53,,
10:26.0,,,44-53,,Turnover by E. Bledsoe (lost ball)
10:17.0,L. Sanders misses 2-pt shot from 4 ft,,44-53,,
10:15.0,,,44-53,,Defensive rebound by P. Tucker
10:05.0,,,44-53,,Turnover by M. Morris (lost ball)
9:54.0,Turnover by B. Knight (bad pass; steal by P. Tucker),,44-53,,
9:54.0,Personal foul by L. Sanders (drawn by P. Tucker),,44-53,,
9:31.0,,,44-53,,G. Green misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by G. Antetokounmpo,,44-53,,
9:23.0,Turnover by J. Dudley (bad pass; steal by E. Bledsoe),,44-53,,
9:19.0,,,44-55,2,E. Bledsoe makes 2-pt shot from 1 ft
9:08.0,Shooting foul by A. Len (drawn by O. Mayo),,44-55,,
9:08.0,O. Mayo makes free throw 1 of 2,1,45-55,,
9:08.0,O. Mayo makes free throw 2 of 2,1,46-55,,
8:48.0,,,46-55,,M. Morris misses 2-pt shot from 12 ft
8:45.0,,,46-55,,Offensive rebound by A. Len
8:45.0,,,46-57,2,A. Len makes 2-pt shot at rim
8:33.0,J. Dudley misses 3-pt shot from 24 ft,,46-57,,
8:33.0,Offensive rebound by Team,,46-57,,
8:33.0,,,46-57,,Loose ball foul by A. Len (drawn by L. Sanders)
8:33.0,,,46-57,,M. Plumlee enters the game for A. Len
8:27.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,46-57,,
8:27.0,Offensive rebound by Team,,46-57,,
8:24.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Dudley),3,49-57,,
8:03.0,,,49-59,2,M. Morris makes 2-pt shot from 10 ft (assist by P. Tucker)
7:50.0,B. Knight makes 2-pt shot from 1 ft,2,51-59,,
7:44.0,Personal foul by G. Antetokounmpo (drawn by M. Morris),,51-59,,
7:23.0,,,51-59,,E. Bledsoe misses 2-pt shot from 8 ft
7:22.0,,,51-59,,Offensive rebound by Team
7:22.0,,,51-59,,Turnover by Team (shot clock)
7:12.0,J. Dudley misses 2-pt shot from 19 ft,,51-59,,
7:10.0,,,51-59,,Defensive rebound by G. Green
6:58.0,,,51-62,3,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe)
6:33.0,Turnover by B. Knight (lost ball),,51-62,,
6:14.0,,,51-62,,Shooting foul by L. Sanders (drawn by E. Bledsoe)
6:14.0,,,51-63,1,E. Bledsoe makes free throw 1 of 2
6:14.0,Z. Pachulia enters the game for L. Sanders,,51-63,,
6:14.0,,,51-63,,E. Bledsoe misses free throw 2 of 2
6:13.0,,,51-63,,Offensive rebound by M. Plumlee
6:05.0,,,51-63,,M. Morris misses 3-pt shot from 25 ft
6:02.0,,,51-63,,Offensive rebound by P. Tucker
5:52.0,,,51-63,,Turnover by M. Morris (bad pass; steal by Z. Pachulia)
5:45.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,51-63,,
5:42.0,,,51-63,,Defensive rebound by M. Plumlee
5:34.0,,,51-63,,I. Thomas enters the game for E. Bledsoe
5:34.0,,,51-64,1,M. Plumlee makes flagrant free throw 1 of 2
5:34.0,,,51-64,,M. Plumlee misses flagrant free throw 2 of 2
5:34.0,,,51-64,,Offensive rebound by Team
5:22.0,,,51-64,,Turnover by G. Green (lost ball)
5:22.0,J. Bayless enters the game for O. Mayo,,51-64,,
5:22.0,K. Middleton enters the game for G. Antetokounmpo,,51-64,,
5:05.0,Z. Pachulia makes 2-pt shot at rim (assist by J. Dudley),2,53-64,,
5:05.0,,,53-64,,Violation by M. Plumlee (def goaltending)
4:48.0,Personal foul by K. Middleton (drawn by I. Thomas),,53-64,,
4:48.0,,,53-65,1,I. Thomas makes free throw 1 of 2
4:48.0,,,53-65,,A. Tolliver enters the game for M. Morris
4:48.0,,,53-66,1,I. Thomas makes free throw 2 of 2
4:29.0,Turnover by B. Knight (lost ball; steal by I. Thomas),,53-66,,
4:22.0,,,53-66,,G. Green misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Bayless,,53-66,,
4:12.0,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless),3,56-66,,
3:48.0,,,56-66,,Turnover by I. Thomas (lost ball; steal by J. Dudley)
3:44.0,B. Knight makes 2-pt shot from 1 ft (assist by J. Dudley),2,58-66,,
3:44.0,,,58-66,,Phoenix full timeout
3:44.0,,,58-66,,T. Warren enters the game for P. Tucker
3:44.0,,,58-66,,M. Morris enters the game for G. Green
3:27.0,,,58-66,,Turnover by M. Morris (bad pass; steal by Z. Pachulia)
3:22.0,,,58-66,,Personal foul by M. Morris (drawn by Z. Pachulia)
3:11.0,B. Knight misses 2-pt shot from 6 ft,,58-66,,
3:10.0,,,58-66,,Defensive rebound by M. Morris
2:55.0,,,58-66,,A. Tolliver misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by J. Bayless,,58-66,,
2:47.0,K. Middleton makes 2-pt shot from 5 ft,2,60-66,,
2:30.0,,,60-66,,Shooting foul by J. Bayless (drawn by T. Warren)
2:30.0,,,60-67,1,T. Warren makes free throw 1 of 2
2:30.0,,,60-68,1,T. Warren makes free throw 2 of 2
2:22.0,J. Bayless makes 2-pt shot from 1 ft (assist by B. Knight),2,62-68,,
2:04.0,,,62-68,,Shooting foul by J. Dudley (drawn by I. Thomas)
2:04.0,,,62-68,,I. Thomas misses free throw 1 of 3
2:04.0,,,62-68,,Offensive rebound by Team
2:04.0,,,62-69,1,I. Thomas makes free throw 2 of 3
2:04.0,,,62-70,1,I. Thomas makes free throw 3 of 3
1:52.0,B. Knight misses 2-pt shot from 18 ft,,62-70,,
1:50.0,,,62-70,,Defensive rebound by M. Morris
1:43.0,,,62-70,,M. Morris misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by B. Knight,,62-70,,
1:23.0,J. Bayless makes 3-pt shot from 24 ft (assist by J. Dudley),3,65-70,,
1:01.0,,,65-70,,I. Thomas misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by J. Dudley,,65-70,,
0:53.0,J. Bayless misses 2-pt shot from 7 ft (block by T. Warren),,65-70,,
0:53.0,Offensive rebound by Team,,65-70,,
0:44.0,K. Middleton misses 3-pt shot from 24 ft,,65-70,,
0:42.0,,,65-70,,Defensive rebound by Team
0:32.0,,,65-72,2,M. Plumlee makes 2-pt shot from 8 ft (assist by A. Tolliver)
0:16.0,,,65-72,,Personal foul by T. Warren (drawn by J. Bayless)
0:16.0,O. Mayo enters the game for J. Dudley,,65-72,,
0:03.0,Shooting foul by T. Warren (drawn by J. Bayless),,65-72,,
0:03.0,J. Bayless makes free throw 1 of 2,1,66-72,,
0:03.0,K. Marshall enters the game for B. Knight,,66-72,,
0:03.0,J. Bayless makes free throw 2 of 2,1,67-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,67-72,,A. Tolliver misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by K. Middleton,,67-72,,
11:29.0,O. Mayo makes 3-pt shot from 24 ft (assist by K. Middleton),3,70-72,,
11:16.0,Personal foul by G. Antetokounmpo (drawn by E. Bledsoe),,70-72,,
11:16.0,,,70-72,,M. Morris enters the game for A. Tolliver
11:16.0,,,70-72,,P. Tucker enters the game for M. Morris
11:01.0,,,70-72,,Turnover by Team (shot clock)
10:41.0,Offensive charge foul by O. Mayo,,70-72,,
10:41.0,Turnover by O. Mayo (offensive foul),,70-72,,
10:34.0,,,70-72,,Offensive foul by I. Thomas
10:34.0,,,70-72,,Turnover by I. Thomas (offensive foul)
10:24.0,G. Antetokounmpo makes flagrant free throw 1 of 2,1,71-72,,
10:24.0,G. Antetokounmpo misses flagrant free throw 2 of 2,,71-72,,
10:24.0,Offensive rebound by Team,,71-72,,
10:24.0,,,71-72,,G. Green enters the game for A. Len
10:16.0,Turnover by K. Marshall (bad pass; steal by P. Tucker),,71-72,,
10:13.0,,,71-72,,Turnover by P. Tucker (bad pass; steal by K. Middleton)
9:58.0,K. Marshall misses 3-pt shot from 25 ft,,71-72,,
9:56.0,,,71-72,,Defensive rebound by I. Thomas
9:49.0,Personal foul by G. Antetokounmpo (drawn by M. Morris),,71-72,,
9:41.0,,,71-75,3,I. Thomas makes 3-pt shot from 24 ft (assist by M. Morris)
9:21.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,71-75,,
9:20.0,,,71-75,,Defensive rebound by M. Morris
9:09.0,,,71-77,2,I. Thomas makes 2-pt shot at rim
8:58.0,Turnover by O. Mayo (traveling),,71-77,,
8:58.0,Official timeout,,71-77,,
8:58.0,J. Dudley enters the game for G. Antetokounmpo,,71-77,,
8:58.0,Z. Pachulia enters the game for O. Mayo,,71-77,,
8:58.0,B. Knight enters the game for K. Marshall,,71-77,,
8:43.0,,,71-80,3,I. Thomas makes 3-pt shot from 25 ft
8:24.0,J. Bayless makes 2-pt shot from 22 ft,2,73-80,,
8:03.0,,,73-83,3,I. Thomas makes 3-pt shot from 25 ft
7:44.0,B. Knight misses 2-pt shot from 20 ft,,73-83,,
7:42.0,,,73-83,,Defensive rebound by G. Green
7:22.0,,,73-83,,I. Thomas misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by B. Knight,,73-83,,
7:14.0,J. Dudley makes 3-pt shot from 24 ft (assist by B. Knight),3,76-83,,
6:46.0,,,76-83,,Turnover by M. Morris (bad pass; steal by B. Knight)
6:43.0,,,76-83,,Personal foul by I. Thomas (drawn by J. Bayless)
6:39.0,B. Knight makes 2-pt shot from 5 ft (assist by Z. Pachulia),2,78-83,,
6:12.0,,,78-83,,M. Morris misses 2-pt shot from 13 ft
6:10.0,Defensive rebound by J. Bayless,,78-83,,
5:56.0,K. Middleton makes 2-pt shot from 12 ft,2,80-83,,
5:55.0,,,80-83,,Phoenix full timeout
5:43.0,,,80-83,,Offensive foul by M. Morris
5:43.0,,,80-83,,Turnover by M. Morris (offensive foul)
5:32.0,B. Knight misses 2-pt shot from 6 ft,,80-83,,
5:31.0,Offensive rebound by J. Dudley,,80-83,,
5:23.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Bayless),2,82-83,,
5:02.0,,,82-83,,Turnover by M. Morris (3 sec)
5:02.0,,,82-83,,A. Len enters the game for I. Thomas
4:48.0,B. Knight misses 2-pt shot from 1 ft,,82-83,,
4:47.0,,,82-83,,Defensive rebound by P. Tucker
4:38.0,Personal foul by K. Middleton (drawn by G. Green),,82-83,,
4:32.0,,,82-83,,E. Bledsoe misses 2-pt shot from 1 ft
4:31.0,,,82-83,,Offensive rebound by A. Len
4:31.0,,,82-83,,Shooting foul by K. Middleton (drawn by A. Len)
4:31.0,,,82-84,1,A. Len makes free throw 1 of 2
4:31.0,,,82-85,1,A. Len makes free throw 2 of 2
4:13.0,J. Bayless misses 2-pt shot from 8 ft,,82-85,,
4:12.0,Offensive rebound by Z. Pachulia,,82-85,,
4:12.0,,,82-85,,Personal foul by E. Bledsoe (drawn by Z. Pachulia)
4:07.0,Z. Pachulia makes 2-pt shot from 1 ft,2,84-85,,
3:42.0,,,84-85,,G. Green misses 3-pt shot from 23 ft (block by J. Bayless)
3:40.0,,,84-85,,Offensive rebound by G. Green
3:38.0,,,84-85,,P. Tucker misses 2-pt shot from 22 ft
3:37.0,Defensive rebound by B. Knight,,84-85,,
3:37.0,,,84-85,,Personal foul by G. Green (drawn by B. Knight)
3:23.0,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless),2,86-85,,
