time,Memphis,pts.away,score,pts.home,Detroit
7:02.0,,,13-7,,C. Butler misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by M. Gasol,,13-7,,
6:49.0,M. Gasol misses 2-pt shot from 4 ft,,13-7,,
6:48.0,,,13-7,,Defensive rebound by A. Drummond
6:42.0,,,13-9,2,R. Jackson makes 2-pt shot at rim
6:31.0,B. Udrih misses 2-pt shot from 7 ft,,13-9,,
6:30.0,,,13-9,,Defensive rebound by A. Drummond
6:28.0,,,13-9,,Turnover by R. Jackson (lost ball; steal by Z. Randolph)
6:13.0,J. Green misses 2-pt shot from 10 ft,,13-9,,
6:12.0,,,13-9,,Defensive rebound by A. Tolliver
6:09.0,,,13-11,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
6:09.0,Memphis full timeout,,13-11,,
6:09.0,T. Allen enters the game for J. Green,,13-11,,
5:49.0,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee),2,15-11,,
5:31.0,,,15-11,,Turnover by K. Caldwell-Pope (bad pass; steal by Z. Randolph)
5:27.0,C. Lee makes 2-pt shot at rim (assist by Z. Randolph),2,17-11,,
5:15.0,,,17-14,3,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Jackson)
4:58.0,C. Lee misses 2-pt shot from 16 ft,,17-14,,
4:57.0,Offensive rebound by B. Udrih,,17-14,,
4:46.0,Z. Randolph misses 2-pt shot at rim,,17-14,,
4:45.0,,,17-14,,Defensive rebound by C. Butler
4:38.0,,,17-14,,A. Tolliver misses 2-pt shot from 3 ft (block by M. Gasol)
4:37.0,Defensive rebound by M. Gasol,,17-14,,
4:29.0,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Udrih),2,19-14,,
4:17.0,,,19-14,,A. Tolliver misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by M. Gasol,,19-14,,
4:06.0,Offensive charge foul by M. Gasol,,19-14,,
4:06.0,Turnover by M. Gasol (offensive foul),,19-14,,
4:06.0,,,19-14,,T. Prince enters the game for C. Butler
4:06.0,N. Calathes enters the game for M. Gasol,,19-14,,
4:06.0,K. Koufos enters the game for B. Udrih,,19-14,,
3:49.0,,,19-16,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:25.0,T. Allen makes 2-pt shot at rim (assist by N. Calathes),2,21-16,,
3:14.0,,,21-16,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:12.0,,,21-16,,Offensive rebound by A. Drummond
3:07.0,,,21-16,,Turnover by A. Drummond (bad pass; steal by N. Calathes)
2:59.0,T. Allen misses 2-pt shot from 3 ft,,21-16,,
2:58.0,,,21-16,,Defensive rebound by A. Drummond
2:53.0,,,21-18,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
2:36.0,,,21-18,,Personal foul by R. Jackson (drawn by N. Calathes)
2:36.0,,,21-18,,S. Dinwiddie enters the game for R. Jackson
2:36.0,V. Carter enters the game for C. Lee,,21-18,,
2:31.0,T. Allen misses 2-pt shot from 3 ft (block by A. Drummond),,21-18,,
2:31.0,Offensive rebound by Team,,21-18,,
2:26.0,T. Allen makes 2-pt shot at rim (assist by N. Calathes),2,23-18,,
2:12.0,,,23-18,,A. Tolliver misses 2-pt shot from 5 ft
2:10.0,Defensive rebound by K. Koufos,,23-18,,
1:58.0,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph),3,26-18,,
1:47.0,,,26-18,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by K. Koufos,,26-18,,
1:38.0,N. Calathes misses 2-pt shot from 3 ft (block by A. Drummond),,26-18,,
1:38.0,Offensive rebound by Team,,26-18,,
1:30.0,K. Koufos misses 2-pt shot at rim,,26-18,,
1:29.0,,,26-18,,Defensive rebound by A. Tolliver
1:12.0,,,26-18,,A. Drummond misses 2-pt shot from 5 ft
1:10.0,Defensive rebound by Z. Randolph,,26-18,,
0:54.0,Z. Randolph makes 2-pt shot from 3 ft,2,28-18,,
0:32.0,,,28-18,,T. Prince misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by N. Calathes,,28-18,,
0:19.0,N. Calathes makes 2-pt shot at rim (assist by Z. Randolph),2,30-18,,
0:01.0,,,30-18,,S. Dinwiddie misses 3-pt shot from 26 ft
0:00.0,,,30-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,30-20,2,T. Prince makes 2-pt shot from 18 ft (assist by S. Dinwiddie)
11:10.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Green),3,33-20,,
10:48.0,,,33-20,,S. Williams misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by K. Koufos,,33-20,,
10:39.0,Shooting foul by J. Meeks (drawn by T. Allen),,33-20,,
10:39.0,T. Allen misses free throw 1 of 2,,33-20,,
10:39.0,Offensive rebound by Team,,33-20,,
10:39.0,T. Allen misses free throw 2 of 2,,33-20,,
10:38.0,,,33-20,,Defensive rebound by T. Prince
10:25.0,Personal foul by N. Calathes (drawn by J. Meeks),,33-20,,
10:07.0,,,33-20,,T. Prince misses 2-pt shot from 17 ft
10:06.0,Defensive rebound by T. Allen,,33-20,,
9:52.0,V. Carter misses 3-pt shot from 25 ft,,33-20,,
9:51.0,,,33-20,,Defensive rebound by T. Prince
9:37.0,,,33-20,,Shooting foul by V. Carter (drawn by J. Meeks)
9:37.0,,,33-20,,J. Meeks misses free throw 1 of 2
9:37.0,,,33-20,,Offensive rebound by Team
9:37.0,,,33-21,1,J. Meeks makes free throw 2 of 2
9:20.0,Shooting foul by S. Dinwiddie (drawn by N. Calathes),,33-21,,
9:20.0,N. Calathes makes free throw 1 of 2,1,34-21,,
9:20.0,N. Calathes makes free throw 2 of 2,1,35-21,,
9:02.0,,,35-21,,Turnover by S. Dinwiddie (bad pass; steal by J. Green)
8:55.0,J. Green makes 2-pt shot at rim (assist by N. Calathes),2,37-21,,
8:46.0,,,37-21,,Detroit full timeout
8:46.0,M. Gasol enters the game for K. Koufos,,37-21,,
8:38.0,,,37-21,,S. Williams misses 3-pt shot from 26 ft
8:38.0,,,37-21,,Offensive rebound by Team
8:22.0,,,37-21,,S. Dinwiddie misses 2-pt shot from 2 ft
8:22.0,,,37-21,,Offensive rebound by T. Prince
8:22.0,,,37-21,,Shooting foul by J. Green (drawn by T. Prince)
8:22.0,,,37-22,1,T. Prince makes free throw 1 of 2
8:22.0,,,37-22,,T. Prince misses free throw 2 of 2
8:21.0,Defensive rebound by M. Gasol,,37-22,,
8:05.0,Turnover by M. Gasol (bad pass; steal by S. Williams),,37-22,,
7:59.0,,,37-22,,J. Meeks misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by J. Green,,37-22,,
7:47.0,T. Allen misses 2-pt shot from 1 ft,,37-22,,
7:46.0,Offensive rebound by T. Allen,,37-22,,
7:45.0,T. Allen misses 2-pt shot at rim,,37-22,,
7:42.0,Offensive rebound by N. Calathes,,37-22,,
7:24.0,M. Gasol makes 2-pt shot from 12 ft,2,39-22,,
7:07.0,,,39-22,,Turnover by J. Meeks (lost ball; steal by J. Green)
7:04.0,,,39-22,,Personal foul by S. Dinwiddie (drawn by J. Green)
7:04.0,,,39-22,,A. Drummond enters the game for S. Dinwiddie
7:04.0,,,39-22,,R. Jackson enters the game for J. Meeks
7:04.0,,,39-22,,K. Caldwell-Pope enters the game for J. Anthony
7:04.0,C. Lee enters the game for T. Allen,,39-22,,
6:53.0,M. Gasol misses 2-pt shot from 5 ft,,39-22,,
6:50.0,,,39-22,,Defensive rebound by T. Prince
6:48.0,,,39-22,,Shooting foul by V. Carter (drawn by T. Prince)
6:48.0,,,39-23,1,T. Prince makes free throw 1 of 2
6:48.0,B. Udrih enters the game for N. Calathes,,39-23,,
6:48.0,,,39-24,1,T. Prince makes free throw 2 of 2
6:36.0,B. Udrih makes 2-pt shot at rim (assist by C. Lee),2,41-24,,
6:24.0,,,41-26,2,K. Caldwell-Pope makes 2-pt shot from 5 ft (assist by T. Prince)
6:06.0,Shooting foul by T. Prince (drawn by V. Carter),,41-26,,
6:06.0,V. Carter makes free throw 1 of 2,1,42-26,,
6:06.0,V. Carter makes free throw 2 of 2,1,43-26,,
5:54.0,,,43-29,3,S. Williams makes 3-pt shot from 22 ft (assist by R. Jackson)
5:35.0,B. Udrih misses 2-pt shot from 19 ft,,43-29,,
5:34.0,,,43-29,,Defensive rebound by S. Williams
5:24.0,,,43-29,,R. Jackson misses 2-pt shot from 6 ft
5:22.0,,,43-29,,Offensive rebound by A. Drummond
5:21.0,,,43-29,,A. Drummond misses 2-pt shot at rim
5:18.0,,,43-29,,Offensive rebound by R. Jackson
5:10.0,,,43-32,3,R. Jackson makes 3-pt shot from 27 ft
4:58.0,Memphis full timeout,,43-32,,
4:58.0,Z. Randolph enters the game for V. Carter,,43-32,,
4:45.0,C. Lee misses 3-pt shot from 26 ft,,43-32,,
4:44.0,,,43-32,,Defensive rebound by A. Drummond
4:27.0,,,43-32,,T. Prince misses 2-pt shot from 6 ft
4:27.0,Defensive rebound by Team,,43-32,,
4:27.0,,,43-32,,Loose ball foul by A. Drummond (drawn by M. Gasol)
4:27.0,M. Gasol makes free throw 1 of 2,1,44-32,,
4:27.0,M. Gasol makes free throw 2 of 2,1,45-32,,
4:13.0,,,45-34,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
3:52.0,B. Udrih makes 3-pt shot from 23 ft (assist by M. Gasol),3,48-34,,
3:29.0,,,48-36,2,R. Jackson makes 2-pt shot at rim (assist by A. Drummond)
3:15.0,Shooting foul by R. Jackson (drawn by B. Udrih),,48-36,,
3:15.0,B. Udrih makes free throw 1 of 2,1,49-36,,
3:15.0,,,49-36,,A. Tolliver enters the game for S. Williams
3:15.0,,,49-36,,C. Butler enters the game for T. Prince
3:15.0,T. Allen enters the game for J. Green,,49-36,,
3:15.0,B. Udrih makes free throw 2 of 2,1,50-36,,
3:03.0,,,50-38,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:41.0,M. Gasol misses 2-pt shot from 5 ft,,50-38,,
2:39.0,,,50-38,,Defensive rebound by A. Drummond
2:33.0,,,50-38,,R. Jackson misses 3-pt shot from 26 ft
2:32.0,Defensive rebound by C. Lee,,50-38,,
2:21.0,C. Lee misses 3-pt shot from 26 ft,,50-38,,
2:20.0,,,50-38,,Defensive rebound by A. Tolliver
2:11.0,,,50-38,,A. Tolliver misses 3-pt shot from 26 ft
2:11.0,Defensive rebound by Team,,50-38,,
2:11.0,,,50-38,,Personal foul by A. Drummond (drawn by M. Gasol)
2:11.0,Official timeout,,50-38,,
2:11.0,N. Calathes enters the game for B. Udrih,,50-38,,
2:11.0,,,50-38,,J. Anthony enters the game for A. Drummond
2:11.0,M. Gasol makes free throw 1 of 2,1,51-38,,
2:11.0,M. Gasol makes free throw 2 of 2,1,52-38,,
1:47.0,,,52-38,,R. Jackson misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by Z. Randolph,,52-38,,
1:21.0,N. Calathes misses 3-pt shot from 25 ft,,52-38,,
1:21.0,Offensive rebound by Team,,52-38,,
1:21.0,Turnover by Team (shot clock),,52-38,,
1:08.0,,,52-38,,A. Tolliver misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by M. Gasol,,52-38,,
0:56.0,Z. Randolph misses 2-pt shot from 4 ft,,52-38,,
0:56.0,,,52-38,,Defensive rebound by A. Tolliver
0:56.0,Personal foul by Z. Randolph (drawn by A. Tolliver),,52-38,,
0:56.0,,,52-38,,A. Tolliver misses free throw 1 of 2
0:56.0,,,52-38,,Offensive rebound by Team
0:56.0,,,52-38,,S. Dinwiddie enters the game for R. Jackson
0:56.0,,,52-39,1,A. Tolliver makes free throw 2 of 2
0:43.0,Turnover by N. Calathes (bad pass),,52-39,,
0:22.0,,,52-39,,Detroit full timeout
0:17.0,,,52-39,,A. Tolliver misses 2-pt shot from 20 ft
0:15.0,Defensive rebound by M. Gasol,,52-39,,
0:10.0,Memphis full timeout,,52-39,,
0:10.0,V. Carter enters the game for T. Allen,,52-39,,
0:10.0,B. Udrih enters the game for N. Calathes,,52-39,,
0:05.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,54-39,,
0:01.0,,,54-39,,S. Dinwiddie misses 2-pt shot from 10 ft
0:00.0,,,54-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,54-41,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
11:32.0,J. Green misses 2-pt shot from 17 ft,,54-41,,
11:31.0,,,54-41,,Defensive rebound by A. Drummond
11:12.0,,,54-44,3,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson)
10:49.0,J. Green misses 2-pt shot from 5 ft,,54-44,,
10:48.0,,,54-44,,Defensive rebound by A. Drummond
10:42.0,,,54-46,2,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by R. Jackson)
10:19.0,J. Green makes 2-pt shot from 5 ft (assist by Z. Randolph),2,56-46,,
9:49.0,,,56-46,,R. Jackson misses 2-pt shot from 15 ft
9:48.0,,,56-46,,Offensive rebound by A. Drummond
9:42.0,,,56-49,3,C. Butler makes 3-pt shot from 25 ft (assist by R. Jackson)
9:29.0,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol),2,58-49,,
9:19.0,,,58-52,3,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Jackson)
8:58.0,J. Green makes 3-pt shot from 25 ft (assist by B. Udrih),3,61-52,,
8:47.0,,,61-52,,R. Jackson misses 2-pt shot from 5 ft (block by B. Udrih)
8:46.0,Defensive rebound by B. Udrih,,61-52,,
8:32.0,C. Lee makes 2-pt shot from 18 ft,2,63-52,,
8:19.0,,,63-54,2,K. Caldwell-Pope makes 2-pt shot at rim
8:19.0,,,63-54,,Shooting foul by M. Gasol (drawn by K. Caldwell-Pope)
8:19.0,,,63-55,1,K. Caldwell-Pope makes free throw 1 of 1
8:04.0,C. Lee makes 2-pt shot from 18 ft (assist by M. Gasol),2,65-55,,
7:53.0,Personal foul by B. Udrih (drawn by R. Jackson),,65-55,,
7:45.0,,,65-55,,A. Tolliver misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by J. Green,,65-55,,
7:37.0,,,65-55,,Personal foul by A. Tolliver (drawn by Z. Randolph)
7:26.0,M. Gasol misses 2-pt shot from 18 ft,,65-55,,
7:25.0,Offensive rebound by J. Green,,65-55,,
7:16.0,Turnover by Z. Randolph (bad pass; steal by A. Drummond),,65-55,,
7:07.0,,,65-55,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by Team,,65-55,,
7:07.0,,,65-55,,Loose ball foul by A. Drummond (drawn by M. Gasol)
6:54.0,M. Gasol makes 2-pt shot from 17 ft (assist by B. Udrih),2,67-55,,
6:33.0,,,67-57,2,A. Drummond makes 2-pt shot from 5 ft (assist by C. Butler)
6:04.0,C. Lee misses 3-pt shot from 26 ft,,67-57,,
6:03.0,Offensive rebound by M. Gasol,,67-57,,
5:57.0,,,67-57,,Personal foul by C. Butler (drawn by M. Gasol)
5:57.0,,,67-57,,Detroit full timeout
5:57.0,T. Allen enters the game for J. Green,,67-57,,
5:47.0,M. Gasol makes 2-pt shot from 7 ft (assist by B. Udrih),2,69-57,,
5:30.0,,,69-59,2,R. Jackson makes 2-pt shot from 1 ft
5:14.0,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol),2,71-59,,
5:02.0,,,71-59,,Shooting foul by M. Gasol (drawn by K. Caldwell-Pope)
5:02.0,,,71-60,1,K. Caldwell-Pope makes free throw 1 of 2
5:02.0,,,71-60,,K. Caldwell-Pope misses free throw 2 of 2
5:01.0,Defensive rebound by Z. Randolph,,71-60,,
4:42.0,Z. Randolph misses 2-pt shot from 16 ft,,71-60,,
4:41.0,Offensive rebound by T. Allen,,71-60,,
4:40.0,T. Allen makes 2-pt shot at rim,2,73-60,,
4:27.0,,,73-60,,Turnover by A. Tolliver (bad pass; steal by M. Gasol)
4:15.0,Turnover by T. Allen (bad pass),,73-60,,
4:00.0,,,73-63,3,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson)
3:25.0,C. Lee misses 2-pt shot from 18 ft,,73-63,,
3:25.0,Offensive rebound by Team,,73-63,,
3:25.0,Turnover by Team (shot clock),,73-63,,
3:25.0,N. Calathes enters the game for B. Udrih,,73-63,,
3:06.0,,,73-63,,A. Drummond misses 2-pt shot from 4 ft
3:05.0,Defensive rebound by M. Gasol,,73-63,,
2:59.0,Turnover by N. Calathes (bad pass; steal by A. Tolliver),,73-63,,
2:52.0,,,73-65,2,K. Caldwell-Pope makes 2-pt shot at rim
2:27.0,Turnover by N. Calathes (offensive foul),,73-65,,
2:27.0,Offensive charge foul by N. Calathes,,73-65,,
2:27.0,Memphis full timeout,,73-65,,
2:27.0,V. Carter enters the game for M. Gasol,,73-65,,
2:27.0,K. Koufos enters the game for C. Lee,,73-65,,
2:11.0,,,73-67,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
1:54.0,Z. Randolph misses 2-pt shot from 5 ft (block by A. Drummond),,73-67,,
1:52.0,,,73-67,,Defensive rebound by A. Tolliver
1:47.0,,,73-70,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
1:25.0,Turnover by N. Calathes (traveling),,73-70,,
1:12.0,,,73-73,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
0:59.0,Memphis full timeout,,73-73,,
0:52.0,V. Carter makes 3-pt shot from 22 ft (assist by K. Koufos),3,76-73,,
0:38.0,,,76-75,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
0:30.0,N. Calathes misses 2-pt shot from 5 ft,,76-75,,
0:29.0,Offensive rebound by Z. Randolph,,76-75,,
0:27.0,Z. Randolph misses 2-pt shot at rim (block by A. Drummond),,76-75,,
0:26.0,,,76-75,,Defensive rebound by C. Butler
0:18.0,,,76-75,,A. Tolliver misses 3-pt shot from 24 ft
0:17.0,,,76-75,,Offensive rebound by A. Drummond
0:01.0,,,76-75,,R. Jackson misses 2-pt shot from 5 ft
0:01.0,Defensive rebound by T. Allen,,76-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,76-75,,Personal foul by S. Williams (drawn by K. Koufos)
11:42.0,T. Allen misses 2-pt shot at rim,,76-75,,
11:41.0,,,76-75,,Defensive rebound by S. Williams
11:37.0,Personal foul by N. Calathes (drawn by S. Williams),,76-75,,
11:20.0,,,76-77,2,R. Jackson makes 2-pt shot from 18 ft
11:02.0,Turnover by T. Allen (bad pass),,76-77,,
11:02.0,,,76-77,,J. Meeks enters the game for K. Caldwell-Pope
10:48.0,Personal foul by N. Calathes (drawn by R. Jackson),,76-77,,
10:34.0,,,76-77,,Turnover by T. Prince (lost ball; steal by T. Allen)
10:30.0,Shooting foul by S. Williams (drawn by J. Green),,76-77,,
10:30.0,J. Green makes free throw 1 of 2,1,77-77,,
10:30.0,,,77-77,,S. Dinwiddie enters the game for R. Jackson
10:30.0,J. Green makes free throw 2 of 2,1,78-77,,
10:11.0,,,78-77,,A. Drummond misses 2-pt shot from 6 ft
10:10.0,,,78-77,,Offensive rebound by A. Drummond
10:10.0,,,78-77,,Shooting foul by V. Carter (drawn by A. Drummond)
10:10.0,,,78-77,,A. Drummond misses free throw 1 of 2
10:10.0,,,78-77,,Offensive rebound by Team
10:10.0,,,78-78,1,A. Drummond makes free throw 2 of 2
9:57.0,N. Calathes misses 2-pt shot from 1 ft (block by A. Drummond),,78-78,,
9:55.0,Offensive rebound by K. Koufos,,78-78,,
9:53.0,Offensive charge foul by K. Koufos,,78-78,,
9:53.0,Turnover by K. Koufos (offensive foul),,78-78,,
9:29.0,,,78-80,2,S. Dinwiddie makes 2-pt shot from 17 ft
9:10.0,J. Green makes 2-pt shot from 21 ft (assist by V. Carter),2,80-80,,
8:54.0,,,80-80,,S. Williams misses 3-pt shot from 26 ft
8:53.0,,,80-80,,Offensive rebound by A. Drummond
8:53.0,,,80-80,,Shooting foul by K. Koufos (drawn by A. Drummond)
8:53.0,Official timeout,,80-80,,
8:53.0,B. Udrih enters the game for N. Calathes,,80-80,,
8:53.0,,,80-80,,A. Drummond misses free throw 1 of 2
8:53.0,,,80-80,,Offensive rebound by Team
8:53.0,,,80-81,1,A. Drummond makes free throw 2 of 2
8:38.0,V. Carter misses 3-pt shot from 25 ft,,80-81,,
8:37.0,,,80-81,,Defensive rebound by S. Dinwiddie
8:28.0,,,80-81,,J. Meeks misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by V. Carter,,80-81,,
8:15.0,J. Green makes 2-pt shot from 1 ft (assist by B. Udrih),2,82-81,,
7:56.0,,,82-81,,Turnover by T. Prince (bad pass; steal by T. Allen)
7:48.0,K. Koufos makes 2-pt shot at rim (assist by B. Udrih),2,84-81,,
7:31.0,,,84-84,3,S. Dinwiddie makes 3-pt shot from 26 ft
7:14.0,J. Green misses 2-pt shot from 18 ft,,84-84,,
7:13.0,Offensive rebound by K. Koufos,,84-84,,
7:13.0,,,84-84,,J. Anthony enters the game for A. Drummond
7:08.0,V. Carter misses 2-pt shot from 18 ft,,84-84,,
7:06.0,Offensive rebound by K. Koufos,,84-84,,
6:49.0,V. Carter makes 3-pt shot from 26 ft (assist by K. Koufos),3,87-84,,
6:35.0,,,87-87,3,J. Meeks makes 3-pt shot from 26 ft (assist by S. Williams)
6:35.0,,,87-87,,Shooting foul by V. Carter (drawn by J. Meeks)
6:35.0,,,87-88,1,J. Meeks makes free throw 1 of 1
6:17.0,T. Allen misses 2-pt shot at rim,,87-88,,
6:16.0,,,87-88,,Defensive rebound by J. Meeks
6:07.0,,,87-88,,S. Williams misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by V. Carter,,87-88,,
5:54.0,K. Koufos misses 2-pt shot at rim,,87-88,,
5:53.0,,,87-88,,Defensive rebound by S. Dinwiddie
5:47.0,,,87-88,,S. Dinwiddie misses 2-pt shot from 5 ft
5:47.0,Defensive rebound by J. Green,,87-88,,
5:47.0,Turnover by J. Green (step out of bounds),,87-88,,
5:47.0,,,87-88,,Detroit full timeout
5:47.0,Technical foul by V. Carter,,87-88,,
5:47.0,M. Gasol enters the game for T. Allen,,87-88,,
5:47.0,Z. Randolph enters the game for K. Koufos,,87-88,,
5:47.0,,,87-88,,J. Meeks misses technical free throw
5:47.0,,,87-88,,Offensive rebound by Team
5:42.0,,,87-88,,S. Williams misses 2-pt shot from 17 ft
5:41.0,Defensive rebound by V. Carter,,87-88,,
5:21.0,V. Carter misses 2-pt shot from 7 ft,,87-88,,
5:21.0,Offensive rebound by Team,,87-88,,
5:21.0,,,87-88,,R. Jackson enters the game for S. Dinwiddie
5:21.0,,,87-88,,K. Caldwell-Pope enters the game for J. Meeks
5:09.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,90-88,,
4:57.0,,,90-90,2,R. Jackson makes 2-pt shot from 6 ft
4:57.0,,,90-90,,Shooting foul by B. Udrih (drawn by R. Jackson)
4:57.0,,,90-90,,A. Drummond enters the game for J. Anthony
4:57.0,,,90-90,,A. Tolliver enters the game for S. Williams
4:57.0,T. Allen enters the game for V. Carter,,90-90,,
4:57.0,,,90-91,1,R. Jackson makes free throw 1 of 1
4:38.0,Z. Randolph misses 2-pt shot from 4 ft,,90-91,,
4:36.0,,,90-91,,Defensive rebound by A. Tolliver
4:15.0,,,90-93,2,T. Prince makes 2-pt shot from 19 ft (assist by R. Jackson)
4:00.0,Offensive foul by Z. Randolph,,90-93,,
4:00.0,Turnover by Z. Randolph (offensive foul),,90-93,,
4:00.0,Violation by Team (delay of game),,90-93,,
3:46.0,,,90-95,2,R. Jackson makes 2-pt shot at rim
3:45.0,Memphis full timeout,,90-95,,
3:33.0,Turnover by B. Udrih (bad pass; steal by R. Jackson),,90-95,,
3:28.0,,,90-97,2,T. Prince makes 2-pt shot at rim (assist by R. Jackson)
3:10.0,M. Gasol misses 2-pt shot from 4 ft,,90-97,,
3:09.0,,,90-97,,Defensive rebound by A. Drummond
3:02.0,,,90-97,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by M. Gasol,,90-97,,
2:58.0,Offensive charge foul by M. Gasol,,90-97,,
2:58.0,Turnover by M. Gasol (offensive foul),,90-97,,
2:38.0,,,90-97,,Turnover by R. Jackson (lost ball; steal by T. Allen)
2:36.0,Shooting foul by K. Caldwell-Pope (drawn by J. Green),,90-97,,
2:36.0,J. Green makes free throw 1 of 2,1,91-97,,
2:36.0,J. Green makes free throw 2 of 2,1,92-97,,
2:20.0,,,92-97,,Shooting foul by M. Gasol (drawn by A. Drummond)
2:20.0,C. Lee enters the game for M. Gasol,,92-97,,
2:20.0,,,92-98,1,A. Drummond makes free throw 1 of 2
2:20.0,,,92-99,1,A. Drummond makes free throw 2 of 2
2:05.0,B. Udrih misses 2-pt shot from 7 ft,,92-99,,
2:04.0,,,92-99,,Defensive rebound by R. Jackson
1:54.0,,,92-101,2,R. Jackson makes 2-pt shot at rim
1:54.0,Memphis full timeout,,92-101,,
