time,New York,pts.away,score,pts.home,Boston
3:11.0,Q. Acy enters the game for L. Amundson,,19-18,,
3:11.0,A. Bargnani enters the game for J. Smith,,19-18,,
2:56.0,L. Galloway misses 3-pt shot from 23 ft,,19-18,,
2:55.0,,,19-18,,Defensive rebound by J. Crowder
2:50.0,,,19-21,3,I. Thomas makes 3-pt shot from 24 ft (assist by E. Turner)
2:42.0,,,19-21,,Personal foul by A. Bradley (drawn by L. Galloway)
2:42.0,,,19-21,,Boston full timeout
2:42.0,A. Shved enters the game for J. Calderon,,19-21,,
2:25.0,T. Hardaway makes 2-pt shot from 21 ft,2,21-21,,
2:08.0,,,21-21,,J. Crowder misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by A. Shved,,21-21,,
1:59.0,A. Shved makes 2-pt shot from 1 ft,2,23-21,,
1:48.0,,,23-23,2,I. Thomas makes 2-pt shot from 1 ft
1:40.0,,,23-23,,J. Young enters the game for A. Bradley
1:36.0,,,23-23,,Personal foul by E. Turner (drawn by T. Hardaway)
1:24.0,A. Bargnani misses 2-pt shot from 18 ft,,23-23,,
1:23.0,,,23-23,,Defensive rebound by J. Crowder
1:16.0,,,23-23,,J. Crowder misses 2-pt shot from 2 ft (block by A. Bargnani)
1:15.0,Defensive rebound by Q. Acy,,23-23,,
1:06.0,A. Shved misses 3-pt shot from 25 ft,,23-23,,
1:04.0,,,23-23,,Defensive rebound by I. Thomas
1:02.0,Personal foul by T. Hardaway (drawn by I. Thomas),,23-23,,
1:02.0,C. Early enters the game for T. Hardaway,,23-23,,
0:47.0,,,23-23,,J. Young misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by Q. Acy,,23-23,,
0:29.0,A. Bargnani makes 2-pt shot from 8 ft,2,25-23,,
0:29.0,Shooting foul by B. Bass (drawn by A. Bargnani),,25-23,,
0:29.0,,,25-23,,T. Zeller enters the game for B. Bass
0:29.0,A. Bargnani misses free throw 1 of 1,,25-23,,
0:28.0,,,25-23,,Defensive rebound by E. Turner
0:08.0,,,25-23,,I. Thomas misses 3-pt shot from 24 ft (block by L. Galloway)
0:07.0,Defensive rebound by C. Early,,25-23,,
0:03.0,L. Galloway misses 3-pt shot from 25 ft,,25-23,,
0:00.0,,,25-23,,Defensive rebound by J. Crowder
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,25-23,,Shooting foul by A. Bargnani (drawn by I. Thomas)
11:53.0,,,25-24,1,I. Thomas makes free throw 1 of 2
11:53.0,,,25-25,1,I. Thomas makes free throw 2 of 2
11:31.0,Q. Acy misses 2-pt shot from 2 ft,,25-25,,
11:30.0,,,25-25,,Defensive rebound by J. Jerebko
11:30.0,Personal foul by C. Early (drawn by J. Jerebko),,25-25,,
11:16.0,,,25-25,,J. Jerebko misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by A. Shved,,25-25,,
11:09.0,Shooting foul by T. Zeller (drawn by Q. Acy),,25-25,,
11:09.0,Q. Acy misses free throw 1 of 2,,25-25,,
11:09.0,Offensive rebound by Team,,25-25,,
11:09.0,Q. Acy makes free throw 2 of 2,1,26-25,,
10:56.0,,,26-25,,Shooting foul by A. Shved (drawn by J. Young)
10:56.0,,,26-25,,J. Young misses free throw 1 of 2
10:56.0,,,26-25,,Offensive rebound by Team
10:56.0,,,26-26,1,J. Young makes free throw 2 of 2
10:42.0,Q. Acy misses 3-pt shot from 25 ft,,26-26,,
10:41.0,,,26-26,,Defensive rebound by J. Young
10:31.0,,,26-26,,I. Thomas misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by C. Early,,26-26,,
10:14.0,A. Bargnani misses 2-pt shot from 3 ft,,26-26,,
10:13.0,,,26-26,,Defensive rebound by G. Wallace
10:08.0,,,26-26,,Turnover by J. Jerebko (lost ball; steal by C. Early)
9:54.0,Shooting foul by T. Zeller (drawn by A. Bargnani),,26-26,,
9:54.0,A. Bargnani makes free throw 1 of 2,1,27-26,,
9:54.0,A. Bargnani makes free throw 2 of 2,1,28-26,,
9:38.0,,,28-26,,G. Wallace misses 2-pt shot from 2 ft (block by A. Bargnani)
9:36.0,Defensive rebound by A. Bargnani,,28-26,,
9:19.0,A. Shved misses 2-pt shot from 14 ft,,28-26,,
9:18.0,Offensive rebound by Q. Acy,,28-26,,
9:17.0,,,28-26,,Personal foul by J. Young (drawn by Q. Acy)
9:17.0,,,28-26,,M. Smart enters the game for I. Thomas
9:08.0,A. Shved makes 2-pt shot from 2 ft,2,30-26,,
8:55.0,,,30-26,,Turnover by M. Smart (bad pass; steal by C. Early)
8:51.0,C. Early makes 2-pt shot from 2 ft,2,32-26,,
8:42.0,,,32-26,,Boston full timeout
8:35.0,,,32-26,,Turnover by M. Smart (traveling)
8:25.0,,,32-26,,Personal foul by J. Jerebko (drawn by A. Bargnani)
8:25.0,,,32-26,,A. Bradley enters the game for J. Young
8:18.0,A. Bargnani misses 3-pt shot from 24 ft,,32-26,,
8:17.0,,,32-26,,Defensive rebound by G. Wallace
8:07.0,,,32-28,2,M. Smart makes 2-pt shot from 18 ft
7:51.0,C. Early misses 2-pt shot from 17 ft,,32-28,,
7:50.0,Offensive rebound by Team,,32-28,,
7:50.0,,,32-28,,Loose ball foul by M. Smart (drawn by A. Shved)
7:50.0,A. Shved makes free throw 1 of 2,1,33-28,,
7:50.0,A. Shved makes free throw 2 of 2,1,34-28,,
7:37.0,,,34-30,2,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart)
7:23.0,Q. Acy misses 3-pt shot from 22 ft,,34-30,,
7:22.0,Offensive rebound by A. Bargnani,,34-30,,
7:18.0,Q. Acy misses 2-pt shot from 2 ft,,34-30,,
7:16.0,,,34-30,,Defensive rebound by M. Smart
7:10.0,,,34-30,,Turnover by T. Zeller (lost ball)
6:52.0,,,34-30,,Shooting block foul by T. Zeller (drawn by A. Bargnani)
6:52.0,A. Bargnani makes free throw 1 of 2,1,35-30,,
6:52.0,,,35-30,,J. Crowder enters the game for T. Zeller
6:52.0,J. Smith enters the game for Q. Acy,,35-30,,
6:52.0,A. Bargnani makes free throw 2 of 2,1,36-30,,
6:36.0,,,36-33,3,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Crowder)
6:20.0,J. Calderon makes 3-pt shot from 25 ft (assist by J. Smith),3,39-33,,
6:05.0,,,39-35,2,J. Jerebko makes 2-pt shot from 17 ft (assist by J. Crowder)
5:48.0,Shooting foul by J. Crowder (drawn by J. Smith),,39-35,,
5:48.0,Official timeout,,39-35,,
5:48.0,L. Galloway enters the game for A. Shved,,39-35,,
5:48.0,T. Hardaway enters the game for C. Early,,39-35,,
5:48.0,J. Smith makes free throw 1 of 2,1,40-35,,
5:48.0,J. Smith misses free throw 2 of 2,,40-35,,
5:47.0,,,40-35,,Defensive rebound by G. Wallace
5:30.0,,,40-35,,J. Jerebko misses 2-pt shot at rim
5:29.0,,,40-35,,Offensive rebound by J. Jerebko
5:29.0,,,40-37,2,J. Jerebko makes 2-pt shot at rim
5:12.0,T. Hardaway misses 3-pt shot from 23 ft,,40-37,,
5:11.0,,,40-37,,Defensive rebound by A. Bradley
4:57.0,,,40-37,,Shooting foul by L. Galloway (drawn by M. Smart)
4:57.0,,,40-38,1,M. Smart makes free throw 1 of 2
4:57.0,,,40-38,,E. Turner enters the game for G. Wallace
4:57.0,,,40-38,,M. Smart misses free throw 2 of 2
4:56.0,Defensive rebound by A. Bargnani,,40-38,,
4:46.0,,,40-38,,Personal foul by J. Crowder (drawn by A. Bargnani)
4:46.0,A. Bargnani makes free throw 1 of 2,1,41-38,,
4:46.0,A. Bargnani makes free throw 2 of 2,1,42-38,,
4:33.0,,,42-38,,M. Smart misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by A. Bargnani,,42-38,,
4:16.0,T. Hardaway misses 3-pt shot from 25 ft,,42-38,,
4:15.0,Offensive rebound by J. Smith,,42-38,,
4:02.0,A. Bargnani misses 2-pt shot from 5 ft,,42-38,,
4:01.0,,,42-38,,Defensive rebound by J. Jerebko
3:56.0,,,42-40,2,J. Crowder makes 2-pt shot from 2 ft (assist by E. Turner)
3:38.0,,,42-40,,Personal foul by J. Jerebko (drawn by A. Bargnani)
3:38.0,A. Bargnani misses free throw 1 of 2,,42-40,,
3:38.0,Offensive rebound by Team,,42-40,,
3:38.0,,,42-40,,B. Bass enters the game for J. Jerebko
3:38.0,A. Bargnani makes free throw 2 of 2,1,43-40,,
3:16.0,,,43-42,2,J. Crowder makes 2-pt shot from 7 ft (assist by B. Bass)
2:59.0,J. Smith misses 2-pt shot from 12 ft,,43-42,,
2:58.0,,,43-42,,Defensive rebound by B. Bass
2:47.0,,,43-42,,J. Crowder misses 3-pt shot from 24 ft
2:45.0,,,43-42,,Offensive rebound by M. Smart
2:41.0,,,43-44,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
2:41.0,New York full timeout,,43-44,,
2:41.0,,,43-44,,I. Thomas enters the game for M. Smart
2:41.0,L. Amundson enters the game for A. Bargnani,,43-44,,
2:26.0,L. Amundson makes 2-pt shot from 3 ft (assist by J. Calderon),2,45-44,,
2:12.0,,,45-44,,I. Thomas misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by J. Smith,,45-44,,
2:02.0,J. Smith misses 2-pt shot from 18 ft,,45-44,,
2:01.0,,,45-44,,Defensive rebound by I. Thomas
1:52.0,,,45-44,,A. Bradley misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by L. Galloway,,45-44,,
1:47.0,Offensive foul by J. Smith,,45-44,,
1:47.0,Turnover by J. Smith (offensive foul),,45-44,,
1:37.0,,,45-44,,I. Thomas misses 2-pt shot from 8 ft
1:35.0,Defensive rebound by J. Smith,,45-44,,
1:27.0,L. Galloway makes 2-pt shot from 1 ft,2,47-44,,
1:27.0,Shooting foul by I. Thomas (drawn by L. Galloway),,47-44,,
1:27.0,L. Galloway misses free throw 1 of 1,,47-44,,
1:26.0,,,47-44,,Defensive rebound by E. Turner
1:12.0,,,47-46,2,E. Turner makes 2-pt shot from 13 ft
0:59.0,Turnover by J. Smith (traveling),,47-46,,
0:50.0,,,47-46,,Turnover by E. Turner (bad pass)
0:40.0,Shooting foul by I. Thomas (drawn by J. Calderon),,47-46,,
0:40.0,J. Calderon makes free throw 1 of 2,1,48-46,,
0:40.0,J. Calderon makes free throw 2 of 2,1,49-46,,
0:37.0,,,49-46,,Shooting foul by J. Calderon (drawn by I. Thomas)
0:37.0,,,49-47,1,I. Thomas makes free throw 1 of 2
0:37.0,,,49-48,1,I. Thomas makes free throw 2 of 2
0:13.0,L. Galloway misses 2-pt shot from 4 ft,,49-48,,
0:12.0,,,49-48,,Defensive rebound by E. Turner
0:02.0,,,49-48,,E. Turner misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by T. Hardaway,,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-48,,M. Smart misses 2-pt shot from 2 ft
11:44.0,,,49-48,,Offensive rebound by T. Zeller
11:43.0,,,49-50,2,T. Zeller makes 2-pt shot from 1 ft
11:29.0,,,49-50,,Personal foul by T. Zeller (drawn by L. Amundson)
11:29.0,L. Amundson makes free throw 1 of 2,1,50-50,,
11:29.0,L. Amundson makes free throw 2 of 2,1,51-50,,
11:18.0,,,51-50,,Turnover by A. Bradley (lost ball; steal by T. Hardaway)
11:14.0,T. Hardaway misses 2-pt shot from 1 ft (block by M. Smart),,51-50,,
11:13.0,Offensive rebound by L. Galloway,,51-50,,
11:12.0,L. Galloway misses 2-pt shot from 9 ft,,51-50,,
11:11.0,,,51-50,,Defensive rebound by Team
10:57.0,,,51-52,2,A. Bradley makes 2-pt shot from 21 ft (assist by E. Turner)
10:42.0,J. Smith misses 2-pt shot from 20 ft,,51-52,,
10:41.0,,,51-52,,Defensive rebound by E. Turner
10:32.0,,,51-52,,E. Turner misses 2-pt shot from 13 ft
10:30.0,Defensive rebound by L. Amundson,,51-52,,
10:21.0,L. Amundson makes 2-pt shot from 12 ft (assist by J. Calderon),2,53-52,,
9:58.0,,,53-52,,A. Bradley misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by J. Calderon,,53-52,,
9:49.0,J. Smith makes 2-pt shot from 18 ft (assist by J. Calderon),2,55-52,,
9:33.0,,,55-52,,B. Bass misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by J. Smith,,55-52,,
9:23.0,T. Hardaway misses 2-pt shot from 4 ft,,55-52,,
9:21.0,,,55-52,,Defensive rebound by T. Zeller
9:17.0,,,55-54,2,A. Bradley makes 2-pt shot from 3 ft (assist by E. Turner)
9:17.0,,,55-54,,Shooting foul by J. Smith (drawn by A. Bradley)
9:17.0,,,55-55,1,A. Bradley makes free throw 1 of 1
9:01.0,L. Galloway makes 2-pt shot from 14 ft,2,57-55,,
8:49.0,,,57-57,2,T. Zeller makes 2-pt shot from 7 ft (assist by E. Turner)
8:33.0,J. Smith makes 2-pt shot from 11 ft (assist by L. Amundson),2,59-57,,
8:11.0,,,59-59,2,B. Bass makes 2-pt shot from 9 ft
7:52.0,J. Smith makes 2-pt shot from 8 ft,2,61-59,,
7:37.0,,,61-59,,M. Smart misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by L. Amundson,,61-59,,
7:31.0,,,61-59,,Personal block foul by A. Bradley (drawn by L. Galloway)
7:31.0,C. Early enters the game for T. Hardaway,,61-59,,
7:24.0,Offensive foul by L. Amundson,,61-59,,
7:24.0,Turnover by L. Amundson (offensive foul),,61-59,,
7:10.0,,,61-59,,A. Bradley misses 2-pt shot from 17 ft
7:09.0,Defensive rebound by Team,,61-59,,
6:59.0,L. Galloway makes 3-pt shot from 24 ft (assist by J. Calderon),3,64-59,,
6:52.0,Personal foul by J. Smith (drawn by T. Zeller),,64-59,,
6:52.0,,,64-59,,I. Thomas enters the game for M. Smart
6:52.0,,,64-59,,J. Crowder enters the game for T. Zeller
6:52.0,A. Bargnani enters the game for J. Smith,,64-59,,
6:45.0,,,64-62,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
6:28.0,C. Early makes 2-pt shot from 4 ft,2,66-62,,
6:23.0,,,66-62,,Turnover by I. Thomas (bad pass; steal by L. Galloway)
6:12.0,L. Amundson makes 2-pt shot from 3 ft (assist by J. Calderon),2,68-62,,
5:56.0,,,68-62,,I. Thomas misses 3-pt shot from 24 ft
5:55.0,,,68-62,,Offensive rebound by B. Bass
5:54.0,,,68-64,2,B. Bass makes 2-pt shot at rim
5:52.0,New York full timeout,,68-64,,
5:36.0,L. Galloway misses 2-pt shot from 18 ft,,68-64,,
5:34.0,,,68-64,,Defensive rebound by I. Thomas
5:30.0,,,68-66,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
5:04.0,L. Galloway misses 3-pt shot from 24 ft,,68-66,,
5:03.0,,,68-66,,Defensive rebound by E. Turner
5:03.0,Personal foul by L. Amundson (drawn by E. Turner),,68-66,,
5:03.0,Q. Acy enters the game for L. Amundson,,68-66,,
4:56.0,Shooting block foul by Q. Acy (drawn by J. Crowder),,68-66,,
4:56.0,,,68-66,,J. Crowder misses free throw 1 of 2
4:56.0,,,68-66,,Offensive rebound by Team
4:56.0,,,68-67,1,J. Crowder makes free throw 2 of 2
4:38.0,Turnover by J. Calderon (bad pass),,68-67,,
4:27.0,,,68-69,2,E. Turner makes 2-pt shot from 2 ft (assist by I. Thomas)
4:02.0,C. Early makes 2-pt shot from 1 ft (assist by J. Calderon),2,70-69,,
3:46.0,,,70-69,,J. Crowder misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by C. Early,,70-69,,
3:35.0,A. Bargnani misses 3-pt shot from 25 ft,,70-69,,
3:34.0,,,70-69,,Defensive rebound by J. Crowder
3:16.0,,,70-71,2,J. Crowder makes 2-pt shot at rim (assist by E. Turner)
2:59.0,A. Bargnani makes 2-pt shot from 15 ft (assist by Q. Acy),2,72-71,,
2:43.0,,,72-71,,Shooting foul by Q. Acy (drawn by I. Thomas)
2:43.0,,,72-71,,Boston full timeout
2:43.0,A. Shved enters the game for J. Calderon,,72-71,,
2:43.0,T. Hardaway enters the game for Q. Acy,,72-71,,
2:43.0,,,72-72,1,I. Thomas makes free throw 1 of 2
2:43.0,,,72-73,1,I. Thomas makes free throw 2 of 2
2:22.0,T. Hardaway misses 2-pt shot from 3 ft,,72-73,,
2:21.0,,,72-73,,Defensive rebound by E. Turner
2:10.0,,,72-73,,I. Thomas misses 2-pt shot from 3 ft (block by C. Early)
2:09.0,,,72-73,,Offensive rebound by E. Turner
2:06.0,,,72-73,,A. Bradley misses 3-pt shot from 23 ft
2:04.0,,,72-73,,Offensive rebound by B. Bass
2:04.0,,,72-73,,B. Bass misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by A. Bargnani,,72-73,,
1:50.0,C. Early misses 3-pt shot from 23 ft,,72-73,,
1:49.0,,,72-73,,Defensive rebound by I. Thomas
1:49.0,Personal foul by C. Early (drawn by I. Thomas),,72-73,,
1:49.0,,,72-74,1,I. Thomas makes free throw 1 of 2
1:49.0,,,72-74,,M. Smart enters the game for A. Bradley
1:49.0,,,72-75,1,I. Thomas makes free throw 2 of 2
1:28.0,A. Shved misses 2-pt shot from 14 ft,,72-75,,
1:27.0,,,72-75,,Defensive rebound by J. Crowder
1:16.0,,,72-75,,B. Bass misses 2-pt shot from 12 ft
1:15.0,Defensive rebound by T. Hardaway,,72-75,,
0:52.0,T. Hardaway misses 2-pt shot from 19 ft,,72-75,,
0:50.0,,,72-75,,Defensive rebound by E. Turner
0:42.0,,,72-77,2,B. Bass makes 2-pt shot from 1 ft (assist by J. Crowder)
0:32.0,,,72-77,,Personal foul by B. Bass (drawn by A. Bargnani)
0:32.0,,,72-77,,J. Jerebko enters the game for B. Bass
0:25.0,A. Bargnani misses 2-pt shot from 13 ft,,72-77,,
0:24.0,Offensive rebound by A. Shved,,72-77,,
0:21.0,A. Shved misses 2-pt shot from 2 ft,,72-77,,
0:19.0,Offensive rebound by A. Bargnani,,72-77,,
0:18.0,A. Bargnani misses 2-pt shot from 2 ft,,72-77,,
0:17.0,,,72-77,,Defensive rebound by E. Turner
0:00.0,,,72-80,3,J. Jerebko makes 3-pt shot from 26 ft (assist by E. Turner)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,A. Shved misses 3-pt shot from 24 ft,,72-80,,
11:39.0,,,72-80,,Defensive rebound by I. Thomas
11:33.0,,,72-83,3,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas)
11:12.0,A. Bargnani misses 2-pt shot from 7 ft,,72-83,,
11:11.0,,,72-83,,Defensive rebound by E. Turner
10:49.0,,,72-86,3,M. Smart makes 3-pt shot from 23 ft (assist by J. Jerebko)
10:48.0,New York full timeout,,72-86,,
10:48.0,C. Early enters the game for A. Bargnani,,72-86,,
10:48.0,J. Smith enters the game for A. Shved,,72-86,,
10:37.0,Turnover by J. Calderon (bad pass; steal by M. Smart),,72-86,,
10:27.0,,,72-86,,J. Jerebko misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by C. Early,,72-86,,
10:10.0,C. Early misses 2-pt shot from 20 ft,,72-86,,
10:09.0,,,72-86,,Defensive rebound by I. Thomas
10:07.0,Personal foul by J. Calderon (drawn by I. Thomas),,72-86,,
10:04.0,Personal foul by J. Smith (drawn by E. Turner),,72-86,,
9:50.0,,,72-89,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart)
9:27.0,J. Calderon misses 3-pt shot from 25 ft,,72-89,,
9:26.0,Offensive rebound by Team,,72-89,,
9:26.0,,,72-89,,Personal foul by M. Smart (drawn by J. Smith)
9:26.0,L. Galloway enters the game for C. Early,,72-89,,
9:21.0,Turnover by J. Smith (lost ball; steal by J. Jerebko),,72-89,,
9:19.0,,,72-89,,Shooting foul by Q. Acy (drawn by J. Jerebko)
9:19.0,,,72-90,1,J. Jerebko makes free throw 1 of 2
9:19.0,L. Amundson enters the game for Q. Acy,,72-90,,
9:19.0,,,72-91,1,J. Jerebko makes free throw 2 of 2
9:03.0,L. Amundson makes 2-pt shot from 7 ft (assist by J. Calderon),2,74-91,,
8:52.0,,,74-91,,Shooting foul by J. Calderon (drawn by I. Thomas)
8:52.0,,,74-92,1,I. Thomas makes free throw 1 of 3
8:52.0,,,74-93,1,I. Thomas makes free throw 2 of 3
8:52.0,,,74-94,1,I. Thomas makes free throw 3 of 3
8:34.0,Turnover by T. Hardaway (step out of bounds),,74-94,,
8:34.0,,,74-94,,Violation by Team (delay of game)
8:22.0,,,74-94,,Turnover by I. Thomas (bad pass)
8:16.0,Turnover by J. Smith (bad pass; steal by J. Crowder),,74-94,,
8:09.0,,,74-94,,Turnover by I. Thomas (bad pass; steal by J. Calderon)
8:01.0,T. Hardaway misses 3-pt shot from 24 ft,,74-94,,
8:00.0,,,74-94,,Defensive rebound by J. Jerebko
7:45.0,,,74-96,2,M. Smart makes 2-pt shot from 1 ft (assist by E. Turner)
7:30.0,Shooting foul by E. Turner (drawn by J. Smith),,74-96,,
7:30.0,J. Smith makes free throw 1 of 2,1,75-96,,
7:30.0,C. Early enters the game for T. Hardaway,,75-96,,
7:30.0,J. Smith makes free throw 2 of 2,1,76-96,,
7:16.0,,,76-96,,J. Crowder misses 2-pt shot from 2 ft
7:15.0,,,76-96,,Offensive rebound by J. Crowder
7:12.0,,,76-96,,E. Turner misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by L. Galloway,,76-96,,
6:58.0,J. Calderon misses 3-pt shot from 23 ft,,76-96,,
6:57.0,,,76-96,,Defensive rebound by J. Jerebko
6:43.0,,,76-96,,I. Thomas misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by J. Calderon,,76-96,,
6:33.0,,,76-96,,Personal foul by E. Turner (drawn by L. Amundson)
6:33.0,A. Shved enters the game for J. Calderon,,76-96,,
6:33.0,,,76-96,,A. Bradley enters the game for E. Turner
6:31.0,Shooting foul by J. Crowder (drawn by L. Galloway),,76-96,,
6:31.0,L. Galloway makes 2-pt shot from 2 ft,2,78-96,,
6:31.0,L. Galloway makes free throw 1 of 1,1,79-96,,
6:11.0,,,79-99,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
5:56.0,C. Early makes 2-pt shot from 3 ft,2,81-99,,
5:35.0,,,81-102,3,J. Jerebko makes 3-pt shot from 24 ft (assist by J. Crowder)
5:13.0,L. Amundson misses 2-pt shot from 7 ft,,81-102,,
5:12.0,,,81-102,,Defensive rebound by A. Bradley
5:03.0,,,81-102,,Turnover by I. Thomas (lost ball; steal by L. Amundson)
4:59.0,Turnover by L. Amundson (bad pass; steal by A. Bradley),,81-102,,
4:54.0,,,81-105,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Bradley)
4:52.0,New York full timeout,,81-105,,
4:52.0,Official timeout,,81-105,,
4:52.0,Q. Acy enters the game for L. Amundson,,81-105,,
4:52.0,A. Bargnani enters the game for J. Smith,,81-105,,
4:40.0,Q. Acy makes 2-pt shot from 16 ft (assist by A. Bargnani),2,83-105,,
4:23.0,,,83-107,2,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas)
4:07.0,Turnover by L. Galloway (bad pass; steal by A. Bradley),,83-107,,
3:49.0,,,83-107,,A. Bradley misses 3-pt shot from 25 ft
