time,Milwaukee,pts.away,score,pts.home,Portland
5:18.0,Turnover by B. Knight (bad pass; steal by N. Batum),,12-9,,
5:11.0,,,12-9,,Turnover by T. Robinson (bad pass)
5:11.0,,,12-9,,Portland full timeout
5:11.0,,,12-9,,S. Blake enters the game for W. Matthews
5:11.0,,,12-9,,C. Kaman enters the game for T. Robinson
5:11.0,K. Middleton enters the game for J. Dudley,,12-9,,
5:03.0,O. Mayo misses 2-pt shot from 1 ft,,12-9,,
5:02.0,,,12-9,,Defensive rebound by C. Kaman
4:49.0,,,12-9,,Turnover by D. Lillard (bad pass; steal by O. Mayo)
4:44.0,K. Middleton makes 2-pt shot from 1 ft,2,14-9,,
4:23.0,,,14-9,,L. Aldridge misses 2-pt shot from 8 ft
4:22.0,,,14-9,,Offensive rebound by L. Aldridge
4:04.0,,,14-9,,C. Kaman misses 2-pt shot from 5 ft
4:04.0,,,14-9,,Offensive rebound by C. Kaman
4:02.0,Personal foul by K. Middleton (drawn by C. Kaman),,14-9,,
3:54.0,,,14-9,,Turnover by D. Lillard (bad pass; steal by K. Middleton)
3:48.0,B. Knight makes 2-pt shot from 1 ft (assist by O. Mayo),2,16-9,,
3:33.0,,,16-11,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard)
3:24.0,,,16-11,,Violation by D. Lillard (kicked ball)
3:24.0,J. Dudley enters the game for G. Antetokounmpo,,16-11,,
3:13.0,J. Dudley misses 3-pt shot from 25 ft,,16-11,,
3:13.0,,,16-11,,Defensive rebound by N. Batum
3:10.0,,,16-13,2,D. Lillard makes 2-pt shot at rim (assist by N. Batum)
2:56.0,Shooting foul by C. Kaman (drawn by Z. Pachulia),,16-13,,
2:56.0,Milwaukee full timeout,,16-13,,
2:56.0,,,16-13,,W. Matthews enters the game for D. Lillard
2:56.0,,,16-13,,A. Crabbe enters the game for N. Batum
2:56.0,Z. Pachulia makes free throw 1 of 2,1,17-13,,
2:56.0,Z. Pachulia misses free throw 2 of 2,,17-13,,
2:55.0,,,17-13,,Defensive rebound by L. Aldridge
2:32.0,,,17-13,,C. Kaman misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by Z. Pachulia,,17-13,,
2:15.0,B. Knight makes 2-pt shot from 18 ft,2,19-13,,
1:56.0,,,19-15,2,L. Aldridge makes 2-pt shot from 17 ft (assist by S. Blake)
1:43.0,Shooting foul by C. Kaman (drawn by Z. Pachulia),,19-15,,
1:43.0,Z. Pachulia makes free throw 1 of 2,1,20-15,,
1:43.0,Z. Pachulia makes free throw 2 of 2,1,21-15,,
1:26.0,,,21-18,3,S. Blake makes 3-pt shot from 24 ft (assist by A. Crabbe)
1:12.0,B. Knight makes 2-pt shot from 1 ft,2,23-18,,
0:57.0,,,23-18,,C. Kaman misses 2-pt shot from 12 ft
0:56.0,Defensive rebound by Z. Pachulia,,23-18,,
0:46.0,Z. Pachulia misses 2-pt shot from 17 ft,,23-18,,
0:45.0,,,23-18,,Defensive rebound by L. Aldridge
0:30.0,,,23-18,,C. Kaman misses 2-pt shot from 9 ft
0:30.0,Defensive rebound by Z. Pachulia,,23-18,,
0:12.0,,,23-18,,Violation by C. Kaman (def goaltending)
0:12.0,B. Knight makes 2-pt shot at rim,2,25-18,,
0:03.0,Personal foul by J. Dudley (drawn by C. Kaman),,25-18,,
0:03.0,,,25-18,,D. Lillard enters the game for A. Crabbe
0:03.0,J. O'Bryant enters the game for J. Dudley,,25-18,,
0:03.0,,,25-18,,T. Robinson enters the game for C. Kaman
0:00.0,,,25-18,,S. Blake misses 3-pt shot from 26 ft
0:00.0,,,25-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Marshall misses 2-pt shot from 4 ft,,25-18,,
11:45.0,Offensive rebound by Z. Pachulia,,25-18,,
11:33.0,K. Middleton misses 2-pt shot from 20 ft,,25-18,,
11:32.0,,,25-18,,Defensive rebound by J. Freeland
11:15.0,,,25-20,2,W. Matthews makes 2-pt shot from 5 ft
11:01.0,Turnover by J. Bayless (traveling),,25-20,,
10:38.0,,,25-20,,S. Blake misses 2-pt shot from 18 ft
10:38.0,,,25-20,,Offensive rebound by J. Freeland
10:36.0,,,25-22,2,J. Freeland makes 2-pt shot from 1 ft
10:11.0,J. Bayless makes 2-pt shot from 9 ft,2,27-22,,
9:53.0,,,27-22,,S. Blake misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by J. Bayless,,27-22,,
9:45.0,,,27-22,,Personal foul by S. Blake (drawn by K. Middleton)
9:39.0,J. Bayless makes 2-pt shot from 12 ft (assist by Z. Pachulia),2,29-22,,
9:20.0,,,29-24,2,W. Matthews makes 2-pt shot from 20 ft
9:09.0,,,29-24,,Personal foul by A. Crabbe (drawn by G. Antetokounmpo)
8:57.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,31-24,,
8:46.0,,,31-24,,C. Kaman misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by K. Middleton,,31-24,,
8:39.0,Turnover by J. Bayless (lost ball),,31-24,,
8:39.0,Official timeout,,31-24,,
8:39.0,,,31-24,,C. McCollum enters the game for W. Matthews
8:39.0,,,31-24,,N. Batum enters the game for S. Blake
8:39.0,,,31-24,,D. Lillard enters the game for A. Crabbe
8:39.0,L. Sanders enters the game for Z. Pachulia,,31-24,,
8:20.0,,,31-24,,C. Kaman misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by K. Marshall,,31-24,,
8:01.0,K. Middleton misses 2-pt shot from 7 ft,,31-24,,
8:00.0,,,31-24,,Defensive rebound by J. Freeland
7:51.0,,,31-24,,D. Lillard misses 2-pt shot from 14 ft
7:50.0,,,31-24,,Offensive rebound by J. Freeland
7:44.0,,,31-24,,Shooting foul by K. Marshall (drawn by D. Lillard)
7:44.0,,,31-25,1,D. Lillard makes free throw 1 of 2
7:44.0,,,31-25,,T. Robinson enters the game for C. Kaman
7:44.0,,,31-26,1,D. Lillard makes free throw 2 of 2
7:19.0,L. Sanders makes 2-pt shot from 11 ft (assist by K. Marshall),2,33-26,,
7:01.0,,,33-26,,Turnover by N. Batum (bad pass; steal by K. Middleton)
6:57.0,J. Bayless makes 2-pt shot from 1 ft,2,35-26,,
6:54.0,,,35-26,,Portland full timeout
6:32.0,,,35-29,3,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum)
6:17.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,35-29,,
6:15.0,,,35-29,,Defensive rebound by T. Robinson
6:08.0,,,35-29,,Turnover by J. Freeland (lost ball)
5:53.0,Turnover by K. Marshall (lost ball; steal by D. Lillard),,35-29,,
5:48.0,,,35-29,,Turnover by T. Robinson (bad pass; steal by G. Antetokounmpo)
5:47.0,L. Sanders makes 2-pt shot at rim (assist by J. Bayless),2,37-29,,
5:47.0,Shooting foul by J. Freeland (drawn by L. Sanders),,37-29,,
5:47.0,,,37-29,,L. Aldridge enters the game for J. Freeland
5:47.0,L. Sanders misses free throw 1 of 1,,37-29,,
5:45.0,,,37-29,,Defensive rebound by L. Aldridge
5:34.0,,,37-29,,C. McCollum misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by G. Antetokounmpo,,37-29,,
5:26.0,Shooting foul by C. McCollum (drawn by G. Antetokounmpo),,37-29,,
5:26.0,G. Antetokounmpo makes free throw 1 of 2,1,38-29,,
5:26.0,G. Antetokounmpo makes free throw 2 of 2,1,39-29,,
5:03.0,,,39-31,2,L. Aldridge makes 2-pt shot from 19 ft (assist by C. McCollum)
4:45.0,K. Middleton misses 2-pt shot from 14 ft,,39-31,,
4:44.0,,,39-31,,Defensive rebound by T. Robinson
4:31.0,,,39-34,3,D. Lillard makes 3-pt shot from 28 ft (assist by T. Robinson)
4:23.0,Milwaukee full timeout,,39-34,,
4:23.0,J. O'Bryant enters the game for G. Antetokounmpo,,39-34,,
4:23.0,B. Knight enters the game for J. Bayless,,39-34,,
4:23.0,O. Mayo enters the game for K. Marshall,,39-34,,
4:06.0,O. Mayo misses 3-pt shot from 24 ft,,39-34,,
4:05.0,,,39-34,,Defensive rebound by L. Aldridge
3:49.0,,,39-34,,D. Lillard misses 3-pt shot from 25 ft
3:48.0,,,39-34,,Offensive rebound by Team
3:48.0,,,39-34,,W. Matthews enters the game for C. McCollum
3:45.0,,,39-34,,L. Aldridge misses 2-pt shot from 21 ft
3:44.0,Defensive rebound by L. Sanders,,39-34,,
3:26.0,B. Knight misses 3-pt shot from 24 ft,,39-34,,
3:25.0,,,39-34,,Defensive rebound by L. Aldridge
3:16.0,,,39-34,,Turnover by D. Lillard (bad pass; steal by K. Middleton)
3:12.0,B. Knight misses 2-pt shot from 1 ft (block by T. Robinson),,39-34,,
3:10.0,,,39-34,,Defensive rebound by D. Lillard
3:04.0,,,39-34,,D. Lillard misses 2-pt shot from 18 ft
3:04.0,Defensive rebound by L. Sanders,,39-34,,
2:47.0,K. Middleton misses 2-pt shot from 12 ft,,39-34,,
2:45.0,,,39-34,,Defensive rebound by L. Aldridge
2:27.0,,,39-34,,Turnover by L. Aldridge (bad pass)
2:27.0,J. Dudley enters the game for K. Middleton,,39-34,,
2:27.0,Z. Pachulia enters the game for L. Sanders,,39-34,,
2:19.0,Turnover by O. Mayo (traveling),,39-34,,
2:12.0,,,39-36,2,T. Robinson makes 2-pt shot at rim (assist by N. Batum)
2:12.0,,,39-36,,Shooting foul by J. O'Bryant (drawn by T. Robinson)
2:12.0,,,39-37,1,T. Robinson makes free throw 1 of 1
2:02.0,B. Knight misses 2-pt shot from 20 ft,,39-37,,
2:01.0,,,39-37,,Defensive rebound by D. Lillard
1:45.0,,,39-37,,Turnover by L. Aldridge (lost ball; steal by O. Mayo)
1:45.0,,,39-37,,Personal foul by L. Aldridge (drawn by O. Mayo)
1:45.0,O. Mayo makes free throw 1 of 2,1,40-37,,
1:45.0,G. Antetokounmpo enters the game for J. O'Bryant,,40-37,,
1:45.0,O. Mayo makes free throw 2 of 2,1,41-37,,
1:22.0,,,41-39,2,D. Lillard makes 2-pt shot from 3 ft
1:08.0,Turnover by Z. Pachulia (bad pass),,41-39,,
0:50.0,,,41-39,,D. Lillard misses 3-pt shot from 22 ft
0:49.0,,,41-39,,Offensive rebound by T. Robinson
0:48.0,Personal foul by G. Antetokounmpo (drawn by T. Robinson),,41-39,,
0:35.0,,,41-41,2,T. Robinson makes 2-pt shot at rim (assist by D. Lillard)
0:16.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,41-41,,
0:14.0,,,41-41,,Defensive rebound by L. Aldridge
0:09.0,Personal take foul by O. Mayo (drawn by L. Aldridge),,41-41,,
0:09.0,Milwaukee full timeout,,41-41,,
0:09.0,K. Middleton enters the game for G. Antetokounmpo,,41-41,,
0:09.0,,,41-42,1,L. Aldridge makes free throw 1 of 2
0:09.0,,,41-43,1,L. Aldridge makes free throw 2 of 2
0:00.0,B. Knight misses 2-pt shot from 19 ft,,41-43,,
0:00.0,Offensive rebound by Team,,41-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,B. Knight makes 2-pt shot from 20 ft,2,43-43,,
11:23.0,,,43-45,2,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard)
10:57.0,B. Knight misses 3-pt shot from 24 ft,,43-45,,
10:57.0,,,43-45,,Defensive rebound by N. Batum
10:45.0,,,43-45,,Turnover by W. Matthews (lost ball; steal by J. Dudley)
10:36.0,K. Middleton makes 3-pt shot from 25 ft (assist by O. Mayo),3,46-45,,
10:16.0,,,46-45,,Turnover by T. Robinson (lost ball)
10:04.0,O. Mayo makes 2-pt shot from 15 ft,2,48-45,,
9:46.0,,,48-45,,L. Aldridge misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by K. Middleton,,48-45,,
9:35.0,O. Mayo misses 2-pt shot from 18 ft,,48-45,,
9:34.0,Offensive rebound by L. Sanders,,48-45,,
9:32.0,L. Sanders makes 2-pt shot from 1 ft,2,50-45,,
9:15.0,,,50-48,3,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum)
9:02.0,Turnover by B. Knight (bad pass; steal by T. Robinson),,50-48,,
8:55.0,,,50-48,,N. Batum misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by Team,,50-48,,
8:45.0,,,50-48,,Personal foul by W. Matthews (drawn by O. Mayo)
8:38.0,Shooting foul by L. Aldridge (drawn by L. Sanders),,50-48,,
8:38.0,L. Sanders makes free throw 1 of 2,1,51-48,,
8:38.0,L. Sanders misses free throw 2 of 2,,51-48,,
8:37.0,,,51-48,,Defensive rebound by T. Robinson
8:22.0,,,51-51,3,D. Lillard makes 3-pt shot from 25 ft
8:07.0,B. Knight misses 2-pt shot from 19 ft,,51-51,,
8:07.0,,,51-51,,Defensive rebound by T. Robinson
7:57.0,,,51-51,,Shooting foul by L. Sanders (drawn by T. Robinson)
7:57.0,,,51-51,,T. Robinson misses free throw 1 of 2
7:57.0,,,51-51,,Offensive rebound by Team
7:57.0,,,51-51,,T. Robinson misses free throw 2 of 2
7:55.0,,,51-51,,Offensive rebound by N. Batum
7:49.0,,,51-53,2,T. Robinson makes 2-pt shot from 5 ft (assist by W. Matthews)
7:31.0,O. Mayo misses 2-pt shot from 11 ft,,51-53,,
7:31.0,,,51-53,,Defensive rebound by L. Aldridge
7:22.0,,,51-55,2,W. Matthews makes 2-pt shot from 9 ft (assist by N. Batum)
6:56.0,K. Middleton makes 3-pt shot from 23 ft (assist by J. Dudley),3,54-55,,
6:40.0,,,54-55,,Portland full timeout
6:30.0,,,54-55,,W. Matthews misses 3-pt shot from 23 ft
6:28.0,,,54-55,,Offensive rebound by L. Aldridge
6:24.0,,,54-55,,D. Lillard misses 2-pt shot at rim
6:22.0,Defensive rebound by B. Knight,,54-55,,
6:11.0,O. Mayo makes 2-pt shot from 21 ft (assist by B. Knight),2,56-55,,
5:52.0,,,56-57,2,L. Aldridge makes 2-pt shot from 20 ft (assist by N. Batum)
5:38.0,J. Dudley misses 3-pt shot from 24 ft,,56-57,,
5:38.0,,,56-57,,Defensive rebound by T. Robinson
5:28.0,,,56-57,,Shooting foul by L. Sanders (drawn by L. Aldridge)
5:28.0,,,56-57,,L. Aldridge misses free throw 1 of 2
5:28.0,,,56-57,,Offensive rebound by Team
5:28.0,Z. Pachulia enters the game for L. Sanders,,56-57,,
5:28.0,,,56-57,,C. Kaman enters the game for T. Robinson
5:28.0,,,56-57,,S. Blake enters the game for W. Matthews
5:28.0,,,56-58,1,L. Aldridge makes free throw 2 of 2
5:18.0,B. Knight makes 3-pt shot from 25 ft,3,59-58,,
4:53.0,,,59-58,,N. Batum misses 3-pt shot from 23 ft
4:52.0,,,59-58,,Offensive rebound by L. Aldridge
4:50.0,,,59-60,2,L. Aldridge makes 2-pt shot from 2 ft
4:43.0,,,59-60,,Personal foul by N. Batum (drawn by B. Knight)
4:29.0,O. Mayo makes 2-pt shot from 7 ft,2,61-60,,
4:14.0,,,61-60,,Turnover by D. Lillard (bad pass)
4:06.0,Offensive charge foul by O. Mayo,,61-60,,
4:06.0,Turnover by O. Mayo (offensive foul),,61-60,,
3:52.0,,,61-62,2,C. Kaman makes 2-pt shot from 12 ft (assist by S. Blake)
3:42.0,Turnover by B. Knight (palming),,61-62,,
3:26.0,,,61-62,,L. Aldridge misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by Team,,61-62,,
3:26.0,,,61-62,,Loose ball foul by L. Aldridge (drawn by Z. Pachulia)
3:16.0,B. Knight misses 2-pt shot from 19 ft,,61-62,,
3:14.0,Offensive rebound by Z. Pachulia,,61-62,,
3:11.0,K. Middleton makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,64-62,,
2:46.0,,,64-64,2,D. Lillard makes 2-pt shot from 22 ft (assist by L. Aldridge)
2:27.0,O. Mayo misses 2-pt shot from 18 ft,,64-64,,
2:27.0,Offensive rebound by Z. Pachulia,,64-64,,
2:23.0,Turnover by O. Mayo (traveling),,64-64,,
2:23.0,Milwaukee full timeout,,64-64,,
2:23.0,J. Bayless enters the game for J. Dudley,,64-64,,
2:23.0,K. Marshall enters the game for O. Mayo,,64-64,,
2:23.0,,,64-64,,A. Crabbe enters the game for D. Lillard
2:23.0,,,64-64,,W. Matthews enters the game for N. Batum
2:09.0,,,64-64,,W. Matthews misses 3-pt shot from 23 ft
2:07.0,,,64-64,,Offensive rebound by Team
1:56.0,,,64-64,,L. Aldridge misses 2-pt shot from 16 ft
1:54.0,Defensive rebound by J. Bayless,,64-64,,
1:45.0,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight),3,67-64,,
1:18.0,,,67-64,,L. Aldridge misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by K. Marshall,,67-64,,
1:05.0,K. Marshall misses 2-pt shot from 18 ft,,67-64,,
1:04.0,,,67-64,,Defensive rebound by C. Kaman
0:46.0,,,67-64,,C. Kaman misses 2-pt shot from 12 ft
0:45.0,,,67-64,,Offensive rebound by Team
0:45.0,Personal foul by K. Middleton (drawn by L. Aldridge),,67-64,,
0:45.0,,,67-64,,D. Lillard enters the game for A. Crabbe
0:31.0,,,67-66,2,C. Kaman makes 2-pt shot from 11 ft (assist by D. Lillard)
0:10.0,B. Knight makes 3-pt shot from 24 ft,3,70-66,,
0:01.0,,,70-68,2,D. Lillard makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Personal foul by Z. Pachulia (drawn by C. Kaman),,70-68,,
11:35.0,,,70-70,2,C. Kaman makes 2-pt shot from 18 ft (assist by S. Blake)
11:24.0,K. Marshall makes 2-pt shot from 18 ft,2,72-70,,
11:16.0,,,72-72,2,W. Matthews makes 2-pt shot at rim (assist by S. Blake)
10:53.0,J. Dudley misses 2-pt shot from 19 ft,,72-72,,
10:53.0,,,72-72,,Defensive rebound by W. Matthews
10:49.0,,,72-72,,J. Freeland misses 2-pt shot at rim
10:47.0,Defensive rebound by J. Dudley,,72-72,,
10:36.0,J. Bayless makes 2-pt shot from 18 ft (assist by Z. Pachulia),2,74-72,,
10:18.0,,,74-72,,C. Kaman misses 2-pt shot from 18 ft
10:17.0,,,74-72,,Offensive rebound by J. Freeland
10:17.0,,,74-74,2,J. Freeland makes 2-pt shot from 1 ft
10:17.0,,,74-74,,Shooting foul by K. Marshall (drawn by J. Freeland)
10:17.0,,,74-74,,J. Freeland misses free throw 1 of 1
10:15.0,Defensive rebound by K. Marshall,,74-74,,
9:57.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by J. Dudley),2,76-74,,
9:40.0,,,76-74,,Shooting foul by J. Dudley (drawn by C. McCollum)
9:40.0,,,76-74,,C. McCollum misses free throw 1 of 2
9:40.0,,,76-74,,Offensive rebound by Team
9:40.0,,,76-75,1,C. McCollum makes free throw 2 of 2
9:33.0,K. Marshall misses 2-pt shot from 2 ft (block by S. Blake),,76-75,,
9:31.0,,,76-75,,Defensive rebound by W. Matthews
9:08.0,,,76-75,,C. Kaman misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by O. Mayo,,76-75,,
8:56.0,,,76-75,,Shooting block foul by J. Freeland (drawn by O. Mayo)
8:56.0,Official timeout,,76-75,,
8:56.0,,,76-75,,D. Lillard enters the game for W. Matthews
8:56.0,,,76-75,,T. Robinson enters the game for S. Blake
8:56.0,,,76-75,,N. Batum enters the game for C. Kaman
8:56.0,K. Middleton enters the game for J. Dudley,,76-75,,
8:56.0,O. Mayo misses free throw 1 of 2,,76-75,,
8:56.0,Offensive rebound by Team,,76-75,,
8:56.0,O. Mayo makes free throw 2 of 2,1,77-75,,
8:34.0,,,77-75,,N. Batum misses 3-pt shot from 24 ft
8:33.0,,,77-75,,Offensive rebound by T. Robinson
8:31.0,,,77-77,2,T. Robinson makes 2-pt shot from 1 ft
8:20.0,,,77-77,,Personal foul by J. Freeland (drawn by Z. Pachulia)
8:13.0,J. Bayless makes 2-pt shot from 9 ft,2,79-77,,
8:03.0,,,79-77,,Personal foul by D. Lillard (drawn by K. Middleton)
8:03.0,Personal foul by K. Middleton,,79-77,,
8:03.0,Jump ball: Z. Pachulia vs. T. Robinson (N. Batum gains possession),,,,Jump ball: Z. Pachulia vs. T. Robinson (N. Batum gains possession)
7:39.0,,,79-80,3,N. Batum makes 3-pt shot from 22 ft (assist by C. McCollum)
7:26.0,K. Middleton misses 2-pt shot from 9 ft,,79-80,,
7:25.0,,,79-80,,Defensive rebound by Team
7:11.0,,,79-82,2,J. Freeland makes 2-pt shot from 4 ft (assist by D. Lillard)
6:53.0,K. Middleton misses 3-pt shot from 24 ft,,79-82,,
6:53.0,,,79-82,,Defensive rebound by J. Freeland
6:40.0,,,79-82,,Turnover by T. Robinson (traveling)
6:20.0,K. Marshall misses 3-pt shot from 22 ft,,79-82,,
6:17.0,,,79-82,,Defensive rebound by N. Batum
6:10.0,,,79-84,2,D. Lillard makes 2-pt shot from 14 ft (assist by N. Batum)
5:55.0,J. Bayless misses 2-pt shot from 2 ft,,79-84,,
5:53.0,,,79-84,,Defensive rebound by T. Robinson
5:50.0,,,79-84,,Shooting foul by K. Middleton (drawn by T. Robinson)
5:50.0,,,79-84,,Portland full timeout
5:50.0,B. Knight enters the game for K. Marshall,,79-84,,
5:50.0,L. Sanders enters the game for K. Middleton,,79-84,,
5:50.0,,,79-84,,L. Aldridge enters the game for J. Freeland
5:50.0,,,79-84,,T. Robinson misses free throw 1 of 2
5:50.0,,,79-84,,Offensive rebound by Team
5:50.0,,,79-84,,T. Robinson misses free throw 2 of 2
5:49.0,Defensive rebound by Z. Pachulia,,79-84,,
5:29.0,Z. Pachulia misses 2-pt shot from 14 ft,,79-84,,
5:28.0,,,79-84,,Defensive rebound by T. Robinson
5:12.0,,,79-86,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard)
4:54.0,O. Mayo misses 2-pt shot from 21 ft,,79-86,,
4:53.0,,,79-86,,Defensive rebound by T. Robinson
4:41.0,,,79-86,,D. Lillard misses 2-pt shot from 7 ft
4:39.0,Defensive rebound by L. Sanders,,79-86,,
4:30.0,B. Knight misses 3-pt shot from 22 ft,,79-86,,
4:30.0,,,79-86,,Defensive rebound by T. Robinson
4:11.0,,,79-88,2,L. Aldridge makes 2-pt shot from 18 ft
3:44.0,Shooting foul by T. Robinson (drawn by O. Mayo),,79-88,,
3:44.0,O. Mayo makes free throw 1 of 2,1,80-88,,
3:44.0,,,80-88,,W. Matthews enters the game for C. McCollum
3:44.0,J. Dudley enters the game for Z. Pachulia,,80-88,,
3:44.0,O. Mayo misses free throw 2 of 2,,80-88,,
3:43.0,,,80-88,,Defensive rebound by T. Robinson
3:23.0,,,80-90,2,L. Aldridge makes 2-pt shot from 19 ft
3:10.0,J. Bayless misses 3-pt shot from 24 ft,,80-90,,
3:08.0,Offensive rebound by J. Dudley,,80-90,,
3:06.0,J. Dudley makes 2-pt shot from 6 ft,2,82-90,,
3:01.0,,,82-92,2,N. Batum makes 2-pt shot at rim (assist by D. Lillard)
3:01.0,,,82-92,,Portland full timeout
3:01.0,K. Middleton enters the game for L. Sanders,,82-92,,
3:01.0,,,82-93,1,N. Batum makes flagrant free throw 1 of 2
2:58.0,Personal foul by K. Middleton (drawn by T. Robinson),,82-93,,
2:58.0,,,82-93,,T. Robinson misses free throw 1 of 2
2:58.0,,,82-93,,Offensive rebound by Team
2:58.0,,,82-94,1,T. Robinson makes free throw 2 of 2
2:51.0,,,82-94,,Personal foul by T. Robinson (drawn by B. Knight)
2:44.0,J. Dudley misses 2-pt shot from 9 ft,,82-94,,
2:43.0,,,82-94,,Defensive rebound by T. Robinson
2:43.0,Personal take foul by O. Mayo (drawn by T. Robinson),,82-94,,
2:43.0,,,82-94,,T. Robinson misses free throw 1 of 2
2:43.0,,,82-94,,Offensive rebound by Team
2:43.0,,,82-95,1,T. Robinson makes free throw 2 of 2
2:35.0,B. Knight makes 2-pt shot from 1 ft,2,84-95,,
2:33.0,Personal take foul by O. Mayo (drawn by T. Robinson),,84-95,,
