time,Utah,pts.away,score,pts.home,Indiana
11:30.0,,,21-17,,Defensive rebound by I. Mahinmi
11:05.0,,,21-17,,C. Copeland misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by R. Gobert,,21-17,,
10:54.0,T. Booker misses 2-pt shot from 7 ft,,21-17,,
10:53.0,,,21-17,,Defensive rebound by I. Mahinmi
10:46.0,Personal foul by T. Booker (drawn by L. Allen),,21-17,,
10:36.0,Personal foul by G. Hayward (drawn by C. Copeland),,21-17,,
10:29.0,,,21-17,,Turnover by I. Mahinmi (lost ball; steal by D. Exum)
10:07.0,T. Booker makes 2-pt shot from 1 ft (assist by J. Ingles),2,23-17,,
10:07.0,Shooting foul by I. Mahinmi (drawn by T. Booker),,23-17,,
10:07.0,T. Booker misses free throw 1 of 1,,23-17,,
10:07.0,,,23-17,,Defensive rebound by I. Mahinmi
9:57.0,Personal foul by D. Exum (drawn by A. Price),,23-17,,
9:57.0,,,23-17,,L. Scola enters the game for I. Mahinmi
9:51.0,,,23-17,,D. Rudez misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by J. Ingles,,23-17,,
9:36.0,T. Booker misses 2-pt shot at rim,,23-17,,
9:35.0,,,23-17,,Defensive rebound by L. Scola
9:25.0,,,23-19,2,A. Price makes 2-pt shot from 8 ft
9:09.0,,,23-19,,Personal foul by L. Allen (drawn by R. Gobert)
9:09.0,T. Burke enters the game for D. Exum,,23-19,,
9:04.0,G. Hayward misses 2-pt shot from 17 ft,,23-19,,
9:01.0,,,23-19,,Defensive rebound by Team
8:43.0,,,23-21,2,L. Allen makes 2-pt shot from 17 ft (assist by L. Scola)
8:20.0,T. Burke misses 2-pt shot from 18 ft,,23-21,,
8:19.0,,,23-21,,Defensive rebound by Team
8:19.0,Official timeout,,23-21,,
8:19.0,D. Favors enters the game for T. Booker,,23-21,,
8:19.0,E. Kanter enters the game for R. Gobert,,23-21,,
8:00.0,,,23-21,,C. Copeland misses 2-pt shot from 14 ft
7:59.0,,,23-21,,Offensive rebound by L. Allen
7:59.0,,,23-23,2,L. Allen makes 2-pt shot at rim
7:42.0,Shooting foul by L. Allen (drawn by G. Hayward),,23-23,,
7:42.0,G. Hayward makes free throw 1 of 2,1,24-23,,
7:42.0,G. Hayward makes free throw 2 of 2,1,25-23,,
7:30.0,,,25-25,2,A. Price makes 2-pt shot from 17 ft
7:15.0,Shooting foul by C. Copeland (drawn by D. Favors),,25-25,,
7:15.0,D. Favors misses free throw 1 of 2,,25-25,,
7:15.0,Offensive rebound by Team,,25-25,,
7:15.0,,,25-25,,S. Hill enters the game for C. Copeland
7:15.0,D. Favors misses free throw 2 of 2,,25-25,,
7:15.0,,,25-25,,Defensive rebound by L. Allen
7:03.0,,,25-25,,L. Allen misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by G. Hayward,,25-25,,
6:47.0,Turnover by E. Kanter (traveling),,25-25,,
6:25.0,,,25-27,2,L. Allen makes 2-pt shot from 17 ft (assist by D. Rudez)
6:19.0,Shooting foul by D. Rudez (drawn by G. Hayward),,25-27,,
6:19.0,G. Hayward makes free throw 1 of 2,1,26-27,,
6:19.0,A. Burks enters the game for J. Ingles,,26-27,,
6:19.0,G. Hayward makes free throw 2 of 2,1,27-27,,
6:06.0,,,27-27,,S. Hill misses 2-pt shot from 18 ft
6:03.0,Defensive rebound by D. Favors,,27-27,,
5:53.0,E. Kanter makes 2-pt shot at rim,2,29-27,,
5:47.0,,,29-27,,Indiana full timeout
5:47.0,,,29-27,,R. Hibbert enters the game for L. Allen
5:38.0,,,29-29,2,S. Hill makes 2-pt shot from 1 ft (assist by R. Hibbert)
5:28.0,,,29-29,,Personal foul by D. Rudez (drawn by G. Hayward)
5:28.0,G. Hayward makes free throw 1 of 2,1,30-29,,
5:28.0,G. Hayward makes free throw 2 of 2,1,31-29,,
5:13.0,,,31-29,,R. Hibbert misses 2-pt shot from 10 ft
5:12.0,Defensive rebound by E. Kanter,,31-29,,
4:57.0,G. Hayward makes 2-pt shot from 19 ft (assist by D. Favors),2,33-29,,
4:46.0,,,33-29,,A. Price misses 2-pt shot from 6 ft (block by E. Kanter)
4:46.0,,,33-29,,Offensive rebound by Team
4:46.0,,,33-29,,C. Copeland enters the game for D. Rudez
4:40.0,,,33-29,,L. Scola misses 2-pt shot from 18 ft
4:39.0,,,33-29,,Offensive rebound by S. Hill
4:35.0,,,33-29,,S. Hill misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by G. Hayward,,33-29,,
4:27.0,T. Burke misses 3-pt shot from 26 ft,,33-29,,
4:26.0,,,33-29,,Defensive rebound by L. Scola
4:15.0,,,33-31,2,L. Scola makes 2-pt shot from 2 ft
4:04.0,D. Favors makes 2-pt shot from 17 ft (assist by T. Burke),2,35-31,,
3:46.0,,,35-33,2,A. Price makes 2-pt shot from 13 ft
3:33.0,T. Burke makes 2-pt shot from 2 ft,2,37-33,,
3:25.0,Personal foul by E. Kanter (drawn by L. Scola),,37-33,,
3:25.0,J. Ingles enters the game for G. Hayward,,37-33,,
3:17.0,,,37-36,3,C. Copeland makes 3-pt shot from 27 ft (assist by A. Price)
2:52.0,A. Burks makes 2-pt shot at rim,2,39-36,,
2:45.0,,,39-36,,Turnover by A. Price (bad pass; steal by A. Burks)
2:39.0,A. Burks misses 2-pt shot from 9 ft,,39-36,,
2:38.0,,,39-36,,Defensive rebound by R. Hibbert
2:23.0,,,39-36,,L. Scola misses 2-pt shot from 18 ft
2:23.0,,,39-36,,Offensive rebound by Team
2:23.0,Utah full timeout,,39-36,,
2:23.0,G. Hayward enters the game for E. Kanter,,39-36,,
2:23.0,T. Booker enters the game for J. Ingles,,39-36,,
2:23.0,,,39-36,,D. Sloan enters the game for A. Price
2:09.0,,,39-39,3,C. Copeland makes 3-pt shot from 26 ft (assist by L. Scola)
1:55.0,T. Burke misses 3-pt shot from 27 ft,,39-39,,
1:54.0,,,39-39,,Defensive rebound by R. Hibbert
1:38.0,,,39-39,,Shooting foul by D. Favors (drawn by R. Hibbert)
1:38.0,,,39-40,1,R. Hibbert makes free throw 1 of 2
1:38.0,,,39-41,1,R. Hibbert makes free throw 2 of 2
1:18.0,G. Hayward misses 2-pt shot from 8 ft,,39-41,,
1:16.0,,,39-41,,Defensive rebound by S. Hill
1:08.0,Personal foul by T. Booker (drawn by R. Hibbert),,39-41,,
1:08.0,,,39-42,1,R. Hibbert makes free throw 1 of 2
1:08.0,E. Kanter enters the game for T. Booker,,39-42,,
1:08.0,,,39-43,1,R. Hibbert makes free throw 2 of 2
0:56.0,Turnover by E. Kanter (bad pass; steal by S. Hill),,39-43,,
0:54.0,,,39-45,2,S. Hill makes 2-pt shot at rim
0:38.0,D. Favors misses 2-pt shot from 2 ft (block by L. Scola),,39-45,,
0:36.0,,,39-45,,Defensive rebound by L. Scola
0:34.0,,,39-45,,D. Sloan misses 2-pt shot at rim (block by G. Hayward)
0:33.0,Defensive rebound by Team,,39-45,,
0:15.0,G. Hayward makes 2-pt shot from 14 ft,2,41-45,,
0:12.0,,,41-45,,Indiana full timeout
0:12.0,J. Evans enters the game for E. Kanter,,41-45,,
0:01.0,,,41-47,2,R. Hibbert makes 2-pt shot from 13 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,T. Burke misses 3-pt shot from 25 ft,,41-47,,
11:43.0,,,41-47,,Defensive rebound by C. Copeland
11:29.0,,,41-49,2,R. Hibbert makes 2-pt shot from 6 ft (assist by L. Scola)
11:04.0,Shooting foul by L. Scola (drawn by E. Kanter),,41-49,,
11:04.0,E. Kanter makes free throw 1 of 2,1,42-49,,
11:04.0,E. Kanter makes free throw 2 of 2,1,43-49,,
10:47.0,,,43-49,,Turnover by D. Sloan (bad pass; steal by T. Burke)
10:42.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,45-49,,
10:17.0,,,45-51,2,L. Scola makes 2-pt shot from 4 ft
10:07.0,G. Hayward makes 3-pt shot from 28 ft (assist by T. Burke),3,48-51,,
9:50.0,,,48-51,,Turnover by S. Hill (bad pass)
9:29.0,T. Burke misses 3-pt shot from 29 ft,,48-51,,
9:27.0,,,48-51,,Defensive rebound by L. Scola
9:12.0,,,48-51,,S. Hill misses 2-pt shot from 6 ft
9:11.0,Defensive rebound by E. Kanter,,48-51,,
8:58.0,D. Favors makes 2-pt shot from 1 ft,2,50-51,,
8:41.0,,,50-51,,D. Sloan misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by A. Burks,,50-51,,
8:28.0,T. Burke misses 3-pt shot from 25 ft,,50-51,,
8:26.0,,,50-51,,Defensive rebound by L. Scola
8:11.0,,,50-51,,L. Scola misses 2-pt shot from 8 ft (block by E. Kanter)
8:09.0,Defensive rebound by T. Burke,,50-51,,
8:04.0,A. Burks makes 2-pt shot from 2 ft,2,52-51,,
7:57.0,,,52-51,,Indiana full timeout
7:48.0,,,52-51,,C. Copeland misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by Team,,52-51,,
7:37.0,G. Hayward makes 2-pt shot from 16 ft,2,54-51,,
7:20.0,,,54-51,,S. Hill misses 2-pt shot at rim
7:18.0,,,54-51,,Offensive rebound by R. Hibbert
7:16.0,,,54-53,2,R. Hibbert makes 2-pt shot at rim
6:59.0,G. Hayward makes 2-pt shot from 6 ft,2,56-53,,
6:35.0,,,56-53,,L. Scola misses 2-pt shot at rim
6:33.0,,,56-53,,Offensive rebound by R. Hibbert
6:33.0,,,56-53,,R. Hibbert misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by G. Hayward,,56-53,,
6:27.0,D. Favors makes 2-pt shot from 1 ft (assist by A. Burks),2,58-53,,
6:11.0,,,58-53,,L. Scola misses 2-pt shot from 17 ft
6:09.0,Defensive rebound by D. Favors,,58-53,,
6:05.0,E. Kanter makes 2-pt shot at rim (assist by G. Hayward),2,60-53,,
6:04.0,,,60-53,,Indiana full timeout
5:53.0,,,60-53,,Shooting foul by A. Burks (drawn by S. Hill)
5:53.0,,,60-54,1,S. Hill makes free throw 1 of 2
5:53.0,,,60-55,1,S. Hill makes free throw 2 of 2
5:32.0,T. Burke misses 2-pt shot from 1 ft,,60-55,,
5:31.0,,,60-55,,Defensive rebound by Team
5:31.0,Loose ball foul by D. Favors (drawn by L. Scola),,60-55,,
5:31.0,J. Ingles enters the game for A. Burks,,60-55,,
5:21.0,,,60-57,2,R. Hibbert makes 2-pt shot from 19 ft (assist by S. Hill)
5:12.0,Turnover by G. Hayward (step out of bounds),,60-57,,
4:52.0,,,60-59,2,S. Hill makes 2-pt shot at rim
4:31.0,E. Kanter makes 2-pt shot from 15 ft (assist by G. Hayward),2,62-59,,
4:16.0,,,62-61,2,S. Hill makes 2-pt shot from 1 ft
4:05.0,Shooting foul by L. Scola (drawn by D. Favors),,62-61,,
4:05.0,D. Favors misses free throw 1 of 2,,62-61,,
4:05.0,Offensive rebound by Team,,62-61,,
4:05.0,,,62-61,,L. Allen enters the game for L. Scola
4:05.0,,,62-61,,D. Rudez enters the game for C. Copeland
4:05.0,T. Booker enters the game for E. Kanter,,62-61,,
4:05.0,D. Favors makes free throw 2 of 2,1,63-61,,
3:42.0,,,63-61,,R. Hibbert misses 2-pt shot from 12 ft
3:41.0,Defensive rebound by T. Booker,,63-61,,
3:23.0,J. Ingles misses 3-pt shot from 22 ft,,63-61,,
3:22.0,,,63-61,,Defensive rebound by L. Allen
3:07.0,,,63-63,2,R. Hibbert makes 2-pt shot from 6 ft (assist by L. Allen)
2:58.0,Utah full timeout,,63-63,,
2:58.0,D. Exum enters the game for D. Favors,,63-63,,
2:58.0,R. Gobert enters the game for T. Burke,,63-63,,
2:58.0,,,63-63,,A. Price enters the game for D. Sloan
2:49.0,G. Hayward makes 2-pt shot at rim,2,65-63,,
2:22.0,,,65-63,,R. Hibbert misses 2-pt shot from 16 ft
2:21.0,Defensive rebound by G. Hayward,,65-63,,
2:10.0,G. Hayward makes 2-pt shot from 17 ft (assist by T. Booker),2,67-63,,
1:49.0,,,67-65,2,L. Allen makes 2-pt shot at rim (assist by S. Hill)
1:32.0,,,67-65,,I. Mahinmi enters the game for R. Hibbert
1:25.0,G. Hayward misses 3-pt shot from 28 ft,,67-65,,
1:25.0,,,67-65,,Defensive rebound by Team
1:25.0,A. Burks enters the game for G. Hayward,,67-65,,
1:09.0,,,67-65,,D. Rudez misses 2-pt shot from 2 ft
1:08.0,,,67-65,,Offensive rebound by L. Allen
1:06.0,,,67-67,2,L. Allen makes 2-pt shot from 3 ft
0:40.0,D. Exum misses 2-pt shot from 16 ft,,67-67,,
0:40.0,Offensive rebound by Team,,67-67,,
0:40.0,Turnover by Team (shot clock),,67-67,,
0:28.0,,,67-70,3,A. Price makes 3-pt shot from 25 ft
0:08.0,A. Burks makes 2-pt shot from 18 ft,2,69-70,,
0:02.0,,,69-70,,Shooting foul by D. Exum (drawn by A. Price)
0:02.0,,,69-71,1,A. Price makes free throw 1 of 2
0:02.0,,,69-72,1,A. Price makes free throw 2 of 2
0:00.0,A. Burks misses 3-pt shot from 52 ft,,69-72,,
0:00.0,Offensive rebound by Team,,69-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,69-72,,L. Allen misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by R. Gobert,,69-72,,
11:35.0,D. Exum makes 3-pt shot from 26 ft (assist by T. Burke),3,72-72,,
11:11.0,,,72-72,,L. Allen misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by R. Gobert,,72-72,,
11:01.0,Turnover by R. Gobert (offensive foul),,72-72,,
11:01.0,Offensive foul by R. Gobert,,72-72,,
10:44.0,,,72-72,,Turnover by C. Copeland (lost ball; steal by T. Booker)
10:44.0,,,72-72,,Loose ball foul by C. Copeland (drawn by T. Booker)
10:44.0,,,72-72,,D. Sloan enters the game for C. Copeland
10:31.0,D. Exum misses 3-pt shot from 25 ft,,72-72,,
10:29.0,,,72-72,,Defensive rebound by L. Allen
10:14.0,,,72-74,2,A. Price makes 2-pt shot from 19 ft
10:04.0,Shooting foul by A. Price (drawn by R. Gobert),,72-74,,
10:04.0,R. Gobert makes free throw 1 of 2,1,73-74,,
10:04.0,R. Gobert makes free throw 2 of 2,1,74-74,,
9:45.0,,,74-74,,A. Price misses 2-pt shot from 20 ft
9:44.0,Defensive rebound by R. Gobert,,74-74,,
9:31.0,,,74-74,,Personal foul by L. Allen (drawn by R. Gobert)
9:25.0,T. Burke makes 3-pt shot from 28 ft,3,77-74,,
9:09.0,,,77-77,3,D. Rudez makes 3-pt shot from 24 ft (assist by D. Sloan)
8:53.0,Turnover by T. Booker (bad pass; steal by L. Allen),,77-77,,
8:45.0,,,77-80,3,A. Price makes 3-pt shot from 27 ft (assist by L. Allen)
8:24.0,T. Burke misses 2-pt shot from 12 ft,,77-80,,
8:23.0,Offensive rebound by R. Gobert,,77-80,,
8:23.0,R. Gobert misses 2-pt shot at rim,,77-80,,
8:22.0,,,77-80,,Defensive rebound by L. Allen
8:11.0,,,77-82,2,I. Mahinmi makes 2-pt shot from 15 ft (assist by L. Allen)
8:09.0,Utah full timeout,,77-82,,
8:09.0,D. Favors enters the game for D. Exum,,77-82,,
8:09.0,G. Hayward enters the game for R. Gobert,,77-82,,
8:09.0,,,77-82,,S. Hill enters the game for D. Sloan
7:47.0,D. Favors misses 2-pt shot from 16 ft,,77-82,,
7:46.0,,,77-82,,Defensive rebound by S. Hill
7:21.0,,,77-82,,L. Allen misses 2-pt shot from 1 ft
7:20.0,,,77-82,,Offensive rebound by L. Allen
7:20.0,,,77-84,2,L. Allen makes 2-pt shot from 1 ft
7:03.0,A. Burks misses 2-pt shot from 1 ft,,77-84,,
7:02.0,,,77-84,,Defensive rebound by Team
7:02.0,D. Exum enters the game for T. Burke,,77-84,,
6:42.0,,,77-84,,I. Mahinmi misses 2-pt shot from 9 ft
6:42.0,Defensive rebound by G. Hayward,,77-84,,
6:34.0,G. Hayward makes 2-pt shot from 17 ft,2,79-84,,
6:11.0,,,79-84,,D. Rudez misses 3-pt shot from 24 ft
6:09.0,,,79-84,,Offensive rebound by I. Mahinmi
6:05.0,,,79-87,3,A. Price makes 3-pt shot from 25 ft (assist by I. Mahinmi)
5:48.0,D. Favors misses 2-pt shot from 8 ft,,79-87,,
5:47.0,,,79-87,,Defensive rebound by L. Allen
5:36.0,,,79-87,,Offensive foul by I. Mahinmi
5:36.0,,,79-87,,Turnover by I. Mahinmi (offensive foul)
5:36.0,Official timeout,,79-87,,
5:36.0,E. Kanter enters the game for T. Booker,,79-87,,
5:36.0,,,79-87,,D. Sloan enters the game for A. Price
5:36.0,,,79-87,,R. Hibbert enters the game for I. Mahinmi
5:15.0,E. Kanter makes 3-pt shot from 25 ft (assist by G. Hayward),3,82-87,,
4:53.0,Personal foul by D. Favors (drawn by R. Hibbert),,82-87,,
4:46.0,,,82-87,,S. Hill misses 2-pt shot from 10 ft
4:45.0,Defensive rebound by A. Burks,,82-87,,
4:36.0,Turnover by G. Hayward (bad pass),,82-87,,
4:19.0,,,82-87,,D. Sloan misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by D. Favors,,82-87,,
4:12.0,A. Burks misses 2-pt shot at rim (block by L. Allen),,82-87,,
4:10.0,,,82-87,,Defensive rebound by D. Rudez
4:00.0,,,82-87,,R. Hibbert misses 2-pt shot from 19 ft
3:58.0,,,82-87,,Offensive rebound by L. Allen
3:55.0,,,82-87,,D. Rudez misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by D. Favors,,82-87,,
3:40.0,E. Kanter misses 3-pt shot from 23 ft,,82-87,,
3:39.0,,,82-87,,Defensive rebound by L. Allen
3:18.0,,,82-87,,D. Sloan misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by E. Kanter,,82-87,,
3:08.0,D. Exum misses 3-pt shot from 25 ft,,82-87,,
3:07.0,,,82-87,,Defensive rebound by D. Sloan
3:05.0,,,82-87,,Indiana full timeout
3:05.0,T. Burke enters the game for E. Kanter,,82-87,,
3:05.0,T. Booker enters the game for D. Exum,,82-87,,
3:05.0,,,82-87,,A. Price enters the game for D. Sloan
2:50.0,,,82-87,,Shooting foul by D. Favors (drawn by R. Hibbert)
2:50.0,,,82-88,1,R. Hibbert makes free throw 1 of 2
2:50.0,,,82-89,1,R. Hibbert makes free throw 2 of 2
2:41.0,T. Burke misses 3-pt shot from 26 ft,,82-89,,
2:39.0,,,82-89,,Defensive rebound by D. Rudez
2:20.0,,,82-91,2,R. Hibbert makes 2-pt shot from 13 ft
2:13.0,D. Favors misses 2-pt shot at rim (block by R. Hibbert),,82-91,,
2:13.0,Offensive rebound by Team,,82-91,,
2:07.0,,,82-91,,Shooting block foul by R. Hibbert (drawn by D. Favors)
2:07.0,D. Favors makes free throw 1 of 2,1,83-91,,
2:07.0,D. Favors makes free throw 2 of 2,1,84-91,,
1:48.0,,,84-91,,A. Price misses 2-pt shot from 14 ft
1:47.0,,,84-91,,Offensive rebound by L. Allen
1:30.0,,,84-93,2,S. Hill makes 2-pt shot from 1 ft
1:17.0,D. Favors misses 2-pt shot from 7 ft,,84-93,,
1:16.0,,,84-93,,Defensive rebound by A. Price
0:58.0,,,84-93,,Turnover by A. Price (lost ball; steal by T. Burke)
0:53.0,G. Hayward makes 2-pt shot from 12 ft (assist by T. Burke),2,86-93,,
0:48.0,,,86-93,,Indiana full timeout
0:48.0,,,86-93,,D. Sloan enters the game for L. Allen
0:36.0,,,86-93,,Indiana full timeout
0:36.0,,,86-93,,L. Allen enters the game for R. Hibbert
0:33.0,,,86-95,2,A. Price makes 2-pt shot from 20 ft (assist by D. Rudez)
0:33.0,Utah full timeout,,86-95,,
0:33.0,S. Novak enters the game for T. Booker,,86-95,,
0:29.0,A. Burks misses 2-pt shot from 2 ft,,86-95,,
0:28.0,,,86-95,,Defensive rebound by L. Allen
0:26.0,Personal take foul by T. Burke (drawn by D. Sloan),,86-95,,
0:02.0,,,86-97,2,D. Sloan makes 2-pt shot from 1 ft
