time,Oklahoma City,pts.away,score,pts.home,Minnesota
4:29.0,N. Collison misses free throw 1 of 2,,27-14,,
4:29.0,Offensive rebound by Team,,27-14,,
4:29.0,,,27-14,,A. Onuaku enters the game for J. Hamilton
4:29.0,N. Collison makes free throw 2 of 2,1,28-14,,
4:17.0,,,28-16,2,R. Hummel makes 2-pt shot from 19 ft (assist by Z. LaVine)
4:05.0,Shooting foul by R. Hummel (drawn by R. Westbrook),,28-16,,
4:05.0,R. Westbrook makes free throw 1 of 2,1,29-16,,
4:05.0,R. Westbrook makes free throw 2 of 2,1,30-16,,
3:55.0,,,30-18,2,Z. LaVine makes 2-pt shot from 19 ft
3:45.0,N. Collison makes 2-pt shot at rim (assist by R. Westbrook),2,32-18,,
3:33.0,,,32-18,,R. Hummel misses 2-pt shot from 19 ft
3:31.0,,,32-18,,Offensive rebound by A. Onuaku
3:28.0,,,32-21,3,K. Martin makes 3-pt shot from 24 ft (assist by A. Onuaku)
3:15.0,R. Westbrook makes 2-pt shot from 18 ft,2,34-21,,
2:54.0,,,34-23,2,K. Martin makes 2-pt shot from 12 ft
2:42.0,Shooting foul by Z. LaVine (drawn by R. Westbrook),,34-23,,
2:42.0,Oklahoma City full timeout,,34-23,,
2:42.0,D. Augustin enters the game for D. Waiters,,34-23,,
2:42.0,,,34-23,,L. Brown enters the game for Z. LaVine
2:42.0,R. Westbrook misses free throw 1 of 2,,34-23,,
2:42.0,Offensive rebound by Team,,34-23,,
2:42.0,R. Westbrook makes free throw 2 of 2,1,35-23,,
2:34.0,Def 3 sec tech foul by E. Kanter,,35-23,,
2:34.0,,,35-24,1,K. Martin makes technical free throw
2:20.0,,,35-24,,Turnover by A. Wiggins (lost ball; steal by A. Morrow)
2:17.0,R. Westbrook makes 2-pt shot at rim,2,37-24,,
1:56.0,,,37-24,,A. Wiggins misses 3-pt shot from 25 ft
1:54.0,,,37-24,,Offensive rebound by R. Hummel
1:54.0,,,37-24,,R. Hummel misses 2-pt shot at rim
1:53.0,,,37-24,,Offensive rebound by A. Onuaku
1:52.0,,,37-26,2,A. Onuaku makes 2-pt shot at rim
1:44.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,39-26,,
1:27.0,,,39-26,,K. Martin misses 3-pt shot from 25 ft
1:26.0,,,39-26,,Offensive rebound by A. Onuaku
1:25.0,Personal foul by A. Morrow (drawn by A. Onuaku),,39-26,,
1:25.0,,,39-26,,A. Onuaku misses free throw 1 of 2
1:25.0,,,39-26,,Offensive rebound by Team
1:25.0,M. McGary enters the game for E. Kanter,,39-26,,
1:25.0,,,39-27,1,A. Onuaku makes free throw 2 of 2
1:16.0,A. Morrow misses 3-pt shot from 23 ft,,39-27,,
1:15.0,,,39-27,,Defensive rebound by K. Martin
1:13.0,Personal foul by A. Morrow (drawn by K. Martin),,39-27,,
1:13.0,,,39-28,1,K. Martin makes free throw 1 of 2
1:13.0,K. Singler enters the game for A. Morrow,,39-28,,
1:13.0,,,39-29,1,K. Martin makes free throw 2 of 2
1:02.0,K. Singler makes 3-pt shot from 24 ft (assist by N. Collison),3,42-29,,
0:46.0,,,42-29,,R. Hummel misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by N. Collison,,42-29,,
0:40.0,R. Westbrook makes 2-pt shot from 1 ft,2,44-29,,
0:27.0,,,44-29,,L. Brown misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by R. Westbrook,,44-29,,
0:06.0,R. Westbrook makes 3-pt shot from 25 ft,3,47-29,,
0:01.0,,,47-29,,Turnover by A. Wiggins (lost ball; steal by N. Collison)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,47-29,,K. Martin misses 2-pt shot from 7 ft
11:44.0,,,47-29,,Offensive rebound by A. Onuaku
11:38.0,,,47-29,,K. Martin misses 2-pt shot from 3 ft
11:37.0,Defensive rebound by M. McGary,,47-29,,
11:29.0,D. Waiters makes 2-pt shot from 12 ft (assist by K. Singler),2,49-29,,
11:16.0,,,49-29,,Turnover by L. Brown (bad pass)
10:56.0,D. Waiters misses 2-pt shot from 19 ft,,49-29,,
10:55.0,,,49-29,,Defensive rebound by R. Hummel
10:44.0,,,49-29,,A. Wiggins misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by Team,,49-29,,
10:44.0,,,49-29,,Z. LaVine enters the game for A. Wiggins
10:44.0,,,49-29,,A. Payne enters the game for A. Onuaku
10:34.0,D. Waiters misses 2-pt shot from 13 ft,,49-29,,
10:33.0,,,49-29,,Defensive rebound by Z. LaVine
10:32.0,Personal foul by M. McGary (drawn by Z. LaVine),,49-29,,
10:17.0,,,49-29,,Z. LaVine misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by K. Singler,,49-29,,
10:07.0,N. Collison misses 2-pt shot from 20 ft,,49-29,,
10:06.0,Offensive rebound by M. McGary,,49-29,,
10:05.0,Turnover by N. Collison (back court),,49-29,,
9:55.0,,,49-31,2,R. Hummel makes 2-pt shot from 19 ft (assist by L. Brown)
9:37.0,Shooting foul by R. Hummel (drawn by D. Waiters),,49-31,,
9:37.0,D. Waiters makes free throw 1 of 2,1,50-31,,
9:37.0,,,50-31,,A. Bennett enters the game for R. Hummel
9:37.0,D. Waiters makes free throw 2 of 2,1,51-31,,
9:25.0,,,51-33,2,L. Brown makes 2-pt shot at rim (assist by A. Bennett)
9:10.0,K. Singler misses 3-pt shot from 23 ft,,51-33,,
9:08.0,,,51-33,,Defensive rebound by A. Payne
9:03.0,,,51-33,,Turnover by Z. LaVine (dbl dribble)
8:44.0,D. Waiters misses 3-pt shot from 23 ft,,51-33,,
8:43.0,,,51-33,,Defensive rebound by A. Bennett
8:36.0,,,51-35,2,Z. LaVine makes 2-pt shot from 11 ft
8:20.0,D. Augustin makes 2-pt shot at rim (assist by N. Collison),2,53-35,,
8:12.0,,,53-35,,Z. LaVine misses 2-pt shot from 2 ft (block by D. Waiters)
8:11.0,,,53-35,,Offensive rebound by Team
8:11.0,,,53-35,,Minnesota full timeout
8:11.0,S. Adams enters the game for M. McGary,,53-35,,
8:06.0,,,53-35,,Shooting foul by K. Singler (drawn by K. Martin)
8:06.0,,,53-36,1,K. Martin makes free throw 1 of 2
8:06.0,,,53-37,1,K. Martin makes free throw 2 of 2
7:57.0,,,53-37,,Violation by L. Brown (kicked ball)
7:57.0,,,53-37,,A. Wiggins enters the game for K. Martin
7:57.0,R. Westbrook enters the game for K. Singler,,53-37,,
7:57.0,E. Kanter enters the game for N. Collison,,53-37,,
7:50.0,Turnover by D. Augustin (bad pass; steal by A. Bennett),,53-37,,
7:43.0,,,53-37,,A. Bennett misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by R. Westbrook,,53-37,,
7:34.0,R. Westbrook misses 2-pt shot from 4 ft,,53-37,,
7:33.0,Offensive rebound by E. Kanter,,53-37,,
7:33.0,E. Kanter misses 2-pt shot at rim,,53-37,,
7:32.0,Offensive rebound by S. Adams,,53-37,,
7:30.0,,,53-37,,Personal foul by L. Brown (drawn by S. Adams)
7:22.0,R. Westbrook misses 2-pt shot from 18 ft,,53-37,,
7:20.0,,,53-37,,Defensive rebound by L. Brown
7:17.0,Personal foul by R. Westbrook (drawn by A. Payne),,53-37,,
7:10.0,,,53-37,,A. Wiggins misses 2-pt shot at rim
7:08.0,,,53-37,,Offensive rebound by A. Wiggins
7:04.0,,,53-37,,L. Brown misses 3-pt shot from 22 ft
7:03.0,,,53-37,,Offensive rebound by A. Bennett
7:03.0,,,53-39,2,A. Bennett makes 2-pt shot from 1 ft
6:49.0,D. Waiters makes 3-pt shot from 26 ft,3,56-39,,
6:37.0,,,56-39,,Personal foul by A. Payne (drawn by S. Adams)
6:37.0,Personal foul by S. Adams,,56-39,,
6:32.0,,,56-41,2,A. Wiggins makes 2-pt shot from 14 ft (assist by Z. LaVine)
6:20.0,R. Westbrook makes 2-pt shot from 1 ft,2,58-41,,
6:05.0,,,58-41,,Turnover by A. Payne (offensive goaltending)
5:44.0,D. Augustin misses 2-pt shot from 11 ft,,58-41,,
5:43.0,,,58-41,,Defensive rebound by A. Wiggins
5:38.0,,,58-41,,L. Brown misses 2-pt shot from 3 ft (block by E. Kanter)
5:35.0,,,58-41,,Offensive rebound by L. Brown
5:33.0,,,58-43,2,L. Brown makes 2-pt shot from 2 ft
5:20.0,E. Kanter makes 2-pt shot from 7 ft,2,60-43,,
5:04.0,,,60-43,,Z. LaVine misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by R. Westbrook,,60-43,,
4:59.0,Shooting foul by L. Brown (drawn by R. Westbrook),,60-43,,
4:59.0,,,60-43,,Minnesota full timeout
4:59.0,,,60-43,,R. Hummel enters the game for L. Brown
4:59.0,R. Westbrook makes free throw 1 of 2,1,61-43,,
4:59.0,R. Westbrook makes free throw 2 of 2,1,62-43,,
4:45.0,,,62-43,,A. Bennett misses 2-pt shot from 10 ft
4:44.0,Defensive rebound by E. Kanter,,62-43,,
4:23.0,D. Waiters misses 2-pt shot from 3 ft (block by A. Wiggins),,62-43,,
4:21.0,,,62-43,,Defensive rebound by A. Bennett
4:00.0,,,62-45,2,A. Bennett makes 2-pt shot from 5 ft (assist by Z. LaVine)
3:44.0,,,62-45,,Personal foul by A. Bennett (drawn by E. Kanter)
3:44.0,A. Roberson enters the game for D. Augustin,,62-45,,
3:35.0,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook),3,65-45,,
3:20.0,,,65-45,,Turnover by A. Bennett (bad pass; steal by D. Waiters)
3:17.0,D. Waiters makes 2-pt shot at rim,2,67-45,,
3:16.0,,,67-45,,Minnesota full timeout
3:16.0,,,67-45,,K. Martin enters the game for A. Bennett
3:04.0,,,67-45,,Z. LaVine misses 2-pt shot from 22 ft
3:02.0,,,67-45,,Offensive rebound by A. Payne
2:58.0,,,67-45,,Shooting foul by S. Adams (drawn by A. Wiggins)
2:58.0,,,67-46,1,A. Wiggins makes free throw 1 of 2
2:58.0,,,67-47,1,A. Wiggins makes free throw 2 of 2
2:41.0,,,67-47,,Violation by K. Martin (kicked ball)
2:33.0,R. Westbrook makes 2-pt shot from 18 ft,2,69-47,,
2:16.0,,,69-47,,R. Hummel misses 2-pt shot from 20 ft
2:15.0,Defensive rebound by E. Kanter,,69-47,,
2:09.0,R. Westbrook makes 2-pt shot from 5 ft,2,71-47,,
2:02.0,,,71-49,2,Z. LaVine makes 2-pt shot from 1 ft
1:45.0,Shooting foul by R. Hummel (drawn by R. Westbrook),,71-49,,
1:45.0,R. Westbrook makes free throw 1 of 2,1,72-49,,
1:45.0,,,72-49,,A. Bennett enters the game for R. Hummel
1:45.0,R. Westbrook misses free throw 2 of 2,,72-49,,
1:45.0,,,72-49,,Defensive rebound by A. Bennett
1:27.0,,,72-51,2,K. Martin makes 2-pt shot from 12 ft
1:09.0,R. Westbrook misses 3-pt shot from 25 ft,,72-51,,
1:07.0,Offensive rebound by Team,,72-51,,
1:01.0,Turnover by D. Waiters (bad pass; steal by K. Martin),,72-51,,
0:56.0,,,72-51,,K. Martin misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by R. Westbrook,,72-51,,
0:38.0,Shooting foul by K. Martin (drawn by E. Kanter),,72-51,,
0:38.0,E. Kanter makes free throw 1 of 2,1,73-51,,
0:38.0,M. McGary enters the game for S. Adams,,73-51,,
0:38.0,E. Kanter makes free throw 2 of 2,1,74-51,,
0:33.0,,,74-51,,Z. LaVine misses 2-pt shot from 20 ft
0:31.0,Defensive rebound by Team,,74-51,,
0:28.0,R. Westbrook makes 2-pt shot from 12 ft,2,76-51,,
0:28.0,Shooting foul by A. Wiggins (drawn by R. Westbrook),,76-51,,
0:28.0,R. Westbrook misses free throw 1 of 1,,76-51,,
0:28.0,,,76-51,,Defensive rebound by A. Payne
0:23.0,,,76-53,2,K. Martin makes 2-pt shot from 10 ft
0:23.0,,,76-53,,Shooting foul by A. Roberson (drawn by K. Martin)
0:23.0,,,76-53,,L. Brown enters the game for Z. LaVine
0:23.0,K. Singler enters the game for A. Roberson,,76-53,,
0:23.0,,,76-54,1,K. Martin makes free throw 1 of 1
0:03.0,R. Westbrook misses 3-pt shot from 25 ft,,76-54,,
0:01.0,,,76-54,,Defensive rebound by A. Bennett
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,76-54,,Shooting foul by A. Roberson (drawn by A. Wiggins)
11:48.0,,,76-56,2,A. Wiggins makes 2-pt shot from 1 ft
11:48.0,,,76-57,1,A. Wiggins makes free throw 1 of 1
11:26.0,D. Waiters makes 2-pt shot from 2 ft,2,78-57,,
11:07.0,,,78-59,2,A. Wiggins makes 2-pt shot from 13 ft
10:53.0,Turnover by D. Waiters (bad pass; steal by K. Martin),,78-59,,
10:36.0,,,78-61,2,A. Onuaku makes 2-pt shot at rim (assist by Z. LaVine)
10:16.0,E. Kanter misses 2-pt shot from 14 ft,,78-61,,
10:15.0,,,78-61,,Defensive rebound by Z. LaVine
10:09.0,,,78-61,,Z. LaVine misses 2-pt shot from 22 ft
10:08.0,Defensive rebound by E. Kanter,,78-61,,
9:52.0,Shooting foul by K. Martin (drawn by R. Westbrook),,78-61,,
9:52.0,R. Westbrook makes free throw 1 of 2,1,79-61,,
9:52.0,K. Singler enters the game for A. Roberson,,79-61,,
9:52.0,R. Westbrook makes free throw 2 of 2,1,80-61,,
9:41.0,,,80-61,,Turnover by Z. LaVine (bad pass)
9:41.0,,,80-61,,Loose ball foul by A. Wiggins (drawn by R. Westbrook)
9:30.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,82-61,,
9:16.0,,,82-61,,K. Martin misses 2-pt shot from 21 ft
9:15.0,Defensive rebound by R. Westbrook,,82-61,,
9:07.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,84-61,,
9:06.0,,,84-61,,Minnesota full timeout
9:06.0,,,84-61,,R. Hummel enters the game for A. Payne
8:55.0,,,84-61,,Shooting foul by K. Singler (drawn by A. Wiggins)
8:55.0,,,84-62,1,A. Wiggins makes free throw 1 of 2
8:55.0,,,84-63,1,A. Wiggins makes free throw 2 of 2
8:42.0,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook),3,87-63,,
8:27.0,,,87-65,2,K. Martin makes 2-pt shot from 20 ft (assist by Z. LaVine)
8:08.0,K. Singler misses 3-pt shot from 22 ft,,87-65,,
8:07.0,,,87-65,,Defensive rebound by A. Wiggins
8:02.0,,,87-65,,Turnover by A. Wiggins (bad pass; steal by D. Waiters)
8:00.0,,,87-65,,Violation by Z. LaVine (kicked ball)
7:53.0,R. Westbrook misses 2-pt shot from 18 ft,,87-65,,
7:52.0,Offensive rebound by Team,,87-65,,
7:44.0,D. Waiters misses 2-pt shot from 4 ft,,87-65,,
7:43.0,Offensive rebound by E. Kanter,,87-65,,
7:41.0,E. Kanter makes 2-pt shot from 2 ft,2,89-65,,
7:24.0,,,89-65,,Turnover by K. Martin (bad pass; steal by K. Singler)
7:14.0,D. Waiters misses 2-pt shot from 2 ft,,89-65,,
7:13.0,Offensive rebound by E. Kanter,,89-65,,
7:12.0,E. Kanter makes 2-pt shot from 1 ft,2,91-65,,
6:56.0,,,91-65,,Z. LaVine misses 2-pt shot from 12 ft
6:55.0,Defensive rebound by E. Kanter,,91-65,,
6:43.0,K. Singler misses 3-pt shot from 25 ft,,91-65,,
6:42.0,Offensive rebound by E. Kanter,,91-65,,
6:41.0,E. Kanter misses 2-pt shot at rim,,91-65,,
6:40.0,Offensive rebound by E. Kanter,,91-65,,
6:39.0,E. Kanter makes 2-pt shot at rim,2,93-65,,
6:39.0,,,93-65,,Minnesota full timeout
6:39.0,,,93-65,,J. Hamilton enters the game for A. Onuaku
6:39.0,,,93-65,,A. Payne enters the game for R. Hummel
6:15.0,,,93-67,2,Z. LaVine makes 2-pt shot from 1 ft
5:59.0,E. Kanter misses 3-pt shot from 23 ft,,93-67,,
5:58.0,,,93-67,,Defensive rebound by A. Wiggins
5:57.0,Personal foul by R. Westbrook (drawn by A. Wiggins),,93-67,,
5:41.0,,,93-69,2,A. Payne makes 2-pt shot from 13 ft (assist by A. Wiggins)
5:27.0,R. Westbrook misses 3-pt shot from 24 ft,,93-69,,
5:26.0,,,93-69,,Defensive rebound by Z. LaVine
5:16.0,,,93-71,2,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine)
5:02.0,Shooting foul by J. Hamilton (drawn by D. Waiters),,93-71,,
5:02.0,D. Waiters makes free throw 1 of 2,1,94-71,,
5:02.0,N. Collison enters the game for S. Adams,,94-71,,
5:02.0,D. Waiters makes free throw 2 of 2,1,95-71,,
4:37.0,,,95-71,,A. Payne misses 2-pt shot from 4 ft
4:36.0,,,95-71,,Offensive rebound by A. Wiggins
4:36.0,,,95-71,,Shooting foul by N. Collison (drawn by A. Wiggins)
4:36.0,,,95-72,1,A. Wiggins makes free throw 1 of 2
4:36.0,,,95-72,,A. Wiggins misses free throw 2 of 2
4:36.0,Defensive rebound by E. Kanter,,95-72,,
4:24.0,Turnover by K. Singler (bad pass; steal by A. Payne),,95-72,,
4:18.0,,,95-74,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
4:18.0,Oklahoma City full timeout,,95-74,,
4:06.0,D. Waiters misses 2-pt shot from 2 ft,,95-74,,
4:05.0,Offensive rebound by D. Waiters,,95-74,,
4:03.0,D. Waiters makes 2-pt shot from 1 ft,2,97-74,,
3:45.0,,,97-74,,Shooting foul by D. Waiters (drawn by A. Wiggins)
3:45.0,,,97-75,1,A. Wiggins makes free throw 1 of 2
3:45.0,,,97-76,1,A. Wiggins makes free throw 2 of 2
3:30.0,Turnover by E. Kanter (lost ball; steal by Z. LaVine),,97-76,,
3:24.0,,,97-76,,A. Payne misses 2-pt shot at rim
3:23.0,Defensive rebound by R. Westbrook,,97-76,,
3:18.0,E. Kanter makes 2-pt shot from 2 ft (assist by D. Waiters),2,99-76,,
3:02.0,,,99-79,3,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Wiggins)
2:45.0,N. Collison misses 2-pt shot from 17 ft,,99-79,,
2:42.0,Offensive rebound by D. Waiters,,99-79,,
2:33.0,D. Waiters misses 2-pt shot from 21 ft,,99-79,,
2:31.0,Offensive rebound by N. Collison,,99-79,,
2:31.0,N. Collison makes 2-pt shot at rim,2,101-79,,
2:13.0,,,101-79,,K. Martin misses 2-pt shot from 5 ft
2:12.0,Defensive rebound by K. Singler,,101-79,,
2:06.0,R. Westbrook misses 2-pt shot from 20 ft,,101-79,,
2:05.0,Offensive rebound by E. Kanter,,101-79,,
2:05.0,E. Kanter makes 2-pt shot at rim,2,103-79,,
1:48.0,A. Morrow enters the game for D. Waiters,,103-79,,
1:48.0,,,103-79,,A. Bennett enters the game for A. Payne
1:48.0,,,103-79,,L. Brown enters the game for K. Martin
1:41.0,,,103-79,,A. Bennett misses 2-pt shot from 16 ft
1:40.0,Defensive rebound by E. Kanter,,103-79,,
1:33.0,Turnover by R. Westbrook (bad pass; steal by Z. LaVine),,103-79,,
1:25.0,,,103-81,2,L. Brown makes 2-pt shot from 2 ft (assist by Z. LaVine)
1:08.0,E. Kanter misses 2-pt shot at rim,,103-81,,
1:07.0,Offensive rebound by E. Kanter,,103-81,,
1:07.0,E. Kanter makes 2-pt shot at rim,2,105-81,,
0:58.0,,,105-81,,Shooting foul by E. Kanter (drawn by Z. LaVine)
0:58.0,,,105-82,1,Z. LaVine makes free throw 1 of 2
0:58.0,D. Augustin enters the game for K. Singler,,105-82,,
0:58.0,,,105-83,1,Z. LaVine makes free throw 2 of 2
0:51.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Hamilton),,105-83,,
0:50.0,Offensive rebound by Team,,105-83,,
0:42.0,Turnover by R. Westbrook (lost ball; steal by Z. LaVine),,105-83,,
0:30.0,,,105-83,,Shooting foul by E. Kanter (drawn by J. Hamilton)
0:30.0,,,105-84,1,J. Hamilton makes free throw 1 of 2
0:30.0,,,105-85,1,J. Hamilton makes free throw 2 of 2
0:13.0,Turnover by R. Westbrook (bad pass; steal by A. Wiggins),,105-85,,
0:09.0,,,105-85,,Turnover by J. Hamilton (bad pass; steal by R. Westbrook)
0:01.0,Shooting foul by J. Hamilton (drawn by R. Westbrook),,105-85,,
0:01.0,R. Westbrook makes free throw 1 of 2,1,106-85,,
0:01.0,R. Westbrook misses free throw 2 of 2,,106-85,,
0:01.0,,,106-85,,Defensive rebound by J. Hamilton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,N. Collison makes 3-pt shot from 23 ft (assist by E. Kanter),3,109-85,,
11:24.0,,,109-85,,R. Hummel enters the game for A. Wiggins
11:20.0,,,109-85,,J. Hamilton misses 2-pt shot from 9 ft
11:19.0,Defensive rebound by E. Kanter,,109-85,,
11:07.0,D. Waiters misses 3-pt shot from 23 ft,,109-85,,
11:05.0,,,109-85,,Defensive rebound by A. Bennett
11:00.0,,,109-85,,Shooting foul by N. Collison (drawn by Z. LaVine)
11:00.0,,,109-86,1,Z. LaVine makes free throw 1 of 2
11:00.0,,,109-86,,A. Onuaku enters the game for J. Hamilton
11:00.0,,,109-87,1,Z. LaVine makes free throw 2 of 2
10:48.0,E. Kanter makes 2-pt shot from 14 ft (assist by D. Augustin),2,111-87,,
10:36.0,,,111-87,,Turnover by A. Bennett (bad pass)
10:25.0,,,111-87,,Personal foul by R. Hummel (drawn by E. Kanter)
10:14.0,E. Kanter makes 2-pt shot from 1 ft,2,113-87,,
10:14.0,Shooting foul by L. Brown (drawn by E. Kanter),,113-87,,
10:14.0,E. Kanter makes free throw 1 of 1,1,114-87,,
10:04.0,,,114-89,2,A. Bennett makes 2-pt shot at rim (assist by Z. LaVine)
9:46.0,E. Kanter misses 2-pt shot from 13 ft,,114-89,,
9:45.0,,,114-89,,Defensive rebound by Z. LaVine
9:37.0,,,114-92,3,L. Brown makes 3-pt shot from 24 ft (assist by Z. LaVine)
9:05.0,Turnover by D. Augustin (lost ball; steal by L. Brown),,114-92,,
9:02.0,Personal foul by E. Kanter (drawn by L. Brown),,114-92,,
9:02.0,M. McGary enters the game for E. Kanter,,114-92,,
