time,Washington,pts.away,score,pts.home,Houston
11:33.0,Turnover by D. Gooden (bad pass; steal by T. Ariza),,24-27,,
11:30.0,,,24-29,2,T. Ariza makes 2-pt shot from 1 ft
11:07.0,K. Seraphin makes 2-pt shot from 3 ft (assist by A. Miller),2,26-29,,
10:42.0,,,26-29,,J. Terry misses 2-pt shot from 16 ft
10:42.0,,,26-29,,Offensive rebound by Team
10:42.0,Loose ball foul by O. Porter (drawn by J. Dorsey),,26-29,,
10:30.0,,,26-31,2,J. Terry makes 2-pt shot from 5 ft
10:16.0,K. Seraphin misses 2-pt shot from 7 ft,,26-31,,
10:14.0,,,26-31,,Defensive rebound by J. Smith
10:10.0,,,26-31,,Shooting foul by K. Seraphin (drawn by J. Smith)
10:10.0,,,26-31,,J. Smith misses free throw 1 of 2
10:10.0,,,26-31,,Offensive rebound by Team
10:10.0,,,26-31,,J. Smith misses free throw 2 of 2
10:10.0,Defensive rebound by D. Gooden,,26-31,,
9:45.0,Turnover by Team (shot clock),,26-31,,
9:36.0,,,26-31,,T. Ariza misses 2-pt shot from 12 ft
9:34.0,Defensive rebound by K. Seraphin,,26-31,,
9:32.0,Turnover by K. Seraphin (lost ball),,26-31,,
9:15.0,,,26-31,,Turnover by J. Dorsey (3 sec)
8:53.0,D. Gooden misses 2-pt shot from 10 ft,,26-31,,
8:51.0,,,26-31,,Defensive rebound by J. Terry
8:41.0,,,26-31,,T. Ariza misses 2-pt shot from 17 ft
8:39.0,,,26-31,,Offensive rebound by J. Dorsey
8:37.0,,,26-31,,C. Brewer misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by K. Seraphin,,26-31,,
8:26.0,R. Butler makes 3-pt shot from 23 ft (assist by A. Miller),3,29-31,,
8:19.0,,,29-31,,C. Brewer misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by R. Butler,,29-31,,
8:02.0,Turnover by R. Butler (lost ball; steal by J. Terry),,29-31,,
7:58.0,,,29-33,2,T. Ariza makes 2-pt shot at rim (assist by C. Brewer)
7:47.0,Washington full timeout,,29-33,,
7:47.0,N. Hilario enters the game for D. Gooden,,29-33,,
7:37.0,A. Miller makes 2-pt shot from 13 ft,2,31-33,,
7:25.0,,,31-35,2,C. Brewer makes 2-pt shot from 19 ft (assist by J. Terry)
6:58.0,R. Butler misses 2-pt shot from 19 ft,,31-35,,
6:57.0,,,31-35,,Defensive rebound by T. Ariza
6:53.0,,,31-37,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ariza)
6:29.0,K. Seraphin misses 2-pt shot from 8 ft,,31-37,,
6:27.0,,,31-37,,Defensive rebound by J. Smith
6:22.0,,,31-37,,C. Brewer misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by O. Porter,,31-37,,
6:09.0,K. Seraphin misses 2-pt shot from 8 ft,,31-37,,
6:07.0,Offensive rebound by Team,,31-37,,
6:07.0,J. Wall enters the game for O. Porter,,31-37,,
6:07.0,B. Beal enters the game for A. Miller,,31-37,,
6:07.0,,,31-37,,P. Beverley enters the game for J. Terry
6:01.0,Turnover by J. Wall (bad pass; steal by J. Dorsey),,31-37,,
5:48.0,,,31-37,,Turnover by J. Dorsey (bad pass; steal by N. Hilario)
5:44.0,Washington full timeout,,31-37,,
5:44.0,,,31-37,,D. Howard enters the game for C. Brewer
5:44.0,,,31-37,,J. Harden enters the game for J. Dorsey
5:41.0,,,31-37,,Personal foul by J. Harden (drawn by B. Beal)
5:30.0,B. Beal misses 2-pt shot from 9 ft,,31-37,,
5:28.0,,,31-37,,Defensive rebound by J. Harden
5:17.0,,,31-37,,Shooting foul by K. Seraphin (drawn by D. Howard)
5:17.0,,,31-37,,D. Howard misses free throw 1 of 2
5:17.0,,,31-37,,Offensive rebound by Team
5:17.0,M. Gortat enters the game for K. Seraphin,,31-37,,
5:17.0,P. Pierce enters the game for R. Butler,,31-37,,
5:17.0,,,31-38,1,D. Howard makes free throw 2 of 2
5:06.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,33-38,,
4:52.0,,,33-38,,J. Harden misses 3-pt shot from 25 ft
4:50.0,,,33-38,,Offensive rebound by P. Beverley
4:46.0,,,33-40,2,P. Beverley makes 2-pt shot from 2 ft
4:22.0,M. Gortat misses 2-pt shot from 11 ft,,33-40,,
4:20.0,,,33-40,,Defensive rebound by D. Howard
3:57.0,,,33-40,,Turnover by Team (shot clock)
3:57.0,,,33-40,,D. Motiejunas enters the game for J. Smith
3:42.0,P. Pierce makes 2-pt shot from 2 ft,2,35-40,,
3:42.0,Shooting foul by D. Howard (drawn by P. Pierce),,35-40,,
3:42.0,P. Pierce makes free throw 1 of 1,1,36-40,,
3:22.0,,,36-40,,Turnover by J. Harden (lost ball)
3:16.0,J. Wall misses 2-pt shot from 19 ft,,36-40,,
3:14.0,,,36-40,,Defensive rebound by D. Motiejunas
3:00.0,,,36-40,,P. Beverley misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by P. Pierce,,36-40,,
2:49.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,38-40,,
2:44.0,,,38-40,,Houston full timeout
2:39.0,,,38-43,3,J. Harden makes 3-pt shot from 25 ft (assist by D. Motiejunas)
2:15.0,J. Wall misses 2-pt shot from 1 ft,,38-43,,
2:14.0,Offensive rebound by J. Wall,,38-43,,
2:14.0,J. Wall makes 2-pt shot from 1 ft,2,40-43,,
2:00.0,,,40-43,,Turnover by J. Harden (bad pass; steal by B. Beal)
1:54.0,J. Wall misses 2-pt shot from 2 ft,,40-43,,
1:52.0,,,40-43,,Defensive rebound by D. Motiejunas
1:49.0,,,40-45,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley)
1:24.0,B. Beal makes 3-pt shot from 25 ft,3,43-45,,
0:58.0,,,43-45,,T. Ariza misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by M. Gortat,,43-45,,
0:48.0,P. Pierce misses 3-pt shot from 23 ft,,43-45,,
0:46.0,Offensive rebound by B. Beal,,43-45,,
0:43.0,B. Beal makes 3-pt shot from 23 ft,3,46-45,,
0:28.0,,,46-45,,J. Harden misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by J. Wall,,46-45,,
0:01.0,N. Hilario misses 3-pt shot from 23 ft,,46-45,,
0:01.0,Offensive rebound by Team,,46-45,,
0:01.0,Turnover by Team (3 sec),,46-45,,
0:01.0,,,46-45,,Houston full timeout
0:01.0,,,46-45,,J. Terry enters the game for D. Motiejunas
0:01.0,K. Humphries enters the game for N. Hilario,,46-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,46-45,,Turnover by P. Beverley (bad pass; steal by P. Pierce)
11:21.0,M. Gortat misses 2-pt shot from 5 ft,,46-45,,
11:19.0,Offensive rebound by N. Hilario,,46-45,,
11:17.0,N. Hilario makes 2-pt shot at rim,2,48-45,,
10:59.0,,,48-47,2,D. Howard makes 2-pt shot from 8 ft
10:43.0,P. Pierce makes 2-pt shot from 17 ft (assist by J. Wall),2,50-47,,
10:31.0,,,50-47,,Turnover by T. Ariza (lost ball; steal by J. Wall)
10:26.0,J. Wall makes 2-pt shot at rim,2,52-47,,
10:08.0,,,52-47,,D. Howard misses 2-pt shot from 6 ft (block by M. Gortat)
10:06.0,Defensive rebound by P. Pierce,,52-47,,
10:01.0,B. Beal misses 3-pt shot from 25 ft,,52-47,,
9:59.0,Offensive rebound by M. Gortat,,52-47,,
9:57.0,Turnover by M. Gortat (traveling),,52-47,,
9:43.0,,,52-47,,Turnover by J. Smith (bad pass; steal by N. Hilario)
9:30.0,Shooting foul by T. Ariza (drawn by M. Gortat),,52-47,,
9:30.0,M. Gortat misses free throw 1 of 2,,52-47,,
9:30.0,Offensive rebound by Team,,52-47,,
9:30.0,M. Gortat makes free throw 2 of 2,1,53-47,,
9:07.0,,,53-47,,J. Smith misses 2-pt shot from 5 ft
9:07.0,,,53-47,,Offensive rebound by Team
9:07.0,Loose ball foul by N. Hilario (drawn by D. Howard),,53-47,,
8:47.0,,,53-47,,Turnover by J. Smith (lost ball; steal by J. Wall)
8:42.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,55-47,,
8:42.0,,,55-47,,Houston full timeout
8:33.0,Personal foul by M. Gortat (drawn by D. Howard),,55-47,,
8:24.0,,,55-47,,Turnover by D. Howard (lost ball)
8:09.0,Turnover by J. Wall (bad pass; steal by J. Harden),,55-47,,
8:02.0,,,55-47,,J. Harden misses 2-pt shot from 4 ft
8:00.0,,,55-47,,Offensive rebound by J. Harden
7:56.0,,,55-50,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
7:34.0,Shooting foul by T. Ariza (drawn by P. Pierce),,55-50,,
7:34.0,P. Pierce makes free throw 1 of 3,1,56-50,,
7:34.0,P. Pierce makes free throw 2 of 3,1,57-50,,
7:34.0,P. Pierce makes free throw 3 of 3,1,58-50,,
7:15.0,,,58-50,,D. Howard misses 2-pt shot from 6 ft
7:14.0,,,58-50,,Offensive rebound by J. Smith
7:13.0,,,58-52,2,J. Smith makes 2-pt shot from 1 ft
6:56.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,60-52,,
6:41.0,,,60-52,,Shooting foul by P. Pierce (drawn by J. Harden)
6:41.0,,,60-53,1,J. Harden makes free throw 1 of 2
6:41.0,,,60-53,,J. Harden misses free throw 2 of 2
6:41.0,Defensive rebound by M. Gortat,,60-53,,
6:30.0,P. Pierce makes 2-pt shot from 1 ft (assist by B. Beal),2,62-53,,
6:17.0,,,62-53,,J. Harden misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by P. Pierce,,62-53,,
6:09.0,P. Pierce makes 2-pt shot from 8 ft,2,64-53,,
6:09.0,,,64-53,,Houston full timeout
6:09.0,,,64-53,,C. Brewer enters the game for T. Ariza
6:09.0,,,64-53,,D. Motiejunas enters the game for J. Smith
5:50.0,,,64-53,,P. Beverley misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by J. Wall,,64-53,,
5:48.0,,,64-53,,Personal foul by P. Beverley (drawn by J. Wall)
5:48.0,K. Humphries enters the game for N. Hilario,,64-53,,
5:36.0,J. Wall makes 2-pt shot from 11 ft,2,66-53,,
5:20.0,Personal foul by K. Humphries (drawn by D. Motiejunas),,66-53,,
5:06.0,,,66-53,,D. Motiejunas misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by B. Beal,,66-53,,
4:45.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,69-53,,
4:26.0,,,69-53,,Turnover by D. Motiejunas (lost ball; steal by P. Pierce)
4:22.0,J. Wall makes 2-pt shot from 2 ft,2,71-53,,
4:08.0,,,71-53,,Shooting foul by B. Beal (drawn by J. Harden)
4:08.0,,,71-54,1,J. Harden makes free throw 1 of 2
4:08.0,,,71-54,,J. Terry enters the game for P. Beverley
4:08.0,,,71-54,,J. Dorsey enters the game for D. Howard
4:08.0,,,71-55,1,J. Harden makes free throw 2 of 2
3:47.0,K. Humphries misses 2-pt shot from 13 ft,,71-55,,
3:45.0,,,71-55,,Defensive rebound by J. Harden
3:38.0,,,71-57,2,J. Harden makes 2-pt shot from 1 ft
3:16.0,Offensive charge foul by K. Humphries,,71-57,,
3:16.0,Turnover by K. Humphries (offensive foul),,71-57,,
3:16.0,R. Butler enters the game for P. Pierce,,71-57,,
3:16.0,D. Gooden enters the game for K. Humphries,,71-57,,
3:05.0,,,71-57,,J. Harden misses 3-pt shot from 25 ft
3:03.0,,,71-57,,Offensive rebound by D. Motiejunas
2:55.0,,,71-59,2,J. Dorsey makes 2-pt shot at rim (assist by D. Motiejunas)
2:54.0,Washington full timeout,,71-59,,
2:41.0,Shooting foul by J. Dorsey (drawn by B. Beal),,71-59,,
2:41.0,B. Beal makes free throw 1 of 2,1,72-59,,
2:41.0,B. Beal makes free throw 2 of 2,1,73-59,,
2:20.0,,,73-61,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by C. Brewer)
2:02.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,76-61,,
1:50.0,,,76-61,,J. Harden misses 2-pt shot from 3 ft
1:47.0,,,76-61,,Offensive rebound by Team
1:35.0,,,76-63,2,J. Terry makes 2-pt shot from 15 ft
1:17.0,Turnover by B. Beal (lost ball; steal by D. Motiejunas),,76-63,,
1:16.0,Personal foul by B. Beal (drawn by D. Motiejunas),,76-63,,
1:16.0,,,76-63,,D. Motiejunas misses free throw 1 of 2
1:16.0,,,76-63,,Offensive rebound by Team
1:16.0,,,76-64,1,D. Motiejunas makes free throw 2 of 2
1:02.0,B. Beal misses 3-pt shot from 25 ft,,76-64,,
1:01.0,,,76-64,,Defensive rebound by J. Dorsey
0:55.0,,,76-64,,C. Brewer misses 2-pt shot from 8 ft
0:52.0,Defensive rebound by M. Gortat,,76-64,,
0:51.0,Turnover by M. Gortat (bad pass; steal by J. Dorsey),,76-64,,
0:48.0,,,76-64,,C. Brewer misses 2-pt shot from 2 ft (block by M. Gortat)
0:48.0,Defensive rebound by M. Gortat,,76-64,,
0:48.0,Turnover by M. Gortat (bad pass; steal by J. Dorsey),,76-64,,
0:48.0,Personal foul by D. Gooden (drawn by J. Dorsey),,76-64,,
0:48.0,,,76-65,1,J. Dorsey makes free throw 1 of 2
0:48.0,A. Miller enters the game for J. Wall,,76-65,,
0:48.0,K. Seraphin enters the game for M. Gortat,,76-65,,
0:48.0,Violation by B. Beal (lane),,76-65,,
0:48.0,,,76-65,,J. Dorsey misses free throw 2 of 2
0:48.0,Defensive rebound by B. Beal,,76-65,,
0:46.0,,,76-65,,Personal foul by C. Brewer (drawn by B. Beal)
0:46.0,B. Beal makes free throw 1 of 2,1,77-65,,
0:46.0,B. Beal makes free throw 2 of 2,1,78-65,,
0:35.0,,,78-65,,Shooting foul by D. Gooden (drawn by J. Harden)
0:35.0,,,78-66,1,J. Harden makes free throw 1 of 2
0:35.0,,,78-67,1,J. Harden makes free throw 2 of 2
0:24.0,Turnover by B. Beal (lost ball; steal by C. Brewer),,78-67,,
0:05.0,,,78-67,,J. Harden misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by K. Seraphin,,78-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,K. Humphries misses 2-pt shot from 18 ft,,78-67,,
11:41.0,,,78-67,,Defensive rebound by T. Ariza
11:26.0,,,78-67,,C. Brewer misses 2-pt shot from 2 ft
11:24.0,,,78-67,,Offensive rebound by T. Ariza
11:13.0,,,78-67,,D. Motiejunas misses 2-pt shot from 7 ft
11:10.0,,,78-67,,Offensive rebound by J. Dorsey
11:08.0,,,78-67,,C. Brewer misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by Team,,78-67,,
11:08.0,,,78-67,,Loose ball foul by D. Motiejunas (drawn by K. Humphries)
10:58.0,R. Butler misses 2-pt shot from 8 ft,,78-67,,
10:56.0,,,78-67,,Defensive rebound by D. Motiejunas
10:45.0,,,78-69,2,T. Ariza makes 2-pt shot from 1 ft
10:22.0,K. Humphries misses 2-pt shot from 4 ft,,78-69,,
10:20.0,Offensive rebound by K. Seraphin,,78-69,,
10:18.0,Offensive charge foul by K. Seraphin,,78-69,,
10:18.0,Turnover by K. Seraphin (offensive foul),,78-69,,
10:08.0,,,78-71,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Terry)
9:47.0,Shooting foul by J. Dorsey (drawn by K. Seraphin),,78-71,,
9:47.0,K. Seraphin makes free throw 1 of 2,1,79-71,,
9:47.0,K. Seraphin makes free throw 2 of 2,1,80-71,,
9:38.0,,,80-71,,Offensive foul by J. Dorsey
9:38.0,,,80-71,,Turnover by J. Dorsey (offensive foul)
9:25.0,R. Butler makes 2-pt shot from 19 ft (assist by K. Humphries),2,82-71,,
9:11.0,,,82-73,2,J. Terry makes 2-pt shot from 9 ft
8:56.0,A. Miller misses 2-pt shot from 7 ft (block by C. Brewer),,82-73,,
8:54.0,,,82-73,,Defensive rebound by J. Dorsey
8:41.0,,,82-73,,C. Brewer misses 2-pt shot from 18 ft
8:39.0,,,82-73,,Offensive rebound by J. Dorsey
8:37.0,,,82-73,,Shooting foul by K. Seraphin (drawn by C. Brewer)
8:37.0,,,82-73,,Houston full timeout
8:37.0,B. Beal enters the game for O. Porter,,82-73,,
8:37.0,,,82-74,1,C. Brewer makes free throw 1 of 2
8:37.0,,,82-75,1,C. Brewer makes free throw 2 of 2
8:13.0,K. Humphries misses 2-pt shot from 21 ft,,82-75,,
8:12.0,Offensive rebound by A. Miller,,82-75,,
8:12.0,A. Miller makes 2-pt shot from 1 ft,2,84-75,,
7:59.0,,,84-78,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry)
7:47.0,B. Beal misses 2-pt shot from 7 ft,,84-78,,
7:46.0,,,84-78,,Defensive rebound by Team
7:36.0,,,84-78,,T. Ariza misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by Team,,84-78,,
7:35.0,J. Wall enters the game for A. Miller,,84-78,,
7:35.0,M. Gortat enters the game for K. Seraphin,,84-78,,
7:18.0,Turnover by J. Wall (bad pass; steal by D. Motiejunas),,84-78,,
7:09.0,,,84-78,,T. Ariza misses 3-pt shot from 23 ft
7:07.0,,,84-78,,Offensive rebound by D. Motiejunas
6:55.0,,,84-78,,Shooting foul by M. Gortat (drawn by C. Brewer)
6:55.0,,,84-78,,C. Brewer misses free throw 1 of 2
6:55.0,,,84-78,,Offensive rebound by Team
6:55.0,P. Pierce enters the game for R. Butler,,84-78,,
6:55.0,,,84-79,1,C. Brewer makes free throw 2 of 2
6:43.0,B. Beal misses 3-pt shot from 25 ft,,84-79,,
6:42.0,,,84-79,,Defensive rebound by J. Terry
6:21.0,,,84-82,3,C. Brewer makes 3-pt shot from 24 ft (assist by D. Motiejunas)
5:54.0,K. Humphries misses 2-pt shot from 21 ft,,84-82,,
5:54.0,Offensive rebound by Team,,84-82,,
5:54.0,Turnover by Team (shot clock),,84-82,,
5:54.0,,,84-82,,Houston full timeout
5:54.0,,,84-82,,D. Howard enters the game for J. Dorsey
5:54.0,,,84-82,,J. Harden enters the game for D. Motiejunas
5:54.0,N. Hilario enters the game for K. Humphries,,84-82,,
5:32.0,N. Hilario misses 2-pt shot from 18 ft,,84-82,,
5:31.0,,,84-82,,Defensive rebound by Team
5:07.0,,,84-84,2,J. Harden makes 2-pt shot from 11 ft
4:54.0,N. Hilario makes 2-pt shot from 1 ft (assist by P. Pierce),2,86-84,,
4:33.0,,,86-84,,J. Terry misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by N. Hilario,,86-84,,
4:27.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,89-84,,
4:09.0,,,89-84,,Turnover by C. Brewer (lost ball; steal by P. Pierce)
4:02.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,91-84,,
4:02.0,,,91-84,,Houston full timeout
4:02.0,,,91-84,,P. Beverley enters the game for J. Terry
3:55.0,,,91-84,,T. Ariza misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by J. Wall,,91-84,,
3:51.0,Shooting foul by T. Ariza (drawn by J. Wall),,91-84,,
3:51.0,J. Wall makes free throw 1 of 2,1,92-84,,
3:51.0,J. Wall makes free throw 2 of 2,1,93-84,,
3:38.0,Personal foul by J. Wall (drawn by P. Beverley),,93-84,,
3:29.0,Personal foul by M. Gortat (drawn by D. Howard),,93-84,,
3:23.0,,,93-86,2,T. Ariza makes 2-pt shot from 3 ft
3:23.0,,,93-86,,Shooting foul by N. Hilario (drawn by T. Ariza)
3:23.0,,,93-87,1,T. Ariza makes free throw 1 of 1
3:03.0,B. Beal misses 3-pt shot from 24 ft,,93-87,,
3:02.0,,,93-87,,Defensive rebound by J. Harden
2:45.0,,,93-87,,Turnover by T. Ariza (bad pass)
2:45.0,Washington full timeout,,93-87,,
