time,LA Clippers,pts.away,score,pts.home,LA Lakers
2:52.0,J. Crawford misses 3-pt shot from 24 ft,,27-16,,
2:51.0,,,27-16,,Defensive rebound by J. Hill
2:28.0,,,27-18,2,J. Lin makes 2-pt shot from 10 ft
2:20.0,C. Paul misses 2-pt shot from 11 ft,,27-18,,
2:16.0,,,27-18,,Defensive rebound by E. Davis
2:10.0,,,27-20,2,J. Hill makes 2-pt shot from 17 ft (assist by J. Lin)
1:47.0,C. Douglas-Roberts misses 3-pt shot from 23 ft,,27-20,,
1:46.0,,,27-20,,Defensive rebound by J. Lin
1:39.0,,,27-20,,J. Lin misses 2-pt shot from 1 ft (block by D. Jordan)
1:37.0,Defensive rebound by C. Paul,,27-20,,
1:19.0,C. Paul makes 3-pt shot from 23 ft (assist by J. Crawford),3,30-20,,
1:01.0,,,30-20,,J. Hill misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by C. Douglas-Roberts,,30-20,,
0:51.0,B. Griffin misses 2-pt shot from 19 ft,,30-20,,
0:50.0,Offensive rebound by D. Jordan,,30-20,,
0:49.0,Shooting foul by J. Hill (drawn by D. Jordan),,30-20,,
0:49.0,D. Jordan misses free throw 1 of 2,,30-20,,
0:49.0,Offensive rebound by Team,,30-20,,
0:49.0,,,30-20,,R. Price enters the game for J. Lin
0:49.0,,,30-20,,R. Sacre enters the game for J. Hill
0:49.0,J. Farmar enters the game for C. Paul,,30-20,,
0:49.0,D. Jordan makes free throw 2 of 2,1,31-20,,
0:27.0,,,31-22,2,E. Davis makes 2-pt shot from 3 ft (assist by R. Price)
0:03.0,Turnover by Team (shot clock),,31-22,,
0:03.0,S. Hawes enters the game for D. Jordan,,31-22,,
0:00.0,,,31-22,,W. Johnson misses 3-pt shot from 24 ft
0:00.0,,,31-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,S. Hawes makes 2-pt shot from 1 ft (assist by J. Crawford),2,33-22,,
11:34.0,Personal foul by J. Crawford (drawn by W. Ellington),,33-22,,
11:27.0,,,33-24,2,R. Sacre makes 2-pt shot from 16 ft (assist by R. Price)
11:09.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Crawford),3,36-24,,
10:44.0,,,36-24,,R. Price misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by S. Hawes,,36-24,,
10:35.0,S. Hawes misses 3-pt shot from 28 ft,,36-24,,
10:34.0,,,36-24,,Defensive rebound by R. Price
10:28.0,,,36-26,2,R. Price makes 2-pt shot from 2 ft
10:15.0,C. Douglas-Roberts misses 3-pt shot from 23 ft,,36-26,,
10:14.0,,,36-26,,Defensive rebound by E. Davis
10:08.0,,,36-26,,Shooting foul by H. Turkoglu (drawn by R. Sacre)
10:08.0,LA Clippers full timeout,,36-26,,
10:08.0,,,36-27,1,R. Sacre makes free throw 1 of 2
10:08.0,,,36-28,1,R. Sacre makes free throw 2 of 2
9:55.0,J. Crawford makes 2-pt shot from 20 ft,2,38-28,,
9:55.0,Shooting foul by W. Ellington (drawn by J. Crawford),,38-28,,
9:55.0,J. Crawford makes free throw 1 of 1,1,39-28,,
9:41.0,,,39-28,,Shooting foul by C. Douglas-Roberts (drawn by X. Henry)
9:41.0,,,39-28,,X. Henry misses free throw 1 of 2
9:41.0,,,39-28,,Offensive rebound by Team
9:41.0,,,39-29,1,X. Henry makes free throw 2 of 2
9:25.0,J. Crawford misses 3-pt shot from 24 ft,,39-29,,
9:23.0,,,39-29,,Defensive rebound by R. Price
9:16.0,,,39-29,,W. Ellington misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by H. Turkoglu,,39-29,,
9:02.0,J. Crawford makes 2-pt shot from 19 ft (assist by H. Turkoglu),2,41-29,,
8:45.0,Personal foul by H. Turkoglu (drawn by E. Davis),,41-29,,
8:45.0,Official timeout,,41-29,,
8:45.0,,,41-29,,K. Bryant enters the game for W. Ellington
8:32.0,,,41-31,2,R. Price makes 2-pt shot from 18 ft
8:17.0,J. Crawford misses 3-pt shot from 22 ft,,41-31,,
8:15.0,,,41-31,,Defensive rebound by K. Bryant
8:09.0,,,41-31,,K. Bryant misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by J. Farmar,,41-31,,
8:01.0,H. Turkoglu makes 3-pt shot from 26 ft (assist by J. Farmar),3,44-31,,
7:47.0,Personal foul by C. Douglas-Roberts (drawn by K. Bryant),,44-31,,
7:47.0,,,44-32,1,K. Bryant makes free throw 1 of 2
7:47.0,,,44-32,,C. Boozer enters the game for E. Davis
7:47.0,D. Jordan enters the game for H. Turkoglu,,44-32,,
7:47.0,,,44-33,1,K. Bryant makes free throw 2 of 2
7:25.0,J. Farmar misses 3-pt shot from 26 ft,,44-33,,
7:24.0,,,44-33,,Defensive rebound by R. Sacre
7:15.0,,,44-35,2,R. Price makes 2-pt shot from 19 ft
6:58.0,C. Douglas-Roberts misses 3-pt shot from 25 ft,,44-35,,
6:57.0,,,44-35,,Defensive rebound by R. Price
6:52.0,,,44-35,,Shooting foul by C. Douglas-Roberts (drawn by X. Henry)
6:52.0,,,44-36,1,X. Henry makes free throw 1 of 2
6:52.0,C. Paul enters the game for J. Farmar,,44-36,,
6:52.0,B. Griffin enters the game for C. Douglas-Roberts,,44-36,,
6:52.0,M. Barnes enters the game for S. Hawes,,44-36,,
6:52.0,,,44-36,,J. Hill enters the game for R. Sacre
6:52.0,,,44-36,,X. Henry misses free throw 2 of 2
6:51.0,Defensive rebound by B. Griffin,,44-36,,
6:42.0,,,44-36,,Personal foul by C. Boozer (drawn by B. Griffin)
6:42.0,,,44-36,,W. Johnson enters the game for X. Henry
6:42.0,J. Redick enters the game for J. Crawford,,44-36,,
6:39.0,Turnover by D. Jordan (bad pass),,44-36,,
6:28.0,,,44-36,,Turnover by K. Bryant (traveling)
6:28.0,,,44-36,,J. Lin enters the game for R. Price
6:09.0,B. Griffin misses 2-pt shot from 2 ft (block by C. Boozer),,44-36,,
6:07.0,,,44-36,,Defensive rebound by W. Johnson
6:03.0,,,44-36,,Turnover by W. Johnson (lost ball; steal by J. Redick)
6:00.0,Turnover by B. Griffin (lost ball; steal by K. Bryant),,44-36,,
5:53.0,,,44-38,2,C. Boozer makes 2-pt shot at rim (assist by K. Bryant)
5:47.0,,,44-38,,Personal foul by W. Johnson (drawn by C. Paul)
5:47.0,,,44-38,,LA Lakers full timeout
5:34.0,Turnover by D. Jordan (3 sec),,44-38,,
5:23.0,,,44-38,,W. Johnson misses 2-pt shot from 21 ft
5:22.0,Defensive rebound by B. Griffin,,44-38,,
5:13.0,M. Barnes misses 3-pt shot from 23 ft,,44-38,,
5:12.0,,,44-38,,Defensive rebound by C. Boozer
5:04.0,,,44-38,,J. Lin misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by Team,,44-38,,
5:04.0,,,44-38,,Loose ball foul by J. Hill (drawn by D. Jordan)
5:04.0,,,44-38,,E. Davis enters the game for J. Hill
4:56.0,Offensive foul by C. Paul,,44-38,,
4:56.0,Turnover by C. Paul (offensive foul),,44-38,,
4:45.0,,,44-38,,Turnover by J. Lin (bad pass; steal by C. Paul)
4:45.0,,,44-38,,Personal foul by K. Bryant (drawn by C. Paul)
4:45.0,Technical foul by C. Paul,,44-38,,
4:45.0,,,44-39,1,K. Bryant makes technical free throw
4:45.0,C. Paul makes free throw 1 of 2,1,45-39,,
4:45.0,C. Paul misses free throw 2 of 2,,45-39,,
4:42.0,,,45-39,,Defensive rebound by C. Boozer
4:32.0,,,45-42,3,K. Bryant makes 3-pt shot from 24 ft (assist by J. Lin)
4:25.0,,,45-42,,Personal foul by C. Boozer (drawn by C. Paul)
4:25.0,C. Paul makes free throw 1 of 2,1,46-42,,
4:25.0,C. Paul makes free throw 2 of 2,1,47-42,,
4:12.0,,,47-42,,K. Bryant misses 3-pt shot from 26 ft
4:11.0,,,47-42,,Offensive rebound by C. Boozer
3:59.0,,,47-44,2,E. Davis makes 2-pt shot from 4 ft (assist by J. Lin)
3:43.0,B. Griffin makes 2-pt shot at rim (assist by J. Redick),2,49-44,,
3:27.0,,,49-46,2,C. Boozer makes 2-pt shot from 1 ft
3:27.0,,,49-46,,Shooting foul by B. Griffin (drawn by C. Boozer)
3:27.0,,,49-46,,C. Boozer misses free throw 1 of 1
3:26.0,Defensive rebound by D. Jordan,,49-46,,
3:10.0,,,49-46,,Personal foul by J. Lin (drawn by C. Paul)
3:10.0,C. Paul makes free throw 1 of 2,1,50-46,,
3:10.0,C. Paul makes free throw 2 of 2,1,51-46,,
2:58.0,,,51-46,,Offensive foul by E. Davis (drawn by C. Paul)
2:58.0,,,51-46,,Turnover by E. Davis (offensive foul)
2:58.0,Shooting foul by E. Davis (drawn by C. Paul),,51-46,,
2:58.0,LA Clippers full timeout,,51-46,,
2:58.0,C. Paul makes free throw 1 of 2,1,52-46,,
2:58.0,C. Paul makes free throw 2 of 2,1,53-46,,
2:39.0,,,53-46,,Shooting foul by B. Griffin (drawn by C. Boozer)
2:39.0,,,53-47,1,C. Boozer makes free throw 1 of 2
2:39.0,,,53-48,1,C. Boozer makes free throw 2 of 2
2:26.0,C. Paul misses 3-pt shot from 26 ft,,53-48,,
2:25.0,Offensive rebound by D. Jordan,,53-48,,
2:22.0,D. Jordan makes 2-pt shot at rim,2,55-48,,
2:10.0,,,55-50,2,E. Davis makes 2-pt shot at rim (assist by C. Boozer)
1:58.0,B. Griffin makes 2-pt shot from 1 ft,2,57-50,,
1:47.0,,,57-50,,W. Johnson misses 2-pt shot from 4 ft
1:46.0,Defensive rebound by D. Jordan,,57-50,,
1:38.0,B. Griffin misses 2-pt shot from 4 ft,,57-50,,
1:35.0,Offensive rebound by M. Barnes,,57-50,,
1:32.0,Turnover by B. Griffin (lost ball; steal by K. Bryant),,57-50,,
1:26.0,,,57-50,,C. Boozer misses 2-pt shot from 2 ft
1:25.0,,,57-50,,Offensive rebound by C. Boozer
1:25.0,,,57-50,,Shooting foul by D. Jordan (drawn by C. Boozer)
1:25.0,,,57-51,1,C. Boozer makes free throw 1 of 2
1:25.0,,,57-51,,C. Boozer misses free throw 2 of 2
1:23.0,Defensive rebound by D. Jordan,,57-51,,
1:06.0,Shooting foul by E. Davis (drawn by M. Barnes),,57-51,,
1:06.0,M. Barnes misses free throw 1 of 2,,57-51,,
1:06.0,Offensive rebound by Team,,57-51,,
1:06.0,,,57-51,,R. Sacre enters the game for E. Davis
1:06.0,M. Barnes makes free throw 2 of 2,1,58-51,,
0:55.0,,,58-53,2,K. Bryant makes 2-pt shot from 1 ft
0:50.0,J. Redick misses 3-pt shot from 25 ft,,58-53,,
0:49.0,,,58-53,,Defensive rebound by Team
0:49.0,C. Douglas-Roberts enters the game for M. Barnes,,58-53,,
0:31.0,,,58-55,2,J. Lin makes 2-pt shot from 5 ft
0:09.0,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul),3,61-55,,
0:05.0,Personal block foul by B. Griffin (drawn by K. Bryant),,61-55,,
0:05.0,,,61-55,,K. Bryant misses free throw 1 of 2
0:05.0,,,61-55,,Offensive rebound by Team
0:05.0,J. Crawford enters the game for B. Griffin,,61-55,,
0:05.0,S. Hawes enters the game for D. Jordan,,61-55,,
0:05.0,,,61-55,,R. Price enters the game for R. Sacre
0:05.0,,,61-56,1,K. Bryant makes free throw 2 of 2
0:00.0,,,61-56,,Shooting block foul by R. Price (drawn by S. Hawes)
0:00.0,S. Hawes misses free throw 1 of 2,,61-56,,
0:00.0,Offensive rebound by Team,,61-56,,
0:00.0,S. Hawes makes free throw 2 of 2,1,62-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,B. Griffin misses 2-pt shot from 7 ft,,62-56,,
11:41.0,,,62-56,,Defensive rebound by C. Boozer
11:25.0,,,62-56,,C. Boozer misses 2-pt shot from 13 ft
11:23.0,Defensive rebound by J. Redick,,62-56,,
11:10.0,B. Griffin misses 2-pt shot from 19 ft,,62-56,,
11:09.0,,,62-56,,Defensive rebound by K. Bryant
11:01.0,,,62-56,,K. Bryant misses 2-pt shot from 13 ft
11:00.0,Defensive rebound by J. Redick,,62-56,,
10:48.0,C. Paul misses 2-pt shot from 2 ft,,62-56,,
10:47.0,,,62-56,,Defensive rebound by J. Hill
10:33.0,,,62-58,2,J. Lin makes 2-pt shot from 5 ft (assist by K. Bryant)
10:15.0,B. Griffin misses 2-pt shot from 19 ft,,62-58,,
10:14.0,,,62-58,,Defensive rebound by W. Johnson
10:07.0,,,62-61,3,W. Johnson makes 3-pt shot from 25 ft (assist by J. Lin)
9:40.0,J. Redick misses 3-pt shot from 26 ft,,62-61,,
9:39.0,,,62-61,,Defensive rebound by C. Boozer
9:29.0,,,62-63,2,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant)
9:16.0,,,62-63,,Personal foul by W. Johnson (drawn by J. Redick)
9:04.0,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin),3,65-63,,
8:49.0,,,65-65,2,J. Hill makes 2-pt shot at rim (assist by C. Boozer)
8:32.0,Shooting foul by W. Johnson (drawn by J. Redick),,65-65,,
8:32.0,J. Redick makes free throw 1 of 2,1,66-65,,
8:32.0,J. Redick makes free throw 2 of 2,1,67-65,,
8:13.0,,,67-68,3,J. Lin makes 3-pt shot from 26 ft (assist by K. Bryant)
8:03.0,Offensive foul by D. Jordan,,67-68,,
8:03.0,Turnover by D. Jordan (offensive foul),,67-68,,
7:51.0,,,67-70,2,K. Bryant makes 2-pt shot from 2 ft
7:33.0,J. Redick misses 3-pt shot from 25 ft,,67-70,,
7:32.0,,,67-70,,Defensive rebound by C. Boozer
7:22.0,,,67-72,2,J. Hill makes 2-pt shot from 13 ft (assist by K. Bryant)
7:21.0,LA Clippers full timeout,,67-72,,
7:09.0,,,67-72,,Personal foul by C. Boozer (drawn by B. Griffin)
7:00.0,C. Paul misses 3-pt shot from 26 ft,,67-72,,
6:59.0,,,67-72,,Defensive rebound by W. Johnson
6:39.0,,,67-74,2,J. Hill makes 2-pt shot from 15 ft (assist by J. Lin)
6:20.0,Shooting foul by J. Hill (drawn by B. Griffin),,67-74,,
6:20.0,B. Griffin misses free throw 1 of 2,,67-74,,
6:20.0,Offensive rebound by Team,,67-74,,
6:20.0,J. Crawford enters the game for J. Redick,,67-74,,
6:20.0,B. Griffin makes free throw 2 of 2,1,68-74,,
6:04.0,,,68-74,,C. Boozer misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by D. Jordan,,68-74,,
5:56.0,Shooting foul by C. Boozer (drawn by B. Griffin),,68-74,,
5:56.0,B. Griffin makes free throw 1 of 2,1,69-74,,
5:56.0,B. Griffin makes free throw 2 of 2,1,70-74,,
5:39.0,,,70-76,2,J. Hill makes 2-pt shot from 20 ft (assist by J. Lin)
5:27.0,B. Griffin makes 2-pt shot from 3 ft,2,72-76,,
5:11.0,,,72-76,,C. Boozer misses 2-pt shot from 1 ft
5:11.0,,,72-76,,Offensive rebound by J. Hill
5:11.0,Loose ball foul by D. Jordan (drawn by J. Hill),,72-76,,
5:11.0,,,72-76,,E. Davis enters the game for C. Boozer
5:11.0,S. Hawes enters the game for D. Jordan,,72-76,,
4:52.0,,,72-76,,Shooting foul by M. Barnes (drawn by K. Bryant)
4:52.0,,,72-76,,K. Bryant misses free throw 1 of 2
4:52.0,,,72-76,,Offensive rebound by Team
4:52.0,,,72-77,1,K. Bryant makes free throw 2 of 2
4:45.0,,,72-77,,Violation by E. Davis (kicked ball)
4:45.0,B. Griffin makes 2-pt shot at rim (assist by M. Barnes),2,74-77,,
4:29.0,,,74-77,,J. Hill misses 2-pt shot from 16 ft
4:28.0,Defensive rebound by C. Paul,,74-77,,
4:08.0,S. Hawes misses 2-pt shot from 2 ft,,74-77,,
4:07.0,Offensive rebound by B. Griffin,,74-77,,
4:07.0,B. Griffin makes 2-pt shot from 1 ft,2,76-77,,
3:49.0,,,76-79,2,W. Johnson makes 2-pt shot from 17 ft
3:36.0,,,76-79,,Personal block foul by E. Davis (drawn by B. Griffin)
3:36.0,B. Griffin makes free throw 1 of 2,1,77-79,,
3:36.0,,,77-79,,R. Sacre enters the game for E. Davis
3:36.0,,,77-79,,W. Ellington enters the game for K. Bryant
3:36.0,C. Douglas-Roberts enters the game for M. Barnes,,77-79,,
3:36.0,B. Griffin makes free throw 2 of 2,1,78-79,,
3:24.0,,,78-79,,J. Lin misses 3-pt shot from 25 ft
3:22.0,,,78-79,,Offensive rebound by R. Sacre
3:22.0,,,78-81,2,R. Sacre makes 2-pt shot at rim
3:12.0,Turnover by B. Griffin (traveling),,78-81,,
2:57.0,,,78-81,,Shooting foul by C. Paul (drawn by R. Sacre)
2:57.0,,,78-81,,LA Lakers full timeout
2:57.0,,,78-81,,J. Clarkson enters the game for W. Johnson
2:57.0,,,78-82,1,R. Sacre makes free throw 1 of 2
2:57.0,,,78-83,1,R. Sacre makes free throw 2 of 2
2:41.0,J. Crawford misses 2-pt shot from 14 ft,,78-83,,
2:40.0,,,78-83,,Defensive rebound by J. Lin
2:27.0,,,78-85,2,J. Hill makes 2-pt shot from 1 ft (assist by J. Lin)
2:14.0,Turnover by S. Hawes (traveling),,78-85,,
2:14.0,J. Farmar enters the game for C. Paul,,78-85,,
2:05.0,,,78-85,,Turnover by J. Lin (bad pass; steal by S. Hawes)
1:57.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Crawford),3,81-85,,
1:42.0,,,81-87,2,W. Ellington makes 2-pt shot from 19 ft (assist by J. Lin)
1:31.0,Turnover by S. Hawes (bad pass),,81-87,,
1:31.0,Loose ball foul by C. Douglas-Roberts (drawn by J. Clarkson),,81-87,,
1:31.0,,,81-87,,R. Price enters the game for J. Lin
1:23.0,Personal foul by S. Hawes (drawn by J. Hill),,81-87,,
1:23.0,,,81-88,1,J. Hill makes free throw 1 of 2
1:23.0,,,81-88,,J. Hill misses free throw 2 of 2
1:22.0,Defensive rebound by S. Hawes,,81-88,,
1:02.0,B. Griffin makes 2-pt shot from 6 ft,2,83-88,,
0:47.0,,,83-88,,J. Clarkson misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by C. Douglas-Roberts,,83-88,,
0:39.0,Turnover by B. Griffin (lost ball; steal by J. Clarkson),,83-88,,
0:33.0,,,83-88,,J. Clarkson misses 2-pt shot from 1 ft
0:33.0,,,83-88,,Offensive rebound by W. Ellington
0:33.0,,,83-90,2,W. Ellington makes 2-pt shot from 2 ft
0:18.0,Turnover by J. Farmar (bad pass),,83-90,,
0:18.0,,,83-90,,E. Davis enters the game for J. Hill
0:07.0,,,83-90,,Offensive foul by R. Sacre
0:07.0,,,83-90,,Turnover by R. Sacre (offensive foul)
0:07.0,J. Redick enters the game for C. Douglas-Roberts,,83-90,,
0:01.0,J. Crawford makes 3-pt shot from 31 ft,3,86-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,86-90,,Offensive foul by R. Sacre
11:39.0,,,86-90,,Turnover by R. Sacre (offensive foul)
11:28.0,J. Redick misses 2-pt shot from 16 ft,,86-90,,
11:27.0,,,86-90,,Defensive rebound by W. Ellington
11:04.0,,,86-90,,W. Ellington misses 3-pt shot from 26 ft
11:03.0,,,86-90,,Offensive rebound by E. Davis
11:00.0,,,86-92,2,E. Davis makes 2-pt shot from 2 ft
10:46.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,88-92,,
10:27.0,,,88-92,,R. Sacre misses 2-pt shot from 12 ft
10:26.0,Defensive rebound by S. Hawes,,88-92,,
10:20.0,Shooting foul by J. Clarkson (drawn by J. Crawford),,88-92,,
10:20.0,J. Crawford makes free throw 1 of 2,1,89-92,,
10:20.0,J. Crawford makes free throw 2 of 2,1,90-92,,
10:04.0,,,90-95,3,J. Clarkson makes 3-pt shot from 26 ft (assist by W. Ellington)
9:52.0,,,90-95,,Personal foul by J. Clarkson (drawn by D. Jordan)
9:46.0,J. Crawford makes 3-pt shot from 26 ft,3,93-95,,
9:31.0,,,93-95,,W. Ellington misses 3-pt shot from 25 ft
9:30.0,,,93-95,,Offensive rebound by E. Davis
9:30.0,,,93-97,2,E. Davis makes 2-pt shot from 2 ft
9:19.0,J. Crawford misses 3-pt shot from 25 ft,,93-97,,
9:17.0,,,93-97,,Defensive rebound by E. Davis
9:12.0,,,93-97,,Turnover by R. Sacre (traveling)
9:12.0,C. Paul enters the game for J. Farmar,,93-97,,
9:12.0,,,93-97,,K. Bryant enters the game for J. Clarkson
9:01.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,95-97,,
8:48.0,Official timeout,,95-97,,
8:48.0,,,95-97,,J. Hill enters the game for R. Sacre
8:36.0,,,95-97,,Turnover by K. Bryant (bad pass; steal by J. Redick)
8:23.0,J. Redick misses 3-pt shot from 27 ft,,95-97,,
8:22.0,,,95-97,,Defensive rebound by R. Price
8:07.0,,,95-97,,K. Bryant misses 2-pt shot from 15 ft
8:07.0,Defensive rebound by S. Hawes,,95-97,,
8:07.0,,,95-97,,Loose ball foul by J. Hill (drawn by S. Hawes)
8:07.0,B. Griffin enters the game for S. Hawes,,95-97,,
7:55.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,97-97,,
7:30.0,,,97-99,2,J. Hill makes 2-pt shot from 15 ft (assist by R. Price)
7:14.0,C. Paul misses 3-pt shot from 27 ft,,97-99,,
7:13.0,,,97-99,,Defensive rebound by J. Hill
7:04.0,,,97-101,2,J. Hill makes 2-pt shot from 20 ft (assist by R. Price)
6:39.0,Shooting foul by E. Davis (drawn by B. Griffin),,97-101,,
6:39.0,B. Griffin makes free throw 1 of 2,1,98-101,,
6:39.0,,,98-101,,C. Boozer enters the game for E. Davis
6:39.0,,,98-101,,W. Johnson enters the game for R. Price
6:39.0,,,98-101,,J. Lin enters the game for W. Ellington
6:39.0,B. Griffin makes free throw 2 of 2,1,99-101,,
6:23.0,Personal foul by D. Jordan (drawn by J. Hill),,99-101,,
6:18.0,,,99-101,,K. Bryant misses 2-pt shot from 17 ft
6:17.0,Defensive rebound by Team,,99-101,,
6:07.0,Shooting foul by W. Johnson (drawn by J. Crawford),,99-101,,
6:07.0,J. Crawford makes free throw 1 of 2,1,100-101,,
6:07.0,J. Crawford makes free throw 2 of 2,1,101-101,,
5:56.0,,,101-101,,Shooting foul by J. Crawford (drawn by K. Bryant)
5:56.0,,,101-101,,LA Lakers full timeout
5:56.0,,,101-102,1,K. Bryant makes free throw 1 of 2
