time,Golden State,pts.away,score,pts.home,Detroit
6:28.0,,,34-27,,Defensive rebound by J. Smith
6:22.0,,,34-29,2,A. Drummond makes 2-pt shot at rim (assist by J. Smith)
5:58.0,Shooting foul by A. Drummond (drawn by H. Barnes),,34-29,,
5:58.0,,,34-29,,Detroit full timeout
5:58.0,,,34-29,,K. Singler enters the game for C. Butler
5:58.0,,,34-29,,B. Jennings enters the game for D. Augustin
5:58.0,D. Green enters the game for A. Iguodala,,34-29,,
5:58.0,S. Curry enters the game for M. Speights,,34-29,,
5:58.0,A. Bogut enters the game for S. Livingston,,34-29,,
5:58.0,H. Barnes misses free throw 1 of 2,,34-29,,
5:58.0,Offensive rebound by Team,,34-29,,
5:58.0,H. Barnes makes free throw 2 of 2,1,35-29,,
5:44.0,,,35-29,,Shooting foul by D. Green (drawn by J. Smith)
5:44.0,,,35-30,1,J. Smith makes free throw 1 of 2
5:44.0,,,35-30,,J. Smith misses free throw 2 of 2
5:43.0,Defensive rebound by H. Barnes,,35-30,,
5:28.0,Turnover by A. Bogut (bad pass; steal by J. Smith),,35-30,,
5:20.0,,,35-30,,A. Drummond misses 2-pt shot from 4 ft (block by A. Bogut)
5:18.0,Defensive rebound by H. Barnes,,35-30,,
5:06.0,S. Curry makes 2-pt shot from 8 ft,2,37-30,,
4:48.0,,,37-32,2,C. Martin makes 2-pt shot from 21 ft (assist by J. Smith)
4:35.0,D. Green misses 2-pt shot from 3 ft (block by A. Drummond),,37-32,,
4:34.0,,,37-32,,Defensive rebound by K. Singler
4:28.0,,,37-32,,K. Singler misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by A. Bogut,,37-32,,
4:28.0,,,37-32,,Personal foul by A. Drummond (drawn by A. Bogut)
4:28.0,,,37-32,,G. Monroe enters the game for A. Drummond
4:12.0,Turnover by S. Curry (lost ball; steal by J. Smith),,37-32,,
4:10.0,Personal foul by A. Bogut (drawn by K. Singler),,37-32,,
3:59.0,,,37-32,,J. Smith misses 2-pt shot from 5 ft
3:58.0,Defensive rebound by A. Bogut,,37-32,,
3:37.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,40-32,,
3:18.0,,,40-35,3,K. Singler makes 3-pt shot from 26 ft (assist by J. Smith)
