time,Detroit,pts.away,score,pts.home,Charlotte
6:09.0,K. Singler misses 2-pt shot from 18 ft,,6-13,,
6:08.0,,,6-13,,Defensive rebound by C. Zeller
5:57.0,,,6-13,,J. Taylor misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by Team,,6-13,,
5:57.0,J. Jerebko enters the game for K. Singler,,6-13,,
5:37.0,G. Monroe makes 2-pt shot from 2 ft,2,8-13,,
5:21.0,,,8-13,,G. Henderson misses 2-pt shot from 2 ft
5:20.0,Defensive rebound by J. Jerebko,,8-13,,
5:14.0,G. Monroe misses 2-pt shot from 2 ft (block by C. Zeller),,8-13,,
5:14.0,Jump ball: G. Monroe vs. C. Zeller (J. Jerebko gains possession),,,,Jump ball: G. Monroe vs. C. Zeller (J. Jerebko gains possession)
5:14.0,Offensive rebound by Team,,8-13,,
5:01.0,D. Augustin makes 2-pt shot at rim,2,10-13,,
4:53.0,,,10-15,2,J. Taylor makes 2-pt shot at rim (assist by B. Roberts)
4:32.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by D. Augustin),3,13-15,,
4:18.0,,,13-15,,Shooting foul by K. Caldwell-Pope (drawn by G. Henderson)
4:18.0,,,13-15,,G. Henderson misses free throw 1 of 2
4:18.0,,,13-15,,Offensive rebound by Team
4:18.0,,,13-15,,L. Stephenson enters the game for J. Taylor
4:18.0,,,13-15,,M. Williams enters the game for C. Zeller
4:18.0,J. Meeks enters the game for G. Monroe,,13-15,,
4:18.0,A. Tolliver enters the game for K. Caldwell-Pope,,13-15,,
4:18.0,,,13-16,1,G. Henderson makes free throw 2 of 2
4:01.0,A. Drummond makes 2-pt shot from 6 ft,2,15-16,,
3:45.0,,,15-19,3,G. Henderson makes 3-pt shot from 23 ft (assist by L. Stephenson)
3:27.0,D. Augustin misses 2-pt shot from 1 ft (block by A. Jefferson),,15-19,,
3:27.0,Offensive rebound by Team,,15-19,,
3:24.0,,,15-19,,Personal foul by B. Roberts (drawn by D. Augustin)
3:15.0,A. Tolliver makes 2-pt shot from 6 ft (assist by D. Augustin),2,17-19,,
3:06.0,,,17-19,,Turnover by L. Stephenson (bad pass; steal by J. Meeks)
2:59.0,D. Augustin misses 3-pt shot from 26 ft,,17-19,,
2:58.0,,,17-19,,Defensive rebound by L. Stephenson
2:43.0,,,17-19,,Turnover by A. Jefferson (bad pass; steal by J. Meeks)
2:34.0,Shooting foul by L. Stephenson (drawn by J. Meeks),,17-19,,
2:34.0,,,17-19,,Charlotte full timeout
2:34.0,,,17-19,,J. Maxiell enters the game for A. Jefferson
2:34.0,J. Meeks makes free throw 1 of 2,1,18-19,,
2:34.0,J. Meeks makes free throw 2 of 2,1,19-19,,
2:19.0,,,19-19,,G. Henderson misses 2-pt shot from 14 ft
2:18.0,Defensive rebound by A. Drummond,,19-19,,
2:09.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,21-19,,
1:47.0,,,21-22,3,G. Henderson makes 3-pt shot from 23 ft (assist by J. Maxiell)
1:23.0,Shooting foul by B. Roberts (drawn by D. Augustin),,21-22,,
1:23.0,D. Augustin makes free throw 1 of 2,1,22-22,,
1:23.0,,,22-22,,P. Hairston enters the game for B. Roberts
1:23.0,D. Augustin makes free throw 2 of 2,1,23-22,,
1:11.0,,,23-22,,J. Maxiell misses 2-pt shot from 7 ft
1:10.0,Defensive rebound by A. Drummond,,23-22,,
1:00.0,J. Jerebko misses 3-pt shot from 23 ft,,23-22,,
0:59.0,,,23-22,,Defensive rebound by G. Henderson
0:44.0,,,23-24,2,G. Henderson makes 2-pt shot from 16 ft
0:34.0,A. Tolliver makes 3-pt shot from 23 ft (assist by J. Jerebko),3,26-24,,
0:19.0,,,26-24,,M. Williams misses 2-pt shot from 3 ft
0:17.0,,,26-24,,Offensive rebound by M. Williams
0:17.0,,,26-27,3,P. Hairston makes 3-pt shot from 23 ft (assist by M. Williams)
0:01.0,D. Augustin misses 2-pt shot from 13 ft,,26-27,,
0:00.0,,,26-27,,Defensive rebound by M. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Meeks makes 2-pt shot from 20 ft (assist by G. Monroe),2,28-27,,
11:23.0,,,28-30,3,M. Williams makes 3-pt shot from 23 ft (assist by P. Hairston)
11:01.0,G. Monroe misses 2-pt shot from 7 ft,,28-30,,
10:59.0,,,28-30,,Defensive rebound by L. Stephenson
10:54.0,Personal foul by J. Lucas III (drawn by J. Taylor),,28-30,,
10:41.0,,,28-30,,P. Hairston misses 2-pt shot from 10 ft
10:39.0,Defensive rebound by G. Monroe,,28-30,,
10:29.0,A. Tolliver makes 3-pt shot from 27 ft (assist by J. Lucas III),3,31-30,,
10:12.0,,,31-30,,L. Stephenson misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by J. Lucas III,,31-30,,
9:53.0,J. Meeks makes 2-pt shot from 15 ft (assist by G. Monroe),2,33-30,,
9:37.0,Personal foul by J. Lucas III (drawn by L. Stephenson),,33-30,,
9:37.0,K. Singler enters the game for J. Jerebko,,33-30,,
9:25.0,,,33-30,,P. Hairston misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by G. Monroe,,33-30,,
9:13.0,J. Meeks misses 2-pt shot from 16 ft,,33-30,,
9:12.0,,,33-30,,Defensive rebound by M. Williams
9:06.0,Personal foul by G. Monroe (drawn by M. Williams),,33-30,,
9:00.0,,,33-30,,J. Maxiell misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by A. Tolliver,,33-30,,
8:45.0,G. Monroe makes 2-pt shot from 2 ft,2,35-30,,
8:28.0,Official timeout,,35-30,,
8:22.0,,,35-30,,J. Maxiell misses 2-pt shot from 2 ft (block by K. Singler)
8:19.0,,,35-30,,Offensive rebound by J. Maxiell
8:19.0,,,35-30,,J. Maxiell misses 2-pt shot from 1 ft (block by J. Meeks)
8:17.0,Defensive rebound by J. Meeks,,35-30,,
8:01.0,A. Tolliver misses 3-pt shot from 23 ft,,35-30,,
8:00.0,,,35-30,,Defensive rebound by J. Taylor
7:52.0,,,35-30,,P. Hairston misses 3-pt shot from 26 ft
7:51.0,,,35-30,,Offensive rebound by J. Taylor
7:48.0,,,35-32,2,J. Taylor makes 2-pt shot at rim
7:37.0,Shooting foul by J. Maxiell (drawn by G. Monroe),,35-32,,
7:37.0,G. Monroe misses free throw 1 of 2,,35-32,,
7:37.0,Offensive rebound by Team,,35-32,,
7:37.0,,,35-32,,A. Jefferson enters the game for J. Maxiell
7:37.0,G. Monroe makes free throw 2 of 2,1,36-32,,
7:26.0,,,36-32,,Turnover by A. Jefferson (bad pass)
7:04.0,J. Lucas III misses 3-pt shot from 29 ft,,36-32,,
7:02.0,,,36-32,,Defensive rebound by A. Jefferson
6:50.0,,,36-35,3,P. Hairston makes 3-pt shot from 25 ft (assist by M. Williams)
6:28.0,K. Singler misses 3-pt shot from 26 ft,,36-35,,
6:26.0,Offensive rebound by J. Lucas III,,36-35,,
6:23.0,J. Meeks misses 3-pt shot from 24 ft,,36-35,,
6:22.0,Offensive rebound by G. Monroe,,36-35,,
6:18.0,A. Tolliver misses 3-pt shot from 24 ft,,36-35,,
6:17.0,Offensive rebound by J. Meeks,,36-35,,
6:12.0,G. Monroe misses 2-pt shot at rim,,36-35,,
6:07.0,Offensive rebound by G. Monroe,,36-35,,
6:07.0,G. Monroe makes 2-pt shot from 1 ft,2,38-35,,
5:57.0,,,38-38,3,P. Hairston makes 3-pt shot from 22 ft (assist by J. Taylor)
5:41.0,G. Monroe misses 2-pt shot from 6 ft (block by A. Jefferson),,38-38,,
5:39.0,Offensive rebound by G. Monroe,,38-38,,
5:39.0,Shooting foul by L. Stephenson (drawn by J. Meeks),,38-38,,
5:39.0,,,38-38,,Charlotte full timeout
5:39.0,D. Augustin enters the game for J. Lucas III,,38-38,,
5:39.0,,,38-38,,C. Zeller enters the game for J. Taylor
5:39.0,,,38-38,,G. Henderson enters the game for M. Williams
5:39.0,J. Meeks makes free throw 1 of 2,1,39-38,,
5:39.0,J. Meeks makes free throw 2 of 2,1,40-38,,
5:23.0,,,40-38,,A. Jefferson misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by K. Singler,,40-38,,
5:06.0,D. Augustin makes 2-pt shot from 6 ft,2,42-38,,
4:50.0,,,42-41,3,P. Hairston makes 3-pt shot from 26 ft (assist by L. Stephenson)
4:34.0,J. Meeks misses 3-pt shot from 26 ft,,42-41,,
4:33.0,,,42-41,,Defensive rebound by L. Stephenson
4:13.0,,,42-41,,A. Jefferson misses 2-pt shot from 7 ft
4:11.0,,,42-41,,Offensive rebound by A. Jefferson
4:11.0,,,42-41,,A. Jefferson misses 2-pt shot from 5 ft
4:09.0,,,42-41,,Offensive rebound by C. Zeller
4:05.0,,,42-43,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
3:57.0,Detroit full timeout,,42-43,,
3:57.0,K. Caldwell-Pope enters the game for J. Meeks,,42-43,,
3:57.0,A. Drummond enters the game for A. Tolliver,,42-43,,
3:51.0,Offensive foul by K. Singler,,42-43,,
3:51.0,Turnover by K. Singler (offensive foul),,42-43,,
3:45.0,Personal foul by A. Drummond (drawn by G. Henderson),,42-43,,
3:28.0,,,42-43,,C. Zeller misses 2-pt shot from 2 ft (block by A. Drummond)
3:27.0,Defensive rebound by G. Monroe,,42-43,,
3:24.0,D. Augustin misses 2-pt shot from 2 ft (block by A. Jefferson),,42-43,,
3:24.0,Offensive rebound by Team,,42-43,,
3:17.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,42-43,,
3:15.0,,,42-43,,Defensive rebound by P. Hairston
3:08.0,,,42-43,,C. Zeller misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by G. Monroe,,42-43,,
3:01.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,44-43,,
2:50.0,,,44-43,,Shooting foul by A. Drummond (drawn by A. Jefferson)
2:50.0,,,44-43,,A. Jefferson misses free throw 1 of 2
2:50.0,,,44-43,,Offensive rebound by Team
2:50.0,A. Tolliver enters the game for A. Drummond,,44-43,,
2:50.0,,,44-44,1,A. Jefferson makes free throw 2 of 2
2:33.0,D. Augustin makes 2-pt shot from 17 ft,2,46-44,,
2:19.0,,,46-46,2,G. Henderson makes 2-pt shot from 16 ft
1:55.0,A. Tolliver misses 3-pt shot from 23 ft,,46-46,,
1:55.0,Offensive rebound by Team,,46-46,,
1:55.0,,,46-46,,Loose ball foul by A. Jefferson (drawn by G. Monroe)
1:46.0,Shooting foul by C. Zeller (drawn by G. Monroe),,46-46,,
1:46.0,G. Monroe misses free throw 1 of 2,,46-46,,
1:46.0,Offensive rebound by Team,,46-46,,
1:46.0,,,46-46,,M. Williams enters the game for C. Zeller
1:46.0,J. Jerebko enters the game for K. Caldwell-Pope,,46-46,,
1:46.0,G. Monroe makes free throw 2 of 2,1,47-46,,
1:38.0,,,47-46,,Turnover by L. Stephenson (bad pass; steal by G. Monroe)
1:38.0,,,47-46,,Personal foul by L. Stephenson (drawn by D. Augustin)
1:38.0,D. Augustin makes free throw 1 of 2,1,48-46,,
1:38.0,,,48-46,,B. Roberts enters the game for L. Stephenson
1:38.0,D. Augustin makes free throw 2 of 2,1,49-46,,
1:24.0,,,49-46,,M. Williams misses 2-pt shot from 22 ft
1:23.0,Defensive rebound by J. Jerebko,,49-46,,
1:15.0,D. Augustin misses 2-pt shot from 2 ft (block by M. Williams),,49-46,,
1:13.0,,,49-46,,Defensive rebound by A. Jefferson
1:07.0,,,49-46,,P. Hairston misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by A. Tolliver,,49-46,,
0:57.0,D. Augustin makes 3-pt shot from 25 ft,3,52-46,,
0:50.0,,,52-46,,Offensive foul by M. Williams
0:50.0,,,52-46,,Turnover by M. Williams (offensive foul)
0:35.0,G. Monroe makes 2-pt shot from 5 ft,2,54-46,,
0:11.0,,,54-46,,G. Henderson misses 2-pt shot from 18 ft
0:11.0,,,54-46,,Offensive rebound by Team
0:11.0,,,54-46,,Turnover by Team (shot clock)
0:00.0,D. Augustin misses 3-pt shot from 27 ft,,54-46,,
0:00.0,Offensive rebound by Team,,54-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Drummond misses 2-pt shot from 8 ft,,54-46,,
11:41.0,,,54-46,,Defensive rebound by A. Jefferson
11:26.0,,,54-46,,A. Jefferson misses 2-pt shot from 11 ft
11:25.0,Defensive rebound by A. Drummond,,54-46,,
11:07.0,G. Monroe makes 2-pt shot from 7 ft (assist by A. Drummond),2,56-46,,
10:51.0,,,56-48,2,A. Jefferson makes 2-pt shot at rim
10:23.0,D. Augustin misses 2-pt shot from 14 ft,,56-48,,
10:22.0,,,56-48,,Defensive rebound by A. Jefferson
10:16.0,,,56-48,,Shooting foul by K. Singler (drawn by G. Henderson)
10:16.0,,,56-49,1,G. Henderson makes free throw 1 of 2
10:16.0,,,56-50,1,G. Henderson makes free throw 2 of 2
9:53.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,56-50,,
9:53.0,,,56-50,,Defensive rebound by Team
9:37.0,,,56-50,,A. Jefferson misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by K. Caldwell-Pope,,56-50,,
9:18.0,A. Drummond makes 2-pt shot from 7 ft (assist by K. Singler),2,58-50,,
9:03.0,,,58-50,,G. Henderson misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by Team,,58-50,,
8:50.0,K. Singler misses 2-pt shot from 18 ft,,58-50,,
8:48.0,,,58-50,,Defensive rebound by A. Jefferson
8:35.0,,,58-50,,J. Taylor misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by G. Monroe,,58-50,,
8:12.0,D. Augustin misses 2-pt shot from 4 ft (block by J. Taylor),,58-50,,
8:10.0,Offensive rebound by A. Drummond,,58-50,,
8:07.0,A. Drummond misses 2-pt shot from 4 ft,,58-50,,
8:06.0,,,58-50,,Defensive rebound by A. Jefferson
7:55.0,,,58-50,,Shooting foul by K. Caldwell-Pope (drawn by G. Henderson)
7:55.0,,,58-51,1,G. Henderson makes free throw 1 of 2
7:55.0,,,58-52,1,G. Henderson makes free throw 2 of 2
7:44.0,,,58-52,,Personal foul by C. Zeller (drawn by G. Monroe)
7:30.0,Turnover by Team (shot clock),,58-52,,
7:14.0,,,58-52,,B. Roberts misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by K. Caldwell-Pope,,58-52,,
7:07.0,Shooting foul by C. Zeller (drawn by G. Monroe),,58-52,,
7:07.0,G. Monroe makes free throw 1 of 2,1,59-52,,
7:07.0,,,59-52,,M. Williams enters the game for C. Zeller
7:07.0,G. Monroe makes free throw 2 of 2,1,60-52,,
6:47.0,,,60-52,,G. Henderson misses 3-pt shot from 25 ft
6:45.0,,,60-52,,Offensive rebound by B. Roberts
6:37.0,,,60-52,,A. Jefferson misses 2-pt shot from 17 ft
6:35.0,Defensive rebound by A. Drummond,,60-52,,
6:23.0,G. Monroe makes 2-pt shot from 1 ft,2,62-52,,
6:23.0,,,62-52,,Charlotte full timeout
6:11.0,,,62-54,2,A. Jefferson makes 2-pt shot from 2 ft (assist by B. Roberts)
5:51.0,,,62-54,,Personal foul by M. Williams (drawn by G. Monroe)
5:38.0,K. Caldwell-Pope misses 2-pt shot from 5 ft,,62-54,,
5:37.0,Offensive rebound by G. Monroe,,62-54,,
5:37.0,G. Monroe makes 2-pt shot at rim,2,64-54,,
5:10.0,,,64-54,,M. Williams misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by D. Augustin,,64-54,,
5:00.0,Shooting foul by J. Taylor (drawn by D. Augustin),,64-54,,
5:00.0,D. Augustin makes free throw 1 of 3,1,65-54,,
5:00.0,D. Augustin makes free throw 2 of 3,1,66-54,,
5:00.0,,,66-54,,L. Stephenson enters the game for G. Henderson
5:00.0,D. Augustin makes free throw 3 of 3,1,67-54,,
4:36.0,,,67-54,,Turnover by J. Taylor (bad pass; steal by D. Augustin)
4:34.0,Turnover by A. Drummond (offensive goaltending),,67-54,,
4:17.0,,,67-56,2,A. Jefferson makes 2-pt shot from 7 ft
4:04.0,K. Singler misses 2-pt shot from 18 ft,,67-56,,
4:03.0,,,67-56,,Defensive rebound by A. Jefferson
3:53.0,,,67-56,,M. Williams misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by A. Drummond,,67-56,,
3:32.0,A. Drummond makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,69-56,,
3:19.0,,,69-56,,Turnover by L. Stephenson (bad pass; steal by A. Drummond)
3:19.0,Turnover by A. Drummond (traveling),,69-56,,
3:16.0,J. Meeks enters the game for A. Drummond,,69-56,,
3:16.0,A. Tolliver enters the game for K. Caldwell-Pope,,69-56,,
3:08.0,,,69-58,2,J. Taylor makes 2-pt shot at rim (assist by L. Stephenson)
2:52.0,Shooting foul by L. Stephenson (drawn by K. Singler),,69-58,,
2:52.0,Detroit full timeout,,69-58,,
2:52.0,,,69-58,,P. Hairston enters the game for B. Roberts
2:52.0,K. Singler makes free throw 1 of 2,1,70-58,,
2:52.0,K. Singler makes free throw 2 of 2,1,71-58,,
2:37.0,,,71-58,,P. Hairston misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by K. Singler,,71-58,,
2:24.0,Shooting foul by A. Jefferson (drawn by G. Monroe),,71-58,,
2:24.0,G. Monroe makes free throw 1 of 2,1,72-58,,
2:24.0,G. Monroe misses free throw 2 of 2,,72-58,,
2:24.0,Offensive rebound by Team,,72-58,,
2:24.0,,,72-58,,Loose ball foul by M. Williams (drawn by K. Singler)
2:24.0,K. Singler makes free throw 1 of 2,1,73-58,,
2:24.0,K. Singler makes free throw 2 of 2,1,74-58,,
2:06.0,,,74-58,,P. Hairston misses 2-pt shot from 1 ft
2:04.0,,,74-58,,Offensive rebound by M. Williams
1:58.0,,,74-60,2,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson)
1:41.0,A. Tolliver misses 2-pt shot from 20 ft,,74-60,,
1:39.0,,,74-60,,Defensive rebound by A. Jefferson
1:21.0,,,74-60,,A. Jefferson misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by A. Tolliver,,74-60,,
1:16.0,Shooting foul by P. Hairston (drawn by J. Meeks),,74-60,,
1:16.0,J. Meeks makes free throw 1 of 2,1,75-60,,
1:16.0,J. Lucas III enters the game for D. Augustin,,75-60,,
1:16.0,J. Meeks makes free throw 2 of 2,1,76-60,,
1:03.0,,,76-60,,Turnover by L. Stephenson (bad pass; steal by J. Meeks)
0:53.0,Shooting foul by M. Williams (drawn by A. Tolliver),,76-60,,
0:53.0,A. Tolliver makes 2-pt shot from 2 ft (assist by J. Lucas III),2,78-60,,
0:53.0,A. Tolliver makes free throw 1 of 1,1,79-60,,
0:35.0,,,79-60,,J. Taylor misses 2-pt shot from 9 ft
0:33.0,Defensive rebound by G. Monroe,,79-60,,
0:23.0,K. Singler makes 2-pt shot from 20 ft,2,81-60,,
0:04.0,,,81-60,,Turnover by L. Stephenson (bad pass; steal by G. Monroe)
0:00.0,G. Monroe makes 2-pt shot from 1 ft,2,83-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,83-62,2,P. Hairston makes 2-pt shot from 10 ft (assist by G. Henderson)
11:15.0,A. Drummond misses 2-pt shot from 9 ft,,83-62,,
11:15.0,,,83-62,,Defensive rebound by Team
11:15.0,Loose ball foul by A. Tolliver (drawn by G. Henderson),,83-62,,
10:56.0,,,83-62,,B. Roberts misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by A. Tolliver,,83-62,,
10:46.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,85-62,,
10:28.0,,,85-62,,G. Henderson misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by K. Caldwell-Pope,,85-62,,
10:17.0,A. Drummond misses 2-pt shot from 1 ft,,85-62,,
10:16.0,,,85-62,,Defensive rebound by G. Henderson
10:03.0,,,85-62,,M. Williams misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by K. Caldwell-Pope,,85-62,,
9:59.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,87-62,,
9:46.0,Personal foul by J. Meeks (drawn by P. Hairston),,87-62,,
9:46.0,,,87-62,,C. Zeller enters the game for M. Williams
9:37.0,,,87-64,2,C. Zeller makes 2-pt shot from 16 ft (assist by G. Henderson)
9:20.0,J. Meeks makes 2-pt shot from 16 ft (assist by J. Lucas III),2,89-64,,
9:07.0,,,89-66,2,J. Maxiell makes 2-pt shot from 16 ft (assist by G. Henderson)
8:50.0,Shooting foul by P. Hairston (drawn by J. Meeks),,89-66,,
8:50.0,Official timeout,,89-66,,
8:50.0,J. Meeks makes free throw 1 of 2,1,90-66,,
8:50.0,J. Meeks makes free throw 2 of 2,1,91-66,,
8:34.0,,,91-66,,G. Henderson misses 2-pt shot from 10 ft
8:33.0,Defensive rebound by A. Drummond,,91-66,,
8:19.0,J. Lucas III misses 2-pt shot from 16 ft,,91-66,,
8:17.0,Offensive rebound by J. Lucas III,,91-66,,
8:04.0,A. Tolliver makes 3-pt shot from 24 ft (assist by J. Lucas III),3,94-66,,
7:50.0,,,94-66,,B. Roberts misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by A. Drummond,,94-66,,
7:32.0,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by J. Meeks),2,96-66,,
7:17.0,,,96-66,,J. Maxiell misses 2-pt shot from 17 ft
7:16.0,Defensive rebound by K. Caldwell-Pope,,96-66,,
7:00.0,A. Tolliver misses 2-pt shot from 1 ft (block by J. Maxiell),,96-66,,
6:58.0,,,96-66,,Defensive rebound by J. Maxiell
6:54.0,Personal foul by J. Lucas III (drawn by B. Roberts),,96-66,,
6:38.0,,,96-66,,P. Hairston misses 2-pt shot from 9 ft
6:37.0,,,96-66,,Offensive rebound by Team
6:37.0,Loose ball foul by A. Tolliver (drawn by P. Hairston),,96-66,,
6:37.0,,,96-66,,N. Vonleh enters the game for J. Maxiell
6:29.0,,,96-66,,N. Vonleh misses 3-pt shot from 26 ft
6:28.0,,,96-66,,Offensive rebound by C. Zeller
6:20.0,,,96-66,,P. Hairston misses 3-pt shot from 25 ft
6:19.0,,,96-66,,Offensive rebound by C. Zeller
6:15.0,,,96-68,2,G. Henderson makes 2-pt shot from 1 ft
5:55.0,A. Tolliver makes 2-pt shot from 1 ft (assist by A. Drummond),2,98-68,,
5:39.0,,,98-70,2,P. Hairston makes 2-pt shot from 1 ft (assist by B. Roberts)
5:18.0,Turnover by A. Tolliver (lost ball),,98-70,,
5:18.0,,,98-70,,Charlotte full timeout
5:18.0,J. Jerebko enters the game for A. Tolliver,,98-70,,
5:18.0,,,98-70,,J. Taylor enters the game for G. Henderson
5:03.0,,,98-70,,P. Hairston misses 2-pt shot from 20 ft
5:02.0,Defensive rebound by A. Drummond,,98-70,,
4:48.0,Shooting foul by P. Hairston (drawn by J. Meeks),,98-70,,
4:48.0,J. Meeks makes free throw 1 of 2,1,99-70,,
4:48.0,J. Anthony enters the game for A. Drummond,,99-70,,
4:48.0,J. Meeks makes free throw 2 of 2,1,100-70,,
4:26.0,,,100-70,,C. Zeller misses 2-pt shot from 1 ft (block by J. Anthony)
4:24.0,Defensive rebound by J. Meeks,,100-70,,
4:06.0,J. Lucas III misses 2-pt shot from 2 ft,,100-70,,
4:05.0,,,100-70,,Defensive rebound by P. Hairston
4:02.0,,,100-70,,Turnover by P. Hairston (lost ball; steal by J. Lucas III)
3:41.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,100-70,,
3:38.0,,,100-70,,Defensive rebound by C. Zeller
3:35.0,Personal foul by J. Lucas III (drawn by B. Roberts),,100-70,,
3:35.0,,,100-71,1,B. Roberts makes free throw 1 of 2
3:35.0,L. Datome enters the game for K. Caldwell-Pope,,100-71,,
3:35.0,S. Dinwiddie enters the game for J. Lucas III,,100-71,,
3:35.0,,,100-71,,B. Roberts misses free throw 2 of 2
3:31.0,Defensive rebound by J. Anthony,,100-71,,
3:13.0,L. Datome makes 2-pt shot from 15 ft,2,102-71,,
3:03.0,,,102-71,,Shooting foul by J. Jerebko (drawn by N. Vonleh)
3:03.0,,,102-72,1,N. Vonleh makes free throw 1 of 2
3:03.0,,,102-73,1,N. Vonleh makes free throw 2 of 2
2:49.0,J. Anthony misses 2-pt shot from 3 ft (block by N. Vonleh),,102-73,,
2:48.0,Offensive rebound by J. Anthony,,102-73,,
2:38.0,J. Anthony misses 2-pt shot from 1 ft,,102-73,,
2:37.0,Offensive rebound by L. Datome,,102-73,,
2:37.0,L. Datome makes 2-pt shot from 1 ft,2,104-73,,
2:19.0,,,104-73,,P. Hairston misses 3-pt shot from 26 ft
