time,Miami,pts.away,score,pts.home,Utah
8:36.0,D. Granger makes 3-pt shot from 24 ft (assist by C. Bosh),3,42-31,,
8:17.0,,,42-33,2,E. Kanter makes 2-pt shot from 12 ft (assist by D. Exum)
7:55.0,S. Williams makes 2-pt shot from 1 ft (assist by S. Napier),2,44-33,,
7:51.0,,,44-33,,Utah full timeout
7:51.0,D. Wade enters the game for M. Chalmers,,44-33,,
7:38.0,,,44-33,,Shooting foul by S. Williams (drawn by A. Burks)
7:38.0,,,44-34,1,A. Burks makes free throw 1 of 2
7:38.0,,,44-35,1,A. Burks makes free throw 2 of 2
7:20.0,C. Bosh makes 2-pt shot from 7 ft,2,46-35,,
7:01.0,,,46-37,2,E. Kanter makes 2-pt shot from 18 ft (assist by J. Ingles)
6:32.0,D. Granger misses 3-pt shot from 26 ft,,46-37,,
6:31.0,,,46-37,,Defensive rebound by A. Burks
6:26.0,J. Hamilton enters the game for C. Bosh,,46-37,,
6:26.0,,,46-37,,T. Burke enters the game for D. Exum
6:26.0,L. Deng enters the game for D. Granger,,46-37,,
6:26.0,N. Cole enters the game for S. Napier,,46-37,,
6:26.0,,,46-37,,R. Hood enters the game for J. Ingles
6:17.0,,,46-37,,R. Hood misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by S. Williams,,46-37,,
6:05.0,D. Wade makes 2-pt shot at rim (assist by N. Cole),2,48-37,,
5:45.0,,,48-39,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke)
5:39.0,Miami full timeout,,48-39,,
5:28.0,Shooting foul by A. Burks (drawn by D. Wade),,48-39,,
5:28.0,D. Wade makes free throw 1 of 2,1,49-39,,
5:28.0,D. Wade makes free throw 2 of 2,1,50-39,,
5:10.0,,,50-39,,Turnover by T. Booker (bad pass)
4:57.0,J. Hamilton misses 3-pt shot from 25 ft,,50-39,,
4:56.0,,,50-39,,Defensive rebound by A. Burks
4:38.0,,,50-39,,T. Burke misses 3-pt shot from 24 ft
4:37.0,,,50-39,,Offensive rebound by T. Booker
4:33.0,,,50-39,,A. Burks misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by D. Wade,,50-39,,
4:26.0,D. Wade misses 2-pt shot from 2 ft,,50-39,,
4:24.0,,,50-39,,Defensive rebound by R. Hood
4:06.0,,,50-41,2,T. Booker makes 2-pt shot from 6 ft
3:39.0,J. Hamilton misses 2-pt shot from 3 ft,,50-41,,
3:38.0,,,50-41,,Defensive rebound by E. Kanter
3:15.0,,,50-41,,Turnover by Team (shot clock)
3:15.0,,,50-41,,G. Hayward enters the game for A. Burks
3:15.0,C. Bosh enters the game for S. Williams,,50-41,,
3:15.0,,,50-41,,S. Novak enters the game for T. Booker
3:04.0,L. Deng makes 2-pt shot from 18 ft,2,52-41,,
2:47.0,,,52-41,,Shooting foul by J. Hamilton (drawn by E. Kanter)
2:47.0,Official timeout,,52-41,,
2:47.0,,,52-42,1,E. Kanter makes free throw 1 of 2
2:47.0,,,52-43,1,E. Kanter makes free throw 2 of 2
2:32.0,J. Hamilton makes 2-pt shot at rim (assist by L. Deng),2,54-43,,
2:16.0,,,54-43,,G. Hayward misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by D. Wade,,54-43,,
2:06.0,C. Bosh misses 2-pt shot from 19 ft,,54-43,,
2:04.0,Offensive rebound by L. Deng,,54-43,,
2:01.0,L. Deng makes 2-pt shot from 1 ft,2,56-43,,
1:41.0,,,56-45,2,E. Kanter makes 2-pt shot from 2 ft
1:30.0,Shooting foul by G. Hayward (drawn by L. Deng),,56-45,,
1:30.0,L. Deng misses free throw 1 of 2,,56-45,,
1:30.0,Offensive rebound by Team,,56-45,,
1:30.0,U. Haslem enters the game for J. Hamilton,,56-45,,
1:30.0,L. Deng makes free throw 2 of 2,1,57-45,,
1:20.0,,,57-45,,Turnover by T. Burke (bad pass; steal by L. Deng)
1:11.0,D. Wade makes 2-pt shot from 1 ft,2,59-45,,
0:56.0,,,59-47,2,E. Kanter makes 2-pt shot from 4 ft
0:44.0,Shooting foul by R. Hood (drawn by D. Wade),,59-47,,
0:44.0,D. Wade misses free throw 1 of 2,,59-47,,
0:44.0,Offensive rebound by Team,,59-47,,
0:44.0,,,59-47,,J. Ingles enters the game for R. Hood
0:44.0,D. Wade makes free throw 2 of 2,1,60-47,,
0:34.0,,,60-47,,T. Burke misses 2-pt shot from 23 ft
0:33.0,Defensive rebound by C. Bosh,,60-47,,
0:16.0,D. Wade makes 2-pt shot from 6 ft,2,62-47,,
0:01.0,,,62-47,,S. Novak misses 3-pt shot from 32 ft (block by C. Bosh)
0:01.0,Defensive rebound by C. Bosh,,62-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,62-47,,T. Burke misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by D. Wade,,62-47,,
11:29.0,Shooting foul by E. Kanter (drawn by C. Bosh),,62-47,,
11:29.0,C. Bosh makes free throw 1 of 2,1,63-47,,
11:29.0,C. Bosh misses free throw 2 of 2,,63-47,,
11:28.0,,,63-47,,Defensive rebound by R. Gobert
11:05.0,,,63-47,,T. Burke misses 2-pt shot from 7 ft
11:02.0,,,63-47,,Offensive rebound by R. Gobert
10:49.0,,,63-49,2,T. Burke makes 2-pt shot from 3 ft
10:27.0,J. Hamilton misses 2-pt shot from 5 ft,,63-49,,
10:26.0,,,63-49,,Defensive rebound by R. Gobert
10:15.0,,,63-49,,E. Kanter misses 2-pt shot from 18 ft
10:15.0,,,63-49,,Offensive rebound by Team
10:15.0,Personal foul by J. Hamilton (drawn by R. Gobert),,63-49,,
10:00.0,,,63-51,2,A. Burks makes 2-pt shot from 7 ft
9:45.0,D. Wade makes 2-pt shot from 1 ft,2,65-51,,
9:21.0,,,65-53,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
9:00.0,Turnover by J. Hamilton (3 sec),,65-53,,
8:47.0,,,65-53,,G. Hayward misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by N. Cole,,65-53,,
8:37.0,N. Cole misses 3-pt shot from 25 ft,,65-53,,
8:34.0,,,65-53,,Defensive rebound by E. Kanter
8:26.0,,,65-55,2,E. Kanter makes 2-pt shot from 4 ft (assist by A. Burks)
8:00.0,N. Cole misses 2-pt shot from 16 ft,,65-55,,
7:59.0,,,65-55,,Defensive rebound by R. Gobert
7:45.0,,,65-55,,E. Kanter misses 2-pt shot from 3 ft (block by C. Bosh)
7:45.0,,,65-55,,Offensive rebound by R. Gobert
7:45.0,,,65-55,,Shooting foul by J. Hamilton (drawn by R. Gobert)
7:45.0,,,65-55,,R. Gobert misses free throw 1 of 2
7:45.0,,,65-55,,Offensive rebound by Team
7:45.0,,,65-56,1,R. Gobert makes free throw 2 of 2
7:40.0,Miami full timeout,,65-56,,
7:40.0,U. Haslem enters the game for J. Hamilton,,65-56,,
7:29.0,C. Bosh makes 2-pt shot from 13 ft,2,67-56,,
7:12.0,,,67-56,,Turnover by G. Hayward (step out of bounds)
6:56.0,C. Bosh misses 3-pt shot from 23 ft,,67-56,,
6:55.0,,,67-56,,Defensive rebound by T. Burke
6:49.0,,,67-59,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke)
6:25.0,Shooting foul by E. Kanter (drawn by D. Wade),,67-59,,
6:25.0,D. Wade misses free throw 1 of 2,,67-59,,
6:25.0,Offensive rebound by Team,,67-59,,
6:25.0,D. Wade misses free throw 2 of 2,,67-59,,
6:24.0,Offensive rebound by Team,,67-59,,
6:21.0,D. Wade misses 2-pt shot from 16 ft (block by R. Gobert),,67-59,,
6:21.0,Offensive rebound by Team,,67-59,,
6:10.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,69-59,,
5:56.0,,,69-59,,A. Burks misses 2-pt shot from 22 ft
5:54.0,Defensive rebound by L. Deng,,69-59,,
5:42.0,D. Wade makes 2-pt shot from 18 ft (assist by N. Cole),2,71-59,,
5:23.0,,,71-59,,T. Burke misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by U. Haslem,,71-59,,
5:11.0,D. Wade makes 2-pt shot from 16 ft,2,73-59,,
5:10.0,,,73-59,,Utah full timeout
5:10.0,,,73-59,,R. Hood enters the game for A. Burks
5:10.0,,,73-59,,T. Booker enters the game for E. Kanter
4:46.0,,,73-59,,T. Burke misses 3-pt shot from 24 ft
4:46.0,,,73-59,,Offensive rebound by Team
4:46.0,,,73-59,,Turnover by Team (shot clock)
4:33.0,N. Cole makes 2-pt shot from 19 ft,2,75-59,,
4:22.0,,,75-62,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Gobert)
4:02.0,L. Deng misses 2-pt shot from 16 ft,,75-62,,
4:01.0,,,75-62,,Defensive rebound by G. Hayward
3:52.0,,,75-62,,T. Booker misses 2-pt shot from 15 ft
3:50.0,,,75-62,,Offensive rebound by T. Burke
3:43.0,,,75-64,2,G. Hayward makes 2-pt shot from 12 ft
3:35.0,M. Chalmers enters the game for D. Wade,,75-64,,
3:19.0,Turnover by M. Chalmers (bad pass; steal by R. Gobert),,75-64,,
3:11.0,,,75-64,,Shooting foul by C. Bosh (drawn by R. Gobert)
3:11.0,,,75-65,1,R. Gobert makes free throw 1 of 2
3:11.0,,,75-65,,J. Evans enters the game for T. Booker
3:11.0,,,75-66,1,R. Gobert makes free throw 2 of 2
2:56.0,C. Bosh makes 3-pt shot from 24 ft (assist by M. Chalmers),3,78-66,,
2:29.0,,,78-66,,T. Burke misses 2-pt shot from 2 ft
2:28.0,,,78-66,,Offensive rebound by J. Evans
2:28.0,,,78-68,2,J. Evans makes 2-pt shot at rim
2:10.0,M. Chalmers misses 2-pt shot from 4 ft (block by R. Gobert),,78-68,,
2:10.0,Offensive rebound by Team,,78-68,,
2:10.0,,,78-68,,D. Exum enters the game for T. Burke
2:05.0,C. Bosh misses 2-pt shot from 20 ft,,78-68,,
2:04.0,,,78-68,,Defensive rebound by R. Gobert
1:48.0,,,78-71,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
1:23.0,M. Chalmers misses 2-pt shot from 21 ft,,78-71,,
1:22.0,,,78-71,,Defensive rebound by G. Hayward
1:18.0,Personal foul by N. Cole (drawn by D. Exum),,78-71,,
1:18.0,D. Granger enters the game for L. Deng,,78-71,,
1:18.0,S. Napier enters the game for N. Cole,,78-71,,
1:05.0,,,78-71,,J. Evans misses 2-pt shot from 5 ft
1:04.0,,,78-71,,Offensive rebound by J. Evans
1:01.0,,,78-71,,D. Exum misses 3-pt shot from 22 ft
1:00.0,Defensive rebound by C. Bosh,,78-71,,
0:44.0,C. Bosh misses 3-pt shot from 25 ft,,78-71,,
0:42.0,,,78-71,,Defensive rebound by G. Hayward
0:32.0,,,78-71,,G. Hayward misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by S. Napier,,78-71,,
0:09.0,S. Napier misses 3-pt shot from 25 ft,,78-71,,
0:07.0,,,78-71,,Defensive rebound by R. Gobert
0:02.0,,,78-74,3,D. Exum makes 3-pt shot from 24 ft (assist by R. Gobert)
0:01.0,M. Chalmers misses 3-pt shot from 48 ft,,78-74,,
0:00.0,Offensive rebound by Team,,78-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Bosh makes 2-pt shot from 3 ft,2,80-74,,
11:26.0,Personal foul by C. Bosh (drawn by E. Kanter),,80-74,,
11:15.0,,,80-74,,Shooting foul by S. Williams (drawn by A. Burks)
11:15.0,,,80-75,1,A. Burks makes free throw 1 of 2
11:15.0,,,80-76,1,A. Burks makes free throw 2 of 2
10:54.0,C. Bosh misses 3-pt shot from 24 ft,,80-76,,
10:51.0,Offensive rebound by D. Granger,,80-76,,
10:45.0,D. Granger misses 2-pt shot from 1 ft,,80-76,,
10:44.0,,,80-76,,Defensive rebound by J. Evans
10:40.0,,,80-78,2,A. Burks makes 2-pt shot from 2 ft
10:40.0,,,80-78,,Shooting foul by C. Bosh (drawn by A. Burks)
10:40.0,,,80-79,1,A. Burks makes free throw 1 of 1
10:25.0,Shooting foul by A. Burks (drawn by M. Chalmers),,80-79,,
10:25.0,M. Chalmers makes free throw 1 of 2,1,81-79,,
10:25.0,D. Wade enters the game for S. Napier,,81-79,,
10:25.0,J. Hamilton enters the game for C. Bosh,,81-79,,
10:25.0,M. Chalmers misses free throw 2 of 2,,81-79,,
10:24.0,,,81-79,,Defensive rebound by E. Kanter
10:05.0,,,81-79,,R. Hood misses 2-pt shot from 22 ft
10:04.0,Defensive rebound by J. Hamilton,,81-79,,
9:52.0,D. Wade makes 2-pt shot from 19 ft (assist by S. Williams),2,83-79,,
9:29.0,,,83-79,,A. Burks misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by S. Williams,,83-79,,
9:08.0,J. Hamilton misses 2-pt shot from 6 ft,,83-79,,
9:06.0,,,83-79,,Defensive rebound by J. Evans
9:02.0,,,83-79,,Offensive charge foul by J. Evans
9:02.0,,,83-79,,Turnover by J. Evans (offensive foul)
9:02.0,,,83-79,,J. Ingles enters the game for R. Hood
9:02.0,,,83-79,,R. Gobert enters the game for J. Evans
8:47.0,D. Wade misses 2-pt shot from 9 ft (block by R. Gobert),,83-79,,
8:45.0,,,83-79,,Defensive rebound by E. Kanter
8:25.0,,,83-81,2,E. Kanter makes 2-pt shot from 15 ft (assist by D. Exum)
8:00.0,D. Wade makes 3-pt shot from 23 ft,3,86-81,,
7:37.0,,,86-81,,D. Exum misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by S. Williams,,86-81,,
7:18.0,M. Chalmers makes 3-pt shot from 22 ft (assist by D. Wade),3,89-81,,
7:18.0,,,89-81,,Utah full timeout
7:18.0,,,89-81,,T. Burke enters the game for D. Exum
7:18.0,,,89-81,,G. Hayward enters the game for A. Burks
7:08.0,,,89-81,,Turnover by T. Burke (bad pass)
6:57.0,,,89-81,,Violation by G. Hayward (kicked ball)
6:48.0,M. Chalmers misses 3-pt shot from 25 ft,,89-81,,
6:46.0,,,89-81,,Defensive rebound by E. Kanter
6:34.0,,,89-84,3,E. Kanter makes 3-pt shot from 25 ft (assist by R. Gobert)
6:11.0,D. Wade misses 2-pt shot from 19 ft,,89-84,,
6:09.0,,,89-84,,Defensive rebound by G. Hayward
5:53.0,,,89-86,2,G. Hayward makes 2-pt shot from 1 ft
5:53.0,Miami full timeout,,89-86,,
5:53.0,C. Bosh enters the game for S. Williams,,89-86,,
5:53.0,L. Deng enters the game for D. Granger,,89-86,,
5:34.0,J. Hamilton makes 2-pt shot from 1 ft (assist by M. Chalmers),2,91-86,,
5:07.0,,,91-86,,E. Kanter misses 2-pt shot from 21 ft
5:04.0,Defensive rebound by C. Bosh,,91-86,,
4:50.0,J. Hamilton makes 2-pt shot from 3 ft (assist by D. Wade),2,93-86,,
4:27.0,,,93-86,,Turnover by E. Kanter (lost ball; steal by C. Bosh)
4:10.0,Turnover by D. Wade (bad pass; steal by J. Ingles),,93-86,,
4:04.0,,,93-86,,T. Burke misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by C. Bosh,,93-86,,
4:00.0,Turnover by C. Bosh (lost ball; steal by T. Burke),,93-86,,
3:57.0,,,93-86,,Shooting foul by L. Deng (drawn by E. Kanter)
3:57.0,,,93-87,1,E. Kanter makes free throw 1 of 2
3:57.0,,,93-87,,A. Burks enters the game for J. Ingles
3:57.0,,,93-88,1,E. Kanter makes free throw 2 of 2
3:33.0,J. Hamilton misses 3-pt shot from 24 ft,,93-88,,
3:32.0,,,93-88,,Defensive rebound by A. Burks
3:09.0,,,93-88,,E. Kanter misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by Team,,93-88,,
3:09.0,Miami full timeout,,93-88,,
2:54.0,D. Wade misses 2-pt shot from 13 ft,,93-88,,
2:53.0,,,93-88,,Defensive rebound by G. Hayward
2:32.0,,,93-88,,Shooting foul by D. Wade (drawn by A. Burks)
2:32.0,,,93-89,1,A. Burks makes free throw 1 of 3
2:32.0,,,93-89,,A. Burks misses free throw 2 of 3
2:32.0,,,93-89,,Offensive rebound by Team
2:32.0,,,93-89,,A. Burks misses free throw 3 of 3
2:30.0,Defensive rebound by M. Chalmers,,93-89,,
2:14.0,Turnover by D. Wade (lost ball; steal by A. Burks),,93-89,,
2:03.0,,,93-89,,G. Hayward misses 2-pt shot from 3 ft (block by D. Wade)
2:02.0,Defensive rebound by J. Hamilton,,93-89,,
2:02.0,Miami full timeout,,93-89,,
1:45.0,M. Chalmers misses 2-pt shot from 2 ft,,93-89,,
1:43.0,Offensive rebound by J. Hamilton,,93-89,,
1:39.0,C. Bosh misses 3-pt shot from 24 ft,,93-89,,
1:38.0,,,93-89,,Defensive rebound by E. Kanter
1:23.0,,,93-89,,E. Kanter misses 3-pt shot from 22 ft
1:22.0,Defensive rebound by M. Chalmers,,93-89,,
0:59.0,C. Bosh makes 2-pt shot from 16 ft,2,95-89,,
0:43.0,,,95-89,,A. Burks misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by L. Deng,,95-89,,
0:20.0,L. Deng misses 3-pt shot from 24 ft,,95-89,,
0:19.0,,,95-89,,Defensive rebound by G. Hayward
0:19.0,Loose ball foul by J. Hamilton (drawn by G. Hayward),,95-89,,
0:19.0,,,95-90,1,G. Hayward makes free throw 1 of 2
0:19.0,,,95-90,,R. Hood enters the game for E. Kanter
0:19.0,,,95-91,1,G. Hayward makes free throw 2 of 2
0:16.0,,,95-91,,Personal foul by R. Hood (drawn by M. Chalmers)
0:16.0,Turnover by L. Deng (traveling),,95-91,,
0:16.0,,,95-91,,Utah full timeout
0:16.0,,,95-91,,E. Kanter enters the game for R. Gobert
0:16.0,U. Haslem enters the game for J. Hamilton,,95-91,,
0:10.0,,,95-93,2,G. Hayward makes 2-pt shot from 1 ft
0:10.0,,,95-93,,Personal foul by A. Burks (drawn by D. Wade)
0:10.0,D. Wade makes free throw 1 of 2,1,96-93,,
0:10.0,,,96-93,,R. Gobert enters the game for R. Hood
0:10.0,D. Wade makes free throw 2 of 2,1,97-93,,
0:10.0,,,97-93,,Utah full timeout
0:10.0,,,97-93,,R. Hood enters the game for R. Gobert
0:10.0,,,97-93,,S. Novak enters the game for A. Burks
0:06.0,,,97-95,2,R. Hood makes 2-pt shot from 1 ft
0:06.0,,,97-95,,Personal foul by R. Hood (drawn by D. Wade)
0:06.0,D. Wade makes free throw 1 of 2,1,98-95,,
0:06.0,,,98-95,,R. Gobert enters the game for S. Novak
0:06.0,D. Wade misses free throw 2 of 2,,98-95,,
0:05.0,,,98-95,,Defensive rebound by E. Kanter
0:05.0,,,98-95,,Utah full timeout
0:05.0,,,98-95,,S. Novak enters the game for R. Gobert
0:05.0,,,98-95,,J. Ingles enters the game for R. Hood
0:05.0,,,98-95,,Turnover by Team (5 sec inbounds)
0:05.0,,,98-95,,R. Gobert enters the game for J. Ingles
0:05.0,,,98-95,,R. Hood enters the game for S. Novak
0:05.0,N. Cole enters the game for U. Haslem,,98-95,,
0:02.0,,,98-95,,Personal foul by R. Hood (drawn by N. Cole)
0:02.0,N. Cole makes free throw 1 of 2,1,99-95,,
