time,Miami,pts.away,score,pts.home,Orlando
2:57.0,S. Brown makes 2-pt shot at rim,2,42-39,,
2:48.0,,,42-39,,Orlando full timeout
2:48.0,M. Chalmers enters the game for L. Deng,,42-39,,
2:39.0,,,42-41,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
2:22.0,S. Napier makes 2-pt shot from 1 ft (assist by M. Chalmers),2,44-41,,
2:02.0,,,44-41,,Shooting foul by C. Bosh (drawn by V. Oladipo)
2:02.0,,,44-42,1,V. Oladipo makes free throw 1 of 2
2:02.0,,,44-43,1,V. Oladipo makes free throw 2 of 2
1:42.0,C. Bosh makes 2-pt shot from 8 ft,2,46-43,,
1:25.0,L. Deng enters the game for S. Napier,,46-43,,
1:17.0,,,46-43,,E. Fournier misses 3-pt shot from 27 ft
1:17.0,,,46-43,,Offensive rebound by Team
1:17.0,Loose ball foul by C. Bosh (drawn by N. Vucevic),,46-43,,
1:17.0,,,46-44,1,N. Vucevic makes free throw 1 of 2
1:17.0,,,46-45,1,N. Vucevic makes free throw 2 of 2
1:06.0,Shooting foul by V. Oladipo (drawn by M. Chalmers),,46-45,,
1:06.0,M. Chalmers misses free throw 1 of 2,,46-45,,
1:06.0,Offensive rebound by Team,,46-45,,
1:06.0,C. Andersen enters the game for C. Bosh,,46-45,,
1:06.0,J. Ennis enters the game for L. Deng,,46-45,,
1:06.0,,,46-45,,C. Frye enters the game for N. Vucevic
1:06.0,M. Chalmers makes free throw 2 of 2,1,47-45,,
0:52.0,,,47-45,,E. Fournier misses 2-pt shot from 1 ft (block by S. Williams)
0:49.0,Defensive rebound by M. Chalmers,,47-45,,
0:44.0,M. Chalmers makes 2-pt shot from 10 ft,2,49-45,,
0:30.0,,,49-45,,Shooting foul by S. Brown (drawn by V. Oladipo)
0:30.0,,,49-45,,V. Oladipo misses free throw 1 of 2
0:30.0,,,49-45,,Offensive rebound by Team
0:30.0,,,49-46,1,V. Oladipo makes free throw 2 of 2
0:28.0,Miami full timeout,,49-46,,
0:28.0,,,49-46,,D. Dedmon enters the game for C. Frye
0:28.0,C. Bosh enters the game for C. Andersen,,49-46,,
0:08.0,S. Williams misses 3-pt shot from 27 ft,,49-46,,
0:05.0,Offensive rebound by Team,,49-46,,
0:05.0,S. Napier enters the game for J. Ennis,,49-46,,
0:00.0,C. Bosh misses 3-pt shot from 26 ft,,49-46,,
0:00.0,Offensive rebound by Team,,49-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,M. Chalmers makes 2-pt shot from 6 ft,2,51-46,,
11:18.0,,,51-48,2,E. Fournier makes 2-pt shot from 1 ft (assist by C. Frye)
10:55.0,S. Brown misses 2-pt shot from 20 ft,,51-48,,
10:53.0,,,51-48,,Defensive rebound by E. Fournier
10:38.0,,,51-51,3,V. Oladipo makes 3-pt shot from 23 ft (assist by C. Frye)
10:12.0,C. Bosh misses 2-pt shot from 19 ft,,51-51,,
10:11.0,,,51-51,,Defensive rebound by V. Oladipo
10:10.0,Personal foul by M. Chalmers (drawn by V. Oladipo),,51-51,,
9:57.0,,,51-51,,Turnover by V. Oladipo (lost ball; steal by S. Brown)
9:51.0,S. Brown misses 2-pt shot from 1 ft,,51-51,,
9:51.0,,,51-51,,Defensive rebound by C. Frye
9:51.0,,,51-51,,Turnover by E. Fournier (traveling)
9:40.0,M. Chalmers makes 2-pt shot at rim,2,53-51,,
9:23.0,,,53-51,,W. Green misses 2-pt shot from 2 ft
9:20.0,,,53-51,,Offensive rebound by N. Vucevic
9:20.0,,,53-51,,N. Vucevic misses 2-pt shot at rim
9:19.0,Defensive rebound by C. Bosh,,53-51,,
9:02.0,M. Chalmers makes 2-pt shot from 1 ft,2,55-51,,
8:32.0,,,55-51,,N. Vucevic misses 2-pt shot from 17 ft
8:31.0,Defensive rebound by L. Deng,,55-51,,
8:09.0,L. Deng makes 2-pt shot from 14 ft,2,57-51,,
7:57.0,,,57-53,2,V. Oladipo makes 2-pt shot from 19 ft
7:43.0,L. Deng misses 2-pt shot from 11 ft,,57-53,,
7:42.0,,,57-53,,Defensive rebound by N. Vucevic
7:32.0,,,57-53,,C. Frye misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by L. Deng,,57-53,,
7:25.0,,,57-53,,Personal foul by C. Frye (drawn by C. Bosh)
7:21.0,,,57-53,,Personal foul by E. Fournier (drawn by L. Deng)
7:13.0,C. Bosh makes 2-pt shot from 23 ft (assist by S. Williams),2,59-53,,
6:57.0,,,59-53,,N. Vucevic misses 2-pt shot from 8 ft
6:54.0,,,59-53,,Offensive rebound by N. Vucevic
6:54.0,,,59-53,,N. Vucevic misses 2-pt shot at rim
6:52.0,,,59-53,,Offensive rebound by N. Vucevic
6:52.0,,,59-53,,N. Vucevic misses 2-pt shot from 1 ft
6:50.0,,,59-53,,Offensive rebound by N. Vucevic
6:50.0,,,59-53,,N. Vucevic misses 2-pt shot from 1 ft
6:48.0,,,59-53,,Offensive rebound by N. Vucevic
6:48.0,,,59-55,2,N. Vucevic makes 2-pt shot from 2 ft
6:48.0,,,59-55,,N. Vucevic misses 2-pt shot from 2 ft
6:48.0,,,59-55,,Offensive rebound by N. Vucevic
6:41.0,Miami full timeout,,59-55,,
6:41.0,S. Napier enters the game for M. Chalmers,,59-55,,
6:23.0,C. Bosh makes 2-pt shot from 19 ft,2,61-55,,
5:56.0,,,61-57,2,C. Frye makes 2-pt shot from 22 ft (assist by W. Green)
5:39.0,Turnover by S. Napier (bad pass; steal by C. Frye),,61-57,,
5:30.0,,,61-57,,E. Fournier misses 2-pt shot from 1 ft (block by C. Bosh)
5:25.0,,,61-57,,Offensive rebound by N. Vucevic
5:24.0,,,61-59,2,N. Vucevic makes 2-pt shot from 1 ft
5:05.0,,,61-59,,Personal foul by N. Vucevic (drawn by C. Bosh)
5:05.0,,,61-59,,Orlando full timeout
4:55.0,L. Deng makes 3-pt shot from 26 ft (assist by C. Bosh),3,64-59,,
4:29.0,,,64-59,,Turnover by Team (shot clock)
4:16.0,Turnover by C. Bosh (bad pass),,64-59,,
4:16.0,,,64-59,,E. Payton enters the game for W. Green
3:58.0,,,64-59,,N. Vucevic misses 2-pt shot from 9 ft
3:57.0,Defensive rebound by L. Deng,,64-59,,
3:45.0,L. Deng misses 3-pt shot from 26 ft,,64-59,,
3:44.0,,,64-59,,Defensive rebound by C. Frye
3:31.0,,,64-59,,Turnover by E. Payton (bad pass)
3:31.0,,,64-59,,M. Harkless enters the game for C. Frye
3:31.0,C. Andersen enters the game for C. Bosh,,64-59,,
3:14.0,S. Napier makes 3-pt shot from 26 ft (assist by C. Andersen),3,67-59,,
2:58.0,,,67-59,,V. Oladipo misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by L. Deng,,67-59,,
2:53.0,Turnover by L. Deng (bad pass; steal by E. Payton),,67-59,,
2:51.0,,,67-59,,Offensive charge foul by E. Payton
2:51.0,,,67-59,,Turnover by E. Payton (offensive foul)
2:51.0,Miami full timeout,,67-59,,
2:51.0,,,67-59,,B. Gordon enters the game for V. Oladipo
2:41.0,Turnover by S. Napier (lost ball; steal by E. Payton),,67-59,,
2:36.0,,,67-61,2,E. Payton makes 2-pt shot at rim
2:16.0,S. Williams misses 2-pt shot from 10 ft,,67-61,,
2:14.0,,,67-61,,Defensive rebound by M. Harkless
2:04.0,,,67-61,,E. Fournier misses 2-pt shot from 1 ft
2:02.0,,,67-61,,Offensive rebound by E. Fournier
2:02.0,,,67-63,2,E. Fournier makes 2-pt shot from 1 ft
1:36.0,S. Brown misses 3-pt shot from 24 ft,,67-63,,
1:34.0,,,67-63,,Defensive rebound by M. Harkless
1:26.0,,,67-65,2,E. Payton makes 2-pt shot from 4 ft
1:05.0,S. Napier misses 3-pt shot from 27 ft,,67-65,,
1:04.0,,,67-65,,Defensive rebound by N. Vucevic
0:54.0,,,67-65,,E. Fournier misses 3-pt shot from 26 ft
0:52.0,Defensive rebound by S. Williams,,67-65,,
0:34.0,C. Andersen misses 3-pt shot from 23 ft,,67-65,,
0:32.0,,,67-65,,Defensive rebound by E. Payton
0:20.0,,,67-65,,E. Fournier misses 2-pt shot from 1 ft
0:20.0,,,67-65,,Offensive rebound by N. Vucevic
0:20.0,,,67-67,2,N. Vucevic makes 2-pt shot at rim
0:02.0,Shooting foul by N. Vucevic (drawn by C. Andersen),,67-67,,
0:02.0,C. Andersen makes free throw 1 of 2,1,68-67,,
0:02.0,M. Chalmers enters the game for S. Brown,,68-67,,
0:02.0,C. Andersen misses free throw 2 of 2,,68-67,,
0:01.0,,,68-67,,Defensive rebound by N. Vucevic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,68-69,2,B. Gordon makes 2-pt shot from 17 ft
11:24.0,M. Chalmers misses 2-pt shot from 3 ft,,68-69,,
11:23.0,Offensive rebound by C. Andersen,,68-69,,
11:21.0,C. Andersen misses 2-pt shot at rim,,68-69,,
11:20.0,Offensive rebound by C. Andersen,,68-69,,
11:20.0,C. Andersen misses 2-pt shot at rim,,68-69,,
11:19.0,Offensive rebound by M. Chalmers,,68-69,,
11:16.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,70-69,,
11:07.0,Personal foul by C. Andersen,,70-69,,
11:07.0,,,70-69,,D. Dedmon enters the game for M. Harkless
10:51.0,,,70-71,2,D. Dedmon makes 2-pt shot from 2 ft (assist by E. Payton)
10:24.0,S. Napier misses 2-pt shot from 18 ft,,70-71,,
10:23.0,,,70-71,,Defensive rebound by C. Frye
10:01.0,,,70-71,,W. Green misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by Team,,70-71,,
9:50.0,Shooting foul by E. Payton (drawn by S. Napier),,70-71,,
9:50.0,S. Napier misses free throw 1 of 2,,70-71,,
9:50.0,Offensive rebound by Team,,70-71,,
9:50.0,S. Napier misses free throw 2 of 2,,70-71,,
9:47.0,Offensive rebound by M. Chalmers,,70-71,,
9:40.0,Turnover by S. Napier (lost ball; steal by E. Payton),,70-71,,
9:34.0,,,70-71,,Shooting foul by J. Ennis (drawn by C. Frye)
9:34.0,,,70-72,1,C. Frye makes free throw 1 of 2
9:34.0,,,70-73,1,C. Frye makes free throw 2 of 2
9:20.0,,,70-73,,Personal foul by C. Frye
9:17.0,,,70-73,,Personal foul by B. Gordon
9:06.0,C. Bosh makes 2-pt shot from 17 ft,2,72-73,,
8:53.0,,,72-73,,Turnover by B. Gordon (lost ball; steal by C. Andersen)
8:52.0,Turnover by C. Andersen (lost ball; steal by B. Gordon),,72-73,,
8:47.0,,,72-73,,E. Payton misses 2-pt shot at rim
8:46.0,,,72-73,,Offensive rebound by D. Dedmon
8:45.0,,,72-73,,D. Dedmon misses 2-pt shot from 1 ft (block by C. Andersen)
8:44.0,Defensive rebound by S. Napier,,72-73,,
8:28.0,C. Bosh makes 3-pt shot from 26 ft (assist by M. Chalmers),3,75-73,,
8:28.0,,,75-73,,Orlando full timeout
8:28.0,,,75-73,,N. Vucevic enters the game for D. Dedmon
8:21.0,Personal foul by C. Bosh (drawn by C. Frye),,75-73,,
8:08.0,,,75-73,,Shooting foul by C. Andersen (drawn by B. Gordon)
8:08.0,,,75-74,1,B. Gordon makes free throw 1 of 2
8:08.0,,,75-75,1,B. Gordon makes free throw 2 of 2
7:55.0,M. Chalmers makes 2-pt shot from 1 ft,2,77-75,,
7:46.0,,,77-75,,Turnover by E. Payton (lost ball; steal by S. Napier)
7:41.0,Turnover by S. Napier (bad pass; steal by E. Payton),,77-75,,
7:34.0,,,77-75,,Shooting foul by S. Napier (drawn by N. Vucevic)
7:34.0,,,77-76,1,N. Vucevic makes free throw 1 of 2
7:34.0,,,77-77,1,N. Vucevic makes free throw 2 of 2
7:20.0,C. Bosh misses 3-pt shot from 24 ft,,77-77,,
7:19.0,,,77-77,,Defensive rebound by E. Payton
7:08.0,,,77-77,,C. Frye misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by C. Bosh,,77-77,,
6:55.0,,,77-77,,Personal foul by W. Green (drawn by M. Chalmers)
6:45.0,Shooting foul by C. Frye (drawn by C. Bosh),,77-77,,
6:45.0,C. Bosh makes free throw 1 of 2,1,78-77,,
6:45.0,S. Williams enters the game for C. Andersen,,78-77,,
6:45.0,L. Deng enters the game for J. Ennis,,78-77,,
6:45.0,,,78-77,,E. Fournier enters the game for C. Frye
6:45.0,C. Bosh makes free throw 2 of 2,1,79-77,,
6:33.0,,,79-77,,N. Vucevic misses 2-pt shot at rim
6:31.0,Defensive rebound by S. Napier,,79-77,,
6:14.0,Turnover by M. Chalmers (bad pass; steal by E. Payton),,79-77,,
6:11.0,,,79-77,,Shooting foul by L. Deng (drawn by E. Payton)
6:11.0,,,79-77,,E. Payton misses free throw 1 of 2
6:11.0,,,79-77,,Offensive rebound by Team
6:11.0,S. Brown enters the game for S. Napier,,79-77,,
6:11.0,,,79-77,,V. Oladipo enters the game for B. Gordon
6:11.0,,,79-77,,E. Payton misses free throw 2 of 2
6:09.0,Defensive rebound by S. Williams,,79-77,,
5:48.0,M. Chalmers makes 3-pt shot from 22 ft (assist by S. Brown),3,82-77,,
5:23.0,,,82-79,2,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo)
4:58.0,C. Bosh makes 3-pt shot from 26 ft (assist by M. Chalmers),3,85-79,,
4:35.0,,,85-79,,Turnover by E. Fournier (lost ball; steal by M. Chalmers)
4:28.0,M. Chalmers makes 2-pt shot at rim,2,87-79,,
4:27.0,,,87-79,,Orlando full timeout
4:27.0,Official timeout,,87-79,,
4:27.0,,,87-79,,C. Frye enters the game for W. Green
4:12.0,,,87-79,,Shooting foul by M. Chalmers (drawn by N. Vucevic)
4:12.0,,,87-80,1,N. Vucevic makes free throw 1 of 2
4:12.0,,,87-81,1,N. Vucevic makes free throw 2 of 2
3:56.0,C. Bosh makes 2-pt shot from 17 ft (assist by M. Chalmers),2,89-81,,
3:39.0,,,89-81,,Turnover by V. Oladipo (bad pass; steal by L. Deng)
3:17.0,C. Bosh makes 2-pt shot from 17 ft,2,91-81,,
2:59.0,,,91-81,,Shooting foul by S. Williams (drawn by N. Vucevic)
2:59.0,Miami full timeout,,91-81,,
2:59.0,,,91-82,1,N. Vucevic makes free throw 1 of 2
2:59.0,,,91-83,1,N. Vucevic makes free throw 2 of 2
2:34.0,S. Brown makes 3-pt shot from 23 ft (assist by M. Chalmers),3,94-83,,
2:20.0,,,94-85,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
2:20.0,,,94-85,,Shooting foul by S. Brown (drawn by N. Vucevic)
2:20.0,,,94-85,,N. Vucevic misses free throw 1 of 1
2:18.0,Defensive rebound by C. Bosh,,94-85,,
1:54.0,M. Chalmers misses 3-pt shot from 24 ft,,94-85,,
1:53.0,,,94-85,,Defensive rebound by V. Oladipo
1:49.0,,,94-88,3,E. Fournier makes 3-pt shot from 24 ft
1:30.0,M. Chalmers makes 2-pt shot from 1 ft,2,96-88,,
1:30.0,,,96-88,,Orlando full timeout
1:22.0,,,96-88,,V. Oladipo misses 2-pt shot from 1 ft
1:22.0,,,96-88,,Offensive rebound by N. Vucevic
1:22.0,,,96-90,2,N. Vucevic makes 2-pt shot at rim
0:59.0,M. Chalmers misses 3-pt shot from 25 ft,,96-90,,
0:57.0,Offensive rebound by C. Bosh,,96-90,,
0:39.0,Turnover by M. Chalmers (traveling),,96-90,,
0:31.0,,,96-92,2,E. Payton makes 2-pt shot from 3 ft
0:31.0,Miami full timeout,,96-92,,
0:31.0,,,96-92,,W. Green enters the game for C. Frye
0:31.0,,,96-92,,M. Harkless enters the game for N. Vucevic
0:26.0,Miami full timeout,,96-92,,
0:25.0,,,96-92,,Personal take foul by M. Harkless (drawn by M. Chalmers)
0:25.0,M. Chalmers makes free throw 1 of 2,1,97-92,,
