time,Orlando,pts.away,score,pts.home,Cleveland
3:59.0,,,27-46,2,K. Love makes 2-pt shot from 1 ft
3:44.0,Turnover by V. Oladipo (bad pass; steal by T. Thompson),,27-46,,
3:39.0,,,27-48,2,T. Thompson makes 2-pt shot at rim (assist by W. Cherry)
3:23.0,V. Oladipo misses 2-pt shot from 1 ft (block by T. Thompson),,27-48,,
3:22.0,Offensive rebound by N. Vucevic,,27-48,,
3:21.0,N. Vucevic misses 2-pt shot at rim,,27-48,,
3:20.0,Offensive rebound by N. Vucevic,,27-48,,
3:20.0,N. Vucevic misses 2-pt shot from 1 ft,,27-48,,
3:19.0,Offensive rebound by N. Vucevic,,27-48,,
3:19.0,N. Vucevic makes 2-pt shot from 1 ft,2,29-48,,
2:56.0,,,29-48,,K. Love misses 2-pt shot at rim
2:53.0,Defensive rebound by V. Oladipo,,29-48,,
2:53.0,Shooting foul by W. Cherry (drawn by V. Oladipo),,29-48,,
2:53.0,,,29-48,,Cleveland full timeout
2:53.0,,,29-48,,D. Waiters enters the game for S. Marion
2:53.0,V. Oladipo misses free throw 1 of 2,,29-48,,
2:53.0,Offensive rebound by Team,,29-48,,
2:53.0,V. Oladipo makes free throw 2 of 2,1,30-48,,
2:37.0,,,30-48,,Turnover by T. Thompson (lost ball; steal by N. Vucevic)
2:34.0,Shooting foul by W. Cherry (drawn by V. Oladipo),,30-48,,
2:34.0,E. Fournier misses free throw 1 of 2,,30-48,,
2:34.0,Offensive rebound by Team,,30-48,,
2:34.0,,,30-48,,A. Varejao enters the game for T. Thompson
2:34.0,,,30-48,,K. Irving enters the game for W. Cherry
2:34.0,A. Nicholson enters the game for C. Frye,,30-48,,
2:34.0,E. Fournier makes free throw 2 of 2,1,31-48,,
2:22.0,,,31-48,,Turnover by A. Varejao (bad pass)
2:06.0,Shooting foul by A. Varejao (drawn by N. Vucevic),,31-48,,
2:06.0,N. Vucevic makes free throw 1 of 2,1,32-48,,
2:06.0,N. Vucevic makes free throw 2 of 2,1,33-48,,
1:55.0,,,33-50,2,L. James makes 2-pt shot at rim (assist by K. Love)
1:40.0,N. Vucevic misses 2-pt shot from 17 ft,,33-50,,
1:39.0,,,33-50,,Defensive rebound by K. Love
1:30.0,,,33-50,,A. Varejao misses 2-pt shot from 16 ft
1:29.0,Defensive rebound by V. Oladipo,,33-50,,
1:22.0,E. Fournier makes 3-pt shot from 25 ft (assist by W. Green),3,36-50,,
1:04.0,,,36-52,2,L. James makes 2-pt shot at rim (assist by A. Varejao)
0:48.0,N. Vucevic misses 2-pt shot from 3 ft,,36-52,,
0:46.0,,,36-52,,Defensive rebound by A. Varejao
0:41.0,,,36-54,2,K. Irving makes 2-pt shot at rim
0:26.0,Shooting foul by K. Love (drawn by V. Oladipo),,36-54,,
0:26.0,V. Oladipo makes free throw 1 of 2,1,37-54,,
0:26.0,V. Oladipo makes free throw 2 of 2,1,38-54,,
0:03.0,,,38-56,2,L. James makes 2-pt shot from 16 ft
0:00.0,V. Oladipo misses 2-pt shot from 8 ft,,38-56,,
0:00.0,Offensive rebound by Team,,38-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,38-56,,A. Varejao misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by N. Vucevic,,38-56,,
11:24.0,V. Oladipo makes 2-pt shot from 1 ft,2,40-56,,
10:58.0,,,40-56,,L. James misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by V. Oladipo,,40-56,,
10:47.0,V. Oladipo makes 2-pt shot from 5 ft (assist by M. Harkless),2,42-56,,
10:27.0,,,42-58,2,A. Varejao makes 2-pt shot from 18 ft (assist by K. Love)
10:03.0,V. Oladipo makes 2-pt shot at rim,2,44-58,,
9:44.0,,,44-58,,K. Irving misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by V. Oladipo,,44-58,,
9:28.0,E. Fournier misses 2-pt shot from 2 ft (block by S. Marion),,44-58,,
9:28.0,Offensive rebound by Team,,44-58,,
9:22.0,,,44-58,,Violation by L. James (def goaltending)
9:22.0,N. Vucevic makes 2-pt shot from 1 ft,2,46-58,,
8:59.0,,,46-60,2,A. Varejao makes 2-pt shot from 16 ft (assist by K. Irving)
8:47.0,,,46-60,,Personal foul by K. Love (drawn by C. Frye)
8:35.0,M. Harkless makes 2-pt shot at rim,2,48-60,,
8:22.0,,,48-60,,Turnover by L. James (bad pass)
8:08.0,V. Oladipo misses 2-pt shot from 23 ft,,48-60,,
8:07.0,,,48-60,,Defensive rebound by A. Varejao
7:55.0,,,48-62,2,A. Varejao makes 2-pt shot from 13 ft (assist by L. James)
7:36.0,V. Oladipo misses 3-pt shot from 26 ft,,48-62,,
7:35.0,Offensive rebound by N. Vucevic,,48-62,,
7:29.0,M. Harkless misses 3-pt shot from 23 ft,,48-62,,
7:28.0,,,48-62,,Defensive rebound by A. Varejao
7:21.0,,,48-64,2,A. Varejao makes 2-pt shot from 15 ft (assist by L. James)
6:59.0,E. Fournier misses 3-pt shot from 24 ft,,48-64,,
6:58.0,,,48-64,,Defensive rebound by L. James
6:54.0,,,48-66,2,S. Marion makes 2-pt shot at rim (assist by L. James)
6:52.0,Orlando full timeout,,48-66,,
6:37.0,Turnover by N. Vucevic (lost ball; steal by A. Varejao),,48-66,,
6:36.0,Personal foul by C. Frye (drawn by K. Irving),,48-66,,
6:14.0,,,48-66,,K. Love misses 2-pt shot from 7 ft
6:12.0,Defensive rebound by V. Oladipo,,48-66,,
6:08.0,,,48-66,,Personal foul by A. Varejao (drawn by N. Vucevic)
5:59.0,Turnover by V. Oladipo (bad pass; steal by L. James),,48-66,,
5:58.0,Clear path foul by C. Frye,,48-66,,
5:58.0,,,48-67,1,L. James makes clear path free throw 1 of 2
5:58.0,,,48-68,1,L. James makes clear path free throw 2 of 2
5:40.0,,,48-70,2,A. Varejao makes 2-pt shot from 7 ft
5:17.0,Turnover by N. Vucevic (lost ball; steal by L. James),,48-70,,
5:14.0,,,48-72,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:54.0,,,48-72,,Personal foul by A. Varejao (drawn by N. Vucevic)
4:54.0,W. Green enters the game for M. Harkless,,48-72,,
4:46.0,V. Oladipo makes 2-pt shot at rim,2,50-72,,
4:29.0,Personal foul by N. Vucevic (drawn by A. Varejao),,50-72,,
4:15.0,,,50-74,2,S. Marion makes 2-pt shot from 11 ft (assist by A. Varejao)
4:05.0,,,50-74,,Personal foul by S. Marion (drawn by E. Fournier)
4:00.0,,,50-74,,W. Cherry enters the game for K. Irving
3:46.0,,,50-76,2,K. Love makes 2-pt shot at rim (assist by L. James)
3:34.0,V. Oladipo misses 2-pt shot from 1 ft,,50-76,,
3:31.0,,,50-76,,Defensive rebound by K. Love
3:27.0,,,50-76,,Turnover by K. Love (bad pass; steal by V. Oladipo)
3:16.0,C. Frye makes 3-pt shot from 26 ft (assist by W. Green),3,53-76,,
2:56.0,,,53-76,,L. James misses 3-pt shot from 25 ft
2:55.0,,,53-76,,Offensive rebound by K. Love
2:55.0,Personal foul by C. Frye (drawn by K. Love),,53-76,,
2:55.0,,,53-76,,Cleveland full timeout
2:55.0,,,53-76,,J. Harris enters the game for A. Varejao
2:55.0,,,53-76,,T. Thompson enters the game for S. Marion
2:55.0,E. Payton enters the game for V. Oladipo,,53-76,,
2:47.0,Personal foul by E. Fournier (drawn by K. Love),,53-76,,
2:47.0,,,53-76,,K. Love misses free throw 1 of 2
2:47.0,,,53-76,,Offensive rebound by Team
2:47.0,,,53-77,1,K. Love makes free throw 2 of 2
2:28.0,N. Vucevic misses 2-pt shot from 7 ft,,53-77,,
2:25.0,,,53-77,,Defensive rebound by W. Cherry
2:20.0,,,53-77,,Shooting foul by N. Vucevic (drawn by T. Thompson)
2:20.0,,,53-78,1,T. Thompson makes free throw 1 of 2
2:20.0,,,53-78,,T. Thompson misses free throw 2 of 2
2:20.0,Defensive rebound by N. Vucevic,,53-78,,
2:00.0,W. Green misses 2-pt shot from 7 ft,,53-78,,
1:57.0,,,53-78,,Defensive rebound by K. Love
1:57.0,Personal foul by C. Frye (drawn by L. James),,53-78,,
1:57.0,,,53-78,,L. James misses free throw 1 of 2
1:57.0,,,53-78,,Offensive rebound by Team
1:57.0,,,53-78,,L. James misses free throw 2 of 2
1:56.0,Defensive rebound by N. Vucevic,,53-78,,
1:45.0,E. Payton makes 2-pt shot from 6 ft,2,55-78,,
1:30.0,,,55-81,3,L. James makes 3-pt shot from 27 ft
1:21.0,Shooting foul by T. Thompson (drawn by E. Payton),,55-81,,
1:21.0,E. Payton misses free throw 1 of 2,,55-81,,
1:21.0,Offensive rebound by Team,,55-81,,
1:21.0,D. Dedmon enters the game for C. Frye,,55-81,,
1:21.0,E. Payton makes free throw 2 of 2,1,56-81,,
0:59.0,,,56-81,,K. Love misses 2-pt shot from 20 ft
0:58.0,,,56-81,,Offensive rebound by Team
0:44.0,,,56-81,,L. James misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by D. Dedmon,,56-81,,
0:33.0,E. Payton misses 2-pt shot from 7 ft (block by W. Cherry),,56-81,,
0:31.0,Offensive rebound by D. Dedmon,,56-81,,
0:26.0,D. Dedmon makes 2-pt shot at rim,2,58-81,,
0:26.0,W. Green misses 2-pt shot from 4 ft,,58-81,,
0:26.0,Offensive rebound by D. Dedmon,,58-81,,
0:26.0,Shooting foul by W. Cherry (drawn by D. Dedmon),,58-81,,
0:26.0,D. Dedmon misses free throw 1 of 1,,58-81,,
0:25.0,,,58-81,,Defensive rebound by K. Love
0:02.0,,,58-81,,W. Cherry misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by N. Vucevic,,58-81,,
0:00.0,E. Payton misses 3-pt shot from 38 ft,,58-81,,
0:00.0,Offensive rebound by Team,,58-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by V. Oladipo (lost ball),,58-81,,
11:33.0,,,58-83,2,K. Irving makes 2-pt shot from 16 ft (assist by J. Harris)
11:20.0,Turnover by D. Dedmon (lost ball; steal by K. Irving),,58-83,,
11:13.0,,,58-86,3,K. Irving makes 3-pt shot from 25 ft
11:01.0,Turnover by E. Payton (bad pass; steal by K. Irving),,58-86,,
10:55.0,,,58-86,,J. Harris misses 3-pt shot from 23 ft
10:54.0,,,58-86,,Offensive rebound by T. Thompson
10:52.0,,,58-86,,T. Thompson misses 2-pt shot at rim
10:49.0,Defensive rebound by E. Payton,,58-86,,
10:45.0,Turnover by E. Payton (bad pass; steal by W. Cherry),,58-86,,
10:41.0,,,58-88,2,W. Cherry makes 2-pt shot at rim
10:38.0,Orlando full timeout,,58-88,,
10:38.0,,,58-88,,L. Amundson enters the game for K. Love
10:21.0,Turnover by D. Dedmon (lost ball; steal by K. Irving),,58-88,,
10:10.0,,,58-88,,K. Irving misses 2-pt shot from 19 ft
10:09.0,Defensive rebound by V. Oladipo,,58-88,,
9:59.0,W. Green misses 2-pt shot from 2 ft,,58-88,,
9:58.0,Offensive rebound by D. Dedmon,,58-88,,
9:57.0,D. Dedmon makes 2-pt shot at rim,2,60-88,,
9:41.0,,,60-88,,Turnover by J. Harris (step out of bounds)
9:41.0,A. Nicholson enters the game for C. Frye,,60-88,,
9:32.0,A. Nicholson misses 2-pt shot from 15 ft,,60-88,,
9:31.0,,,60-88,,Defensive rebound by L. Amundson
9:18.0,,,60-88,,J. Harris misses 3-pt shot from 23 ft
9:17.0,,,60-88,,Offensive rebound by T. Thompson
9:13.0,,,60-90,2,T. Thompson makes 2-pt shot at rim
8:59.0,W. Green misses 2-pt shot from 8 ft,,60-90,,
8:57.0,,,60-90,,Defensive rebound by L. Amundson
8:41.0,,,60-90,,Shooting foul by A. Nicholson (drawn by L. Amundson)
8:41.0,,,60-91,1,L. Amundson makes free throw 1 of 2
8:41.0,,,60-91,,D. Waiters enters the game for K. Irving
8:41.0,M. Harkless enters the game for W. Green,,60-91,,
8:41.0,,,60-91,,L. Amundson misses free throw 2 of 2
8:41.0,Defensive rebound by A. Nicholson,,60-91,,
8:28.0,A. Nicholson makes 2-pt shot from 15 ft (assist by E. Payton),2,62-91,,
8:15.0,Personal foul by M. Harkless (drawn by J. Harris),,62-91,,
8:08.0,Personal foul by D. Dedmon (drawn by T. Thompson),,62-91,,
7:54.0,,,62-93,2,L. Amundson makes 2-pt shot from 6 ft (assist by W. Cherry)
7:37.0,Turnover by M. Harkless (bad pass; steal by D. Waiters),,62-93,,
7:32.0,,,62-95,2,T. Thompson makes 2-pt shot at rim (assist by D. Waiters)
7:32.0,Orlando full timeout,,62-95,,
7:16.0,A. Nicholson misses 2-pt shot from 20 ft,,62-95,,
7:15.0,Offensive rebound by Team,,62-95,,
7:08.0,V. Oladipo makes 2-pt shot at rim (assist by D. Dedmon),2,64-95,,
6:48.0,,,64-95,,D. Waiters misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by V. Oladipo,,64-95,,
6:34.0,A. Nicholson misses 2-pt shot from 20 ft,,64-95,,
6:32.0,Offensive rebound by A. Nicholson,,64-95,,
6:32.0,,,64-95,,Personal foul by J. Harris (drawn by A. Nicholson)
6:12.0,E. Payton misses 2-pt shot from 16 ft,,64-95,,
6:11.0,,,64-95,,Defensive rebound by L. Amundson
6:00.0,,,64-95,,Turnover by D. Waiters (bad pass; steal by A. Nicholson)
5:55.0,Shooting foul by L. Amundson (drawn by V. Oladipo),,64-95,,
5:55.0,Official timeout,,64-95,,
5:55.0,,,64-95,,J. Jones enters the game for J. Harris
5:55.0,,,64-95,,B. Haywood enters the game for T. Thompson
5:55.0,V. Oladipo makes free throw 1 of 2,1,65-95,,
5:55.0,V. Oladipo makes free throw 2 of 2,1,66-95,,
5:39.0,,,66-97,2,D. Waiters makes 2-pt shot at rim (assist by W. Cherry)
5:14.0,Turnover by Team (shot clock),,66-97,,
5:01.0,,,66-97,,Offensive foul by L. Amundson
5:01.0,,,66-97,,Turnover by L. Amundson (offensive foul)
4:54.0,V. Oladipo misses 2-pt shot from 1 ft (block by B. Haywood),,66-97,,
4:52.0,,,66-97,,Defensive rebound by D. Waiters
4:43.0,,,66-97,,B. Haywood misses 2-pt shot from 8 ft
4:43.0,,,66-97,,Offensive rebound by Team
4:43.0,Jump ball: L. Amundson vs. A. Nicholson (W. Cherry gains possession),,,,Jump ball: L. Amundson vs. A. Nicholson (W. Cherry gains possession)
4:34.0,,,66-97,,D. Waiters misses 2-pt shot at rim
4:32.0,Defensive rebound by V. Oladipo,,66-97,,
4:19.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,68-97,,
3:57.0,,,68-97,,W. Cherry misses 2-pt shot from 19 ft
3:57.0,Defensive rebound by Team,,68-97,,
3:57.0,,,68-97,,Loose ball foul by B. Haywood (drawn by A. Nicholson)
3:35.0,D. Dedmon misses 2-pt shot from 7 ft (block by B. Haywood),,68-97,,
3:32.0,,,68-97,,Defensive rebound by W. Cherry
3:27.0,,,68-100,3,J. Jones makes 3-pt shot from 23 ft (assist by L. Amundson)
3:09.0,V. Oladipo makes 3-pt shot from 23 ft (assist by M. Harkless),3,71-100,,
2:56.0,,,71-102,2,D. Waiters makes 2-pt shot from 13 ft (assist by W. Cherry)
2:38.0,Turnover by M. Harkless (bad pass; steal by B. Haywood),,71-102,,
2:34.0,,,71-102,,Turnover by W. Cherry (bad pass)
2:34.0,,,71-102,,Cleveland full timeout
2:23.0,,,71-102,,Personal foul by L. Amundson (drawn by A. Nicholson)
2:09.0,E. Payton makes 3-pt shot from 24 ft (assist by A. Nicholson),3,74-102,,
1:52.0,,,74-102,,J. Jones misses 3-pt shot from 25 ft
1:51.0,,,74-102,,Offensive rebound by L. Amundson
1:39.0,,,74-104,2,L. Amundson makes 2-pt shot from 7 ft (assist by J. Jones)
1:20.0,D. Dedmon misses 2-pt shot from 16 ft,,74-104,,
1:19.0,,,74-104,,Defensive rebound by J. Jones
0:58.0,,,74-104,,W. Cherry misses 3-pt shot from 27 ft
0:57.0,Defensive rebound by D. Dedmon,,74-104,,
0:45.0,D. Dedmon misses 2-pt shot from 4 ft (block by B. Haywood),,74-104,,
0:45.0,Offensive rebound by Team,,74-104,,
0:42.0,M. Harkless misses 2-pt shot from 15 ft,,74-104,,
0:40.0,,,74-104,,Defensive rebound by Team
0:40.0,Loose ball foul by D. Dedmon (drawn by L. Amundson),,74-104,,
