time,Minnesota,pts.away,score,pts.home,Philadelphia
7:43.0,,,11-6,,Philadelphia full timeout
7:27.0,,,11-8,2,N. Noel makes 2-pt shot from 11 ft (assist by M. Carter-Williams)
6:59.0,T. Young makes 3-pt shot from 25 ft,3,14-8,,
6:43.0,,,14-11,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by R. Covington)
6:16.0,N. Pekovic misses 2-pt shot from 3 ft,,14-11,,
6:16.0,,,14-11,,Defensive rebound by L. Mbah a Moute
6:02.0,,,14-11,,Turnover by N. Noel (bad pass; steal by Z. LaVine)
5:51.0,Turnover by T. Young (bad pass; steal by N. Noel),,14-11,,
5:46.0,,,14-13,2,J. Sampson makes 2-pt shot at rim (assist by N. Noel)
5:20.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Young),2,16-13,,
4:58.0,,,16-15,2,J. Sampson makes 2-pt shot at rim (assist by M. Carter-Williams)
4:40.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,18-15,,
4:25.0,,,18-18,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
4:05.0,N. Pekovic makes 2-pt shot from 3 ft (assist by T. Young),2,20-18,,
3:43.0,,,20-20,2,N. Noel makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
3:20.0,Z. LaVine misses 2-pt shot from 20 ft,,20-20,,
3:18.0,Offensive rebound by N. Pekovic,,20-20,,
3:18.0,N. Pekovic misses 2-pt shot from 1 ft (block by N. Noel),,20-20,,
3:16.0,Offensive rebound by T. Young,,20-20,,
3:13.0,T. Young makes 2-pt shot from 4 ft,2,22-20,,
3:06.0,,,22-20,,Shooting foul by T. Young (drawn by L. Mbah a Moute)
3:06.0,,,22-21,1,L. Mbah a Moute makes free throw 1 of 2
3:06.0,,,22-21,,K. McDaniels enters the game for J. Sampson
3:06.0,,,22-21,,H. Sims enters the game for N. Noel
3:06.0,K. Martin enters the game for N. Pekovic,,22-21,,
3:06.0,,,22-21,,H. Thompson enters the game for R. Covington
3:06.0,,,22-22,1,L. Mbah a Moute makes free throw 2 of 2
2:45.0,G. Dieng makes 2-pt shot from 6 ft (assist by Z. LaVine),2,24-22,,
2:23.0,,,24-22,,M. Carter-Williams misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by Team,,24-22,,
2:22.0,Minnesota full timeout,,24-22,,
2:22.0,,,24-22,,L. Drew enters the game for M. Carter-Williams
2:22.0,,,24-22,,J. Grant enters the game for L. Mbah a Moute
2:04.0,Shooting foul by K. McDaniels (drawn by G. Dieng),,24-22,,
2:04.0,G. Dieng makes free throw 1 of 2,1,25-22,,
2:04.0,G. Dieng makes free throw 2 of 2,1,26-22,,
1:53.0,,,26-22,,H. Sims misses 2-pt shot from 15 ft
1:51.0,Defensive rebound by Z. LaVine,,26-22,,
1:45.0,K. Martin misses 3-pt shot from 25 ft,,26-22,,
1:42.0,,,26-22,,Defensive rebound by H. Sims
1:32.0,,,26-22,,H. Thompson misses 2-pt shot from 4 ft
1:31.0,,,26-22,,Offensive rebound by K. McDaniels
1:31.0,,,26-24,2,K. McDaniels makes 2-pt shot from 1 ft
1:12.0,K. Martin misses 2-pt shot from 11 ft,,26-24,,
1:11.0,,,26-24,,Defensive rebound by H. Sims
0:55.0,,,26-26,2,H. Thompson makes 2-pt shot at rim (assist by H. Sims)
0:39.0,A. Wiggins misses 2-pt shot from 12 ft,,26-26,,
0:36.0,,,26-26,,Defensive rebound by L. Drew
0:35.0,,,26-26,,Turnover by K. McDaniels (step out of bounds)
0:19.0,Z. LaVine makes 2-pt shot from 17 ft (assist by K. Martin),2,28-26,,
0:06.0,Personal foul by Z. LaVine (drawn by L. Drew),,28-26,,
0:06.0,L. Brown enters the game for Z. LaVine,,28-26,,
0:01.0,,,28-26,,J. Grant misses 2-pt shot from 20 ft
0:00.0,,,28-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins),2,30-26,,
11:44.0,,,30-26,,Shooting foul by G. Dieng (drawn by K. McDaniels)
11:44.0,,,30-27,1,K. McDaniels makes free throw 1 of 2
11:44.0,,,30-28,1,K. McDaniels makes free throw 2 of 2
11:20.0,G. Dieng makes 2-pt shot from 8 ft (assist by A. Wiggins),2,32-28,,
11:02.0,,,32-30,2,K. McDaniels makes 2-pt shot from 1 ft
11:02.0,,,32-30,,Shooting foul by G. Dieng (drawn by K. McDaniels)
11:02.0,N. Pekovic enters the game for G. Dieng,,32-30,,
11:02.0,C. Budinger enters the game for A. Wiggins,,32-30,,
11:02.0,,,32-31,1,K. McDaniels makes free throw 1 of 1
10:53.0,Shooting foul by J. Grant (drawn by K. Martin),,32-31,,
10:53.0,K. Martin makes free throw 1 of 2,1,33-31,,
10:53.0,K. Martin makes free throw 2 of 2,1,34-31,,
10:38.0,,,34-33,2,H. Sims makes 2-pt shot from 15 ft (assist by L. Drew)
10:18.0,A. Bennett makes 2-pt shot at rim (assist by K. Martin),2,36-33,,
9:58.0,,,36-36,3,J. Grant makes 3-pt shot from 24 ft (assist by K. McDaniels)
9:45.0,K. Martin makes 2-pt shot from 14 ft (assist by L. Brown),2,38-36,,
9:28.0,,,38-39,3,H. Thompson makes 3-pt shot from 25 ft (assist by L. Drew)
9:10.0,K. Martin misses 3-pt shot from 24 ft,,38-39,,
9:08.0,,,38-39,,Defensive rebound by L. Drew
9:05.0,,,38-39,,Turnover by L. Drew (bad pass)
8:47.0,C. Budinger makes 2-pt shot at rim (assist by K. Martin),2,40-39,,
8:47.0,,,40-39,,Philadelphia full timeout
8:31.0,,,40-39,,L. Drew misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by C. Budinger,,40-39,,
8:13.0,Turnover by K. Martin (traveling),,40-39,,
8:13.0,,,40-39,,M. Carter-Williams enters the game for L. Drew
8:13.0,,,40-39,,N. Noel enters the game for J. Grant
8:13.0,,,40-39,,L. Mbah a Moute enters the game for H. Sims
7:51.0,,,40-41,2,M. Carter-Williams makes 2-pt shot from 1 ft
7:38.0,Turnover by L. Brown (bad pass; steal by N. Noel),,40-41,,
7:31.0,,,40-41,,Shooting foul by L. Brown (drawn by L. Mbah a Moute)
7:31.0,,,40-41,,L. Mbah a Moute misses free throw 1 of 2
7:31.0,,,40-41,,Offensive rebound by Team
7:31.0,,,40-41,,R. Covington enters the game for K. McDaniels
7:31.0,,,40-41,,J. Sampson enters the game for H. Thompson
7:31.0,,,40-42,1,L. Mbah a Moute makes free throw 2 of 2
7:08.0,K. Martin makes 3-pt shot from 24 ft (assist by A. Bennett),3,43-42,,
6:43.0,,,43-44,2,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute)
6:21.0,K. Martin misses 3-pt shot at rim,,43-44,,
6:19.0,Offensive rebound by N. Pekovic,,43-44,,
6:19.0,N. Pekovic makes 2-pt shot at rim,2,45-44,,
5:55.0,,,45-46,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
5:38.0,C. Budinger makes 2-pt shot from 17 ft (assist by N. Pekovic),2,47-46,,
5:21.0,,,47-46,,L. Mbah a Moute misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by C. Budinger,,47-46,,
5:08.0,K. Martin misses 3-pt shot from 26 ft,,47-46,,
5:07.0,,,47-46,,Defensive rebound by R. Covington
5:07.0,Personal foul by A. Bennett (drawn by R. Covington),,47-46,,
5:07.0,Official timeout,,47-46,,
5:07.0,T. Young enters the game for A. Bennett,,47-46,,
4:43.0,,,47-46,,L. Mbah a Moute misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by T. Young,,47-46,,
4:21.0,L. Brown makes 2-pt shot from 20 ft,2,49-46,,
4:14.0,Personal foul by N. Pekovic (drawn by J. Sampson),,49-46,,
4:14.0,A. Wiggins enters the game for K. Martin,,49-46,,
4:14.0,Z. LaVine enters the game for L. Brown,,49-46,,
4:14.0,,,49-47,1,J. Sampson makes free throw 1 of 2
4:14.0,,,49-48,1,J. Sampson makes free throw 2 of 2
4:00.0,Shooting foul by N. Noel (drawn by N. Pekovic),,49-48,,
4:00.0,N. Pekovic makes free throw 1 of 2,1,50-48,,
4:00.0,N. Pekovic misses free throw 2 of 2,,50-48,,
3:59.0,,,50-48,,Defensive rebound by N. Noel
3:48.0,,,50-48,,Shooting foul by Z. LaVine (drawn by M. Carter-Williams)
3:48.0,,,50-49,1,M. Carter-Williams makes free throw 1 of 2
3:48.0,,,50-50,1,M. Carter-Williams makes free throw 2 of 2
3:32.0,N. Pekovic makes 2-pt shot at rim (assist by C. Budinger),2,52-50,,
3:13.0,,,52-52,2,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
2:56.0,A. Wiggins misses 2-pt shot from 17 ft (block by M. Carter-Williams),,52-52,,
2:53.0,,,52-52,,Defensive rebound by J. Sampson
2:49.0,,,52-55,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Sampson)
2:47.0,Minnesota full timeout,,52-55,,
2:47.0,,,52-55,,K. McDaniels enters the game for J. Sampson
2:37.0,C. Budinger makes 3-pt shot from 25 ft (assist by N. Pekovic),3,55-55,,
2:04.0,,,55-55,,M. Carter-Williams misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by Z. LaVine,,55-55,,
1:58.0,Shooting foul by L. Mbah a Moute (drawn by N. Pekovic),,55-55,,
1:58.0,N. Pekovic makes free throw 1 of 2,1,56-55,,
1:58.0,K. Martin enters the game for C. Budinger,,56-55,,
1:58.0,N. Pekovic makes free throw 2 of 2,1,57-55,,
1:46.0,,,57-55,,R. Covington misses 3-pt shot from 26 ft
1:45.0,,,57-55,,Offensive rebound by N. Noel
1:41.0,,,57-57,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by R. Covington)
1:29.0,G. Dieng enters the game for N. Pekovic,,57-57,,
1:29.0,,,57-57,,J. Grant enters the game for L. Mbah a Moute
1:25.0,,,57-57,,Personal foul by R. Covington (drawn by K. Martin)
1:25.0,K. Martin makes free throw 1 of 2,1,58-57,,
1:25.0,K. Martin makes free throw 2 of 2,1,59-57,,
1:10.0,,,59-57,,R. Covington misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by A. Wiggins,,59-57,,
0:53.0,A. Wiggins misses 3-pt shot from 24 ft,,59-57,,
0:52.0,,,59-57,,Defensive rebound by J. Grant
0:45.0,,,59-57,,R. Covington misses 2-pt shot at rim
0:44.0,Defensive rebound by G. Dieng,,59-57,,
0:34.0,K. Martin misses 2-pt shot from 17 ft,,59-57,,
0:33.0,,,59-57,,Defensive rebound by R. Covington
0:28.0,,,59-59,2,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams)
0:04.0,Turnover by K. Martin (lost ball),,59-59,,
0:04.0,,,59-59,,Philadelphia full timeout
0:04.0,L. Brown enters the game for G. Dieng,,59-59,,
0:04.0,A. Bennett enters the game for Z. LaVine,,59-59,,
0:00.0,,,59-61,2,M. Carter-Williams makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Z. LaVine makes 3-pt shot from 23 ft (assist by T. Young),3,62-61,,
11:28.0,,,62-61,,J. Sampson misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by G. Dieng,,62-61,,
11:07.0,T. Young misses 2-pt shot from 3 ft (block by N. Noel),,62-61,,
11:05.0,Offensive rebound by G. Dieng,,62-61,,
11:03.0,A. Wiggins misses 3-pt shot from 26 ft,,62-61,,
11:01.0,Offensive rebound by Team,,62-61,,
10:58.0,Turnover by G. Dieng (traveling),,62-61,,
10:54.0,,,62-61,,R. Covington misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by A. Wiggins,,62-61,,
10:33.0,Turnover by N. Pekovic (lost ball; steal by L. Mbah a Moute),,62-61,,
10:26.0,,,62-61,,M. Carter-Williams misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by G. Dieng,,62-61,,
10:16.0,Shooting foul by N. Noel (drawn by T. Young),,62-61,,
10:16.0,T. Young makes free throw 1 of 2,1,63-61,,
10:16.0,T. Young makes free throw 2 of 2,1,64-61,,
10:04.0,,,64-61,,L. Mbah a Moute misses 2-pt shot from 18 ft
10:02.0,,,64-61,,Offensive rebound by N. Noel
9:58.0,,,64-64,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
9:46.0,,,64-64,,Personal foul by N. Noel (drawn by N. Pekovic)
9:42.0,Turnover by G. Dieng (bad pass; steal by J. Sampson),,64-64,,
9:26.0,Personal foul by A. Wiggins (drawn by M. Carter-Williams),,64-64,,
9:16.0,,,64-66,2,J. Sampson makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
9:03.0,A. Wiggins misses 2-pt shot from 4 ft (block by N. Noel),,64-66,,
9:01.0,,,64-66,,Defensive rebound by R. Covington
8:38.0,,,64-66,,J. Sampson misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by N. Pekovic,,64-66,,
8:29.0,Turnover by Z. LaVine (lost ball; steal by M. Carter-Williams),,64-66,,
8:24.0,,,64-66,,K. McDaniels enters the game for J. Sampson
8:15.0,,,64-66,,M. Carter-Williams misses 2-pt shot from 20 ft
8:13.0,Defensive rebound by G. Dieng,,64-66,,
7:52.0,Turnover by T. Young (bad pass),,64-66,,
7:52.0,Minnesota full timeout,,64-66,,
7:33.0,,,64-66,,L. Mbah a Moute misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by Team,,64-66,,
7:14.0,T. Young misses 2-pt shot from 2 ft,,64-66,,
7:12.0,Offensive rebound by G. Dieng,,64-66,,
7:10.0,G. Dieng makes 2-pt shot from 8 ft,2,66-66,,
6:55.0,,,66-66,,R. Covington misses 3-pt shot from 27 ft
6:53.0,,,66-66,,Offensive rebound by M. Carter-Williams
6:50.0,,,66-66,,L. Mbah a Moute misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by Z. LaVine,,66-66,,
6:45.0,Turnover by Z. LaVine (lost ball; steal by N. Noel),,66-66,,
6:41.0,,,66-66,,N. Noel misses 2-pt shot at rim
6:39.0,,,66-66,,Offensive rebound by M. Carter-Williams
6:35.0,,,66-66,,R. Covington misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by T. Young,,66-66,,
6:33.0,Minnesota full timeout,,66-66,,
6:33.0,L. Brown enters the game for Z. LaVine,,66-66,,
6:21.0,N. Pekovic makes 2-pt shot from 3 ft (assist by G. Dieng),2,68-66,,
6:05.0,,,68-68,2,M. Carter-Williams makes 2-pt shot from 2 ft
5:47.0,N. Pekovic misses 2-pt shot from 4 ft,,68-68,,
5:46.0,,,68-68,,Defensive rebound by M. Carter-Williams
5:32.0,,,68-70,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
5:09.0,Shooting foul by N. Noel (drawn by G. Dieng),,68-70,,
5:09.0,G. Dieng misses free throw 1 of 2,,68-70,,
5:09.0,Offensive rebound by Team,,68-70,,
5:09.0,K. Martin enters the game for N. Pekovic,,68-70,,
5:09.0,,,68-70,,J. Grant enters the game for R. Covington
5:09.0,,,68-70,,H. Sims enters the game for N. Noel
5:09.0,G. Dieng makes free throw 2 of 2,1,69-70,,
4:57.0,,,69-70,,M. Carter-Williams misses 2-pt shot from 2 ft (block by G. Dieng)
4:55.0,Defensive rebound by L. Brown,,69-70,,
4:49.0,G. Dieng misses 2-pt shot from 19 ft,,69-70,,
4:47.0,,,69-70,,Defensive rebound by M. Carter-Williams
4:33.0,,,69-70,,Shooting foul by L. Brown (drawn by L. Mbah a Moute)
4:33.0,,,69-71,1,L. Mbah a Moute makes free throw 1 of 2
4:33.0,,,69-72,1,L. Mbah a Moute makes free throw 2 of 2
4:14.0,T. Young misses 2-pt shot from 18 ft,,69-72,,
4:12.0,,,69-72,,Defensive rebound by M. Carter-Williams
4:03.0,,,69-72,,Turnover by K. McDaniels (lost ball; steal by L. Brown)
3:57.0,Shooting foul by L. Mbah a Moute (drawn by T. Young),,69-72,,
3:57.0,T. Young misses free throw 1 of 2,,69-72,,
3:57.0,Offensive rebound by Team,,69-72,,
3:57.0,,,69-72,,H. Thompson enters the game for L. Mbah a Moute
3:57.0,T. Young makes free throw 2 of 2,1,70-72,,
3:38.0,,,70-74,2,K. McDaniels makes 2-pt shot from 5 ft
3:19.0,L. Brown misses 2-pt shot from 2 ft,,70-74,,
3:18.0,Jump ball: M. Carter-Williams vs. G. Dieng (L. Brown gains possession),,,,Jump ball: M. Carter-Williams vs. G. Dieng (L. Brown gains possession)
3:18.0,Offensive rebound by Team,,70-74,,
3:13.0,K. Martin makes 3-pt shot from 25 ft (assist by L. Brown),3,73-74,,
2:58.0,,,73-74,,H. Sims misses 2-pt shot from 2 ft (block by G. Dieng)
2:56.0,Defensive rebound by T. Young,,73-74,,
2:49.0,,,73-74,,Personal foul by H. Thompson (drawn by K. Martin)
2:49.0,,,73-74,,Philadelphia full timeout
2:49.0,C. Budinger enters the game for A. Wiggins,,73-74,,
2:49.0,,,73-74,,L. Drew enters the game for M. Carter-Williams
2:49.0,K. Martin makes free throw 1 of 2,1,74-74,,
2:49.0,K. Martin makes free throw 2 of 2,1,75-74,,
2:26.0,,,75-74,,Turnover by L. Drew (lost ball; steal by T. Young)
2:08.0,L. Brown makes 2-pt shot from 18 ft (assist by K. Martin),2,77-74,,
1:52.0,,,77-74,,H. Thompson misses 3-pt shot from 22 ft
1:50.0,,,77-74,,Offensive rebound by H. Sims
1:48.0,,,77-74,,H. Thompson misses 2-pt shot at rim (block by G. Dieng)
1:46.0,,,77-74,,Offensive rebound by Team
1:40.0,,,77-74,,J. Grant misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by G. Dieng,,77-74,,
1:27.0,K. Martin misses 3-pt shot from 26 ft,,77-74,,
1:24.0,,,77-74,,Defensive rebound by L. Drew
1:11.0,,,77-76,2,H. Sims makes 2-pt shot from 1 ft (assist by J. Grant)
0:55.0,Turnover by C. Budinger (bad pass; steal by H. Sims),,77-76,,
0:51.0,,,77-76,,Shooting foul by T. Young (drawn by J. Grant)
0:51.0,,,77-77,1,J. Grant makes free throw 1 of 2
0:51.0,,,77-78,1,J. Grant makes free throw 2 of 2
0:38.0,K. Martin misses 2-pt shot from 2 ft (block by H. Sims),,77-78,,
0:36.0,,,77-78,,Defensive rebound by K. McDaniels
0:21.0,,,77-78,,Turnover by K. McDaniels (bad pass; steal by L. Brown)
0:16.0,L. Brown misses 2-pt shot from 2 ft,,77-78,,
0:15.0,Offensive rebound by K. Martin,,77-78,,
0:01.0,G. Dieng misses 3-pt shot from 25 ft,,77-78,,
0:00.0,Offensive rebound by Team,,77-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,77-80,2,H. Sims makes 2-pt shot from 18 ft (assist by J. Grant)
11:20.0,Turnover by T. Young (bad pass; steal by H. Sims),,77-80,,
11:14.0,,,77-83,3,J. Grant makes 3-pt shot from 25 ft (assist by L. Drew)
10:50.0,Turnover by L. Brown (traveling),,77-83,,
10:50.0,,,77-83,,R. Covington enters the game for K. McDaniels
10:36.0,,,77-83,,R. Covington misses 2-pt shot from 2 ft (block by N. Pekovic)
10:34.0,Defensive rebound by C. Budinger,,77-83,,
10:28.0,K. Martin misses 2-pt shot from 19 ft,,77-83,,
10:27.0,,,77-83,,Defensive rebound by J. Grant
10:05.0,,,77-83,,R. Covington misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by N. Pekovic,,77-83,,
9:59.0,Turnover by T. Young (lost ball; steal by J. Grant),,77-83,,
9:52.0,,,77-83,,H. Thompson misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by N. Pekovic,,77-83,,
9:50.0,Minnesota full timeout,,77-83,,
9:50.0,A. Wiggins enters the game for T. Young,,77-83,,
9:40.0,Turnover by L. Brown (bad pass),,77-83,,
9:27.0,,,77-83,,H. Sims misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by L. Brown,,77-83,,
9:10.0,Turnover by C. Budinger (lost ball; steal by R. Covington),,77-83,,
8:54.0,,,77-85,2,H. Thompson makes 2-pt shot at rim (assist by H. Sims)
8:42.0,Shooting foul by H. Thompson (drawn by K. Martin),,77-85,,
8:42.0,K. Martin makes free throw 1 of 2,1,78-85,,
8:42.0,Z. LaVine enters the game for L. Brown,,78-85,,
8:42.0,K. Martin misses free throw 2 of 2,,78-85,,
8:41.0,,,78-85,,Defensive rebound by Team
8:20.0,,,78-88,3,R. Covington makes 3-pt shot from 23 ft (assist by J. Grant)
8:03.0,A. Wiggins makes 2-pt shot from 3 ft (assist by K. Martin),2,80-88,,
8:03.0,Shooting foul by J. Grant (drawn by A. Wiggins),,80-88,,
8:03.0,,,80-88,,M. Carter-Williams enters the game for L. Drew
8:03.0,,,80-88,,L. Mbah a Moute enters the game for H. Thompson
8:03.0,A. Wiggins makes free throw 1 of 1,1,81-88,,
7:42.0,Personal foul by Z. LaVine (drawn by L. Mbah a Moute),,81-88,,
7:42.0,G. Dieng enters the game for N. Pekovic,,81-88,,
7:31.0,,,81-88,,Turnover by M. Carter-Williams (lost ball; steal by G. Dieng)
7:18.0,A. Wiggins makes 2-pt shot from 18 ft,2,83-88,,
6:56.0,,,83-88,,Shooting foul by C. Budinger (drawn by J. Grant)
6:56.0,,,83-88,,J. Grant misses free throw 1 of 2
6:56.0,,,83-88,,Offensive rebound by Team
6:56.0,,,83-88,,N. Noel enters the game for H. Sims
6:56.0,T. Young enters the game for C. Budinger,,83-88,,
6:56.0,,,83-88,,J. Grant misses free throw 2 of 2
6:56.0,Defensive rebound by K. Martin,,83-88,,
6:46.0,K. Martin makes 2-pt shot from 17 ft,2,85-88,,
6:25.0,,,85-88,,M. Carter-Williams misses 2-pt shot from 18 ft
6:22.0,,,85-88,,Offensive rebound by N. Noel
6:22.0,,,85-90,2,N. Noel makes 2-pt shot from 1 ft
6:09.0,Turnover by K. Martin (lost ball; steal by R. Covington),,85-90,,
6:00.0,,,85-92,2,M. Carter-Williams makes 2-pt shot from 2 ft
5:42.0,G. Dieng makes 2-pt shot from 3 ft (assist by A. Wiggins),2,87-92,,
5:42.0,Shooting foul by L. Mbah a Moute (drawn by G. Dieng),,87-92,,
5:42.0,Official timeout,,87-92,,
5:42.0,L. Brown enters the game for Z. LaVine,,87-92,,
5:42.0,,,87-92,,K. McDaniels enters the game for J. Grant
5:42.0,G. Dieng makes free throw 1 of 1,1,88-92,,
5:24.0,,,88-92,,Turnover by K. McDaniels (lost ball; steal by A. Wiggins)
5:20.0,K. Martin misses 2-pt shot from 1 ft,,88-92,,
5:18.0,Offensive rebound by T. Young,,88-92,,
5:17.0,T. Young misses 2-pt shot from 1 ft,,88-92,,
5:16.0,,,88-92,,Defensive rebound by N. Noel
4:56.0,,,88-94,2,N. Noel makes 2-pt shot at rim
4:22.0,A. Wiggins makes 2-pt shot from 15 ft (assist by G. Dieng),2,90-94,,
4:03.0,,,90-94,,R. Covington misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by G. Dieng,,90-94,,
3:56.0,Turnover by T. Young (lost ball; steal by N. Noel),,90-94,,
3:39.0,,,90-96,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:21.0,A. Wiggins misses 2-pt shot from 21 ft,,90-96,,
3:20.0,,,90-96,,Defensive rebound by N. Noel
3:04.0,,,90-96,,L. Mbah a Moute misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by T. Young,,90-96,,
2:56.0,K. Martin misses 3-pt shot from 25 ft,,90-96,,
2:55.0,,,90-96,,Defensive rebound by K. McDaniels
2:39.0,,,90-96,,Philadelphia full timeout
2:39.0,N. Pekovic enters the game for G. Dieng,,90-96,,
2:26.0,,,90-96,,Shooting foul by K. Martin (drawn by R. Covington)
2:26.0,,,90-97,1,R. Covington makes free throw 1 of 2
2:26.0,,,90-98,1,R. Covington makes free throw 2 of 2
2:18.0,A. Wiggins misses 2-pt shot from 3 ft (block by N. Noel),,90-98,,
2:18.0,Offensive rebound by Team,,90-98,,
2:18.0,Minnesota full timeout,,90-98,,
2:18.0,,,90-98,,J. Grant enters the game for K. McDaniels
2:16.0,Turnover by K. Martin (traveling),,90-98,,
1:59.0,Personal foul by A. Wiggins (drawn by L. Mbah a Moute),,90-98,,
1:50.0,,,90-98,,Offensive foul by M. Carter-Williams
1:50.0,,,90-98,,Turnover by M. Carter-Williams (offensive foul)
1:42.0,A. Wiggins misses 2-pt shot from 4 ft,,90-98,,
1:41.0,Offensive rebound by Team,,90-98,,
1:39.0,K. Martin misses 2-pt shot from 20 ft,,90-98,,
1:37.0,,,90-98,,Defensive rebound by M. Carter-Williams
1:14.0,,,90-98,,Turnover by Team (shot clock)
1:14.0,Minnesota full timeout,,90-98,,
1:13.0,Turnover by A. Wiggins (bad pass; steal by L. Mbah a Moute),,90-98,,
1:02.0,Personal foul by K. Martin (drawn by M. Carter-Williams),,90-98,,
1:02.0,,,90-98,,M. Carter-Williams misses free throw 1 of 2
1:02.0,,,90-98,,Offensive rebound by Team
1:02.0,G. Dieng enters the game for N. Pekovic,,90-98,,
1:02.0,,,90-99,1,M. Carter-Williams makes free throw 2 of 2
0:52.0,G. Dieng misses 2-pt shot from 3 ft,,90-99,,
