time,Chicago,pts.away,score,pts.home,Cleveland
8:31.0,J. Butler misses 3-pt shot from 24 ft,,4-6,,
8:28.0,Offensive rebound by P. Gasol,,4-6,,
8:28.0,P. Gasol misses 2-pt shot from 1 ft,,4-6,,
8:27.0,Offensive rebound by P. Gasol,,4-6,,
8:27.0,P. Gasol misses 2-pt shot from 1 ft (block by K. Irving),,4-6,,
8:27.0,Offensive rebound by Team,,4-6,,
8:14.0,K. Hinrich misses 2-pt shot from 19 ft,,4-6,,
8:13.0,,,4-6,,Defensive rebound by T. Mozgov
8:07.0,,,4-9,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
7:48.0,P. Gasol misses 2-pt shot from 12 ft,,4-9,,
7:45.0,Offensive rebound by J. Butler,,4-9,,
7:43.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Butler),2,6-9,,
7:26.0,,,6-9,,L. James misses 2-pt shot from 12 ft
7:24.0,Defensive rebound by P. Gasol,,6-9,,
7:10.0,T. Gibson misses 2-pt shot from 15 ft,,6-9,,
7:09.0,,,6-9,,Defensive rebound by T. Thompson
7:03.0,,,6-11,2,L. James makes 2-pt shot at rim (assist by K. Irving)
6:43.0,K. Hinrich misses 3-pt shot from 23 ft,,6-11,,
6:42.0,,,6-11,,Defensive rebound by T. Mozgov
6:27.0,,,6-11,,T. Thompson misses 2-pt shot from 5 ft
6:26.0,Defensive rebound by Team,,6-11,,
6:11.0,J. Butler makes 2-pt shot from 16 ft (assist by P. Gasol),2,8-11,,
5:54.0,,,8-11,,T. Mozgov misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by K. Hinrich,,8-11,,
5:41.0,,,8-11,,Violation by K. Irving (kicked ball)
5:41.0,,,8-11,,Cleveland full timeout
5:41.0,,,8-11,,K. Love enters the game for L. James
5:41.0,,,8-11,,S. Marion enters the game for T. Mozgov
5:28.0,J. Butler misses 2-pt shot at rim,,8-11,,
5:26.0,,,8-11,,Defensive rebound by S. Marion
5:18.0,,,8-13,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
5:06.0,K. Hinrich misses 2-pt shot from 20 ft,,8-13,,
5:04.0,,,8-13,,Defensive rebound by K. Irving
4:51.0,,,8-13,,J. Smith misses 2-pt shot from 13 ft
4:47.0,,,8-13,,Offensive rebound by K. Love
4:45.0,,,8-13,,K. Love misses 2-pt shot at rim
4:43.0,,,8-13,,Offensive rebound by T. Thompson
4:43.0,,,8-13,,T. Thompson misses 2-pt shot from 2 ft
4:43.0,,,8-13,,Offensive rebound by T. Thompson
4:43.0,,,8-13,,T. Thompson misses 2-pt shot from 2 ft (block by T. Gibson)
4:43.0,,,8-13,,Offensive rebound by K. Love
4:43.0,,,8-13,,Shooting foul by T. Gibson (drawn by K. Love)
4:43.0,,,8-14,1,K. Love makes free throw 1 of 2
4:43.0,T. Snell enters the game for J. Butler,,8-14,,
4:43.0,,,8-15,1,K. Love makes free throw 2 of 2
4:32.0,T. Snell makes 3-pt shot from 22 ft (assist by D. Rose),3,11-15,,
4:20.0,,,11-15,,Shooting foul by D. Rose (drawn by K. Irving)
4:20.0,,,11-16,1,K. Irving makes free throw 1 of 2
4:20.0,Technical foul by D. Rose (drawn by K. Irving),,11-16,,
4:20.0,,,11-17,1,K. Irving makes technical free throw
4:20.0,,,11-18,1,K. Irving makes free throw 2 of 2
4:08.0,P. Gasol misses 2-pt shot at rim,,11-18,,
4:07.0,Offensive rebound by T. Gibson,,11-18,,
4:05.0,T. Gibson makes 2-pt shot at rim,2,13-18,,
3:45.0,,,13-18,,T. Thompson misses 2-pt shot from 4 ft (block by T. Gibson)
3:45.0,Defensive rebound by K. Hinrich,,13-18,,
3:45.0,Turnover by K. Hinrich (lost ball),,13-18,,
3:31.0,,,13-18,,K. Irving misses 2-pt shot from 9 ft
3:30.0,,,13-18,,Offensive rebound by T. Thompson
3:28.0,,,13-18,,T. Thompson misses 2-pt shot from 1 ft (block by P. Gasol)
3:26.0,Defensive rebound by P. Gasol,,13-18,,
3:09.0,T. Gibson makes 2-pt shot from 3 ft,2,15-18,,
2:49.0,,,15-18,,K. Love misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by K. Hinrich,,15-18,,
2:48.0,Shooting foul by K. Love (drawn by D. Rose),,15-18,,
2:48.0,Chicago full timeout,,15-18,,
2:48.0,N. Mirotic enters the game for P. Gasol,,15-18,,
2:48.0,E. Moore enters the game for K. Hinrich,,15-18,,
2:48.0,,,15-18,,L. James enters the game for J. Smith
2:48.0,D. Rose makes free throw 1 of 2,1,16-18,,
2:48.0,D. Rose makes free throw 2 of 2,1,17-18,,
2:30.0,,,17-20,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
2:10.0,Turnover by T. Snell (bad pass; steal by S. Marion),,17-20,,
1:50.0,,,17-20,,L. James misses 3-pt shot from 25 ft
1:48.0,,,17-20,,Offensive rebound by K. Love
1:42.0,,,17-22,2,S. Marion makes 2-pt shot from 9 ft (assist by K. Love)
1:30.0,D. Rose misses 2-pt shot from 13 ft,,17-22,,
1:30.0,,,17-22,,Defensive rebound by Team
1:30.0,J. Butler enters the game for E. Moore,,17-22,,
1:14.0,,,17-24,2,K. Irving makes 2-pt shot from 7 ft
0:53.0,T. Snell misses 3-pt shot from 24 ft,,17-24,,
0:52.0,,,17-24,,Defensive rebound by T. Thompson
0:37.0,,,17-24,,L. James misses 2-pt shot at rim
0:35.0,,,17-24,,Offensive rebound by T. Thompson
0:33.0,,,17-24,,T. Thompson misses 2-pt shot at rim (block by T. Snell)
0:30.0,Defensive rebound by T. Gibson,,17-24,,
0:24.0,T. Snell makes 2-pt shot at rim,2,19-24,,
0:02.0,,,19-24,,K. Irving misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by J. Butler,,19-24,,
0:00.0,D. Rose misses 3-pt shot from 41 ft,,19-24,,
0:00.0,Offensive rebound by Team,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,19-24,,Shooting foul by P. Gasol (drawn by K. Love)
11:47.0,,,19-25,1,K. Love makes free throw 1 of 2
11:47.0,,,19-26,1,K. Love makes free throw 2 of 2
11:30.0,T. Snell makes 3-pt shot from 22 ft (assist by A. Brooks),3,22-26,,
11:16.0,,,22-28,2,K. Love makes 2-pt shot from 5 ft (assist by S. Marion)
10:57.0,A. Brooks makes 2-pt shot at rim,2,24-28,,
10:35.0,,,24-28,,Shooting foul by N. Mirotic (drawn by K. Love)
10:35.0,,,24-29,1,K. Love makes free throw 1 of 3
10:35.0,,,24-30,1,K. Love makes free throw 2 of 3
10:35.0,,,24-30,,T. Mozgov enters the game for T. Thompson
10:35.0,T. Gibson enters the game for N. Mirotic,,24-30,,
10:35.0,,,24-31,1,K. Love makes free throw 3 of 3
10:18.0,Turnover by T. Snell (bad pass; steal by T. Mozgov),,24-31,,
10:10.0,,,24-33,2,L. James makes 2-pt shot from 1 ft
9:47.0,P. Gasol misses 2-pt shot from 17 ft,,24-33,,
9:46.0,,,24-33,,Defensive rebound by S. Marion
9:36.0,,,24-33,,K. Love misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by P. Gasol,,24-33,,
9:11.0,T. Snell misses 2-pt shot from 9 ft,,24-33,,
9:09.0,Offensive rebound by T. Gibson,,24-33,,
9:09.0,T. Gibson misses 2-pt shot at rim,,24-33,,
9:06.0,Offensive rebound by P. Gasol,,24-33,,
9:05.0,P. Gasol misses 2-pt shot from 1 ft,,24-33,,
9:03.0,,,24-33,,Defensive rebound by K. Love
8:51.0,,,24-33,,Shooting foul by A. Brooks (drawn by M. Dellavedova)
8:51.0,Official timeout,,24-33,,
8:51.0,D. Rose enters the game for T. Snell,,24-33,,
8:51.0,,,24-33,,K. Irving enters the game for S. Marion
8:51.0,,,24-33,,M. Dellavedova misses free throw 1 of 2
8:51.0,,,24-33,,Offensive rebound by Team
8:51.0,,,24-34,1,M. Dellavedova makes free throw 2 of 2
8:33.0,A. Brooks misses 2-pt shot from 1 ft (block by T. Mozgov),,24-34,,
8:30.0,Offensive rebound by P. Gasol,,24-34,,
8:26.0,A. Brooks makes 3-pt shot from 22 ft (assist by P. Gasol),3,27-34,,
8:08.0,,,27-36,2,L. James makes 2-pt shot from 9 ft
7:44.0,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose),2,29-36,,
7:25.0,,,29-36,,Turnover by K. Love (offensive goaltending)
7:03.0,P. Gasol misses 2-pt shot from 7 ft,,29-36,,
7:00.0,,,29-36,,Defensive rebound by L. James
6:47.0,,,29-36,,K. Love misses 2-pt shot from 7 ft
6:46.0,,,29-36,,Offensive rebound by T. Mozgov
6:44.0,,,29-36,,Turnover by T. Mozgov (lost ball; steal by A. Brooks)
6:34.0,D. Rose misses 2-pt shot from 17 ft,,29-36,,
6:33.0,,,29-36,,Defensive rebound by K. Love
6:23.0,,,29-36,,K. Irving misses 2-pt shot from 1 ft
6:22.0,,,29-36,,Offensive rebound by K. Love
6:22.0,,,29-36,,K. Love misses 2-pt shot at rim
6:22.0,,,29-36,,Offensive rebound by Team
6:22.0,,,29-36,,J. Smith enters the game for M. Dellavedova
6:22.0,K. Hinrich enters the game for A. Brooks,,29-36,,
6:16.0,,,29-36,,Turnover by K. Love (lost ball)
6:08.0,D. Rose misses 2-pt shot from 1 ft,,29-36,,
6:08.0,,,29-36,,Defensive rebound by Team
5:54.0,,,29-39,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
5:35.0,T. Gibson makes 2-pt shot at rim,2,31-39,,
5:35.0,Shooting foul by K. Love (drawn by T. Gibson),,31-39,,
5:35.0,,,31-39,,Cleveland full timeout
5:35.0,,,31-39,,T. Thompson enters the game for K. Love
5:35.0,T. Gibson misses free throw 1 of 1,,31-39,,
5:34.0,,,31-39,,Defensive rebound by T. Mozgov
5:14.0,,,31-39,,L. James misses 2-pt shot from 16 ft
5:13.0,,,31-39,,Offensive rebound by T. Thompson
5:09.0,,,31-39,,J. Smith misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by J. Butler,,31-39,,
4:50.0,J. Butler misses 2-pt shot from 12 ft,,31-39,,
4:49.0,,,31-39,,Defensive rebound by T. Mozgov
4:42.0,,,31-39,,L. James misses 3-pt shot from 24 ft
4:41.0,,,31-39,,Offensive rebound by T. Mozgov
4:41.0,,,31-39,,T. Mozgov misses 2-pt shot at rim
4:41.0,,,31-39,,Offensive rebound by Team
4:41.0,N. Mirotic enters the game for T. Gibson,,31-39,,
4:36.0,,,31-39,,Turnover by K. Irving (3 sec)
4:26.0,Shooting foul by L. James (drawn by J. Butler),,31-39,,
4:26.0,J. Butler misses free throw 1 of 2,,31-39,,
4:26.0,Offensive rebound by Team,,31-39,,
4:26.0,J. Butler makes free throw 2 of 2,1,32-39,,
4:04.0,,,32-39,,K. Irving misses 2-pt shot from 4 ft
4:03.0,,,32-39,,Offensive rebound by T. Mozgov
4:03.0,,,32-41,2,T. Mozgov makes 2-pt shot from 1 ft
3:59.0,Shooting foul by K. Irving (drawn by D. Rose),,32-41,,
3:59.0,D. Rose makes free throw 1 of 2,1,33-41,,
3:59.0,D. Rose makes free throw 2 of 2,1,34-41,,
3:38.0,,,34-41,,L. James misses 2-pt shot from 8 ft
3:35.0,Defensive rebound by J. Butler,,34-41,,
3:17.0,J. Butler misses 2-pt shot from 14 ft,,34-41,,
3:16.0,,,34-41,,Defensive rebound by T. Thompson
3:06.0,,,34-43,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
3:06.0,,,34-43,,Shooting foul by N. Mirotic (drawn by T. Thompson)
3:06.0,T. Gibson enters the game for N. Mirotic,,34-43,,
3:06.0,,,34-43,,T. Thompson misses free throw 1 of 1
3:05.0,Defensive rebound by T. Gibson,,34-43,,
2:53.0,D. Rose misses 2-pt shot from 1 ft,,34-43,,
2:52.0,,,34-43,,Defensive rebound by J. Smith
2:47.0,,,34-45,2,L. James makes 2-pt shot at rim (assist by J. Smith)
2:47.0,Loose ball foul by J. Butler (drawn by T. Mozgov),,34-45,,
2:47.0,Chicago full timeout,,34-45,,
2:47.0,,,34-46,1,T. Mozgov makes free throw 1 of 1
2:33.0,K. Hinrich misses 2-pt shot from 20 ft,,34-46,,
2:31.0,Offensive rebound by P. Gasol,,34-46,,
2:31.0,P. Gasol misses 2-pt shot at rim,,34-46,,
2:29.0,,,34-46,,Defensive rebound by T. Mozgov
2:16.0,,,34-48,2,T. Mozgov makes 2-pt shot from 16 ft (assist by K. Irving)
2:03.0,,,34-48,,Personal foul by T. Thompson (drawn by T. Gibson)
1:58.0,,,34-48,,Personal foul by T. Thompson (drawn by T. Gibson)
1:58.0,T. Gibson makes free throw 1 of 2,1,35-48,,
1:58.0,T. Gibson misses free throw 2 of 2,,35-48,,
1:56.0,,,35-48,,Defensive rebound by T. Mozgov
1:42.0,,,35-50,2,L. James makes 2-pt shot at rim (assist by K. Irving)
1:42.0,,,35-50,,Shooting foul by P. Gasol (drawn by L. James)
1:42.0,,,35-50,,S. Marion enters the game for T. Thompson
1:42.0,,,35-50,,L. James misses free throw 1 of 1
1:41.0,Defensive rebound by T. Gibson,,35-50,,
1:25.0,P. Gasol misses 2-pt shot at rim,,35-50,,
1:24.0,,,35-50,,Defensive rebound by S. Marion
1:15.0,,,35-50,,T. Mozgov misses 2-pt shot from 1 ft (block by T. Gibson)
1:13.0,Defensive rebound by J. Butler,,35-50,,
1:10.0,D. Rose makes 2-pt shot at rim (assist by J. Butler),2,37-50,,
0:50.0,,,37-52,2,K. Irving makes 2-pt shot from 18 ft
0:31.0,J. Butler makes 2-pt shot from 9 ft,2,39-52,,
0:11.0,,,39-54,2,K. Irving makes 2-pt shot from 5 ft
0:00.0,D. Rose misses 2-pt shot from 20 ft,,39-54,,
0:00.0,Offensive rebound by Team,,39-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-57,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
11:28.0,D. Rose makes 2-pt shot from 5 ft,2,41-57,,
11:15.0,,,41-57,,K. Love misses 2-pt shot from 5 ft (block by J. Butler)
11:14.0,,,41-57,,Offensive rebound by T. Mozgov
11:13.0,,,41-57,,T. Mozgov misses 2-pt shot from 2 ft (block by T. Gibson)
11:13.0,,,41-57,,Offensive rebound by T. Mozgov
11:11.0,,,41-59,2,T. Mozgov makes 2-pt shot from 1 ft
10:54.0,,,41-59,,Personal foul by L. James (drawn by J. Butler)
10:40.0,T. Gibson misses 2-pt shot from 11 ft,,41-59,,
10:37.0,,,41-59,,Defensive rebound by L. James
10:22.0,,,41-62,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
9:58.0,J. Butler misses 2-pt shot from 16 ft,,41-62,,
9:57.0,,,41-62,,Defensive rebound by J. Smith
9:43.0,,,41-62,,K. Irving misses 2-pt shot from 1 ft (block by T. Gibson)
9:40.0,,,41-62,,Offensive rebound by K. Love
9:40.0,,,41-64,2,K. Love makes 2-pt shot at rim
9:36.0,Chicago full timeout,,41-64,,
9:22.0,T. Gibson misses 2-pt shot from 4 ft,,41-64,,
9:20.0,Offensive rebound by T. Gibson,,41-64,,
9:19.0,Turnover by T. Gibson (lost ball),,41-64,,
9:07.0,,,41-64,,L. James misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by T. Gibson,,41-64,,
8:52.0,T. Gibson misses 2-pt shot at rim,,41-64,,
8:50.0,,,41-64,,Defensive rebound by K. Love
8:34.0,,,41-64,,L. James misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by D. Rose,,41-64,,
8:28.0,D. Rose makes 3-pt shot from 26 ft,3,44-64,,
8:05.0,,,44-64,,K. Love misses 2-pt shot from 8 ft
8:02.0,Defensive rebound by J. Butler,,44-64,,
7:55.0,D. Rose makes 3-pt shot from 26 ft (assist by J. Butler),3,47-64,,
7:28.0,,,47-66,2,L. James makes 2-pt shot from 21 ft
7:15.0,P. Gasol misses 2-pt shot from 16 ft,,47-66,,
7:14.0,,,47-66,,Defensive rebound by K. Irving
7:01.0,,,47-66,,K. Love misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by P. Gasol,,47-66,,
6:53.0,Shooting foul by K. Love (drawn by T. Gibson),,47-66,,
6:53.0,T. Gibson misses free throw 1 of 2,,47-66,,
6:53.0,Offensive rebound by Team,,47-66,,
6:53.0,T. Gibson makes free throw 2 of 2,1,48-66,,
6:40.0,,,48-66,,Shooting foul by T. Gibson (drawn by K. Love)
6:40.0,,,48-67,1,K. Love makes free throw 1 of 3
6:40.0,,,48-68,1,K. Love makes free throw 2 of 3
6:40.0,,,48-68,,K. Love misses free throw 3 of 3
6:37.0,Defensive rebound by P. Gasol,,48-68,,
6:28.0,J. Butler misses 2-pt shot from 4 ft,,48-68,,
6:28.0,,,48-68,,Defensive rebound by Team
6:28.0,Loose ball foul by T. Gibson (drawn by K. Love),,48-68,,
6:16.0,,,48-70,2,T. Mozgov makes 2-pt shot at rim (assist by K. Love)
6:04.0,P. Gasol makes 2-pt shot at rim,2,50-70,,
5:46.0,,,50-72,2,K. Irving makes 2-pt shot from 9 ft
5:35.0,D. Rose makes 3-pt shot from 24 ft,3,53-72,,
5:15.0,,,53-72,,T. Mozgov misses 2-pt shot from 16 ft
5:14.0,Defensive rebound by T. Gibson,,53-72,,
5:04.0,D. Rose misses 3-pt shot from 25 ft,,53-72,,
5:03.0,,,53-72,,Defensive rebound by T. Mozgov
4:45.0,,,53-72,,K. Irving misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by T. Gibson,,53-72,,
4:36.0,Shooting foul by T. Mozgov (drawn by J. Butler),,53-72,,
4:36.0,J. Butler makes free throw 1 of 2,1,54-72,,
4:36.0,,,54-72,,T. Thompson enters the game for K. Love
4:36.0,J. Butler makes free throw 2 of 2,1,55-72,,
4:18.0,,,55-74,2,L. James makes 2-pt shot from 14 ft
4:06.0,Shooting foul by L. James (drawn by P. Gasol),,55-74,,
4:06.0,P. Gasol makes free throw 1 of 2,1,56-74,,
4:06.0,N. Mirotic enters the game for T. Gibson,,56-74,,
4:06.0,P. Gasol makes free throw 2 of 2,1,57-74,,
3:48.0,,,57-74,,Turnover by L. James (offensive foul)
3:48.0,,,57-74,,Offensive foul by L. James
3:48.0,,,57-74,,S. Marion enters the game for L. James
3:33.0,Turnover by D. Rose (bad pass; steal by S. Marion),,57-74,,
3:21.0,,,57-77,3,J. Smith makes 3-pt shot from 25 ft
3:09.0,J. Butler makes 2-pt shot at rim,2,59-77,,
2:55.0,Personal foul by K. Hinrich (drawn by J. Smith),,59-77,,
2:55.0,,,59-77,,Cleveland full timeout
2:55.0,T. Snell enters the game for D. Rose,,59-77,,
2:46.0,,,59-79,2,K. Irving makes 2-pt shot from 16 ft
2:46.0,,,59-79,,Shooting foul by K. Hinrich (drawn by K. Irving)
2:46.0,,,59-79,,K. Irving misses free throw 1 of 1
2:43.0,,,59-79,,Offensive rebound by Team
2:35.0,,,59-79,,J. Smith misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by P. Gasol,,59-79,,
2:21.0,Turnover by T. Snell (bad pass),,59-79,,
1:58.0,,,59-81,2,J. Smith makes 2-pt shot from 19 ft
1:42.0,J. Butler misses 2-pt shot from 16 ft,,59-81,,
1:41.0,,,59-81,,Defensive rebound by T. Thompson
1:23.0,,,59-81,,T. Mozgov misses 2-pt shot at rim
1:19.0,,,59-81,,Offensive rebound by K. Irving
1:15.0,,,59-84,3,K. Irving makes 3-pt shot from 24 ft
0:59.0,Shooting foul by T. Mozgov (drawn by P. Gasol),,59-84,,
0:59.0,P. Gasol misses free throw 1 of 2,,59-84,,
0:59.0,Offensive rebound by Team,,59-84,,
0:59.0,E. Moore enters the game for J. Butler,,59-84,,
0:59.0,A. Brooks enters the game for K. Hinrich,,59-84,,
0:59.0,P. Gasol makes free throw 2 of 2,1,60-84,,
0:39.0,,,60-84,,T. Mozgov misses 2-pt shot from 11 ft
0:35.0,Jump ball: N. Mirotic vs. T. Thompson (E. Moore gains possession),,,,Jump ball: N. Mirotic vs. T. Thompson (E. Moore gains possession)
0:35.0,Defensive rebound by Team,,60-84,,
0:28.0,E. Moore misses 2-pt shot from 2 ft (block by K. Irving),,60-84,,
0:25.0,Offensive rebound by T. Snell,,60-84,,
0:16.0,Turnover by N. Mirotic (bad pass; steal by J. Smith),,60-84,,
0:16.0,,,60-84,,Turnover by J. Smith (bad pass)
0:00.0,A. Brooks makes 2-pt shot from 5 ft,2,62-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Brooks makes 2-pt shot from 7 ft,2,64-84,,
11:25.0,,,64-84,,Shooting foul by T. Snell (drawn by L. James)
11:25.0,,,64-85,1,L. James makes free throw 1 of 2
11:25.0,,,64-86,1,L. James makes free throw 2 of 2
11:09.0,Shooting foul by T. Thompson (drawn by A. Brooks),,64-86,,
11:09.0,A. Brooks makes free throw 1 of 2,1,65-86,,
11:09.0,A. Brooks makes free throw 2 of 2,1,66-86,,
10:53.0,,,66-88,2,L. James makes 2-pt shot from 12 ft
10:30.0,E. Moore makes 2-pt shot from 10 ft (assist by A. Brooks),2,68-88,,
10:13.0,,,68-88,,T. Thompson misses 2-pt shot at rim
10:10.0,Defensive rebound by N. Mirotic,,68-88,,
10:01.0,E. Moore misses 2-pt shot from 6 ft,,68-88,,
9:59.0,,,68-88,,Defensive rebound by K. Love
9:53.0,,,68-88,,Turnover by L. James (lost ball; steal by T. Snell)
9:53.0,T. Snell makes 2-pt shot at rim,2,70-88,,
9:43.0,J. Butler enters the game for E. Moore,,70-88,,
9:43.0,,,70-88,,K. Irving enters the game for M. Dellavedova
9:33.0,,,70-88,,K. Love misses 2-pt shot from 6 ft
9:30.0,Defensive rebound by J. Butler,,70-88,,
9:19.0,J. Butler makes 2-pt shot from 6 ft (assist by T. Gibson),2,72-88,,
9:18.0,,,72-88,,Cleveland full timeout
9:00.0,,,72-88,,L. James misses 2-pt shot from 13 ft
8:57.0,,,72-88,,Offensive rebound by S. Marion
8:45.0,,,72-90,2,L. James makes 2-pt shot from 15 ft
8:31.0,Shooting foul by K. Love (drawn by N. Mirotic),,72-90,,
8:31.0,N. Mirotic makes free throw 1 of 3,1,73-90,,
8:31.0,N. Mirotic makes free throw 2 of 3,1,74-90,,
8:31.0,,,74-90,,J. Smith enters the game for S. Marion
8:31.0,N. Mirotic makes free throw 3 of 3,1,75-90,,
8:23.0,Personal foul by T. Snell (drawn by K. Irving),,75-90,,
8:06.0,,,75-90,,L. James misses 2-pt shot from 21 ft
8:05.0,Defensive rebound by T. Snell,,75-90,,
7:57.0,Turnover by T. Snell (bad pass; steal by K. Love),,75-90,,
7:49.0,,,75-90,,K. Irving misses 2-pt shot at rim
7:47.0,Defensive rebound by T. Gibson,,75-90,,
7:40.0,J. Butler makes 3-pt shot from 22 ft (assist by A. Brooks),3,78-90,,
7:27.0,,,78-90,,Turnover by L. James (dbl dribble)
7:16.0,T. Snell misses 3-pt shot from 23 ft,,78-90,,
7:15.0,,,78-90,,Defensive rebound by L. James
6:52.0,,,78-92,2,L. James makes 2-pt shot from 1 ft
6:39.0,A. Brooks misses 2-pt shot from 8 ft,,78-92,,
6:36.0,Offensive rebound by N. Mirotic,,78-92,,
6:34.0,N. Mirotic misses 2-pt shot from 9 ft,,78-92,,
6:33.0,,,78-92,,Defensive rebound by K. Irving
6:28.0,,,78-95,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
6:28.0,Chicago full timeout,,78-95,,
6:28.0,P. Gasol enters the game for N. Mirotic,,78-95,,
6:28.0,,,78-95,,T. Mozgov enters the game for T. Thompson
6:10.0,A. Brooks misses 2-pt shot from 1 ft,,78-95,,
6:08.0,,,78-95,,Defensive rebound by K. Love
5:51.0,,,78-95,,L. James misses 2-pt shot from 11 ft (block by P. Gasol)
5:50.0,,,78-95,,Offensive rebound by L. James
5:48.0,,,78-97,2,L. James makes 2-pt shot from 13 ft
5:23.0,J. Butler misses 2-pt shot from 11 ft,,78-97,,
5:23.0,,,78-97,,Defensive rebound by Team
5:10.0,,,78-97,,J. Smith misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by A. Brooks,,78-97,,
5:03.0,,,78-97,,M. Dellavedova enters the game for L. James
5:00.0,A. Brooks misses 3-pt shot from 22 ft,,78-97,,
4:59.0,,,78-97,,Defensive rebound by T. Mozgov
4:38.0,,,78-97,,K. Irving misses 2-pt shot from 19 ft
4:37.0,,,78-97,,Offensive rebound by J. Smith
4:28.0,,,78-97,,K. Love misses 2-pt shot from 12 ft
4:27.0,Defensive rebound by T. Snell,,78-97,,
4:10.0,Shooting foul by T. Mozgov (drawn by A. Brooks),,78-97,,
4:10.0,A. Brooks makes free throw 1 of 2,1,79-97,,
4:10.0,A. Brooks makes free throw 2 of 2,1,80-97,,
3:50.0,,,80-99,2,M. Dellavedova makes 2-pt shot from 8 ft (assist by K. Irving)
3:38.0,J. Butler makes 2-pt shot at rim,2,82-99,,
3:38.0,Shooting foul by J. Smith (drawn by J. Butler),,82-99,,
3:38.0,,,82-99,,T. Thompson enters the game for K. Love
3:38.0,J. Butler makes free throw 1 of 1,1,83-99,,
3:24.0,,,83-101,2,T. Mozgov makes 2-pt shot from 19 ft (assist by K. Irving)
3:06.0,P. Gasol makes 2-pt shot from 10 ft,2,85-101,,
2:50.0,,,85-103,2,K. Irving makes 2-pt shot from 4 ft
2:35.0,Shooting foul by T. Thompson (drawn by J. Butler),,85-103,,
2:35.0,Official timeout,,85-103,,
