time,LA Lakers,pts.away,score,pts.home,New York
6:44.0,,,6-9,2,J. Calderon makes 2-pt shot from 22 ft (assist by L. Galloway)
6:23.0,W. Ellington misses 2-pt shot from 1 ft,,6-9,,
6:22.0,,,6-9,,Defensive rebound by Team
6:07.0,,,6-11,2,L. Galloway makes 2-pt shot from 18 ft
5:45.0,J. Clarkson misses 3-pt shot from 24 ft,,6-11,,
5:44.0,,,6-11,,Defensive rebound by L. Amundson
5:36.0,,,6-13,2,C. Anthony makes 2-pt shot from 22 ft
5:28.0,LA Lakers full timeout,,6-13,,
5:28.0,J. Lin enters the game for R. Sacre,,6-13,,
5:28.0,C. Boozer enters the game for W. Ellington,,6-13,,
5:18.0,R. Kelly makes 3-pt shot from 24 ft (assist by J. Lin),3,9-13,,
5:04.0,,,9-16,3,L. Galloway makes 3-pt shot from 25 ft (assist by C. Anthony)
4:47.0,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Lin),3,12-16,,
4:40.0,E. Davis enters the game for J. Hill,,12-16,,
4:36.0,,,12-18,2,L. Galloway makes 2-pt shot at rim
4:36.0,,,12-18,,Shooting foul by E. Davis (drawn by L. Galloway)
4:36.0,,,12-19,1,L. Galloway makes free throw 1 of 1
4:14.0,E. Davis misses 2-pt shot from 1 ft (block by L. Galloway),,12-19,,
4:13.0,Offensive rebound by E. Davis,,12-19,,
4:12.0,E. Davis misses 2-pt shot from 1 ft,,12-19,,
4:11.0,,,12-19,,Defensive rebound by Team
3:48.0,,,12-22,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. Amundson)
3:32.0,C. Boozer misses 2-pt shot from 9 ft,,12-22,,
3:31.0,,,12-22,,Defensive rebound by J. Smith
3:20.0,,,12-24,2,C. Anthony makes 2-pt shot from 1 ft
3:05.0,R. Kelly misses 3-pt shot from 25 ft,,12-24,,
3:04.0,,,12-24,,Defensive rebound by L. Galloway
2:51.0,,,12-26,2,C. Anthony makes 2-pt shot from 8 ft
2:40.0,,,12-26,,Personal foul by L. Galloway (drawn by J. Lin)
2:40.0,,,12-26,,New York full timeout
2:40.0,,,12-26,,T. Hardaway enters the game for J. Smith
2:40.0,,,12-26,,Q. Acy enters the game for J. Calderon
2:40.0,W. Johnson enters the game for R. Kelly,,12-26,,
2:29.0,,,12-26,,Def 3 sec tech foul by L. Amundson
2:29.0,W. Johnson makes technical free throw,1,13-26,,
2:21.0,Turnover by J. Lin (bad pass; steal by Q. Acy),,13-26,,
2:17.0,,,13-26,,L. Amundson misses 2-pt shot from 1 ft
2:14.0,,,13-26,,Offensive rebound by L. Amundson
2:14.0,,,13-26,,L. Amundson misses 2-pt shot from 2 ft
2:11.0,Defensive rebound by E. Davis,,13-26,,
2:05.0,J. Clarkson misses 2-pt shot at rim (block by L. Amundson),,13-26,,
2:04.0,Offensive rebound by Team,,13-26,,
2:04.0,,,13-26,,S. Larkin enters the game for L. Galloway
2:03.0,Shooting foul by L. Amundson (drawn by C. Boozer),,13-26,,
2:03.0,C. Boozer misses free throw 1 of 2,,13-26,,
2:03.0,Offensive rebound by Team,,13-26,,
2:03.0,C. Boozer makes free throw 2 of 2,1,14-26,,
1:46.0,,,14-26,,T. Hardaway misses 2-pt shot from 15 ft
1:45.0,,,14-26,,Offensive rebound by Q. Acy
1:45.0,,,14-26,,Q. Acy misses 2-pt shot at rim
1:44.0,Defensive rebound by W. Johnson,,14-26,,
1:39.0,,,14-26,,Personal foul by T. Hardaway (drawn by C. Boozer)
1:39.0,C. Boozer makes free throw 1 of 2,1,15-26,,
1:39.0,C. Boozer makes free throw 2 of 2,1,16-26,,
1:26.0,,,16-26,,C. Anthony misses 2-pt shot from 20 ft
1:25.0,Defensive rebound by C. Boozer,,16-26,,
1:21.0,,,16-26,,Personal foul by S. Larkin (drawn by J. Clarkson)
1:21.0,J. Clarkson misses free throw 1 of 2,,16-26,,
1:21.0,Offensive rebound by Team,,16-26,,
1:21.0,,,16-26,,J. Smith enters the game for L. Amundson
1:21.0,,,16-26,,L. Thomas enters the game for C. Anthony
1:21.0,J. Clarkson makes free throw 2 of 2,1,17-26,,
1:00.0,,,17-28,2,Q. Acy makes 2-pt shot from 1 ft
0:49.0,Turnover by J. Lin (lost ball; steal by T. Hardaway),,17-28,,
0:43.0,,,17-30,2,L. Thomas makes 2-pt shot from 6 ft (assist by T. Hardaway)
0:29.0,C. Boozer makes 2-pt shot from 1 ft,2,19-30,,
0:08.0,,,19-32,2,J. Smith makes 2-pt shot from 20 ft (assist by S. Larkin)
0:01.0,J. Clarkson misses 2-pt shot from 18 ft,,19-32,,
0:00.0,Offensive rebound by Team,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,W. Johnson misses 3-pt shot from 25 ft,,19-32,,
11:47.0,,,19-32,,Defensive rebound by Q. Acy
11:27.0,,,19-32,,T. Hardaway misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by C. Boozer,,19-32,,
11:03.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin),2,21-32,,
10:39.0,,,21-32,,L. Thomas misses 2-pt shot from 12 ft
10:38.0,Defensive rebound by W. Ellington,,21-32,,
10:23.0,J. Lin makes 2-pt shot from 6 ft,2,23-32,,
10:12.0,,,23-32,,Turnover by L. Thomas (bad pass; steal by J. Lin)
10:02.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,25-32,,
9:40.0,,,25-32,,S. Larkin misses 2-pt shot from 22 ft
9:39.0,Defensive rebound by C. Boozer,,25-32,,
9:28.0,C. Boozer misses 2-pt shot from 16 ft,,25-32,,
9:27.0,,,25-32,,Defensive rebound by L. Thomas
9:09.0,Personal foul by E. Davis (drawn by Q. Acy),,25-32,,
9:05.0,,,25-35,3,S. Larkin makes 3-pt shot from 25 ft (assist by J. Smith)
8:40.0,C. Boozer misses 2-pt shot from 4 ft,,25-35,,
8:39.0,Offensive rebound by C. Boozer,,25-35,,
8:38.0,Shooting foul by Q. Acy (drawn by C. Boozer),,25-35,,
8:38.0,Official timeout,,25-35,,
8:38.0,C. Boozer makes free throw 1 of 2,1,26-35,,
8:38.0,C. Boozer makes free throw 2 of 2,1,27-35,,
8:15.0,,,27-35,,J. Smith misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by E. Davis,,27-35,,
8:09.0,Turnover by J. Lin (bad pass),,27-35,,
8:09.0,R. Sacre enters the game for E. Davis,,27-35,,
7:52.0,,,27-35,,T. Hardaway misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by W. Johnson,,27-35,,
7:40.0,W. Johnson misses 2-pt shot from 10 ft,,27-35,,
7:39.0,,,27-35,,Defensive rebound by Q. Acy
7:21.0,,,27-35,,Q. Acy misses 2-pt shot from 18 ft
7:20.0,Defensive rebound by J. Lin,,27-35,,
7:07.0,,,27-35,,Personal foul by S. Larkin (drawn by J. Lin)
7:07.0,,,27-35,,L. Amundson enters the game for Q. Acy
7:07.0,,,27-35,,J. Calderon enters the game for S. Larkin
7:07.0,,,27-35,,C. Anthony enters the game for J. Smith
6:57.0,J. Lin misses 2-pt shot from 13 ft,,27-35,,
6:56.0,Offensive rebound by R. Sacre,,27-35,,
6:52.0,R. Sacre misses 2-pt shot from 2 ft (block by L. Amundson),,27-35,,
6:51.0,,,27-35,,Defensive rebound by L. Amundson
6:46.0,,,27-35,,T. Hardaway misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by C. Boozer,,27-35,,
6:39.0,,,27-35,,Personal foul by C. Anthony (drawn by W. Johnson)
6:39.0,T. Black enters the game for C. Boozer,,27-35,,
6:35.0,W. Johnson makes 3-pt shot from 24 ft (assist by T. Black),3,30-35,,
6:19.0,,,30-37,2,L. Amundson makes 2-pt shot from 1 ft
6:02.0,J. Lin misses 3-pt shot from 25 ft,,30-37,,
6:01.0,,,30-37,,Defensive rebound by L. Amundson
5:48.0,,,30-37,,C. Anthony misses 2-pt shot from 5 ft
5:47.0,Defensive rebound by J. Lin,,30-37,,
5:29.0,W. Johnson makes 2-pt shot from 18 ft (assist by J. Lin),2,32-37,,
5:21.0,,,32-37,,New York full timeout
5:21.0,,,32-37,,L. Galloway enters the game for T. Hardaway
5:21.0,J. Clarkson enters the game for J. Lin,,32-37,,
5:02.0,,,32-37,,C. Anthony misses 2-pt shot from 20 ft
5:01.0,Defensive rebound by J. Clarkson,,32-37,,
4:41.0,W. Ellington misses 3-pt shot from 25 ft,,32-37,,
4:40.0,,,32-37,,Defensive rebound by C. Anthony
4:28.0,,,32-37,,Turnover by J. Calderon (bad pass; steal by R. Sacre)
4:08.0,Turnover by W. Johnson (bad pass; steal by L. Thomas),,32-37,,
4:00.0,,,32-37,,L. Galloway misses 3-pt shot from 24 ft
3:59.0,,,32-37,,Offensive rebound by C. Anthony
3:58.0,,,32-37,,Shooting foul by R. Sacre (drawn by C. Anthony)
3:58.0,,,32-38,1,C. Anthony makes free throw 1 of 2
3:58.0,,,32-38,,C. Anthony misses free throw 2 of 2
3:57.0,Defensive rebound by T. Black,,32-38,,
3:38.0,W. Johnson misses 2-pt shot from 19 ft,,32-38,,
3:37.0,,,32-38,,Defensive rebound by L. Galloway
3:28.0,,,32-38,,J. Smith enters the game for L. Thomas
3:23.0,,,32-40,2,J. Calderon makes 2-pt shot from 20 ft
3:06.0,W. Johnson misses 2-pt shot from 21 ft,,32-40,,
3:05.0,,,32-40,,Defensive rebound by J. Smith
3:01.0,,,32-40,,Turnover by J. Calderon (bad pass)
2:48.0,,,32-40,,Personal foul by J. Calderon (drawn by R. Sacre)
2:48.0,LA Lakers full timeout,,32-40,,
2:35.0,W. Johnson misses 3-pt shot from 27 ft,,32-40,,
2:34.0,,,32-40,,Defensive rebound by C. Anthony
2:13.0,,,32-40,,J. Calderon misses 2-pt shot from 17 ft
2:12.0,Defensive rebound by W. Ellington,,32-40,,
2:07.0,,,32-40,,Personal foul by J. Smith (drawn by R. Sacre)
2:07.0,R. Sacre makes free throw 1 of 2,1,33-40,,
2:07.0,R. Sacre makes free throw 2 of 2,1,34-40,,
1:55.0,,,34-40,,Shooting foul by W. Johnson (drawn by C. Anthony)
1:55.0,,,34-41,1,C. Anthony makes free throw 1 of 2
1:55.0,,,34-42,1,C. Anthony makes free throw 2 of 2
1:42.0,W. Ellington misses 2-pt shot from 4 ft,,34-42,,
1:41.0,Offensive rebound by R. Sacre,,34-42,,
1:39.0,R. Sacre misses 2-pt shot from 13 ft,,34-42,,
1:38.0,,,34-42,,Defensive rebound by Team
1:38.0,Loose ball foul by T. Black (drawn by L. Amundson),,34-42,,
1:38.0,,,34-42,,L. Amundson misses free throw 1 of 2
1:38.0,,,34-42,,Offensive rebound by Team
1:38.0,,,34-42,,L. Amundson misses free throw 2 of 2
1:37.0,,,34-42,,Offensive rebound by C. Anthony
1:22.0,,,34-44,2,C. Anthony makes 2-pt shot from 7 ft
1:05.0,W. Johnson misses 2-pt shot from 20 ft,,34-44,,
1:04.0,,,34-44,,Defensive rebound by Team
1:04.0,Loose ball foul by T. Black (drawn by L. Amundson),,34-44,,
1:04.0,,,34-45,1,L. Amundson makes free throw 1 of 2
1:04.0,,,34-45,,T. Hardaway enters the game for J. Calderon
1:04.0,,,34-45,,L. Amundson misses free throw 2 of 2
1:03.0,Defensive rebound by R. Sacre,,34-45,,
0:45.0,J. Clarkson misses 2-pt shot from 4 ft,,34-45,,
0:43.0,Offensive rebound by Team,,34-45,,
0:41.0,W. Ellington makes 3-pt shot from 23 ft (assist by W. Johnson),3,37-45,,
0:32.0,,,37-47,2,C. Anthony makes 2-pt shot at rim (assist by J. Smith)
0:20.0,Shooting foul by L. Galloway (drawn by J. Clarkson),,37-47,,
0:20.0,J. Clarkson makes free throw 1 of 2,1,38-47,,
0:20.0,J. Clarkson makes free throw 2 of 2,1,39-47,,
0:17.0,,,39-47,,New York full timeout
0:02.0,,,39-47,,Turnover by C. Anthony (lost ball; steal by J. Clarkson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Black misses 2-pt shot from 4 ft,,39-47,,
11:38.0,,,39-47,,Defensive rebound by L. Amundson
11:15.0,,,39-49,2,L. Amundson makes 2-pt shot from 11 ft (assist by L. Galloway)
10:53.0,W. Ellington misses 2-pt shot from 21 ft,,39-49,,
10:52.0,,,39-49,,Defensive rebound by C. Anthony
10:46.0,,,39-49,,J. Smith misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by T. Black,,39-49,,
10:34.0,,,39-49,,Personal foul by L. Galloway (drawn by W. Ellington)
10:24.0,W. Ellington misses 2-pt shot from 12 ft,,39-49,,
10:23.0,,,39-49,,Defensive rebound by J. Smith
10:06.0,Personal foul by R. Kelly (drawn by C. Anthony),,39-49,,
10:02.0,,,39-52,3,L. Galloway makes 3-pt shot from 24 ft (assist by L. Amundson)
9:45.0,J. Clarkson misses 2-pt shot from 19 ft,,39-52,,
9:44.0,Offensive rebound by R. Sacre,,39-52,,
9:40.0,R. Kelly misses 3-pt shot from 24 ft,,39-52,,
9:39.0,,,39-52,,Defensive rebound by L. Amundson
9:31.0,,,39-52,,C. Anthony misses 2-pt shot from 2 ft (block by R. Sacre)
9:30.0,,,39-52,,Offensive rebound by Team
9:23.0,,,39-52,,L. Galloway misses 2-pt shot from 4 ft
9:22.0,Defensive rebound by R. Sacre,,39-52,,
9:06.0,Turnover by W. Ellington (lost ball; steal by C. Anthony),,39-52,,
9:00.0,,,39-54,2,C. Anthony makes 2-pt shot from 1 ft
8:32.0,J. Clarkson misses 3-pt shot from 24 ft,,39-54,,
8:31.0,,,39-54,,Defensive rebound by L. Amundson
8:19.0,,,39-54,,C. Anthony misses 2-pt shot from 14 ft
8:18.0,,,39-54,,Offensive rebound by L. Amundson
7:57.0,,,39-54,,C. Anthony misses 2-pt shot from 12 ft
7:56.0,Defensive rebound by T. Black,,39-54,,
7:49.0,J. Clarkson makes 2-pt shot at rim,2,41-54,,
7:48.0,,,41-54,,New York full timeout
7:26.0,,,41-56,2,C. Anthony makes 2-pt shot from 16 ft
6:58.0,J. Clarkson makes 3-pt shot from 25 ft,3,44-56,,
6:51.0,,,44-56,,L. Galloway misses 2-pt shot from 2 ft (block by R. Sacre)
6:50.0,,,44-56,,Offensive rebound by L. Amundson
6:38.0,,,44-58,2,C. Anthony makes 2-pt shot from 14 ft
6:21.0,W. Ellington misses 2-pt shot from 20 ft,,44-58,,
6:20.0,Offensive rebound by T. Black,,44-58,,
6:20.0,T. Black makes 2-pt shot at rim,2,46-58,,
5:58.0,,,46-60,2,J. Calderon makes 2-pt shot from 13 ft
5:36.0,J. Clarkson misses 2-pt shot from 8 ft,,46-60,,
5:35.0,,,46-60,,Defensive rebound by C. Anthony
5:22.0,,,46-63,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
4:54.0,W. Ellington makes 2-pt shot from 16 ft,2,48-63,,
4:45.0,,,48-63,,C. Anthony misses 2-pt shot from 12 ft
4:44.0,Defensive rebound by R. Sacre,,48-63,,
4:37.0,,,48-63,,Personal foul by L. Amundson (drawn by T. Black)
4:37.0,C. Boozer enters the game for R. Sacre,,48-63,,
4:37.0,J. Lin enters the game for W. Ellington,,48-63,,
4:27.0,C. Boozer misses 2-pt shot from 19 ft,,48-63,,
4:26.0,,,48-63,,Defensive rebound by L. Galloway
4:08.0,,,48-63,,L. Galloway misses 2-pt shot from 5 ft
4:07.0,Defensive rebound by C. Boozer,,48-63,,
4:03.0,Shooting foul by J. Smith (drawn by J. Clarkson),,48-63,,
4:03.0,J. Clarkson misses free throw 1 of 2,,48-63,,
4:03.0,Offensive rebound by Team,,48-63,,
4:03.0,,,48-63,,S. Larkin enters the game for L. Galloway
4:03.0,J. Clarkson makes free throw 2 of 2,1,49-63,,
3:49.0,,,49-65,2,C. Anthony makes 2-pt shot from 11 ft
3:33.0,R. Kelly makes 2-pt shot from 18 ft (assist by J. Clarkson),2,51-65,,
3:17.0,,,51-67,2,C. Anthony makes 2-pt shot from 15 ft
3:04.0,,,51-67,,Personal foul by J. Smith (drawn by J. Lin)
2:56.0,C. Boozer misses 2-pt shot from 4 ft,,51-67,,
2:55.0,,,51-67,,Defensive rebound by J. Calderon
2:49.0,,,51-70,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
2:29.0,LA Lakers full timeout,,51-70,,
2:29.0,W. Johnson enters the game for R. Kelly,,51-70,,
2:25.0,W. Johnson misses 2-pt shot from 20 ft,,51-70,,
2:24.0,,,51-70,,Defensive rebound by C. Anthony
2:07.0,,,51-70,,J. Smith misses 2-pt shot from 19 ft
2:06.0,Defensive rebound by C. Boozer,,51-70,,
1:52.0,C. Boozer makes 2-pt shot from 16 ft (assist by J. Lin),2,53-70,,
1:31.0,,,53-72,2,C. Anthony makes 2-pt shot from 19 ft
1:05.0,C. Boozer misses 2-pt shot from 19 ft,,53-72,,
1:04.0,Offensive rebound by Team,,53-72,,
1:04.0,,,53-72,,Q. Acy enters the game for J. Calderon
1:04.0,,,53-72,,T. Hardaway enters the game for J. Smith
1:04.0,E. Davis enters the game for T. Black,,53-72,,
1:01.0,Offensive charge foul by J. Lin,,53-72,,
1:01.0,Turnover by J. Lin (offensive foul),,53-72,,
0:52.0,,,53-72,,Q. Acy misses 2-pt shot from 14 ft
0:51.0,,,53-72,,Offensive rebound by Q. Acy
0:45.0,,,53-72,,C. Anthony misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by J. Clarkson,,53-72,,
0:33.0,C. Boozer makes 2-pt shot from 1 ft (assist by E. Davis),2,55-72,,
0:22.0,,,55-72,,Turnover by T. Hardaway (bad pass; steal by C. Boozer)
0:18.0,C. Boozer makes 2-pt shot from 2 ft,2,57-72,,
0:05.0,Personal foul by J. Lin (drawn by T. Hardaway),,57-72,,
0:01.0,,,57-72,,T. Hardaway misses 3-pt shot from 29 ft
0:00.0,,,57-72,,Offensive rebound by L. Amundson
0:00.0,,,57-72,,L. Amundson misses 2-pt shot at rim
0:00.0,,,57-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,57-74,2,T. Hardaway makes 2-pt shot from 20 ft
11:30.0,,,57-74,,Personal foul by J. Smith (drawn by E. Davis)
11:21.0,C. Boozer misses 2-pt shot from 21 ft,,57-74,,
11:20.0,,,57-74,,Defensive rebound by Team
10:57.0,,,57-77,3,Q. Acy makes 3-pt shot from 24 ft (assist by J. Smith)
10:45.0,,,57-77,,Shooting block foul by Q. Acy (drawn by J. Lin)
10:45.0,J. Lin makes free throw 1 of 2,1,58-77,,
10:45.0,J. Lin makes free throw 2 of 2,1,59-77,,
10:27.0,,,59-79,2,S. Larkin makes 2-pt shot at rim
10:14.0,C. Boozer makes 2-pt shot at rim (assist by E. Davis),2,61-79,,
10:00.0,,,61-82,3,T. Hardaway makes 3-pt shot from 23 ft (assist by J. Smith)
9:48.0,Turnover by W. Johnson (traveling),,61-82,,
9:30.0,,,61-82,,L. Thomas misses 2-pt shot at rim
9:28.0,Defensive rebound by Team,,61-82,,
9:14.0,W. Johnson makes 3-pt shot from 25 ft (assist by E. Davis),3,64-82,,
9:00.0,,,64-82,,Turnover by L. Thomas (lost ball; steal by J. Lin)
8:54.0,,,64-82,,Violation by J. Smith (def goaltending)
8:54.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,66-82,,
8:38.0,,,66-82,,T. Hardaway misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by C. Boozer,,66-82,,
8:17.0,E. Davis makes 2-pt shot from 8 ft (assist by C. Boozer),2,68-82,,
7:52.0,Personal foul by W. Johnson (drawn by L. Thomas),,68-82,,
7:52.0,Official timeout,,68-82,,
7:52.0,,,68-82,,L. Amundson enters the game for J. Smith
7:52.0,,,68-82,,C. Anthony enters the game for L. Thomas
7:40.0,,,68-85,3,T. Hardaway makes 3-pt shot from 26 ft (assist by S. Larkin)
7:20.0,W. Ellington misses 2-pt shot from 20 ft,,68-85,,
7:19.0,,,68-85,,Defensive rebound by Q. Acy
7:02.0,,,68-85,,L. Amundson misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by E. Davis,,68-85,,
6:49.0,C. Boozer misses 2-pt shot from 19 ft,,68-85,,
6:48.0,,,68-85,,Defensive rebound by S. Larkin
6:28.0,,,68-85,,Shooting foul by E. Davis (drawn by L. Amundson)
6:28.0,,,68-85,,L. Amundson misses free throw 1 of 2
6:28.0,,,68-85,,Offensive rebound by Team
6:28.0,,,68-85,,L. Galloway enters the game for S. Larkin
6:28.0,,,68-86,1,L. Amundson makes free throw 2 of 2
6:10.0,C. Boozer misses 2-pt shot from 7 ft,,68-86,,
6:09.0,,,68-86,,Defensive rebound by L. Galloway
5:46.0,,,68-86,,Q. Acy misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by C. Boozer,,68-86,,
5:34.0,Turnover by E. Davis (lost ball; steal by Q. Acy),,68-86,,
5:22.0,,,68-86,,C. Anthony misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by J. Lin,,68-86,,
5:01.0,Shooting foul by L. Amundson (drawn by E. Davis),,68-86,,
5:01.0,,,68-86,,New York full timeout
5:01.0,J. Clarkson enters the game for J. Lin,,68-86,,
5:01.0,E. Davis makes free throw 1 of 2,1,69-86,,
5:01.0,E. Davis misses free throw 2 of 2,,69-86,,
5:00.0,,,69-86,,Defensive rebound by L. Amundson
4:40.0,,,69-88,2,Q. Acy makes 2-pt shot at rim (assist by T. Hardaway)
4:26.0,,,69-88,,Personal foul by C. Anthony (drawn by W. Johnson)
4:20.0,Offensive foul by J. Clarkson,,69-88,,
4:20.0,Turnover by J. Clarkson (offensive foul),,69-88,,
4:07.0,,,69-88,,Shooting foul by E. Davis (drawn by L. Galloway)
4:07.0,,,69-89,1,L. Galloway makes free throw 1 of 2
4:07.0,,,69-90,1,L. Galloway makes free throw 2 of 2
3:51.0,Shooting foul by Q. Acy (drawn by C. Boozer),,69-90,,
3:51.0,C. Boozer makes free throw 1 of 2,1,70-90,,
3:51.0,,,70-90,,S. Larkin enters the game for C. Anthony
3:51.0,C. Boozer makes free throw 2 of 2,1,71-90,,
3:38.0,,,71-90,,T. Hardaway misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by C. Boozer,,71-90,,
3:33.0,Turnover by J. Clarkson (traveling),,71-90,,
3:19.0,,,71-90,,Turnover by L. Galloway (lost ball; steal by J. Clarkson)
3:19.0,Jump ball: J. Clarkson vs. L. Galloway,,,,Jump ball: J. Clarkson vs. L. Galloway
3:10.0,W. Ellington misses 2-pt shot from 19 ft,,71-90,,
3:09.0,,,71-90,,Defensive rebound by Q. Acy
2:51.0,,,71-90,,S. Larkin misses 3-pt shot from 24 ft
2:50.0,,,71-90,,Offensive rebound by L. Amundson
2:46.0,,,71-90,,L. Galloway misses 2-pt shot from 13 ft
2:45.0,,,71-90,,Offensive rebound by Q. Acy
2:42.0,Personal foul by C. Boozer (drawn by Q. Acy),,71-90,,
2:42.0,LA Lakers full timeout,,71-90,,
2:42.0,R. Kelly enters the game for C. Boozer,,71-90,,
2:27.0,,,71-90,,L. Amundson misses 2-pt shot from 4 ft (block by E. Davis)
2:26.0,,,71-90,,Offensive rebound by Q. Acy
2:22.0,,,71-90,,L. Galloway misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by E. Davis,,71-90,,
2:06.0,W. Johnson makes 2-pt shot from 22 ft (assist by E. Davis),2,73-90,,
1:44.0,,,73-90,,Turnover by T. Hardaway (lost ball)
1:44.0,,,73-90,,L. Thomas enters the game for L. Amundson
1:32.0,E. Davis makes 2-pt shot from 3 ft,2,75-90,,
1:20.0,,,75-92,2,S. Larkin makes 2-pt shot from 1 ft
1:09.0,J. Clarkson makes 2-pt shot at rim,2,77-92,,
0:49.0,,,77-92,,Q. Acy misses 2-pt shot from 13 ft
0:48.0,Defensive rebound by W. Johnson,,77-92,,
0:33.0,Turnover by W. Johnson (bad pass),,77-92,,
0:16.0,,,77-92,,Q. Acy misses 2-pt shot from 1 ft
0:15.0,Defensive rebound by W. Johnson,,77-92,,
0:09.0,W. Ellington misses 3-pt shot from 26 ft,,77-92,,
0:08.0,Offensive rebound by W. Johnson,,77-92,,
0:06.0,W. Johnson misses 2-pt shot from 14 ft,,77-92,,
0:03.0,Offensive rebound by Team,,77-92,,
0:00.0,J. Clarkson makes 3-pt shot from 24 ft,3,80-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
