time,Toronto,pts.away,score,pts.home,Houston
7:23.0,Defensive rebound by J. Valanciunas,,26-29,,
6:58.0,Turnover by K. Lowry (bad pass; steal by D. Motiejunas),,26-29,,
6:55.0,,,26-31,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Jones)
6:42.0,Shooting foul by T. Jones (drawn by D. DeRozan),,26-31,,
6:42.0,D. DeRozan misses free throw 1 of 2,,26-31,,
6:42.0,Offensive rebound by Team,,26-31,,
6:42.0,D. DeRozan makes free throw 2 of 2,1,27-31,,
6:26.0,,,27-33,2,D. Motiejunas makes 2-pt shot from 9 ft
6:08.0,,,27-33,,Personal foul by J. Terry (drawn by G. Vasquez)
6:08.0,,,27-33,,P. Beverley enters the game for J. Terry
6:08.0,,,27-33,,J. Harden enters the game for T. Ariza
6:08.0,J. Johnson enters the game for G. Vasquez,,27-33,,
6:01.0,J. Valanciunas misses 2-pt shot from 1 ft (block by T. Jones),,27-33,,
5:59.0,,,27-33,,Defensive rebound by D. Motiejunas
5:40.0,,,27-33,,P. Beverley misses 2-pt shot from 4 ft
5:38.0,Defensive rebound by A. Johnson,,27-33,,
5:37.0,Turnover by A. Johnson (bad pass; steal by J. Harden),,27-33,,
5:33.0,,,27-33,,J. Harden misses 2-pt shot from 2 ft
5:32.0,,,27-33,,Offensive rebound by T. Jones
5:27.0,,,27-35,2,C. Brewer makes 2-pt shot at rim (assist by P. Beverley)
5:16.0,Toronto full timeout,,27-35,,
5:02.0,,,27-35,,Personal foul by P. Beverley (drawn by K. Lowry)
5:02.0,K. Lowry makes free throw 1 of 2,1,28-35,,
5:02.0,K. Lowry makes free throw 2 of 2,1,29-35,,
4:46.0,Def 3 sec tech foul by A. Johnson,,29-35,,
4:46.0,,,29-36,1,J. Harden makes technical free throw
4:36.0,,,29-36,,J. Harden misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by Team,,29-36,,
4:21.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,31-36,,
4:11.0,,,31-36,,Turnover by J. Harden (bad pass; steal by A. Johnson)
4:08.0,Turnover by J. Johnson (lost ball; steal by C. Brewer),,31-36,,
4:02.0,,,31-36,,C. Brewer misses 3-pt shot from 24 ft
4:00.0,,,31-36,,Offensive rebound by P. Beverley
3:55.0,,,31-36,,Turnover by D. Motiejunas (lost ball; steal by A. Johnson)
3:48.0,K. Lowry misses 3-pt shot from 24 ft,,31-36,,
3:47.0,,,31-36,,Defensive rebound by D. Motiejunas
3:40.0,,,31-38,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
3:28.0,,,31-38,,Violation by D. Motiejunas (kicked ball)
3:28.0,,,31-38,,J. Smith enters the game for T. Jones
3:14.0,D. DeRozan misses 2-pt shot from 21 ft,,31-38,,
3:11.0,,,31-38,,Defensive rebound by P. Beverley
3:10.0,Personal foul by A. Johnson (drawn by P. Beverley),,31-38,,
3:10.0,P. Patterson enters the game for J. Valanciunas,,31-38,,
2:59.0,,,31-38,,Turnover by C. Brewer (bad pass)
2:59.0,Official timeout,,31-38,,
2:41.0,J. Johnson makes 2-pt shot at rim,2,33-38,,
2:19.0,,,33-38,,Turnover by C. Brewer (lost ball; steal by J. Johnson)
2:13.0,K. Lowry makes 2-pt shot from 1 ft,2,35-38,,
1:57.0,,,35-38,,P. Beverley misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by D. DeRozan,,35-38,,
1:48.0,Turnover by D. DeRozan (lost ball; steal by D. Motiejunas),,35-38,,
1:48.0,Loose ball foul by D. DeRozan (drawn by D. Motiejunas),,35-38,,
1:48.0,G. Vasquez enters the game for D. DeRozan,,35-38,,
1:39.0,,,35-38,,Turnover by J. Smith (lost ball; steal by J. Johnson)
1:30.0,Turnover by K. Lowry (lost ball; steal by D. Motiejunas),,35-38,,
1:23.0,,,35-38,,J. Harden misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by A. Johnson,,35-38,,
1:04.0,A. Johnson misses 2-pt shot from 1 ft (block by J. Smith),,35-38,,
1:02.0,,,35-38,,Defensive rebound by D. Motiejunas
0:56.0,,,35-38,,P. Beverley misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by P. Patterson,,35-38,,
0:46.0,Turnover by K. Lowry (lost ball; steal by P. Beverley),,35-38,,
0:43.0,,,35-40,2,C. Brewer makes 2-pt shot at rim (assist by J. Smith)
0:30.0,Shooting foul by J. Harden (drawn by J. Johnson),,35-40,,
0:30.0,J. Johnson makes free throw 1 of 2,1,36-40,,
0:30.0,C. Hayes enters the game for A. Johnson,,36-40,,
0:30.0,J. Johnson misses free throw 2 of 2,,36-40,,
0:28.0,,,36-40,,Defensive rebound by C. Brewer
0:04.0,,,36-40,,J. Smith misses 3-pt shot from 24 ft
0:04.0,,,36-40,,Offensive rebound by Team
0:04.0,,,36-40,,Turnover by Team (shot clock)
0:00.0,K. Lowry misses 3-pt shot from 27 ft,,36-40,,
0:00.0,Offensive rebound by Team,,36-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,36-40,,Turnover by D. Motiejunas (bad pass)
11:23.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry),2,38-40,,
11:12.0,,,38-43,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
10:55.0,D. DeRozan misses 2-pt shot from 21 ft,,38-43,,
10:53.0,,,38-43,,Defensive rebound by J. Harden
10:53.0,Personal foul by K. Lowry (drawn by J. Harden),,38-43,,
10:42.0,,,38-45,2,J. Harden makes 2-pt shot from 1 ft
10:20.0,,,38-45,,Personal foul by J. Harden (drawn by K. Lowry)
10:20.0,Offensive foul by A. Johnson,,38-45,,
10:20.0,Turnover by A. Johnson (offensive foul),,38-45,,
9:56.0,,,38-45,,T. Ariza misses 2-pt shot from 21 ft
9:56.0,,,38-45,,Offensive rebound by Team
9:47.0,,,38-45,,D. Motiejunas misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by J. Johnson,,38-45,,
9:35.0,Shooting foul by J. Dorsey (drawn by K. Lowry),,38-45,,
9:35.0,K. Lowry makes free throw 1 of 2,1,39-45,,
9:35.0,K. Lowry misses free throw 2 of 2,,39-45,,
9:35.0,,,39-45,,Defensive rebound by T. Ariza
9:15.0,,,39-47,2,D. Motiejunas makes 2-pt shot from 4 ft
9:00.0,D. DeRozan makes 2-pt shot from 16 ft,2,41-47,,
9:00.0,Loose ball foul by A. Johnson (drawn by D. Motiejunas),,41-47,,
9:00.0,P. Patterson enters the game for A. Johnson,,41-47,,
8:47.0,,,41-47,,D. Motiejunas misses 2-pt shot from 7 ft
8:45.0,Defensive rebound by J. Johnson,,41-47,,
8:34.0,Turnover by J. Valanciunas (lost ball; steal by P. Beverley),,41-47,,
8:30.0,,,41-47,,Turnover by P. Beverley (bad pass; steal by D. DeRozan)
8:25.0,D. DeRozan misses 2-pt shot from 4 ft,,41-47,,
8:23.0,,,41-47,,Defensive rebound by J. Harden
8:15.0,,,41-47,,J. Harden misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by Team,,41-47,,
8:13.0,,,41-47,,Loose ball foul by J. Dorsey (drawn by J. Valanciunas)
8:02.0,,,41-47,,Personal foul by D. Motiejunas (drawn by K. Lowry)
8:02.0,,,41-47,,Technical foul by J. Dorsey
8:02.0,D. DeRozan makes technical free throw,1,42-47,,
7:48.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry),2,44-47,,
7:30.0,,,44-50,3,J. Harden makes 3-pt shot from 24 ft (assist by D. Motiejunas)
7:11.0,Turnover by D. DeRozan (lost ball; steal by J. Dorsey),,44-50,,
7:05.0,,,44-52,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by J. Harden)
6:55.0,Toronto full timeout,,44-52,,
6:42.0,,,44-52,,Personal foul by J. Dorsey (drawn by J. Valanciunas)
6:42.0,J. Valanciunas makes free throw 1 of 2,1,45-52,,
6:42.0,J. Valanciunas makes free throw 2 of 2,1,46-52,,
6:20.0,,,46-55,3,J. Harden makes 3-pt shot from 23 ft
6:01.0,Turnover by J. Johnson (lost ball),,46-55,,
6:01.0,,,46-55,,J. Smith enters the game for J. Dorsey
5:49.0,,,46-55,,Turnover by T. Ariza (lost ball; steal by D. DeRozan)
5:44.0,D. DeRozan makes 2-pt shot at rim,2,48-55,,
5:33.0,Personal foul by K. Lowry (drawn by D. Motiejunas),,48-55,,
5:33.0,,,48-55,,C. Brewer enters the game for T. Ariza
5:19.0,,,48-55,,D. Motiejunas misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by K. Lowry,,48-55,,
5:04.0,D. DeRozan misses 2-pt shot from 9 ft (block by D. Motiejunas),,48-55,,
5:03.0,Offensive rebound by J. Valanciunas,,48-55,,
5:03.0,Shooting foul by P. Beverley (drawn by J. Valanciunas),,48-55,,
5:03.0,Technical foul by D. DeRozan,,48-55,,
5:03.0,,,48-56,1,J. Harden makes technical free throw
5:03.0,J. Valanciunas makes free throw 1 of 2,1,49-56,,
5:03.0,J. Valanciunas makes free throw 2 of 2,1,50-56,,
4:48.0,,,50-56,,Turnover by J. Harden (lost ball; steal by J. Johnson)
4:41.0,K. Lowry misses 2-pt shot from 3 ft,,50-56,,
4:40.0,,,50-56,,Defensive rebound by D. Motiejunas
4:39.0,,,50-56,,Turnover by D. Motiejunas (bad pass)
4:25.0,D. DeRozan misses 2-pt shot from 10 ft,,50-56,,
4:23.0,,,50-56,,Defensive rebound by P. Beverley
4:05.0,,,50-56,,J. Smith misses 3-pt shot from 22 ft
4:03.0,Defensive rebound by J. Johnson,,50-56,,
3:53.0,P. Patterson misses 3-pt shot from 24 ft,,50-56,,
3:51.0,,,50-56,,Defensive rebound by P. Beverley
3:51.0,G. Vasquez enters the game for D. DeRozan,,50-56,,
3:51.0,,,50-56,,T. Jones enters the game for D. Motiejunas
3:50.0,,,50-56,,Turnover by P. Beverley (lost ball; steal by J. Valanciunas)
3:50.0,Jump ball: P. Beverley vs. J. Valanciunas,,,,Jump ball: P. Beverley vs. J. Valanciunas
3:42.0,K. Lowry misses 2-pt shot from 2 ft,,50-56,,
3:41.0,Offensive rebound by P. Patterson,,50-56,,
3:41.0,P. Patterson makes 2-pt shot from 1 ft,2,52-56,,
3:29.0,,,52-56,,Shooting foul by J. Valanciunas (drawn by J. Harden)
3:29.0,,,52-57,1,J. Harden makes free throw 1 of 2
3:29.0,,,52-58,1,J. Harden makes free throw 2 of 2
3:29.0,,,52-58,,Technical foul by T. Jones
3:29.0,Technical foul by J. Johnson,,52-58,,
3:18.0,Turnover by K. Lowry (lost ball; steal by P. Beverley),,52-58,,
3:09.0,,,52-61,3,P. Beverley makes 3-pt shot from 25 ft (assist by C. Brewer)
2:52.0,Offensive foul by K. Lowry,,52-61,,
2:52.0,Turnover by K. Lowry (offensive foul),,52-61,,
2:52.0,,,52-61,,Houston full timeout
2:52.0,T. Hansbrough enters the game for J. Valanciunas,,52-61,,
2:40.0,,,52-61,,Turnover by J. Harden (bad pass; steal by G. Vasquez)
2:23.0,J. Johnson misses 3-pt shot from 23 ft,,52-61,,
2:21.0,,,52-61,,Defensive rebound by C. Brewer
2:17.0,,,52-61,,Offensive charge foul by J. Smith
2:17.0,,,52-61,,Turnover by J. Smith (offensive foul)
2:06.0,K. Lowry misses 2-pt shot from 19 ft,,52-61,,
2:04.0,,,52-61,,Defensive rebound by T. Jones
1:54.0,,,52-63,2,J. Harden makes 2-pt shot from 11 ft
1:40.0,,,52-63,,Personal foul by P. Beverley (drawn by K. Lowry)
1:40.0,K. Lowry makes free throw 1 of 2,1,53-63,,
1:40.0,,,53-63,,J. Terry enters the game for P. Beverley
1:40.0,K. Lowry misses free throw 2 of 2,,53-63,,
1:37.0,,,53-63,,Defensive rebound by Team
1:22.0,Personal block foul by P. Patterson (drawn by J. Harden),,53-63,,
1:22.0,,,53-63,,J. Harden misses free throw 1 of 2
1:22.0,,,53-63,,Offensive rebound by Team
1:22.0,T. Ross enters the game for J. Johnson,,53-63,,
1:22.0,,,53-64,1,J. Harden makes free throw 2 of 2
1:05.0,K. Lowry misses 3-pt shot from 26 ft,,53-64,,
1:03.0,,,53-64,,Defensive rebound by J. Smith
0:55.0,,,53-66,2,J. Harden makes 2-pt shot from 21 ft
0:36.0,P. Patterson misses 3-pt shot from 24 ft,,53-66,,
0:34.0,,,53-66,,Defensive rebound by J. Smith
0:28.0,,,53-68,2,C. Brewer makes 2-pt shot at rim (assist by J. Smith)
0:09.0,K. Lowry misses 3-pt shot from 26 ft,,53-68,,
0:08.0,,,53-68,,Defensive rebound by T. Jones
0:00.0,,,53-68,,T. Jones misses 3-pt shot from 25 ft
0:00.0,,,53-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,G. Vasquez misses 3-pt shot from 25 ft,,53-68,,
11:38.0,,,53-68,,Defensive rebound by T. Ariza
11:38.0,Personal foul by T. Ross (drawn by T. Ariza),,53-68,,
11:28.0,,,53-68,,C. Brewer misses 2-pt shot from 5 ft
11:26.0,Defensive rebound by G. Vasquez,,53-68,,
11:25.0,,,53-68,,Personal foul by C. Brewer (drawn by G. Vasquez)
11:11.0,T. Ross misses 2-pt shot from 1 ft (block by J. Smith),,53-68,,
11:10.0,,,53-68,,Defensive rebound by Team
11:08.0,Loose ball foul by C. Hayes (drawn by J. Smith),,53-68,,
10:56.0,,,53-68,,Turnover by T. Jones (lost ball; steal by G. Vasquez)
10:54.0,Shooting foul by T. Ariza (drawn by T. Ross),,53-68,,
10:54.0,T. Ross makes free throw 1 of 2,1,54-68,,
10:54.0,T. Ross makes free throw 2 of 2,1,55-68,,
10:34.0,,,55-68,,J. Smith misses 2-pt shot from 20 ft
10:34.0,Defensive rebound by C. Hayes,,55-68,,
10:18.0,C. Hayes misses 2-pt shot from 9 ft,,55-68,,
10:17.0,,,55-68,,Defensive rebound by J. Smith
10:12.0,Violation by T. Ross (def goaltending),,55-68,,
10:12.0,,,55-70,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Smith)
10:01.0,Turnover by T. Ross (lost ball; steal by C. Brewer),,55-70,,
10:00.0,Clear path foul by D. DeRozan,,55-70,,
10:00.0,,,55-71,1,T. Ariza makes clear path free throw 1 of 2
10:00.0,,,55-72,1,T. Ariza makes clear path free throw 2 of 2
9:48.0,,,55-72,,J. Terry misses 3-pt shot from 25 ft
9:46.0,,,55-72,,Offensive rebound by T. Jones
9:35.0,,,55-72,,Turnover by J. Smith (lost ball; steal by P. Patterson)
9:28.0,G. Vasquez misses 2-pt shot from 4 ft,,55-72,,
9:27.0,Offensive rebound by G. Vasquez,,55-72,,
9:11.0,G. Vasquez misses 3-pt shot from 23 ft,,55-72,,
9:09.0,,,55-72,,Defensive rebound by J. Smith
9:04.0,,,55-72,,Shooting foul by D. DeRozan (drawn by T. Jones)
9:04.0,,,55-72,,T. Jones misses free throw 1 of 2
9:04.0,,,55-72,,Offensive rebound by Team
9:04.0,,,55-72,,D. Motiejunas enters the game for J. Smith
9:04.0,K. Lowry enters the game for C. Hayes,,55-72,,
9:04.0,,,55-73,1,T. Jones makes free throw 2 of 2
8:55.0,,,55-73,,Violation by D. Motiejunas (kicked ball)
8:55.0,Official timeout,,55-73,,
8:55.0,J. Johnson enters the game for P. Patterson,,55-73,,
8:53.0,Turnover by G. Vasquez (bad pass; steal by C. Brewer),,55-73,,
8:49.0,,,55-75,2,T. Ariza makes 2-pt shot at rim (assist by J. Terry)
8:30.0,T. Ross makes 2-pt shot from 17 ft,2,57-75,,
8:15.0,Personal foul by J. Johnson (drawn by D. Motiejunas),,57-75,,
8:15.0,,,57-76,1,D. Motiejunas makes free throw 1 of 2
8:15.0,,,57-77,1,D. Motiejunas makes free throw 2 of 2
8:01.0,T. Ross makes 2-pt shot from 20 ft (assist by G. Vasquez),2,59-77,,
7:42.0,,,59-77,,Turnover by C. Brewer (bad pass; steal by J. Johnson)
7:31.0,T. Ross misses 2-pt shot from 13 ft,,59-77,,
7:29.0,,,59-77,,Defensive rebound by T. Ariza
7:20.0,,,59-77,,Shooting foul by K. Lowry (drawn by J. Terry)
7:20.0,,,59-78,1,J. Terry makes free throw 1 of 3
7:20.0,,,59-78,,J. Terry misses free throw 2 of 3
7:20.0,,,59-78,,Offensive rebound by Team
7:20.0,,,59-79,1,J. Terry makes free throw 3 of 3
6:57.0,T. Ross misses 2-pt shot from 18 ft,,59-79,,
