time,Toronto,pts.away,score,pts.home,San Antonio
8:12.0,,,7-4,,Defensive rebound by T. Parker
8:07.0,,,7-6,2,T. Parker makes 2-pt shot from 2 ft
7:59.0,Turnover by K. Lowry (lost ball),,7-6,,
7:44.0,,,7-6,,T. Duncan misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by K. Lowry,,7-6,,
7:34.0,D. DeRozan misses 2-pt shot from 18 ft,,7-6,,
7:33.0,,,7-6,,Defensive rebound by T. Duncan
7:28.0,,,7-8,2,T. Parker makes 2-pt shot at rim
7:19.0,Toronto full timeout,,7-8,,
7:10.0,T. Ross misses 2-pt shot from 9 ft,,7-8,,
7:09.0,,,7-8,,Defensive rebound by K. Leonard
6:52.0,,,7-8,,T. Splitter misses 2-pt shot from 8 ft
6:51.0,Defensive rebound by A. Johnson,,7-8,,
6:42.0,A. Johnson misses 2-pt shot from 5 ft,,7-8,,
6:40.0,Offensive rebound by A. Johnson,,7-8,,
6:40.0,A. Johnson makes 2-pt shot from 2 ft,2,9-8,,
6:25.0,,,9-8,,T. Parker misses 2-pt shot from 18 ft
6:24.0,,,9-8,,Offensive rebound by T. Duncan
6:21.0,,,9-10,2,T. Duncan makes 2-pt shot at rim
6:04.0,D. DeRozan misses 2-pt shot from 20 ft,,9-10,,
6:03.0,,,9-10,,Defensive rebound by T. Parker
5:43.0,,,9-10,,T. Duncan misses 2-pt shot from 11 ft
5:43.0,,,9-10,,Offensive rebound by Team
5:30.0,,,9-10,,Shooting foul by K. Lowry (drawn by T. Parker)
5:30.0,,,9-11,1,T. Parker makes free throw 1 of 2
5:30.0,,,9-11,,B. Diaw enters the game for T. Splitter
5:30.0,,,9-12,1,T. Parker makes free throw 2 of 2
5:12.0,Turnover by D. DeRozan (lost ball; steal by K. Leonard),,9-12,,
5:12.0,Personal foul by D. DeRozan (drawn by C. Joseph),,9-12,,
4:50.0,,,9-12,,Turnover by B. Diaw (step out of bounds)
4:50.0,L. Williams enters the game for T. Ross,,9-12,,
4:50.0,P. Patterson enters the game for A. Johnson,,9-12,,
4:32.0,J. Valanciunas makes 2-pt shot from 2 ft,2,11-12,,
4:21.0,,,11-12,,Turnover by B. Diaw (traveling)
4:21.0,,,11-12,,D. Green enters the game for C. Joseph
4:01.0,D. DeRozan makes 2-pt shot from 2 ft,2,13-12,,
4:00.0,,,13-12,,San Antonio full timeout
3:42.0,,,13-15,3,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw)
3:28.0,K. Lowry misses 2-pt shot from 16 ft (block by T. Duncan),,13-15,,
3:27.0,,,13-15,,Defensive rebound by D. Green
3:12.0,,,13-17,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker)
2:50.0,Turnover by L. Williams (lost ball; steal by K. Leonard),,13-17,,
2:45.0,G. Vasquez enters the game for K. Lowry,,13-17,,
2:42.0,,,13-19,2,K. Leonard makes 2-pt shot from 11 ft (assist by B. Diaw)
2:22.0,D. DeRozan makes 2-pt shot from 12 ft (assist by G. Vasquez),2,15-19,,
2:09.0,,,15-21,2,T. Parker makes 2-pt shot at rim
1:51.0,L. Williams makes 2-pt shot from 14 ft (assist by G. Vasquez),2,17-21,,
1:30.0,,,17-21,,B. Diaw misses 2-pt shot from 13 ft
1:29.0,,,17-21,,Offensive rebound by T. Duncan
1:15.0,,,17-21,,B. Diaw misses 2-pt shot from 17 ft
1:14.0,,,17-21,,Offensive rebound by K. Leonard
1:08.0,,,17-23,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
0:59.0,Turnover by G. Vasquez (bad pass; steal by T. Parker),,17-23,,
0:57.0,,,17-23,,P. Mills enters the game for T. Parker
0:57.0,,,17-23,,T. Splitter enters the game for T. Duncan
0:46.0,,,17-23,,K. Leonard misses 2-pt shot from 13 ft
0:44.0,,,17-23,,Offensive rebound by T. Splitter
0:43.0,,,17-23,,T. Splitter misses 2-pt shot from 2 ft
0:41.0,,,17-23,,Offensive rebound by Team
0:29.0,,,17-26,3,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw)
0:09.0,J. Valanciunas misses 2-pt shot from 1 ft,,17-26,,
0:07.0,,,17-26,,Defensive rebound by P. Mills
0:02.0,,,17-28,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,P. Patterson misses 2-pt shot from 2 ft,,17-28,,
11:37.0,,,17-28,,Defensive rebound by D. Green
11:29.0,,,17-30,2,T. Splitter makes 2-pt shot at rim (assist by D. Green)
11:04.0,L. Williams misses 2-pt shot from 12 ft,,17-30,,
11:03.0,,,17-30,,Defensive rebound by T. Splitter
10:52.0,,,17-32,2,M. Belinelli makes 2-pt shot at rim (assist by B. Diaw)
10:32.0,J. Johnson makes 2-pt shot from 18 ft,2,19-32,,
10:17.0,,,19-32,,Shooting foul by K. Lowry (drawn by T. Splitter)
10:17.0,,,19-33,1,T. Splitter makes free throw 1 of 2
10:17.0,,,19-34,1,T. Splitter makes free throw 2 of 2
10:00.0,J. Johnson makes 2-pt shot from 5 ft (assist by K. Lowry),2,21-34,,
9:42.0,,,21-34,,P. Mills misses 3-pt shot from 23 ft
9:41.0,,,21-34,,Offensive rebound by B. Diaw
9:30.0,,,21-34,,Turnover by B. Diaw (lost ball; steal by J. Johnson)
9:24.0,G. Vasquez misses 3-pt shot from 25 ft,,21-34,,
9:23.0,,,21-34,,Defensive rebound by P. Mills
9:19.0,,,21-34,,San Antonio full timeout
9:19.0,Personal foul by L. Williams (drawn by P. Mills),,21-34,,
9:04.0,,,21-37,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
8:45.0,J. Johnson misses 2-pt shot from 2 ft,,21-37,,
8:44.0,,,21-37,,Defensive rebound by P. Mills
8:39.0,,,21-37,,Turnover by M. Belinelli (bad pass; steal by P. Patterson)
8:35.0,Shooting foul by B. Diaw (drawn by K. Lowry),,21-37,,
8:35.0,K. Lowry makes free throw 1 of 2,1,22-37,,
8:35.0,K. Lowry makes free throw 2 of 2,1,23-37,,
8:23.0,,,23-37,,P. Mills misses 2-pt shot from 21 ft
8:22.0,Defensive rebound by J. Johnson,,23-37,,
8:14.0,K. Lowry misses 2-pt shot from 1 ft (block by D. Green),,23-37,,
8:11.0,Offensive rebound by P. Patterson,,23-37,,
8:11.0,P. Patterson misses 2-pt shot from 21 ft,,23-37,,
8:10.0,Offensive rebound by Team,,23-37,,
8:01.0,J. Johnson misses 2-pt shot from 14 ft,,23-37,,
8:00.0,,,23-37,,Defensive rebound by M. Belinelli
7:49.0,Personal foul by J. Johnson (drawn by T. Splitter),,23-37,,
7:44.0,,,23-40,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
7:44.0,,,23-40,,Shooting foul by G. Vasquez (drawn by D. Green)
7:44.0,,,23-41,1,D. Green makes free throw 1 of 1
7:27.0,P. Patterson misses 2-pt shot from 19 ft,,23-41,,
7:26.0,Offensive rebound by J. Johnson,,23-41,,
7:23.0,J. Johnson makes 2-pt shot from 1 ft,2,25-41,,
7:08.0,,,25-43,2,P. Mills makes 2-pt shot from 19 ft
7:01.0,Toronto full timeout,,25-43,,
7:01.0,D. DeRozan enters the game for L. Williams,,25-43,,
7:01.0,A. Johnson enters the game for G. Vasquez,,25-43,,
7:01.0,T. Ross enters the game for J. Johnson,,25-43,,
7:01.0,,,25-43,,K. Leonard enters the game for D. Green
7:01.0,,,25-43,,T. Parker enters the game for B. Diaw
7:01.0,,,25-43,,T. Duncan enters the game for P. Mills
6:52.0,Shooting foul by T. Parker (drawn by K. Lowry),,25-43,,
6:52.0,K. Lowry makes free throw 1 of 2,1,26-43,,
6:52.0,K. Lowry makes free throw 2 of 2,1,27-43,,
6:31.0,,,27-43,,T. Parker misses 2-pt shot from 1 ft
6:31.0,,,27-43,,Offensive rebound by Team
6:27.0,,,27-45,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
6:06.0,D. DeRozan misses 2-pt shot from 7 ft (block by K. Leonard),,27-45,,
6:05.0,,,27-45,,Defensive rebound by K. Leonard
5:49.0,J. Valanciunas enters the game for P. Patterson,,27-45,,
5:46.0,,,27-45,,T. Parker misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by T. Ross,,27-45,,
5:40.0,Turnover by T. Ross (bad pass; steal by T. Splitter),,27-45,,
5:34.0,,,27-45,,Turnover by T. Parker (bad pass; steal by D. DeRozan)
5:16.0,D. DeRozan misses 2-pt shot from 16 ft,,27-45,,
5:15.0,,,27-45,,Defensive rebound by K. Leonard
5:02.0,,,27-45,,T. Splitter misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by T. Ross,,27-45,,
4:53.0,T. Ross misses 3-pt shot from 25 ft,,27-45,,
4:52.0,Offensive rebound by J. Valanciunas,,27-45,,
4:51.0,Shooting foul by T. Splitter (drawn by J. Valanciunas),,27-45,,
4:51.0,J. Valanciunas misses free throw 1 of 2,,27-45,,
4:51.0,Offensive rebound by Team,,27-45,,
4:51.0,,,27-45,,A. Baynes enters the game for T. Splitter
4:51.0,J. Valanciunas makes free throw 2 of 2,1,28-45,,
4:33.0,,,28-48,3,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Parker)
4:16.0,T. Ross misses 2-pt shot from 10 ft,,28-48,,
4:15.0,Offensive rebound by J. Valanciunas,,28-48,,
4:12.0,J. Valanciunas misses 2-pt shot from 4 ft,,28-48,,
4:11.0,,,28-48,,Defensive rebound by T. Duncan
4:03.0,,,28-48,,K. Leonard misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by A. Johnson,,28-48,,
3:53.0,K. Lowry makes 2-pt shot from 22 ft,2,30-48,,
3:31.0,,,30-50,2,A. Baynes makes 2-pt shot at rim
3:22.0,Toronto full timeout,,30-50,,
3:10.0,A. Johnson misses 2-pt shot from 2 ft,,30-50,,
3:09.0,Offensive rebound by A. Johnson,,30-50,,
3:09.0,A. Johnson makes 2-pt shot from 2 ft,2,32-50,,
2:50.0,Personal foul by J. Valanciunas (drawn by T. Parker),,32-50,,
2:50.0,Official timeout,,32-50,,
2:50.0,,,32-50,,T. Parker misses free throw 1 of 2
2:50.0,,,32-50,,Offensive rebound by Team
2:50.0,,,32-51,1,T. Parker makes free throw 2 of 2
2:38.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,34-51,,
2:22.0,,,34-54,3,M. Belinelli makes 3-pt shot from 23 ft (assist by T. Parker)
1:56.0,A. Johnson misses 2-pt shot from 4 ft,,34-54,,
1:55.0,Offensive rebound by J. Valanciunas,,34-54,,
1:55.0,J. Valanciunas makes 2-pt shot from 1 ft,2,36-54,,
1:35.0,,,36-56,2,A. Baynes makes 2-pt shot from 2 ft (assist by K. Leonard)
1:35.0,,,36-56,,Shooting foul by J. Valanciunas (drawn by A. Baynes)
1:35.0,,,36-57,1,A. Baynes makes free throw 1 of 1
1:20.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,39-57,,
1:02.0,,,39-57,,T. Parker misses 2-pt shot from 13 ft
1:01.0,Defensive rebound by A. Johnson,,39-57,,
0:56.0,T. Ross misses 3-pt shot from 22 ft,,39-57,,
0:55.0,,,39-57,,Defensive rebound by K. Leonard
0:46.0,Personal block foul by D. DeRozan (drawn by K. Leonard),,39-57,,
0:46.0,,,39-58,1,K. Leonard makes free throw 1 of 2
0:46.0,,,39-58,,B. Diaw enters the game for T. Duncan
0:46.0,,,39-59,1,K. Leonard makes free throw 2 of 2
0:36.0,K. Lowry misses 3-pt shot from 25 ft,,39-59,,
0:35.0,,,39-59,,Defensive rebound by K. Leonard
0:27.0,,,39-61,2,A. Baynes makes 2-pt shot at rim (assist by T. Parker)
0:08.0,,,39-61,,Personal foul by A. Baynes (drawn by K. Lowry)
0:00.0,D. DeRozan makes 2-pt shot from 17 ft,2,41-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,43-61,,
11:19.0,,,43-61,,T. Parker misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by J. Valanciunas,,43-61,,
11:12.0,A. Johnson misses 2-pt shot from 2 ft,,43-61,,
11:11.0,,,43-61,,Defensive rebound by T. Duncan
11:05.0,,,43-61,,Turnover by D. Green (lost ball)
10:47.0,T. Ross misses 3-pt shot from 22 ft,,43-61,,
10:46.0,,,43-61,,Defensive rebound by T. Duncan
10:38.0,,,43-61,,Shooting foul by J. Valanciunas (drawn by T. Splitter)
10:38.0,,,43-62,1,T. Splitter makes free throw 1 of 2
10:38.0,,,43-63,1,T. Splitter makes free throw 2 of 2
10:24.0,K. Lowry misses 2-pt shot from 15 ft,,43-63,,
10:23.0,Offensive rebound by A. Johnson,,43-63,,
10:22.0,A. Johnson misses 2-pt shot from 1 ft,,43-63,,
10:21.0,,,43-63,,Defensive rebound by T. Splitter
10:17.0,,,43-65,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
10:10.0,,,43-65,,Personal foul by T. Duncan (drawn by A. Johnson)
10:04.0,D. DeRozan misses 2-pt shot from 13 ft,,43-65,,
10:01.0,,,43-65,,Defensive rebound by D. Green
9:44.0,,,43-67,2,K. Leonard makes 2-pt shot from 13 ft
9:22.0,Turnover by A. Johnson (lost ball; steal by K. Leonard),,43-67,,
9:09.0,,,43-67,,Turnover by T. Splitter (bad pass; steal by T. Ross)
8:59.0,Turnover by T. Ross (bad pass; steal by K. Leonard),,43-67,,
8:58.0,Personal foul by D. DeRozan (drawn by K. Leonard),,43-67,,
8:45.0,,,43-69,2,K. Leonard makes 2-pt shot from 5 ft (assist by T. Parker)
8:21.0,Offensive foul by J. Valanciunas,,43-69,,
8:21.0,Turnover by J. Valanciunas (offensive foul),,43-69,,
8:21.0,P. Patterson enters the game for J. Valanciunas,,43-69,,
8:11.0,,,43-69,,T. Splitter misses 2-pt shot from 3 ft
8:10.0,Defensive rebound by P. Patterson,,43-69,,
8:05.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,45-69,,
7:50.0,,,45-71,2,T. Parker makes 2-pt shot from 14 ft
7:42.0,P. Patterson misses 3-pt shot from 24 ft,,45-71,,
7:41.0,Offensive rebound by P. Patterson,,45-71,,
7:29.0,D. DeRozan misses 2-pt shot from 1 ft,,45-71,,
7:28.0,Offensive rebound by K. Lowry,,45-71,,
7:21.0,P. Patterson makes 2-pt shot from 1 ft (assist by K. Lowry),2,47-71,,
7:08.0,,,47-73,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
6:57.0,Toronto full timeout,,47-73,,
6:57.0,,,47-73,,B. Diaw enters the game for T. Splitter
6:49.0,D. DeRozan makes 2-pt shot at rim (assist by A. Johnson),2,49-73,,
6:26.0,,,49-73,,T. Duncan misses 2-pt shot from 4 ft (block by P. Patterson)
6:24.0,Defensive rebound by K. Lowry,,49-73,,
6:19.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,51-73,,
5:55.0,,,51-73,,D. Green misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by A. Johnson,,51-73,,
5:37.0,A. Johnson makes 2-pt shot from 3 ft (assist by D. DeRozan),2,53-73,,
5:37.0,,,53-73,,San Antonio full timeout
5:17.0,,,53-73,,T. Duncan misses 2-pt shot from 5 ft
5:16.0,Defensive rebound by P. Patterson,,53-73,,
5:08.0,K. Lowry makes 3-pt shot from 24 ft,3,56-73,,
4:57.0,Personal foul by P. Patterson (drawn by B. Diaw),,56-73,,
4:42.0,,,56-76,3,T. Parker makes 3-pt shot from 23 ft
4:23.0,T. Ross misses 3-pt shot from 22 ft,,56-76,,
4:20.0,,,56-76,,Defensive rebound by Team
4:20.0,,,56-76,,M. Belinelli enters the game for D. Green
3:57.0,,,56-78,2,T. Parker makes 2-pt shot from 1 ft
3:48.0,D. DeRozan makes 2-pt shot from 2 ft,2,58-78,,
3:36.0,,,58-78,,T. Duncan misses 2-pt shot from 16 ft
3:35.0,Defensive rebound by D. DeRozan,,58-78,,
3:25.0,K. Lowry misses 3-pt shot from 23 ft,,58-78,,
3:24.0,,,58-78,,Defensive rebound by T. Duncan
3:16.0,,,58-78,,T. Parker misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by P. Patterson,,58-78,,
3:08.0,A. Johnson makes 2-pt shot at rim (assist by D. DeRozan),2,60-78,,
2:54.0,,,60-78,,K. Leonard misses 2-pt shot from 9 ft
2:53.0,Defensive rebound by A. Johnson,,60-78,,
2:47.0,K. Lowry makes 2-pt shot from 6 ft (assist by P. Patterson),2,62-78,,
2:33.0,,,62-80,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
2:13.0,K. Lowry makes 2-pt shot from 19 ft,2,64-80,,
1:55.0,,,64-80,,T. Parker misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by P. Patterson,,64-80,,
1:44.0,D. DeRozan makes 2-pt shot from 17 ft,2,66-80,,
1:28.0,,,66-80,,T. Parker misses 2-pt shot from 17 ft
1:27.0,,,66-80,,Offensive rebound by B. Diaw
1:24.0,Personal block foul by K. Lowry (drawn by K. Leonard),,66-80,,
1:24.0,,,66-80,,P. Mills enters the game for T. Duncan
1:24.0,,,66-80,,M. Bonner enters the game for T. Parker
1:24.0,,,66-80,,T. Splitter enters the game for B. Diaw
1:24.0,G. Vasquez enters the game for T. Ross,,66-80,,
1:24.0,L. Williams enters the game for A. Johnson,,66-80,,
1:24.0,T. Hansbrough enters the game for K. Lowry,,66-80,,
1:15.0,,,66-82,2,K. Leonard makes 2-pt shot at rim
0:55.0,Shooting foul by P. Mills (drawn by D. DeRozan),,66-82,,
0:55.0,D. DeRozan makes free throw 1 of 2,1,67-82,,
0:55.0,D. DeRozan makes free throw 2 of 2,1,68-82,,
0:37.0,,,68-82,,P. Mills misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by P. Patterson,,68-82,,
0:18.0,D. DeRozan makes 2-pt shot from 1 ft (assist by L. Williams),2,70-82,,
0:18.0,Shooting foul by T. Splitter (drawn by D. DeRozan),,70-82,,
0:18.0,D. DeRozan makes free throw 1 of 1,1,71-82,,
0:02.0,,,71-85,3,M. Bonner makes 3-pt shot from 23 ft (assist by P. Mills)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,71-85,,Turnover by P. Mills (lost ball; steal by K. Lowry)
11:39.0,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson),3,74-85,,
11:23.0,,,74-87,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Splitter)
11:09.0,L. Williams misses 2-pt shot from 14 ft,,74-87,,
11:07.0,,,74-87,,Defensive rebound by C. Joseph
10:49.0,,,74-87,,Offensive foul by T. Splitter
10:49.0,,,74-87,,Turnover by T. Splitter (offensive foul)
10:37.0,K. Lowry makes 2-pt shot from 6 ft,2,76-87,,
10:37.0,Shooting foul by T. Splitter (drawn by K. Lowry),,76-87,,
10:37.0,K. Lowry makes free throw 1 of 1,1,77-87,,
10:31.0,,,77-90,3,P. Mills makes 3-pt shot from 25 ft
10:06.0,L. Williams makes 2-pt shot from 6 ft,2,79-90,,
10:02.0,Personal foul by L. Williams (drawn by C. Joseph),,79-90,,
9:55.0,,,79-90,,P. Mills misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by G. Vasquez,,79-90,,
9:49.0,G. Vasquez misses 2-pt shot from 7 ft,,79-90,,
9:48.0,,,79-90,,Defensive rebound by Team
9:48.0,Loose ball foul by T. Hansbrough (drawn by T. Splitter),,79-90,,
9:36.0,,,79-93,3,M. Bonner makes 3-pt shot from 25 ft (assist by C. Joseph)
9:20.0,T. Hansbrough misses 2-pt shot from 2 ft,,79-93,,
9:19.0,Offensive rebound by T. Hansbrough,,79-93,,
9:19.0,T. Hansbrough misses 2-pt shot from 2 ft,,79-93,,
9:18.0,Offensive rebound by Team,,79-93,,
9:18.0,,,79-93,,Loose ball foul by C. Joseph (drawn by T. Hansbrough)
9:18.0,,,79-93,,T. Duncan enters the game for T. Splitter
9:05.0,P. Patterson misses 3-pt shot from 23 ft,,79-93,,
9:04.0,Offensive rebound by T. Hansbrough,,79-93,,
9:01.0,K. Lowry misses 3-pt shot from 24 ft,,79-93,,
9:00.0,Offensive rebound by P. Patterson,,79-93,,
8:57.0,P. Patterson makes 2-pt shot at rim,2,81-93,,
8:41.0,,,81-93,,M. Bonner misses 2-pt shot from 5 ft (block by P. Patterson)
8:40.0,Defensive rebound by K. Lowry,,81-93,,
8:30.0,L. Williams misses 3-pt shot from 22 ft,,81-93,,
8:29.0,,,81-93,,Defensive rebound by C. Joseph
8:14.0,,,81-93,,C. Joseph misses 2-pt shot from 8 ft
8:13.0,Defensive rebound by L. Williams,,81-93,,
8:07.0,Shooting foul by C. Joseph (drawn by K. Lowry),,81-93,,
8:07.0,Official timeout,,81-93,,
8:07.0,A. Johnson enters the game for P. Patterson,,81-93,,
8:07.0,,,81-93,,K. Leonard enters the game for M. Belinelli
8:07.0,,,81-93,,T. Parker enters the game for P. Mills
8:07.0,,,81-93,,D. Green enters the game for C. Joseph
8:07.0,K. Lowry makes free throw 1 of 2,1,82-93,,
8:07.0,K. Lowry makes free throw 2 of 2,1,83-93,,
7:44.0,,,83-93,,D. Green misses 2-pt shot from 9 ft
7:43.0,,,83-93,,Offensive rebound by D. Green
7:33.0,,,83-93,,Shooting foul by G. Vasquez (drawn by T. Duncan)
7:33.0,,,83-93,,T. Duncan misses free throw 1 of 2
7:33.0,,,83-93,,Offensive rebound by Team
7:33.0,D. DeRozan enters the game for G. Vasquez,,83-93,,
7:33.0,,,83-93,,T. Duncan misses free throw 2 of 2
7:33.0,Defensive rebound by A. Johnson,,83-93,,
7:22.0,K. Lowry misses 3-pt shot from 24 ft,,83-93,,
7:21.0,,,83-93,,Defensive rebound by K. Leonard
7:07.0,,,83-93,,K. Leonard misses 2-pt shot from 8 ft
7:06.0,Defensive rebound by T. Hansbrough,,83-93,,
6:56.0,L. Williams makes 2-pt shot from 17 ft,2,85-93,,
6:42.0,,,85-93,,Shooting foul by D. DeRozan (drawn by M. Bonner)
6:42.0,,,85-94,1,M. Bonner makes free throw 1 of 2
6:42.0,G. Vasquez enters the game for K. Lowry,,85-94,,
6:42.0,,,85-95,1,M. Bonner makes free throw 2 of 2
6:32.0,L. Williams makes 3-pt shot from 26 ft (assist by G. Vasquez),3,88-95,,
6:13.0,,,88-95,,Shooting foul by T. Hansbrough (drawn by T. Duncan)
6:13.0,,,88-96,1,T. Duncan makes free throw 1 of 2
6:13.0,P. Patterson enters the game for T. Hansbrough,,88-96,,
6:13.0,,,88-97,1,T. Duncan makes free throw 2 of 2
6:05.0,L. Williams misses 3-pt shot from 23 ft,,88-97,,
6:04.0,,,88-97,,Defensive rebound by K. Leonard
5:50.0,,,88-97,,T. Parker misses 2-pt shot from 7 ft
5:49.0,Defensive rebound by A. Johnson,,88-97,,
5:39.0,A. Johnson misses 2-pt shot from 6 ft,,88-97,,
5:38.0,,,88-97,,Defensive rebound by T. Duncan
5:34.0,,,88-97,,Shooting foul by G. Vasquez (drawn by T. Parker)
5:34.0,,,88-97,,San Antonio full timeout
5:34.0,K. Lowry enters the game for G. Vasquez,,88-97,,
5:34.0,,,88-97,,T. Parker misses free throw 1 of 2
5:34.0,,,88-97,,Offensive rebound by Team
5:34.0,,,88-98,1,T. Parker makes free throw 2 of 2
5:13.0,D. DeRozan misses 3-pt shot from 24 ft,,88-98,,
5:11.0,Offensive rebound by P. Patterson,,88-98,,
5:09.0,P. Patterson misses 2-pt shot from 2 ft,,88-98,,
5:08.0,,,88-98,,Defensive rebound by T. Duncan
5:03.0,,,88-98,,T. Parker misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by Team,,88-98,,
5:02.0,,,88-98,,Loose ball foul by T. Duncan (drawn by P. Patterson)
4:50.0,K. Lowry misses 2-pt shot from 9 ft,,88-98,,
4:49.0,Offensive rebound by A. Johnson,,88-98,,
4:49.0,A. Johnson makes 2-pt shot at rim,2,90-98,,
4:26.0,,,90-100,2,T. Parker makes 2-pt shot from 17 ft
4:07.0,D. DeRozan misses 2-pt shot from 3 ft,,90-100,,
4:05.0,,,90-100,,Defensive rebound by T. Duncan
4:05.0,,,90-100,,Turnover by T. Duncan (lost ball; steal by K. Lowry)
4:05.0,K. Lowry makes 3-pt shot from 23 ft (assist by P. Patterson),3,93-100,,
3:54.0,,,93-100,,T. Parker misses 2-pt shot from 2 ft (block by A. Johnson)
3:53.0,Defensive rebound by D. DeRozan,,93-100,,
3:44.0,Shooting foul by M. Bonner (drawn by D. DeRozan),,93-100,,
3:44.0,D. DeRozan misses free throw 1 of 2,,93-100,,
3:44.0,Offensive rebound by Team,,93-100,,
3:44.0,,,93-100,,T. Splitter enters the game for M. Bonner
3:44.0,D. DeRozan makes free throw 2 of 2,1,94-100,,
