time,New Orleans,pts.away,score,pts.home,Sacramento
6:35.0,,,33-33,,R. Gay misses 2-pt shot from 3 ft (block by A. Davis)
6:33.0,Defensive rebound by L. Babbitt,,33-33,,
6:31.0,Turnover by E. Gordon (step out of bounds),,33-33,,
6:31.0,,,33-33,,D. Cousins enters the game for R. McCallum
6:31.0,,,33-33,,D. Collison enters the game for N. Stauskas
6:31.0,,,33-33,,B. McLemore enters the game for C. Landry
6:12.0,,,33-35,2,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore)
6:01.0,L. Babbitt misses 2-pt shot from 14 ft,,33-35,,
6:00.0,,,33-35,,Defensive rebound by D. Collison
5:50.0,,,33-35,,Turnover by B. McLemore (bad pass)
5:33.0,R. Anderson misses 3-pt shot from 26 ft,,33-35,,
5:33.0,,,33-35,,Defensive rebound by D. Cousins
5:19.0,,,33-35,,R. Gay misses 2-pt shot from 9 ft
5:18.0,,,33-35,,Offensive rebound by O. Casspi
5:18.0,,,33-35,,Shooting foul by L. Babbitt (drawn by O. Casspi)
5:18.0,,,33-35,,O. Casspi misses free throw 1 of 2
5:18.0,,,33-35,,Offensive rebound by Team
5:18.0,T. Evans enters the game for L. Babbitt,,33-35,,
5:18.0,,,33-36,1,O. Casspi makes free throw 2 of 2
5:02.0,A. Rivers misses 2-pt shot from 13 ft,,33-36,,
5:02.0,Offensive rebound by Team,,33-36,,
5:02.0,,,33-36,,Loose ball foul by D. Cousins (drawn by A. Davis)
4:52.0,R. Anderson misses 3-pt shot from 25 ft,,33-36,,
4:52.0,,,33-36,,Defensive rebound by D. Cousins
4:45.0,,,33-36,,Shooting foul by A. Davis (drawn by O. Casspi)
4:45.0,,,33-37,1,O. Casspi makes free throw 1 of 2
4:45.0,L. Babbitt enters the game for R. Anderson,,33-37,,
4:45.0,J. Holiday enters the game for A. Rivers,,33-37,,
4:45.0,,,33-37,,O. Casspi misses free throw 2 of 2
4:43.0,,,33-37,,Offensive rebound by R. Gay
4:42.0,,,33-39,2,R. Gay makes 2-pt shot from 3 ft
4:27.0,E. Gordon misses 3-pt shot from 24 ft,,33-39,,
4:26.0,,,33-39,,Defensive rebound by D. Cousins
4:07.0,,,33-39,,Shooting foul by L. Babbitt (drawn by D. Collison)
4:07.0,,,33-40,1,D. Collison makes free throw 1 of 2
4:07.0,,,33-41,1,D. Collison makes free throw 2 of 2
3:51.0,A. Davis makes 2-pt shot from 10 ft,2,35-41,,
3:33.0,,,35-43,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
3:01.0,L. Babbitt makes 2-pt shot from 7 ft (assist by J. Holiday),2,37-43,,
2:39.0,,,37-45,2,R. Gay makes 2-pt shot from 5 ft (assist by D. Collison)
2:32.0,T. Evans misses 2-pt shot from 3 ft,,37-45,,
2:31.0,Offensive rebound by Team,,37-45,,
2:31.0,New Orleans full timeout,,37-45,,
2:31.0,,,37-45,,J. Thompson enters the game for D. Cousins
2:14.0,A. Davis misses 2-pt shot from 19 ft,,37-45,,
2:14.0,,,37-45,,Defensive rebound by O. Casspi
1:57.0,,,37-47,2,R. Gay makes 2-pt shot from 22 ft (assist by D. Collison)
1:42.0,J. Holiday makes 2-pt shot from 3 ft,2,39-47,,
1:19.0,,,39-50,3,D. Collison makes 3-pt shot from 23 ft (assist by R. Gay)
